Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель
https://cdn.entero.ru/mp@2x/3e/3b/3e3b02d2ee0239a460b6915ebaf1fa2c.jpg;https://cdn.entero.ru/mp@2x/b3/5f/b35fffd14c9f3a44ec4ba2b18bd09cf4.jpg,Варочная панель газовая SMEG PGF32G,Варочная панель газовая SMEG PGF32G,53290,RUB,Нет,SMEG,Бытовая техника,Встраиваемая техника,Модули Domino,https://entero.ru/item/35152,"<p>Панель варочная <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/35152""><b class=""b"">PGF32G</b></a> используется для приготовления или разогрева различных блюд в наплитной посуде в квартирах и частных домах. Модель оснащена двумя варочными зонами различного диаметра и мощности.</p>

<p><strong>Особенности</strong></p>

<ul>
<li>Поворотные переключатели серебристые</li>
<li>Крышки горелок эмалированные</li>
<li>Установка с бортиком 3 мм</li>
<li>Жиклеры для сжиженного газа G30</li>
<li>Фурнитура Linea и Classica</li>
<li>Тип газа: природный G20</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность подключения: 1 Вт</li>
<li>Мощность 2 газовых горелок:
<ul>
<li>Передняя: 1,05 кВт</li>
<li>Задняя: 2,3 кВт</li>
</ul>
</li>
</ul>",35152,220 В,0.1 кВт,310 мм,512 мм,70 мм,0,https://entero.ru/manuals/7806/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Smeg%20PGF32G.pdf;https://entero.ru/manuals/33617/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20Smeg%20PGF32G.jpg,57924,,Италия,
https://cdn.entero.ru/mp@2x/e3/3b/e33b22971bc7ff17e9f93f4474aef242.jpg,Варочная индукционная панель домино SMEG SI5322B,Варочная индукционная панель домино SMEG SI5322B,59990,RUB,Нет,SMEG,Бытовая техника,Встраиваемая техника,Модули Domino,https://entero.ru/item/52171,"<p>Индукционная варочная панель домино <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52171""><b class=""b"">Smeg SI5322B</b></a> используется для приготовления разнообразных блюд при минимальных затратах электроэнергии. Панель отличается строгим дизайном без лишних деталей.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сенсорное управление с возможностью блокировки</li>
<li>Скошенная кромка</li>
<li>9 уровней мощности</li>
<li>Усилитель мощности</li>
<li>2 таймера</li>
<li>Звуковой сигнал по окончанию приготовления пищи</li>
<li>Отображение оставшегося времени</li>
<li>Автоматическая адаптация к диаметру посуды</li>
<li>Индикация остаточного тепла</li>
<li>Электронные датчики контроля температуры</li>
<li>Защита от перегрева</li>
<li>Автоматическое обнаружение посуды</li>
<li>Защита от старта при отсутствии посуды</li>
<li>Изготовлена из стеклокерамики черного цвета</li>
</ul>

<p><b>Зоны нагрева:</b></p>

<ul>
<li>2 зоны</li>
<li>Зона с максимальным диаметром посуды 210 мм и диапазоном мощности 2,3-3 кВт</li>
<li>Зона с максимальным диаметром посуды 160 мм и диапазоном мощности 1,3-1,4 кВт</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Минимальный диаметр посуды: 100 мм</li>
<li>Размеры ниши для встраивания: 270х490 мм</li>
</ul>",52171,220 В,3.6 кВт,300 мм,515 мм,64 мм,0,https://entero.ru/manuals/33574/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20Smeg%20SI5322B.jpg,,6.1 кг,Италия,
https://cdn.entero.ru/mp@2x/c9/c9/c9c9c3b1af6546d95add8fb11daceccc.jpg,Гриль-барбекю встраиваемый SMEG PGF30B,Гриль-барбекю встраиваемый SMEG PGF30B,72790,RUB,Нет,SMEG,Бытовая техника,Встраиваемая техника,Модули Domino,https://entero.ru/item/35445,"<p>Гриль-барбекю <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/35445""><b class=""b"">PGF30B</b></a> предназначен для приготовления различных блюд на предприятиях общественного питания и торговли. Процесс жарки происходит без применения масла.</p>

<p><strong>Особенности</strong></p>

<ul>
<li>Рамка: нержавеющая сталь матовая</li>
<li>Чугунная решетка</li>
<li>Поворотный переключатель</li>
<li>9 регулируемых уровней мощности</li>
<li>Съемный поддон</li>
<li>Фурнитура Linea</li>
</ul>",35445,220 В,1.8 кВт,310 мм,512 мм,70 мм,0,https://entero.ru/manuals/8370/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%B3%D1%80%D0%B8%D0%BB%D1%8C%20Smeg%20PGF30B.pdf;https://entero.ru/manuals/8371/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%B3%D1%80%D0%B8%D0%BB%D1%8F%20Smeg%20PGF30B.jpg,78269,,Италия,
https://cdn.entero.ru/mp@2x/79/9f/799f9fc3dd5f94415d0c7aac8e7c66de.jpg,Варочная панель стеклокерамическая SMEG PGF32C,Варочная панель стеклокерамическая SMEG PGF32C,68490,RUB,Нет,SMEG,Бытовая техника,Встраиваемая техника,Модули Domino,https://entero.ru/item/35463,"<p>Панель варочная <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/35463""><b class=""b"">PGF32C </b></a>используется для приготовления или разогрева различных блюд в наплитной посуде в квартирах и частных домах. Варочная поверхность выполнена из стеклокерамики. Модель оснащена двумя варочными зонами различного диаметра и мощности.</p>

<p><strong>Особенности</strong></p>

<ul>
<li>Черная стеклокерамика</li>
<li>Рамка матовая нержавеющая сталь</li>
<li>Поворотные переключатели</li>
<li>2 зоны нагрева Hi-Light:</li>
</ul>

<ul>
<li>9 регулируемых уровней мощности</li>
<li>Индикация остаточного тепла</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Задняя: 1,8 кВт, ø 180 мм</li>
<li>Передняя: 1,2 кВт, ø140 мм</li>
</ul>
</li>
<li>Габариты встраивания: 292х494 мм</li>
</ul>",35463,220 В,3 кВт,310 мм,512 мм,70 мм,0,https://entero.ru/manuals/8414/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%B2%D0%B0%D1%80%D0%BE%D1%87%D0%BD%D1%83%D1%8E%20%D0%BF%D0%B0%D0%BD%D0%B5%D0%BB%D1%8C%20Smeg%20PGF32C.pdf;https://entero.ru/manuals/8415/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%B2%D0%B0%D1%80%D0%BE%D1%87%D0%BD%D0%BE%D0%B9%20%D0%BF%D0%B0%D0%BD%D0%B5%D0%BB%D0%B8%20Smeg%20PGF32C.jpg,71344,5.9 кг,Италия,
https://cdn.entero.ru/mp@2x/a5/7c/a57cd790da6ae1e77b26e0d2bb51e76f.jpg;https://cdn.entero.ru/mp@2x/d6/d7/d6d7a2ae8c967021f1262ec5e7eb2c37.jpg,Варочная панель газовая SMEG PGF31G-1,Варочная панель газовая SMEG PGF31G-1,68590,RUB,Нет,SMEG,Бытовая техника,Встраиваемая техника,Модули Domino,https://entero.ru/item/35140,"<p>Панель варочная <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/35140""><b class=""b"">PGF31G-1</b></a> используется для приготовления или разогрева различных блюд в наплитной посуде в квартирах и частных домах.</p>

<p><strong>Описание:</strong></p>

<ul>
<li>Поворотные переключатели серебристые</li>
<li>Крышки горелок эмалированные</li>
<li>Установка с бортиком 3 мм</li>
<li>1 газовая горелка с двойным управлением – 5,2 кВт</li>
<li>Жиклеры для сжиженного газа G30</li>
<li>Фурнитура Linea и Classica</li>
<li>Тип газа: природный G20</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальная мощность газа: 5,2 кВт</li>
</ul>",35140,220 В,0.01 кВт,310 мм,512 мм,70 мм,0,https://entero.ru/manuals/7687/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Smeg%20PGF31G-1.pdf;https://entero.ru/manuals/33614/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20Smeg%20PGF31G-1.jpg,73753,,Италия,
https://cdn.entero.ru/mp@2x/24/45/244567158a8a1c99c7c88e5359440b75.jpg,Модульная система Domino De Dietrich DPG7340B,Модульная система Domino De Dietrich DPG7340B,73990,RUB,Нет,De Dietrich,Бытовая техника,Встраиваемая техника,Модули Domino,https://entero.ru/item/227753,"<p>Модульная система <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/227753"">De Dietrich DPG7340B</a> </b>предназначена для приготовления или разогрева широкого спектра блюд в наплитной посуде в квартирах и частных домах. Модель оснащена газ-контролем и электроподжигом. Поверхность выполнена из закаленного стекла, решетки - из чугуна. </p>

<p>В комплект поставки входит шнур питания. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Газовая варочная панель Domino </li>
<li>Может работать на пропане / бутане</li>
<li>Защитная функция отключения в случае перегрева</li>
<li>Интегрированный автоподжиг</li>
<li>Возможность смены типа газа </li>
<li>Поворотные переключатели </li>
<li>Независимая установка </li>
</ul>

<p><b>​Дополнительные характеристики:</b></p>

<ul>
<li>Количество переключателей: 2</li>
<li>Количество решеток: 2 </li>
<li>Мощность:
<ul>
<li>Передняя зона: 1,5 кВт</li>
<li>Задняя зона: 3,1 кВт</li>
</ul>
</li>
<li>Сила тока: 10 А</li>
<li>Габариты ниши для встраивания: 265х480 мм</li>
<li>Габариты в упаковке: 190х400х590 мм</li>
</ul>",227753,220 В,4.6 кВт,300 мм,515 мм,58 мм,0,https://entero.ru/manuals/274199/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%B2%D1%81%D1%82%D1%80%D0%B0%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20De%20Dietrich%20DPG7340B.jpg,80424,6.6 кг,,Франция
https://cdn.entero.ru/mp@2x/43/65/4365c8c38df846d313d5788604972df7.jpg,Варочная панель SMEG PV331CN,8017709255312,75990,RUB,Нет,SMEG,Бытовая техника,Встраиваемая техника,Модули Domino,https://entero.ru/item/117953,"<p>Варочная панель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117953"">Smeg PV331CN</a></b> серии Classica предназначена для приготовления и разогрева различных блюд в наплитной посуде на предприятиях общественного питания и в домашних условиях. Возможность встраивания решает проблему ограниченного пространства.</p>

<p>В комплект поставки входят жиклеры для других типов газа: G30 GPL сжиженный газ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический электроподжиг</li>
<li>Газ-контроль</li>
<li>1 ультрабыстрая газовая горелка</li>
<li>Поворотные переключатели Classica</li>
<li>​Черная стеклокерамика</li>
<li>Чугунная решетка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальная мощность: 6 кВт</li>
<li>Тип газа: природный G20</li>
<li>Размер ниши: 252-254х476-480 мм</li>
</ul>",117953,220 В,0.001 кВт,300 мм,510 мм,50 мм,0,https://entero.ru/manuals/119872/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Smeg%20PV331CN.pdf;https://entero.ru/manuals/119871/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Smeg%20PV331CN.pdf;https://entero.ru/manuals/119873/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20Smeg%20PV331CN.jpg,79156,,Италия,
https://cdn.entero.ru/mp@2x/9e/01/9e01f9ecc887fc90693700ab863bc378.jpg,Варочная панель SMEG PV332CN,8017709255336,84990,RUB,Нет,SMEG,Бытовая техника,Встраиваемая техника,Модули Domino,https://entero.ru/item/117954,"<p>Варочная панель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117954"">Smeg PV332CN</a></b> серии Classica предназначена для приготовления и разогрева различных блюд в наплитной посуде на предприятиях общественного питания и в домашних условиях. Возможность встраивания решает проблему ограниченного пространства.</p>

<p>В комплект поставки входят жиклеры для других типов газа: G30 GPL сжиженный газ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический электроподжиг</li>
<li>Газ-контроль</li>
<li>2 ультрабыстрые газовые горелки</li>
<li>Поворотные переключатели Classica</li>
<li>​Черная стеклокерамика</li>
<li>Чугунная решетка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальная мощность:
<ul>
<li>Передняя: 1,1 кВт</li>
<li>Задняя: 3,1 кВт</li>
</ul>
</li>
<li>Тип газа: природный G20</li>
<li>Размер ниши: 252-254х476-480 мм</li>
</ul>",117954,220 В,0.001 кВт,300 мм,510 мм,50 мм,0,https://entero.ru/manuals/119877/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Smeg%20PV332CN.pdf;https://entero.ru/manuals/119874/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Smeg%20PV332CN.pdf;https://entero.ru/manuals/119876/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20Smeg%20PV332CN.jpg,89463,7.4 кг,Италия,
https://cdn.entero.ru/mp@2x/9e/df/9edf3b07484e89e0ecf28a3be7c99082.jpg,Варочная панель SMEG PV632CNR,8017709218256,105990,RUB,Нет,SMEG,Бытовая техника,Встраиваемая техника,Модули Domino,https://entero.ru/item/112163,"<p>Варочная панель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/112163"">Smeg PV632CNR</a></b> серии Dolce Stil Novo предназначена для приготовления и разогрева различных блюд в наплитной посуде на предприятиях общественного питания и в домашних условиях. Возможность встраивания решает проблему ограниченного пространства.</p>

<p>В комплект поставки входят жиклеры для других типов газа: G30 GPL сжиженный газ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический электроподжиг</li>
<li>Газ-контроль</li>
<li>2 ультрабыстрые газовые горелки</li>
<li>Поворотные переключатели</li>
<li>Медный профиль</li>
<li>Черная стеклокерамика</li>
<li>Чугунная решетка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальная мощность:
<ul>
<li>Передняя: 1,1 кВт</li>
<li>Задняя: 3,1 кВт</li>
</ul>
</li>
<li>Тип газа: природный G20</li>
<li>Размер ниши: 252-256х482-486 мм</li>
</ul>",112163,220 В,0.001 кВт,380 мм,510 мм,50 мм,0,https://entero.ru/manuals/110814/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Smeg%20PV632CNR.pdf;https://entero.ru/manuals/110813/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Smeg%20PV632CNR.pdf;https://entero.ru/manuals/110812/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20Smeg%20PV632CNR.jpg,112755,7.4 кг,Италия,
https://cdn.entero.ru/mp@2x/78/58/785823a11dfdb3a5c576bb191699722c.jpg;https://cdn.entero.ru/mp@2x/b0/59/b059c695c0f7d1e7b82cdb9e70a9be00.jpg,Модульная система Domino De Dietrich DPI7360X,Модульная система Domino De Dietrich DPI7360X,109990,RUB,Нет,De Dietrich,Бытовая техника,Встраиваемая техника,Модули Domino,https://entero.ru/item/227751,"<p>Модульная система <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/227751"">De Dietrich DPI7360X</a> </b>предназначена для приготовления или разогрева широкого спектра блюд в наплитной посуде в квартирах и частных домах. Модель оснащена сенсорной панелью управления, индикатором остаточного тепла, сенсором наличия посуды и таймером. Поверхность выполнена из закаленного стекла. </p>

<p>В комплект поставки входит шнур питания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Индукционная варочная панель</li>
<li>Тип Domino с 2 зонами нагрева и функцией Boost на каждой</li>
<li>Технология объединения зон нагрева для посуды любой толщины и размеров</li>
<li>Центральная блокировка кнопок управления для очистки</li>
<li>Вертикальная горелка</li>
<li>Функции:
<ul>
<li>Бустер</li>
<li>Кипение</li>
<li>Истекшее время</li>
<li>Запоминание</li>
<li>Piano</li>
<li>Гриль / Планча</li>
</ul>
</li>
<li>Электрический способ подключения </li>
<li>Независимая установка </li>
</ul>

<p>​<b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество режимов нагрева и функцией для готовки: 20 </li>
<li>Количество конфорок: 2 </li>
<li>Количество таймеров от 1 до 99 минут: 2 </li>
<li>Мощность:
<ul>
<li>Передняя зона: 2,4 кВт</li>
<li>Задняя зона: 3,7 кВт</li>
</ul>
</li>
<li>​Диаметр: 
<ul>
<li>Передняя зона: 160 мм</li>
<li>Задняя зона: 230 мм </li>
</ul>
</li>
</ul>

<ul>
<li>Сила тока: 16 А</li>
<li>Габариты ниши для встраивания: 270х490 мм</li>
<li>Габариты в упаковке: 175х590х395 мм</li>
</ul>",227751,220 В,3.7 кВт,300 мм,515 мм,64 мм,0,https://entero.ru/manuals/274195/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20De%20Dietrich%20DPI7360X%20%28en%29.pdf;https://entero.ru/manuals/274196/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D1%83.pdf,,6.5 кг,,Франция
