Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Объем,Ширина ниши,Глубина ниши,Высота ниши
https://cdn.entero.ru/mp@2x/92/f6/92f6d0e01f43b5b6ae55efde235f89e8.jpg;https://cdn.entero.ru/mp@2x/a2/65/a2655829eaac4609e17e05cc46577abd.jpg;https://cdn.entero.ru/mp@2x/fd/c9/fdc916245d1a6311c97675233e8ed49c.jpg;https://cdn.entero.ru/mp@2x/ab/89/ab897e6641be29ed1920aaece3dcc267.jpg;https://cdn.entero.ru/mp@2x/a2/3b/a23b3fa488ab28b1aa14fbd24ec1eabe.jpg;https://cdn.entero.ru/mp@2x/b1/f9/b1f9a3a4de09e1e56556182fea17d94d.jpg;https://cdn.entero.ru/mp@2x/a0/52/a052230641c2fa31ad7bced0b5d4f9e3.jpg,Подогреватель посуды Kuppersberg KWD 802 Black,6616,25056,RUB,Да,,Бытовая техника,Встраиваемая техника,Подогреватели посуды,https://entero.ru/item/291222,"<p>Подогреватель посуды <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291222""><b class=""b"">Kuppersberg KWD 802</b></a> серии High-Tech предназначен для подогрева и поддержания в теплом состоянии тарелок, чашек и столовых приборов в частных домах, квартирах, отелях и офисах. Возможность встраивания решает проблему ограниченного пространства. Модель оснащена телескопическими направляющими. Фронтальная панель выполнена из стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры</li>
<li>Механическое управление</li>
<li>Автоматическое открытие / закрытие</li>
<li>Цвет: черный</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка: 25 кг</li>
<li>Вместимость: 6 комплектов</li>
</ul>",291222,от 30 до 80 °С,220 В,0.39 кВт,595 мм,572 мм,133 мм,,,,0,https://entero.ru/manuals/353684/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kuppersberg%20KWD%20802.pdf;https://entero.ru/manuals/353685/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Kuppersberg%20KWD%20802.png,26375,,,Германия,Китай,,,,
https://cdn.entero.ru/mp@2x/35/9d/359d7d4366edc626d8f1035c24e04a59.jpg;https://cdn.entero.ru/mp@2x/5a/f8/5af80b13cc50fb61ca2b1d66e54e417b.jpg;https://cdn.entero.ru/mp@2x/0b/fa/0bfac871be8b767e6731a26e07b91fff.jpg;https://cdn.entero.ru/mp@2x/33/25/3325577ca12669dda003f6f2b75f240d.jpg;https://cdn.entero.ru/mp@2x/48/6c/486c42c2e402c396aeeaadd8d4f07e15.jpg;https://cdn.entero.ru/mp@2x/d0/e4/d0e421cfaa14622f91c81ab83318be12.jpg;https://cdn.entero.ru/mp@2x/75/fb/75fb3238e3864dd875af5d5cb56c7dc8.jpg;https://cdn.entero.ru/mp@2x/cc/24/cc24b42c0fc7e0c4efa33d3addb54b3c.jpg,Подогреватель посуды Kuppersberg KWD 600 BX,Подогреватель посуды Kuppersberg KWD 600 BX,25272,RUB,Да,,Бытовая техника,Встраиваемая техника,Подогреватели посуды,https://entero.ru/item/341508,"<p>Встраиваемый подогреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/341508"">Kuppersberg KWD 600 BX</a> </b>используется в домашних условиях для подогрева и поддержания в теплом состоянии посуды, пищевых продуктов, а также размораживания и плавления продуктов, приготовления йогуртов и расстойки теста. Модель оснащена камерой с трубчатым нагревательным элементом (ТЭНом) и вентилятором, кабелем питания с вилкой и расположенными на торце фронта сенсорной панелью управления и светодиодным цифровым дисплеем с белой подсветкой индикации. Корпус выполнен из нержавеющей стали, фронтальная панель – из черного стекла с глянцевой поверхностью и горизонтальной вставкой из нержавеющей стали на нижней кромке.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Равномерное распределение тепловых потоков благодаря принудительной вентиляции</li>
<li>Функции нагрева:
<ul>
<li>Подогрев кружек и бокалов</li>
<li>Подогрев тарелок и блюдец</li>
<li>Поддержание температуры блюд</li>
</ul>
</li>
<li>Дополнительные функции:
<ul>
<li>Регулировка температуры</li>
<li>Таймер для настройки длительности нагрева</li>
<li>Регулировка параметров с помощью клавиш «+» и «-»</li>
<li>Сброс настроек</li>
<li>Цифровая индикация параметров</li>
<li>Звуковая сигнализация для подтверждения настроек и оповещения об окончании цикла</li>
</ul>
</li>
<li>Простое управление с помощью легких прикосновений и интуитивно понятного меню</li>
<li>Механизм открывания и закрывания без рукоятки Push&Pull путем легкого нажатия на фронт</li>
<li>Телескопические направляющие для плавного выдвижения</li>
<li>Силиконовый коврик для предотвращения скольжения и механических повреждений посуды</li>
<li>Легкость монтажа</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный современный дизайн коллекции High Tech </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия хранения:
<ul>
<li>Диапазон температуры окружающей среды: от -50 до 40 °C</li>
<li>Максимальная относительная влажность: 75%</li>
</ul>
</li>
<li>Средний срок эксплуатации: 7 л.</li>
<li>Вместимость стандартных комплектов: 6</li>
<li>Максимальная загрузка: 25 кг</li>
<li>Длина кабеля питания: 1000 мм</li>
</ul>",341508,от 40 до 80 °С,220 В,1 кВт,595 мм,560 мм,143 мм,,,,0,https://entero.ru/manuals/406448/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kuppersberg%20KWD%20600%20BX.pdf;https://entero.ru/manuals/406451/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kuppersberg%20KWD%20600%20BX.pdf;https://entero.ru/manuals/406454/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20Kuppersberg%20KWD%20600%20BX.jpg,,,,,Китай,,,,
https://cdn.entero.ru/mp@2x/e4/c3/e4c33bbd4a91b565510f5f50531d63bc.jpg;https://cdn.entero.ru/mp@2x/d0/89/d0898a30c8af9fd189cefec152925e23.jpg;https://cdn.entero.ru/mp@2x/23/ad/23ad6e7fc46a4763f3b1e0252c462731.jpg;https://cdn.entero.ru/mp@2x/bc/75/bc7509c298935131472ab0b0d6401487.jpg;https://cdn.entero.ru/mp@2x/4a/d8/4ad88ef90af48bde327957f67ba368f3.jpg;https://cdn.entero.ru/mp@2x/d3/72/d3725383d91ee853d7aee92eec780ae3.jpg;https://cdn.entero.ru/mp@2x/23/ed/23ede31c9e583baff5b049d0d74c9060.jpg;https://cdn.entero.ru/mp@2x/75/8e/758ecdb1d8a613c01f4bc86f22bb5729.jpg,Подогреватель посуды Kuppersberg KWD 600 X,Подогреватель посуды Kuppersberg KWD 600 X,25592,RUB,Да,,Бытовая техника,Встраиваемая техника,Подогреватели посуды,https://entero.ru/item/341507,"<p>Встраиваемый подогреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/341507"">Kuppersberg KWD 600 X</a> </b>используется в домашних условиях для подогрева и поддержания в теплом состоянии посуды, пищевых продуктов, а также размораживания и плавления продуктов, приготовления йогуртов и расстойки теста. Модель оснащена камерой с трубчатым нагревательным элементом (ТЭНом) и вентилятором, кабелем питания с вилкой и расположенными на торце фронта сенсорной панелью управления и светодиодным цифровым дисплеем с белой подсветкой индикации. Корпус выполнен из нержавеющей стали, фронтальная панель – из нержавеющей стали с сатинированной серебристой поверхностью.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Равномерное распределение тепловых потоков благодаря принудительной вентиляции</li>
<li>Функции нагрева:
<ul>
<li>Подогрев кружек и бокалов</li>
<li>Подогрев тарелок и блюдец</li>
<li>Поддержание температуры блюд</li>
</ul>
</li>
<li>Дополнительные функции:
<ul>
<li>Регулировка температуры</li>
<li>Таймер для настройки длительности нагрева</li>
<li>Регулировка параметров с помощью клавиш «+» и «-»</li>
<li>Сброс настроек</li>
<li>Цифровая индикация параметров</li>
<li>Звуковая сигнализация для подтверждения настроек и оповещения об окончании цикла</li>
</ul>
</li>
<li>Простое управление с помощью легких прикосновений и интуитивно понятного меню</li>
<li>Механизм открывания и закрывания без рукоятки Push&Pull путем легкого нажатия на фронт</li>
<li>Телескопические направляющие для плавного выдвижения</li>
<li>Силиконовый коврик для предотвращения скольжения и механических повреждений посуды</li>
<li>Легкость монтажа</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный современный дизайн коллекции High Tech </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия хранения:
<ul>
<li>Диапазон температуры окружающей среды: от -50 до 40 °C</li>
<li>Максимальная относительная влажность: 75%</li>
</ul>
</li>
<li>Средний срок эксплуатации: 7 л.</li>
<li>Вместимость стандартных комплектов: 6</li>
<li>Максимальная загрузка: 25 кг</li>
<li>Длина кабеля питания: 1000 мм</li>
</ul>",341507,от 40 до 80 °С,220 В,1 кВт,595 мм,560 мм,143 мм,,,,0,https://entero.ru/manuals/406447/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kuppersberg%20KWD%20600%20X.pdf;https://entero.ru/manuals/406450/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kuppersberg%20KWD%20600%20X.pdf;https://entero.ru/manuals/406453/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20Kuppersberg%20KWD%20600%20X.jpg,,,,,Китай,,,,
https://cdn.entero.ru/mp@2x/f6/2c/f62c6a15c8d15b63fcf018e86f7b5e6e.jpg;https://cdn.entero.ru/mp@2x/64/5d/645d2fc521b0d70f732e72c97e7faea1.jpg;https://cdn.entero.ru/mp@2x/8f/55/8f5555cb96b1b8ada6c68b5888afe014.jpg;https://cdn.entero.ru/mp@2x/1b/4c/1b4c508721aa4efe814275813410566f.jpg;https://cdn.entero.ru/mp@2x/65/55/65558e0f47106306ad5093999919d604.jpg;https://cdn.entero.ru/mp@2x/4f/55/4f55ed92a147b12ba163cfd541741cb8.jpg;https://cdn.entero.ru/mp@2x/90/8e/908e65655170c2594b17ea8561ae507b.jpg;https://cdn.entero.ru/mp@2x/22/58/225829b81fe53428cc00918194b42af2.jpg,Подогреватель посуды Kuppersberg KWD 600 Black,Подогреватель посуды Kuppersberg KWD 600 Black,30717,RUB,Да,,Бытовая техника,Встраиваемая техника,Подогреватели посуды,https://entero.ru/item/341509,"<p>Встраиваемый подогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/341509""><b class=""b"">Kuppersberg KKWD 600 Black </b></a>используется в домашних условиях для подогрева и поддержания в теплом состоянии посуды, пищевых продуктов, а также размораживания и плавления продуктов, приготовления йогуртов и расстойки теста. Модель оснащена камерой с трубчатым нагревательным элементом (ТЭНом) и вентилятором, кабелем питания с вилкой и расположенными на торце фронта сенсорной панелью управления и светодиодным цифровым дисплеем с белой подсветкой индикации. Корпус выполнен из нержавеющей стали, фронтальная панель – из черного стекла с глянцевой поверхностью.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Равномерное распределение тепловых потоков благодаря принудительной вентиляции</li>
<li>Функции нагрева:
<ul>
<li>Подогрев кружек и бокалов</li>
<li>Подогрев тарелок и блюдец</li>
<li>Поддержание температуры блюд</li>
</ul>
</li>
<li>Дополнительные функции:
<ul>
<li>Регулировка температуры</li>
<li>Таймер для настройки длительности нагрева</li>
<li>Регулировка параметров с помощью клавиш «+» и «-»</li>
<li>Сброс настроек</li>
<li>Цифровая индикация параметров</li>
<li>Звуковая сигнализация для подтверждения настроек и оповещения об окончании цикла</li>
</ul>
</li>
<li>Простое управление с помощью легких прикосновений и интуитивно понятного меню</li>
<li>Механизм открывания и закрывания без рукоятки Push&Pull путем легкого нажатия на фронт</li>
<li>Телескопические направляющие для плавного выдвижения</li>
<li>Силиконовый коврик для предотвращения скольжения и механических повреждений посуды</li>
<li>Легкость монтажа</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный современный дизайн коллекции High Tech </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия хранения:
<ul>
<li>Диапазон температуры окружающей среды: от -50 до 40 °C</li>
<li>Максимальная относительная влажность: 75%</li>
</ul>
</li>
<li>Средний срок эксплуатации: 7 л.</li>
<li>Вместимость стандартных комплектов: 6</li>
<li>Максимальная загрузка: 25 кг</li>
<li>Длина кабеля питания: 1000 мм</li>
</ul>",341509,от 40 до 80 °С,220 В,1 кВт,595 мм,560 мм,143 мм,,,,0,https://entero.ru/manuals/406449/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kuppersberg%20KWD%20600%20Black.pdf;https://entero.ru/manuals/406452/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kuppersberg%20KWD%20600%20Black.pdf;https://entero.ru/manuals/406455/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20Kuppersberg%20KWD%20600%20Black.jpg,31997,,,,Китай,,,,
https://cdn.entero.ru/mp@2x/32/ad/32ad8071edf7bf976733eca49e197104.jpg,Подогреватель посуды Graude WS 14.0 W,Подогреватель посуды Graude WS 14.0 W,41990,RUB,Да,Graude,Бытовая техника,Встраиваемая техника,Подогреватели посуды,https://entero.ru/item/92848,"<p>Подогреватель посуды <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/92848"">Graude WS 14.0 W</a> </b>предназначен для поддерживания тарелок и чашек в теплом состоянии в частных домах, квартирах, отелях и офисах. Возможность встраивания значительно сэкономит кухонное пространство.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Неоновый индикатор</li>
<li>Противоскользящий коврик</li>
<li>Белое стекло</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный диапазон: от 30 до 80 °С</li>
<li>Максимальная нагрузка: 20 кг</li>
<li>Габариты: 594х548х141 мм</li>
</ul>",92848,,,,,,,,,,0,https://entero.ru/manuals/80399/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Graude%20WS%2014.0%20W.jpg,,,,,,,,,
https://cdn.entero.ru/mp@2x/92/fb/92fbd3f5e82b7c10607e458857fb6629.jpg,Подогреватель посуды Graude WS 14.0 S,Подогреватель посуды Graude WS 14.0 S,41990,RUB,Да,Graude,Бытовая техника,Встраиваемая техника,Подогреватели посуды,https://entero.ru/item/92849,"<p>Подогреватель посуды <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/92849"">Graude WS 14.0 S</a> </b>предназначен для поддерживания тарелок и чашек в теплом состоянии в частных домах, квартирах, отелях и офисах. Возможность встраивания значительно сэкономит кухонное пространство.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Неоновый индикатор</li>
<li>Противоскользящий коврик</li>
<li>Черное стекло</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный диапазон: от 30 до 80 °С</li>
<li>Максимальная нагрузка: 20 кг</li>
<li>Габариты: 594х548х141 мм</li>
</ul>",92849,,,,,,,,,,0,https://entero.ru/manuals/80400/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Graude%20WS%2014.0%20S.jpg,,,,,,,,,
https://cdn.entero.ru/mp@2x/e0/67/e06716f3f23a0c5bc2dca81f12d74cbb.jpg;https://cdn.entero.ru/mp@2x/54/07/54071808c6d671b69a3795c7318920b2.jpg;https://cdn.entero.ru/mp@2x/3c/da/3cda802d40995077f59ed1104171a574.jpg,Ящик для подогрева посуды Bertazzoni WD60Z цинк,серия Modern,69900,RUB,Да,,Бытовая техника,Встраиваемая техника,Подогреватели посуды,https://entero.ru/item/218027,"<p>Ящик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/218027""><b class=""b"">Bertazzoni WD60Z </b></a>предназначен для подогрева и поддержания в теплом состоянии посуды в домашних условиях. Модель оснащена вместительной камерой с вентилятором и защитной решеткой в задней стенке, электронным термостатом и скрытой за фронтом панелью управления. Корпус выполнен из металла с антикоррозийным покрытием фронта порошковой краской с содержанием цинка, направляющие – из металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры с помощью поворотного переключателя</li>
<li>Контрольный индикатор нагрева</li>
<li>Система открывания и закрывания Push&Pull с направляющими полного выдвижения и механизмом плавного хода</li>
<li>Нескользящий резиновый коврик</li>
<li>Система охлаждения с помощью автоматически регулируемой принудительной вентиляции и фронтальной термовыводящей щелевой решетки</li>
<li>Экономичная подсветка рабочей камеры </li>
<li>Модульная совместимость с духовыми шкафами Bertazzoni аналогичной ширины для компактного монтажа и оптимизации рабочего пространства</li>
<li>Эргономичный стильный дизайн серии Modern </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка: 25 кг</li>
</ul>",218027,от 30 до 85 °С,220 В,0.4 кВт,595 мм,560 мм,131 мм,16.3 кг,1,670x645x250 мм,0,https://entero.ru/manuals/258869/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bertazzoni%20WD60Z.pdf;https://entero.ru/manuals/258870/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20Bertazzoni%20WD60Z.pdf;https://entero.ru/manuals/478270/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Bertazzoni%202024.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241143&hash=2542f8d6d0af6e4d,14.5 кг,Италия,Италия,25 л,595 мм,560 мм,131 мм
https://cdn.entero.ru/mp@2x/31/d4/31d486d65200724b3a29f3cdf6405741.jpg;https://cdn.entero.ru/mp@2x/f3/a6/f3a6349a8f7b4418fa90912b6cdf0cf5.jpg;https://cdn.entero.ru/mp@2x/0a/99/0a99eaa7536de395703b24d858e40eb2.jpg;https://cdn.entero.ru/mp@2x/99/2b/992b7c71d690eae2f141d27a75ea42c1.jpg,Подогреватель посуды Pando PCP-9600,Подогреватель посуды Pando PCP-9600,69990,RUB,Да,,Бытовая техника,Встраиваемая техника,Подогреватели посуды,https://entero.ru/item/344418,"<p>Встраиваемый подогреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/344418"">Pando PCP-9600</a> </b>используется в домашних условиях для подогрева и поддержания в теплом состоянии посуды, пищевых продуктов, а также асептической тепловой обработки, размораживания и плавления продуктов, приготовления йогуртов и расстойки теста. Модель оснащена камерой с нагревательным элементом и вентилятором с защитной решеткой, кабелем питания c евровилкой (Shuko), внутренней электронной панелью управления с функциональными клавишами и светодиодным цифровым дисплеем с красной подсветкой индикации. Фронтальная панель выполнена из черного стекла с глянцевой поверхностью.</p>

<p>В комплект поставки входят инструкция по эксплуатации, гарантийный талон и заводская упаковка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Равномерное распределение тепловых потоков благодаря принудительной вентиляции</li>
<li>Регулировка температуры </li>
<li>Таймер:
<ul>
<li>Настройка длительности работы до автоматического отключения</li>
<li>Отложенный запуск</li>
</ul>
</li>
<li>Цифровая индикация температуры и настроек таймера</li>
<li>Светодиодные индикаторы питания и активных функций</li>
<li>Простое управление </li>
<li>Механизм открывания и закрывания без рукоятки Push&Pull путем легкого нажатия на фронт</li>
<li>Телескопические направляющие плавного выдвижения</li>
<li>Нескользящий коврик для предотвращения смещения и механических повреждений посуды</li>
<li>Монтаж в колонну совместно с духовыми шкафами серии</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Класс энергоэффективности: A+</li>
<li>Эргономичный современный дизайн коллекции Gama Premium</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная заданная длительность:
<ul>
<li>Нагрев: 4 ч</li>
<li>Отложенный запуск: 9,5 ч</li>
</ul>
</li>
<li>Средяя длительность равномерного нагрева 6 комплектов посуды при заданной температуре 60 °С: 30 мин.</li>
<li>Вместимость единовременной загрузки:
<ul>
<li>Стандартный комплект на 6 персон:
<ul>
<li>Тарелки диаметром 240 мм: 6</li>
<li>Бульонные чашки диаметром 100 мм: 6</li>
<li>Блюдо диаметром 190 мм: 1</li>
<li>Блюдо диаметром 170 мм: 1</li>
<li>Мясная тарелка диаметром 320 мм: 1 </li>
</ul>
</li>
<li>Тарелки диаметром 280 мм: 20</li>
<li>Кофейные чашки: 80</li>
<li>Чайные чашки: 40</li>
</ul>
</li>
<li>Максимальная загрузка: 25 кг</li>
<li>Длина кабеля питания: 1500 мм</li>
<li>Внутренние габариты: 470х500х100 мм</li>
</ul>",344418,от 30 до 70 °С,220 В,0.4 кВт,594 мм,557 мм,139 мм,,,,0,https://entero.ru/manuals/419428/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Pando%20PCP-9600%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/419429/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Pando%20PCP-9600.png;https://entero.ru/manuals/419449/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Pando%20%28%D0%B8%D1%81%D0%BF.%29.pdf,,,22 кг,Испания,Испания,,594 мм,557 мм,
https://cdn.entero.ru/mp@2x/de/79/de79678b2168f8e90d5411ac46465fc3.jpg,Подогреватель посуды SMEG CPR115S,Подогреватель посуды SMEG CPR115S,72690,RUB,Да,SMEG,Бытовая техника,Встраиваемая техника,Подогреватели посуды,https://entero.ru/item/112082,"<p>Подогреватель посуды <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/112082"">Smeg CPR115S</a></b> серии Linea предназначен для подогрева и поддержания в теплом состоянии тарелок, чашек и столовых приборов в частных домах, квартирах, отелях и офисах. Возможность встраивания решает проблему ограниченного пространства. Внутренняя камера выполнена из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление Touch Control</li>
<li>Размораживание продуктов</li>
<li>Подъем теста</li>
<li>Нагрев и размачивание</li>
<li>Открывание Push (без ручки)</li>
<li>​Поворотный переключатель температуры</li>
<li>Силиконовый коврик</li>
<li>Серебристое стекло Stopsol</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Допустимая нагрузка:
<ul>
<li>Внутри ящика: 15 кг</li>
<li>На ящик: 85 кг</li>
</ul>
</li>
</ul>",112082,от 30 до 80 °С,220 В,0.4 кВт,597 мм,538 мм,135 мм,,,,0,https://entero.ru/manuals/110220/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Smeg%20CPR115S.pdf;https://entero.ru/manuals/110218/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Smeg%20CPR115S.pdf;https://entero.ru/manuals/110217/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20Smeg%20CPR115S.jpg,76516,,,Италия,,21 л,,,
https://cdn.entero.ru/mp@2x/e4/f2/e4f29f7fc0b558950f005a56b91613d3.jpg,Подогреватель посуды SMEG CPR915X нерж. сталь,CPR915X,72690,RUB,Да,SMEG,Бытовая техника,Встраиваемая техника,Подогреватели посуды,https://entero.ru/item/328458,"<p>Встраиваемый подогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/328458""><b class=""b"">SMEG CPR915X </b></a>используется в домашних условиях для подогрева и поддержания в теплом состоянии посуды, а также пищевых продуктов. Модель оснащена камерой с нагревательным элементом и вентилятором, кабелем питания с вилкой (Shuko) и электромеханическим управлением. Корпус выполнен из нержавеющей стали марки 304, фронтальная панель – из нержавеющей стали с сатинированной серебристой поверхностью и фактурными выпуклостями, переключатель с поверхностью цвета нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Равномерное распределение тепловых потоков благодаря принудительной вентиляции</li>
<li>Функции нагрева:
<ul>
<li>Размораживание</li>
<li>Расстойка теста</li>
<li>Подогрев чашек</li>
<li>Поддержание тепла</li>
<li>Подогрев тарелок</li>
<li>Нагрев и размачивание посуды, подогрев пищи</li>
</ul>
</li>
<li>Выбор функций с помощью поворотного переключателя</li>
<li>Выключатель колыбельного типа</li>
<li>Механизм открывания и закрывания без рукоятки Push&Pull путем легкого нажатия на фронт</li>
<li>Силиконовый коврик для предотвращения скольжения и механических повреждений посуды</li>
<li>Монтаж в колонну или под столешницу</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный винтажный дизайн коллекции Victoria </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура функции поддержания тепла: 60 °С</li>
<li>Номинальная сила тока: 2 А</li>
<li>Максимальная загрузка:
<ul>
<li>При максимальном выдвижении: 15 кг</li>
<li>На опорной плоскости: 85 кг</li>
</ul>
</li>
</ul>",328458,от 30 до 80 °С,220 В,0.4 кВт,597 мм,556 мм,585 мм,16.4 кг,1,600x650x210 мм,0,https://entero.ru/manuals/390196/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20CPR915X.pdf;https://entero.ru/manuals/390197/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20CPR915X.pdf;https://entero.ru/manuals/390198/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20SMEG%20CPR915X%20%D0%BD%D0%B5%D1%80%D0%B6.%20%D1%81%D1%82%D0%B0%D0%BB%D1%8C.png,77330,,14.5 кг,Италия,Италия,21 л,597 мм,556 мм,585 мм
