Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Установка,Управление,Количество конфорок,Температурный режим духовки,Конфорка,Духовой шкаф
https://cdn.entero.ru/mp@2x/62/2a/622a94cff92e5d913a762f6e02a0975d.jpg;https://cdn.entero.ru/mp@2x/1c/c1/1cc19066cf2c1278cb856422718fc57d.jpg;https://cdn.entero.ru/mp@2x/2e/7d/2e7d28bb6078ad9ab2126e1edd94eaff.jpg;https://cdn.entero.ru/mp@2x/0e/fe/0efe6c2344480b18f349f7740c065922.jpg;https://cdn.entero.ru/mp@2x/11/93/1193974f253d3bb638ff576cd79ef9d7.jpg,Плита индукционная CASO TC 2400 Thermo Control,TC 2400,15373,RUB,Да,CASO,Бытовая техника,Крупная бытовая техника,Электрические плиты,https://entero.ru/item/149850,"<p>Настольная индукционная плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/149850"">CASO TC 2400 Thermo Control</a> </b>предназначена для приготовления и быстрого разогрева блюд в частных домах, квартирах, отелях и офисах. Модель оснащена сенсорной панелью управления с цифровым дисплеем и встроенным термощупом с держателем. Корпус выполнен из нержавеющей стали, зона нагрева - из стеклокерамики.</p>

<p><b>Особенности:</b></p>

<ul>
<li>12 уровней мощности</li>
<li>Таймер до 180 мин. </li>
<li>Автоматическое определение посуды</li>
<li>Функция поддержания температуры</li>
<li>Защита от перегрева</li>
<li>Возможность приготовления блюд по технологии Sous Vide</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Рабочая температура:
<ul>
<li>Конфорки (при отключенном термощупе): от 60 до 240 °C</li>
<li>Внутри посуды (при подключенном термощупе): от 40 до 160 °C ( с шагом 1 °C)</li>
</ul>
</li>
<li>Диаметр посуды: от 140 до 260 мм</li>
</ul>",149850,220 В,2.4 кВт,300 мм,370 мм,60 мм,,,,0,https://entero.ru/manuals/177646/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20TC%202400%20Thermo%20Control.pdf,,,3 кг,,Германия,настольная,электронное,1,,индукционная,
https://cdn.entero.ru/mp@2x/83/0f/830fd6951f20ef6dd4a27ac762b45aba.jpg;https://cdn.entero.ru/mp@2x/d5/fb/d5fb43fef7905ee82fc65021f05369e8.jpg,Плита индукционная CASO C 2000,Плита индукционная CASO C 2000,10573,RUB,Да,CASO,Бытовая техника,Крупная бытовая техника,Электрические плиты,https://entero.ru/item/129691,"<p>Настольная индукционная плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/129691"">CASO C 2000</a> </b><span style=""font-size: 12px;"">предназначена для приготовления и быстрого разогрева блюд в частных домах, квартирах, отелях и офисах. Модель оснащена сенсорной панелью управления с большим красным цифровым дисплеем и датчиком наличия посуды на конфорке. Корпус выполнен из стеклокерамики.</span></p>

<p><b><span style=""font-size: 12px;"">Особенности:</span></b></p>

<ul>
<li><span style=""font-size: 12px;"">10 уровней мощности и температуры</span></li>
<li><span style=""font-size: 12px;"">Поддержание температуры 60 °C</span></li>
<li><span style=""font-size: 12px;"">Режим Бустер</span></li>
<li><span style=""font-size: 12px;"">Таймер на 180 мин. c шагом 1 мин.</span></li>
<li>Индикатор остаточного тепла</li>
<li>Защита от перегрева</li>
<li>Легкая очистка</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Рабочая температура: от 60 до 200 °C</li>
<li>Диаметр посуды: от 150 до 220 мм</li>
</ul>",129691,220 В,2 кВт,280 мм,360 мм,65 мм,,,,0,https://entero.ru/manuals/143792/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20C%202000.pdf;https://entero.ru/manuals/143793/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,2.5 кг,,Германия,настольная,электронное,1,,индукционная,
https://cdn.entero.ru/mp@2x/23/c2/23c2d51f63a017e4e57e4c357c6951f2.jpg,Плита индукционная Gemlux GL-IP20A,Плита индукционная Gemlux GL-IP20A,5144,RUB,Да,Gemlux,Бытовая техника,Крупная бытовая техника,Электрические плиты,https://entero.ru/item/94182,"<p>Индукционная плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94182"">Gemlux GL-IP20A</a></b> ​серии Platinum предназначена для приготовления и разогрева блюд в частных домах и квартирах. Модель оснащена сенсорным управлением, регулировкой мощности и таймером (0-180 мин.). Корпус выполнен из пластмассы.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 60 до 240 °С</li>
</ul>",94182,220 В,2 кВт,288 мм,345 мм,65 мм,,,,0,https://entero.ru/manuals/83137/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Gemlux%20GL-IP20A.pdf;https://entero.ru/manuals/83134/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Gemlux.pdf,,,2.1 кг,,Китай,настольная,электронное,1,,индукционная,
https://cdn.entero.ru/mp@2x/9c/9e/9c9e28b60e383ac4a6b9268b01b510b4.jpg;https://cdn.entero.ru/mp@2x/00/45/0045ed98d0a6c349fe6bc1d70d85245e.jpg;https://cdn.entero.ru/mp@2x/f6/5a/f65ac0f17b7caf00a25eff7ade36be20.jpg,Плита индукционная Luxstahl TS-TP3.5X-10,BT3501,8809,RUB,Да,Luxstahl,Бытовая техника,Крупная бытовая техника,Электрические плиты,https://entero.ru/item/328174,"<p>Индукционная плита <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/328174""><b class=""b"">Luxstahl TS-TP3.5X-10</b></a> ​предназначена для приготовления и разогрева блюд в частных домах, квартирах. Модель оснащена электромеханическим управлением, светодиодным дисплеем, 8 уровнями мощности и таймером на 180 мин. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от 80 до 270 °С</li>
</ul>",328174,220 В,3.5 кВт,350 мм,425 мм,110 мм,,,,0,https://entero.ru/manuals/416764/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,,,Китай,настольная,электромеханическое,1,,индукционная,
https://cdn.entero.ru/mp@2x/f2/eb/f2ebf16c33abf0e7cec71145b1c1aba2.jpg,Плита индукционная CASO S-Line 2100,Плита индукционная CASO S-Line 2100,13111,RUB,Да,CASO,Бытовая техника,Крупная бытовая техника,Электрические плиты,https://entero.ru/item/116987,"<p>Настольная индукционная плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116987"">CASO S-Line 2100</a> </b><span style=""font-size: 12px;"">предназначена для приготовления и быстрого разогрева блюд в частных домах, квартирах, отелях и офисах. Модель оснащена сенсорной панелью управления с красным цифровым дисплеем и датчиком наличия посуды на конфорке. Корпус выполнен из нержавеющей стали, зона нагрева - из стеклокерамики.</span></p>

<p><b><span style=""font-size: 12px;"">Особенности:</span></b></p>

<ul>
<li><span style=""font-size: 12px;"">12 уровней мощности и температуры</span></li>
<li><span style=""font-size: 12px;"">Поддержание температуры 60 °C</span></li>
<li><span style=""font-size: 12px;"">Таймер на 180 мин. с шагом 1 мин.</span></li>
<li>Индикатор остаточного тепла</li>
<li>Защита от перегрева</li>
<li>Легкая очистка</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Рабочая температура: от 60 до 240 °C</li>
<li>Диаметр используемой посуды: от 120 до 260 мм</li>
</ul>",116987,220 В,2.1 кВт,277 мм,357 мм,58 мм,,,,0,https://entero.ru/manuals/117870/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20S-Line%202100%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,13948,,2.6 кг,,Германия,настольная,электронное,1,,стеклокерамическая,
https://cdn.entero.ru/mp@2x/40/d5/40d560940facbe0698dae4e60e14b313.jpg;https://cdn.entero.ru/mp@2x/89/1a/891ae1a56e1662296b615beebc622261.jpg;https://cdn.entero.ru/mp@2x/25/cb/25cbe42e1f2f5347d3e4689d39cf960d.jpg;https://cdn.entero.ru/mp@2x/9a/79/9a79a4791f54b69d38b6e08a0df963b7.jpg;https://cdn.entero.ru/mp@2x/0d/8b/0d8b150b52a9769f129d254f620d4271.jpg;https://cdn.entero.ru/mp@2x/a1/dc/a1dc9a1e7033bb132c56f6d6c24b3448.jpg,Варочный центр Bertazzoni PRO95I1EXT нержавеющая сталь,Серия Professional,697900,RUB,Да,,Бытовая техника,Крупная бытовая техника,Электрические плиты,https://entero.ru/item/268306,"<p>Варочный центр <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/268306""><b class=""b"">Bertazzoni PRO95I1EXT </b></a>предназначен для приготовления большого ассортимента блюд в гостиничном и ресторанном бизнесе, на предприятих пищевой промышленности, общественного питания и в домашних условиях. Модель оснащена индукционной варочной поверхностью с задним бортом, многофункциональным духовым шкафом с дверью и обзорным окном, вентилятором, выдвижным ящиком для хранения инвентаря, термощупом, сенсорной панелью управления с электронным программатором и 7 рукоятками управления. Ножки выполнены из нержавеющей стали, рукоятки управления имеют металлическое покрытие.</p>

<p>В комплект поставки входят 2 хромированные решетки, подставка-гриль для лотка и эмалированный противень.</p>

<p><b>Режимы работы духового шкафа:</b></p>

<ul>
<li>Верхний нагрев</li>
<li>Нижний нагрев</li>
<li>Традиционный (верхний и нижний) нагрев</li>
<li>Гриль</li>
<li>Гриль с конвекцией</li>
<li>Выпечка</li>
<li>Функция пицца</li>
<li>Конвекция</li>
<li>Быстрый преднагрев</li>
<li>Размораживание</li>
<li>Освещение </li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Варочная панель:
<ul>
<li>Управление при помощи рукояток </li>
<li>5 конфорок</li>
<li>Функция Booster (быстрый нагрев)</li>
<li>Обнаружение посуды</li>
<li>
<p>Индикатор остаточного тепла </p>
</li>
</ul>
</li>
<li>Духовые шкафы:
<ul>
<li>Система конвекции с кольцевым нагревательным элементом</li>
<li>4 уровня приготовления</li>
<li>Управление при помощи рукояток или электронного программатора (сенсорное)</li>
<li>Двойное освещение</li>
<li>Двери с доводчикам идля плавного и бесшумного закрывания </li>
<li>Трехслойное остекление дверей для снижения энергопотребления и минимизации нагрева наружной поверхности</li>
<li>Съемные внутренние стекла для удобства очистки</li>
</ul>
</li>
<li>Регулируемые по высоте опоры для компенсации неровностей пола</li>
<li>Цвет: нержавеющая сталь</li>
</ul>

<p><b>Дополнительные характеристики:</b>​</p>

<ul>
<li>Номинальная сила тока: 50 А</li>
<li>Номинальная мощность: 10,9 кВт</li>
<li>Объем духового шкафа: 103 л</li>
<li>Размер варочной поверхности: 900 мм</li>
<li>Мощность варочных зон:
<ul>
<li>Передняя слева: от 1,6 кВт до 1,85 кВт</li>
<li>Передняя справа: от 1,6 кВт до 1,85 кВт</li>
<li>Центральная: от 2,3 кВт до 3 кВт</li>
<li>Задняя слева: от 2,1 кВт до 3 Вт</li>
<li>Задняя справа: от 2,1 кВт до 3 кВт</li>
</ul>
</li>
<li>Размер варочной зоны:
<ul>
<li>Передняя слева: 210x200 мм</li>
<li>Передняя справа: 210 x 200 мм</li>
<li>Центральная: 265 мм</li>
<li>Задняя слева: 210 x 200 мм</li>
<li>Задняя справа: 210 x 200 мм</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Цокольная планка 90 см</li>
<li>Прозрачный стеклянный противень</li>
<li>Декоративная панель 90 см</li>
<li>Фарфоровый противень</li>
<li>Телескопические направляющие</li>
<li>Каталитические панели 90 см</li>
</ul>",268306,220 В,10.9 кВт,895 мм,600 мм,913 мм,,,,0,https://entero.ru/manuals/331221/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Bertazzoni%20PRO95I1EXT.pdf;https://entero.ru/manuals/332034/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Bertazzoni%20PRO95I1EXT.jpg;https://entero.ru/manuals/478433/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Bertazzoni%202024.pdf;https://entero.ru/manuals/481500/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/481516/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bertazzoni%20PRO95I1EXT%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241133&hash=a90a2603654b922e;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241143&hash=2542f8d6d0af6e4d,,Италия,Италия,напольная,электромеханическое,5,,индукционная,Да
https://cdn.entero.ru/mp@2x/82/ae/82ae3aa89b301214172279b79cf2c8bf.jpg,Плита настольная Clatronic EKP 3582,Плита настольная Clatronic EKP 3582,4252,RUB,Да,,Бытовая техника,Крупная бытовая техника,Электрические плиты,https://entero.ru/item/226385,"<p>Настольная плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226385"">Clatronic EKP 3582</a></b> предназначена для приготовления и быстрого разогрева блюд в частных домах, квартирах, отелях и офисах. Модель оснащена плавно регулируемым термостатом и световым индикатором. Корпус покрыт термостойкой краской.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Устойчивая конструкция</li>
<li>2 боковые ручки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр конфорки: 180 мм<br>
</li>
</ul>",226385,220 В,1.5 кВт,,,,,,,0,https://entero.ru/manuals/272892/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20EKP%203582.pdf,,,1.2 кг,Германия,Китай,настольная,,1,,чугунная,
https://cdn.entero.ru/mp@2x/99/54/99541b968dbe2f219ba0c809635874e4.jpg;https://cdn.entero.ru/mp@2x/42/7c/427cd2877444a5307578b797a99f7b33.jpg;https://cdn.entero.ru/mp@2x/20/bd/20bd8e9352a764551b3ea4e10326d409.jpg;https://cdn.entero.ru/mp@2x/60/4e/604ed81bf2741718c0bdabe73025ba9f.jpg;https://cdn.entero.ru/mp@2x/16/2b/162bb8fe153d69318e9ce0382e6e81e3.jpg;https://cdn.entero.ru/mp@2x/df/3a/df3a6e39aca6d22f2db0d209dda110c6.jpg;https://cdn.entero.ru/mp@2x/d5/5a/d55a216c21fc1b15a12e387de5af0904.jpg;https://cdn.entero.ru/mp@2x/03/34/033479797b2ccb42e31b0ec82774cac5.jpg;https://cdn.entero.ru/mp@2x/87/50/8750f990a5648ad19a4b1df00f907c44.jpg;https://cdn.entero.ru/mp@2x/a7/b3/a7b3d781cc3139ae41a831814a269af7.jpg;https://cdn.entero.ru/mp@2x/c4/e1/c4e174729cfc559ee884673c85ee52b4.jpg;https://cdn.entero.ru/mp@2x/83/c8/83c8c8edef0ef5680b599e90088d2ae8.jpg;https://cdn.entero.ru/mp@2x/9b/72/9b723fafa2eb7b01dbba6e611e27ce07.jpg;https://cdn.entero.ru/mp@2x/ee/14/ee14925df735cf610465d3048bb0b075.jpg;https://cdn.entero.ru/mp@2x/90/98/90984be508f4bebd3b549585c77a7114.jpg;https://cdn.entero.ru/mp@2x/f2/4b/f24b87f5a1a435395322e509c63cb3dc.jpg,Плита индукционная Zugel ZIHF60B,Плита индукционная Zugel ZIHF60B,4254,RUB,Да,,Бытовая техника,Крупная бытовая техника,Электрические плиты,https://entero.ru/item/375248,"<p>Индукционная плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375248"">Zugel ZIHF60B</a></b> предназначена для приготовления блюд в наплитной посуде в домашних условиях. Модель оснащена 1 конфоркой, сенсорным управлением, LED-дисплеем, таймером, индикацией мощности и температуры. Индукционная технология Smart Induction обеспечивает передачу до 90% энергии непосредственно посуде, что значительно экономит электроэнергию по сравнению с традиционными плитами, отсутствие открытого огня и минимальный нагрев окружающей среды делают приготовление пищи более безопасным и комфортным. Рабочая поверхность выполнена из стеклокерамики, корпус - из ABS/PP-пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Распознавание наличия посуды</li>
<li>Автоматическое определение диаметра посуды</li>
<li>Технология непрерывного нагрева для уровней мощности с 4 по 8</li>
<li>6 автоматических программ приготовления: жаркое, суп, кипячение, фритюр, жарка и на пару</li>
<li>Автоотключение</li>
<li>Защита от перегрева</li>
<li>Защита от детей путем блокировки панели</li>
<li>Ультратонкий дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество уровней мощности и температуры: 8</li>
<li>Таймер: до 180 мин.</li>
<li>Диаметр конфорки: 155 мм</li>
<li>Определение диаметра: от 120 до 200 мм</li>
<li>Максимальная нагрузка на конфорку: 8 кг</li>
<li>Частота тока: от 50 до 60 Гц</li>
</ul>",375248,220 В,от 0.2 до 2 кВт,280 мм,350 мм,70 мм,1.85 кг,,,0,https://entero.ru/manuals/507879/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Zugel%20ZIHF60B.pdf,,,,Россия,Китай,настольная,электронное,1,,индукционная,
https://cdn.entero.ru/mp@2x/b8/a1/b8a1380dd211d9f8562b77a852e7c356.jpg;https://cdn.entero.ru/mp@2x/00/7d/007d965bf3b4710c8d13b5dcd68b4576.jpg;https://cdn.entero.ru/mp@2x/f2/f7/f2f73b42bb8cd1c5389c7f2de5208136.jpg;https://cdn.entero.ru/mp@2x/6d/c0/6dc086676233fa4b6d5893929c54a1c5.jpg;https://cdn.entero.ru/mp@2x/2b/dd/2bddc1a7dd288f7ab6ceafd9f34273e1.jpg;https://cdn.entero.ru/mp@2x/98/27/98279cab6480f44b8904f4a82d55bed3.jpg;https://cdn.entero.ru/mp@2x/d2/d4/d2d4dc3c28c84df8e4a91e581d6f71e7.jpg;https://cdn.entero.ru/mp@2x/b7/10/b71041492564ebc288bf666f193ae879.jpg;https://cdn.entero.ru/mp@2x/42/00/420026ff47c18dccb8bbc030bab5aebc.jpg;https://cdn.entero.ru/mp@2x/3f/e1/3fe1f6535a3549230fb164e722db7a0b.jpg;https://cdn.entero.ru/mp@2x/17/50/175035cf91d4d3bf5ce41c54dce7758b.jpg;https://cdn.entero.ru/mp@2x/48/f1/48f1ab19c7bc69439dff9ed533da95e0.jpg;https://cdn.entero.ru/mp@2x/00/65/00657b2e8904a5cb757c6fb1c07a1657.jpg;https://cdn.entero.ru/mp@2x/42/ab/42abb0741ab808abe69e6efa413cb3b9.jpg;https://cdn.entero.ru/mp@2x/ec/63/ec631af2aed55f5282f3b0420b21a943.jpg,Плита электрическая Zugel ZEHF280B,Плита электрическая Zugel ZEHF280B,5299,RUB,Да,,Бытовая техника,Крупная бытовая техника,Электрические плиты,https://entero.ru/item/375250,"<p>Электрическая плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375250"">Zugel ZEHF280B</a></b> предназначена для приготовления блюд в наплитной посуде в домашних условиях. Модель оснащена 1 конфоркой, сенсорным управлением, LED-дисплеем, таймером, LED-индикацией мощности и температуры. Технология Hi-Light обеспечивает быстрый нагрев без потери мощности. Рабочая поверхность выполнена из стеклокерамики, корпус - из PC/GF-пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрый нагрев</li>
<li>Индикация остаточного тепла</li>
<li>Защита от детей</li>
<li>Автоотключение</li>
<li>Защита от перегрева</li>
<li>Ультратонкий дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество уровней мощности и температуры: 10</li>
<li>Таймер: до 180 мин.</li>
<li>Диаметр конфорки: 200 мм</li>
<li>Максимальная нагрузка на конфорку: 8 кг</li>
<li>Частота тока: от 50 до 60 Гц</li>
</ul>",375250,220 В,от 0.2 до 2 кВт,280 мм,350 мм,47 мм,2 кг,,,0,https://entero.ru/manuals/507883/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Zugel%20ZEHF280B.pdf,,,,Россия,Китай,настольная,электронное,1,,стеклокерамическая,
https://cdn.entero.ru/mp@2x/00/24/00246ba9f931d13da328cad2a7d07d63.jpg;https://cdn.entero.ru/mp@2x/3e/85/3e85225999525a26d2bff8db3a360ee2.jpg;https://cdn.entero.ru/mp@2x/69/98/69986996a2cdc5404c950e66defcd6e9.jpg;https://cdn.entero.ru/mp@2x/30/49/3049deb4b0da15f2927bf153a3e04bdb.jpg;https://cdn.entero.ru/mp@2x/d3/c7/d3c73e1fdc56ceb7b9684bd945f21983.jpg;https://cdn.entero.ru/mp@2x/23/78/23786ab4f0eccbcb421bc247e6874aee.jpg;https://cdn.entero.ru/mp@2x/6f/ac/6facb22450450f702c15f7e97c960cd2.jpg;https://cdn.entero.ru/mp@2x/a8/33/a83373735bb57c3dbad62e4c7714f89a.jpg;https://cdn.entero.ru/mp@2x/df/e7/dfe79048616bcce22de16b29d315b67c.jpg;https://cdn.entero.ru/mp@2x/ac/37/ac37ba27850939d1828ad02bed966be6.jpg;https://cdn.entero.ru/mp@2x/49/1a/491a220a4895f125c2fd0d9d748bf129.jpg;https://cdn.entero.ru/mp@2x/8b/5b/8b5b3f665ba3f62b87f598d61969b0e4.jpg,Плита электрическая индукционная настольная Maunfeld EVI.M291-WH,Плита электрическая индукционная настольная Maunfeld EVI.M291-WH,6373,RUB,Да,,Бытовая техника,Крупная бытовая техника,Электрические плиты,https://entero.ru/item/257148,"<p>Настольная электрическпя индукционная плита <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/257148"">Maunfeld EVI.M291-WH</a> </b>предназначена для приготовления и быстрого разогрева блюд в отелях, офисах и домашних условиях. Принцип работы основан на непосредственном нагреве металлической посуды создаваемыми высокочастотным магнитным полем индуцированными вихревыми токами. Модель оснащена 1 варочной зоной, кабелем питания с вилкой, электромеханической панелью управления с поворотным переключателем, сигнальными лампами и цифровым дисплеем с индикацией красного цвета. Корпус выполнен из нержавеющей стали, рабочая поверхность – из стеклокерамики белого цвета.</p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Основные программы приготовления с регулировкой мощности и длительности:
<ul>
<li>Базовый</li>
<li>Жарка</li>
<li>Варка на пару</li>
</ul>
</li>
<li>Дополнительные автоматические программы:
<ul>
<li>Суп</li>
<li>Кипячение</li>
</ul>
</li>
<li>10 уровней регулировки мощности</li>
<li>Таймер для настройки времени автоматического отключения</li>
<li>Цифровая индикация заданной длительности</li>
<li>Индикатор остаточного тепла </li>
<li>Светодиодные индикаторы питания, уровня мощности, активных режимов и функций</li>
<li>Звуковая сигнализация для подтверждения настроек и оповещения об окончании приготовления</li>
<li>Функция блокировки управления для защиты от случайного изменения параметров</li>
<li>Функция распознавания посуды для предотвращения нагрева при с предметами из неподходящего материала или неверного размера</li>
<li>Самодиагностика с индикацией кодв неисправностей</li>
<li>Автоматическое отключение при перегреве</li>
<li>Система охлаждения с помощью автоматически регулируемой вентиляции</li>
<li>Устойчивые нескользящие опоры</li>
<li>Компактные габариты для оптимизации пространства и удобства транспортировки</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон рабочей температуры: от 60 до 240 °C </li>
<li>Диапазон регулировки мощности: от 0,2 до 2 кВт</li>
<li>Шаг регулировки мощности: 0,2 кВт</li>
<li>Диапазон регулировки длительности: от 1 до 180 мин.</li>
<li>Шаг регулировки длительности: 1 и 10 мин.</li>
<li>Температура (мощность) / длительность программ:
<ul>
<li>Молоко: 80 °C / 9 мин.</li>
<li>Суп: 1,2 кВт / 90 мин.</li>
<li>Кипячение: 2 кВт / 18 мин.</li>
</ul>
</li>
<li>Средний срок службы: 3 г.</li>
<li>Диаметр варочной зоны: 160 мм</li>
<li>Диаметр посуды: от 160 до 260 мм</li>
<li>Длина кабеля питания: 1460 мм</li>
</ul>",257148,220 В,2 кВт,290 мм,289 мм,40 мм,,,,0,https://entero.ru/manuals/316990/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Maunfeld%20EVI.M291-WH.pdf,,,2.2 кг,Великобритания,Китай,настольная,механическое,1,,"индукционная, стеклокерамическая",
