Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Длина планки,Двойная запайка
https://cdn.entero.ru/mp@2x/ec/37/ec3727ef6222967dd374bef8de194518.jpg;https://cdn.entero.ru/mp@2x/5d/bb/5dbbc87567e02029811b609dbedfe35d.jpg;https://cdn.entero.ru/mp@2x/32/a2/32a2c6c1f3a91a2af7382e30e5b89c0b.jpg;https://cdn.entero.ru/mp@2x/3a/84/3a84baafa654006739d67842fc44b50d.jpg;https://cdn.entero.ru/mp@2x/0c/1d/0c1df00aeb1faa689daf219ce54de3e2.jpg;https://cdn.entero.ru/mp@2x/87/60/8760a53c4ee28f4f5cfd978a923a25ff.jpg;https://cdn.entero.ru/mp@2x/fe/7e/fe7ea36ea595c8db7a29f32b8129fc78.jpg;https://cdn.entero.ru/mp@2x/f5/7f/f57f1f72892ea3df12238375dbf41f71.jpg,Упаковщик вакуумный CASO HC 170,Упаковщик вакуумный CASO HC 170,9450,RUB,Да,CASO,Бытовая техника,Техника для дома,Вакуумные упаковщики,https://entero.ru/item/129451,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/129451"">CASO HC 170</a> </b>используется в частных домах, квартирах, отелях и офисах для упаковки в вакуум мяса, рыбы, овощей, фруктов и домашних заготовок в пакетах или контейнерах для увеличения срока хранения. Модель оснащена дисплеем со светодиодными индикаторами и удобной ручкой. Корпус выполнен из пластика.</p>

<p>В комплект поставки входят переходник для контейнеров и 10 пакетов размером 20x30 см.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Широкий сварочный шов</li>
<li>Выбор режима сварки для сухих или влажных продуктов</li>
<li>Импульсный режим</li>
<li>Съемная вакуумная камера для сбора жидкости</li>
<li>Встроенный контейнер для рулона</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность насоса: 9 л/мин.</li>
<li>Вакуум: 0,75 бар</li>
</ul>",129451,настольный,,0.11 кВт,405 мм,100 мм,180 мм,,,,0,https://entero.ru/manuals/143239/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20HC%20170%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,1.8 кг,Германия,Китай,300 мм,
https://cdn.entero.ru/mp@2x/93/a8/93a85c89f8cb5ffe6b9cab2255669dbd.jpg;https://cdn.entero.ru/mp@2x/03/b8/03b85422441b878008096d22c7758194.jpg;https://cdn.entero.ru/mp@2x/1e/8a/1e8adbcedb91cc75d359b6922ea65454.jpg;https://cdn.entero.ru/mp@2x/f2/9c/f29c70a550e749adfaea8e1418c7f35f.jpg;https://cdn.entero.ru/mp@2x/c2/90/c290d2911766952eeb738a7a0f2dad15.jpg;https://cdn.entero.ru/mp@2x/9f/02/9f024ab61af3c6fd410bf7adf963498d.jpg;https://cdn.entero.ru/mp@2x/05/33/053346fbde9ec46a81159a13820774cf.jpg;https://cdn.entero.ru/mp@2x/13/08/130873a7618aff8f0e361bda2c56b47e.jpg;https://cdn.entero.ru/mp@2x/83/9b/839b286d5156eed7328ebf612ab2b7cc.jpg;https://cdn.entero.ru/mp@2x/e7/ef/e7ef8d8f27b555059d7e9b87c732e905.jpg,Вакууматор CASO VacuChef 50,1416,67523,RUB,Да,CASO,Бытовая техника,Техника для дома,Вакуумные упаковщики,https://entero.ru/item/278697,"<p>Вакууматор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/278697""><b class=""b"">CASO </b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/278697""><b class=""b"">VacuChef 50</b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/278697""><b class=""b""> </b></a>используется в частных домах, квартирах, отелях и офисах для упаковки в вакуум мяса, рыбы, овощей, фруктов и домашних заготовок в пакетах для увеличения срока хранения. Модель оснащена сенсорной панелью управления. Корпус выполнен из нержавеющей стали, крышка - из прочного закаленного стекла.</p>

<p>В комплект поставки входит 30 пакетов 28 x 25 см, запасной уплотнитель и вакуумный шланг.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подходит для твердых, мягких, сухих и жидких продуктов</li>
<li>4-х поршневой вакуумный насос</li>
<li>Двойной сварной шов для пакетов шириной до 30 см</li>
<li>Манометр для отображения давления в вакуумной камере</li>
<li>Зажимной механизм для надежного позиционирования пакета в вакуумной камере</li>
<li>Съемная запаивающая планка для легкой очистки камеры</li>
<li>Индивидуально регулируемая функция вакуума и сварки</li>
<li>Время запайки регулируется вручную</li>
<li>Режим маринования</li>
<li>Вакуумирование крупных пищевых продуктов вне камеры с использованием структурированных пакетов</li>
<li>Вакуумирование контейнеров и пакетов VACU ZIP (требуется адаптер)</li>
<li>Электронный контроль температуры шва </li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Цвет: нержавеющая сталь</li>
<li>Размер камеры: 310 х 90 х 220 мм</li>
<li>Объем камеры: 4 л</li>
<li>Ширина сварного шва: 2 мм</li>
<li>Производительность насоса: 70 л/мин</li>
<li>Время вакуумирования: 5–60 сек. (с шагом 5 сек)</li>
<li>Время запайки: 3–9 сек. (с шагом в 1 секунду)</li>
<li>
<p>Степень вакуума: 0,95</p>
</li>
</ul>",278697,настольный,220 В,0.3 кВт,360 мм,290 мм,210 мм,,,,0,https://entero.ru/manuals/343860/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20VacuChef%2050.pdf,72605,,8.05 кг,Германия,Китай,300 мм,Да
https://cdn.entero.ru/mp@2x/c2/59/c259d4e75fe6aee13a1c21bb0f2551a3.jpg;https://cdn.entero.ru/mp@2x/27/5b/275b7b0e2384f42d9494fa168718a83b.jpg;https://cdn.entero.ru/mp@2x/1f/93/1f9362eea01c27c85f4a3e4afa475a64.jpg;https://cdn.entero.ru/mp@2x/a5/97/a597362a344aab522e9fac1ca689fbb0.jpg;https://cdn.entero.ru/mp@2x/38/8e/388e360accc54f674bae97737a410da7.jpg;https://cdn.entero.ru/mp@2x/b0/0f/b00fe008d0ba051b1c7ea8cdec620a21.jpg,Упаковщик вакуумный CASO GourmetVAC 280,Упаковщик вакуумный CASO GourmetVAC 280,12358,RUB,Да,CASO,Бытовая техника,Техника для дома,Вакуумные упаковщики,https://entero.ru/item/103087,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/103087"">CASO GourmetVAC 280</a> </b>используется в частных домах, квартирах, отелях и офисах для упаковки в вакуум мяса, рыбы, овощей, фруктов и домашних заготовок в пакетах или контейнерах для увеличения срока хранения. Модель оснащена поршневым насосом, мощным двигателем, встроенным резаком для пленки и запатентованной удобной ручкой запирания крышки.</p>

<p>В комплект поставки входят переходник для контейнеров и 10 пакетов 200x300 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный контроль температуры сварного шва</li>
<li>Регулируемое время сварки для влажных и маринованных продуктов</li>
<li>Режимы: ручное уплотенение, автоматическое вакуумирование и запайка</li>
<li>Регуируемая бесступенчатая вакуумная прочность для чувствительных продуктов</li>
<li>Импульсный режим</li>
<li>Двойной сварочный шов</li>
<li>Откачивание воздуха из контейнеров</li>
<li>Низкий уровень шума при работе</li>
<li>Съемная вакуумная камера для сбора жидкости</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность насоса: 15 л/мин.</li>
</ul>",103087,настольный,,0.13 кВт,380 мм,178 мм,88 мм,,,,0,https://entero.ru/manuals/94434/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20GourmetVAC%20280%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,13008,,1.9 кг,Германия,Китай,300 мм,Да
https://cdn.entero.ru/mp@2x/7c/d9/7cd9b6294e27f52943bf708a26890014.jpg;https://cdn.entero.ru/mp@2x/d2/be/d2be056f308532cb4cc0711da1f1a37b.jpg;https://cdn.entero.ru/mp@2x/a9/19/a919a48da1ec7aadfd9bc7853c73943e.jpg;https://cdn.entero.ru/mp@2x/b9/ec/b9ec87f82191f6a68ec247b503a17f56.jpg,Упаковщик вакуумный CASO GourmetVAC 480,Упаковщик вакуумный CASO GourmetVAC 480,23311,RUB,Да,CASO,Бытовая техника,Техника для дома,Вакуумные упаковщики,https://entero.ru/item/104694,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/104694"">CASO GourmetVAC 480</a> </b>используется в частных домах, квартирах, отелях и офисах для упаковки в вакуум мяса, рыбы, овощей, фруктов и домашних заготовок в пакетах или контейнерах для увеличения срока хранения. Модель оснащена двухпоршневым насосом, мощным двигателем, встроенным резаком для пленки и автоматически закрывающейся крышкой с запетентованной удобной ручкой.</p>

<p>В комплект поставки входят переходник для контейнеров и рулоны 20x300 и 30x300 см.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный контроль температуры сварного шва</li>
<li>Регулируемое время сварки для влажных и маринованных продуктов</li>
<li>Режимы: ручное уплотенение, автоматическое вакуумирование и запайка</li>
<li>Регуируемая бесступенчатая вакуумная прочность для чувствительных продуктов</li>
<li>Импульсный режим</li>
<li>Двойной сварочный шов</li>
<li>Функция памяти: запоминание степени откачивания в импульсном режиме</li>
<li>Светодиодный индикатор режима работы</li>
<li>Откачивание воздуха из контейнеров</li>
<li>Низкий уровень шума при работе</li>
<li>Съемная вакуумная камера для сбора жидкости</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность насоса: 20 л/мин.</li>
</ul>",104694,настольный,,0.16 кВт,410 мм,200 мм,102 мм,,,,0,https://entero.ru/manuals/94996/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20GourmetVAC%20480%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,24538,,2.5 кг,Германия,Китай,300 мм,Да
https://cdn.entero.ru/mp@2x/e6/be/e6be6340cee0ca5a886cd634c4947926.jpg;https://cdn.entero.ru/mp@2x/69/8e/698e256b0da9e8b1c4b8c2dfcb8d37bc.jpg;https://cdn.entero.ru/mp@2x/40/dd/40dd57767822ca9b8be80b5061c2b175.jpg,Упаковщик вакуумный Status VP 159310,Упаковщик вакуумный Status VP 159310,826,RUB,Да,,Бытовая техника,Техника для дома,Вакуумные упаковщики,https://entero.ru/item/225642,"<p>Ручной вакуумный упаковщик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225642""><b class=""b"">Status VP 159310</b></a> используется в частных домах и квартирах для упаковки в вакуум продуктов питания, жидкости и готовых блюд для увеличения срока хранения. Рекомендуется очищать только с помощью влажной ткани, не подходит для мойки в посудомоечной машине. Корпус выполнен из пластмассы белого цвета. </p>

<p>Пакеты и контейнеры в комплект поставки не входят и приобретаются отдельно.</p>

<p> </p>",225642,ручной,,,,,,,,,0,,1163,,,Словения,Словения,,
https://cdn.entero.ru/mp@2x/43/bf/43bfb99827f8dcdd688baab058bddc20.jpg;https://cdn.entero.ru/mp@2x/33/8b/338bae8dec46751c6ca0f36c14b6de69.jpg;https://cdn.entero.ru/mp@2x/6e/8d/6e8dc554c53d115505bf61c36fa17c4c.jpg,Упаковщик вакуумный Hualian DZ-300A,DZ-300/A,7452,RUB,Да,Hualian,Бытовая техника,Техника для дома,Вакуумные упаковщики,https://entero.ru/item/119093,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/119093"">Hualian DZ-300A</a></b> используется в квартирах, частных домах, кафе и ресторанах для упаковки в вакуум продуктов питания для увеличения срока хранения. Модель оснащена электронным управлением с сенсорными кнопками, регулировками давления и длины рулонного вакуумного рукава и датчиком автоматического отключения при достижении предельного вакуума.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Автоматический и ручной режимы работы</li>
<li>3 степени вакуума (полная / средняя / частичная)</li>
<li>Функция одинарной запайки</li>
<li>Функция непрерывной откачки</li>
<li>Функция внешнего насоса</li>
<li>Низкий уровень шума при работе</li>
<li>Подходит для упаковки сухих, влажных, мягких, порошкообразных и жидких продуктов</li>
<li>Совместим с рифлеными пакетами, рукавами и контейнерам</li>
<li>Обладает хорошим теплоотводом</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина шва: 2,5 мм</li>
<li>Время цикла запайки: от 1,5 до 15 сек.</li>
<li>Остаточное давление: 80 кПа</li>
</ul>",119093,настольный,,0.1 кВт,390 мм,148 мм,72 мм,,,,0,https://entero.ru/manuals/135129/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8F.pdf;https://entero.ru/manuals/135088/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D0%B7%D0%B0%D0%BB%D0%B8%D0%B2%D0%BA%D0%B5%20%D0%BC%D0%B0%D1%81%D0%BB%D0%B0.pdf,,,2 кг,,Китай,300 мм,
https://cdn.entero.ru/mp@2x/4c/3f/4c3f7b4b1e4a23e1dee6ce59b33bb13d.jpg,Упаковщик вакуумный Hualian DZ-280P,Упаковщик вакуумный Hualian DZ-280P,7579,RUB,Да,Hualian,Бытовая техника,Техника для дома,Вакуумные упаковщики,https://entero.ru/item/295336,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/295336"">Hualian DZ-280P</a></b> используется в квартирах, частных домах, кафе и ресторанах для упаковки в вакуум продуктов питания для увеличения их срока хранения. Модель оснащена защитным фильтром. Сопло выполнено из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Высокое качество и надежность вакуумизации и запайки пакета</li>
<li>Регулируемое время запайки</li>
<li>Сопло выдвигается механически</li>
<li>Упаковщик адаптирован для работы с различными термосвариваемыми материалами</li>
<li>Можно использовать для упаковки влагосодержащих или сыпучих продуктов</li>
<li>Необходимо использовать пакеты с барьерными свойствами</li>
<li>Время вакуумизации не регулируется</li>
</ul>

<p>​<b>Дополнительные характеристики:</b></p>

<ul>
<li>Время запайки: от 1 до 9 сек. </li>
<li>Предельное вакуумное давление: ​0,075~0,080 кПа</li>
<li>Ширина шва: 4 мм</li>
</ul>",295336,настольный,220 В,0.15 кВт,365 мм,150 мм,85 мм,2.03 кг,1,430x200x120 мм,0,,,,2 кг,,Китай,300 мм,
https://cdn.entero.ru/mp@2x/d4/ec/d4ecbc374d3472e96c33b8cbb055784a.jpg,Упаковщик вакуумный Hualian DZ-280A,DZ-280/A,9959,RUB,Да,Hualian,Бытовая техника,Техника для дома,Вакуумные упаковщики,https://entero.ru/item/105868,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105868"">Hualian DZ-280A</a></b> используется в квартирах, частных домах, кафе и ресторанах для упаковки в вакуум продуктов питания для увеличения срока хранения.</p>

<p>В комплект поставки входят 10 пакетов.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время цикла вакуумирования при размере пакета 250х300 мм: 20 сек.</li>
<li>Мощность:
<ul>
<li>Запайка: 0,15 кВт</li>
<li>Насос: 0,65 кВт</li>
</ul>
</li>
<li>Остаточное давление: 0,6 кПа</li>
</ul>",105868,настольный,,,260 мм,330 мм,90 мм,,,,0,https://entero.ru/manuals/135127/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8F.pdf;https://entero.ru/manuals/135086/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D0%B7%D0%B0%D0%BB%D0%B8%D0%B2%D0%BA%D0%B5%20%D0%BC%D0%B0%D1%81%D0%BB%D0%B0.pdf,,,,,Китай,280 мм,
https://cdn.entero.ru/mp@2x/e0/d2/e0d22c6a26ba06c3ed252cd4d36c1da7.jpg;https://cdn.entero.ru/mp@2x/51/42/514204313d26c5384b310961f0cbaacc.jpg;https://cdn.entero.ru/mp@2x/4d/7b/4d7bef1f89ce5ce441f99c29db5527fc.jpg;https://cdn.entero.ru/mp@2x/d1/17/d1170dcd38e7cd2278be01cde527dca1.jpg;https://cdn.entero.ru/mp@2x/b1/9e/b19e2733ff71ac0549e67c7e784bd2ae.jpg;https://cdn.entero.ru/mp@2x/a1/40/a140e301b6593022a15bbd9ea9f87247.jpg;https://cdn.entero.ru/mp@2x/54/cd/54cdeab9a7fa589e60af31c422c1c504.jpg;https://cdn.entero.ru/mp@2x/77/d1/77d1cd6533972c02d5981436f751b2ce.jpg,Упаковщик вакуумный Steba VK 7,Упаковщик вакуумный Steba VK 7,13121,RUB,Да,,Бытовая техника,Техника для дома,Вакуумные упаковщики,https://entero.ru/item/168500,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168500"">Steba VK 7</a> </b>используется в частных домах, квартирах, отелях и офисах для упаковки в вакуум мяса, рыбы, овощей, фруктов и домашних заготовок в пакетах или контейнерах для увеличения срока хранения. Модель оснащена панелью управления с индикаторами режимов работы и встроенным резаком для пленки. Корпус выполнен из пластика и нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный контроль температуры шва</li>
<li>Автоматический режим вакуумирования</li>
<li>Кнопка Стоп</li>
<li>Одинарный сварной шов</li>
<li>Вакуумирование в контейнерах</li>
<li>Съемная для очистки вакумная камера</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность насоса: 8 л/мин.</li>
<li>Вакуум: 0,8 бар</li>
</ul>",168500,настольный,,0.15 кВт,400 мм,160 мм,90 мм,,,,0,https://entero.ru/manuals/194488/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20VK%207%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,1.6 кг,Германия,Китай,300 мм,
https://cdn.entero.ru/mp@2x/23/ae/23ae27803ed0a1396ef099bb1f9746e1.jpg;https://cdn.entero.ru/mp@2x/f3/40/f3409d620b51a7b4f588b77b6116074e.jpg;https://cdn.entero.ru/mp@2x/b8/9d/b89dcdfb8975c9d7956ba2d5b475bb7b.jpg;https://cdn.entero.ru/mp@2x/2b/2c/2b2c45aece5c25f96d40d95786de523f.jpg;https://cdn.entero.ru/mp@2x/8d/1e/8d1ecf2a78fd48343c90ce6dd38c5c04.jpg;https://cdn.entero.ru/mp@2x/16/cb/16cbf691c0046c12b86cfb518af97b1b.jpg;https://cdn.entero.ru/mp@2x/48/df/48df3d49505a362a24016deac63faf98.jpg,Упаковщик вакуумный CASO VRH 690,VRH 690 advanced,21702,RUB,Да,CASO,Бытовая техника,Техника для дома,Вакуумные упаковщики,https://entero.ru/item/129479,"<p>Вакуумный упаковщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/129479"">CASO VRH 690</a> </b>используется в частных домах, квартирах, отелях и офисах для упаковки в вакуум мяса, рыбы, овощей, фруктов и домашних заготовок в пакетах или контейнерах для увеличения срока хранения. Модель оснащена сенсорной панелью управления, встроенным резаком для пленки и удобной ручкой. Корпус выполнен из пластика.</p>

<p>В комплект поставки входят переходник для контейнеров, рулон пленки 20x300 см и рулон пленки 28x300 см.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный контроль температуры сварного шва</li>
<li>Режимы для сухих, влажных и очень влажных продуктов</li>
<li>Регулируемая сила вакуума</li>
<li>Импульсный режим</li>
<li>Режим маринования</li>
<li>Двойной сварочный шов</li>
<li>Встроенный контейнер для рулона</li>
<li>Съемная вакуумная камера для сбора жидкости</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность насоса: 20 л/мин.</li>
<li>Вакуум: 0,9 бар</li>
</ul>",129479,настольный,,0.13 кВт,400 мм,120 мм,195 мм,,,,0,https://entero.ru/manuals/143280/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20VRH%20690.pdf,23589,,2.8 кг,Германия,Китай,300 мм,Да
