Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Нагрев рабочей поверхности,Вакуум,Наддув
https://cdn.entero.ru/mp@2x/f8/52/f852e07b1df790fc1de9a3251bce02ef.jpg,Гладильная доска EOLO AT-02,Гладильная доска EOLO AT-02,18707,RUB,Да,EOLO,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/89216,"<p>Складная гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89216"">EOLO AT-02</a></b> используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена нержавеющей подставкой для утюга, металлической полочкой для белья, хромированными опорами с резиновыми насадками, предотвращающими скольжение доски. Доска регулируется по высоте в 7-ми позициях. Многослойный чехол имеет паропроводящую перфорированную поверхность.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размеры гладильной поверхности: 1200x450 мм</li>
<li>Размеры подставки: 410x280 мм</li>
<li>Диаметр ножек: 32 мм</li>
<li>Габариты в упаковке: 490x110x1530 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",89216,,,1510 мм,90 мм,470 мм,0,https://entero.ru/manuals/113685/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,6 кг,,,,,
https://cdn.entero.ru/mp@2x/f9/12/f912664dcf332c622f97b52795b146e2.jpg,Гладильная доска EOLO AT-01,Гладильная доска EOLO AT-01,17635,RUB,Да,EOLO,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/89214,"<p>Складная гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89214"">EOLO AT-01</a></b> используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена нержавеющей подставкой для утюга, металлической полочкой для белья, хромированными опорами с резиновыми насадками, предотвращающими скольжение доски. Доска регулируется по высоте в 7-ми позициях. Многослойный чехол имеет паропроводящую перфорированную поверхность.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размеры гладильной поверхности: 1200x370 мм</li>
<li>Размеры подставки: 410x280 мм</li>
<li>Диаметр ножек: 32 мм</li>
<li>Габариты в упаковке: 490x110x1530 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",89214,,,1510 мм,90 мм,470 мм,0,https://entero.ru/manuals/113684/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,5.5 кг,,,,,
https://cdn.entero.ru/mp@2x/2b/9b/2b9b1d634e40f77c74476ca3b16512e5.jpg,Гладильная доска EOLO AT-05,Гладильная доска EOLO AT-05,26450,RUB,Да,EOLO,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/89218,"<p>Складная гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89218"">EOLO AT-05</a> </b>используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена нержавеющей подставкой для утюга, металлической полочкой для белья, двойными устойчивыми изогнутыми хромированными опорами с резиновыми насадками, предотвращающими скольжение доски, и колесиком для перемещения в сложенном состоянии. Доска регулируется по высоте в 7-ми позициях. Многослойный чехол имеет паропроводящую перфорированную поверхность.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальная нагрузка: 90 кг</li>
<li>Размеры гладильной поверхности: 1220x480 мм</li>
<li>Размеры подставки: 435x280 мм</li>
<li>Диаметр ножек: 40 мм</li>
<li>Габариты в упаковке: 600x130x1560 мм</li>
</ul>",89218,,,1540 мм,110 мм,580 мм,0,https://entero.ru/manuals/113688/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,27552,8.5 кг,,,,,
https://cdn.entero.ru/mp@2x/b4/d1/b4d19cfacc27ed140c27b7d656e19b75.jpg,Гладильная доска EOLO AT-03,Гладильная доска EOLO AT-03,14382,RUB,Да,EOLO,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/89376,"<p>Складная гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89376"">EOLO AT-03</a></b> используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена нержавеющей подставкой для утюга со специальной анти-коррозионной обработкой и хромированными опорами с резиновыми насадками, предотвращающими скольжение доски. Доска регулируется по высоте в 7-ми позициях. Многослойный чехол имеет паропроводящую перфорированную поверхность.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размеры гладильной поверхности: 1200x370 мм</li>
<li>Размеры подставки: 350x350 мм</li>
<li>Диаметр ножек: 32 мм</li>
<li>Габариты в упаковке: 490x110x1590 мм</li>
</ul>",89376,,,1570 мм,90 мм,350 мм,0,https://entero.ru/manuals/113686/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,5 кг,,,,,
https://cdn.entero.ru/mp@2x/39/92/399291c94afcd6321051f2e9b9327d94.jpg,Гладильная доска EOLO AT-04,Гладильная доска EOLO AT-04,20310,RUB,Да,EOLO,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/89217,"<p>Складная гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89217"">EOLO AT-04</a></b> используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена нержавеющей подставкой для утюга, металлической полочкой для белья, двойными устойчивыми хромированными опорами с резиновыми насадками, предотвращающими скольжение доски. Доска регулируется по высоте в 7-ми позициях. Многослойный чехол имеет паропроводящую перфорированную поверхность.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальная нагрузка: 90 кг</li>
<li>Размеры гладильной поверхности: 1200x450 мм</li>
<li>Размеры подставки: 410x280 мм</li>
<li>Диаметр ножек: 32 мм</li>
<li>Габариты в упаковке: 540x110x1540 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",89217,,,1520 мм,90 мм,520 мм,0,https://entero.ru/manuals/113687/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,21839,7 кг,,,,,
https://cdn.entero.ru/mp@2x/69/90/6990ba7c6b4b9fd9f96f662209133c1c.jpg,Гладильная доска EOLO AT-06,Гладильная доска EOLO AT-06,37950,RUB,Да,EOLO,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/89219,"<p>Складная гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89219"">EOLO AT-06</a></b> используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена нержавеющей подставкой для утюга, металлической полочкой для белья, рукавной платформой, подвесом для вешалок, двойной широкой ножкой, устойчивыми хромированными опорами с резиновыми насадками, предотвращающими скольжение доски, и колесиком для перемещения в сложенном состоянии. Доска регулируется по высоте в 7-ми позициях. Многослойный чехол имеет паропроводящую перфорированную поверхность.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размеры гладильной поверхности: 1220x480 мм</li>
<li>Размеры подставки: 435x280 мм</li>
<li>Диаметр ножек: 40 мм</li>
<li>Габариты в упаковке: 510x200x1530 мм</li>
</ul>",89219,,,1520 мм,180 мм,500 мм,0,https://entero.ru/manuals/113689/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,39947,11.5 кг,,,,,
https://cdn.entero.ru/mp@2x/35/5e/355ef8bfe3a279f049e78cf53110d37c.jpg,Гладильная доска EOLO AT-07,Гладильная доска EOLO AT-07,58650,RUB,Да,EOLO,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/89221,"<p>Складная гладильная доска с нагревом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89221"">EOLO AT-07</a></b> используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена нержавеющей подставкой для утюга, термореле, встроенной розеткой для подключения парогенератора, устойчивой ножкой и колесиком для перемещения в сложенном состоянии. Доска регулируется по высоте в 8-ми позициях. Многослойный чехол имеет паропроводящую перфорированную поверхность.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Нагрев</li>
<li>Вакуум</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность вакуума: 0,04 кВт</li>
<li>Размеры гладильной поверхности: 1200x450 мм</li>
<li>Размеры подставки: 435x280 мм</li>
<li>Диаметр ножек: 40 мм</li>
<li>Габариты в упаковке: 510x160x1590 мм</li>
</ul>",89221,220 В,0.4 кВт,1570 мм,120 мм,490 мм,0,https://entero.ru/manuals/113690/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,12.5 кг,,,Да,Да,
https://cdn.entero.ru/mp@2x/10/da/10da2c29952e3c41374773e7cb160e57.jpg,Гладильная доска EOLO AT-08,Гладильная доска EOLO AT-08,60950,RUB,Да,EOLO,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/89223,"<p>Складная гладильная доска с нагревом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89223"">EOLO AT-08</a></b> используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена нержавеющей подставкой для утюга, термореле, встроенной розеткой для подключения парогенератора, двойной устойчивой ножкой и колесиком для перемещения в сложенном состоянии. Доска регулируется по высоте в 7-ми позициях. Многослойный чехол имеет паропроводящую перфорированную поверхность.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вакуум</li>
<li>Нагрев рабочей поверхности</li>
<li>Наддув</li>
<li>Педаль для управления режимами</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Вакуум: 0,04 кВт</li>
<li>Наддув: 0,04 кВт</li>
</ul>
</li>
<li>Размеры гладильной поверхности: 1200x450 мм</li>
<li>Размеры подставки: 435x280 мм</li>
<li>Диаметр ножек: 40 мм</li>
<li>Габариты в упаковке: 510x200x1520 мм</li>
</ul>",89223,220 В,0.4 кВт,1500 мм,190 мм,500 мм,0,https://entero.ru/manuals/113691/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,64158,18.5 кг,,,Да,Да,Да
https://cdn.entero.ru/mp@2x/95/79/957923e889248fad27d426e7fd51e148.jpg,Гладильная доска EOLO AT-09,Гладильная доска EOLO AT-09,91425,RUB,Да,EOLO,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/89224,"<p>Складная гладильная доска с нагревом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89224"">EOLO AT-09</a></b> используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена нержавеющей подставкой для утюга, термореле, встроенной розеткой для подключения парогенератора, устойчивой изогнутой ножкой, гнутыми опорами-ножками для глажки в сидячем состоянии и колесиком для перемещения в сложенном виде. Доска регулируется по высоте в 8-ми позициях. Многослойный чехол имеет паропроводящую перфорированную поверхность.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вакуум</li>
<li>Нагрев рабочей поверхности</li>
<li>Наддув</li>
<li>Педаль для управления режимами</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Вакуум: 0,04 кВт</li>
<li>Наддув: 0,04 кВт</li>
</ul>
</li>
<li>Размеры гладильной поверхности: 1200x450 мм</li>
<li>Размеры подставки: 435x280 мм</li>
<li>Диаметр ножек: 40 мм</li>
<li>Габариты в упаковке: 510x240x1540 мм</li>
</ul>",89224,220 В,0.4 кВт,1500 мм,230 мм,500 мм,0,https://entero.ru/manuals/113692/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,96237,18.5 кг,,,Да,Да,Да
https://cdn.entero.ru/mp@2x/4c/10/4c10c0c4cfcb55777f9c23b394217c74.jpg,Доска гладильная Metalnova Trend,Доска гладильная Metalnova Trend,0,RUB,Нет,Metalnova,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/193964,"<p>Гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/193964"">Metalnova Trend</a> </b>используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена подставкой под утюг, резиновыми заглушками для устойчивого положения и механизмом изменения высоты рабочей платформы. Ножки выполнены из хромированного металла, обработанным антикоррозийным покрытием, платформа - из огнеупорного материала.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество уровней высоты: 8</li>
<li>Цвет чехла: синий</li>
<li>Цвет ножек: металлик</li>
</ul>",193964,,,1200 мм,370 мм,960 мм,0,,,6.9 кг,Италия,Босния и Герцеговина,,,
https://cdn.entero.ru/mp@2x/4d/38/4d38a5eb24e403261e729f975e3b10ff.jpg,Гладильная доска MIE Grazia-C White,380752-white,0,RUB,Нет,MIE,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/182843,"<p>Гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/182843"">MIE Grazia-C White</a> </b>используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена встроенной розеткой, подставкой с бортиком, который обеспечивает фиксацию техники и колесиками. Платформа доски выполнена из металлической сетки, ножки - из металлических трубок с пластмассовыми наконечниками, чехол - из хлопковой ткани с вшитым уплотнителем. </p>

<p>В комплект поставки входит дополнительный чехол.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Увеличенная рабочая поверхность</li>
<li>Металлическая сетка рабочей поверхности пропускает пар, препятствуя образованию конденсата</li>
<li>Рычаг для регулировки высоты </li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество положений регулировки по высоте: 4</li>
<li>Длина электрического шнура: 1,8 м </li>
<li>Высота гладильной доски: от 740 до 940 мм </li>
<li>Размеры: 
<ul>
<li>Подставка под парогенератор: 420х280 мм</li>
<li>Гладильная доска: 1200х430 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 1680х470х90 мм </li>
</ul>",182843,,,1200 мм,90 мм,430 мм,0,,,8 кг,,,,,
https://cdn.entero.ru/mp@2x/bc/43/bc438583dd9a3d22e5f2d78a364d541a.jpg,Доска гладильная Metalnova Domino Plus,Доска гладильная Metalnova Domino Plus,0,RUB,Нет,Metalnova,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/193959,"<p>Гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/193959"">Metalnova Domino Plus</a> </b>используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена подставкой под утюг и резиновыми наконечниками для регулировки положения доски по горизонтали. Ножки выполнены из хромированного металла, платформа - из огнеупорного материала.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество уровней высоты: 8</li>
<li>Размер гладильной доски: 1220х400 мм</li>
<li>Габариты в упаковке: 1610х490х110 мм</li>
<li>Цвет чехла: синий</li>
</ul>",193959,,,1580 мм,450 мм,960 мм,0,,,7.6 кг,Италия,Босния и Герцеговина,,,
https://cdn.entero.ru/mp@2x/8f/9a/8f9a329f6d628e7e3338d334549b1653.jpg,Доска гладильная Metalnova Star,Доска гладильная Metalnova Star,0,RUB,Нет,Metalnova,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/193789,"<p>Гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/193789"">Metalnova Star</a> </b>используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена полкой для белья, подставкой под утюг и резиновыми наконечниками для регулировки положения доски по горизонтали. Ножки выполнены из хромированного металла, платформа - из огнеупорного материала.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество уровней высоты: 11</li>
<li>Цвет чехла: синий</li>
</ul>",193789,,,1200 мм,480 мм,100 мм,0,,,8.5 кг,Италия,Босния и Герцеговина,,,
https://cdn.entero.ru/mp@2x/80/1c/801c5fe97a1db9a3081b318226dcf922.jpg;https://cdn.entero.ru/mp@2x/7c/e6/7ce63b23416bde557cea6035df9956d2.jpg;https://cdn.entero.ru/mp@2x/5b/ae/5bae079b19b08870956ccccfb0156c1c.jpg;https://cdn.entero.ru/mp@2x/e9/80/e980d17f61044805fa6a75e36f997cd9.jpg;https://cdn.entero.ru/mp@2x/34/06/3406078b4fb0d80bef47fa05919bbd5c.jpg,Гладильная доска MIE Solo,380793,0,RUB,Нет,MIE,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/182787,"<p>Гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/182787"">MIE Solo</a> </b>используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена полочкой для белья. Платформа доски выполнена из металлической сетки, отлично пропускающей пар, ножки - из круглых трубок большого диаметра 30/40 мм, все металлические части имеют антикоррозийную обработку.</p>

<p>В комплект поставки входит чехол для гладильной доски.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Зауженная к краю платформа </li>
<li>Рычаг для регулировки высоты </li>
<li>Поверх сетчатой платформы надет хлопковый чехол со вшитым мягким уплотнителем</li>
<li>На основании ножек резиновые кольца, препятствующие скольжению по полу</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество положений регулировки по высоте: 8 </li>
<li>Размер полочки: 520х350 мм</li>
<li>Размер подставки под парогенератор: 435х275 мм</li>
<li>Размер гладильной доски в сложенном виде: 1580х450х95 мм </li>
<li>Габариты в упаковке: 162х490х115 мм </li>
</ul>",182787,,,1580 мм,95 мм,940 мм,0,,,,,,,,
https://cdn.entero.ru/mp@2x/cf/d9/cfd9a606b27195679c7a5e01087a1739.jpg,Доска гладильная Metalnova Duetto Base,Доска гладильная Metalnova Duetto Base,0,RUB,Нет,Metalnova,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/194000,"<p>Гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194000"">Metalnova Duetto Base</a> </b>используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена встроенным вентилятором, функцией отвода пара, встроенной розеткой с кабелем, подставкой для парогенератора и колесами. Ножки выполнены из металла с пластиковыми наконечниками.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Гладильная доска: 0,3 кВт</li>
<li>Вентилятор: 0,05 кВт</li>
</ul>
</li>
<li>Количество уровней высоты: 6</li>
<li>Размер гладильной доски: 1200х450 мм</li>
<li>Длина электрического шнура: 180 мм</li>
</ul>",194000,220 В,0.35 кВт,1500 мм,580 мм,1000 мм,0,,,15.4 кг,Италия,Босния и Герцеговина,Да,Да,Да
https://cdn.entero.ru/mp@2x/4a/46/4a46cee74c3936be43bd7b3bd4be767a.jpg,Доска гладильная Metalnova Compact Plus,Доска гладильная Metalnova Compact Plus,0,RUB,Нет,Metalnova,Бытовая техника,Техника для дома,Гладильные системы,https://entero.ru/item/193971,"<p>Гладильная доска <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/193971"">Metalnova Compact Plus</a> </b>используется в домах, частных квартирах, офисах и отелях для глажки белья и одежды. Модель оснащена реверсивным вентилятором, функцией отвода пара, встроенной розеткой с кабелем, складной подставкой для парогенератора, педалью и колесами.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность:
<ul>
<li>Гладильная доска: 0,49 кВт</li>
<li>Вентилятор: 0,09 кВт</li>
</ul>
</li>
<li>Количество уровней высоты: 11</li>
<li>Размер подставки: 440х315 мм</li>
<li>Размер гладильной доски: 1100х420 мм</li>
<li>Размер в сложенном виде: 1129х440х200</li>
<li>Длина электрического шнура: 202 мм</li>
<li>Цвет чехла: светло-серый</li>
<li>Цвет ножек: серый</li>
</ul>",193971,220 В,0.58 кВт,1129 мм,440 мм,900 мм,0,https://entero.ru/manuals/226454/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Metalnova%20Compact%20Plus.pdf,,17 кг,Италия,Босния и Герцеговина,Да,Да,Да
