Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Наибольший предел взвешивания,Наименьший предел взвешивания,Умные весы
https://cdn.entero.ru/mp@2x/83/ce/83ce369d78aa65cc5afbafeebed310da.jpg;https://cdn.entero.ru/mp@2x/38/12/3812129652b12e6e7148c1b44abaf1b2.jpg,Напольные весы ProfiCare PC-PW 3122 weiss,Напольные весы ProfiCare PC-PW 3122 weiss,2146,RUB,Да,,Бытовая техника,Техника для дома,Напольные весы,https://entero.ru/item/338911,"<p>Напольные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/338911""><b class=""b"">ProfiCare PC-PW 3122 weiss</b></a> предназначены для измерения массы, других параметров тела, а также анализа результатов в домашних условиях. Модель оснащена отсеком для батарей, электронной панелью управления, большим, контрастным жидкокристаллическим дисплеем с цифровыми и символьными сегментами индикации. Платформа квадратной формы белого цвета выполнена из прочного стекла, устойчивого к царапинам.</p>

<p>Батарейки в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Напольные весы с большим ЖК-дисплеем</li>
<li>Единицы измерения в килограммах и фунтах</li>
<li>Автоматическое отключение для энергосбережения</li>
<li>Устойчивые нескользящие прорезиненные опоры</li>
<li>Легкость очистки</li>
<li>Питание от 2 батарей типа ААА </li>
<li>Компактные габариты для портативного использования </li>
<li>Эргономичный стильный дизай</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг взвешивания: 0,1 кг</li>
<li>Номинальное напряжение батарей питания: 2х1,5 В</li>
</ul>",338911,300 мм,300 мм,,,0,https://entero.ru/manuals/401664/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-PW%203122.pdf,,1.3 кг,Германия,Китай,180 кг,5 кг,
https://cdn.entero.ru/mp@2x/e5/a9/e5a9a3105f52f0e33fb5f3ca51cc21d5.jpg;https://cdn.entero.ru/mp@2x/10/fe/10feb2a3da10b393fb082601ffc42871.jpg,Напольные весы ProfiCare PC-PW 3122 schwarz,Напольные весы ProfiCare PC-PW 3122 schwarz,2146,RUB,Да,,Бытовая техника,Техника для дома,Напольные весы,https://entero.ru/item/338914,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/338914"">ProfiCare PC-PW 3122 schwarz</a></b> предназначены для измерения массы, других параметров тела, а также анализа результатов в домашних условиях. Модель оснащена отсеком для батарей, электронной панелью управления, большим, контрастным жидкокристаллическим дисплеем с цифровыми и символьными сегментами индикации. Платформа квадратной формы черного цвета выполнена из прочного стекла, устойчивого к царапинам.</p>

<p>Батарейки в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Напольные весы с большим ЖК-дисплеем</li>
<li>Единицы измерения в килограммах и фунтах</li>
<li>Автоматическое отключение для энергосбережения</li>
<li>Устойчивые нескользящие прорезиненные опоры</li>
<li>Легкость очистки</li>
<li>Питание от 2 батарей типа ААА </li>
<li>Компактные габариты для портативного использования </li>
<li>Эргономичный стильный дизай</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг взвешивания: 0,1 кг</li>
<li>Номинальное напряжение батарей питания: 2х1,5 В</li>
</ul>",338914,300 мм,300 мм,,,0,https://entero.ru/manuals/401672/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-PW%203122.pdf,,1.3 кг,Германия,Китай,180 кг,5 кг,
https://cdn.entero.ru/mp@2x/6c/a2/6ca2f9e095c959511119cba4721b2bee.jpg;https://cdn.entero.ru/mp@2x/0b/8e/0b8ebb68c027993a80f027cf676eea37.jpg,Напольные весы ProfiCare PC-PW 3122 grau,Напольные весы ProfiCare PC-PW 3122 grau,2146,RUB,Да,,Бытовая техника,Техника для дома,Напольные весы,https://entero.ru/item/338915,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/338915"">ProfiCare PC-PW 3122 grau</a></b> предназначены для измерения массы, других параметров тела, а также анализа результатов в домашних условиях. Модель оснащена отсеком для батарей, электронной панелью управления, большим, контрастным жидкокристаллическим дисплеем с цифровыми и символьными сегментами индикации. Платформа квадратной формы серого цвета выполнена из прочного стекла, устойчивого к царапинам.</p>

<p>Батарейки в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Напольные весы с большим ЖК-дисплеем</li>
<li>Единицы измерения в килограммах и фунтах</li>
<li>Автоматическое отключение для энергосбережения</li>
<li>Устойчивые нескользящие прорезиненные опоры</li>
<li>Легкость очистки</li>
<li>Питание от 2 батарей типа ААА </li>
<li>Компактные габариты для портативного использования </li>
<li>Эргономичный стильный дизай</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг взвешивания: 0,1 кг</li>
<li>Номинальное напряжение батарей питания: 2х1,5 В</li>
</ul>",338915,300 мм,300 мм,,,0,https://entero.ru/manuals/401673/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-PW%203122.pdf,2649,1.3 кг,Германия,Китай,180 кг,5 кг,
https://cdn.entero.ru/mp@2x/02/d6/02d6b4939bc8a85cc2f5b77a4f110ccc.jpg;https://cdn.entero.ru/mp@2x/d9/01/d9011ae023f163994856c94f0738bdb8.jpg;https://cdn.entero.ru/mp@2x/22/45/2245d5fcd476581d7b489c65b1d78867.jpg,Весы напольные Taurus Inception,Весы напольные Taurus Inception,2156,RUB,Да,Taurus,Бытовая техника,Техника для дома,Напольные весы,https://entero.ru/item/250558,"<p>Напольные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/250558""><b class=""b"">Taurus Inception</b></a> предназначены для измерения массы тела человека в частных домах и квартирах. Модель оснащена дисплеем с большими цифрами и нескользящими ножками. Платформа выполнена из закаленного стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Выбор единиц измерения</li>
<li>Автоматическое отключение</li>
</ul>",250558,280 мм,280 мм,,,0,https://entero.ru/manuals/307338/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20Inception.pdf,3080,,Испания,Китай,180 кг,3 кг,
https://cdn.entero.ru/mp@2x/82/96/8296bbfa0dc1ab233621f5270555873c.jpg;https://cdn.entero.ru/mp@2x/c0/99/c099ae46a9e1b2879018670f77319a83.jpg;https://cdn.entero.ru/mp@2x/e5/d7/e5d77e5ce0116907f13e47d3d6f217d3.jpg,Весы напольные Taurus Inception Connect,Весы напольные Taurus Inception Connect,3539,RUB,Да,Taurus,Бытовая техника,Техника для дома,Напольные весы,https://entero.ru/item/267016,"<p>Напольные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267016""><b class=""b"">Taurus Inception Connect</b></a> предназначены для измерения массы и других параметров тела человека в частных домах и квартирах. Модель оснащена ЖК-дисплеем и нескользящими ножками. Платформа выполнена из закаленного стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление со смартфона через приложение Taurus Connect</li>
<li>Измеряемые параметры:
<ul>
<li>Вес</li>
<li>Процентное содержание жира в организме</li>
<li>Процентное содержание мышечной массы</li>
<li>Процентной содержание костной массы</li>
<li>Процентное содержание воды</li>
<li>Индекс массы тела </li>
<li>Индекс абдоминального жира</li>
<li>Метаболизм</li>
<li>Общая мышечная масса</li>
<li>Тип телосложения</li>
<li>Возраст тела</li>
</ul>
</li>
<li>Память на 14 пользователей</li>
<li>Установка целевых показателей и отслеживание их выполнения</li>
<li>Выбор единиц измерения</li>
<li>Включение нажатием</li>
<li>Автоматическое отключение</li>
</ul>",267016,280 мм,280 мм,,,0,https://entero.ru/manuals/330407/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20Inception.pdf,,,Испания,Китай,,,Да
https://cdn.entero.ru/mp@2x/96/ac/96ac67d1ecce4a9f48f47205f519a8cd.jpg;https://cdn.entero.ru/mp@2x/07/70/0770275c28627e4f04f5cfb3fb223a22.jpg;https://cdn.entero.ru/mp@2x/95/34/9534728422fe1efc4db4be18a64c6644.jpg;https://cdn.entero.ru/mp@2x/ea/8f/ea8f535b8c321c3dfaa1af8880611ba5.jpg,Напольные весы ProfiCare PC-PW 3007 FA weiss белые,330071 / PC-PW 3007 FA 8 in 1 weiss,3587,RUB,Да,,Бытовая техника,Техника для дома,Напольные весы,https://entero.ru/item/283612,"<p>Напольные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283612""><b class=""b"">ProfiCare PC-PW 3007 FA weiss</b></a> предназначены для измерения массы, других параметров тела, а также анализа результатов в домашних условиях. Модель оснащена отсеком для батарей, электронной панелью управления, контрастным жидкокристаллическим дисплеем с цифровыми и символьными сегментами индикации. Платформа квадратной формы белого цвета выполнена из прочного стекла с 2 вставками из нержавеющей стали с сатинированной поверхностью.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Диагностируемые параметры и индикация:
<ul>
<li>Выбор пользователя</li>
<li>Пол</li>
<li>Возраст</li>
<li>Рост в сантиметрах или футах</li>
<li>Масса в килограммах, фунтах или стоунах</li>
<li>Мышечная масса</li>
<li>Содержание жира</li>
<li>Содержание воды</li>
<li>Масса костной ткани</li>
<li>Процентное соотношение мышц, жира, воды и костной ткани</li>
<li>Индекс массы тела (BMI)</li>
<li>Основной обмен веществ суточной потребности в энергии в ккал (BMR)</li>
<li>Содержание внутреннего (органического) жира)</li>
</ul>
</li>
<li>Индикация кодов перегрузки и низкого заряда батарей</li>
<li>Автоматическое отключение для энергосбережения</li>
<li>Устойчивые нескользящие прорезиненные опоры</li>
<li>Легкость очистки</li>
<li>Питание от 3 батарей типа R03 (ААА)</li>
<li>Компактные габариты для портативного использования </li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия эксплуатации:
<ul>
<li>Диапазон температуры окружающей среды: от 0 до 40 °C</li>
<li>Максимальная относительная влажность: 85%</li>
</ul>
</li>
<li>Номинальное напряжение батарей питания: 3х1,5 В</li>
<li>Длительность работы до автоматического отключения: 15 сек.</li>
<li>Максимальное количество пользователей: 10</li>
<li>Диапазон задания роста: от 800 до 2200 мм</li>
<li>Диапазон задания возраста: от 6 до 100 л.</li>
<li>Инкремент измерения массы: 0,1 кг</li>
<li>Диапазон измерения содержания компонентов в организме:
<ul>
<li>Жир: от 5 до 85%</li>
<li>Вода: от 7 до 75%</li>
<li>Мышечная масса: от 13 до 82%</li>
<li>Костная ткань: от 0,5 до 8 кг</li>
</ul>
</li>
<li>Инкремент измерения жидкости и жира: 0,1%</li>
</ul>",283612,300 мм,300 мм,21 мм,,0,https://entero.ru/manuals/350683/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-PW%203007%20FA.pdf,4783,1.7 кг,Германия,Китай,180 кг,5 кг,Да
https://cdn.entero.ru/mp@2x/3d/78/3d78a4ef7e66d3149e613a9f5ae7ebab.jpg;https://cdn.entero.ru/mp@2x/e2/73/e27327899d57370b43d4d1edf3553b18.jpg;https://cdn.entero.ru/mp@2x/09/85/098502c2971594d2bfc6858a5e80d542.jpg;https://cdn.entero.ru/mp@2x/b9/ed/b9ed1535b89524a370e06e714ea1a27b.jpg,Напольные весы ProfiCare PC-PW 3006 FA,330060 / PC-PW 3006 FA 7 in 1,3846,RUB,Да,,Бытовая техника,Техника для дома,Напольные весы,https://entero.ru/item/283610,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283610"">ProfiCare PC-PW 3006 FA</a></b> предназначены для измерения массы, других параметров тела, а также анализа результатов в домашних условиях. Модель оснащена отсеком для батарей, электронной панелью управления, контрастным жидкокристаллическим дисплеем с цифровыми и символьными сегментами индикации. Платформа прямоугольной формы со сглаженными углами выполнена из нержавеющей стали с сатинированной поверхностью.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Диагностируемые параметры и индикация:
<ul>
<li>Выбор пользователя</li>
<li>Пол</li>
<li>Возраст</li>
<li>Рост</li>
<li>Масса в килограммах, фунтах или стоунах</li>
<li>Мышечная масса</li>
<li>Содержание жира</li>
<li>Содержание воды</li>
<li>Масса костной ткани</li>
<li>Процентное соотношение мышц, жира, воды и костной ткани</li>
<li>Рейтинг веса</li>
<li>Индекс массы тела (BMI)</li>
<li>Основной обмен веществ суточной потребности в энергии в ккал (BMR)</li>
</ul>
</li>
<li>Индикация кодов перегрузки и низкого заряда батарей</li>
<li>Автоматическое отключение для энергосбережения</li>
<li>Устойчивые нескользящие опоры</li>
<li>Легкость очистки</li>
<li>Питание от 4 батарей типа R03 (ААА)</li>
<li>Компактные габариты для портативного использования </li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия эксплуатации:
<ul>
<li>Диапазон температуры окружающей среды: от 0 до 40 °C</li>
<li>Максимальная относительная влажность: 85%</li>
</ul>
</li>
<li>Номинальное напряжение батарей питания: 4х1,5 В</li>
<li>Длительность работы до автоматического отключения: 25 сек.</li>
<li>Максимальное количество пользователей: 10</li>
<li>Диапазон задания роста: от 750 до 2250 мм</li>
<li>Диапазон задания возраста: от 10 до 85 л.</li>
<li>Инкремент измерения массы: 0,1 кг</li>
<li>Диапазон измерения содержания компонентов в организме:
<ul>
<li>Жир: от 4 до 50%</li>
<li>Вода: от 35 до 80%</li>
<li>Мышечная масса: от 1 до 50%</li>
<li>Костная ткань: от 1 до 15%</li>
</ul>
</li>
<li>Инкремент измерения жидкости и жира: 0,1%</li>
</ul>",283610,310 мм,330 мм,25 мм,,0,https://entero.ru/manuals/350678/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-PW%203006%20FA.pdf,4808,1.55 кг,Германия,Китай,150 кг,2.5 кг,Да
https://cdn.entero.ru/mp@2x/c1/ea/c1eada070158b96bcc7e95b681a99c10.jpg;https://cdn.entero.ru/mp@2x/47/61/476119e7609c8b0f29530dbb34f411d9.jpg;https://cdn.entero.ru/mp@2x/be/13/be131c6552775c7d13716a14dc109aef.jpg,Весы напольные CASO Body Energy Pro,Весы напольные CASO Body Energy Pro,4449,RUB,Да,CASO,Бытовая техника,Техника для дома,Напольные весы,https://entero.ru/item/375330,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375330"">CASO Body Energy Pro</a></b> предназначены для измерения массы тела человека в частных домах и квартирах. Модель оснащена большим ЖК-дисплеем. Благодаря инновационной технологии Step-on весы всегда готовы к использованию. Шаг на весах активирует динамо-машину и вырабатывает электроэнергию для взвешивания, что не требует батареек в течение всего срока службы. Платформа выполнена из высококачественного закаленного стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг взвешивания: 50 г</li>
<li>Толщина стекла: 5 мм</li>
</ul>",375330,300 мм,280 мм,34 мм,1.34 кг,0,https://entero.ru/manuals/508870/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20Body%20Energy%20Pro.pdf,,,Германия,Китай,180 кг,0.05 кг,
https://cdn.entero.ru/mp@2x/a3/6a/a36a1333a7cf056815be4cf392efa337.jpg;https://cdn.entero.ru/mp@2x/74/ab/74ab4cf2a9f05f428f1fdc656466ffbf.jpg;https://cdn.entero.ru/mp@2x/9c/4e/9c4e9bd97643700a378fda4f0deb8ef6.jpg,Напольные весы ProfiCare PC-PW 3112 weiss,Напольные весы ProfiCare PC-PW 3112 weiss,4499,RUB,Да,,Бытовая техника,Техника для дома,Напольные весы,https://entero.ru/item/338925,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/338925"">ProfiCare PC-PW 3112 weiss</a></b> предназначены для измерения массы, других параметров тела, а также анализа результатов в домашних условиях. Модель оснащена отсеком для батарей, электронной панелью управления, большим, контрастным жидкокристаллическим дисплеем с цифровыми и символьными сегментами индикации. Платформа квадратной формы белого цвета выполнена из прочного стекла, устойчивого к царапинам.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Единицы измерения в килограммах и фунтах</li>
<li>Автоматическое отключение для энергосбережения</li>
<li>Устойчивые нескользящие прорезиненные опоры</li>
<li>Работа без батареек</li>
<li>Индикация низкого энергопотребления и перегрузки</li>
<li>Компактные габариты для портативного использования </li>
<li>Прорезиненные ножки</li>
<li>Эргономичный стильный дизайн</li>
<li>Легкость очистки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг взвешивания: 0,1 кг</li>
</ul>",338925,310 мм,310 мм,,,0,https://entero.ru/manuals/401697/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-PW%203112.pdf,5420,1.8 кг,Германия,Китай,5 кг,180 кг,
https://cdn.entero.ru/mp@2x/47/e1/47e19f9dce418dd558585d97828bc064.jpg;https://cdn.entero.ru/mp@2x/1d/63/1d6323b8dec3a0ad76a2feda7c72c592.jpg;https://cdn.entero.ru/mp@2x/a8/14/a8141c025396540ded0a2ee322fe0531.jpg,Напольные весы ProfiCare PC-PW 3112 schwarz,Напольные весы ProfiCare PC-PW 3112 schwarz,4499,RUB,Да,,Бытовая техника,Техника для дома,Напольные весы,https://entero.ru/item/338927,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/338927"">ProfiCare PC-PW 3112 schwarz</a></b> предназначены для измерения массы, других параметров тела, а также анализа результатов в домашних условиях. Модель оснащена отсеком для батарей, электронной панелью управления, большим, контрастным жидкокристаллическим дисплеем с цифровыми и символьными сегментами индикации. Платформа квадратной формы черного цвета выполнена из прочного стекла, устойчивого к царапинам.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Единицы измерения в килограммах и фунтах</li>
<li>Автоматическое отключение для энергосбережения</li>
<li>Устойчивые нескользящие прорезиненные опоры</li>
<li>Работа без батареек</li>
<li>Индикация низкого энергопотребления и перегрузки</li>
<li>Компактные габариты для портативного использования </li>
<li>Прорезиненные ножки</li>
<li>Эргономичный стильный дизайн</li>
<li>Легкость очистки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг взвешивания: 0,1 кг</li>
</ul>",338927,310 мм,310 мм,,,0,https://entero.ru/manuals/401703/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-PW%203112.pdf,5554,1.8 кг,Германия,Китай,180 кг,5 кг,
