Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,С натяжением
https://cdn.entero.ru/mp@2x/e0/88/e088d5cca3e45d17fea68765aa465d44.jpg;https://cdn.entero.ru/mp@2x/f0/59/f0590e71e701433e0420be73cc776ef5.jpg,Манекен гладильный EOLO SA02,Манекен гладильный EOLO SA02,103500,RUB,Да,EOLO,Бытовая техника,Техника для дома,Пароманекены,https://entero.ru/item/89161,"<p>Бытовой гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89161"">EOLO SA02</a> </b>используется в домах, частных квартирах и общежитиях для финишной обработки рубашек, маек и блузок. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные, размером от XS до XXXL. Модель оснащена вентилятором, индикатором нагрева и подставкой на колесах. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входит чехол для глажения рубашек и растяжки для манжет и воротника.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения 1-ой рубашки: 7 мин.</li>
<li>Максимальное количество циклов: 10 шт./сутки</li>
<li>Максимальное давление: 40 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 300x400x650мм</li>
</ul>",89161,220 В,1.5 кВт,260 мм,350 мм,1100 мм,0,https://entero.ru/manuals/72001/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA02.pdf;https://entero.ru/manuals/113695/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,110106,6 кг,Италия,,для верхней одежды,Да
https://cdn.entero.ru/mp@2x/cf/44/cf444577759fd7183dc8b4dd0e4cf2ed.jpg;https://cdn.entero.ru/mp@2x/76/6a/766aae7740f86834f3b0b254b391d664.jpg;https://cdn.entero.ru/mp@2x/c8/c3/c8c3b081906ef7d2ccddda84b31b8120.jpg,Манекен гладильный EOLO SA04,Манекен гладильный EOLO SA04,124200,RUB,Да,EOLO,Бытовая техника,Техника для дома,Пароманекены,https://entero.ru/item/89177,"<p>Бытовой гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89177"">EOLO SA04</a> </b>используется в домах, частных квартирах и общежитиях для финишной обработки рубашек, маек, блузок, штанов и джинс. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные, размером от XS до XXXL. Модель оснащена вентилятором и индикатором нагрева. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входят чехлы для глажения рубашек и штанов и растяжки для манжет и воротничка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения
<ul>
<li>Рубашка: от 7 мин.</li>
<li>Брюки: 10 мин.</li>
</ul>
</li>
<li>Максимальное количество циклов: 10 шт./сутки</li>
<li>Максимальное давление: 40 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 300x400x650мм</li>
</ul>",89177,220 В,1.5 кВт,260 мм,350 мм,1100 мм,0,https://entero.ru/manuals/72049/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA04.pdf;https://entero.ru/manuals/113697/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,7 кг,Италия,,"для брюк, для верхней одежды",Да
https://cdn.entero.ru/mp@2x/52/dc/52dc6ab87e520895789139e64dba0030.jpg;https://cdn.entero.ru/mp@2x/ab/c7/abc70f41201f67e61f014aa8ffbecd71.jpg;https://cdn.entero.ru/mp@2x/a2/e5/a2e5ea95ef3b21eb87269290a76973cb.jpg,Манекен гладильный EOLO SA04R,Манекен гладильный EOLO SA04R,127650,RUB,Да,EOLO,Бытовая техника,Техника для дома,Пароманекены,https://entero.ru/item/89181,"<p>Бытовой гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89181"">EOLO SA04R</a> </b>используется в домах, частных квартирах и общежитиях для финишной обработки рубашек, маек, блузок, штанов и джинс. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные, размером от XS до XXXL. Модель оснащена вентилятором, индикатором нагрева и подставкой для колес. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входят чехлы для глажения рубашек и штанов и растяжки для манжет и воротничка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения
<ul>
<li>Рубашка: от 7 мин.</li>
<li>Брюки: 10 мин.</li>
</ul>
</li>
<li>Максимальное количество циклов: 10 шт./сутки</li>
<li>Максимальное давление: 40 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 300x400x650мм</li>
</ul>",89181,220 В,1.5 кВт,260 мм,350 мм,1130 мм,0,https://entero.ru/manuals/72051/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA04R.pdf;https://entero.ru/manuals/113698/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,7 кг,Италия,,"для брюк, для верхней одежды",Да
https://cdn.entero.ru/mp@2x/2b/6d/2b6d26977198b96afebb928343c1a358.jpg;https://cdn.entero.ru/mp@2x/02/fc/02fc332784936733d35eae86ce2071ba.jpg;https://cdn.entero.ru/mp@2x/04/2f/042f312e38d508ce16819580b8ccc1c1.jpg;https://cdn.entero.ru/mp@2x/fd/e5/fde5767d3c75b91ad92d2af08e760cf5.jpg;https://cdn.entero.ru/mp@2x/df/7b/df7b33ca4d0d704de15cdfeb5a1baabc.jpg;https://cdn.entero.ru/mp@2x/ac/18/ac18015209fe54ccd66fdb0d6312a051.jpg;https://cdn.entero.ru/mp@2x/45/c4/45c48634f97d2037209b597dddffb947.jpg,Манекен гладильный ProfiCare PC-HBB 3117,Манекен гладильный ProfiCare PC-HBB 3117,14627,RUB,Да,,Бытовая техника,Техника для дома,Пароманекены,https://entero.ru/item/345594,"<p>Гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345594"">ProfiCare PC-HBB 3117</a></b> используется в домах и частных квартирах для финишной обработки рубашек, маек и блузок. Модель оснащена автоматической сушкой и глажкой, что заменяет утюг и гладильную доску. Светодиодный индикатор, защита от перегрева и автоматическое отключение при опрокидывании гарантируют безопасную эксплуатацию. Манекен обладает компактными размерами благодаря регулируемой по высоте и съемной телескопической штанге.</p>

<p>В комплект поставки входят универсальная насадка для брюк и насадка для ароматизации одежды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемый размер манекена: XS, S, M, L, XL и XXL</li>
<li>Таймер для автоматического отключения</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время таймера: до 180 мин.</li>
<li>Напряжение: от 220 до 240 В</li>
<li>Частота: от 50 до 60 Гц</li>
<li>Цвет корпуса: белый</li>
</ul>",345594,220 В,1.4 кВт,,,,0,https://entero.ru/manuals/422280/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-HBB%203117.pdf,15728,3 кг,Германия,Китай,"для верхней одежды, для брюк",
https://cdn.entero.ru/mp@2x/dd/dc/dddc088ebe5473b124266a427113484c.jpg;https://cdn.entero.ru/mp@2x/36/5e/365ecf43982517b81c03228ca64daed1.jpg,Манекен гладильный EOLO SA05/1,Манекен гладильный EOLO SA05/1,126500,RUB,Да,EOLO,Бытовая техника,Техника для дома,Пароманекены,https://entero.ru/item/89189,"<p>Бытовой гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89189"">EOLO SA05/1</a> </b>используется в домах, частных квартирах и общежитиях для финишной обработки рубашек, маек и блузок. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные, размером от XS до XXXL. Модель оснащена вентилятором, индикатором нагрева и крестовиной-подставкой, регулируемой по высоте. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входит чехол для глажения рубашек и растяжки для манжет и воротничка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения: 7 мин.</li>
<li>Максимальное количество циклов: 10 шт./сутки</li>
<li>Максимальное давление: 40 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 360x500x520мм</li>
</ul>",89189,220 В,1.55 кВт,500 мм,500 мм,1600 мм,0,https://entero.ru/manuals/72058/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA05_1.pdf;https://entero.ru/manuals/113702/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,134574,11 кг,Италия,,для верхней одежды,Да
https://cdn.entero.ru/mp@2x/23/75/237589658899113a5af4fbf7ae5c3f85.jpg,Манекен гладильный EOLO SA05/1 INOX,Манекен гладильный EOLO SA05/1 INOX,138000,RUB,Да,EOLO,Бытовая техника,Техника для дома,Пароманекены,https://entero.ru/item/89344,"<p>Бытовой гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89344"">EOLO SA05/1 INOX</a> </b>используется в домах, частных квартирах и общежитиях для финишной обработки рубашек, маек и блузок. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные, размером от XS до XXXL. Модель оснащена вентилятором, индикатором нагрева и регулируемой по высоте крестовиной-подставкой с газлифтом и прорезиненными колесами, которые обеспечивают бесшумное перемещение манекена и предотвращают повреждение напольного покрытия. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию, крестовина - из нержавеющей стали.</p>

<p>В комплект поставки входит чехол для глажения рубашек и растяжки для манжет и воротничка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения: 7 мин.</li>
<li>Максимальное количество циклов: 10 шт./сутки</li>
<li>Максимальное давление: 40 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 360x500x520мм</li>
</ul>",89344,220 В,1.55 кВт,600 мм,600 мм,1600 мм,0,https://entero.ru/manuals/72391/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA05_1.pdf;https://entero.ru/manuals/113703/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,148387,11 кг,Италия,,для верхней одежды,Да
https://cdn.entero.ru/mp@2x/48/f0/48f0dce6282c52ba5aefa03c06a9a516.jpg;https://cdn.entero.ru/mp@2x/8b/0d/8b0d2abb1b61c2a17ae64e1fa1c440f8.jpg;https://cdn.entero.ru/mp@2x/3a/75/3a7573c78e683939784a525c1a59e31c.jpg,Манекен гладильный EOLO SA06,Манекен гладильный EOLO SA06,184000,RUB,Да,EOLO,Бытовая техника,Техника для дома,Пароманекены,https://entero.ru/item/89194,"<p>Полупрофессиональный гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89194"">EOLO SA06</a> </b>используется в общежитиях, отелях и гостевых домах для финишной обработки рубашек, маек, блузок, штанов и джинсов. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные, размером от XS до XXXL. Модель оснащена вентилятором повышенной мощности, индикатором нагрева и крестовиной-подставкой c газлифтом, регулируемой по высоте. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входят чехлы для глажения рубашек и штанов и растяжки для манжет, воротничка и брюк.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двигатель: type Pro</li>
<li>Износостойкий чехол</li>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения
<ul>
<li>Рубашка: 7 мин.</li>
<li>Брюки: 9 мин.</li>
</ul>
</li>
<li>Максимальное время работы: от 6 до 8 ч/сутки</li>
<li>Максимальное давление: 40 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 360x500x520мм</li>
</ul>",89194,220 В,1.65 кВт,500 мм,500 мм,1600 мм,0,https://entero.ru/manuals/113704/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,193684,12 кг,Италия,,"для брюк, для верхней одежды",Да
https://cdn.entero.ru/mp@2x/6c/47/6c477d7e1d5a05d70cf58ad0baafabd9.jpg;https://cdn.entero.ru/mp@2x/24/e1/24e17387c79f9361fcdbacbfa7162be6.jpg,Манекен гладильный EOLO SA03,Манекен гладильный EOLO SA03,94300,RUB,Да,EOLO,Бытовая техника,Техника для дома,Пароманекены,https://entero.ru/item/89162,"<p>Бытовой гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89162"">EOLO SA03</a> </b>используется в домах, частных квартирах и общежитиях для финишной обработки рубашек, маек и блузок. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные, размером от XS до XXXL. Модель оснащена вентилятором и индикатором нагрева. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входит чехол для глажения рубашек и растяжки для манжет и воротника.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Пониженное энергопотребление</li>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения 1-ой рубашки: от 7 до 8 мин.</li>
<li>Время нагрева: до 1 мин.</li>
<li>Максимальное количество циклов: 10 шт./сутки</li>
<li>Максимальное давление: 40 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 300x400x650 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Чехол брюки <a href=""https://entero.ru/item/89245"">Олива</a></li>
</ul>",89162,220 В,1.3 кВт,260 мм,350 мм,1100 мм,0,https://entero.ru/manuals/72007/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA03.pdf;https://entero.ru/manuals/113696/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,102500,6 кг,Италия,,для верхней одежды,Да
https://cdn.entero.ru/mp@2x/f3/e1/f3e12b4d8f0cd67703f9d5745db3cebe.jpg;https://cdn.entero.ru/mp@2x/1d/f1/1df1f912231f5588be4bd422024fc784.jpg,Манекен гладильный EOLO SA01,Манекен гладильный EOLO SA01,96600,RUB,Да,EOLO,Бытовая техника,Техника для дома,Пароманекены,https://entero.ru/item/89156,"<p>Бытовой гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89156"">EOLO SA01</a> </b>используется в домах и частных квартирах для финишной обработки рубашек, маек и блузок. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные материалы, размером от XS до XXXL. Модель оснащена вентилятором и индикатором нагрева. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входит чехол для глажения рубашек.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Система безопасности Beta-TEMP Control System: автоматическое отключение при перегреве</li>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения 1-ой рубашки: от 7 до 8 мин.</li>
<li>Максимальное количество циклов: 10</li>
<li>Максимальное давление: 40 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 300x400x650 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Чехол брюки <a href=""https://entero.ru/item/89245"">Олива</a></li>
</ul>",89156,220 В,1.5 кВт,260 мм,350 мм,1100 мм,0,https://entero.ru/manuals/71999/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA01.pdf;https://entero.ru/manuals/113693/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,,6 кг,Италия,,для верхней одежды,Да
https://cdn.entero.ru/mp@2x/21/2d/212d8097eb58a59fe7a715f6850c2273.jpg,Манекен гладильный EOLO SA08,Манекен гладильный EOLO SA08,96600,RUB,Да,EOLO,Бытовая техника,Техника для дома,Пароманекены,https://entero.ru/item/89190,"<p>Бытовой гладильный манекен <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89190"">EOLO SA08</a> </b>используется в домах и частных квартирах для финишной обработки брюк и джинсов. Может работать со всеми видами тканей, такими как хлопок, лен, фанель, бархат, шелк или смешанные, размером от XS до XXXL. Модель оснащена вентилятором и индикатором нагрева. Мощный поток горячего воздуха позволяет высушить ткань, пока одежда хорошо растянута, и отгладить ее без складок. Корпус выполнен из экологически чистых материалов, устойчивых к возгоранию.</p>

<p>В комплект поставки входит чехол для глажения брюк и клипсы-зажимы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Уровень защиты: IP21</li>
<li>Класс защиты: II</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рабочая температура: от 55 до 60 °С</li>
<li>Время глажения 1-х брюк: 11 мин.</li>
<li>Максимальное количество циклов: 10</li>
<li>Максимальное давление: 40 мм водяного столба</li>
<li>Максимальная остаточная влажность в обрабатываемой одежде: 30%</li>
<li>Габариты в упаковке: 300x400x650 мм</li>
</ul>",89190,220 В,1.5 кВт,260 мм,350 мм,1100 мм,0,https://entero.ru/manuals/72060/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EOLO%20SA08.pdf;https://entero.ru/manuals/113709/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20EOLO.pdf,101684,6 кг,Италия,,для брюк,
