Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Остаток,Файлы,Старая цена
https://cdn.entero.ru/mp@2x/83/99/8399ec09e4cae8facaf453c459e6ed3e.jpg;https://cdn.entero.ru/mp@2x/8c/28/8c28d0775fff774cebd19a2457363201.jpg;https://cdn.entero.ru/mp@2x/fb/b8/fbb81a25c835c6f59121c2fd17c3d0c8.jpg,Утюг Black+Decker BXIR2403E,Утюг Black+Decker BXIR2403E,4022,RUB,Да,,Бытовая техника,Техника для дома,Утюги,https://entero.ru/item/252226,"<p>Утюг <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/252226"">Black+Decker BXIR2403E</a></b> используется в частных домах и квартирах для разглаживания складок и заминов на одежде, ткани и белье. Модель оснащена световым индикатором нагрева, встроенным резервуаром для воды и регуляторами температуры и расхода пара. Подошва - из титана.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Паровой удар</li>
<li>Функция распыления</li>
<li>Противокапельная система</li>
<li>Прецизионный наконечник для трудноступных мест</li>
<li>Защита от накипи</li>
<li>Функция самоочистки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 2,4 кВт</li>
<li>Паровой удар: 150 г/мин.</li>
<li>Постоянная подача пара: до 45 г/мин.</li>
<li>Объем резервуара для воды: 0,5 л</li>
<li>Напряжение: 220 В</li>
</ul>",252226,0,https://entero.ru/manuals/309519/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Black+Decker%20BXIR2403E.pdf,
https://cdn.entero.ru/mp@2x/0a/df/0adfcdf3f8d2c83cba9915be6230e3ab.jpg;https://cdn.entero.ru/mp@2x/f4/fc/f4fce9b22648bdbed51a9587d71e5e50.jpg;https://cdn.entero.ru/mp@2x/1e/4a/1e4a255e2f578b16710097142e662a20.jpg,Утюг Taurus Artica 2800 Zaffiro,Утюг Taurus Artica 2800 Zaffiro,4453,RUB,Да,Taurus,Бытовая техника,Техника для дома,Утюги,https://entero.ru/item/251325,"<p>Утюг <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251325""><b class=""b"">Taurus Artica 2800 Zaffiro</b></a> используется в частных домах и квартирах для разглаживания складок и заминов на одежде, ткани и белье. Модель оснащена световым индикатором нагрева, встроенным резервуаром для воды и регуляторами температуры и расхода пара.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Паровой удар</li>
<li>Функция распыления</li>
<li>Противокапельная система</li>
<li>Вертикальное отпаривание</li>
<li>Система защиты от накипи</li>
<li>Система самоочистки</li>
<li>Функция автоматического отключения со звуковым и световым предупреждением при отсутствии движения прибора:
<ul>
<li>В течение 30 сек. в горизонтальном положении</li>
<li>В течение 8 мин. в вертикальном положении</li>
</ul>
</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 2,8 кВт</li>
<li>Паровой удар: 150 г/мин.</li>
<li>Напряжение: 220 В</li>
<li>Цвет: белый с голубым</li>
</ul>",251325,0,https://entero.ru/manuals/308539/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20Artica%202800%20Zaffiro.pdf,
https://cdn.entero.ru/mp@2x/1b/3e/1b3e2124d93300034789b120c60d95c9.jpg;https://cdn.entero.ru/mp@2x/ad/3e/ad3eeb0bdc5529e1c44c337724d70572.jpg;https://cdn.entero.ru/mp@2x/bc/7e/bc7ee369178e8d4c8edd7b247a4f83ab.jpg,Утюг Solac Optima Perfect PV2014,Утюг Solac Optima Perfect PV2014,4022,RUB,Да,,Бытовая техника,Техника для дома,Утюги,https://entero.ru/item/285368,"<p>Утюг <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/285368"">Solac Optima Perfect PV2014</a> </b>используется в гостиницах, ателье, а также домашних условиях для разглаживания складок на одежде, белье и шторах из различных тканей, а также для термической дезинфекции изделий с помощью струи горячего пара. Модель оснащена электронагревателем, кабелем питания с вилкой, подошвой в форме капли с большим количеством паровых отверстий, рукояткой обтекаемой формы и электромеханическим управлением. Корпус выполнен из термостойкого ударопрочного пластика в комбинации черного, белого и красного цветов. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы подачи пара:
<ul>
<li>Постоянная с настройкой интенсивности с помощью переключателя на рукоятке</li>
<li>Паровой удар</li>
</ul>
</li>
<li>3-ступенчатая регулировка температуры с помощью кругового переключателя на корпусе</li>
<li>Сухое и влажное глажение</li>
<li>Возможность отпаривания в вертикальном и горизонтальном положениях</li>
<li>Распыление воды и импульсная подача пара с помощью кнопок на верхней панели</li>
<li>Функция самоочистки путем промывки парового контура горячей водой с паром</li>
<li>Светодиодный индикатор нагрева </li>
<li>Подошва c керамическим покрытием для оптимальной теплопроводности и предотвращения повреждения тканей</li>
<li>Полупрозрачные стенки резервуара с отметкой максимального заполнения для визуального контроля уровня воды</li>
<li>Фронтальное сопло для оптимального смачивания ткани при распылении без подъема подошвы</li>
<li>Фронтальный откидной носик для удобства дозалива</li>
<li>Противокапельная система</li>
<li>Система защиты от накипи</li>
<li>Крепление кабеля с гибким полимерным входом для предотвращения заломов</li>
<li>Компактные габариты для комфортной эксплуатации и компактного хранения</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение питания: 220 В</li>
<li>Мощность: 2,6 кВт</li>
<li>Производительность подачи пара:
<ul>
<li>Непрерывная: 35 г/мин.</li>
<li>Импульсная: 170 г/мин.</li>
</ul>
</li>
<li>Объем резервуара для воды: 0,38 л</li>
<li>Масса нетто: 1,43 кг</li>
<li>Длина кабеля питания: 1900 мм</li>
<li>Габариты:
<ul>
<li>Ширина: 120 мм</li>
<li>Глубина: 320 мм</li>
<li>Высота: 165 мм</li>
</ul>
</li>
</ul>",285368,0,https://entero.ru/manuals/350798/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Solac%20Optima%20Perfect%20PV2014.pdf,5292
https://cdn.entero.ru/mp@2x/91/5d/915d6860a80254db7b3c7d455c0c98c7.jpg;https://cdn.entero.ru/mp@2x/9b/e5/9be5480ae144ca8748c7e01eb6ef1fcf.jpg,Утюг Taurus Atlas 2600,Утюг Taurus Atlas 2600,4363,RUB,Да,Taurus,Бытовая техника,Техника для дома,Утюги,https://entero.ru/item/251328,"<p>Утюг <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251328""><b class=""b"">Taurus Atlas 2600</b></a> используется в частных домах и квартирах для разглаживания складок и заминов на одежде, ткани и белье. Модель оснащена световым индикатором нагрева, встроенным резервуаром для воды и регуляторами температуры и расхода пара. Подошва - керамическая.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Паровой удар</li>
<li>Функция распыления</li>
<li>Противокапельная система</li>
<li>Вертикальное отпаривание</li>
<li>Система защиты от накипи</li>
<li>Система самоочистки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 2,6 кВт</li>
<li>Паровой удар: 150 г/мин.</li>
<li>Постоянная подача пара: 40 г/мин.</li>
<li>Объем резервуара для воды: 0,3 л</li>
<li>Напряжение: 220 В</li>
<li>Длина сетевого кабеля: 2 м</li>
<li>Цвет: черный с синим</li>
</ul>",251328,0,https://entero.ru/manuals/308542/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20Atlas%202600.pdf,6233
https://cdn.entero.ru/mp@2x/bd/70/bd70f679cb6250386f747339982d0c64.jpg,Утюг Taurus Atlantida 3000,Утюг Taurus Atlantida 3000,4453,RUB,Да,Taurus,Бытовая техника,Техника для дома,Утюги,https://entero.ru/item/251326,"<p>Утюг <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251326""><b class=""b"">Taurus Atlantida 3000</b></a> используется в частных домах и квартирах для разглаживания складок и заминов на одежде, ткани и белье. Модель оснащена световым индикатором нагрева, встроенным резервуаром для воды и регуляторами температуры и расхода пара. Подошва - керамическая.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Паровой удар</li>
<li>Функция распыления</li>
<li>Противокапельная система</li>
<li>Вертикальное отпаривание</li>
<li>Система защиты от накипи</li>
<li>Система самоочистки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 3 кВт</li>
<li>Паровой удар: 200 г/мин.</li>
<li>Постоянная подача пара: 45 г/мин.</li>
<li>Объем резервуара для воды: 0,29 л</li>
<li>Напряжение: 220 В</li>
<li>Цвет: белый с красным</li>
</ul>",251326,0,https://entero.ru/manuals/308540/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20Atlantida%203000.pdf,5301
https://cdn.entero.ru/mp@2x/f4/e0/f4e04bc7995d8dc335a9a42b2a2b92b8.jpg;https://cdn.entero.ru/mp@2x/05/3f/053f2bc29c89fb489ffe2594f7f7f0f5.jpg;https://cdn.entero.ru/mp@2x/b3/04/b304a19a2f0feba225ff9223cb14f0e5.jpg;https://cdn.entero.ru/mp@2x/78/4f/784f9d000ea0b84ffbff65b84766bfda.jpg,Утюг Solac Optima Extrem Ceramic PV2028,Утюг Solac Optima Extrem Ceramic PV2028,4990,RUB,Да,,Бытовая техника,Техника для дома,Утюги,https://entero.ru/item/285366,"<p>Утюг <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/285366"">Solac Optima Extrem Ceramic PV2028</a> </b>используется в гостиницах, ателье, а также домашних условиях для разглаживания складок на одежде, белье и шторах из различных тканей, а также для термической дезинфекции изделий с помощью струи горячего пара. Модель оснащена электронагревателем, кабелем питания с вилкой, подошвой в форме капли с большим количеством паровых отверстий, рукояткой обтекаемой формы и электромеханическим управлением. Корпус выполнен из термостойкого ударопрочного пластика в комбинации черного и синего цветов. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы подачи пара:
<ul>
<li>Постоянная с настройкой интенсивности с помощью переключателя на рукоятке</li>
<li>Паровой удар</li>
</ul>
</li>
<li>3-ступенчатая регулировка температуры с помощью кругового переключателя на корпусе</li>
<li>Сухое и влажное глажение</li>
<li>Возможность отпаривания в вертикальном и горизонтальном положениях</li>
<li>Распыление воды с помощью кнопки на верхней панели</li>
<li>Импульсная подача пара с помощью удобно расположенной под рукояткой курковой кнопки</li>
<li>Функция самоочистки путем промывки парового контура горячей водой с паром</li>
<li>Энергосберегающее автоматическое отключение нагрева</li>
<li>Светодиодный индикатор готовности к работе </li>
<li>Подошва c керамическим покрытием для оптимальной теплопроводности и предотвращения повреждения тканей</li>
<li>Прозрачные стенки резервуара с отметкой максимального заполнения для визуального контроля уровня воды</li>
<li>Фронтальное сопло для оптимального смачивания ткани при распылении без подъема подошвы</li>
<li>Фронтальный откидной носик для удобства дозалива</li>
<li>Противокапельная система</li>
<li>Система защиты от накипи</li>
<li>Крепление кабеля с гибким полимерным входом для предотвращения заломов</li>
<li>Компактные габариты для комфортной эксплуатации и компактного хранения</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение питания: 220 В</li>
<li>Мощность: 2,8 кВт</li>
<li>Производительность подачи пара:
<ul>
<li>Непрерывная: 40 г/мин.</li>
<li>Импульсная: 180 г/мин.</li>
</ul>
</li>
<li>Объем резервуара для воды: 0,3 л</li>
<li>Масса нетто: 1,2 кг</li>
<li>Длина кабеля питания: 1950 мм</li>
<li>Габариты:
<ul>
<li>Ширина: 145 мм</li>
<li>Глубина: 295 мм</li>
<li>Высота: 125 мм</li>
</ul>
</li>
</ul>",285366,0,https://entero.ru/manuals/350796/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Solac%20Optima%20Extrem%20Ceramic%20PV2028.pdf,5871
https://cdn.entero.ru/mp@2x/e6/cc/e6cc9e13f99cfeb13e0722a452e50251.jpg;https://cdn.entero.ru/mp@2x/b0/30/b03072bc354296e18b05966461e15142.jpg;https://cdn.entero.ru/mp@2x/85/16/8516c1b285fa662128750cf7f6715519.jpg,Утюг Taurus Geyser Eco 2700,Утюг Taurus Geyser Eco 2700,5959,RUB,Да,Taurus,Бытовая техника,Техника для дома,Утюги,https://entero.ru/item/251331,"<p>Утюг <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251331""><b class=""b"">Taurus Geyser Eco 2700</b></a> используется в частных домах и квартирах для разглаживания складок и заминов на одежде, ткани и белье. Модель оснащена световым индикатором нагрева, встроенным резервуаром для воды и регуляторами температуры и расхода пара. Подошва - титановая.</p>

<p>В комплект поставки входит стакан для залива воды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ультраскользящая подошва</li>
<li>Эко-режим для экономии воды и электроэнергии</li>
<li>Паровой удар</li>
<li>Функция распыления</li>
<li>Противокапельная система</li>
<li>Вертикальное отпаривание</li>
<li>Система защиты от накипи</li>
<li>Система самоочистки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 2,7 кВт</li>
<li>Паровой удар: 170 г/мин.</li>
<li>Постоянная подача пара: 40 г/мин.</li>
<li>Объем резервуара для воды: 0,34 л</li>
<li>Напряжение: 220 В</li>
<li>Длина сетевого кабеля: 2 м</li>
<li>Цвет: черный с серым</li>
</ul>",251331,0,https://entero.ru/manuals/308568/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20Geyser%20Eco%202700.pdf,8513
https://cdn.entero.ru/mp@2x/5f/87/5f871b404ddb2c1316b3810dfd8050b3.jpg;https://cdn.entero.ru/mp@2x/f9/53/f953eb4cf6ab177949ce349d39b4877f.jpg;https://cdn.entero.ru/mp@2x/0e/7c/0e7c871d70569594fba42e193f823738.jpg;https://cdn.entero.ru/mp@2x/00/43/0043fe8af62dc86de126c1d68bee064e.jpg;https://cdn.entero.ru/mp@2x/c9/d6/c9d6c48cd33bb86d4df4cb1e1956c9f8.jpg;https://cdn.entero.ru/mp@2x/48/97/489753eeff4be4b71455cf18cafc5a5c.jpg,Утюг-парогенератор Solac Intelligent Evolution Sensor CVG9512,Утюг-парогенератор Solac Intelligent Evolution Sensor CVG9512,15990,RUB,Да,,Бытовая техника,Техника для дома,Утюги,https://entero.ru/item/285361,"<p>Утюг-парогенератор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/285361"">Solac Intelligent Evolution Sensor CVG9512</a> </b>используется в гостиницах, ателье, а также домашних условиях для разглаживания складок на одежде, белье и шторах из различных тканей, а также для термической дезинфекции изделий с помощью струи горячего пара. Модель оснащена электронагревателем с насосом, кабелем питания с вилкой, подошвой в форме капли с большим количеством паровых отверстий, рукояткой обтекаемой формы и электромеханическим управлением. Корпус выполнен из термостойкого ударопрочного пластика в комбинации черного, белого и серебристого цветов. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы подачи пара:
<ul>
<li>Постоянная:
<ul>
<li>EСO: энергосберегающая работа</li>
<li>TURBO: максимальная</li>
</ul>
</li>
<li>Паровой удар</li>
</ul>
</li>
<li>Сухое и влажное глажение</li>
<li>Возможность отпаривания в вертикальном и горизонтальном положениях</li>
<li>Активация или отключение подачи пара и смена режимов с помощью сенсорных клавиш на верхней панели</li>
<li>Импульсная подача пара с помощью удобно расположенной под рукояткой курковой кнопки</li>
<li>Светодиодные индикаторы режимов и готовности к работе</li>
<li>Звуковая сигнализация для оповещения о готовности к работе и неисправностях</li>
<li>Автоматическое отключение (ограничение работы):
<ul>
<li>Отсутствие воды в резервуаре</li>
<li>Длительное отсутствие действий</li>
<li>Перегрев</li>
</ul>
</li>
<li>Датчик присутствия для энергосберегающего предотвращения подачи пара при отпускании рукоятки</li>
<li>Подошва ILLYUM c керамическим покрытием для оптимальной теплопроводности и предотвращения повреждения тканей</li>
<li>Прозрачные стенки резервуара с отметкой максимального заполнения для визуального контроля уровня воды</li>
<li>Фронтальный откидной носик для удобства дозалива</li>
<li>Противокапельная система</li>
<li>Система защиты от накипи</li>
<li>Крепление кабеля с гибким полимерным входом для предотвращения заломов</li>
<li>Компактные габариты для комфортной эксплуатации и компактного хранения</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение питания: 220 В</li>
<li>Мощность: 2,8 кВт</li>
<li>Производительность подачи пара:
<ul>
<li>Непрерывная: 60 г/мин.</li>
<li>Импульсная: 190 г/мин.</li>
</ul>
</li>
<li>Длительность работы до автоматического отключения при отсутствии действий: 3 мин.</li>
<li>Объем резервуара для воды: 0,3 л</li>
<li>Масса нетто: 1,99 кг</li>
<li>Длина кабеля питания: 1920 мм</li>
<li>Габариты:
<ul>
<li>Ширина: 132 мм</li>
<li>Глубина: 325 мм</li>
<li>Высота: 150 мм</li>
</ul>
</li>
</ul>",285361,0,https://entero.ru/manuals/350793/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Solac%20Intelligent%20Evolution%20Sensor%20CVG9512.pdf,17011
https://cdn.entero.ru/mp@2x/cd/79/cd79752d03ec19d874d0fa92e1378e3c.jpg;https://cdn.entero.ru/mp@2x/b9/1a/b91aa27cc4593e065a5d7c4818845606.jpg,Утюг Solac Optima Perfect PV2114,Утюг Solac Optima Perfect PV2114,4399,RUB,Да,,Бытовая техника,Техника для дома,Утюги,https://entero.ru/item/285367,"<p>Утюг <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/285367"">Solac Optima Perfect PV2114</a> </b>используется в гостиницах, ателье, а также домашних условиях для разглаживания складок на одежде, белье и шторах из различных тканей, а также для термической дезинфекции изделий с помощью струи горячего пара. Модель оснащена электронагревателем, кабелем питания с вилкой, подошвой в форме капли с большим количеством паровых отверстий, рукояткой обтекаемой формы и электромеханическим управлением. Корпус выполнен из термостойкого ударопрочного пластика в комбинации черного и сиреневого цветов. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы подачи пара:
<ul>
<li>Постоянная с настройкой интенсивности с помощью переключателя на рукоятке</li>
<li>Паровой удар</li>
</ul>
</li>
<li>3-ступенчатая регулировка температуры с помощью кругового переключателя на корпусе</li>
<li>Сухое и влажное глажение</li>
<li>Возможность отпаривания в вертикальном и горизонтальном положениях</li>
<li>Распыление воды и импульсная подача пара с помощью кнопок на верхней панели</li>
<li>Функция самоочистки путем промывки парового контура горячей водой с паром</li>
<li>Светодиодный индикатор нагрева </li>
<li>Подошва c керамическим покрытием для оптимальной теплопроводности и предотвращения повреждения тканей</li>
<li>Полупрозрачные стенки резервуара с отметкой максимального заполнения для визуального контроля уровня воды</li>
<li>Фронтальное сопло для оптимального смачивания ткани при распылении без подъема подошвы</li>
<li>Фронтальный откидной носик для удобства дозалива</li>
<li>Противокапельная система</li>
<li>Система защиты от накипи</li>
<li>Крепление кабеля с гибким полимерным входом для предотвращения заломов</li>
<li>Компактные габариты для комфортной эксплуатации и компактного хранения</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение питания: 220 В</li>
<li>Мощность: 2,6 кВт</li>
<li>Производительность подачи пара:
<ul>
<li>Непрерывная: 35 г/мин.</li>
<li>Импульсная: 160 г/мин.</li>
</ul>
</li>
</ul>",285367,0,https://entero.ru/manuals/350797/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Solac%20Optima%20Perfect%20PV2114.pdf,5568
https://cdn.entero.ru/mp@2x/b7/1d/b71d1dc08afb2d816b742fd73c4eadf4.jpg;https://cdn.entero.ru/mp@2x/eb/cb/ebcbec42a872de527e16ea6df2ee3f50.jpg;https://cdn.entero.ru/mp@2x/4e/58/4e5829acb77cedfc79c59abc1bdfcce4.jpg;https://cdn.entero.ru/mp@2x/bb/95/bb951789d1d4a4414b93dfa331a4b27e.jpg;https://cdn.entero.ru/mp@2x/7b/07/7b075419bca78729a8b2d29302702519.jpg;https://cdn.entero.ru/mp@2x/89/ca/89ca11a99bd315945a7d8c2e79d37e82.jpg;https://cdn.entero.ru/mp@2x/3e/e1/3ee1a682021be38d25ca658ac473f6d8.jpg,Утюг Taurus Geyser Eco Easy 2800,Утюг Taurus Geyser Eco Easy 2800,6399,RUB,Да,Taurus,Бытовая техника,Техника для дома,Утюги,https://entero.ru/item/285364,"<p>Утюг <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/285364"">Taurus Geyser Eco Easy 2800</a> </b>используется в гостиницах, ателье, а также домашних условиях для разглаживания складок на одежде, белье и шторах из различных тканей, а также для термической дезинфекции изделий с помощью струи горячего пара. Модель оснащена электронагревателем, кабелем питания с вилкой, подошвой в форме капли с большим количеством паровых отверстий, рукояткой обтекаемой формы и электромеханическим управлением. Корпус выполнен из термостойкого ударопрочного пластика в комбинации черного и серебристого цветов. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы подачи пара:
<ul>
<li>Постоянная:
<ul>
<li>EСO: энергосберегающая работа</li>
<li>MAX: максимальная</li>
</ul>
</li>
<li>Паровой удар</li>
</ul>
</li>
<li>3-ступенчатая регулировка температуры с помощью кругового переключателя</li>
<li>Сухое и влажное глажение</li>
<li>Возможность отпаривания в вертикальном и горизонтальном положениях</li>
<li>Распыление воды с помощью кнопки на верхней панели</li>
<li>Смена режимов с помощью ползункового переключателя</li>
<li>Импульсная подача пара с помощью удобно расположенной под рукояткой курковой кнопки</li>
<li>Функция самоочистки путем промывки парового контура горячей водой с паром</li>
<li>Энергосберегающее автоматическое отключение</li>
<li>Светодиодные индикаторы готовности к работе и автоматического отключения </li>
<li>Датчик присутствия для энергосберегающего предотвращения подачи пара при отпускании рукоятки</li>
<li>Подошва c керамическим покрытием для оптимальной теплопроводности и предотвращения повреждения тканей</li>
<li>Прозрачные стенки резервуара с отметкой максимального заполнения для визуального контроля уровня воды</li>
<li>Фронтальное сопло для оптимального смачивания ткани при распылении без подъема подошвы</li>
<li>Фронтальный откидной носик для удобства дозалива</li>
<li>Противокапельная система</li>
<li>Система защиты от накипи</li>
<li>Крепление кабеля с гибким полимерным входом для предотвращения заломов</li>
<li>Компактные габариты для комфортной эксплуатации и компактного хранения</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение питания: 220 В</li>
<li>Мощность: 2,8 кВт</li>
<li>Производительность подачи пара:
<ul>
<li>Непрерывная: 40 г/мин.</li>
<li>Импульсная: 180 г/мин.</li>
</ul>
</li>
</ul>",285364,0,https://entero.ru/manuals/350794/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20Geyser%20Eco%20Easy%202800.pdf,7900
