Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Объем воды,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель
https://cdn.entero.ru/mp@2x/4c/89/4c89586a460a9449747575d950842e8c.jpg;https://cdn.entero.ru/mp@2x/ce/68/ce6872554e607cb4461083c7f24ac3db.jpg;https://cdn.entero.ru/mp@2x/e2/a9/e2a9a187c5ff87b60b6680729c85b0e3.jpg;https://cdn.entero.ru/mp@2x/97/4c/974c88419ae64d9433ea29691482c320.jpg;https://cdn.entero.ru/mp@2x/93/d6/93d638546c90f76bc52599eeca0bbce5.jpg;https://cdn.entero.ru/mp@2x/1f/d7/1fd78aa57c3f7dd2fca4e50ec47d620e.jpg,Аппарат Sous Vide CASO SV 1200 Pro Smart,Аппарат Sous Vide CASO SV 1200 Pro Smart,21910,RUB,Да,CASO,Бытовая техника,Техника для кухни,Аппараты Sous Vide,https://entero.ru/item/129886,"<p>Аппарат Sous Vide <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/129886"">CASO SV 1200 Pro Smart</a></b> используется в частных домах и квартирах для приготовления пищи в герметичных пакетах в горячей воде при невысоких температурах, что позволяет сохранить в продуктах все питательные вещества, витамины и минералы и обеспечить насыщенный вкус мяса и овощей. Модель оснащена сенсорной панелью управления с дисплеем и световым индикатором. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление через мобильное приложение CASO Control App</li>
<li>Быстрый нагрев воды</li>
<li>Циркуляция воды</li>
<li>Используется с любой термостойкой посудой</li>
<li>Метки минимального и максимального уровня жидкости</li>
<li>Таймер: до 99 ч 59 мин</li>
<li>Полностью водостойкий (IPX7)</li>
<li>Винтовое крепление</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Пропускная способность: 10 л/мин.</li>
<li>Шаг установки температуры: 0,5 °C</li>
<li>Минимальная глубина посуды: 190 мм</li>
<li>Объем посуды: от 6 до 30 л</li>
<li>WLAN / WIFI: IEEE 802.11 b/g/n (2,4 ГГц)</li>
</ul>",129886,погружной,,от 0 до 90 °С,220 В,1.2 кВт,75 мм,180 мм,390 мм,0,https://entero.ru/manuals/144253/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20SV%201200%20Pro%20Smart%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/144254/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D0%BF%D0%BE%D0%B4%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8E%20%D0%BA%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8E%20CASO%20Control%20App%20%28%D0%BD%D0%B5%D0%BC.%29.pdf,23309,1.5 кг,Германия,
https://cdn.entero.ru/mp@2x/c6/68/c6681d3d399241c946edfac0f4be37f1.jpg;https://cdn.entero.ru/mp@2x/ac/e3/ace3d6a8b276eb6909acb78b925b115e.jpg;https://cdn.entero.ru/mp@2x/39/bc/39bcc6da1fdb366fa19780e4482e8b32.jpg;https://cdn.entero.ru/mp@2x/b4/4b/b44b40b06b9b1e60947a27e9d1d919fa.jpg;https://cdn.entero.ru/mp@2x/35/fa/35fae43f5b2fcdb88e61920c0d7abe94.jpg;https://cdn.entero.ru/mp@2x/de/e2/dee2ece0e8844efde060fc703a9f9f0a.jpg;https://cdn.entero.ru/mp@2x/c7/21/c721d46fd21961830f1eb382363f0665.jpg,Аппарат Sous Vide Profi Cook PC-SV 1126,Аппарат Sous Vide Profi Cook PC-SV 1126,14627,RUB,Да,,Бытовая техника,Техника для кухни,Аппараты Sous Vide,https://entero.ru/item/209783,"<p>Аппарат Sous Vide <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/209783"">Profi Cook PC-SV 1126</a></b> используется в частных домах и квартирах для приготовления пищи в герметичных пакетах в горячей воде при невысоких температурах, что позволяет сохранить в продуктах все питательные вещества, витамины и минералы и обеспечить насыщенный вкус мяса и овощей. Модель оснащена сенсорной панелью управления со светодиодным дисплеем, встроенным зажимом крепления и эргономичной ручкой Soft Touch. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы для йогурта, подогрева и размораживания</li>
<li>Отображаемая на дисплее информация:
<ul>
<li>Выбранная температура</li>
<li>Фактическая температура</li>
<li>Таймер</li>
</ul>
</li>
<li>Быстрый нагрев воды</li>
<li>Циркуляция воды</li>
<li>Электронный контроль температуры</li>
<li>Используется с любой термостойкой посудой</li>
<li>Автоматическое отключение при низком уровне воды</li>
<li>Таймер: до 99 ч </li>
<li>Полностью водостойкий (IPX7)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Пропускная способность: от 7 до 8 л/мин.</li>
<li>Шаг установки температуры: 0,5 °C</li>
<li>Минимальная глубина посуды: 150 мм</li>
</ul>",209783,погружной,,от 0 до 90 °С,220 В,0.8 кВт,65 мм,65 мм,380 мм,0,https://entero.ru/manuals/245433/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Profi%20Cook%20PC-SV%201126.pdf,15397,1.18 кг,Германия,Китай
https://cdn.entero.ru/mp@2x/72/d3/72d3900a84650ede5789a6aad7acbdeb.jpg;https://cdn.entero.ru/mp@2x/65/ff/65ff7252d5190ce0b516b42ea2f36649.jpg;https://cdn.entero.ru/mp@2x/dc/51/dc51b61b1dc1c2f6813df276a6d4f8a9.jpg;https://cdn.entero.ru/mp@2x/7b/31/7b31209c86a818d6623cc4cbe90b92ff.jpg,Аппарат Sous Vide Steba SV 75,Аппарат Sous Vide Steba SV 75,19560,RUB,Да,,Бытовая техника,Техника для кухни,Аппараты Sous Vide,https://entero.ru/item/131743,"<p>Аппарат Sous Vide <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/131743"">Steba SV 75</a></b> используется в частных домах и квартирах для приготовления пищи в герметичных пакетах в горячей воде при невысоких температурах, что позволяет сохранить в продуктах все питательные вещества, витамины и минералы и обеспечить насыщенный вкус мяса и овощей. Модель оснащена сенсорной панелью управления с ЖК-дисплеем. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Циркуляция воды</li>
<li>Используется с любой термостойкой посудой</li>
<li>Метки минимального и максимального уровня жидкости</li>
<li>Таймер до 99 ч </li>
<li>Отображаемая на дисплее информация:
<ul>
<li>текущая температура</li>
<li>таймер</li>
</ul>
</li>
<li>Полностью водостойкий (IPX7)</li>
<li>Практичная прищепка-держатель</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Пропускная способность: 12 л/мин.</li>
<li>Шаг установки температуры: 0,1 °C</li>
<li>Минимальная глубина посуды: 150 мм</li>
<li>Время нагрева 20 л воды до 56 °C: 45 мин.</li>
</ul>",131743,погружной,,90 °С,220 В,0.8 кВт,75 мм,115 мм,390 мм,0,https://entero.ru/manuals/148680/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20SV%2075%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,21032,1.6 кг,,Китай
https://cdn.entero.ru/mp@2x/2b/f1/2bf1efd54b31ed847328a285d476c077.jpg;https://cdn.entero.ru/mp@2x/fc/26/fc269d85f93b665c3cfa3264bff37dc4.jpg;https://cdn.entero.ru/mp@2x/b6/e0/b6e0c281d5adfd58d94c3b3d10a015ad.jpg;https://cdn.entero.ru/mp@2x/d5/eb/d5eb892895c782e19530a34d5fb1362f.jpg;https://cdn.entero.ru/mp@2x/de/bd/debd0672cd53d4e1ce7a39095335557a.jpg;https://cdn.entero.ru/mp@2x/78/3b/783bda916b466770b91813e451c20acb.jpg,Аппарат Sous Vide Profi Cook PC-SV 1159,PC-SV 1159 silber,18300,RUB,Да,,Бытовая техника,Техника для кухни,Аппараты Sous Vide,https://entero.ru/item/149602,"<p>Аппарат Sous Vide <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/149602"">Profi Cook PC-SV 1159</a></b> используется в частных домах и квартирах для приготовления пищи в герметичных пакетах в горячей воде при невысоких температурах, что позволяет сохранить в продуктах все питательные вещества, витамины и минералы и обеспечить насыщенный вкус мяса и овощей. Модель оснащена сенсорной панелью управления со светодиодным дисплеем. Корпус с со встроенным крепежным зажимом выполнен из алюминия.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление через бесплатное мобильное приложение (содержит автоматические программы для различных продуктов)</li>
<li>Режимы для йогурта, подогрева и размораживания</li>
<li>Отображаемая на дисплее информация:
<ul>
<li>Выбранная температура</li>
<li>Фактическая температура</li>
<li>Таймер</li>
</ul>
</li>
<li>Быстрый нагрев воды</li>
<li>Циркуляция воды</li>
<li>Электронный контроль температуры</li>
<li>Используется с любой термостойкой посудой</li>
<li>Автоматическое отключение при низком уровне воды</li>
<li>Таймер: до 99 ч </li>
<li>Полностью водостойкий (IPX7)</li>
<li>Системные требования:
<ul>
<li>Apple: iOS 8.0 или выше</li>
<li>Android: Android 4.4 или выше</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Пропускная способность: от 7 до 8 л/мин.</li>
<li>Шаг установки температуры: 0,5 °C</li>
<li>Минимальная глубина посуды: 150 мм</li>
<li>WLAN: 2,4 ГГц (стандарт 5 ГГц не поддерживается)</li>
</ul>",149602,погружной,,от 0 до 90 °С,220 В,1 кВт,53 мм,88 мм,310 мм,0,https://entero.ru/manuals/177295/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Profi%20Cook%20PC-SV%201159.pdf,,,Германия,Китай
https://cdn.entero.ru/mp@2x/47/9f/479fbe45b20a952f1e173485168af731.jpg;https://cdn.entero.ru/mp@2x/c1/27/c1277831633a9d8673ab25ed6dc435ec.jpg;https://cdn.entero.ru/mp@2x/ed/a2/eda2055e1b49c58129dc2242792d63c9.jpg;https://cdn.entero.ru/mp@2x/5b/3f/5b3ff7d71ec3d8974d6f0e0622cf7ab5.jpg;https://cdn.entero.ru/mp@2x/82/0c/820ce161cf935b66505d33cadc0b9131.jpg,Аппарат Sous Vide Profi Cook PC-SV 1112,Аппарат Sous Vide Profi Cook PC-SV 1112,19044,RUB,Да,,Бытовая техника,Техника для кухни,Аппараты Sous Vide,https://entero.ru/item/209778,"<p>Аппарат Sous Vide <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/209778"">Profi Cook PC-SV 1112</a></b> используется в частных домах и квартирах для приготовления пищи в герметичных пакетах в горячей воде при невысоких температурах, что позволяет сохранить в продуктах все питательные вещества, витамины и минералы и обеспечить насыщенный вкус мяса и овощей. Модель оснащена панелью управления с ЖК-дисплеем и крышкой со смотровым окном. Корпус выполнен из нержавеющей стали, варочная емкость - с антипригарным покрытием.</p>

<p>В комплект поставки входят щипцы и держатель из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный контроль температуры</li>
<li>Режим приготовления йогурта</li>
<li>Режим поддержания тепла</li>
<li>Таймер до 72 ч</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Точность поддержания температуры: 0,5 °C</li>
<li>Объем емкости: 8,5 л</li>
<li>Объем воды:
<ul>
<li>Максимальный: 6 л</li>
<li>Минимальный: 2 л</li>
</ul>
</li>
</ul>",209778,с ванной,6 л,от 45 до 90 °С,220 В,0.52 кВт,,,,0,https://entero.ru/manuals/245422/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Profi%20Cook%20PC-SV%201112.pdf,,2.85 кг,Германия,Китай
https://cdn.entero.ru/mp@2x/ef/9c/ef9cee8a1ff800259ba96ca6a4f03f48.jpg;https://cdn.entero.ru/mp@2x/22/8c/228c375d84a0d79b4df1319231c4ebe9.jpg;https://cdn.entero.ru/mp@2x/f0/ce/f0ce2dfe6d56d68ae38dec4757bfb2c8.jpg;https://cdn.entero.ru/mp@2x/75/4c/754c62d58067b36e8dd3226a64e3c6ff.jpg;https://cdn.entero.ru/mp@2x/7f/6e/7f6ea43da9839d11c61e084a47ab9594.jpg;https://cdn.entero.ru/mp@2x/f3/0f/f30f6a3daf0345db16f0be0fbbf0c283.jpg,Аппарат Sous Vide CASO SV 1200 Smart,Аппарат Sous Vide CASO SV 1200 Smart,20471,RUB,Да,CASO,Бытовая техника,Техника для кухни,Аппараты Sous Vide,https://entero.ru/item/129887,"<p>Аппарат Sous Vide <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/129887""><b class=""b"">CASO SV 1200 Smart</b></a> используется в частных домах и квартирах для приготовления пищи в герметичных пакетах в горячей воде при невысоких температурах, что позволяет сохранить в продуктах все питательные вещества, витамины и минералы и обеспечить насыщенный вкус мяса и овощей. Модель оснащена сенсорной панелью управления с дисплеем и световым индикатором. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление через мобильное приложение CASO Control App</li>
<li>Быстрый нагрев воды</li>
<li>Циркуляция воды</li>
<li>Используется с любой термостойкой посудой</li>
<li>Метки минимального и максимального уровня жидкости</li>
<li>Таймер: до 99 ч 59 мин</li>
<li>Полностью водостойкий (IPX7)</li>
<li>Практичная прищепка-держатель</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Пропускная способность: 10 л/мин.</li>
<li>Шаг установки температуры: 0,5 °C</li>
<li>Минимальная глубина посуды: 120 мм</li>
<li>Объем посуды: от 6 до 20 л</li>
<li>WLAN / WIFI: IEEE 802.11 b/g/n (2,4 ГГц)</li>
</ul>",129887,погружной,,от 0 до 90 °С,220 В,1.2 кВт,60 мм,85 мм,330 мм,0,https://entero.ru/manuals/144258/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20SV%201200%20Smart%20%28%D1%80%D1%83%D1%81%D1%81%D0%BA.%29.pdf;https://entero.ru/manuals/144257/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20SV%201200%20Smart%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/144256/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D0%BF%D0%BE%D0%B4%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8E%20%D0%BA%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8E%20CASO%20Control%20App%20%28%D0%BD%D0%B5%D0%BC.%29.pdf;https://entero.ru/manuals/144259/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,22251,1 кг,Германия,Китай
https://cdn.entero.ru/mp@2x/0a/83/0a8360a3a75c2909d1858fd4026c32d6.jpg;https://cdn.entero.ru/mp@2x/d1/dd/d1dd53bcb4b0b762b0b41e663af3b431.jpg;https://cdn.entero.ru/mp@2x/dd/98/dd9844cfbbdc6aa22dd50c2b43104265.jpg;https://cdn.entero.ru/mp@2x/c7/be/c7be51834260aaa61884782e5ed5804c.jpg,Аппарат Sous Vide Steba SV 80,Аппарат Sous Vide Steba SV 80,23227,RUB,Да,,Бытовая техника,Техника для кухни,Аппараты Sous Vide,https://entero.ru/item/131744,"<p>Аппарат Sous Vide <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/131744"">Steba SV 80</a></b> используется в частных домах и квартирах для приготовления пищи в герметичных пакетах в горячей воде при невысоких температурах, что позволяет сохранить в продуктах все питательные вещества, витамины и минералы и обеспечить насыщенный вкус мяса и овощей. Модель оснащена сенсорной панелью управления с ЖК-дисплеем. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление по WIFI</li>
<li>Циркуляция воды</li>
<li>Используется с любой термостойкой посудой</li>
<li>Метки минимального и максимального уровня жидкости</li>
<li>Таймер до 99 ч </li>
<li>Отображаемая на дисплее информация:
<ul>
<li>текущая температура</li>
<li>таймер</li>
</ul>
</li>
<li>Полностью водостойкий (IPX7)</li>
<li>Практичная прищепка-держатель</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Пропускная способность: 12 л/мин.</li>
<li>Шаг установки температуры: 0,1 °C</li>
<li>Минимальная глубина посуды: 150 мм</li>
<li>Время нагрева 20 л воды до 56 °C: 45 мин.</li>
</ul>",131744,погружной,,90 °С,220 В,0.8 кВт,75 мм,115 мм,390 мм,0,https://entero.ru/manuals/148682/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20SV%2080%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,1.6 кг,,Китай
https://cdn.entero.ru/mp@2x/0c/f4/0cf425c38db252da6c1d05b33bd72530.jpg;https://cdn.entero.ru/mp@2x/bd/ce/bdce1fcafd7a9152eaf060450c04a78e.jpg;https://cdn.entero.ru/mp@2x/0a/04/0a04fd5571f4dc3922e170bc485c3cc8.jpg;https://cdn.entero.ru/mp@2x/1a/e7/1ae7474cd64f6aa6af1febd0180491b0.jpg,Аппарат Sous Vide Steba SV 2,Аппарат Sous Vide Steba SV 2,26792,RUB,Да,,Бытовая техника,Техника для кухни,Аппараты Sous Vide,https://entero.ru/item/131813,"<p>Аппарат Sous Vide <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/131813"">Steba SV 2</a></b> используется в частных домах и квартирах для приготовления пищи в герметичных пакетах в горячей воде при невысоких температурах, что позволяет сохранить в продуктах все питательные вещества, витамины и минералы и обеспечить насыщенный вкус мяса и овощей. Модель оснащена панелью управления с ЖК-дисплеем. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Циркуляция воды</li>
<li>Таймер до 23 ч 59 мин</li>
<li>Отображаемая на дисплее информация:
<ul>
<li>текущая температура</li>
<li>заданная температура</li>
<li>таймер</li>
</ul>
</li>
<li>Легкая очистка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг установки температуры: 0,5 °C</li>
<li>Размер чаши: 300х220х150 мм</li>
</ul>",131813,с ванной,10 л,99 °С,220 В,0.8 кВт,380 мм,250 мм,220 мм,0,https://entero.ru/manuals/148910/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20SV%202.pdf,,3.5 кг,,Китай
https://cdn.entero.ru/mp@2x/31/ee/31ee618638e9c197bd1e2c44e175b3a9.jpg;https://cdn.entero.ru/mp@2x/bf/4c/bf4cbdd9922093c4ace1e7ab952e8600.jpg;https://cdn.entero.ru/mp@2x/aa/bd/aabd0884d8b94f632992324d57ab9018.jpg;https://cdn.entero.ru/mp@2x/fa/1d/fa1d8753859550832fd48c61bd170885.jpg;https://cdn.entero.ru/mp@2x/37/dd/37dd0a7e5e0ce060888b03d37652da04.jpg;https://cdn.entero.ru/mp@2x/aa/28/aa286d466f06e75bfcd1607ae07e5274.jpg,Кипятильник ротационный CASO SV 2000 Pro,1332,43618,RUB,Да,CASO,Бытовая техника,Техника для кухни,Аппараты Sous Vide,https://entero.ru/item/344110,"<p>Ротационный кипятильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/344110"">CASO SV 2000 Pro</a></b> используется в частных домах, квартирах для приготовления широкого спектра деликатесных блюд по технологии Sous Vide, позволяющей придать им нежнейший вкус и сохранить все важные микроэлементы продуктов. Особенность данного оборудования состоит в том, что продукты перед непосредственным приготовлением помещают в упаковку, из которой полностью удаляется воздух. Затем вакуумные пакеты помещают в воду и готовят. Циркуляционный нагрев равномерно распределяет температуру в емкости. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Приготовление с меньшим количеством жира</li>
<li>Водо- и пыленепроницаемая модель</li>
<li>Стандарт IPX7</li>
<li>Интуитивно понятная светодиодная сенсорная панель управления</li>
<li>Цифровой дисплей с индикацией температуры и времени</li>
<li>Индикатор хода всего процесса</li>
<li>Защита от перегрева</li>
<li>5 настраиваемых программ: индивидуальная, для мяса, птицы, рыбы и овощей</li>
<li>Регулировка циркуляции воды на 3 уровнях</li>
<li>Практичная ручка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг температуры: 0,5 °C</li>
<li>Таймера: до 99 ч 59 мин.</li>
<li>Шаг таймера: 1 мин.</li>
<li>Уровни воды: 12 л/мин., 15 л/мин. и 18 л/мин.</li>
<li>Напряжение: от 220 В до 240 В</li>
</ul>",344110,погружной,60 л,от 0 до +90 °С,220 В,2 кВт,100 мм,125 мм,375 мм,0,,,2.57 кг,Германия,Китай
https://cdn.entero.ru/mp@2x/8f/57/8f57a1368d87bb1248cc285ab03ed1c0.jpg;https://cdn.entero.ru/mp@2x/d1/bb/d1bb2ed016c517a82f23ad70f4c44571.jpg,Аппарат Sous Vide CASO SV 900,Аппарат Sous Vide CASO SV 900,45115,RUB,Да,CASO,Бытовая техника,Техника для кухни,Аппараты Sous Vide,https://entero.ru/item/85316,"<p><span class=""b"">Аппарат Sous Vide</span><b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/85316"">CASO SV 900</a></b> используется в частных домах и квартирах для приготовления пищи в герметичных пакетах в горячей воде при невысоких температурах, что позволяет сохранить в продуктах все питательные вещества, витамины и минералы и обеспечить насыщенный вкус мяса и овощей. Модель оснащена панелью управления с цифровым дисплеем. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 2 разделителя для пакетов на 5 порций и шланг для слива воды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция отложенного старта</li>
<li>Быстрый нагрев воды</li>
<li>Циркуляция воды</li>
<li>Система фильтрации воды</li>
<li>Таймер</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 5 порций</li>
<li>Шаг установки температуры: 0,1 °C</li>
<li>Циркуляция воды: 9 л/мин.</li>
<li>Внутренние размеры камеры: 260x175x245 мм</li>
</ul>",85316,с ванной,9 л,от 30 до 90 °С,220 В,2 кВт,310 мм,355 мм,240 мм,0,https://entero.ru/manuals/63350/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20SV%20900%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,46995,5.1 кг,Германия,
