Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Остаток,Файлы,Старая цена
https://cdn.entero.ru/mp@2x/ff/a7/ffa70b21bb77ff7bfbd5e7e4b993c2b5.jpg;https://cdn.entero.ru/mp@2x/d5/dc/d5dcf627fe6463d3ed19228a4fdc6b0c.jpg;https://cdn.entero.ru/mp@2x/1a/e4/1ae4d253609bfe3591dfb85bef655158.jpg,Сэндвичница Clatronic ST 3477 white,Сэндвичница Clatronic ST 3477 white,3118,RUB,Да,,Бытовая техника,Техника для кухни,Бутербродницы,https://entero.ru/item/283375,"<p>Сэндвичница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283375""><b class=""b"">Clatronic ST 3477 black1 </b></a>используется в отелях, офисах, а также домашних условиях для приготовления сэндвичей. Модель оснащена жарожными поверхностями с 4 сегментами треугольной формы, кабелем питания с вилкой и контрольными индикаторами на верхней створке. Корпус выполнен из прочного пластика белого цвета с глянцевой поверхностью, жарочные поверхности – из металла с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Светодиодные индикаторы:
<ul>
<li>Зеленый: активация нагрева</li>
<li>Красный: готовность к работе</li>
</ul>
</li>
<li>Защита от перегрева</li>
<li>Фиксация створок с помощью механической защелки</li>
<li>Термоизолированные рукоятки для предотвращения ожога и удобства транспортировки</li>
<li>Устойчивые нескользящие прорезиненные опоры</li>
<li>Плоский корпус для компактного хранения </li>
<li>Эргономичный дизайн</li>
<li>Страна производства: Китай</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение питания: 220 В</li>
<li>Мощность: 0,75 кВт</li>
<li>Масса нетто: 1 кг</li>
<li>Габариты: 230х230х80 мм</li>
</ul>",283375,0,https://entero.ru/manuals/349574/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20ST%203477%20white.pdf,3947
https://cdn.entero.ru/mp@2x/fd/89/fd89e6508acb784e9793522c636e4933.jpg;https://cdn.entero.ru/mp@2x/1d/44/1d448d02e7c04ec33970bc71c9b5a6bb.jpg,Сэндвичница Profi Cook PC-ST 1092,Сэндвичница Profi Cook PC-ST 1092,5654,RUB,Да,,Бытовая техника,Техника для кухни,Бутербродницы,https://entero.ru/item/225891,"<p>Сэндвичница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225891""><b class=""b"">Profi Cook PC-ST 1092</b></a> предназначена для приготовления горячих бутербродов, венских вафель, а также обжаривания различных продуктов в частных домах, квартирах, отелях и офисах. Модель оснащена жарочными пластинами с антипригарным покрытием, световыми индикаторами питания и нагрева и нескользящими ножками. Корпус выполнен из пластика со вставками из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Теплоизолированная ручка</li>
<li>Система блокировки крышки</li>
<li>Защита от перегрева</li>
<li>Пластины подходят для приготовления американских тостов</li>
<li>
<p>Место для намотки кабеля</p>
</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 0,9 кВт</li>
<li>Напряжение: 220 В</li>
<li>Размер пластин: 145x145 мм</li>
<li>Размер тоста: от 90 до 145 мм</li>
<li>Вес: 1,6 кг</li>
<li>Цвет корпуса: нержавеющая сталь/черный</li>
</ul>",225891,0,https://entero.ru/manuals/272495/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Profi%20Cook%20PC-ST%201092.pdf,7439
https://cdn.entero.ru/mp@2x/f2/68/f268109fe7f8e760f112a61f1f9a331f.jpg;https://cdn.entero.ru/mp@2x/40/64/4064a6344ecb64b11d09e92d7a520565.jpg;https://cdn.entero.ru/mp@2x/08/fe/08fe5a745351c1427382a64c592bc52c.jpg;https://cdn.entero.ru/mp@2x/36/5a/365a33632f0e31de5fc12b00593ebab9.jpg;https://cdn.entero.ru/mp@2x/65/29/6529cce75846b71055ef8629e86d3516.jpg;https://cdn.entero.ru/mp@2x/90/d9/90d908a177a7a42fd5b232884f5d5cc9.jpg;https://cdn.entero.ru/mp@2x/5d/b2/5db2fd9556808a7ca70632387bcb0594.jpg,Сэндвичница Bomann ST/WA 1364 CB,Сэндвичница Bomann ST/WA 1364 CB,5990,RUB,Да,Bomann,Бытовая техника,Техника для кухни,Бутербродницы,https://entero.ru/item/211469,"<p>Сэндвичница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/211469"">Bomann ST/WA 1364 CB</a></b> предназначена для приготовления горячих бутербродов, венских вафель, а также обжаривания различных продуктов в частных домах, квартирах, отелях и офисах. Модель оснащена 3 комплектами сменных жарочных пластин с антипригарным покрытием, световыми индикаторами питания и нагрева и нескользящими ножками. Корпус выполнен из пластика со вставкой из нержавеющей стали.</p>

<p><b>Комплектация: </b></p>

<ul>
<li>Панели для сэндвичей</li>
<li>Панели для венских вафель</li>
<li>Панели для гриля</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Теплоизолированная ручка</li>
<li>Система блокировки крышки</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 0,65 кВт</li>
<li>Напряжение: 220 В</li>
<li>Вес: 1,55 кг</li>
</ul>",211469,0,https://entero.ru/manuals/247960/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bomann%20ST_WA%201364%20CB.pdf,
https://cdn.entero.ru/mp@2x/98/6e/986ed5e1142fdef593da7bc185f409ac.jpg;https://cdn.entero.ru/mp@2x/48/d6/48d6c8fcb99043bba6abe5a922cdc40f.jpg;https://cdn.entero.ru/mp@2x/46/2e/462e8b21ed7fc2947dc8b47d6649c3fd.jpg,Сэндвичница Clatronic ST 3477 black,Сэндвичница Clatronic ST 3477 black,3118,RUB,Да,,Бытовая техника,Техника для кухни,Бутербродницы,https://entero.ru/item/283373,"<p>Сэндвичница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283373"">Clatronic ST 3477 black</a>1 </b>используется в отелях, офисах, а также домашних условиях для приготовления сэндвичей. Модель оснащена жарочными поверхностями с 4 сегментами треугольной формы, кабелем питания с вилкой и контрольными индикаторами на верхней створке. Корпус выполнен из прочного пластика черного цвета с глянцевой поверхностью, жарочные поверхности – из металла с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Светодиодные индикаторы:
<ul>
<li>Зеленый: активация нагрева</li>
<li>Красный: готовность к работе</li>
</ul>
</li>
<li>Защита от перегрева</li>
<li>Фиксация створок с помощью механической защелки</li>
<li>Термоизолированные рукоятки для предотвращения ожога и удобства транспортировки</li>
<li>Устойчивые нескользящие прорезиненные опоры</li>
<li>Плоский корпус для компактного хранения </li>
<li>Эргономичный дизайн</li>
<li>Страна производства: Китай</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение питания: 220 В</li>
<li>Мощность: 0,75 кВт</li>
<li>Масса нетто: 1 кг</li>
<li>Габариты: 230х230х80 мм</li>
</ul>",283373,0,https://entero.ru/manuals/349570/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20ST%203477%20black.pdf,
https://cdn.entero.ru/mp@2x/f9/0a/f90a2211f8521389f3fa8fcb1bf142f0.jpg;https://cdn.entero.ru/mp@2x/5d/cc/5dcc4dae3f0c2c989b5fe8d887c69553.jpg;https://cdn.entero.ru/mp@2x/d1/62/d1626e990571cd507479dfc5b1c2f00b.jpg,Сэндвичница Clatronic ST 3778,Сэндвичница Clatronic ST 3778,3497,RUB,Да,,Бытовая техника,Техника для кухни,Бутербродницы,https://entero.ru/item/285327,"<p>Сэндвичница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/285327""><b class=""b"">Clatronic ST 3478 </b></a>используется в отелях, офисах, а также домашних условиях для приготовления сэндвичей. Модель оснащена жарожными поверхностями с 4 сегментами треугольной формы, кабелем питания с вилкой и контрольными индикаторами на верхней створке. Корпус выполнен из прочного пластика черного цвета с вставкой из нержавеющей стали на крышке, жарочные поверхности – из металла с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Светодиодные индикаторы:
<ul>
<li>Зеленый: активация нагрева</li>
<li>Красный: готовность к работе</li>
</ul>
</li>
<li>Защита от перегрева</li>
<li>Фиксация створок с помощью механической защелки</li>
<li>Термоизолированные рукоятки для предотвращения ожога и удобства транспортировки</li>
<li>Устойчивые нескользящие прорезиненные опоры</li>
<li>Плоский корпус для компактного хранения </li>
<li>Эргономичный дизайн</li>
<li>Страна производства: Китай</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение питания: 220 В</li>
<li>Мощность: 0,75 кВт</li>
<li>Габариты: 235х235х95 мм</li>
</ul>",285327,0,https://entero.ru/manuals/350730/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20ST%203778.pdf,
https://cdn.entero.ru/mp@2x/fc/1b/fc1b80ecc316ed54b06ecc9dc51dc9ef.jpg,Сэндвичница Tristar SA-2151,Сэндвичница Tristar SA-2151,4145,RUB,Да,,Бытовая техника,Техника для кухни,Бутербродницы,https://entero.ru/item/225856,"<p>Сэндвичница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225856""><b class=""b"">Tristar SA-2151</b></a> предназначена для приготовления горячих бутербродов, венских вафель, а также обжаривания различных продуктов в частных домах, квартирах, отелях и офисах. Модель оснащена 2 световыми индикаторами и ножками. Корпус выполнен из пластика со вставкой из нержавеющей стали.</p>

<p>В комплект поставки входят 2 панели для сэндвичей, 2 панели для гриля и 2 панели для вафель.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Теплоизолированная ручка</li>
<li>Антипригарное покрытие</li>
<li>Система блокировки крышки</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 0,75 кВт</li>
<li>Напряжение: 220 В</li>
<li>Цвет корпуса: нержавеющая сталь/черный</li>
</ul>",225856,0,,5678
https://cdn.entero.ru/mp@2x/32/3e/323ee99d23d018b2790980883df89762.jpg;https://cdn.entero.ru/mp@2x/05/7b/057b0addc50e46e28f7ef48c7a75732f.jpg,Сэндвичница Clatronic ST/WA 3670,Сэндвичница Clatronic ST/WA 3670,5990,RUB,Да,,Бытовая техника,Техника для кухни,Бутербродницы,https://entero.ru/item/225839,"<p>Сэндвичница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225839"">Clatronic ST/WA 3670</a></b> предназначена для приготовления горячих бутербродов, венских вафель, а также обжаривания различных продуктов в частных домах, квартирах, отелях и офисах. Модель оснащена 3 комплектами сменных жарочных пластин с антипригарным покрытием, световыми индикаторами питания и нагрева и нескользящими ножками. Корпус выполнен из пластика со вставкой из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Теплоизолированная ручка</li>
<li>Система блокировки крышки</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 2 кВт</li>
<li>Напряжение: 220 В</li>
<li>Вес: 1,5 кг</li>
<li>Цвет корпуса: нержавеющая сталь/черный</li>
</ul>",225839,0,https://entero.ru/manuals/272467/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20ST_WA%203670.pdf,7047
https://cdn.entero.ru/mp@2x/78/9d/789d777c0b99c425ff03d4bc4c168cf7.jpg;https://cdn.entero.ru/mp@2x/fe/0b/fe0bc674a210226c64608641fc75b798.jpg,Сэндвичница Clatronic ST 3629,Сэндвичница Clatronic ST 3629,5990,RUB,Да,,Бытовая техника,Техника для кухни,Бутербродницы,https://entero.ru/item/225887,"<p>Сэндвичница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225887"">Clatronic ST 3629</a></b> предназначена для приготовления горячих бутербродов, венских вафель, а также обжаривания различных продуктов в частных домах, квартирах, отелях и офисах. Модель оснащена жарочными пластинами с антипригарным покрытием, световыми индикаторами питания и нагрева и нескользящими ножками. Корпус выполнен из пластика со вставкой из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>4 сэндвича за одну закладку</li>
<li>Теплоизолированная ручка</li>
<li>Замок на ручке</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 1,2 кВт</li>
<li>Напряжение: 220 В</li>
<li>Цвет корпуса: белый</li>
</ul>

<p><br>
<br>
</p>",225887,0,https://entero.ru/manuals/272494/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20ST%203629.pdf,7047
https://cdn.entero.ru/mp@2x/18/d7/18d7f3eb81dd38a296828769d5446b4a.jpg;https://cdn.entero.ru/mp@2x/57/8a/578a1d31ddb890829620f59d7091a45c.jpg;https://cdn.entero.ru/mp@2x/dc/ed/dcedf2eb09ecbc92e4f5164b24837087.jpg;https://cdn.entero.ru/mp@2x/48/c7/48c7301b29ac187663602557e35ce4db.jpg;https://cdn.entero.ru/mp@2x/65/6e/656ea9ac143cc7814257ae6a2f89317c.jpg,Сэндвич-гриль Rommelsbacher SWG 700,Сэндвич-гриль Rommelsbacher SWG 700,12191,RUB,Да,Rommelsbacher,Бытовая техника,Техника для кухни,Бутербродницы,https://entero.ru/item/303281,"<p>Сэндвич-гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/303281"">Rommelsbacher SWG 700</a> </b>используется в отелях, офисах, а также домашних условиях для приготовления горячих сэндвичей, а также бельгийских вафель, шашлыка, овощей и других гриль-блюд. Модель прямоугольно ориентированной формы оснащена 2 створками с трубчатыми нагревательными элементами, кабелем питания с вилкой и 2 контрольными индикаторами на верхней панели. Корпус выполнен из прочного пластика черного цвета с вставкой из нержавеющей стали на крышке.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>​Сменные верхние и нижние жарочные поверхности:
<ul>
<li>2 прямоугольные секции, каждая с 2 треугольными сегментами для сэндвичей или тостов</li>
<li>2 прямоугольные секции с рельефной поверхностью для вафель</li>
<li>Рифленые для гриль-блюд</li>
</ul>
</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Светодиодные индикаторы:
<ul>
<li>Зеленый: активация нагрева</li>
<li>Красный: готовность к работе</li>
</ul>
</li>
<li>Двухслойное антипригарное покрытие Xylan Plus</li>
<li>Надежная фиксация створок с помощью механической защелки</li>
<li>Крепление жарочных пластин в специальных пазах на створках и разблокировка с помощью ползунковых кнопок</li>
<li>Термоизолированные рукоятки для предотвращения ожога и удобства транспортировки</li>
<li>Компактное хранение в горизонтальном или вертикальном положении</li>
<li>Устойчивые нескользящие опоры</li>
<li>Защита от перегрева</li>
<li>Класс электрозащиты: I</li>
<li>Эргономичный дизайн</li>
<li>Родина бренда: Германия</li>
<li>Страна производства: Китай</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение питания: 220 В</li>
<li>Мощность: 0,7 кВт</li>
<li>Масса нетто: 2,63 кг</li>
<li>Габариты: 220х230х90 мм</li>
</ul>",303281,0,https://entero.ru/manuals/363524/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rommelsbacher%20SWG%20700.pdf,
https://cdn.entero.ru/mp@2x/cd/a4/cda46bb8eb129d07c667ba6114a898a8.jpg;https://cdn.entero.ru/mp@2x/c0/38/c0382f31fd91778423d2b736e4337d67.jpg;https://cdn.entero.ru/mp@2x/6a/e8/6ae88312f1c51266c631f0b8217a6c70.jpg;https://cdn.entero.ru/mp@2x/73/91/7391f7287ef2d62083363c84af0841fb.jpg;https://cdn.entero.ru/mp@2x/ec/4a/ec4adeca38b605d1fe4f53eb4e51b402.jpg;https://cdn.entero.ru/mp@2x/dd/f4/ddf4a82b0274d5ceeb04e81b5c918ade.jpg,Сэндвичница Black+Decker BXSA751E,Сэндвичница Black+Decker BXSA751E,3042,RUB,Нет,,Бытовая техника,Техника для кухни,Бутербродницы,https://entero.ru/item/252223,"<p>Сэндвичница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/252223"">Black+Decker BXSA751E</a></b> предназначена для приготовления горячих бутербродов в частных домах, квартирах, отелях и офисах. Модель оснащена индикатором питания и нагрева. Корпус выполнен из нержавеющей стали с покрытием, защищающим от отпечатков пальцев.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Жарочная пластина с антипригарным покрытием</li>
<li>Вертикальное хранение</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 0,75 кВт</li>
<li>Напряжение: 220 В</li>
</ul>",252223,0,https://entero.ru/manuals/309516/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Black+Decker%20BXSA751E.pdf,
