Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Остаток,Файлы,Старая цена,Цвет,Количество сегментов для вафель,Количество секций,Форма вафель,Диаметр вафли,Высота вафли
https://cdn.entero.ru/mp@2x/90/82/90825580ce62921108c16428ecf052ff.jpg;https://cdn.entero.ru/mp@2x/33/c8/33c8b65536afaf305664af46a79743a0.jpg;https://cdn.entero.ru/mp@2x/6e/49/6e4975a5ece801c090c68da8348a614d.jpg;https://cdn.entero.ru/mp@2x/24/11/2411dd9cacbcfe55b4d3a373a147bb76.jpg;https://cdn.entero.ru/mp@2x/cc/1e/cc1e11eaacebe4eac0cc9bfa535af381.jpg,Вафельница Bomann WA 5018 CB белая,WA 5018 CB weis,3587,RUB,Да,Bomann,Бытовая техника,Техника для кухни,Вафельницы,https://entero.ru/item/170918,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170918""><b class=""b"">Bomann WA 5018 CB</b></a> используется в частных домах и квартирах для выпекания венских вафель в форме сердца. Модель оснащена бесступенчатым регулятором температуры, 2 световыми индикаторами и теплоизолированными ручками. Корпус выполнен из пластика, рабочая поверхность - с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Прорезиненные ножки</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр рабочей поверхности: 180 мм</li>
</ul>",170918,220 В,1200 Вт,20.5 см,25 см,11.5 см,1.44 кг,Германия,0,https://entero.ru/manuals/196650/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bomann%20WA%205018%20CB.pdf,4541,белый,5,1,сердечки,,
https://cdn.entero.ru/mp@2x/cc/82/cc829128e067fcc01851551cc5569a78.jpg;https://cdn.entero.ru/mp@2x/1d/2a/1d2a25f98f160c2f166c5d861d5152c0.jpg;https://cdn.entero.ru/mp@2x/72/49/724994f57d12309968ec94bf72f97f8a.jpg;https://cdn.entero.ru/mp@2x/04/95/0495d2cb98a89c8ff34f2c451986afdf.jpg,Вафельница электрическая Profi Cook PC-WA 1240,501240 / PC-WA 1240 inox,5959,RUB,Да,,Бытовая техника,Техника для кухни,Вафельницы,https://entero.ru/item/283371,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283371"">Profi Cook PC-WA 1240</a> </b>используется в домашних условиях для выпекания бельгийских вафель квадратной формы. Модель оснащена кабелем питания с вилкой, откидной крышкой с горизонтальной рукояткой и электромеханической панелью управления. Корпус выполнен из прочного пластика черного цвета с вставками из нержавеющей стали на рукоятке, фронтальной и верхней панелях, жарочные поверхности – из металла с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Бесступенчатая регулировка температуры с помощью поворотного переключателя</li>
<li>Светодиодные индикаторы питания и нагрева</li>
<li>Быстрый нагрев</li>
<li>Желоб по периметру формы для сбора излишков теста</li>
<li>Защита от перегрева</li>
<li>Термоизолированная рукоятка для удобного безопасного захвата </li>
<li>Устойчивые нескользящие прорезиненнные опоры</li>
<li>Отсек в основании для компактного хранения кабеля </li>
<li>Легкость очистки рабочих поверхностей</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Средняя длительность выпекания: от 2 до 3 мин.</li>
<li>Габариты жарочной поверхности: 250х170 мм</li>
</ul>",283371,220 В,1000 Вт,260 см,265 см,110 см,2.4 кг,Китай,0,https://entero.ru/manuals/349568/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Profi%20Cook%20PC-WA%201240.pdf,,"черный, нерж. сталь",2,1,"бельгийские, квадратные",,
https://cdn.entero.ru/mp@2x/1d/be/1dbe22463d95b3b36f6e5546cfc01ae5.jpg;https://cdn.entero.ru/mp@2x/d7/96/d796358059e15c5472bfd642adabff85.jpg;https://cdn.entero.ru/mp@2x/4e/88/4e88f17597cb5469edcd23970d76ffa0.jpg;https://cdn.entero.ru/mp@2x/04/f8/04f83f20535cb991b9d962ab29277768.jpg;https://cdn.entero.ru/mp@2x/87/f4/87f41ce55aec5d08fbad88358e534e8d.jpg;https://cdn.entero.ru/mp@2x/4e/6e/4e6e1510bf8e2a01fc94d7bc3c857c1d.jpg;https://cdn.entero.ru/mp@2x/56/73/5673ca336919537e100559da69e16fb6.jpg;https://cdn.entero.ru/mp@2x/76/f7/76f7c11e4cb85d7d3e98d2ca79f95c84.jpg;https://cdn.entero.ru/mp@2x/4b/6b/4b6b27426b870668777cb344b8eea364.jpg,Вафельница Maunfeld MF-1436WH,Вафельница Maunfeld MF-1436WH,3076,RUB,Да,,Бытовая техника,Техника для кухни,Вафельницы,https://entero.ru/item/257011,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/257011"">Maunfeld MF-1436WH</a> </b>используется в домашних условиях для приготовления бельгийских вафель прямоугольной формы. Модель оснащена 2 рабочими пластинами и кабелем питания с вилкой. Корпус выполнен из прочного пластика белого цвета, рабочие пластины – из металла, упаковка – картонная коробка.</p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Светодиодные индикаторы питания и нагрева</li>
<li>Периодическое отключение нагревательного элемента в процессе приготовления для выпекания при оптимальной температуре и защиты от перегрева</li>
<li>Антипригарное покрытие на рабочих поверхностях для легкой очистки </li>
<li>Термоизолированная рукоятка для предотвращения ожога и удобства транспортировки</li>
<li>Надежная фиксация створок с помощью механических защелок</li>
<li>Устойчивые нескользящие опоры</li>
<li>Компактнвй корпус для удобства хранения</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная рабочая температура: 200±20 °С</li>
<li>Вес в упаковке: 1,8 кг</li>
<li>Средняя длительность выпекания: 5 мин.</li>
<li>Средний срок службы: 3 г.</li>
<li>Габариты пластин: 230х168 мм</li>
<li>Габариты вафель: 100х150 мм</li>
<li>Длина кабеля питания: 850 мм</li>
</ul>",257011,220 В,1 Вт,237 см,251 см,98 см,1.5 кг,Китай,0,https://entero.ru/manuals/316832/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Maunfeld%20MF-1436WH.pdf,3751,белый,2,1,"бельгийские, прямоугольные",,
https://cdn.entero.ru/mp@2x/7d/e4/7de4a2570c2ccfbc6db910449d405210.jpg;https://cdn.entero.ru/mp@2x/bb/b3/bbb3f8cb8d03bc182f5d83258a87119b.jpg;https://cdn.entero.ru/mp@2x/4e/ac/4eac5cca800eac4d5c4337cb4ccf504d.jpg;https://cdn.entero.ru/mp@2x/4f/81/4f8131b64bc7967d44877cdbd9d1a619.jpg;https://cdn.entero.ru/mp@2x/ba/7c/ba7c0821817f6382c05c5cebc7b96c18.jpg;https://cdn.entero.ru/mp@2x/e1/f1/e1f1a38822faef8e07340963c9d310d8.jpg;https://cdn.entero.ru/mp@2x/53/2b/532bdd5a55b4464518c520f8893006e3.jpg;https://cdn.entero.ru/mp@2x/54/6f/546fb54d1303c0880114e99c1552e82e.jpg;https://cdn.entero.ru/mp@2x/e3/aa/e3aaf530b68eb4bb8751c7ba15b8781b.jpg;https://cdn.entero.ru/mp@2x/0e/27/0e279093c8ccd308c7379fa58dd87608.jpg,Вафельница Maunfeld MF-1434R,Вафельница Maunfeld MF-1434R,3497,RUB,Да,,Бытовая техника,Техника для кухни,Вафельницы,https://entero.ru/item/257010,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/257010"">Maunfeld MF-1434R</a> </b>используется в домашних условиях для приготовления бельгийских вафель квадратной формы. Модель оснащена кабелем питания с вилкой. Корпус выполнен из прочного пластика красного цвета, рабочие пластины – из металла, упаковка – картонная коробка.</p>

<p>В комплект поставки входят 2 съемные рабочие пластины и инструкция по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Светодиодные индикаторы питания и нагрева</li>
<li>Периодическое отключение нагревательного элемента в процессе приготовления для выпекания при оптимальной температуре и защиты от перегрева</li>
<li>Антипригарное покрытие на рабочих поверхностях для легкой очистки </li>
<li>Термоизолированные рукоятки для предотвращения ожога и удобства транспортировки</li>
<li>Надежная фиксация пластин и створок с помощью механических защелок</li>
<li>Устойчивые опоры на обеих створках для удобства приготовления</li>
<li>Компактный корпус для удобства хранения </li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная рабочая температура: 200±20 °С</li>
<li>Вес в упаковке: 2,1 кг</li>
<li>Средняя длительность выпекания: 5 мин.</li>
<li>Средний срок службы: 3 г.</li>
<li>Габариты пластин: 228х131 мм</li>
<li>Габариты вафель: 100х100 мм</li>
<li>Длина кабеля питания: 850 мм</li>
</ul>",257010,220 В,0.7 Вт,136 см,341 см,104 см,1.8 кг,Китай,0,https://entero.ru/manuals/316831/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Maunfeld%20MF-1434R.pdf,,красный,2,1,"квадратные, бельгийские",,
https://cdn.entero.ru/mp@2x/73/b7/73b7426fcf1ba8f2b164365c9a965096.jpg;https://cdn.entero.ru/mp@2x/42/d3/42d384e5d9970c00ab50c7a23b43b77b.jpg;https://cdn.entero.ru/mp@2x/4d/6d/4d6da97a1179836a43ec22b4f93388f6.jpg;https://cdn.entero.ru/mp@2x/d3/31/d33171467aee9ac775ce14b9493d7842.jpg;https://cdn.entero.ru/mp@2x/2d/3e/2d3ec649689d4501bf62fcf2ff38e4aa.jpg;https://cdn.entero.ru/mp@2x/41/5d/415d1ff696cc123f5991856a626eb602.jpg;https://cdn.entero.ru/mp@2x/5a/0d/5a0da3836e2f7f8f052114ff72f5169c.jpg;https://cdn.entero.ru/mp@2x/cc/a1/cca1a29db1dcf6d24b9f3104e18af418.jpg;https://cdn.entero.ru/mp@2x/1e/59/1e5961bec2cbdbf539f5e848abe97aa5.jpg,Вафельница Maunfeld MF-1433BK,Вафельница Maunfeld MF-1433BK,3498,RUB,Да,,Бытовая техника,Техника для кухни,Вафельницы,https://entero.ru/item/257014,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/257014"">Maunfeld MF-1433BK</a> </b>используется в домашних условиях для приготовления венских вафель в форме сердечка. Модель оснащена 2 рабочими пластинами и кабелем питания с вилкой. Корпус круглой формы выполнен из стали с покрытием черного цвета с серебристой пластиковой вставкой на крышке, рабочие пластины – из металла, упаковка – картонная коробка.</p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры </li>
<li>Светодиодные индикаторы питания и нагрева</li>
<li>Периодическое отключение нагревательного элемента в процессе приготовления для выпекания при оптимальной температуре и защиты от перегрева</li>
<li>Антипригарное покрытие на рабочих поверхностях для легкой очистки </li>
<li>Бортик для предотвращения розлива теста</li>
<li>Рукоятки из термостойкого пластика для предотвращения ожога и удобства транспортировки</li>
<li>Устойчивые нескользящие опоры</li>
<li>Плоский корпус для компактного хранения в вертикальном или горизонтальном положении</li>
<li>Класс электрозащиты: I</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная рабочая температура: 210±20 °С</li>
<li>Вес в упаковке: 1,98 кг</li>
<li>Средняя длительность выпекания: 5 мин.</li>
<li>Средний срок службы: 3 г.</li>
<li>Диаметр пластин: 200 мм</li>
<li>Габариты вафель: 90х90 мм</li>
<li>Длина кабеля питания: 850 мм</li>
</ul>",257014,220 В,1 Вт,205 см,269 см,86 см,1.68 кг,Китай,0,https://entero.ru/manuals/316834/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Maunfeld%20MF-1433BK.pdf,4997,"черный, серебро",5,1,"венские, сердечки",,
https://cdn.entero.ru/mp@2x/d3/bd/d3bd102a6a1349efd3a6a2772f283d50.jpg;https://cdn.entero.ru/mp@2x/bf/ce/bfce79dbc4ff19b8c5900a1974055952.jpg;https://cdn.entero.ru/mp@2x/07/54/0754ac79d1dd71d916c32aebd12e1996.jpg;https://cdn.entero.ru/mp@2x/0d/ed/0ded2128958bf674b720c302e4f78f3f.jpg;https://cdn.entero.ru/mp@2x/ae/05/ae056d34beaef3a2a892aa9210bba893.jpg,Вафельница Bomann WA 5018 CB черная,WA 5018 CB schwarz,3587,RUB,Да,Bomann,Бытовая техника,Техника для кухни,Вафельницы,https://entero.ru/item/170917,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170917""><b class=""b"">Bomann WA 5018 CB</b></a> используется в частных домах и квартирах для выпекания венских вафель в форме сердца. Модель оснащена бесступенчатым регулятором температуры, 2 световыми индикаторами и теплоизолированными ручками. Корпус выполнен из пластика, рабочая поверхность - с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Прорезиненные ножки</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр рабочей поверхности: 180 мм</li>
</ul>",170917,220 В,1200 Вт,20.5 см,25 см,11.5 см,1.44 кг,Германия,0,https://entero.ru/manuals/196649/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bomann%20WA%205018%20CB.pdf,4484,черный,5,1,сердечки,,
https://cdn.entero.ru/mp@2x/d0/76/d0760e4cc80f24faf130dda326a813e5.jpg,Вафельница Bomann WA 1365 CB,Вафельница Bomann WA 1365 CB,3669,RUB,Да,Bomann,Бытовая техника,Техника для кухни,Вафельницы,https://entero.ru/item/226370,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226370"">Bomann WA 1365 CB</a></b> используется в частных домах и квартирах для выпекания венских вафель в форме сердца. Модель оснащена регулятором температуры, световыми индикаторами питания и нагрева и теплоизолированными ручками. Корпус выполнен из пластика со вставкой из нержавеющей стали, рабочая поверхность - с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрева</li>
<li>Возможность вертикального хранения</li>
<li>Большая рабочая поверхность</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр рабочей поверхности: 180 мм</li>
</ul>",226370,220 В,1 Вт,26 см,26 см,10 см,,Китай,0,https://entero.ru/manuals/272878/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bomann%20WA%201365%20CB.pdf,4958,черный,5,1,сердечки,,
https://cdn.entero.ru/mp@2x/62/c7/62c77a6ac0d6ce3f1b42702ad48443dc.jpg;https://cdn.entero.ru/mp@2x/03/63/03634305d460cafc49664d09796bf48b.jpg;https://cdn.entero.ru/mp@2x/e9/2e/e92ead7c5e36a8b0b71f91760390bf6f.jpg,Вафельница Clatronic WA 3491 белая,Вафельница Clatronic WA 3491 белая,3669,RUB,Да,,Бытовая техника,Техника для кухни,Вафельницы,https://entero.ru/item/226371,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226371""><b class=""b"">Bomann WA 3491</b></a> используется в частных домах и квартирах для выпекания венских вафель в форме сердца. Модель оснащена бесступенчатым регулятором температуры, световыми индикаторами питания и нагрева и теплоизолированными ручками. Корпус выполнен из пластика, рабочая поверхность - с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрева</li>
<li>Возможность вертикального хранения</li>
<li>Большая рабочая поверхность</li>
<li>Прорезиненные ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр рабочей поверхности: 180 мм</li>
</ul>",226371,220 В,1.2 Вт,20.5 см,25 см,11.5 см,,Китай,0,https://entero.ru/manuals/272879/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20WA%203491%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F.pdf,,белый,5,1,сердечки,,
https://cdn.entero.ru/mp@2x/1f/b7/1fb7c3d407ee2f7131ece027b9b7a4c1.jpg;https://cdn.entero.ru/mp@2x/80/22/802240aba46fbf3072caa373a6b88899.jpg;https://cdn.entero.ru/mp@2x/88/57/8857321bd8cf45036f5551d6318a75e2.jpg,Вафельница Clatronic WA 3491 черная,Вафельница Clatronic WA 3491 черная,3669,RUB,Да,,Бытовая техника,Техника для кухни,Вафельницы,https://entero.ru/item/226373,"<p>Вафельница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226373""><b class=""b"">Bomann WA 3491</b></a> используется в частных домах и квартирах для выпекания венских вафель в форме сердца. Модель оснащена бесступенчатым регулятором температуры, световыми индикаторами питания и нагрева и теплоизолированными ручками. Корпус выполнен из пластика, рабочая поверхность - с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрева</li>
<li>Возможность вертикального хранения</li>
<li>Большая рабочая поверхность</li>
<li>Прорезиненные ножки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр рабочей поверхности: 180 мм</li>
</ul>",226373,220 В,1.2 Вт,20.5 см,25 см,11.5 см,,Китай,0,,4704,черный,5,1,сердечки,,
https://cdn.entero.ru/mp@2x/74/7c/747cf972632a3e74ff7a35b71a3b3ac6.jpg;https://cdn.entero.ru/mp@2x/81/fb/81fb9669cd1d80df14aa8042eaa1430a.jpg;https://cdn.entero.ru/mp@2x/7b/be/7bbe22033c63ff0b9b7e5ee1e2071394.jpg;https://cdn.entero.ru/mp@2x/48/48/48484bfbbd063f0d716d0556f9fb7ade.jpg;https://cdn.entero.ru/mp@2x/6e/c0/6ec03df7ef5f19893b67db971f780215.jpg;https://cdn.entero.ru/mp@2x/84/fa/84fab2ccf94210dad5741a09e4ad4be8.jpg;https://cdn.entero.ru/mp@2x/fc/4a/fc4ab19a275d872178a4abb4eba0f1d4.jpg,Вафельница Clatronic HA 3494,HA 3494 silber,4499,RUB,Да,,Бытовая техника,Техника для кухни,Вафельницы,https://entero.ru/item/194525,"<p>Вафельница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194525"">Clatronic HA 3494</a></b> используется в частных домах и квартирах для выпекания тонких вафель. Модель оснащена световыми индикаторами питания и нагрева и теплоизолированной ручкой. Корпус выполнен из пластика, рабочая поверхность - с антипригарным покрытием.</p>

<p>В комплект поставки входит конус для сворачивания рожков.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Бесступенчатая регулировка температуры</li>
<li>Прорезиненные ножки</li>
<li>Защита от перегрева</li>
<li>Вертикальное хранение</li>
</ul>",194525,220 В,1200 Вт,20.5 см,25 см,11.5 см,,Китай,0,https://entero.ru/manuals/226878/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20HA%203494.pdf,6080,серебро,1,1,круглые,18 см,
