Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Точность взвешивания
https://cdn.entero.ru/mp@2x/68/85/6885d58bcecbb8c3543a93f06a16a6a0.jpg,Весы кухонные Profi Cook PC-KW 1061,Весы кухонные Profi Cook PC-KW 1061,2156,RUB,Да,,Бытовая техника,Техника для кухни,Весы,https://entero.ru/item/226506,"<p>Электронные кухонные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226506""><b class=""b"">Profi Cook PC-KW 1061</b></a> предназначены для взвешивания ингредиентов для блюд, лекарств, ювелирных изделий и прочих мелкогабаритных предметов в мастерских, аптеках, на предприятиях общественного питания и торговли, а также в быту. Модель оснащена кнопкой включения и выключения и большим LCD-дисплеем. Платформа выполнена из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настольное размещение</li>
<li>Автоматическое отключение увеличивает срок службы батареи</li>
<li>Возможные единицы измерения: килограмм, фунт, ункция</li>
<li>Индикатор низкого заряда батареи</li>
<li>Простое управление</li>
<li>Тарокомпенсация</li>
<li>Питание от 3 батарей CR2032</li>
<li>Легкость очистки</li>
<li>Современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон взвешивания: от 0,01 до 5 кг с шагом 0,001 кг</li>
</ul>",226506,165 мм,15 мм,220 мм,,,,0,,,,Германия,Китай,1 г
https://cdn.entero.ru/mp@2x/e7/b4/e7b4dfebd2e7d56d49a5b012b05361e7.jpg,Весы кухонные CASO Kitchen scale Slim,Весы кухонные CASO Kitchen scale Slim,2700,RUB,Да,CASO,Бытовая техника,Техника для кухни,Весы,https://entero.ru/item/170589,"<p>Кухонные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170589"">CASO Kitchen scale Slim</a></b> предназначены для взвешивания ингредиентов для блюд и различных предметов в частных домах и квартирах. Модель оснащена сенсорной панелью управления с цифровым дисплеем. Платформа выполнена из стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Батарейка в комплекте</li>
<li>Функция взвешивания тары</li>
<li>Автоматическое отключение</li>
<li>Компактный плоский корпус</li>
<li>Единицы измерения:
<ul>
<li>Граммы</li>
<li>Унции</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальный вес: 5 кг</li>
<li>Питание: 1х 3В CR2032</li>
</ul>",170589,145 мм,200 мм,15 мм,,,,0,,,0.4 кг,,Китай,1 г
https://cdn.entero.ru/mp@2x/49/3e/493eb9c879a7fa2ab34a43e0a59f9649.jpg,Весы кухонные Profi Cook PC-KW 1040,Весы кухонные Profi Cook PC-KW 1040,5353,RUB,Да,,Бытовая техника,Техника для кухни,Весы,https://entero.ru/item/226496,"<p>Электронные кухонные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226496""><b class=""b"">Profi Cook PC-KW 1040</b></a> предназначены для взвешивания ингредиентов для блюд, лекарств, ювелирных изделий и прочих мелкогабаритных предметов в мастерских, аптеках, на предприятиях общественного питания и торговли, а также в быту. Модель оснащена круглой платформой с бортиком, чашей и четким многофункциональным 5-значным ЖК-дисплеем с синей подсветкой. Корпус, чаша и площадка для взвешивания выполнены из нержавеющей стали.</p>

<p>Батарейки в комплект поставки не входят.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настольное размещение</li>
<li>Простое управление</li>
<li>Функция обнуления тары</li>
<li>Автоматическое отключение</li>
<li>Нескользящие ножки</li>
<li>Возможные единицы измерения: грамм, мл, унция, жидкая унция</li>
<li>Легкость очистки чаши</li>
<li>Питание от 2 батарей типа AA</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение батареи: 1,5 В</li>
<li>Объем чаши: 2 л</li>
<li>Диапазон взвешивания: от 0,01 до 5 кг с шагом 0,001 кг</li>
</ul>",226496,,,,,,,0,,6863,,Германия,Китай,1 г
https://cdn.entero.ru/mp@2x/0f/ca/0fca750f1e9b33f8b66dba7f832b1791.jpg;https://cdn.entero.ru/mp@2x/5b/a1/5ba1c916853367dd9e2c820991877f42.jpg;https://cdn.entero.ru/mp@2x/ca/09/ca091ba1551fb60a31c9434b7e300b28.jpg;https://cdn.entero.ru/mp@2x/80/58/80584c451faf75b8e38495b7c471509c.jpg;https://cdn.entero.ru/mp@2x/22/41/22413e48b1851ee599fe762425e6c300.jpg;https://cdn.entero.ru/mp@2x/97/23/97238bde4fb8b0fa1d75eef1e59c77af.jpg;https://cdn.entero.ru/mp@2x/8d/5d/8d5d6f8d3b434e847a0d0cea56db7cc8.jpg,Весы кухонные CASO L 15,Весы кухонные CASO L 15,6033,RUB,Да,CASO,Бытовая техника,Техника для кухни,Весы,https://entero.ru/item/191412,"<p>Кухонные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/191412"">CASO L 15</a></b> предназначены для взвешивания ингредиентов для блюд и различных предметов в частных домах и квартирах. Модель оснащена сенсорной панелью управления с большим цифровым дисплеем. Платформа выполнена из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция взвешивания тары</li>
<li>Индикатор заряда батареи и перегрузки</li>
<li>Отключаемая функция кратковременного сохранения измеренного веса при снятии посуды</li>
<li>Автоматическое отключение</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальный вес: 15 кг</li>
<li>Размер платформы: 300х220 мм</li>
<li>Питание: 4х 1,5 В ( батарейки типа АА)</li>
</ul>",191412,310 мм,260 мм,30 мм,,,,0,https://entero.ru/manuals/222789/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20L%2015.pdf,,1.1 кг,,Китай,1 г
https://cdn.entero.ru/mp@2x/73/00/7300cb549bb9462fa55a4adc1049fbde.jpg;https://cdn.entero.ru/mp@2x/75/5a/755ad8b0d886426685f7e4388d8441b8.jpg;https://cdn.entero.ru/mp@2x/94/f2/94f2f79919727ccb465767c290f2a87e.jpg;https://cdn.entero.ru/mp@2x/ba/09/ba09a41b37a99751d9f8a032a6dab208.jpg;https://cdn.entero.ru/mp@2x/d2/e5/d2e5e461d29291a79ff50ec61bce36ea.jpg,Весы кухонные Profi Cook PC-LW 1214,501214 / PC-LW 1214 inox,1797,RUB,Да,,Бытовая техника,Техника для кухни,Весы,https://entero.ru/item/283614,"<p>Кухонные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283614"">Profi Cook PC-LW 1214</a></b> предназначены для измерения массы небольшого количества сахара, муки, специй, а также других сыпучих ингридиентов и жидкостей в домашних условиях. Модель в форме ложки оснащена рукояткой с отверстием для подвешивания и панелью управления с жидкокристаллическимм дисплеем. Корпус выполнен из нержавеющей стали, мерная емкость – из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функциональные кнопки:
<ul>
<li>Тарирование</li>
<li>Удержание результата измерения на дисплее</li>
<li>Выбор единиц измерения</li>
</ul>
</li>
<li>Цифровая индикация массы в граммах или унциях</li>
<li>Индикация низкого заряда батарей</li>
<li>Прозрачная емкость с мерной шкалой объема</li>
<li>Питание дисплея от 2 батарей типа R03 (ААА)</li>
<li>Автоматическое отключение</li>
<li>Легкость очистки съемной емкости</li>
<li>Компактные габариты для портативного использования </li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальное напряжение батарей питания: 2х1,5 В</li>
<li>Длительность работы до автоматического отключения: 90 сек.</li>
<li>Максимальный предел взвешивания: 0,3 кг</li>
<li>Максимальный объем жидкости: 45 мл</li>
<li>Ширина рукоятки: 30 мм</li>
</ul>",283614,63 мм,225 мм,,,,,0,https://entero.ru/manuals/350700/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Profi%20Cook%20PC-LW%201214.pdf,,0.07 кг,,Китай,0.1 г
https://cdn.entero.ru/mp@2x/ea/49/ea498ca4520a455588ff1d56e19d9d39.jpg,Весы кухонные P.L. Proff Cuisine DKS-5A (HONRI) настольные,DKS-5A (HONRI),1808,RUB,Да,,Бытовая техника,Техника для кухни,Весы,https://entero.ru/item/354231,"<p>Настольные электронные кухонные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/354231""><b class=""b"">P.L. Proff Cuisine DKS-5A (HONRI)</b></a> предназначены для взвешивания ингредиентов для блюд, лекарств, ювелирных изделий и прочих мелкогабаритных предметов в мастерских, аптеках, на предприятиях общественного питания и торговли, а также в домашних условиях. Модель оснащена круглой платформой и цифровым дисплеем. Корпус выполнен из пластика с белой поверхностью.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Предел взвешивания: 5 кг</li>
</ul>",354231,232 мм,163 мм,37 мм,,,,0,,2477,0.3 кг,,Китай,1 г
https://cdn.entero.ru/mp@2x/19/b3/19b3eba1c842e8f3a8e3b7a3de0010a6.jpg,Весы кухонные P.L. Proff Cuisine DKS-5 (HONRI) настольные,DKS-5 (HONRI),1830,RUB,Да,,Бытовая техника,Техника для кухни,Весы,https://entero.ru/item/354232,"<p>Настольные электронные кухонные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/354232""><b class=""b"">P.L. Proff Cuisine DKS-5 (HONRI)</b></a> предназначены для взвешивания ингредиентов для блюд, лекарств, ювелирных изделий и прочих мелкогабаритных предметов в мастерских, аптеках, на предприятиях общественного питания и торговли, а также в домашних условиях. Модель оснащена круглой платформой и цифровым дисплеем. Корпус выполнен из пластика с белой поверхностью.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Предел взвешивания: 5 кг</li>
</ul>",354232,127 мм,162 мм,34 мм,,,,0,,2346,0.1 кг,,Китай,1 г
https://cdn.entero.ru/mp@2x/ac/77/ac773eb3b5d3692dffd675c35ebcdcc2.jpg,Весы кухонные P.L. Proff Cuisine DKS-6S (HONRI) настольные,DKS-6S (HONRI),2735,RUB,Да,,Бытовая техника,Техника для кухни,Весы,https://entero.ru/item/354230,"<p>Настольные электронные кухонные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/354230""><b class=""b"">P.L. Proff Cuisine DKS-6S (HONRI)</b></a> предназначены для взвешивания ингредиентов для блюд, лекарств, ювелирных изделий и прочих мелкогабаритных предметов в мастерских, аптеках, на предприятиях общественного питания и торговли, а также в домашних условиях. Модель оснащена прямоугольной платформой и цифровым дисплеем. Корпус выполнен из пластика с серебристой поверхностью.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Предел взвешивания: 10 кг</li>
</ul>",354230,212 мм,155 мм,32 мм,,,,0,,3506,0.3 кг,,Китай,1 г
https://cdn.entero.ru/mp@2x/e3/a3/e3a35764e34a19741ba24dc717680d86.jpg;https://cdn.entero.ru/mp@2x/19/8d/198d905b5ef22324047e70ba67f60577.jpg;https://cdn.entero.ru/mp@2x/24/27/242726003268bf9f49cea1c6e7288786.jpg;https://cdn.entero.ru/mp@2x/c7/21/c7212f169f6a93d6e8d81af74430171d.jpg;https://cdn.entero.ru/mp@2x/9e/bd/9ebd6e05e1ca483bc1f2b4d06ecd5407.jpg;https://cdn.entero.ru/mp@2x/a8/ac/a8ac91872001a1a4bf99d22738721641.jpg,Весы кухонные CASO Kitchen EcoMaster,Весы кухонные CASO Kitchen EcoMaster,3854,RUB,Да,CASO,Бытовая техника,Техника для кухни,Весы,https://entero.ru/item/170559,"<p>Кухонные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170559"">CASO Kitchen EcoMaster</a></b> предназначены для взвешивания ингредиентов для блюд и различных предметов в частных домах и квартирах. Модель оснащена цифровым ЖК-дисплеем и нескользящими ножками. Платформа выполнена из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Работают без батареек, за счет кинетической энергии (вращение ручки на 1 оборот - 3 мин. работы)</li>
<li>Функция взвешивания тары</li>
<li>Автоматическое отключение</li>
<li>Единицы измерения:
<ul>
<li>Граммы</li>
<li>Унции</li>
<li>Вода в мл</li>
<li>Молоко в мл</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальный вес: 5 кг</li>
</ul>",170559,195 мм,185 мм,30 мм,,,,0,https://entero.ru/manuals/196241/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20Kitchen%20EcoMaster.pdf,4878,0.3 кг,,Китай,1 г
https://cdn.entero.ru/mp@2x/34/41/3441e7731176231a390eebdf4daa6932.jpg;https://cdn.entero.ru/mp@2x/51/b1/51b1e2db1e67a173cf0d169859bd60ac.jpg;https://cdn.entero.ru/mp@2x/62/a4/62a4f0116df76a397ffbf2e769073f51.jpg;https://cdn.entero.ru/mp@2x/93/88/938897edcae5f2b76cd619102187a314.jpg;https://cdn.entero.ru/mp@2x/e1/fc/e1fc981adfe62fa06018fa15456b82aa.jpg;https://cdn.entero.ru/mp@2x/09/ea/09ea18f52b292965c8040044f600937d.jpg;https://cdn.entero.ru/mp@2x/26/b1/26b1c7527712ced73cc943a2c68bd323.jpg;https://cdn.entero.ru/mp@2x/78/3c/783c8ca42988b8053ec27f2ce81acfdc.jpg,Весы кухонные CASO FinoCompact,3201,3854,RUB,Да,CASO,Бытовая техника,Техника для кухни,Весы,https://entero.ru/item/278663,"<p>Кухонные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/278663"">CASO FinoCompact</a></b> предназначены для взвешивания ингредиентов для блюд, специй, чая, кофе, лекарств и различных предметов в частных домах и квартирах. Модель оснащена светодиодным дисплеем и сенсорным управлением. Платформа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входит чаша для взвешивания из матовой нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Работает от батареек </li>
<li>Тарокомпенсация</li>
<li>Автоматическое отключение</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: черный</li>
<li>Единицы измерения:
<ul>
<li>граммы: от 0,1 г до 500 г </li>
<li>унции: 0,01–17,7 унции</li>
<li>мл: 0,1–500 мл </li>
</ul>
</li>
<li>Тип батареек: 2x 1,5 В AAA (не входят в комплект)</li>
<li>Максимальный вес: 0,5 кг</li>
</ul>",278663,80 мм,115 мм,33 мм,,,,0,https://entero.ru/manuals/343830/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20FinoCompact%20%28%D0%B0%D0%BD%D0%B3%D0%BB%29.pdf,4758,0.27 кг,Германия,Китай,0.1 г
