Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Количество уровней,Вес (с упаковкой)
https://cdn.entero.ru/mp@2x/74/73/74738e048a051572889c0c71714a87b9.jpg;https://cdn.entero.ru/mp@2x/b6/d3/b6d32b43e0d7613a731f1a176f06090a.jpg;https://cdn.entero.ru/mp@2x/5c/ad/5cad31ecb1bd0830ff5e813ee6b5fc8c.jpg;https://cdn.entero.ru/mp@2x/39/08/3908d7c9f8480a453e4122ed9841ca15.jpg;https://cdn.entero.ru/mp@2x/6c/a1/6ca1c819e986075c5ab974f768f7dd63.jpg;https://cdn.entero.ru/mp@2x/59/84/598485bdca26b4f3a55dc7af1015e002.jpg;https://cdn.entero.ru/mp@2x/e6/4a/e64af26d570c439c119e64cbdfc67138.jpg,Сушилка для овощей и фруктов Libhof FDW-08,Дегидратор FDW-08 libfdw08,17999,RUB,Да,,Бытовая техника,Техника для кухни,Дегидраторы,https://entero.ru/item/294360,"<p>Дегидратор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/294360""><b class=""b"">Libhof FW-08</b></a> используется для сушки овощей, фруктов, ягод, грибов и трав, а также вяления рыбы, расстойки теста, приготовления сухариков, пастилы и йогурта в домашних условиях. Модель оснащена камерой с 8 уровнями направляющих для размещения поддонов, расположенными в задней стенке вентилятором и нагревательными элементами, распашной дверью, кабелем питания, расположенным в верхней чести фронта электромеханической панелью управления с кнопкой выключателя и 2 поворотными регуляторами с интегрированными светодиодными цифровыми дисплеями. Корпус и поддоны выполнены из высококачественной нержавеющей стали, фронт – из пластика с прозрачным остеклением двери.</p>

<p>В комплект поставки входят 8 съемных решетчатых поддонов, мелкоячеистая сетка, 4 лотка для пастилы и инструкция по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Горизонтальный обдув с равномерным распределением тепла</li>
<li>Регулировка температуры </li>
<li>Таймер для настройки длительности процесса</li>
<li>Цифровая индикация температуры и обратного отсчета заданной длительности</li>
<li>Автоматическое отключение при перегреве</li>
<li>Простое управление благодаря интуитивно понятному меню</li>
<li>Большое смотровое окно для визуального контроля процесса</li>
<li>Съемный лоток для сбора капель</li>
<li>Интегрированная в боковую поверхность двери рукоятка для оптимизации пространства</li>
<li>Устойчивые нескользящие опоры</li>
<li>Возможность мойки поддонов в посудомоечной машине</li>
<li>Интегрированные в боковые панели рукоятки, компактные габариты и малый вес для удобства транспортировки</li>
<li>Класс электрозащиты: I</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон заданной длительности: от 30 мин. до 24 ч</li>
<li>Объем камеры: 26 л</li>
<li>Уровень шума: 45 дБ</li>
<li>Максимальная загрузка: 5 кг</li>
<li>Длина кабеля питания: 1500 мм</li>
<li>Габариты поддонов: 318x318 мм</li>
</ul>",294360,от 20 до 90 °С,220 В,0.8 кВт,350 мм,460 мм,345 мм,11.1 кг,1,505x395x390 мм,0,https://entero.ru/manuals/357168/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20FDW-08.pdf,18749,,9.9 кг,Словакия,Китай,8,
https://cdn.entero.ru/mp@2x/33/d2/33d2dae1560df0fe375ff1990175c985.jpg;https://cdn.entero.ru/mp@2x/c9/ed/c9ede3f667240cf7545e75242d13a990.jpg;https://cdn.entero.ru/mp@2x/86/5f/865f47e34347d81ce9b8795a8829c16c.jpg;https://cdn.entero.ru/mp@2x/cb/47/cb47dd0886ad4b41a7463990f27db37b.jpg;https://cdn.entero.ru/mp@2x/ae/b9/aeb90b28261a6f42d3dc4de5af524f6e.jpg,Сушилка для овощей и фруктов Libhof FDR-12,Дегидратор FDR-12 libfdr12,24999,RUB,Да,,Бытовая техника,Техника для кухни,Дегидраторы,https://entero.ru/item/294355,"<p>Дегидратор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/294355"">Libhof FDR-12</a></b> используется для сушки овощей, фруктов, ягод, грибов и трав, а также вяления рыбы, расстойки теста, приготовления сухариков, пастилы и йогурта в домашних условиях. Модель оснащена камерой с 12 уровнями направляющих для размещения поддонов, расположенными в задней стенке вентилятором и нагревательными элементами, распашной дверью с вертикальной рукояткой, кабелем питания, расположенным на верхней панели блоком управления с сенсорной клавиатурой и цифровым дисплеем. Корпус и поддоны выполнены из высококачественной нержавеющей стали.</p>

<p>В комплект поставки входят 12 съемных решетчатых поддонов, мелкоячеистая сетка, 6 лотков для пастилы, лоток для сбора капель, мелкоячеистая сетка, и инструкция по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Горизонтальный обдув с равномерным распределением тепла</li>
<li>Регулировка температуры </li>
<li>Таймер для настройки длительности процесса</li>
<li>Цифровая индикация температуры и настроек таймера</li>
<li>Автоматическое отключение при перегреве</li>
<li>Простое управление благодаря легким прикосновениям и интуитивно понятному меню</li>
<li>Большое смотровое окно с прозрачным остеклением для визуального контроля процесса</li>
<li>Рекомендации температурного диапазона для различных продуктов </li>
<li>Съемный лоток для сбора капель</li>
<li>Надежная фиксация двери с помощью петельной защелки</li>
<li>Устойчивые нескользящие опоры</li>
<li>Возможность мойки поддонов в посудомоечной машине</li>
<li>Компактные габариты и малый вес для удобства транспортировки</li>
<li>Класс электрозащиты: I</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон заданной длительности: от 30 мин. до 24 ч</li>
<li>Шаг регулировки заданной длительности: 30 мин.</li>
<li>Шаг регулировки температуры: 5 °С</li>
<li>Объем камеры: 45 л</li>
<li>Уровень шума: 50 дБ</li>
<li>Максимальная загрузка: 8 кг</li>
<li>Длина кабеля питания: 1500 мм</li>
<li>Габариты поддонов: 290x290 мм</li>
</ul>",294355,от 20 до 90 °С,220 В,0.8 кВт,420 мм,315 мм,450 мм,,,,0,https://entero.ru/manuals/357170/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20FDR-12.pdf,26041,,11.8 кг,Словакия,Китай,12,
https://cdn.entero.ru/mp@2x/fc/96/fc96f87eda3185301e69b5145eb67e5e.jpg;https://cdn.entero.ru/mp@2x/10/c6/10c6d4f675678f653c164cdaa61d4500.jpg;https://cdn.entero.ru/mp@2x/a5/da/a5da7b4990338f97238eb5328c561068.jpg;https://cdn.entero.ru/mp@2x/56/08/56084d3d95a2d2cb6cbdf93e2ea5563a.jpg,Сушилка для овощей и фруктов Steba ED 5,Дегидратор ED 5,11651,RUB,Да,,Бытовая техника,Техника для кухни,Дегидраторы,https://entero.ru/item/132034,"<p>Сушилка для овощей и фруктов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/132034"">Steba ED 5</a> </b>предназначена для быстрой и равномерной сушки фруктов, овощей, зелени и других продуктов в частных домах и квартирах. Модель оснащена электронным управлением с цифровым дисплеем и прозрачной крышкой. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 5 пластиковых лотков и коврик для трав.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Циркуляция воздуха</li>
<li>Регулировка температуры</li>
<li>Таймер от 1 до 36 ч</li>
<li>Лотки не содержат бисфенол А (ВРА)</li>
</ul>",132034,от 40 до 70 °С,220 В,0.8 кВт,335 мм,265 мм,285 мм,,,,0,https://entero.ru/manuals/149658/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20ED%205.pdf,,,2.5 кг,Германия,Китай,5,
https://cdn.entero.ru/mp@2x/d0/c7/d0c71716d3fd1071b69e827a27f527e9.jpg;https://cdn.entero.ru/mp@2x/06/92/0692851a2fc104e32ab85b3cdcba8e7a.jpg;https://cdn.entero.ru/mp@2x/ec/53/ec536be1fefe190f8a405995b1441e07.jpg;https://cdn.entero.ru/mp@2x/10/61/10618bd9bbc5ab95f64713f309799de7.jpg;https://cdn.entero.ru/mp@2x/c4/7f/c47f9b5b5de2f838ca13fa224549c313.jpg,Сушилка для овощей и фруктов Rommelsbacher DA 750,Дегидратор DA 750,7024,RUB,Да,Rommelsbacher,Бытовая техника,Техника для кухни,Дегидраторы,https://entero.ru/item/94383,"<p>Сушилка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94383"">Rommelsbacher DA 750</a></b> предназначена для дегидрации фруктов, овощей, грибов, зелени, мяса и других продуктов в квартирах, частных домах, кафе и ресторанах. Модель оснащена защитой от перегрева. Корпус и лотки выполнены из пластика. Прибор имеет cтильный современный дизайн, удобен и прост в использовании.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 уровня мощности</li>
<li>12-часовой таймер с автоматическим выключением</li>
<li>4 cъемных лотка</li>
</ul>",94383,,220 В,0.7 кВт,340 мм,340 мм,330 мм,,,,0,https://entero.ru/manuals/83946/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Rommelsbacher%20DA%20750%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/83947/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rommelsbacher%20DA%20750%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/83948/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Rommelsbacher.pdf,9005,,2.7 кг,Германия,Китай,4,
https://cdn.entero.ru/mp@2x/5b/52/5b5282769e85385ca1651d672ffb2741.jpg;https://cdn.entero.ru/mp@2x/ae/5c/ae5c3838a73899ae06459ebcc0a07f49.jpg;https://cdn.entero.ru/mp@2x/d4/d2/d4d26eaaa11c4f3bdaf3d3f3805306c6.jpg;https://cdn.entero.ru/mp@2x/d2/37/d2373c744c706f30a5730bb7a20a4206.jpg;https://cdn.entero.ru/mp@2x/88/e8/88e8925cdd9e437748913a10ef983ff3.jpg;https://cdn.entero.ru/mp@2x/14/71/1471751f7ab3a1b4cab86f634ebda652.jpg,Сушилка для овощей и фруктов Rommelsbacher DA 950,Сушилка для овощей и фруктов Rommelsbacher DA 950,25374,RUB,Да,Rommelsbacher,Бытовая техника,Техника для кухни,Дегидраторы,https://entero.ru/item/374729,"<p>Дегидратор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/374729"">Rommelsbacher DA 950</a></b> предназначен для сушки овощей, фруктов, ягод, грибов и трав в домашних условиях. Модель оснащена сенсорной панелью управления, светодиодный дисплеем, таймером, автоматическим отключением сигнала и боковыми ручками. Корпус и решетки выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят 6 решеток для сушки, 1 коврик для сушки и 1 поддон для сушки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двойные стенки корпуса</li>
<li>Тихая модель</li>
<li>Равномерное распределение температуры на всех уровнях</li>
<li>Электронный контроль температуры</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Площадь сушки: 0,6 м²</li>
<li>Время таймера: 99 часов</li>
<li>Длина шнура питания: 1,9 м</li>
<li>Размер решетки для сушки: 305х330 мм</li>
</ul>",374729,от 35 до 75 °С,220 В,0.6 кВт,340 мм,456 мм,315 мм,8.5 кг,,,0,https://entero.ru/manuals/506248/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Rommelsbacher%20DA%20950.pdf;https://entero.ru/manuals/506249/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rommelsbacher%20DA%20950.pdf;https://entero.ru/manuals/506250/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D0%B2.pdf,,,,Германия,Китай,6,
https://cdn.entero.ru/mp@2x/32/de/32de0307c5dc40c2341ea642420f34c6.jpg;https://cdn.entero.ru/mp@2x/8e/00/8e00adc8cda15bd5db76b69c409ea5db.jpg;https://cdn.entero.ru/mp@2x/85/5c/855c096ba2cfd46f99f1152f8dc62b07.jpg;https://cdn.entero.ru/mp@2x/bf/c5/bfc5f14bcf4d4a297c16a146f55b3673.jpg;https://cdn.entero.ru/mp@2x/1b/b1/1bb1d55d8cdaf9b0e1ec57bce79e74fc.jpg;https://cdn.entero.ru/mp@2x/ad/7c/ad7cd6585262063da5782a15c55e5174.jpg;https://cdn.entero.ru/mp@2x/e3/24/e324815dc1e34f885ca1da3e57a4d50d.jpg,Сушилка для овощей и фруктов Libhof FDK-16,Дегидратор FDK-16 libfdk16,25999,RUB,Да,,Бытовая техника,Техника для кухни,Дегидраторы,https://entero.ru/item/294352,"<p>Дегидратор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/294352"">Libhof FDK-16</a></b> используется для сушки овощей, фруктов, ягод, грибов и трав, а также вяления рыбы, расстойки теста, приготовления сухариков, пастилы и йогурта в домашних условиях. Модель оснащена камерой с 16 уровнями направляющих для размещения поддонов, расположенными в задней стенке вентилятором и нагревательными элементами, распашной дверью, кабелем питания, расположенным на верхней панели блоком управления с сенсорной клавиатурой и светодиодным цифровым дисплеем. Корпус и поддоны выполнены из высококачественной нержавеющей стали, дверь с прозрачным остеклением.</p>

<p>В комплект поставки входят 16 съемных решетчатых поддонов, мелкоячеистая сетка, 8 лотков для пастилы и инструкция по эксплуатации.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Горизонтальный обдув с равномерным распределением тепла</li>
<li>Регулировка температуры</li>
<li>Таймер для настройки длительности процесса</li>
<li>Цифровая индикация температуры и настроек таймера</li>
<li>Интегрированные в клавиши сигнальные светодиодные индикаторы работы</li>
<li>Звуковая сигнализация для подтверждения настроек и оповещения об истечении заданной длительности</li>
<li>Автоматическая задержка работы вентилятора в течение 1 мин. после отключения нагрева для охлаждения продуктов</li>
<li>Автоматическое отключение при перегреве</li>
<li>Простое управление благодаря легким прикосновениям и интуитивно понятному меню</li>
<li>Большое смотровое окно для визуального контроля процесса</li>
<li>Съемный лоток для сбора капель</li>
<li>Рекомендации температурного диапазона для различных продуктов</li>
<li>Устойчивые нескользящие опоры</li>
<li>Возможность мойки поддонов в посудомоечной машине</li>
<li>Компактные габариты и малый вес для удобства транспортировки</li>
<li>Класс электрозащиты: I</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон заданной длительности: от 30 мин. до 24 ч</li>
<li>Объем камеры: 54 л</li>
<li>Диапазон уровня шума: от 45 до 50 дБ</li>
<li>Длина кабеля питания: 1100 мм</li>
<li>Габариты поддонов: 376x297 мм</li>
</ul>",294352,от 35 до 80 °С,220 В,1.2 кВт,405 мм,405 мм,515 мм,15.6 кг,1,475x475x585 мм,0,https://entero.ru/manuals/357179/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20FDK-16.pdf,27659,,14.2 кг,Словакия,Китай,12,
https://cdn.entero.ru/mp@2x/72/f7/72f7b214c9429bea8198830c4425f2b4.jpg;https://cdn.entero.ru/mp@2x/19/78/19783c7d297718d90543b7299414fe99.jpg;https://cdn.entero.ru/mp@2x/6d/e7/6de79c27e193d146d86cef94fd3e75ab.jpg;https://cdn.entero.ru/mp@2x/0d/ad/0dad7a90f2e9e415dac07d85be300b50.jpg,Сушилка для фруктов и овощей Geniard GA-309C,Сушилка для фруктов и овощей Geniard GA-309C,6448,RUB,Да,,Бытовая техника,Техника для кухни,Дегидраторы,https://entero.ru/item/375875,"<p>Сушилка для овощей и фруктов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375875"">Geniard GA-309C</a></b> предназначена для дегидрации фруктов, овощей, трав, мяса, приготовления пастилы и йогуртов в квартирах, частных домах, кафе и ресторанах. Модель оснащена электронной панелью управления, цифровым дисплеем, таймером, фильтром для защиты от пыли и сора, регулировкой и поддержанием температуры, а также подсветкой камеры для визуального контроля. Равномерный горизонтальный обдув и сушка позволяют достичь оптимального результата.</p>

<p>В комплект поставки входят 5 сетчатых решеток и 1 поддон для фруктовых пастилок.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Таймер: от 30 мин. до 48 ч</li>
<li>Режим поддержания температуры: 24 ч при 35 °С</li>
</ul>",375875,от +35 до +80 °С,220 В,0.5 кВт,266 мм,290 мм,200 мм,2.9 кг,1,327x305x245 мм,36,https://entero.ru/manuals/513706/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Geniard%20GA-309C.pdf;https://entero.ru/manuals/513709/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/513712/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/513715/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Geniard%20GA-309C.pdf,,,,Россия,Китай,5,
https://cdn.entero.ru/mp@2x/01/72/01724ebdf7f41ead684baa8fe2ca21c4.jpg;https://cdn.entero.ru/mp@2x/ff/5e/ff5e907718d9d0cd1620400daa46b8b9.jpg;https://cdn.entero.ru/mp@2x/85/f0/85f099c2eb896163ec91dcabc1bf3fc8.jpg;https://cdn.entero.ru/mp@2x/58/38/5838335777e1af03abe2f2ac684202e2.jpg;https://cdn.entero.ru/mp@2x/3b/6e/3b6e0b4d744fb7f1a0b4862361d6370f.jpg,Сушилка для фруктов и овощей Geniard GA-309B,Сушилка для фруктов и овощей Geniard GA-309B,6705,RUB,Да,,Бытовая техника,Техника для кухни,Дегидраторы,https://entero.ru/item/375876,"<p>Сушилка для овощей и фруктов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375876"">Geniard GA-309B</a></b> предназначена для дегидрации фруктов, овощей, трав, мяса, приготовления пастилы и йогуртов в квартирах, частных домах, кафе и ресторанах. Модель оснащена электронной панелью управления, цифровым дисплеем, таймером, фильтром для защиты от пыли и сора, регулировкой и поддержанием температуры, а также подсветкой камеры для визуального контроля. Равномерный горизонтальный обдув и сушка позволяют достичь оптимального результата.</p>

<p>В комплект поставки входят 5 сетчатых решеток и 1 поддон для фруктовых пастилок.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Таймер: от 30 мин. до 48 ч</li>
<li>Режим поддержания температуры: 24 ч при 35 °С</li>
</ul>",375876,от +35 до +80 °С,220 В,0.5 кВт,266 мм,290 мм,200 мм,2.9 кг,1,327x305x245 мм,81,https://entero.ru/manuals/513757/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Geniard%20GA-309B.pdf;https://entero.ru/manuals/513758/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/513759/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/513760/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Geniard%20GA-309B.pdf,,,,Россия,Китай,5,
https://cdn.entero.ru/mp@2x/cd/59/cd5996c9d8e6fbe80cff3f5214a7046d.jpg;https://cdn.entero.ru/mp@2x/04/bf/04bfd32ae1f0918f7d93882c4058d32c.jpg;https://cdn.entero.ru/mp@2x/f3/cb/f3cb54614df52e717bf3347731491f17.jpg,Сушилка для овощей и фруктов Profi Cook PC-DR 1116,Дегидратор PC-DR 1116,9443,RUB,Да,,Бытовая техника,Техника для кухни,Дегидраторы,https://entero.ru/item/173415,"<p>Сушилка для овощей и фруктов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173415"">Profi Cook PC-DR 1116</a> </b>предназначена для быстрой и равномерной сушки фруктов, овощей, зелени и других продуктов в частных домах и квартирах. Модель оснащена электронным управлением с цифровым дисплеем, 4 съемными прозрачными лотками и прозрачной крышкой. Корпус выполнен из нержавеющей стали, крышка - из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>7 ступеней настройки температуры</li>
<li>Циркуляция воздуха</li>
<li>Электронный таймер от 1 до 48 ч с индикацией остаточного времени</li>
<li>Прорезиненные ножки</li>
<li>Защита от перегрева</li>
</ul>",173415,от 40 до 70 °С,220 В,0.35 кВт,340 мм,260 мм,260 мм,,,,0,https://entero.ru/manuals/201015/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Profi%20Cook%20PC-DR%201116.pdf,11658,,1.85 кг,Германия,Китай,7,
https://cdn.entero.ru/mp@2x/ab/b3/abb3cb9a73e1e5b5484869bc6497ae96.jpg;https://cdn.entero.ru/mp@2x/3e/5a/3e5a6e589ff8ae5db11c24ffefae6c64.jpg;https://cdn.entero.ru/mp@2x/db/3f/db3f63aa9dc7e7576efe17518ec4e604.jpg;https://cdn.entero.ru/mp@2x/11/8e/118efd8f199df00185991e301784d626.jpg;https://cdn.entero.ru/mp@2x/56/a1/56a1702815d1391a2524c7a04d81ad1a.jpg;https://cdn.entero.ru/mp@2x/1b/01/1b0152c6d7f187b1999a481f7c659dde.jpg;https://cdn.entero.ru/mp@2x/7c/6b/7c6b091088fb4bb8bd7dbcba8feb47e1.jpg;https://cdn.entero.ru/mp@2x/86/4f/864fcfb96f8aa762d7c561b0bb4f8a04.jpg;https://cdn.entero.ru/mp@2x/e5/43/e54305c8f6842351380dd8c33d8c518a.jpg,Сушилка для овощей и фруктов CASO DH 450,Дегидратор DH 450,14257,RUB,Да,CASO,Бытовая техника,Техника для кухни,Дегидраторы,https://entero.ru/item/303305,"<p>Дегидратор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/303305"">CASO DH 450</a></b> предназначен для сушки овощей, фруктов, ягод, грибов и трав в домашних условиях. Модель прямоугольно ориентированной формы оснащена базовым блоком с нагревательным элементом, вентилятором, верхней крышкой с вентиляционными отверстиями, кабелем питания с вилкой, электромеханической панелью управления с функциональными кнопками, поворотным регулятором и светодиодным цифровым дисплеем с белой подсветкой индикации. Корпус и крышка выполнены из пластика серого цвета, вставки на панелях базы из нержавеющей стали с сатинированной поверхностью.</p>

<p>В комплект поставки входят 5 решетчатых поддонов, 2 силиконовые формы для мюсли и 2 коврика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры</li>
<li>Режим вентиляции без нагрева</li>
<li>Таймер для установки длительности сушки</li>
<li>Кнопка паузы для прерывания нагрева</li>
<li>Цифровая индикация актуальной температуры и оставшегося до завершения времени</li>
<li>Символьный индикатор активации нагрева</li>
<li>Звуковой сигнал для подтверждения настроек и оповещения о завершении процесса</li>
<li>Равномерное распределение тепла благодаря принудительной циркуляции воздуха</li>
<li>2 варианта высоты уровней </li>
<li>Прозрачные стенки поддонов для визуального контроля процесса</li>
<li>Рекомендации по обработке различных типов продуктов на крышке</li>
<li>Интегрированные в боковины основания рукоятки для удобства транспортировки</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг регулировки температуры: 5 °С</li>
<li>Диапазон заданной длительности: от 30 мин. до 48 ч</li>
<li>Шаг регулировки длительности: 30 мин.</li>
</ul>",303305,от 30 до 70 °С,220 В,от 0.37 до 0.45 кВт,320 мм,210 мм,360 мм,,,,0,https://entero.ru/manuals/363633/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20DH%20450.pdf,,,2.9 кг,Германия,Китай,5,
