Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Цвет,Объем чаши,Импульсный режим,Число скоростей,Уровень шума,Турборежим,Вращение чаши
https://cdn.entero.ru/mp@2x/5c/10/5c1074bc1fb802e4d66f68bcd26e1ca9.jpg,Миксер планетарный ТОРГМАШ (Барановичи) МП-7,н0000136812,51169,RUB,Да,ТОРГМАШ (Барановичи),Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/82758,"<p>Планетарный миксер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/82758""><b class=""b"">БЕЛТОРГМАШ МП-7</b></a> предназначен для замеса теста различной консистенции, а также для взбивания кремов, муссов и перемешивания пюре, соусов и паштетов на предприятиях общественного питания, торговли, в пекарнях и кондитерских. Детали, контактирующие с пищевыми продуктами, выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят лопатка, венчик и крюк.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения венчика: от 75 до 660 об/мин</li>
<li>Одновременная загрузка ингредиентов:
<ul>
<li>При замесе теса, не более: 0,6 кг</li>
<li>При взбивании сливок, не более: 1,5 кг</li>
<li>При взбивании яиц: 14 шт.</li>
</ul>
</li>
</ul>",82758,стационарный,220 В,0.51 кВт,240 мм,420 мм,420 мм,18 кг,Беларусь,1,288x504x504 мм,14,https://entero.ru/manuals/59340/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%91%D0%95%D0%9B%D0%A2%D0%9E%D0%A0%D0%93%D0%9C%D0%90%D0%A8%20%D0%9C%D0%9F-7.jpg;https://entero.ru/manuals/510670/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240918&hash=f1a5e53d50b7c116,15 кг,"серый, металл",7 л,,плавная регулировка,,,
https://cdn.entero.ru/mp@2x/e4/7f/e47fd2337a7af0f62577b3e6364373de.jpg,Миксер планетарный ТОРГМАШ (Барановичи) МП-5,н0000163329,47244,RUB,Да,ТОРГМАШ (Барановичи),Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/82757,"<p>Планетарный миксер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/82757""><b class=""b"">БЕЛТОРГМАШ МП-5</b></a> предназначен для замеса теста различной консистенции, а также для взбивания кремов, муссов и перемешивания пюре, соусов и паштетов на предприятиях общественного питания, торговли, в пекарнях и кондитерских. Детали, контактирующие с пищевыми продуктами, выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят лопатка, венчик и крюк.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения венчика: от 75 до 660 об/мин</li>
<li>Одновременная загрузка ингредиентов:
<ul>
<li>При замесе теса, не более: 0,5 кг</li>
<li>При взбивании сливок, не более: 1,3 кг</li>
<li>При взбивании яиц: 12 шт.</li>
</ul>
</li>
</ul>",82757,стационарный,220 В,0.37 кВт,240 мм,420 мм,420 мм,,Беларусь,,,9,https://entero.ru/manuals/59339/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%91%D0%95%D0%9B%D0%A2%D0%9E%D0%A0%D0%93%D0%9C%D0%90%D0%A8%20%D0%9C%D0%9F-5.jpg;https://entero.ru/manuals/510669/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,49731,https://vk.com/video_ext.php?oid=-177656185&id=456240918&hash=f1a5e53d50b7c116,13.3 кг,"металл, серый",5 л,,плавная регулировка,,,
https://cdn.entero.ru/mp@2x/e2/97/e297fb4ab204e4b033599c30407e52bf.jpg;https://cdn.entero.ru/mp@2x/31/71/3171fb388b9d0d2e33d075314ae48341.jpg;https://cdn.entero.ru/mp@2x/0d/ab/0dabe8472ed323bb3d62dd324df0967f.jpg;https://cdn.entero.ru/mp@2x/89/fa/89faca7f9a53248dea79d8321e78216d.jpg;https://cdn.entero.ru/mp@2x/d8/50/d85037c8576b4ee7be7fe6dbdb8e7343.jpg;https://cdn.entero.ru/mp@2x/0a/b1/0ab19ea6373719945592737242a83036.jpg;https://cdn.entero.ru/mp@2x/e2/34/e2340caab16ecdce99ac5b1b1011fb79.jpg;https://cdn.entero.ru/mp@2x/95/2d/952d1dcb86cfae04f0900e6e3c3fdd11.jpg,Миксер Taurus Station Inox,Миксер Taurus Station Inox,4706,RUB,Да,Taurus,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/251176,"<p>Миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251176"">Taurus Station Inox</a></b> предназначен для взбивания кремов, муссов, замешивания теста, а также для приготовления пюре, соусов и коктейлей в частных домах и квартирах. Корпус выполнен из пластика, венчики и крюки - из нержавеющей стали.</p>

<p>В комплект поставки входят 2 венчика и 2 крюка для теста.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Насадки легко извлекаются нажатием на кнопку</li>
<li>Насадки подходят для мытья в посудомоечной машине</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина насадок: 200 мм</li>
</ul>",251176,ручной,220 В,0.5 кВт,,,,,Китай,,,0,https://entero.ru/manuals/308318/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20Station%20Inox.pdf,6112,,,"белый, черный",,,5,,Да,
https://cdn.entero.ru/mp@2x/2c/d1/2cd164ed8437b52bd3f7b71aaf329c5c.jpg;https://cdn.entero.ru/mp@2x/b7/f3/b7f3dd057f2ecc1cd3e6d56b0c2c5e7d.jpg;https://cdn.entero.ru/mp@2x/3a/c3/3ac3337e1754087c7b9495ede653f8ad.jpg;https://cdn.entero.ru/mp@2x/88/76/8876caaa17c57e71daefbde95ab6ce88.jpg;https://cdn.entero.ru/mp@2x/f2/ce/f2ce81f866aaae48eb71f5fc88a1ad55.jpg,Миксер Graef HM 508,HM508EU,8558,RUB,Да,,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/265081,"<p>Миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265081"">Graef HM 508</a></b> предназначен для взбивания кремов, муссов, замешивания теста, а также для приготовления пюре, соусов и коктейлей в частных домах и квартирах. Модель оснащена мощным двигателем постоянного тока с высоким крутящим моментом и удлиненными насадками, подходящими для глубокой посуды. Корпус выполнен из пластика, насадки - из нержавеющей стали. </p>

<p>В комплект поставки входят 2 удлиненных крюка для теста и 4 удлиненных венчика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Кнопка Турбо</li>
<li>Кнопка разблокировки для легкого снятия насадок</li>
<li>Низкий уровень шума</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость: от 300 до 1080 об./мин.</li>
<li>Длина сетевого кабеля: 1,65 м</li>
<li>Цвет: тауп</li>
</ul>",265081,ручной,220 В,0.6 кВт,209 мм,85 мм,157 мм,,Китай,,,0,https://entero.ru/manuals/328160/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Graef%20HM%20508.pdf,,,1.14 кг,бежевый,,,7,75 дБ,Да,
https://cdn.entero.ru/mp@2x/7d/7f/7d7f93133993d50eb30bfb42e302c616.jpg;https://cdn.entero.ru/mp@2x/43/ba/43baba7fd492d5f44ddaa635a626c4c7.jpg;https://cdn.entero.ru/mp@2x/55/38/55381c88bd4b55dbbf00392a9a9a8233.jpg;https://cdn.entero.ru/mp@2x/ae/14/ae1474ce2ad082d2822f26774df142b3.jpg;https://cdn.entero.ru/mp@2x/a7/26/a7266dafe16a9d129cff41828fe8078d.jpg;https://cdn.entero.ru/mp@2x/04/11/041172efa14011eebdbc5dba9472473e.jpg;https://cdn.entero.ru/mp@2x/d5/35/d535866337e907d5b9b3e6b31a2ebf0b.jpg;https://cdn.entero.ru/mp@2x/6f/57/6f576f3d46e6e6e6f94529338b06fb59.jpg;https://cdn.entero.ru/mp@2x/59/3b/593bb38c59e154e24406f37230fb27b6.jpg,Миксер Black+Decker BXMXA500E,ES9130090B,9592,RUB,Да,,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/283607,"<p>Миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283607"">Black+Decker BXMXA500E</a></b> предназначен для взбивания кремов, муссов, замешивания теста, а также для приготовления пюре, соусов и коктейлей в домашних условиях. Модель оснащена кабелем питания с вилкой, подставкой со съемной чашей, Г-образной рукояткой и электромеханическим управлением. Корпус двигателя выполнен из пластика черного цвета с вставкой из нержавеющей стали с защитой от отпечатков пальцев, подставка и чаша – из черного пластика, насадки – из высококачественной нержавеющей стали.</p>

<p>В комплект поставки входят парные насадки: 2 венчика и 2 спиральных крюка для теста.</p>

<p><b>Особенности:</b></p>

<ul>
<li>5 скоростей</li>
<li>Турборежим: работа на максимальной мощности в импульсном режиме для интенсивного взбивания</li>
<li>Удобно расположенные на рукоятке элементы управления</li>
<li>Вращение чаши</li>
<li>Рукоятка с анатомическим рельефом для стабильного захвата</li>
<li>Надежная фиксация корпуса двигателя и чаши на подставке </li>
<li>Универсальная конструкция для возможности эксплуатации в качестве стационарного и ручного прибора</li>
<li>Возможность мойки аксессуаров в посудомоечной машине</li>
<li>Устойчивая нескользящая база</li>
<li>Эргономичный стильный дизайн</li>
</ul>",283607,"стационарный, ручной",220 В,0.5 кВт,320 мм,215 мм,310 мм,,Китай,,,0,https://entero.ru/manuals/350675/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Black+Decker%20BXMXA500E.pdf,11990,,,черный,2.5 л,Да,5,,Да,Да
https://cdn.entero.ru/mp@2x/98/f0/98f00b177b353f0177dcfaafee4d9aa5.jpg;https://cdn.entero.ru/mp@2x/5a/f2/5af2709b1eda46e901a27ad2ac895cf0.jpg;https://cdn.entero.ru/mp@2x/f7/fd/f7fd50a27f2679c8212ef1e07f9a15ed.jpg;https://cdn.entero.ru/mp@2x/85/fd/85fd3a588746033b2f6b3b311bf9c155.jpg;https://cdn.entero.ru/mp@2x/a4/1d/a41de23bbc023b3d97a662c7a882f30f.jpg,Миксер планетарный SMEG SMF03BLEU,8 017 709 269 142,75990,RUB,Да,SMEG,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/116887,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116887"">Smeg SMF03BLEU</a></b> предназначен для взбивания кремов, муссов, а также для приготовления пюре, соусов и коктейлей в частных домах и квартирах. Модель выполнена в стиле 50-х годов. Корпус изготовлен из литого алюминия, шестеренки - из закаленной стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Венчик для взбивания легких продуктов (белков, сливок) из нержавеющей стали</li>
<li>Насадка для взбивания плотных продуктов из алюминия</li>
<li>Крюк для теста из алюминия</li>
<li>Чаша из полированной нержавеющей стали</li>
<li>Крышка для чаши из пластика</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Планетарное действие</li>
<li>Плавный старт</li>
<li>Низкая скорость на выходе</li>
<li>Блокировка вращения при поднятой смесительной головке</li>
<li>Фронтальный порт для дополнительных насадок</li>
<li>Нескользящие ножки</li>
</ul>",116887,стационарный,220 В,0.8 кВт,402 мм,221 мм,490 мм,,Италия,,,0,,,,,черный,4.8 л,,10,,,
https://cdn.entero.ru/mp@2x/38/d9/38d9f4ac6c3e9b80afd679befd8ce399.jpg;https://cdn.entero.ru/mp@2x/45/28/4528d0fb66961d4d985fe70f1c14e4bd.jpg;https://cdn.entero.ru/mp@2x/a5/ab/a5ab24b65d96ce992576736c6f972f67.jpg;https://cdn.entero.ru/mp@2x/5a/7f/5a7ff5f1b60a5f22cd5709a3749bb207.jpg;https://cdn.entero.ru/mp@2x/fc/7b/fc7b156ad758a769497d22f7ffa26d9b.jpg;https://cdn.entero.ru/mp@2x/7b/0d/7b0d49d753f8e5c9d21172a7e8c104f6.jpg;https://cdn.entero.ru/mp@2x/d4/d5/d4d5d3cd4794b0684e857273545e72ce.jpg,Миксер Bosch MFQ3010,Миксер Bosch MFQ3010,3387,RUB,Да,Bosch,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/375765,"<p>Ручной миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375765"">Bosch MFQ3010</a> </b>серии CleverMixx<b class=""b""> </b>предназначен для взбивания кремов, муссов, замешивания теста, а также для приготовления пюре, соусов и коктейлей в частных домах и квартирах. Модель оснащена 2 типами насадок, эргономичной формой корпуса, ручкой с мягкими вставками Soft-Touch, кнопкой отсоединения насадок, импульсным и турбо режимами. Корпус выполнен из пластика, который не содержат BPA (Бисфенол А) и отличается безопасностью для здоровья, венчики - из нержавеющей стали.</p>

<p>В комплект поставки входят 2 венчика для взбивания и 2 крюка для теста.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина сетевого шнура: 1,4 м</li>
<li>Страна производства: Евросоюз</li>
</ul>",375765,ручной,,0.3 кВт,140 мм,70 мм,184 мм,0.9 кг,,1,160x100x225 мм,0,https://entero.ru/manuals/513082/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bosch%20MFQ3010.pdf,,,,белый,,Да,2,,Да,
https://cdn.entero.ru/mp@2x/b8/28/b828e989ce5ce9967dc8f1e1b50524b2.jpg,Миксер для молочных коктейлей Gemlux GL-MS-01,Миксер для молочных коктейлей Gemlux GL-MS-01,4794,RUB,Да,Gemlux,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/105597,"<p>Миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105597"">Gemlux GL-MS-01</a></b> серии Platinum предназначен для приготовления муссов, шейков, молочных и фруктовых коктейлей в частных домах и квартирах. Модель оснащена переключателем скоростей и световым индикатором. Корпус выполнен из хромированной стали, стакан - из нержавеющей стали.</p>",105597,ручной,220 В,0.1 кВт,158 мм,156 мм,386 мм,,Китай,,,0,https://entero.ru/manuals/95737/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Gemlux%20GL-MS-01.pdf,,,0.7 кг,нерж. сталь,0.5 л,Да,,,,
https://cdn.entero.ru/mp@2x/03/51/03511a5b07c8b5f4dc995a7830493c83.jpg;https://cdn.entero.ru/mp@2x/fd/dc/fddc6bb97c1626e4a96b826eaacebeae.jpg;https://cdn.entero.ru/mp@2x/76/10/7610a5aa03408f86a12d97f92326830f.jpg;https://cdn.entero.ru/mp@2x/06/0f/060fb9e2bb91fc54ab2bd9d8807c858f.jpg;https://cdn.entero.ru/mp@2x/4e/de/4edec36f382e32d3c23c30ef8dd13cf0.jpg;https://cdn.entero.ru/mp@2x/38/0a/380ab9255216b1edade3eeb72a3c01b3.jpg;https://cdn.entero.ru/mp@2x/4f/11/4f11958f336d0f8879631bfac98bfbb0.jpg;https://cdn.entero.ru/mp@2x/c9/7c/c97ccbd9a4524d51dbba56fd25e61a8e.jpg;https://cdn.entero.ru/mp@2x/c5/79/c579c84028c5ecd23193817b80a6b703.jpg,Миксер Bosch MFQ 36400,Миксер Bosch MFQ 36400,5152,RUB,Да,Bosch,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/378381,"<p>Ручной миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/378381"">Bosch MFQ 36400</a></b> предназначен для взбивания кремов, муссов, замешивания теста, а также для приготовления пюре, соусов и коктейлей в частных домах и квартирах. Модель оснащена ручкой со вставками Soft-Touch, кнопкой отсоединения насадок, импульсным и турбо режимами. Корпус выполнен из пластика, венчики и крюки - из нержавеющей стали.</p>

<p>В комплект поставки входят 2 венчика для взбивания и 2 крюка для теста.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина сетевого шнура: 1,3 м</li>
</ul>",378381,ручной,220 В,0.45 кВт,154 мм,208 мм,74 мм,1.1 кг,Словения,,,0,https://entero.ru/manuals/523116/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bosch%20MFQ%2036400.pdf,,,,"белый, серый",,Да,5,,Да,
https://cdn.entero.ru/mp@2x/d2/af/d2afacbbd11e6ca647635654a8cd7bec.jpg;https://cdn.entero.ru/mp@2x/b9/3c/b93c4daffb5eebb22d984bbe55608279.jpg;https://cdn.entero.ru/mp@2x/ac/bd/acbdcf036e12539c0380f4c4b18021b3.jpg;https://cdn.entero.ru/mp@2x/b1/ce/b1cebd5c5d4405580567a31c45f48bae.jpg,Миксер планетарный Geniard GA-FM103,Миксер планетарный Geniard GA-FM103,8774,RUB,Да,,Бытовая техника,Техника для кухни,Миксеры,https://entero.ru/item/375889,"<p>Планетарный миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375889"">Geniard GA-FM103</a></b> используется для замеса различных видов теста, взбивания кремов и муссов, приготовления пюре и соусов в частных домах и квартирах. Модель оснащена контролем силы замеса и механизмом поднятия головы подъемной траверсой. Прозрачная крышка защищает от брызг и позволяет контролировать процесс смешивания. Профессиональная функция пульсации PULSE позволяет приготовить крема и смеси высокой плотности. Насадки выполнены из алюминия, система передач - из металла, двигатель - из меди, кркас и дежа - из нержавеющей стали, крышка - из поликарбоната.</p>

<p>В комплект поставки входят 3 насадки: яичный венчик, крюк и лопатка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>8 режимов работы</li>
<li>Настольная модель</li>
<li>Планетарное стабильное смешивание</li>
<li>10-минутное автоотключение для безопасной работы</li>
<li>Выбор скорости вариатор</li>
<li>Низкий уровень шума</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка теста: 0,76 кг</li>
<li>Скорость вращения: 320 об/мин.</li>
</ul>",375889,,220 В,1 кВт,385 мм,222 мм,349 мм,7.4 кг,Китай,1,435x262x388 мм,175,https://entero.ru/manuals/513955/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Geniard%20GA-FM103.pdf;https://entero.ru/manuals/513956/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/513957/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/513958/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Geniard%20GA-FM103.pdf,,,,,5 л,,8,,,
