Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Объем
https://cdn.entero.ru/mp@2x/c2/b0/c2b07020acac7bee92af799cc7bac8c1.jpg;https://cdn.entero.ru/mp@2x/40/20/40206c3742e991ac934a2f60bb83cb78.jpg,Мультиварка-скороварка Steba DD 3 Smart,Мультиварка-скороварка Steba DD 3 Smart,16394,RUB,Да,,Бытовая техника,Техника для кухни,Мультиварки,https://entero.ru/item/168973,"<p>Мультиварка-скороварка-медленноварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/168973"">Steba DD 3 Smart</a></b> предназначена для приготовления под давлением пара, обжаривания, тушения, и варки различных продуктов в квартирах, частных домах, кафе и ресторанах. Модель оснащена электронным управлением с большим ЖК-дисплеем. Корпус выполнен из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Стальная чаша</li>
<li>Корзина для приготовления на пару</li>
<li>Держатель корзины</li>
<li>Мерный стакан</li>
<li>2 лопатки для перемешивания</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>12 автоматических программ (Суп, Птица, Рыба, Каша, Тушение, Жарка, Пар, Крупа, Овощи, Йогурт, Выпечка, Томление)</li>
<li>Возможность регулировки:
<ul>
<li>Давления пара</li>
<li>Времени приготовления</li>
<li>Температуры</li>
</ul>
</li>
<li>Режим поддержания тепла</li>
<li>Автоматический сброс давления</li>
<li>Теплоизоляция корпуса</li>
<li>Таймер </li>
<li>Защита от перегрева</li>
</ul>",168973,,220 В,1 кВт,320 мм,330 мм,350 мм,,,,0,https://entero.ru/manuals/194940/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20DD%203%20Smart.pdf,,,5.9 кг,,Китай,6 л
https://cdn.entero.ru/mp@2x/35/83/3583f3c68857594edb1283d738a1b5b6.jpg;https://cdn.entero.ru/mp@2x/f2/7c/f27c3db3612a09691892986f5f4a30c7.jpg;https://cdn.entero.ru/mp@2x/01/4f/014f46e78e565959897cfb4a0e178977.jpg;https://cdn.entero.ru/mp@2x/66/e6/66e6586a51569c7716cf9658ee0a8c71.jpg;https://cdn.entero.ru/mp@2x/26/76/26767a8614d4e8fea4274aa264a4f03f.jpg;https://cdn.entero.ru/mp@2x/08/56/08567ac3ffdc7e1c4c06991077a4d50f.jpg;https://cdn.entero.ru/mp@2x/86/fc/86fcc8313186ace77c2df21ddd26457d.jpg,Мультиварка GALAXY LINE GL2641 белая,5021826411,4999,RUB,Да,,Бытовая техника,Техника для кухни,Мультиварки,https://entero.ru/item/378517,"<p>Мультиварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/378517""><b class=""b"">GALAXY LINE GL2641 </b></a>предназначена для приготовления на пару, обжаривания, тушения, выпечки и варки различных продуктов в квартирах и частных домах. Модель оснащена электронным управлением, светодиодным дисплеем, таймером, выпускным клапаном и съемным контейнером для сбора конденсата. Антипригарное покрытие чаши позволяет готовить с использованием минимального количества масла и сохраняет естественный вкус.</p>

<p><b>Особенности:</b></p>

<ul>
<li>11 программ</li>
<li>Система равномерного нагрева</li>
<li>Защита от перегрева</li>
<li>Отложенный старт до 24 ч</li>
<li>Автоматическая функция поддержания температуры</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина шнура: 1,12 м</li>
<li>Частота тока: 50 Гц</li>
<li>Цвет: белый</li>
</ul>",378517,,220 В,0.9 кВт,,,,2.85 кг,1,280x280x280 мм,0,https://entero.ru/manuals/523414/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D0%B2.pdf;https://entero.ru/manuals/523417/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/523418/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20GALAXY%20LINE%20GL2641%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F.pdf,,,,Россия,Китай,5 л
https://cdn.entero.ru/mp@2x/40/2b/402b33f6d0680ab80abfcfe4ea082970.jpg;https://cdn.entero.ru/mp@2x/5a/0f/5a0fc1f775ca0dbaf45f6e54fb749c6d.jpg;https://cdn.entero.ru/mp@2x/78/c8/78c8f0b417e307c4d6c62ddaf4ffc6bf.jpg;https://cdn.entero.ru/mp@2x/24/c3/24c3c40de0ce71b99c6c8f6bdaf6bf24.jpg;https://cdn.entero.ru/mp@2x/1d/f8/1df8ad56c60aeabb2d07d5c13fd785bd.jpg;https://cdn.entero.ru/mp@2x/40/3a/403acd5ec9baa5d264bc9fea0b2ed38f.jpg;https://cdn.entero.ru/mp@2x/c3/0a/c30af6a487d4b22380a4a0992b261db9.jpg;https://cdn.entero.ru/mp@2x/20/df/20dfffa55ef8fff24cfa970061238d60.jpg,Мультиварка GALAXY LINE GL2645,гл2645л,5673,RUB,Да,,Бытовая техника,Техника для кухни,Мультиварки,https://entero.ru/item/373456,"<p>Мультиварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373456"">GALAXY LINE GL2645</a> </b>предназначена для приготовления на пару, обжаривания, тушения, выпечки и варки различных продуктов в квартирах и частных домах. Модель оснащена электронным управлением, светодиодным дисплеем, таймером, выпускным клапаном и съемным контейнером для сбора конденсата. Антипригарное покрытие чаши позволяет готовить с использованием минимального количества масла и сохраняет естественный вкус.</p>

<p>В комплект поставки входят ложка для перемешивания, половник, чаша, емкость для приготовления на пару, мерный стакан и съемный сетевой провод.</p>

<p><b>Особенности:</b></p>

<ul>
<li>11 программ</li>
<li>Отложенный старт до 24 часов</li>
<li>Система равномерного нагрева</li>
<li>Автоматическая функция поддержания температуры</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина шнура: 0,75 м</li>
<li>Частота тока: 50 Гц</li>
<li>Цвет: черный</li>
</ul>",373456,,220 В,0.9 кВт,,,,2.6 кг,1,290x290x305 мм,0,https://entero.ru/manuals/501591/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20GALAXY%20LINE%20GL2645.pdf;https://entero.ru/manuals/501592/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D0%B2.pdf,,,,Россия,Китай,5 л
https://cdn.entero.ru/mp@2x/66/3b/663b05880171c49f73aa278ea8096231.jpg;https://cdn.entero.ru/mp@2x/9e/f2/9ef271b094c1d4ebe074706e70466501.jpg;https://cdn.entero.ru/mp@2x/c2/a6/c2a62c63cd068914b7890eae93f66d7c.jpg;https://cdn.entero.ru/mp@2x/70/d1/70d174c9feb8fa2e875fa856a2474d1d.jpg;https://cdn.entero.ru/mp@2x/25/9a/259a114ad01546f589dd43167ea67949.jpg;https://cdn.entero.ru/mp@2x/0b/c7/0bc7567b2718c37f8df6e6789bd15e03.jpg;https://cdn.entero.ru/mp@2x/b8/06/b806f2116412b8aaac0fcf2760177cf1.jpg,Мультиварка GALAXY LINE GL2641 черная,гл2641черн,5673,RUB,Да,,Бытовая техника,Техника для кухни,Мультиварки,https://entero.ru/item/373457,"<p>Мультиварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373457""><b class=""b"">GALAXY LINE GL2641 </b></a>предназначена для приготовления на пару, обжаривания, тушения, выпечки и варки различных продуктов в квартирах и частных домах. Модель оснащена электронным управлением, светодиодным дисплеем, таймером, выпускным клапаном и съемным контейнером для сбора конденсата. Антипригарное покрытие чаши позволяет готовить с использованием минимального количества масла и сохраняет естественный вкус.</p>

<p><b>Особенности:</b></p>

<ul>
<li>11 программ</li>
<li>Система равномерного нагрева</li>
<li>Защита от перегрева</li>
<li>Отложенный старт до 24 ч</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина шнура: 1,12 м</li>
<li>Частота тока: 50 Гц</li>
<li>Цвет: черный</li>
</ul>",373457,,220 В,0.9 кВт,,,,2.85 кг,1,280x280x280 мм,0,https://entero.ru/manuals/501597/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20GALAXY%20LINE%20GL2641.pdf;https://entero.ru/manuals/501598/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D0%B2.pdf,,,,Россия,Китай,5 л
https://cdn.entero.ru/mp@2x/bb/b4/bbb42ac871bff61aa11649395c1e5f33.jpg;https://cdn.entero.ru/mp@2x/7d/2b/7d2b380356e325e79bd149a7697686d4.jpg;https://cdn.entero.ru/mp@2x/e5/50/e550a9b6da06f968a4ed14edb9d74e06.jpg;https://cdn.entero.ru/mp@2x/dc/65/dc65c208e8617193cb65e9d95df06c95.jpg;https://cdn.entero.ru/mp@2x/c1/0d/c10da6165478a882d7a05e7ce9851a79.jpg;https://cdn.entero.ru/mp@2x/d4/f9/d4f92dd7ea2aaca4be5ff2cf7e1e4e13.jpg;https://cdn.entero.ru/mp@2x/5d/58/5d580158c6b66aac72b40c24a9d2ef25.jpg;https://cdn.entero.ru/mp@2x/48/d2/48d29301abb2d6037388d759d4c7eeee.jpg;https://cdn.entero.ru/mp@2x/de/ce/dece0d110138281920c1110e5e9a8282.jpg;https://cdn.entero.ru/mp@2x/60/e2/60e25200ea91cd05b6276cf718d37d72.jpg;https://cdn.entero.ru/mp@2x/62/a0/62a033f57019b030e91c653930e3a6c1.jpg;https://cdn.entero.ru/mp@2x/98/d1/98d160cc56d963b24575931faad6383e.jpg;https://cdn.entero.ru/mp@2x/41/76/41765934ba7717c539280b240899d213.jpg;https://cdn.entero.ru/mp@2x/89/82/898229bfe46b6dd3d121ca5b87b2ebed.jpg;https://cdn.entero.ru/mp@2x/a6/b8/a6b860827937e836b30b8cd8d8ff23da.jpg;https://cdn.entero.ru/mp@2x/86/13/8613918c7b5b37270e2c65c0642431d9.jpg;https://cdn.entero.ru/mp@2x/73/3c/733caf34d03165f27c5e5a7527e3a6ff.jpg;https://cdn.entero.ru/mp@2x/44/d1/44d19419cd1e07753a0cd0386b64fced.jpg;https://cdn.entero.ru/mp@2x/ac/65/ac65ff77ea449704e7086168ae087260.jpg,Мультиварка Hyundai HYMC-2401,Мультиварка Hyundai HYMC-2401,5730,RUB,Да,Hyundai,Бытовая техника,Техника для кухни,Мультиварки,https://entero.ru/item/373477,"<p>Мультиварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373477""><b class=""b"">Hyundai​ HYMC-2401 </b></a>предназначена для приготовления на пару, обжаривания, тушения, выпечки и варки различных продуктов в квартирах и частных домах. Модель оснащена электронным управлением, ЖК-дисплеем, сенсорными кнопками, удобной ручкой открытия и клапаном выпуска пара. Антипригарное покрытие чаши позволяет готовить с использованием минимального количества масла и сохраняет естественный вкус. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят чаша, насадка-пароварка, мерный стакан, глубокая ложка, плоская ложка и шнур питания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>30 программ</li>
<li>Функция разогрева</li>
<li>Время отсрочки старта до 24 ч</li>
<li>Возможность изменение времени приготовления блюд</li>
<li>Градуировка чаши</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота тока: от 50 до 60 Гц</li>
<li>Цвет: черный, серебристый</li>
</ul>",373477,,220 В,0.9 кВт,280 мм,265 мм,285 мм,3 кг,,,0,https://entero.ru/manuals/501870/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hyundai%20HYMC-2401.pdf,,,,Ю.Корея,Китай,5 л
https://cdn.entero.ru/mp@2x/df/f5/dff5490fbfd6ca17c72909ee22bffc87.jpg;https://cdn.entero.ru/mp@2x/a6/3a/a63ab6808fcb0cd3255643f342ccc43e.jpg;https://cdn.entero.ru/mp@2x/5e/94/5e9439bc892bc8e628f2e183a831b6ad.jpg;https://cdn.entero.ru/mp@2x/8e/65/8e65d5724adc4615b3bda4139cb439b4.jpg;https://cdn.entero.ru/mp@2x/79/37/79371836f463bace31099f0bdcf91c4c.jpg;https://cdn.entero.ru/mp@2x/85/18/8518d80f62d37c0df6f51860fdc2b006.jpg;https://cdn.entero.ru/mp@2x/fc/c3/fcc327ae41474d4f411fa7637f9c4359.jpg;https://cdn.entero.ru/mp@2x/bc/5c/bc5ce1de453908431194024afcb32181.jpg;https://cdn.entero.ru/mp@2x/d0/cb/d0cb8f36c284af8b5bbcd2d9dbc638ca.jpg,Мультиварка ENDEVER VITA 90,80287,6001,RUB,Да,,Бытовая техника,Техника для кухни,Мультиварки,https://entero.ru/item/373429,"<p>Мультиварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373429"">ENDEVER VITA 90</a></b> предназначена для приготовления на пару, обжаривания, тушения, выпечки и варки различных продуктов в квартирах и частных домах. Модель оснащена электронным кнопочным управлением и клапаном выпуска пара. Ручная регулировка времени приготовления гарантирует комфортную эксплуатацию. Программа «Мастер-повар» предназначена для приготовления любых блюд по заданным пользователем параметрам температуры и времени приготовления. </p>

<p>В комплект поставки входят съемный каплесборник для конденсата, съемная кастрюля, контейнер-пароварка, черпак для супа, ложка для крупы, мерный стакан и держатель для ложки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>42 автоматические программы</li>
<li>Отложенный старт до 24 ч</li>
<li>Автоподогрев до 12 часов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура программы ""Мастер-повар"": от 35 до 170 °С</li>
<li>Длина шнура: 1 м</li>
<li>Частота тока: 50 Гц</li>
<li>Цвет: черный, стальной</li>
</ul>",373429,,220 В,0.98 кВт,280 мм,265 мм,288 мм,2.7 кг,,,0,https://entero.ru/manuals/501466/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ENDEVER%20VITA%2090.pdf,,,,Швеция,Китай,5 л
https://cdn.entero.ru/mp@2x/08/d5/08d5ed915f9ca6fca68dd6ced66ce134.jpg;https://cdn.entero.ru/mp@2x/c9/7f/c97f620316f85a9c435bffa083d18515.jpg;https://cdn.entero.ru/mp@2x/ba/23/ba23295b75d63a549386cfa77b846a01.jpg;https://cdn.entero.ru/mp@2x/d1/af/d1af099b9ca2e99af82b6d15ee23c7c2.jpg;https://cdn.entero.ru/mp@2x/e1/6d/e16d75072558f3d68fc0ccb04fa9694b.jpg;https://cdn.entero.ru/mp@2x/68/e9/68e9d72c5c25f59b4cf5d6f301b7aefb.jpg;https://cdn.entero.ru/mp@2x/fd/43/fd43341c10705c79921a2dab2178e543.jpg;https://cdn.entero.ru/mp@2x/1a/52/1a52c0c5f8b735bdec28b0fcb6fba127.jpg;https://cdn.entero.ru/mp@2x/d1/8d/d18d295b95f76ae22c8d77bd17758187.jpg,Медленноварка ENDEVER VITA-113,90226,6262,RUB,Да,,Бытовая техника,Техника для кухни,Мультиварки,https://entero.ru/item/373434,"<p>Электрическая мультиварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373434"">ENDEVER VITA-113</a></b> предназначена для медленного приготовления пищи при низких температурах в течение длительного времени в квартирах и частных домах. Модель оснащена механическим управлением, индикатором питания, 3 режимами работы и собственным нагревательным элементом. Система внутреннего оборота горячего воздуха и конденсата воды создает эффект русской печи, благодаря чему возможно осуществление томления, запекания и тушения разнообразных блюд. Чашу можно мыть в посудомоечной машине. Антипригарное покрытие гарантирует простой уход. Корпус выполнен из нержавеющей стали, съемная толстостенная чаша - из керамики, прозрачная крышка - из закаленного стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина шнура: 1,1 м</li>
<li>Частота тока: 50 Гц</li>
</ul>",373434,,220 В,0.38 кВт,410 мм,310 мм,280 мм,6.2 кг,,,0,,,,,Швеция,Китай,8 л
https://cdn.entero.ru/mp@2x/84/24/842459315c7b560fc089071e308526b0.jpg;https://cdn.entero.ru/mp@2x/ee/3e/ee3e35f7b093ef6eaf0b5e3967759b2c.jpg;https://cdn.entero.ru/mp@2x/bf/a7/bfa7c0370398a7e2396bc64e942a6766.jpg;https://cdn.entero.ru/mp@2x/a6/fd/a6fdb82cd224c2cbd9abfa1b9655c3f8.jpg;https://cdn.entero.ru/mp@2x/86/4c/864c3e283b15a2549f01a1b2cd6f55c1.jpg;https://cdn.entero.ru/mp@2x/08/ec/08ecc23cfccbb784d11de0bdbebf492f.jpg;https://cdn.entero.ru/mp@2x/6a/29/6a29929111b134b65847ad38b64a479e.jpg;https://cdn.entero.ru/mp@2x/ca/0e/ca0e9b4dadd3ebdcd19f91c3020087c0.jpg;https://cdn.entero.ru/mp@2x/92/a0/92a03069c4b99c1fa8add5836b2fbfca.jpg;https://cdn.entero.ru/mp@2x/62/1f/621f019bcad79103775d2ae60c4f17e8.jpg;https://cdn.entero.ru/mp@2x/05/77/057724362d1cc4f4f2a6fcfe12a901ca.jpg;https://cdn.entero.ru/mp@2x/32/58/3258c8341975dfeeae4c2c7529f0032a.jpg;https://cdn.entero.ru/mp@2x/c4/6f/c46fdb61a352ca4997cf4374aa17544e.jpg;https://cdn.entero.ru/mp@2x/52/f5/52f53c4c6cbe4ead40d3312d565ed7de.jpg;https://cdn.entero.ru/mp@2x/16/3c/163c1edf9b0863acf16ce34a3c8a40cb.jpg;https://cdn.entero.ru/mp@2x/50/a7/50a7401cff873e74ae34695fa143962a.jpg;https://cdn.entero.ru/mp@2x/80/d1/80d180a7f7c289da8844dd0e70d31e10.jpg,Мультиварка Hyundai HYMC-1617,Мультиварка Hyundai HYMC-1617,6319,RUB,Да,Hyundai,Бытовая техника,Техника для кухни,Мультиварки,https://entero.ru/item/373474,"<p>Мультиварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373474""><b class=""b"">Hyundai​ HYMC-1617 </b></a>предназначена для приготовления на пару, обжаривания, тушения, выпечки и варки различных продуктов в квартирах и частных домах. Модель оснащена электромеханическим управлением, ЖК-дисплеем и удобной ручкой для переноски. Антипригарное покрытие чаши Daikin позволяет готовить с использованием минимального количества масла и сохраняет естественный вкус. Корпус выполнен из пластика и металла.</p>

<p>В комплект поставки входят чаша, насадка-пароварка, мерный стакан, глубокая ложка и плоская ложка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>16 программ</li>
<li>Функция «Мультиповар» для ручной настройки параметров</li>
<li>Поддержание температуры</li>
<li>Таймер отсрочки старта до 24 ч.</li>
<li>Режим разогрева</li>
<li>Градуировка чаши</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: черный, серебристый</li>
</ul>",373474,,,0.9 кВт,,,,,,,0,https://entero.ru/manuals/501784/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hyundai%20HYMC-1617.pdf;https://entero.ru/manuals/501786/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D0%B2.pdf,,,,Ю.Корея,Китай,5 л
https://cdn.entero.ru/mp@2x/3e/54/3e547074f6cdd8adfb290c4b5a1bb3e2.jpg;https://cdn.entero.ru/mp@2x/50/f3/50f304e745b13fbf95fcc13dad887da6.jpg;https://cdn.entero.ru/mp@2x/f0/27/f02770dbbe57d90d7957f61a4f8c7910.jpg;https://cdn.entero.ru/mp@2x/48/57/48572781b81a089ac13172ca6cafd13e.jpg;https://cdn.entero.ru/mp@2x/fa/26/fa26958ac5398253ce0690c030b70b5f.jpg;https://cdn.entero.ru/mp@2x/47/42/47420383cbf5c26abeebdca30d76f5dc.jpg;https://cdn.entero.ru/mp@2x/f1/1a/f11a40fe691852a950904b3ae73cdb4f.jpg;https://cdn.entero.ru/mp@2x/e6/3e/e63e96b6a9b9b66794be0fb41517fb96.jpg;https://cdn.entero.ru/mp@2x/11/54/1154a0ab1e076bc911c938977ef90392.jpg;https://cdn.entero.ru/mp@2x/34/75/3475963764a3ed25de31cd9517730f09.jpg,Мультиварка ENDEVER VITA 95,80248,6579,RUB,Да,,Бытовая техника,Техника для кухни,Мультиварки,https://entero.ru/item/373427,"<p>Мультиварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373427"">ENDEVER VITA 95</a></b> предназначена для приготовления на пару, обжаривания, тушения, выпечки и варки различных продуктов в квартирах и частных домах. Модель оснащена электронным кнопочным управлением и клапаном выпуска пара. Ручная регулировка времени приготовления гарантирует комфортную эксплуатацию. Корпус выполнен из металла.</p>

<p>В комплект поставки входят съемный каплесборник для конденсата, съемная кастрюля, контейнер-пароварка, черпак для супа, ложка для крупы, мерный стакан 120 мл, держатель для ложки и книга рецептов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>45 автоматических программ</li>
<li>Отложенный старт до 24 ч</li>
<li>Автоподогрев до 24 часов</li>
<li>Чаша с мерной разметкой</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина шнура: 1,1 м</li>
<li>Частота тока: 50 Гц</li>
<li>Цвет: черный, стальной</li>
</ul>",373427,,220 В,1 кВт,280 мм,270 мм,265 мм,2.8 кг,,,0,https://entero.ru/manuals/501464/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ENDEVER%20VITA%2095.pdf,,,,Швеция,Китай,5 л
https://cdn.entero.ru/mp@2x/b9/72/b97206fdd08099f17e3864e244f6be59.jpg;https://cdn.entero.ru/mp@2x/0f/20/0f2077633c2e5f815d5535b0cb5fda07.jpg;https://cdn.entero.ru/mp@2x/7a/b8/7ab89bbd532ab28068a72262c9bc2f0b.jpg;https://cdn.entero.ru/mp@2x/1c/eb/1ceb0f846ee41970b9aff410fee6f473.jpg;https://cdn.entero.ru/mp@2x/80/85/8085d0c1df4bc17c8215900bb1ecf19c.jpg;https://cdn.entero.ru/mp@2x/9b/27/9b27e5103654f1535173a37a97489190.jpg;https://cdn.entero.ru/mp@2x/0f/00/0f0015b5f3966c1b4cf06af13c82c715.jpg;https://cdn.entero.ru/mp@2x/ce/9b/ce9bd8b2accfd293897560c7d5af4005.jpg,Мультиварка GALAXY LINE GL2646 черная,гл2646лчерн,6585,RUB,Да,,Бытовая техника,Техника для кухни,Мультиварки,https://entero.ru/item/373455,"<p>Мультиварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373455""><b class=""b"">GALAXY LINE GL2646 </b></a>предназначена для приготовления на пару, обжаривания, тушения, выпечки и варки различных продуктов в квартирах и частных домах. Модель оснащена электронным управлением, светодиодным дисплеем, таймером, выпускным клапаном и съемным контейнером для сбора конденсата. Антипригарное покрытие чаши позволяет готовить с использованием минимального количества масла и сохраняет естественный вкус.</p>

<p>В комплект поставки входят съемный контейнер для сбора конденсата, съемная чаша, емкость для приготовления на пару, ложка, мерный стакан, половник и книга рецептов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>31 программа</li>
<li>Отложенный старт до 24 часов</li>
<li>Система равномерного нагрева</li>
<li>Подогрев готового блюда</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина шнура: 0,75 м</li>
<li>Частота тока: 50 Гц</li>
<li>Цвет: черный</li>
</ul>",373455,,220 В,1.2 кВт,,,,3.2 кг,1,295x295x305 мм,0,https://entero.ru/manuals/501582/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20GALAXY%20LINE%20GL2646.pdf;https://entero.ru/manuals/501583/%D0%9A%D0%BD%D0%B8%D0%B3%D0%B0%20%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D0%B2.pdf,,,,Россия,Китай,5 л
