Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Материал,Цвет,Количество скоростей,Реверс,Количество насадок
https://cdn.entero.ru/mp@2x/80/28/80280e33b426be59ce2dc6d1d3a948de.jpg,Мясорубка Gemlux GL-MG500SS,Мясорубка Gemlux GL-MG500SS,17525,RUB,Да,Gemlux,Бытовая техника,Техника для кухни,Мясорубки,https://entero.ru/item/88097,"<p>Мясорубка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88097"">Gemlux GL-MG500SS</a></b> используется в частных домах и квартирах для переработки мяса и приготовления фарша и колбасных изделий. Модель оснащена функцией реверса, которая позволяет в случае блокировки шнека продуктом освободить его без необходимости разбирать и очищать прибор. Корпус выполнен из алюминия.</p>

<p>В комплект поставки входят съемный лоток, 1 нож, 3 решетки c Ø отверстий 3, 4.5 и 8 мм, толкатель и 2 насадки для приготовления колбасок.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: 2.7 кг/мин.</li>
<li>Время непрерывной работы: 10 мин.</li>
<li>Время перерыва между работой: 30 мин.</li>
<li>Напряжение: 220 В</li>
<li>Мощность:
<ul>
<li>Номинальная: 0,5 кВт</li>
<li>Пиковая: 1 кВт</li>
</ul>
</li>
<li>Габариты: 170х390х365 мм</li>
<li>Вес: 6,8 кг</li>
</ul>",88097,,,,,,,,,0,https://entero.ru/manuals/77504/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Gemlux.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240394&hd=2&autoplay=0,,,,,,,,,
https://cdn.entero.ru/mp@2x/02/0a/020a68c58183bd47b03fd9d8459471fc.jpg;https://cdn.entero.ru/mp@2x/16/be/16be21e233b4e574192910ca78a33269.jpg;https://cdn.entero.ru/mp@2x/05/da/05dad3634dce08d182074f08b5548006.jpg;https://cdn.entero.ru/mp@2x/34/1a/341af4d9c34d19294a26c73681877352.jpg;https://cdn.entero.ru/mp@2x/d4/f0/d4f09307765c03122b2ad1b300879432.jpg;https://cdn.entero.ru/mp@2x/34/95/34957439aa9f03c81c4e023d58568b5a.jpg,Мясорубка электрическая VIATTO VA-MG191,Мясорубка электрическая VIATTO VA-MG191,11201,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Мясорубки,https://entero.ru/item/340119,"<p>Электрическая мясорубка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/340119"">VIATTO VA-MG191</a></b> используется на предприятиях общественного питания и торговли для измельчения мяса, птицы и рыбы на фарш, а также повторного измельчения котлетной массы. Модель оснащена функцией реверса. Корпус выполнен из алюминия.</p>

<p>В комплект поставки входят 4 насадки для приготовления колбас.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр ячеек насадок:
<ul>
<li>Формовочная: 3,5 мм</li>
<li>Большая: 2 мм</li>
<li>Средняя: 1,8 мм</li>
<li>Малая: 1,4 мм</li>
</ul>
</li>
</ul>",340119,220 В,0.6 кВт,340 мм,150 мм,330 мм,6.5 кг,1,380x300x230 мм,234,https://entero.ru/manuals/408184/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/418359/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-MG191.doc;https://entero.ru/manuals/462307/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-MG191.pdf;https://entero.ru/manuals/462308/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,6.2 кг,Китай,Китай,1.8 кг/мин.,,,,Да,4
https://cdn.entero.ru/mp@2x/90/8d/908d92beca6bd0c27761691f4c0d2d10.jpg;https://cdn.entero.ru/mp@2x/7c/d6/7cd682ae40aab6468d4e980db3a1a52d.jpg;https://cdn.entero.ru/mp@2x/68/97/6897820c51644e25de3bbbc1e3b1307e.jpg;https://cdn.entero.ru/mp@2x/64/b3/64b3169e6e7999ef0715e77ba75d2706.jpg;https://cdn.entero.ru/mp@2x/b7/ea/b7ea3ea7d70c814a4e3b07202547868d.jpg;https://cdn.entero.ru/mp@2x/ce/e3/cee3ec41996de447d0e0fc407a8b2d36.jpg;https://cdn.entero.ru/mp@2x/d4/e6/d4e69acb7d1d040a946da5d1f36cd37b.jpg;https://cdn.entero.ru/mp@2x/3b/25/3b25a2437fcfc72c8951b676f7ab9253.jpg;https://cdn.entero.ru/mp@2x/d4/27/d42786cb40ba5390d4f801f72df37751.jpg;https://cdn.entero.ru/mp@2x/fe/cc/fecc0dbe7d6de84818b982b11542e709.jpg,Мясорубка электрическая Libhof MG-800B,libmg800b,15799,RUB,Да,,Бытовая техника,Техника для кухни,Мясорубки,https://entero.ru/item/302806,"<p>Электрическая мясорубка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/302806"">Libhof MG-800B</a></b> предназначена для измельчения мяса и рыбы при производстве фарша в частных домах и квартирах. Модель оснащена электронной панелью управления. Корпус выполнен из металла, нож - из нержавеющей стали. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>Корпус с моторным блоком</li>
<li>Загрузочный блок</li>
<li>Кольцевая гайка</li>
<li>Нож</li>
<li>Шнек</li>
<li>Решетка с отверстиями 5 мм</li>
<li>Решетка с отверстиями 8 мм</li>
<li>Насадка кеббе</li>
<li>Насадка для колбас</li>
<li>Толкатель</li>
<li>Крышка лотка</li>
<li>Конический измельчитель для шинковки (3 шт.)</li>
<li>Томатная соковыжималка</li>
<li>Инструкция</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Система реверса</li>
<li>Отключение при попадании твердых частиц</li>
<li>Отключение при перегреве</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество программ приготовления: 5 </li>
<li>Макс. уровень шума: 90 дБ </li>
</ul>",302806,220 В,от 0.8 до 1.613 кВт,370 мм,170 мм,311 мм,6.85 кг,1,390x265x345 мм,0,https://entero.ru/manuals/362759/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Libhof%20MG-800B.pdf,16988,,6 кг,,Китай,2 кг/мин.,"нерж. сталь, металл",черный,2,Да,8
https://cdn.entero.ru/mp@2x/4d/bb/4dbbe4508ed9564e4317dde2e0f6a814.jpg;https://cdn.entero.ru/mp@2x/15/30/1530b4ae23d6336897b5cd0e70ab2098.jpg;https://cdn.entero.ru/mp@2x/67/47/6747f536881825bf1fb2db6d945fe253.jpg;https://cdn.entero.ru/mp@2x/a1/0c/a10ca9e0a0c5b317b36b8583953b05a3.jpg,Мясорубка CASO FW 2000 Black,Мясорубка CASO FW 2000 Black,19026,RUB,Да,CASO,Бытовая техника,Техника для кухни,Мясорубки,https://entero.ru/item/232524,"<p>Мясорубка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/232524"">CASO FW 2000 Black</a> </b>используется в частных домах и квартирах для измельчения мяса и рыбы при производстве фарша. Модель оснащена мощным двигателем, 2 уровнями скорости и функцией реверса. Корпус и поддон выполнены из алюминия, нож - из нержавеющей стали, шестерни - металлические.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Подрезной нож</li>
<li>3 решетки</li>
<li>Насадка для колбас</li>
<li>Насадка для печенья</li>
<li>Загрузочный поддон</li>
<li>Толкатель</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Мощность:
<ul>
<li>Номинальная: 0,8 кВт</li>
<li>Максимальная: 2 кВт</li>
</ul>
</li>
<li>Диаметр отверстий решеток: 3 / 5 / 8 мм</li>
</ul>",232524,220 В,2 кВт,370 мм,180 мм,310 мм,6.6 кг,1,444x216x372 мм,0,https://entero.ru/manuals/279589/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20FW%202000%20Black.pdf,19819,,5.5 кг,Германия,Китай,2.5 кг/мин.,металл,черный,2,Да,
https://cdn.entero.ru/mp@2x/e2/a5/e2a5e846c8ed6310c30c9c55cd82d6fd.jpg;https://cdn.entero.ru/mp@2x/a1/f8/a1f88d6ea3608bb1704e28f98af229f0.jpg;https://cdn.entero.ru/mp@2x/3c/2c/3c2c0b7027d3e7438880b70bcd707c79.jpg;https://cdn.entero.ru/mp@2x/d6/80/d680a391efec6de58393fa73de4d27ac.jpg;https://cdn.entero.ru/mp@2x/15/d6/15d604d61bce627d9a4c706cd1161417.jpg;https://cdn.entero.ru/mp@2x/a1/2b/a12bd1c7c6ff169bede7b2ca27d3974e.jpg;https://cdn.entero.ru/mp@2x/4a/2b/4a2bfde4a20a5316d12ffa6b37e7e755.jpg;https://cdn.entero.ru/mp@2x/02/d9/02d9db9cbfda3f48d78ca7233053f9b8.jpg;https://cdn.entero.ru/mp@2x/41/03/4103d44260f5ac462e56758ff817c696.jpg,Мясорубка Steba MG 3000,Мясорубка Steba MG 3000,26059,RUB,Да,,Бытовая техника,Техника для кухни,Мясорубки,https://entero.ru/item/266280,"<p>Мясорубка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266280"">Steba MG 3000</a></b> предназначена для измельчения мяса и рыбы при производстве фарша в частных домах и квартирах. Модель оснащена высокопроизводительным двигателем и большим лотком для продуктов с крышкой. Корпус, шнек и редуктор выполнены из металла, нож - из высококачественной нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>3 перфорированных диска</li>
<li>3 насадки для колбас разного размера</li>
<li>Насадка для кеббе</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Диаметр выходного отверстия: 66 мм</li>
<li>Диаметр отверстий решеток: 3 / 5 / 8 мм</li>
<li>Длина кабеля питания: 1,5 м</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Овощерезка <a href=""https://entero.ru/item/374867"">AC 22</a></li>
</ul>",266280,220 В,от 1.2 до 3 кВт,320 мм,195 мм,415 мм,,,,0,,28325,,7 кг,Германия,Китай,,металл,серебро,2,Да,
https://cdn.entero.ru/mp@2x/e0/2e/e02e1c6267a2cf27c9ed97fd43095a3b.jpg;https://cdn.entero.ru/mp@2x/7e/9d/7e9da151d0e6f8f7c85234894538698e.jpg;https://cdn.entero.ru/mp@2x/9a/2b/9a2b676979662d6e26ab188fb6a9de92.jpg;https://cdn.entero.ru/mp@2x/c2/b1/c2b14aa37282078e91e237986055906c.jpg;https://cdn.entero.ru/mp@2x/46/ea/46eacb5071803e43af9370e4659e4aa6.jpg;https://cdn.entero.ru/mp@2x/89/7b/897b0510409db93a05c37e1a38f24ce3.jpg,Мясорубка электрическая Vatten VG25/800/N черная,Мясорубка электрическая Vatten VG25/800/N черная,4848,RUB,Да,Vatten,Бытовая техника,Техника для кухни,Мясорубки,https://entero.ru/item/346642,"<p>Электрическая мясорубка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346642""><b class=""b"">Vatten VG25/800/N</b></a> используется в домашних условиях для измельчения мяса и рыбы при производстве фарша. Модель оснащена электродвигателем, кабелем питания с вилкой и 3-позиционным переключателем колыбельного типа. Корпус выполнен из металла с черной поверхностью, шестерни – из металла.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Насадки:
<ul>
<li>2-секционная для приготовления кеббе</li>
<li>Конусовидная для приготовления колбасок, сосисок или сарделек</li>
<li>Для шинкования и нарезки овощей</li>
</ul>
</li>
<li>3 дисковые решетки для мелкой, средней и крупной рубки</li>
<li>Рабочий блок</li>
<li>Фиксирующая гайка рабочего блока </li>
<li>Шнек</li>
<li>Крестообразный нож</li>
<li>Загрузочный лоток</li>
<li>Толкатель</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Функция реверса для удобства извлечения жилистой ткани</li>
<li>Защита от перегрева</li>
<li>Защита от перегрузки</li>
<li>Быстрые сборка и демонтаж компонентов без необходимости использования инструментов</li>
<li>Рукоятка для удобства транспортировки</li>
<li>Устойчивая база с нескользящими опорами</li>
<li>Простота управления и технического обслуживания</li>
<li>Высококачественные материалы и комплектующие для длительного срока эксплуатации</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная длительность непрерывной работы: 10 мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Насадка для приготовления томатного сока</li>
</ul>",346642,220 В,от 0.3 до 0.8 кВт,240 мм,225 мм,376 мм,,,,0,https://entero.ru/manuals/425474/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vatten%20VG25_800_N.pdf;https://entero.ru/manuals/425481/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,5912,,,,Китай,1.3 кг/мин.,металл,черный,1,Да,4
https://cdn.entero.ru/mp@2x/16/65/166547f9bc7b0e11ade4b27396aa8581.jpg;https://cdn.entero.ru/mp@2x/7b/e4/7be4e29dbeb7687e874e702d80a0010a.jpg;https://cdn.entero.ru/mp@2x/7b/f6/7bf6c1c3298f96cb235e1e2e2184f50a.jpg;https://cdn.entero.ru/mp@2x/d9/86/d986e9b1deab21afef83727a043dcbd4.jpg;https://cdn.entero.ru/mp@2x/5e/da/5eda0294b64bbc69e762209ae494b141.jpg;https://cdn.entero.ru/mp@2x/39/17/391790ea4f4d5c52caf5d3c633a23794.jpg,Мясорубка электрическая Vatten VG25/800/W белая,Мясорубка электрическая Vatten VG25/800/W белая,4848,RUB,Да,Vatten,Бытовая техника,Техника для кухни,Мясорубки,https://entero.ru/item/346643,"<p>Электрическая мясорубка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346643""><b class=""b"">Vatten VG25/800/W</b></a> используется в домашних условиях для измельчения мяса и рыбы при производстве фарша. Модель оснащена электродвигателем, кабелем питания с вилкой и 3-позиционным переключателем колыбельного типа. Корпус выполнен из металла с белой поверхностью, шестерни – из металла.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Насадки:
<ul>
<li>2-секционная для приготовления кеббе</li>
<li>Конусовидная для приготовления колбасок, сосисок или сарделек</li>
<li>Для шинкования и нарезки овощей</li>
</ul>
</li>
<li>3 дисковые решетки для мелкой, средней и крупной рубки</li>
<li>Рабочий блок</li>
<li>Фиксирующая гайка рабочего блока </li>
<li>Шнек</li>
<li>Крестообразный нож</li>
<li>Загрузочный лоток</li>
<li>Толкатель</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Функция реверса для удобства извлечения жилистой ткани</li>
<li>Защита от перегрева</li>
<li>Защита от перегрузки</li>
<li>Быстрые сборка и демонтаж компонентов без необходимости использования инструментов</li>
<li>Рукоятка для удобства транспортировки</li>
<li>Устойчивая база с нескользящими опорами</li>
<li>Простота управления и технического обслуживания</li>
<li>Высококачественные материалы и комплектующие для длительного срока эксплуатации</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная длительность непрерывной работы: 10 мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Насадка для приготовления томатного сока</li>
</ul>",346643,220 В,от 0.3 до 0.8 кВт,240 мм,225 мм,376 мм,,,,0,https://entero.ru/manuals/425476/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vatten%20VG25_800_W.pdf;https://entero.ru/manuals/425485/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,,,Китай,1.3 кг/мин.,,"белый, черный",1,Да,4
https://cdn.entero.ru/mp@2x/a8/bb/a8bb0471f47392f83751e93e231481bc.jpg;https://cdn.entero.ru/mp@2x/04/71/04712b134f5fd9290ea3d972e9a94e5e.jpg;https://cdn.entero.ru/mp@2x/a5/b4/a5b4220403680dd04b4703a0f7401ea1.jpg;https://cdn.entero.ru/mp@2x/33/1b/331b07f171ec1fc7889bd6b3bdaf3bd1.jpg;https://cdn.entero.ru/mp@2x/ae/cb/aecb1a878440086b27c91d84e2ab3ef8.jpg;https://cdn.entero.ru/mp@2x/0a/9d/0a9db52d72d629e9c1ae387416e4da6c.jpg,Мясорубка электрическая Vatten VG26/1000/S,Мясорубка электрическая Vatten VG26/1000/S,5332,RUB,Да,Vatten,Бытовая техника,Техника для кухни,Мясорубки,https://entero.ru/item/346645,"<p>Электрическая мясорубка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346645"">Vatten VG26/1000/S</a></b> используется в домашних условиях для измельчения мяса и рыбы при производстве фарша. Модель оснащена мощным электродвигателем, кабелем питания с вилкой и 3-позиционным переключателем колыбельного типа. Корпус выполнен из металла с черной поверхностью и серебристой вставкой, шестерни – из металла.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Насадки:
<ul>
<li>2-секционная для приготовления кеббе</li>
<li>Конусовидная для приготовления колбасок, сосисок или сарделек</li>
<li>3 терки для шинкования и нарезки овощей</li>
</ul>
</li>
<li>3 дисковые решетки для мелкой, средней и крупной рубки</li>
<li>Рабочий блок</li>
<li>Фиксирующая гайка рабочего блока </li>
<li>Шнек</li>
<li>Крестообразный нож</li>
<li>Загрузочный лоток</li>
<li>Толкатель</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Функция реверса для удобства извлечения жилистой ткани</li>
<li>Защита от перегрева</li>
<li>Защита от перегрузки</li>
<li>Быстрые сборка и демонтаж компонентов без необходимости использования инструментов</li>
<li>Устойчивая база с нескользящими опорами</li>
<li>Простота управления и технического обслуживания</li>
<li>Высококачественные материалы и комплектующие для длительного срока эксплуатации</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная длительность непрерывной работы: 10 мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Насадка для приготовления томатного сока</li>
</ul>",346645,220 В,от 0.2 до 1 кВт,260 мм,275 мм,208 мм,,,,0,https://entero.ru/manuals/425478/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vatten%20VG26_1000_S.pdf;https://entero.ru/manuals/425487/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,,,Китай,1.3 кг/мин.,металл,"черный, серебро",1,Да,7
https://cdn.entero.ru/mp@2x/46/f0/46f081261d5116ddd89a744eef7b1b4b.jpg;https://cdn.entero.ru/mp@2x/3d/36/3d368c035f51b08c3c22f44b653e343c.jpg;https://cdn.entero.ru/mp@2x/84/a6/84a6c4b3c0f988419697c6917c5734a9.jpg;https://cdn.entero.ru/mp@2x/5f/61/5f61cca39378d1a89befbac6b7f3b278.jpg;https://cdn.entero.ru/mp@2x/4a/a0/4aa0a2c1303d645376f06ba1e02db412.jpg;https://cdn.entero.ru/mp@2x/a2/ee/a2eebadd2406f1424e850d4e59b3c125.jpg;https://cdn.entero.ru/mp@2x/04/07/04078cc04f386760470aa7a483f0cbe6.jpg,Мясорубка электрическая Vatten VG191/2000/M,Мясорубка электрическая Vatten VG191/2000/M,9902,RUB,Да,Vatten,Бытовая техника,Техника для кухни,Мясорубки,https://entero.ru/item/346644,"<p>Электрическая мясорубка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346644"">Vatten VG191/2000/M</a></b> используется в домашних условиях для измельчения мяса и рыбы при производстве фарша. Модель оснащена мощным электродвигателем, кабелем питания с вилкой и кнопочной панелью управления. Корпус выполнен из металла с черной поверхностью, шестерни и редуктор – из металла.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Насадки:
<ul>
<li>2-секционная для приготовления кеббе</li>
<li>3 конусовидные с фиксатором для приготовления колбасок, сосисок или сарделек</li>
<li>3 терки для шинкования и нарезки овощей</li>
</ul>
</li>
<li>3 дисковые решетки для мелкой, средней и крупной рубки</li>
<li>Рабочий блок</li>
<li>Фиксирующая гайка рабочего блока </li>
<li>Шнек</li>
<li>Крестообразный нож</li>
<li>Загрузочный лоток</li>
<li>Толкатель</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Функция реверса для удобства извлечения жилистой ткани</li>
<li>Защита от перегрева</li>
<li>Защита от перегрузки</li>
<li>Быстрые сборка и демонтаж компонентов без необходимости использования инструментов</li>
<li>Устойчивая база с нескользящими опорами</li>
<li>Простота управления и технического обслуживания</li>
<li>Высококачественные материалы и комплектующие для длительного срока эксплуатации</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная длительность непрерывной работы: 10 мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Насадка для приготовления томатного сока</li>
</ul>",346644,220 В,от 0.6 до 2 кВт,245 мм,500 мм,270 мм,,,,0,https://entero.ru/manuals/425477/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vatten%20VG191_2000_M.pdf;https://entero.ru/manuals/425486/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,,,Китай,1.8 кг/мин.,металл,черный,1,Да,9
https://cdn.entero.ru/mp@2x/34/83/348364cf6ded46b624124fb1e0cdc26a.jpg;https://cdn.entero.ru/mp@2x/cf/e3/cfe37371bc07218e6d83062ce7fdf9e5.jpg;https://cdn.entero.ru/mp@2x/fc/47/fc472af283dadf4696f9829aaecfd24d.jpg;https://cdn.entero.ru/mp@2x/8e/96/8e96eeed01a19bf40361b8d59cdde0f2.jpg;https://cdn.entero.ru/mp@2x/49/87/49876343cf9ae5425293e4328a3147d4.jpg;https://cdn.entero.ru/mp@2x/7e/b1/7eb10452ef4e7a7b47902522cfe77732.jpg,Мясорубка Geniard GA-MG191,Мясорубка Geniard GA-MG191,9934,RUB,Да,,Бытовая техника,Техника для кухни,Мясорубки,https://entero.ru/item/375891,"<p>Мясорубка <b><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375891"">Geniard GA-MG191</a></b> измельчает мясо и рыбу при производстве фарша и колбасок, а также шинковки овощей в домашних условиях. Модель оснащена интуитивным управлением. Функция обратного хода реверс позволяет вернуть застрявший кусок в загрузочное отверстие для изъятия или повторной попытки переработки. Специальные резиновые ножки обеспечивают надежную фиксацию во время работы. Корпус выполнен из прочного ABS-пластика и литого алюминия, решетки - из нержавеющей стали, коробка передач - из металла.</p>

<p>В комплект поставки входят 4 решетки для фарша, 4 насадки для приготовления колбас, 3 насадки-терки для овощей и прозрачный контейнер для фарша.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 в 1: мясорубка и овощерезка</li>
<li>Кованый нож</li>
<li>Низкий уровень шума</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр:
<ul>
<li>Формовочная насадка: 35 мм</li>
<li>Для колбасок:
<ul>
<li>Большая: 20 мм</li>
<li>Средняя: 18 мм</li>
<li>Маленькая: 14 мм</li>
</ul>
</li>
</ul>
</li>
<li>Уровень шума: 70 дБ</li>
</ul>",375891,220 В,0.6 кВт,340 мм,150 мм,330 мм,6.2 кг,1,460x258x230 мм,125,https://entero.ru/manuals/513960/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Geniard%20GA-MG191.pdf;https://entero.ru/manuals/513961/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/513962/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Geniard%20GA-MG191.pdf,,,,Россия,Китай,1.8 кг/мин.,,,,Да,7
