Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Видео,Вес (без упаковки),Страна-производитель,Максимальная загрузка
https://cdn.entero.ru/mp@2x/03/5b/035b2cd5866ecc48fafe2a78675dcc08.jpg;https://cdn.entero.ru/mp@2x/20/9a/209a5376a11498fef25096f3d30a2251.jpg;https://cdn.entero.ru/mp@2x/6f/15/6f15e6feb163e3c87f758373d176329e.jpg;https://cdn.entero.ru/mp@2x/55/e5/55e5776dc3b701bf66f404d0b3a242c5.jpg;https://cdn.entero.ru/mp@2x/f8/88/f888be9c43cab78cacadbbdd31029568.jpg;https://cdn.entero.ru/mp@2x/13/cf/13cf517d7d0c43581e066d67fcdd9785.jpg,Аппарат для попкорна VIATTO VA-PM88B черный,164175,1839,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Попкорницы,https://entero.ru/item/191827,"<p>Аппарат для попкорна <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/191827""><b class=""b"">VIATTO VA-PM88B</b></a> используется в домашних условиях для приготовления воздушной кукурузы без использования масла с различными вкусовыми добавками. Корпус выполнен из пластика, чаша - из алюминия, крышка - из прозрачного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 12 стаканов по 240 мл</li>
<li>Максимальное время неприрывной работы: 5 мин.</li>
<li>Время перерыва в работе: 10 мин.</li>
<li>Время приготовления порции: от 3 до 5 мин.</li>
<li>Габариты в упаковке: 150x200x320 мм</li>
</ul>",191827,220 В,1.2 кВт,140 мм,190 мм,315 мм,1.1 кг,1,150x200x320 мм,0,https://entero.ru/manuals/223553/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/432432/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-PM88B.jpg;https://entero.ru/manuals/432434/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/463223/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-PM88B%20%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9.pdf,,1 кг,Китай,100 гр
https://cdn.entero.ru/mp@2x/5e/56/5e560582aa09cfeb1d27c3ba73fc7800.jpg;https://cdn.entero.ru/mp@2x/d5/96/d5966cc07faacdc59632d592d3d6371f.jpg;https://cdn.entero.ru/mp@2x/10/ba/10ba7bd18e6f46cdcd86f7dec9384fb4.jpg;https://cdn.entero.ru/mp@2x/7b/30/7b302e7e998f8a73e0c9e23985a208d5.jpg;https://cdn.entero.ru/mp@2x/da/a2/daa2f4a206f3a589c99d308e508c4fc3.jpg;https://cdn.entero.ru/mp@2x/e5/4a/e54a3dda45ae4112ba28dc16aa28c60c.jpg,Аппарат для попкорна VIATTO VA-PM88R красный,164173,1499,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Попкорницы,https://entero.ru/item/191826,"<p>Аппарат для попкорна <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/191826""><b class=""b"">VIATTO VA-PM88R</b></a> используется в домашних условиях для приготовления воздушной кукурузы без использования масла с различными вкусовыми добавками. Корпус выполнен из пластика, чаша - из алюминия, крышка - из прозрачного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 12 стаканов по 240 мл</li>
<li>Максимальное время неприрывной работы: 5 мин.</li>
<li>Время перерыва в работе: 10 мин.</li>
<li>Время приготовления порции: от 3 до 5 мин.</li>
<li>Габариты в упаковке: 150x200x320 мм</li>
</ul>",191826,220 В,1.2 кВт,140 мм,190 мм,315 мм,1.1 кг,1,150x200x320 мм,694,https://entero.ru/manuals/223552/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/432435/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-PM88R.jpg;https://entero.ru/manuals/432438/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/463222/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-PM88R%20%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9.pdf,,1 кг,Китай,100 гр
https://cdn.entero.ru/mp@2x/3d/a0/3da0b3d8720b6c0b2284c229739c861e.jpg;https://cdn.entero.ru/mp@2x/48/35/48353854e66ee9515e10764af1f126b2.jpg;https://cdn.entero.ru/mp@2x/53/20/5320d3824130da3433d2f0a0c4bce264.jpg;https://cdn.entero.ru/mp@2x/d9/77/d97770d980d8f996ff25fbe8ffbf2af6.jpg;https://cdn.entero.ru/mp@2x/77/fa/77fad617de710c137a43c872dd6f9256.jpg,Аппарат для попкорна VIATTO VA-PM999R красный,164176,4466,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Попкорницы,https://entero.ru/item/191828,"<p>Аппарат для попкорна <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/191828""><b class=""b"">VIATTO VA-PM999R</b></a> используется в домашних условиях для приготовления воздушной кукурузы с различными вкусовыми добавками. Корпус выполнен из пластика, чаша - из алюминия с антипригарным покрытием, крышка - из прозрачного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 24 стаканов по 240 мл / цикл</li>
<li>Время приготовления: от 5 до 10 мин.</li>
</ul>",191828,220 В,0.8 кВт,320 мм,290 мм,190 мм,3 кг,1,328x308x200 мм,0,https://entero.ru/manuals/433043/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-PM999R.jpg;https://entero.ru/manuals/223554/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/432447/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/463224/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-PM999R%20%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9.pdf,,2.75 кг,Китай,130 гр
https://cdn.entero.ru/mp@2x/10/8e/108eab1e8775981f0877d2e60cd45f8b.jpg;https://cdn.entero.ru/mp@2x/3c/f0/3cf0454edb5a5ac2d92fa638c043ce79.jpg;https://cdn.entero.ru/mp@2x/42/31/4231aabb7e6895b2a394809720302b7e.jpg,Аппарат для попкорна VIATTO VA-PM918W,Аппарат для попкорна VIATTO VA-PM918W,1480,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Попкорницы,https://entero.ru/item/346501,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346501"">VIATTO VA-PM918W</a></b> используется в домашних условиях для приготовления воздушной кукурузы без использования масла с различными вкусовыми добавками. Внутренняя поверхность чаши оснащена антипригарным покрытием. Корпус выполнен из пластика, чаша - из алюминия, крышка - из прозрачного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 24 стаканов по 240 мл</li>
<li>Время приготовления порции: от 5 до 10 мин.</li>
</ul>",346501,220 В,0.8 кВт,220 мм,148 мм,337 мм,3 кг,1,250x180x370 мм,0,https://entero.ru/manuals/433039/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-PM918W.jpg;https://entero.ru/manuals/424840/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20VIATTO.pdf,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456240944&hash=c251675963842aa6,2.75 кг,Китай,130 гр
https://cdn.entero.ru/mp@2x/14/63/14638bb30caac6c038c8f27a03b552ee.jpg;https://cdn.entero.ru/mp@2x/aa/79/aa791dafad1435f0f9c637177f3d22a0.jpg;https://cdn.entero.ru/mp@2x/69/c8/69c833856966dce1ee774534afb6cd97.jpg;https://cdn.entero.ru/mp@2x/9f/6c/9f6c8481bdb69692db448398dad25e74.jpg;https://cdn.entero.ru/mp@2x/37/89/3789e2e557816151d9b7925695a4dc26.jpg,Аппарат для попкорна VIATTO VA-PM999B черный,Аппарат для попкорна VIATTO VA-PM999B черный,4466,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Попкорницы,https://entero.ru/item/346502,"<p>Аппарат для попкорна <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346502""><b class=""b"">VIATTO VA-PM999B</b></a> используется в домашних условиях для приготовления воздушной кукурузы с различными вкусовыми добавками. Корпус выполнен из пластика, чаша - из алюминия с антипригарным покрытием, крышка - из прозрачного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 24 стаканов по 240 мл / цикл</li>
<li>Время приготовления: от 5 до 10 мин.</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого цвета.</span></em></p>",346502,220 В,0.8 кВт,320 мм,290 мм,190 мм,3 кг,1,328x308x200 мм,23,https://entero.ru/manuals/424841/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20VIATTO.pdf;https://entero.ru/manuals/432477/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/462291/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-PM999B%20%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B9.pdf;https://entero.ru/manuals/462292/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,2.75 кг,Китай,130 гр
https://cdn.entero.ru/mp@2x/c7/8c/c78c319fa27a1a0c5f8d902352c5ee3c.jpg,Аппарат для попкорна VIATTO MK-PM999B,Аппарат для попкорна VIATTO MK-PM999B,4466,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Попкорницы,https://entero.ru/item/378307,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/378307"">VIATTO MK-PM999B</a></b> используется в домашних условиях для приготовления воздушной кукурузы с различными вкусовыми добавками. Корпус выполнен из пластика, чаша - из алюминия с антипригарным покрытием, крышка - из прозрачного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 24 стаканов по 240 мл / цикл</li>
<li>Время приготовления: от 5 до 10 мин.</li>
</ul>",378307,220 В,0.8 кВт,320 мм,290 мм,190 мм,2.7 кг,1,328x308x200 мм,785,https://entero.ru/manuals/522554/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20VIATTO.pdf;https://entero.ru/manuals/522558/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20MK-PM999B.pdf;https://entero.ru/manuals/522559/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/522560/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/522561/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,Китай,180 гр
https://cdn.entero.ru/mp@2x/25/55/2555b9cc1b34f24488e85cf8a2216833.jpg;https://cdn.entero.ru/mp@2x/67/c7/67c71881d06bb2e990e94697da63b7df.jpg;https://cdn.entero.ru/mp@2x/d2/c7/d2c73c6c1ab1db20e14841741df67eee.jpg;https://cdn.entero.ru/mp@2x/00/01/000197360244f7235d859e181fc2fb96.jpg;https://cdn.entero.ru/mp@2x/e3/74/e3745b364507bcefe996696013191c27.jpg;https://cdn.entero.ru/mp@2x/a4/28/a4285a3936c92a11e012389e3d2b732e.jpg,Аппарат для попкорна VIATTO VA-PM88Y желтый,164174,2328,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Попкорницы,https://entero.ru/item/191825,"<p>Аппарат для попкорна <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/191825""><b class=""b"">VIATTO VA-PM88Y</b></a> используется в домашних условиях для приготовления воздушной кукурузы без использования масла с различными вкусовыми добавками. Корпус выполнен из пластика, чаша - из алюминия, крышка - из прозрачного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 12 стаканов по 240 мл</li>
<li>Максимальное время неприрывной работы: 5 мин.</li>
<li>Время перерыва в работе: 10 мин.</li>
<li>\Время приготовления порции: от 3 до 5 мин.</li>
<li>Габариты в упаковке: 150x200x320 мм</li>
</ul>",191825,220 В,1.2 кВт,140 мм,190 мм,315 мм,1 кг,1,150x200x320 мм,77,https://entero.ru/manuals/223551/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/432439/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-PM88Y.jpg;https://entero.ru/manuals/432440/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/463221/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-PM88Y%20%D0%B6%D0%B5%D0%BB%D1%82%D1%8B%D0%B9.pdf,,1 кг,Китай,100 гр
https://cdn.entero.ru/mp@2x/84/60/84606ad8b049b0438421bf361182e308.jpg,Аппарат для попкорна VIATTO MK-PM918W,Аппарат для попкорна VIATTO MK-PM918W,2328,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Попкорницы,https://entero.ru/item/378303,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/378303"">VIATTO MK-PM918W</a></b> используется в домашних условиях для приготовления воздушной кукурузы с различными вкусовыми добавками. Корпус выполнен из пластика, чаша - из алюминия с антипригарным покрытием, крышка - из прозрачного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 24 стаканов по 240 мл / цикл</li>
<li>Время приготовления: от 5 до 10 мин.</li>
</ul>",378303,220 В,0.8 кВт,220 мм,148 мм,337 мм,1 кг,1,242x155x275 мм,1502,https://entero.ru/manuals/522522/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20VIATTO.pdf;https://entero.ru/manuals/522526/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20MK-PM918W.jpg;https://entero.ru/manuals/522527/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/522528/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/522529/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,Китай,130 гр
https://cdn.entero.ru/mp@2x/b4/a6/b4a6a8de7774d1fd78d6735c9630279c.jpg;https://cdn.entero.ru/mp@2x/67/9d/679d8f100358c33336a9154ff0ba1dab.jpg,Аппарат для попкорна VIATTO MK-PM88Y,Аппарат для попкорна VIATTO MK-PM88Y,2328,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Попкорницы,https://entero.ru/item/378304,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/378304"">VIATTO MK-PM88Y</a></b> используется в домашних условиях для приготовления воздушной кукурузы с различными вкусовыми добавками. Корпус выполнен из пластика, чаша - из алюминия, крышка - из прозрачного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 12 стаканов по 240 мл / цикл</li>
<li>Время приготовления: от 3 до 5 мин.</li>
</ul>",378304,220 В,0.8 кВт,140 мм,190 мм,315 мм,1 кг,1,150x200x320 мм,1276,https://entero.ru/manuals/522530/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20VIATTO.pdf;https://entero.ru/manuals/522535/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20MK-PM88Y.pdf;https://entero.ru/manuals/522536/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/522537/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/522538/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,Китай,80 гр
https://cdn.entero.ru/mp@2x/c8/5e/c85e69251c44203f4588a4143e1b16b8.jpg;https://cdn.entero.ru/mp@2x/48/e7/48e76c7c3358075b48b02c294493e4f9.jpg,Аппарат для попкорна VIATTO MK-PM88B,Аппарат для попкорна VIATTO MK-PM88B,2328,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Попкорницы,https://entero.ru/item/378305,"<p>Аппарат для попкорна <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/378305"">VIATTO MK-PM88B</a></b> используется в домашних условиях для приготовления воздушной кукурузы с различными вкусовыми добавками. Корпус выполнен из пластика, чаша - из алюминия, крышка - из прозрачного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 12 стаканов по 240 мл / цикл</li>
<li>Время приготовления: от 3 до 5 мин.</li>
</ul>",378305,220 В,0.8 кВт,140 мм,190 мм,315 мм,1 кг,1,150x200x320 мм,1291,https://entero.ru/manuals/522539/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20VIATTO.pdf;https://entero.ru/manuals/522544/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20MK-PM88B.pdf;https://entero.ru/manuals/522545/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/522546/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/522547/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,Китай,80 гр
