Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Количество скоростей,Материал корпуса,Максимальная скорость вращения,Размер горловины,Защита от случайного включения
https://cdn.entero.ru/mp@2x/76/f0/76f08c7d72b6d8f88f68916fd082e022.jpg;https://cdn.entero.ru/mp@2x/05/6f/056f0e7b2315a61a90c4d51458a7b611.jpg,Соковыжималка VIATTO VA-CJ6A с прижимным рычагом,4630169227442,21198,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Соковыжималки,https://entero.ru/item/215744,"<p>Соковыжималка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215744""><b class=""b"">VIATTO VA-CJ6A</b></a> предназначена для приготовления свежих соков из различных цитрусовых фруктов на предприятиях общественного питания и торговли, в гостиницах, офисах, а также домашних условиях. Модель оснащена устойчивыми ножками, съемными конусом для отжима, сетчатым фильтром и чашей для сока с носиком. Корпус выполнен из алюминиевого сплава, чаша для сока, конус и фильтр – из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручной отжим</li>
<li>Удобная откидная рукоятка с защитной крышкой для отжима</li>
<li>Быстрая сборка и демонтаж компонентов</li>
<li>Легкость очистки съемных компонентов </li>
<li>Простота эксплуатации и обслуживания</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 280x360x475 мм</li>
</ul>",215744,для цитрусовых,220 В,0.23 кВт,287 мм,212 мм,406 мм,,Китай,,,263,,22081,9 кг,Италия,1,алюминий,,,
https://cdn.entero.ru/mp@2x/d3/94/d3948dc59e90cd4a9544ed392148103a.jpg,Соковыжималка VIATTO VA-CJ6,4630169227435,21284,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Соковыжималки,https://entero.ru/item/215739,"<p>Соковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215739"">VIATTO VA-CJ6</a></b> предназначена для приготовления свежих соков из различных цитрусовых фруктов на предприятиях общественного питания и торговли, в гостиницах, офисах, а также домашних условиях. Модель оснащена устойчивыми ножками, съемными конусом для отжима, сетчатым фильтром и чашей для сока с носиком. Корпус выполнен из алюминиевого сплава, чаша для сока, конус и фильтр – из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручной отжим</li>
<li>Быстрая сборка и демонтаж компонентов</li>
<li>Легкость очистки съемных компонентов </li>
<li>Простота эксплуатации и обслуживания</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты конуса: 82х50,2 мм</li>
<li>Габариты в упаковке: 280x360x475 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель с прижимным рычагом.</span></em></p>",215739,для цитрусовых,220 В,0.23 кВт,287 мм,212 мм,406 мм,,Китай,,,254,,,9 кг,Италия,1,алюминий,,,
https://cdn.entero.ru/mp@2x/02/c7/02c76b3617576f2d0620a1a5ba5d71ec.jpg,Соковыжималка JAU J-120P с рычагом,Соковыжималка JAU J-120P с рычагом,6777,RUB,Да,JAU,Бытовая техника,Техника для кухни,Соковыжималки,https://entero.ru/item/194350,"<p>Соковыжималка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194350""><b class=""b"">JAU J-120P</b></a> предназначена для приготовления натурального сока из различных видов фруктов и овощей на предприятиях общественного питания и торговли. Модель оснащена электромеханической системой управления, рычагом и загрузочным лотком. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Пресс-ручка</li>
<li>2 различных насадки</li>
<li>Низкий уровень шума</li>
<li>Высокая устойчивость</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты: 340x235x355 мм</li>
</ul>",194350,для цитрусовых,220 В,0.12 кВт,332 мм,230 мм,338 мм,,Китай,,,0,https://entero.ru/manuals/226983/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20JAU%20J-120P%20%D1%81%20%D1%80%D1%8B%D1%87%D0%B0%D0%B3%D0%BE%D0%BC.pdf,,4 кг,Китай,1,нерж. сталь,2500 об/мин.,,
https://cdn.entero.ru/mp@2x/92/a5/92a5047789662aab69190f33b9b5a15d.jpg,Соковыжималка VIATTO VA-CJ5A с конусом из нержавеющей стали,4630169227428,19545,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Соковыжималки,https://entero.ru/item/215733,"<p>Соковыжималка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215733""><b class=""b"">VIATTO VA-CJ5A</b></a> предназначена для приготовления свежих соков из различных цитрусовых фруктов на предприятиях общественного питания и торговли, в гостиницах, офисах, а также домашних условиях. Модель оснащена устойчивыми ножками, подставкой с каплесборником, съемными конусом для отжима, сетчатым фильтром и чашей для сока с носиком. Корпус выполнен из алюминиевого сплава, чаша для сока и наконечник рукоятки – из прочного АБС-пластика, фильтр и конус – из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручной отжим</li>
<li>Удобная откидная рукоятка с защитной крышкой для отжима</li>
<li>Быстрая сборка и демонтаж компонентов</li>
<li>Легкость очистки съемных компонентов </li>
<li>Простота эксплуатации и обслуживания</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты конуса: 82х50,2 мм</li>
<li>Габариты в упаковке: 380x240x510 мм</li>
</ul>",215733,для цитрусовых,220 В,0.23 кВт,336 мм,202 мм,475 мм,,Китай,,,54,,20359,10 кг,Италия,1,алюминий,,,
https://cdn.entero.ru/mp@2x/3d/01/3d015f5fdbe991442eeb8c0a4e2d6d73.jpg,Соковыжималка VIATTO VA-CJ5 с пластиковым конусом,4630169227411,12011,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Соковыжималки,https://entero.ru/item/215716,"<p>Соковыжималка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215716""><b class=""b"">VIATTO VA-CJ5</b></a> предназначена для приготовления свежих соков из различных цитрусовых фруктов на предприятиях общественного питания и торговли, в гостиницах, офисах, а также домашних условиях. Модель оснащена устойчивыми ножками, подставкой с каплесборником, сетчатым фильтром и чашей для сока с носиком. Корпус выполнен из алюминиевого сплава, чаша для сока, фильтр и конусы – из прочного АБС-пластика.</p>

<p>В комплект поставки входят 3 съемных выжимных конуса различного диаметра.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ручной отжим</li>
<li>Быстрая сборка и демонтаж компонентов</li>
<li>Легкость очистки съемных компонентов </li>
<li>Простота эксплуатации и обслуживания</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты конусов: 83х48,6 / 83х60,5 / 83х70,3 мм</li>
<li>Габариты в упаковке: 455x252x360 мм</li>
</ul>",215716,для цитрусовых,220 В,0.18 кВт,317 мм,206 мм,412 мм,,Китай,,,20,,,5.7 кг,Италия,1,алюминий,,,
https://cdn.entero.ru/mp@2x/76/2a/762a9e1d6c415dfb35015deae032913a.jpg;https://cdn.entero.ru/mp@2x/45/63/4563f6ed01b16b09324a50ae70de96c2.jpg;https://cdn.entero.ru/mp@2x/9e/e7/9ee7ae4d8e1ecdc7240a1d52de9dab8d.jpg;https://cdn.entero.ru/mp@2x/90/0f/900fca3287935dc753aaf86797ac17d1.jpg;https://cdn.entero.ru/mp@2x/d4/22/d422fc077f5a8c4404cdcf5cfaf48aae.jpg;https://cdn.entero.ru/mp@2x/40/d8/40d813093f301f5c6161d2997925f323.jpg;https://cdn.entero.ru/mp@2x/68/80/6880c1f3fe39504b76904e2f67dbb95f.jpg;https://cdn.entero.ru/mp@2x/ce/72/ce72127532b29131d491219c9a4158da.jpg;https://cdn.entero.ru/mp@2x/5c/9a/5c9a82a867a3398856aa237dc8a87f47.jpg,Соковыжималка CASO Juice Fit,3512,16113,RUB,Да,CASO,Бытовая техника,Техника для кухни,Соковыжималки,https://entero.ru/item/345605,"<p>Соковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345605"">CASO Juice Fit</a></b> предназначена для приготовления фруктового или овощного сока в частных домах, квартирах и офисах. Низкая скорость вращения обеспечивает бережное приготовление продукта и сохраняет натуральный вкус, ценные питательные вещества и витамины. Модель подходит для приготовления миндального молока. Корпус выполнен из пластика.</p>

<p>В комплект поставки входят 2 контейнера для сока и мякоти и щетка для чистки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>На 30% больше сока по сравнению с обычными центробежными соковыжималками</li>
<li>Большое отверстие для цельных фруктов без предварительной нарезки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем контейнера:
<ul>
<li>Для сока: 800 мл</li>
<li>Для шнека: 800 мл</li>
</ul>
</li>
<li>Время непрерывной работы: до 20 мин.</li>
<li>Напряжение: от 220 до 240 В</li>
<li>Цвет корпуса: матовый черный</li>
</ul>",345605,шнековая,220 В,0.2 кВт,180 мм,180 мм,400 мм,,Китай,,,0,https://entero.ru/manuals/422288/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20Juice%20Fit.pdf,17141,2.7 кг,Германия,,пластик,40 об/мин.,105 мм,
https://cdn.entero.ru/mp@2x/b4/e1/b4e13d966fff34d4ecf4e0757d99e281.jpg;https://cdn.entero.ru/mp@2x/f9/bf/f9bf36463fea2be7b186dedb95a04743.jpg;https://cdn.entero.ru/mp@2x/78/72/7872c1b3e7114097c5afa2de798d21e1.jpg;https://cdn.entero.ru/mp@2x/c4/80/c480e6cb8d05ce2e819d4c658c6694a5.jpg;https://cdn.entero.ru/mp@2x/f2/7d/f27d156021c49beb1baf993adefef0ce.jpg;https://cdn.entero.ru/mp@2x/40/c5/40c57784f6325a9c4989aa818ac0e4d5.jpg;https://cdn.entero.ru/mp@2x/40/3b/403bbe19a5a91d09aae3676a83e8fde3.jpg,Соковыжималка CASO CP 300,Соковыжималка CASO CP 300,9450,RUB,Да,CASO,Бытовая техника,Техника для кухни,Соковыжималки,https://entero.ru/item/117019,"<p>Cоковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117019"">CASO CP 300</a> </b>с ручным управлением предназначена для получения свежевыжатого сока апельсинов, лимонов и других цитрусовых в частных домах, квартирах, отелях и офисах. Модель оснащена тихим двигателем и нескользящими ножками. <span style=""font-size: 12px;"">Корпус и сетчатый фильтр выполнены из нержавеющей стали, ручка имеет специальное мягкое покрытие.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический старт</li>
<li>Функция ""Капля-стоп""</li>
<li>Легкая разборка для очистки</li>
</ul>",117019,для цитрусовых,220 В,0.16 кВт,200 мм,320 мм,310 мм,,Китай,,,0,https://entero.ru/manuals/117920/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20CP%20300%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,11667,2.7 кг,,,нерж. сталь,,,
https://cdn.entero.ru/mp@2x/b9/25/b925e7422dc2011fdc1beef4add2d0b1.jpg;https://cdn.entero.ru/mp@2x/9b/f1/9bf184a9fa92eab7e210281451585610.jpg;https://cdn.entero.ru/mp@2x/8b/77/8b779947ab574af1890512887b5d55d3.jpg;https://cdn.entero.ru/mp@2x/8f/5c/8f5c556cfc6c3f80acaa6b10af1e5f89.jpg,Соковыжималка Steba ZP 2,Соковыжималка Steba ZP 2,8678,RUB,Да,,Бытовая техника,Техника для кухни,Соковыжималки,https://entero.ru/item/131840,"<p>Cоковыжималка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/131840"">Steba ZP 2</a></b> предназначена для получения свежевыжатого сока апельсинов, лимонов и других цитрусовых в частных домах, квартирах, отелях и офисах. Модель оснащена удобным рычагом, тихим двигателем и нескользящими ножками. <span style=""font-size: 12px;"">Корпус и сетчатый фильтр выполнены из нержавеющей стали.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический запуск и остановка</li>
<li>Носик с системой ""Капля-стоп""</li>
<li>Съемные детали можно мыть в посудомоечной машине</li>
</ul>",131840,для цитрусовых,220 В,0.16 кВт,180 мм,255 мм,290 мм,,Германия,,,0,https://entero.ru/manuals/149043/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20ZP%202%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,2.3 кг,,,нерж. сталь,,,
https://cdn.entero.ru/mp@2x/67/e7/67e77f83dabb9b0e300821111b46b744.jpg;https://cdn.entero.ru/mp@2x/4b/29/4b29a1714ea37555e05fc09de22ad5db.jpg;https://cdn.entero.ru/mp@2x/a3/35/a33589ad5caa0060d6ac656ea31ce9ba.jpg;https://cdn.entero.ru/mp@2x/c5/8a/c58aed393292b3332dd8107a5609ff03.jpg;https://cdn.entero.ru/mp@2x/81/c4/81c45663286ffbb053b58d145629fccf.jpg;https://cdn.entero.ru/mp@2x/0f/2f/0f2fed440646a5d9a2bab4f9bd66b8c1.jpg;https://cdn.entero.ru/mp@2x/38/ed/38ed831e5b2c023e92d079c0029c4a7e.jpg;https://cdn.entero.ru/mp@2x/b6/35/b6350bd5467571f9fa61008b8b53e3e2.jpg,Соковыжималка CASO CP 330 Pro,Соковыжималка CASO CP 330 Pro,10204,RUB,Да,CASO,Бытовая техника,Техника для кухни,Соковыжималки,https://entero.ru/item/129897,"<p>Cоковыжималка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/129897""><b class=""b"">CASO CP 330 Pro </b></a>с ручным управлением предназначена для получения свежевыжатого сока апельсинов, лимонов и других цитрусовых в частных домах, квартирах, отелях и офисах. Модель оснащена тихим двигателем и нескользящими ножками. <span style=""font-size: 12px;"">Корпус, пресс-конус и сетчатый фильтр выполнены из нержавеющей стали, ручка имеет специальное мягкое покрытие.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический старт</li>
<li>Функция ""Капля-стоп""</li>
<li>Легкая разборка для очистки</li>
</ul>",129897,для цитрусовых,220 В,0.16 кВт,200 мм,320 мм,310 мм,,Китай,,,0,https://entero.ru/manuals/144278/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20CP%20330%20Pro%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,2.7 кг,,,нерж. сталь,,,
https://cdn.entero.ru/mp@2x/3b/18/3b18765320060c1fd6f1c2c45c7c20b1.jpg;https://cdn.entero.ru/mp@2x/5a/9e/5a9ea1742d9941ace6e811a12e618e63.jpg;https://cdn.entero.ru/mp@2x/0b/6a/0b6a254a452e69e2aba69cc090d693cd.jpg;https://cdn.entero.ru/mp@2x/a9/f3/a9f394dd2b6f89b2f9c0418be95dcb26.jpg;https://cdn.entero.ru/mp@2x/69/35/6935ecab07f96a6d0348fb2ce1e3f9d4.jpg;https://cdn.entero.ru/mp@2x/11/20/1120c35fddd039e4dc39eac470b3f83b.jpg,Соковыжималка для цитрусовых SMEG CJF11CREU кремовая,CJF11CREU,17990,RUB,Да,SMEG,Бытовая техника,Техника для кухни,Соковыжималки,https://entero.ru/item/305989,"<p>Соковыжималка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/305989""><b class=""b"">SMEG CJF11CREU</b></a> предназначена для приготовления свежих соков из различных цитрусовых фруктов в гостиницах, офисах и домашних условиях. Модель оснащена кабелем питания с вилкой (Schuko). Корпус обтекаемой формы выполнен из пластика с глянцевой поверхностью кремового оттенка и накладными объемными серебристыми литерами логотипа, крышка и чаша для сока – из высокопрочного полимера Tritan Renew без содержания вредных компонентов, основание – из пластика с поверхностью цвета полированный хром, носик, фильтр и конус – из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Универсальный выжимной конус</li>
<li>Сетчатый фильтр</li>
<li>Чаша для сока</li>
<li>Полусферическая крышка</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Ручной отжим</li>
<li>Вращение конуса против часовой стрелки</li>
<li>Автоматические запуск при нажатии на конус и остановка при подъеме продукта</li>
<li>Носик-дозатор в форме язычка с защитой от капель</li>
<li>Устойчивые нескользящие опоры</li>
<li>Быстрая сборка и демонтаж компонентов</li>
<li>Отсек в основании с держателем для компактной смотки кабеля</li>
<li>Легкость очистки съемных компонентов с возможностью мойки в посудомоечной машине</li>
<li>Простота эксплуатации и обслуживания</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный винтажный дизайн коллекции в стиле 50-х годов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Максимальная длительность непрерывной работы: 3 мин.</li>
<li>Длина кабеля питания: 1000 мм</li>
</ul>",305989,для цитрусовых,220 В,0.07 кВт,166 мм,166 мм,281 мм,3.7 кг,Италия,1,242x220x348 мм,0,https://entero.ru/manuals/369523/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20CJF11CREU.pdf,,2.56 кг,Италия,1,пластик,,,
