Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Цвет,Тип управления,Решетка для булочек,Количество отделений,Количество тостов,Функция размораживания,Поддон для крошек,Одностороннее обжаривание
https://cdn.entero.ru/mp@2x/11/c4/11c4a9f4e434ff8061a298bf591b269b.jpg;https://cdn.entero.ru/mp@2x/6a/ba/6abae09ab128db233cd975bb4f60946a.jpg;https://cdn.entero.ru/mp@2x/6d/cf/6dcff1892a929735a74c1dcaa9bcb797.jpg;https://cdn.entero.ru/mp@2x/a5/f7/a5f7420aa3a89e03c2589bd13bc909ee.jpg,Тостер Steba TO 21,Тостер Steba TO 21,8678,RUB,Да,,Бытовая техника,Техника для кухни,Тостеры,https://entero.ru/item/210578,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210578"">Steba TO 21</a></b> предназначен обжаривания ломтиков тостового хлеба в квартирах, частных домах и кафе. Модель оснащена подогревателем для булочек. Корпус выполнен из нержавеющей стали с покрытием, устойчивым к появлению отпечатков пальцев.</p>

<p><b>Особенности:</b></p>

<ul>
<li>7 степеней поджаривания</li>
<li>Функция размораживания</li>
<li>Функция разогрева</li>
<li>Кнопка Стоп</li>
<li>Автоматическое отключение</li>
<li>Автоматическое центрирование тостов</li>
<li>Выдвижной поддон для крошек</li>
<li>Защита от перегрева</li>
<li>Место для хранения кабеля</li>
</ul>",210578,220 В,1.4 кВт,400 мм,165 мм,180 мм,,Китай,,,0,https://entero.ru/manuals/246761/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20TO%2021%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,1.7 кг,Германия,нержавеющая сталь,,есть,2,4,есть,есть,
https://cdn.entero.ru/mp@2x/d1/13/d113ab6da1d98980bf06bbbe1f151155.jpg;https://cdn.entero.ru/mp@2x/fa/35/fa350bd6866d4b1fb595c000e9b09890.jpg;https://cdn.entero.ru/mp@2x/56/5c/565cb3215c2bf46b3914ae4bd90e32c0.jpg;https://cdn.entero.ru/mp@2x/15/b8/15b8c9d7bb3fd101b5614f4bc885dc3f.jpg;https://cdn.entero.ru/mp@2x/31/6f/316f3b127af3c533cab8fd9e12637052.jpg;https://cdn.entero.ru/mp@2x/fd/bb/fdbb6d8ed0dbf9bb302ab4a22d9f2e12.jpg;https://cdn.entero.ru/mp@2x/d2/98/d2985facf574c2bfb22b38b3cd605eb1.jpg;https://cdn.entero.ru/mp@2x/5e/ad/5ead291d1179aea0120f0b3bf8b6a53d.jpg;https://cdn.entero.ru/mp@2x/9e/4d/9e4dbbad59342660b739f98cf638c0c7.jpg,Тостер CASO Classico T4,Тостер CASO Classico T4,10932,RUB,Да,CASO,Бытовая техника,Техника для кухни,Тостеры,https://entero.ru/item/170748,"<p>Тостер<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170748"">CASO Classico T4</a> </b>предназначен для обжаривания ломтиков тостового хлеба в частных домах, квартирах, отелях и офисах. Модель оснащена ручкой управления и кнопками с подсветкой. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>5 степеней прожарки</li>
<li>Автоматическое центрирование тостов</li>
<li>Функции размораживания, остановки и подогрева</li>
<li>Выдвижной поддон для крошек</li>
<li>Автоматическое отключение</li>
<li>Защита от перегрева</li>
<li>Место для хранения кабеля</li>
</ul>",170748,220 В,от 1.18 до 1.4 кВт,395 мм,160 мм,185 мм,,Китай,,,0,https://entero.ru/manuals/196380/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20Classico%20T2%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,11630,,1.8 кг,Германия,серебряный,,есть,2,4,есть,есть,
https://cdn.entero.ru/mp@2x/59/4b/594b56406a9d0854b22da64f205688f7.jpg;https://cdn.entero.ru/mp@2x/7e/82/7e82f3425a37cb05f9c2b1c3c4df88ae.jpg;https://cdn.entero.ru/mp@2x/46/9f/469f378bc947ee8396a9f6b5bcb6adf6.jpg;https://cdn.entero.ru/mp@2x/75/ef/75efc725f84e80c0378c3608e0176ef8.jpg;https://cdn.entero.ru/mp@2x/f5/3e/f53e32edef825cc7fd2e09dac74938c6.jpg;https://cdn.entero.ru/mp@2x/81/e3/81e3098e5228792c78cc32199a7e01c6.jpg,Тостер SMEG TSF01RDEU,8017709186968,17990,RUB,Да,SMEG,Бытовая техника,Техника для кухни,Тостеры,https://entero.ru/item/52935,"<p>Тостер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52935""><b class=""b"">Smeg TSF01RDEU</b></a> используется для обжаривания ломтиков тостового хлеба. С помощью дополнительно приобретаемых держателей тостер также можно применять для подогрева булочек или сэндвичей. Прибор отличается уникальным дизайном благодаря исполнению в стиле 50-х годов. </p>

<p>В комплект поставки входит съемный поддон из нержавеющей стали для крошек.</p>

<p><b>Особенности:</b></p>

<ul>
<li>6 уровней поджаривания</li>
<li>3 режима работы: подогрев, размораживание, багель (поджаривание только с внешней стороны)</li>
<li>Управление при помощи скользящего рычага (начало цикла), кнопок с подсветкой (активация функций) и поворотного переключателя с подсветкой (регулировка уровня поджаривания)</li>
<li>Автоматическое выбрасывание тостов</li>
<li>Нескользящие ножки</li>
<li>Корпус и рычаг из нержавеющей стали</li>
<li>Основание и верхняя часть из пластика цвета полированного хрома</li>
<li>Переключатель и кнопки из пластика</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина отделения для тостов: 36 мм</li>
<li>Длина кабеля: 1000 мм</li>
<li>Габариты в упаковке: 366х224х248 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Держатель для сэндвичей <a href=""https://entero.ru/item/101381"">TSSR01</a></li>
<li>
<p>Решетка для подогрева булочек <a href=""https://entero.ru/item/101379"">TSBW01</a></p>
</li>
</ul>",52935,220 В,0.95 кВт,325 мм,195 мм,200 мм,,Италия,,,0,https://entero.ru/manuals/143912/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20SMEG%20TSF01RDEU.pdf;https://entero.ru/manuals/143911/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20TSF01RDEU.pdf;https://entero.ru/manuals/143910/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%B5%D0%BB%D0%BA%D0%BE%D0%B9%20%D0%B1%D1%8B%D1%82%D0%BE%D0%B2%D0%BE%D0%B9%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8%20SMEG.pdf;https://entero.ru/manuals/143913/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8%20SMEG%202019-2020.pdf,19344,https://vk.com/video_ext.php?oid=-177656185&id=456239891&hd=2&autoplay=0,2.4 кг,,красный,механическое,опция,2,2,есть,есть,есть
https://cdn.entero.ru/mp@2x/a5/ff/a5ff568137f0719ce7c3f659f062ee8f.jpg;https://cdn.entero.ru/mp@2x/20/6a/206ad2ab8c7997643fee4a6e282cad8d.jpg;https://cdn.entero.ru/mp@2x/d4/2e/d42eede8d882fc11f66ad5aac104561e.jpg,Тостер SMEG TSF03BLEU,8017709263362,28390,RUB,Да,SMEG,Бытовая техника,Техника для кухни,Тостеры,https://entero.ru/item/116882,"<p>Тостер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116882""><b class=""b"">Smeg TSF03BLEU </b></a>используется для обжаривания ломтиков тостового хлеба. С помощью дополнительно приобретаемых держателей тостер также можно применять для подогрева булочек или сэндвичей. Прибор отличается уникальным дизайном благодаря исполнению в стиле 50-х годов. </p>

<p>В комплект поставки входят 2 съемных поддона из нержавеющей стали для крошек.</p>

<p><b>Особенности:</b></p>

<ul>
<li>6 уровней поджаривания</li>
<li>3 режима работы: подогрев, размораживание, багель (поджаривание только с внешней стороны)</li>
<li>2 независимые панели управления</li>
<li>Управление при помощи скользящего рычага (начало цикла), кнопок с подсветкой (активация функций) и поворотного переключателя с подсветкой (регулировка уровня поджаривания)</li>
<li>Автоматическое выбрасывание тостов</li>
<li>Нескользящие ножки</li>
<li>Корпус и рычаг из нержавеющей стали</li>
<li>Основание и верхняя часть из пластика цвета полированного хрома</li>
<li>Переключатель и кнопки из пластика</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина отделения для тостов: 36 мм</li>
<li>Длина кабеля: 1000 мм</li>
<li>Габариты в упаковке: 375х375х270 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Держатель для сэндвичей <a href=""https://entero.ru/item/101381"" target=""_blank"">TSSR01</a></li>
<li>
<p>Решетка для подогрева булочек <a href=""https://entero.ru/item/101379"" target=""_blank"">TSBW01</a></p>
</li>
</ul>",116882,220 В,2 кВт,320 мм,330 мм,200 мм,,Италия,,,0,https://entero.ru/manuals/145239/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20SMEG%20TSF03BLEU.pdf;https://entero.ru/manuals/145238/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20TSF03BLEU.pdf;https://entero.ru/manuals/145240/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%B5%D0%BB%D0%BA%D0%BE%D0%B9%20%D0%B1%D1%8B%D1%82%D0%BE%D0%B2%D0%BE%D0%B9%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8%20SMEG.pdf;https://entero.ru/manuals/145242/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8%20SMEG%202019-2020.pdf,29573,https://vk.com/video_ext.php?oid=-177656185&id=456239891&hd=2&autoplay=0,3.8 кг,,черный,механическое,опция,4,4,есть,есть,есть
https://cdn.entero.ru/mp@2x/07/99/07999d1f3107cdf20504cba9a21a4e8b.jpg;https://cdn.entero.ru/mp@2x/85/cd/85cdc25cb6b2e2c1166d825b84e8d9b5.jpg;https://cdn.entero.ru/mp@2x/52/13/521322c349f65204a78db6197574212a.jpg;https://cdn.entero.ru/mp@2x/54/29/54298c11434d88124bde019233b682c5.jpg;https://cdn.entero.ru/mp@2x/a5/d2/a5d27f108ba449995c61759f1b0488d1.jpg;https://cdn.entero.ru/mp@2x/a3/c6/a3c64838111a32854cad40246ec243d6.jpg;https://cdn.entero.ru/mp@2x/10/25/10254376aa29d1a5319ffa5693d87f1c.jpg;https://cdn.entero.ru/mp@2x/d5/b0/d5b07a3ef1f0d03eae156d25bea00341.jpg;https://cdn.entero.ru/mp@2x/92/30/92301fb63856d08736eb8fb9c6ad6b00.jpg,Тостер CASO Classico T2,Тостер CASO Classico T2,7112,RUB,Да,CASO,Бытовая техника,Техника для кухни,Тостеры,https://entero.ru/item/170734,"<p>Тостер<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170734"">CASO Classico T2</a> </b>предназначен для обжаривания ломтиков тостового хлеба в частных домах, квартирах, отелях и офисах. Модель оснащена ручкой управления и кнопками с подсветкой. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>5 степеней прожарки</li>
<li>Автоматическое центрирование тостов</li>
<li>Функции размораживания, остановки и подогрева</li>
<li>Выдвижной поддон для крошек</li>
<li>Автоматическое отключение</li>
<li>Защита от перегрева</li>
<li>Место для хранения кабеля</li>
</ul>",170734,220 В,от 0.9 до 1.05 кВт,400 мм,115 мм,185 мм,,Китай,,,0,https://entero.ru/manuals/196361/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20Classico%20T2%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,1.5 кг,Германия,серебряный,,есть,1,2,есть,есть,
https://cdn.entero.ru/mp@2x/54/d0/54d067cb89b2782577c7ec5143cb8bc3.jpg;https://cdn.entero.ru/mp@2x/ce/c5/cec5d3c9a4032eefe09430d32d99cc58.jpg;https://cdn.entero.ru/mp@2x/91/c5/91c52315d10394d3632fcdd215115893.jpg;https://cdn.entero.ru/mp@2x/4c/b5/4cb5ab57e54a6f37e0a4b7bb9179c5bd.jpg,Тостер Wilfa TO3GB-1000 черный,602768,8095,RUB,Да,,Бытовая техника,Техника для кухни,Тостеры,https://entero.ru/item/283376,"<p>Тостер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283376""><b class=""b"">Wilfa TO3GB-1000 </b></a>используется в отелях, офисах, а также домашних условиях для обжаривания ломтиков хлеба различных сортов. Модель оснащена 2 отсеками для тостов, кабелем питания с вилкой, электромеханической панелью управления с рычагом для загрузки хлеба, функциональными кнопками и светодиодными лампами индикации. Корпус прибора обтекаемой формы и ручка поддона выполнены из пластика черного цвета, решетки, окантовка слотов и корпус поддона – из металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>6 степеней прожарки</li>
<li>Функции:
<ul>
<li>Подогрев</li>
<li>Размораживание</li>
<li>Отмена приготовления</li>
</ul>
</li>
<li>Светодиодная индикация степени обжарки </li>
<li>Интегрированные в кнопки светодиодные индикаторы функций</li>
<li>Загрузочный рычаг с возможностью регулировки высоты положения ломтиков</li>
<li>Автоматический выброс тостов по окончании приготовления</li>
<li>Легкосъемный выдвижной поддон для сбора крошек</li>
<li>Устойчивые нескользящие опоры</li>
<li>Эргономичный стильный дизайн</li>
</ul>",283376,220 В,от 0.8 до 1 кВт,,,,,Китай,,,0,https://entero.ru/manuals/349576/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Wilfa%20TO3GB-1000.pdf,,,,Норвегия,черный,электронное,нет,2,2,есть,есть,нет
https://cdn.entero.ru/mp@2x/85/f0/85f089a770cc6f212dcd2e9f921a32da.jpg;https://cdn.entero.ru/mp@2x/33/db/33db0f4610ca131cdbfbeac7ea5151b9.jpg;https://cdn.entero.ru/mp@2x/7f/2c/7f2c59cc4d037b12f3eea4b18e186b4d.jpg;https://cdn.entero.ru/mp@2x/d3/b1/d3b118656770a68ef823d7ff42c832cb.jpg;https://cdn.entero.ru/mp@2x/0d/28/0d2889b50247a48397ff8f8033e8e18b.jpg,Тостер Graef TO 100,TO100EU,14416,RUB,Да,,Бытовая техника,Техника для кухни,Тостеры,https://entero.ru/item/265104,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265104"">Graef TO 100</a></b> предназначен для обжаривания ломтиков тостового хлеба в частных домах, квартирах, отелях и офисах. Модель оснащена 2 длинными слотами, подъемным механизмом для извлечения хлеба и выдвижным лотком для крошек. Теплоизолированный корпус выполнен из нержавеющей стали и алюминия. </p>

<p><b>Особенности:</b></p>

<ul>
<li>6 степеней поджаривания</li>
<li>Центрирование ломтиков</li>
<li>Функция размораживания</li>
<li>Кнопка Стоп</li>
<li>Защитное отключение при застревании ломтика</li>
<li>Длинный сетевой кабель</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер слота: 260х30х130 мм</li>
<li>Размер тоста: 110 мм</li>
</ul>",265104,220 В,1.38 кВт,380 мм,155 мм,190 мм,,Китай,,,0,https://entero.ru/manuals/328201/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Graef%20TO%20100.pdf,15501,,2.94 кг,Германия,серебряный,,есть,2,4,есть,есть,
https://cdn.entero.ru/mp@2x/10/35/10350420d652f74b216d32d2afb9fb6f.jpg;https://cdn.entero.ru/mp@2x/02/36/02366711bf9eb5fae4fd915d6d9bd1fd.jpg;https://cdn.entero.ru/mp@2x/19/8e/198e90278adccb875750d161c1ab2914.jpg;https://cdn.entero.ru/mp@2x/2b/73/2b73576f924e0980e5e65e00458829ce.jpg;https://cdn.entero.ru/mp@2x/0c/b9/0cb956169ac6a4058217a46b8a98fa2d.jpg,Тостер Graef TO 101,TO101EU,14416,RUB,Да,,Бытовая техника,Техника для кухни,Тостеры,https://entero.ru/item/265109,"<p>Тостер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/265109"">Graef TO 101</a></b> предназначен для обжаривания ломтиков тостового хлеба в частных домах, квартирах, отелях и офисах. Модель оснащена 2 длинными слотами, подъемным механизмом для извлечения хлеба и выдвижным лотком для крошек. Теплоизолированный корпус выполнен из нержавеющей стали и алюминия. </p>

<p><b>Особенности:</b></p>

<ul>
<li>6 степеней поджаривания</li>
<li>Центрирование ломтиков</li>
<li>Функция размораживания</li>
<li>Кнопка Стоп</li>
<li>Защитное отключение при застревании ломтика</li>
<li>Длинный сетевой кабель</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер слота: 260х30х130 мм</li>
<li>Размер тоста: 110 мм</li>
</ul>",265109,220 В,1.38 кВт,380 мм,155 мм,190 мм,,Китай,,,0,https://entero.ru/manuals/328211/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Graef%20TO%20101.pdf,,,2.94 кг,Германия,белый,,есть,2,4,есть,есть,
https://cdn.entero.ru/mp@2x/27/0a/270ad0bfff2310c22d309523bcb55b22.jpg,Тостер SMEG TSF02WHEU,8017709231125,20690,RUB,Да,SMEG,Бытовая техника,Техника для кухни,Тостеры,https://entero.ru/item/85038,"<p>Тостер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/85038""><b class=""b"">Smeg TSF02WHEU</b></a> используется для обжаривания ломтиков тостового хлеба. С помощью дополнительно приобретаемых держателей тостер также можно применять для подогрева булочек или сэндвичей. Прибор отличается уникальным дизайном благодаря исполнению в стиле 50-х годов. </p>

<p>В комплект поставки входит съемный поддон из нержавеющей стали для крошек.</p>

<p><b>Особенности:</b></p>

<ul>
<li>6 уровней поджаривания</li>
<li>3 режима работы: подогрев, размораживание, багель (поджаривание только с внешней стороны)</li>
<li>Управление при помощи скользящего рычага (начало цикла), кнопок с подсветкой (активация функций) и поворотного переключателя с подсветкой (регулировка уровня поджаривания)</li>
<li>Автоматическое выбрасывание тостов</li>
<li>Нескользящие ножки</li>
<li>Корпус и рычаг из нержавеющей стали</li>
<li>Основание и верхняя часть из пластика цвета полированного хрома</li>
<li>Переключатель и кнопки из пластика</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина отделения для тостов: 36 мм</li>
<li>Длина кабеля: 1000 мм</li>
<li>Габариты в упаковке: 450х240х265 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Держатель для сэндвичей <a href=""https://entero.ru/item/101382"" target=""_blank"">TSSR02</a></li>
<li>
<p>Решетка для подогрева булочек <a href=""https://entero.ru/item/101380"" target=""_blank"">TSBW02</a></p>
</li>
</ul>",85038,220 В,1.5 кВт,410 мм,208 мм,215 мм,,Италия,,,0,https://entero.ru/manuals/144550/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20SMEG%20TSF02WHEU.pdf;https://entero.ru/manuals/144547/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20TSF02WHEU.pdf;https://entero.ru/manuals/144548/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%B5%D0%BB%D0%BA%D0%BE%D0%B9%20%D0%B1%D1%8B%D1%82%D0%BE%D0%B2%D0%BE%D0%B9%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8%20SMEG.pdf;https://entero.ru/manuals/144549/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8%20SMEG%202019-2020.pdf,22247,https://vk.com/video_ext.php?oid=-177656185&id=456239891&hd=2&autoplay=0,3.3 кг,,белый,механическое,опция,2,4,есть,есть,есть
https://cdn.entero.ru/mp@2x/a2/e8/a2e8194fdf200e694a28ae52273b5f20.jpg;https://cdn.entero.ru/mp@2x/60/17/60179877fd3e7130d93f001dc7d0d02b.jpg,Тостер SMEG TSF02SSEU,8017709190835,26490,RUB,Да,SMEG,Бытовая техника,Техника для кухни,Тостеры,https://entero.ru/item/52943,"<p>Тостер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52943""><b class=""b"">Smeg TSF02SSEU</b></a> используется для обжаривания ломтиков тостового хлеба. С помощью дополнительно приобретаемых держателей тостер также можно применять для подогрева булочек или сэндвичей. Прибор отличается уникальным дизайном благодаря исполнению в стиле 50-х годов. </p>

<p>В комплект поставки входит съемный поддон из нержавеющей стали для крошек.</p>

<p><b>Особенности:</b></p>

<ul>
<li>6 уровней поджаривания</li>
<li>3 режима работы: подогрев, размораживание, багель (поджаривание только с внешней стороны)</li>
<li>Управление при помощи скользящего рычага (начало цикла), кнопок с подсветкой (активация функций) и поворотного переключателя с подсветкой (регулировка уровня поджаривания)</li>
<li>Автоматическое выбрасывание тостов</li>
<li>Нескользящие ножки</li>
<li>Корпус и рычаг из нержавеющей стали</li>
<li>Основание и верхняя часть из пластика цвета полированного хрома</li>
<li>Переключатель и кнопки из пластика</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ширина отделения для тостов: 36 мм</li>
<li>Длина кабеля: 1000 мм</li>
<li>Габариты в упаковке: 450х240х265 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Держатель для сэндвичей <a href=""https://entero.ru/item/101382"" target=""_blank"">TSSR02</a></li>
<li>
<p>Решетка для подогрева булочек <a href=""https://entero.ru/item/101380"" target=""_blank"">TSBW02</a></p>
</li>
</ul>",52943,220 В,1.5 кВт,410 мм,208 мм,215 мм,,Италия,,,0,https://entero.ru/manuals/145157/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20SMEG%20TSF02SSEU.pdf;https://entero.ru/manuals/145156/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20TSF02SSEU.pdf;https://entero.ru/manuals/145158/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BC%D0%B5%D0%BB%D0%BA%D0%BE%D0%B9%20%D0%B1%D1%8B%D1%82%D0%BE%D0%B2%D0%BE%D0%B9%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8%20SMEG.pdf;https://entero.ru/manuals/145159/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8%20SMEG%202019-2020.pdf,28793,https://vk.com/video_ext.php?oid=-177656185&id=456239891&hd=2&autoplay=0,3.3 кг,,хром,механическое,опция,2,4,есть,есть,есть
