Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Объем,Вес (с упаковкой)
https://cdn.entero.ru/mp@2x/b7/77/b7773c03604e39dfe3155eacc4f0a528.jpg;https://cdn.entero.ru/mp@2x/52/ed/52ed09984af5dc65a48fbcec79836507.jpg;https://cdn.entero.ru/mp@2x/a2/3c/a23c1ba09ddb5876efe020abfbdce99f.jpg;https://cdn.entero.ru/mp@2x/87/ec/87ec6fae05f3b6bf9083af4ce5b57cc1.jpg;https://cdn.entero.ru/mp@2x/3b/9d/3b9d7ba772118ac9fe07b3b86a259e85.jpg;https://cdn.entero.ru/mp@2x/9c/4f/9c4f4753fae5054c43207ebe4015f273.jpg;https://cdn.entero.ru/mp@2x/e7/dd/e7dd1630279e9f7597997cc446085081.jpg,Аэрофритюрница CASO AF 600 XL,Аэрофритюрница CASO AF 600 XL,18300,RUB,Да,CASO,Бытовая техника,Техника для кухни,Фритюрницы,https://entero.ru/item/251560,"<p>Аэрофритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251560"">CASO AF 600 XL</a></b> предназначена для приготовления различных продуктов без масла в частных домах, квартирах, отелях и офисах. Модель оснащена сенсорной панелью управления с дисплеем, большой съемной корзиной для жарки и нескользящими ножками. </p>

<p><b>Особенности: </b></p>

<ul>
<li>12 автоматических программ</li>
<li>Равномерное распределение тепла за счет конвекции</li>
<li>Быстрый нагрев</li>
<li>Регулировка температуры</li>
<li>Функция Shake для равномерного обжаривания и получения хрустящей корочки</li>
<li>Ручка Cool Touch</li>
<li>Таймер на 60 мин. (до 480 мин. в программе ""Сушка"") со звуковым сигналом по истечении времени</li>
<li>Легкая очистка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 50 до 200 °C</li>
<li>Шаг регулировки температуры: 5 °C</li>
<li>Загрузка продукта: до 1,2 кг</li>
<li>Габариты в упаковке: 305х370х380 мм</li>
</ul>",251560,220 В,1.7 кВт,280 мм,300 мм,370 мм,,,,0,https://entero.ru/manuals/308817/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20AF%20600%20XL.pdf,19063,,6.4 кг,Германия,Китай,6 л,
https://cdn.entero.ru/mp@2x/ba/78/ba78e89009407572fab98cdd24d60ad3.jpg;https://cdn.entero.ru/mp@2x/8f/39/8f39d1b33528ccdf8bec0c86bf603011.jpg;https://cdn.entero.ru/mp@2x/0d/ba/0dbae3b069144b9e0f065b7f06aab3f8.jpg,Фритюрница Clatronic FR 3586,Фритюрница Clatronic FR 3586,7990,RUB,Да,,Бытовая техника,Техника для кухни,Фритюрницы,https://entero.ru/item/172593,"<p><span class=""b"">Фритюрница</span><b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/172593"">Clatronic FR 3586</a></b> предназначена для приготовления различных продуктов в большом количестве горячего масла или жира в частных домах и квартирах. Модель оснащена термостатом с контрольной лампой, съемным контейнером для масла и термоизолированной ручкой. Корпус, крышка и нагревательный элемент выполнены из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Плавная регулировка температуры</li>
<li>Технология холодной зоны</li>
<li>Нагревательный элемент погруженный в масло</li>
<li>Резервуар для конденсата</li>
<li>Защита от перегрева</li>
<li>Отсек для хранения кабеля</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 3 л</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 2 кВт</li>
</ul>",172593,,,,,,,,,0,https://entero.ru/manuals/199090/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20FR%203586.pdf,10653,,,,,,
https://cdn.entero.ru/mp@2x/a6/f1/a6f103bf6524cc9fc039f16225a09777.jpg;https://cdn.entero.ru/mp@2x/be/e4/bee41748057a7671453a238dd0678e94.jpg;https://cdn.entero.ru/mp@2x/82/ee/82ee7407bc7b470a06991d96e0ab4d02.jpg;https://cdn.entero.ru/mp@2x/84/ba/84baaa213a67533113eb4497d9375f7a.jpg;https://cdn.entero.ru/mp@2x/0e/a6/0ea62315f1c2bca71afb0a6dcfd3b5fd.jpg;https://cdn.entero.ru/mp@2x/d6/58/d6580e20eeb5590ac1d5721c406d5531.jpg;https://cdn.entero.ru/mp@2x/9b/3d/9b3d771c174322ac723b0647dada2495.jpg;https://cdn.entero.ru/mp@2x/cd/f6/cdf6ca598e981acf3bf617eed439de3e.jpg,Аэрофритюрница CASO AirFry Chef 1700,Аэрофритюрница CASO AirFry Chef 1700,22608,RUB,Да,CASO,Бытовая техника,Техника для кухни,Фритюрницы,https://entero.ru/item/232023,"<p><span class=""b"">Аэрофритюрница</span><b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/232023"">CASO AirFry Chef 1700</a></b> предназначена для приготовления различных блюд без использования масла, а также сушки фруктов, ягод и трав в домашних условиях. Модель оснащена 6 нагревательными элементами, откидной дверцей с горизонтальной рукояткой и смотровым окном, камерой с 3 уровнями для установки противней и электромеханической панелью управления с функциональными кнопками, круговым регулятором и информативным дисплеем. Корпус выполнен из стали с покрытием черного цвета, внутренняя облицовка камеры и нагревательные элементы – из нержавеющей стали.</p>

<p>В комплект поставки входят решетка для гриля, противень, решетчатая корзина, вертел, съемный поддон для крошек и капель.</p>

<p><b>Особенности: </b></p>

<ul>
<li>12 автоматических программ</li>
<li>Система быстрого разогрева с точным контролем температуры Rapid HeatControl</li>
<li>Равномерное распределение потока горячего воздуха PowerConvection</li>
<li>Таймер для настройки длительности приготовления</li>
<li>Цифровая индикация температуры</li>
<li>Светодиодные индикаторы программ</li>
<li>Автоматическое отключение</li>
<li>Подсветка внутреннего объема</li>
<li>Легкость очистки камеры</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Диапазон регулировки температуры: от 40 до 230 °C</li>
<li>Шаг регулировки температуры: 5 °C</li>
<li>Диапазон регулировки таймера:
<ul>
<li>Приготовление: от 1 до 120 мин.</li>
<li>Сушка: до 240 мин.</li>
</ul>
</li>
<li>Шаг регулировки таймера: 1 мин.</li>
</ul>",232023,220 В,1.7 кВт,405 мм,390 мм,350 мм,,,,0,,24574,,6.9 кг,Германия,Китай,22 л,
https://cdn.entero.ru/mp@2x/41/4a/414afb500fac026f638517f7e779080d.jpg;https://cdn.entero.ru/mp@2x/4a/07/4a07cbdc6b1f56b5d16a1fc8d14388c0.jpg;https://cdn.entero.ru/mp@2x/0c/35/0c35a78bfc782f8642502c5efcbc0aee.jpg;https://cdn.entero.ru/mp@2x/41/54/4154d59d8576eddd90439e1984e6bb92.jpg,Фритюрница Rommelsbacher FRP 2135/E,Фритюрница Rommelsbacher FRP 2135/E,22986,RUB,Да,Rommelsbacher,Бытовая техника,Техника для кухни,Фритюрницы,https://entero.ru/item/209602,"<p>Фритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/209602"">Rommelsbacher FRP 2135/E</a></b> предназначена для приготовления различных продуктов в большом количестве горячего масла или жира в частных домах и квартирах. Модель оснащена панелью управления с 2 контрольными лампами питания и нагрева, съемным резервуаром для масла, большой корзиной для жарки и крышкой со смотровым окном и постоянным фильтром против запаха и дыма. Корпус, крышка и резервуар для масла выполнены из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Бесступенчатая регулировка температуры </li>
<li>Технология холодной зоны</li>
<li>Крышка нагревательного элемента с диффузором</li>
<li>Таймер до 30 мин. со звуковым сигналом</li>
<li>Емкость для сбора конденсата</li>
<li>Защита от перегрева</li>
<li>Полностью разбирается для очистки</li>
<li>Детали можно мыть в посудомоечной машине</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: до 190 °C</li>
<li>Размер корзины: 220х165х70 мм</li>
</ul>",209602,220 В,2.1 кВт,285 мм,435 мм,310 мм,,,,0,https://entero.ru/manuals/245210/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rommelsbacher%20FRP%202135_E%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,23944,,3.76 кг,Германия,Китай,3.5 л,
https://cdn.entero.ru/mp@2x/f9/46/f94681e686b93b12f73032643a8b6766.jpg;https://cdn.entero.ru/mp@2x/e0/3a/e03a4d52b0fa5026cd4bb44bd52a7879.jpg;https://cdn.entero.ru/mp@2x/dd/1b/dd1b2a4e99026acaf788ece0e46cb443.jpg;https://cdn.entero.ru/mp@2x/33/34/33343f760c8021506ec6847f391753d6.jpg;https://cdn.entero.ru/mp@2x/7b/c4/7bc43804b3bec2d4286c3c4761060b0e.jpg,Фритюрница-фондю Bomann FFR 1290 CB,FFR 1290 CB weis-grau 1L,4999,RUB,Да,Bomann,Бытовая техника,Техника для кухни,Фритюрницы,https://entero.ru/item/211301,"<p>Фритюрница-фондю <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/211301"">Bomann FFR 1290 CB</a></b> предназначена для приготовления различных продуктов в большом количестве горячего масла или жира и фондю в частных домах и квартирах. Модель оснащена панелью управления с дисплеем и регулятором температуры, корзиной для жарки со съемной ручкой и съемной крышкой. Теплоизолированный корпус выполнен из пластика.</p>

<p>В комплект поставки входят 6 вилок с цветными наконечниками и кольцо для фондю.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Бесступенчатая регулировка температуры</li>
<li>Сменный фильтр против запахов и жира</li>
<li>На корпусе указана информация о времени и температуре приготовления различных продуктов</li>
<li>Защита от перегрева </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: до 190 °C</li>
</ul>",211301,220 В,0.84 кВт,190 мм,190 мм,240 мм,,,,0,https://entero.ru/manuals/247799/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bomann%20FFR%201290%20CB.pdf,6492,,1.2 кг,Германия,Китай,1 л,
https://cdn.entero.ru/mp@2x/92/70/9270807d489efa8d314d8fc782e17103.jpg,Фритюрница-фондю Clatronic FFR 2916,Фритюрница-фондю Clatronic FFR 2916,4999,RUB,Да,,Бытовая техника,Техника для кухни,Фритюрницы,https://entero.ru/item/226479,"<p>Фритюрница-фондю <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226479""><b class=""b"">Clatronic FFR 2916</b></a> предназначена для приготовления различных продуктов в большом количестве горячего масла или жира и фондю в частных домах и квартирах. Модель оснащена бесступенчатым регулятором температуры, световыми индикаторами питания и нагрева, корзиной для жарки со съемной ручкой и съемной крышкой с фильтром против запахов. Корпус выполнен из белого и серого пластика.</p>

<p>В комплект поставки входят 6 вилок с цветными наконечниками и кольцо для фондю с держателями для вилок.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Теплоизолированный корпус</li>
<li>Компактный размер</li>
<li>На корпусе указана информация о времени и температуре приготовления различных продуктов</li>
<li>Съемные детали можно мыть в посудомоечной машине</li>
<li>Защита от перегрева </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: до 190 °C</li>
</ul>",226479,220 В,0.9 кВт,240 мм,190 мм,190 мм,,,,0,https://entero.ru/manuals/272910/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20FFR%202916.pdf,6492,,0.9 кг,Германия,Китай,1 л,
https://cdn.entero.ru/mp@2x/13/61/136141d0af3240c999a9267307e90067.jpg;https://cdn.entero.ru/mp@2x/bf/0d/bf0d7d0f47bc58bd9a91e3c26a9d1977.jpg;https://cdn.entero.ru/mp@2x/34/32/34328d539c7b94bf2a004c74acb46264.jpg;https://cdn.entero.ru/mp@2x/bd/44/bd44797d176246f03ed4ddeed19e6323.jpg;https://cdn.entero.ru/mp@2x/5f/6d/5f6d0f2586930e6782dbd86af8e2fab0.jpg;https://cdn.entero.ru/mp@2x/86/c5/86c567d5d204e690acfaee0fef0c8690.jpg,Фритюрница-фондю Steba DF 95,DF 95 / 26.45.00,7510,RUB,Да,,Бытовая техника,Техника для кухни,Фритюрницы,https://entero.ru/item/303306,"<p><span class=""b"">Фритюрница-фондю</span><b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/303306"">Steba DF 95</a></b> используется в домашних условиях для приготовления фондю – национального блюда швейцарской кухни с сырной или шоколадной основой, а также выпечки и различных блюд с хрустящей корочкой путем обжаривания в большом объеме масла или жира. Модель оснащена кабелем питания с вилкой и электромеханической панелью управления. Внешняя облицовка корпуса, внутренняя поверхность крышки, корзина и вилки выполнены из нержавеющей стали, верх крышки, основание прибора, кольцо и рукоятки – из пластика черного цвета,.</p>

<p>В комплект поставки входят решетчатая корзина со съемной термоизолированной рукояткой, кольцо с фиксирующими пазами и 8 вилок для фондю с цветовой маркировкой.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Бесступенчатая регулировка температуры с помощью термостата с поворотным переключателем</li>
<li>Светодиодный индикатор нагрева</li>
<li>Съемная крышка со смотровым окном и постоянным фильтром</li>
<li>Рекомендации по приготовлению различных продуктов на фронтальной панели</li>
<li>Надежная фиксация крышки и разблокировка с помощью поворотной рукоятки</li>
<li>Рукоятки для удобства транспортировки </li>
<li>Устойчивая нескользящая база</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Диапазон рабочей температуры: от 80 до 190 °C</li>
<li>Габариты корзины: 75х130х120 мм</li>
</ul>",303306,220 В,0.84 кВт,245 мм,225 мм,195 мм,,,,0,https://entero.ru/manuals/363634/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20DF%2095.pdf,9882,,,Германия,Китай,1.2 л,
https://cdn.entero.ru/mp@2x/ba/a9/baa960029e9db2b25d235dccc3608713.jpg;https://cdn.entero.ru/mp@2x/6a/cc/6accade2b48ba327d67421257cc5a932.jpg;https://cdn.entero.ru/mp@2x/53/09/5309a02d383f91e73b9b25caf12b7bb9.jpg;https://cdn.entero.ru/mp@2x/57/38/5738f6b592a0226a76be5442c40b5591.jpg;https://cdn.entero.ru/mp@2x/bc/90/bc90a77ebcc918cdf274a62df80bf442.jpg,Аэрофритюрница VIATTO VA-AF677,Аэрофритюрница VIATTO VA-AF677,7876,RUB,Да,VIATTO,Бытовая техника,Техника для кухни,Фритюрницы,https://entero.ru/item/197945,"<p>Аэрофритюрница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/197945"">Viatto VA-AF677</a></b> предназначена для приготовления различных блюд без использования масла в частных домах и квартирах. Модель оснащена электронной панелью управления с дисплеем. Корпус выполнен из пластика, чаша - из металла с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>8 встроенных программ</li>
<li>Режим ручной настройки</li>
<li>Таймер</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем чаши: 6 л</li>
<li>Температурный режим: от 30 до 200 °C</li>
<li>Габариты в упаковке: 480х376х424 мм</li>
</ul>",197945,220 В,1.8 кВт,320 мм,320 мм,350 мм,7 кг,1,480x376x424 мм,147,https://entero.ru/manuals/408528/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-AF677.pdf;https://entero.ru/manuals/408529/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/463324/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-AF677.pdf;https://entero.ru/manuals/463325/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,6.82 кг,Китай,Китай,6 л,
https://cdn.entero.ru/mp@2x/f9/e6/f9e629da6e19347abfc199b097ed3bfd.jpg;https://cdn.entero.ru/mp@2x/08/70/08702954896fe06a00b61b29e031ae0f.jpg;https://cdn.entero.ru/mp@2x/cd/9e/cd9e60e165a6739e83f9d20b4cae7da6.jpg;https://cdn.entero.ru/mp@2x/90/ad/90ad170e19819a1e9649b2aaf68a9a73.jpg,Аэрофритюрница Geniard GA-AF539T,Аэрофритюрница Geniard GA-AF539T,8378,RUB,Да,,Бытовая техника,Техника для кухни,Фритюрницы,https://entero.ru/item/375883,"<p><span class=""b"">Аэрофритюрница</span><b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375883"">Geniard GA-AF539T</a></b> предназначена для приготовления различных продуктов без масла в частных домах и квартирах. Модель оснащена сенсорной панелью управления с панелью. Устройство сочетает в себе преимущества фритюрницы, духовки и гриля. Прозрачная чаше позволяет контролировать процесс приготовления блюда. 3D-циркуляция воздуха обеспечивает оптимальное сочетание хрустящей внешней корочки и нежного внутреннего наполнения блюда. Чаша выполнена из стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>8 программ: картофель фри, крылышки, курица, стейк, креветки, рыба, разморозка и ручной режим</li>
<li>Автоматический контроль температуры</li>
<li>Таймер</li>
<li>Термостойкая ручка</li>
<li>Мытье чаши в посудомоечной машине</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура: от +40 до +200 °С</li>
<li>Таймер: от 1 до 60 мин.</li>
<li>Угол обзора чаши: 360 °</li>
</ul>",375883,220 В,от 1.2 до 1.4 кВт,270 мм,270 мм,290 мм,5.5 кг,1,392x340x330 мм,143,https://entero.ru/manuals/513926/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Geniard%20GA-AF539T.pdf;https://entero.ru/manuals/513927/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/513928/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/513929/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Geniard%20GA-AF539T.pdf,,,,Россия,Китай,5.5 л,
https://cdn.entero.ru/mp@2x/e8/ce/e8cee964e0e381e707c9e9f119b5226d.jpg;https://cdn.entero.ru/mp@2x/c4/ae/c4ae8e0ed79ed2781350c6103a264af6.jpg;https://cdn.entero.ru/mp@2x/9d/c2/9dc2574dfdd044f8c7016fc230d40e8c.jpg,Фритюрница Clatronic FR 3587,Фритюрница Clatronic FR 3587,8990,RUB,Да,,Бытовая техника,Техника для кухни,Фритюрницы,https://entero.ru/item/172600,"<p><span class=""b"">Фритюрница</span><b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/172600"">Clatronic FR 3587</a></b> предназначена для приготовления различных продуктов в большом количестве горячего масла или жира в частных домах и квартирах. Модель оснащена термостатом с контрольной лампой, съемным контейнером для масла, крышкой со смотровым окном и термоизолированной ручкой. Корпус, крышка и нагревательный элемент выполнены из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Плавная регулировка температуры</li>
<li>Технология холодной зоны</li>
<li>Нагревательный элемент погруженный в масло</li>
<li>Сменный фильтр от запахов и дыма</li>
<li>Резервуар для конденсата</li>
<li>Защита от перегрева</li>
<li>Отсек для хранения кабеля</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 3 л</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 2 кВт</li>
</ul>",172600,,,,,,,,,0,https://entero.ru/manuals/199116/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20FR%203587.pdf,11829,,,,,,
