Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Материал,Вместимость
https://cdn.entero.ru/mp@2x/17/ae/17ae3f352da356d30b3558ff6057b60c.jpg;https://cdn.entero.ru/mp@2x/db/b1/dbb131bf93df66835e1bb1a2748fd986.jpg;https://cdn.entero.ru/mp@2x/d2/2e/d22e26740980b1bc1ab4c53b0d603f8d.jpg,Яйцеварка Rommelsbacher ER 600,Яйцеварка Rommelsbacher ER 600,7840,RUB,Да,Rommelsbacher,Бытовая техника,Техника для кухни,Яйцеварки,https://entero.ru/item/173158,"<p>Яйцеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173158"">Rommelsbacher ER 600</a></b> используется в частных домах, квартирах, отелях и офисах для приготовления куриных яиц до выбранной степени готовности. Модель оснащена поворотным регулятором времени варки, контрольной лампой и съемной прозрачной крышкой. Корпус и нагревательная чаша выполнены из нержавеющей стали.</p>

<p>В комплект поставки входит мерный стакан с приспособлением для накалывания яиц, съемный держатель для яиц и вставка для приготовления яиц без скорлупы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный контроль времени приготовления</li>
<li>Звуковой сигнал по окончании приготовления</li>
<li>Защита от выкипания</li>
<li>Отсек для хранения кабеля</li>
</ul>",173158,220 В,0.4 кВт,228 мм,105 мм,131 мм,0,https://entero.ru/manuals/200437/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rommelsbacher%20ER%20600%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/200438/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Rommelsbacher%20ER%20600%20%28%D0%BD%D0%B5%D0%BC.%29.pdf,,0.7 кг,Германия,Китай,металл,6
https://cdn.entero.ru/mp@2x/ad/ae/adae93a6cd6f0b1693445bdf0fba00cb.jpg;https://cdn.entero.ru/mp@2x/5b/ef/5befdaaf79e9a3fff0087399d9815b00.jpg;https://cdn.entero.ru/mp@2x/64/67/6467c24ea0d7c08ea40bbfca77519819.jpg,Яйцеварка Profi Cook PC-EK 1275,Яйцеварка Profi Cook PC-EK 1275,5655,RUB,Да,,Бытовая техника,Техника для кухни,Яйцеварки,https://entero.ru/item/338981,"<p>Яйцеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/338981"">Profi Cook PC-EK 1275</a></b> используется в частных домах, квартирах, отелях и офисах для приготовления куриных яиц до выбранной степени готовности. Модель оснащена поворотным выключателем, светодиодным индикатором работы и прозрачной крышкой с отверстием для выпуска пара. Корпус выполнен из нержавеющей стали, крышка - из тритана, не содержащего бисфенол А, варочная емкость - с антипригарным покрытием.</p>

<p>В комплект поставки входят съемная форма для приготовления омлета, мерная чашка с приспособлением для накалывания яиц, съемная подставка для яиц и вставка для приготовления яиц без скорлупы.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Степень готовности регулируется количеством воды</li>
<li>Звуковой сигнал по окончании времени приготовления</li>
<li>Отсек для хранения кабеля</li>
<li>Степень защиты: I</li>
</ul>",338981,220 В,0.4 кВт,,,,0,https://entero.ru/manuals/401779/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Profi%20Cook%20PC-EK%201275.pdf,,0.7 кг,Германия,Китай,нержавеющая сталь,8
https://cdn.entero.ru/mp@2x/21/0a/210a94d3a0004e4de9049393294cd16d.jpg;https://cdn.entero.ru/mp@2x/be/77/be7707f3d801fd12ffc99a26d671ec99.jpg;https://cdn.entero.ru/mp@2x/69/a9/69a9f8a7694fefd15402ddbda2ee168d.jpg;https://cdn.entero.ru/mp@2x/aa/cd/aacd46b1c99ca1759c82bd2d8a339cf7.jpg;https://cdn.entero.ru/mp@2x/68/11/6811e26ff4cf4dd350e5de80730f19fd.jpg;https://cdn.entero.ru/mp@2x/7e/f0/7ef0c4b269e1f50ef563567277ebefba.jpg,Яйцеварка CASO E9,E 9,6033,RUB,Да,CASO,Бытовая техника,Техника для кухни,Яйцеварки,https://entero.ru/item/173065,"<p>Яйцеварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173065""><b class=""b"">CASO E9</b></a> используется в частных домах, квартирах, отелях и офисах для приготовления куриных яиц до выбранной степени готовности. Модель оснащена поворотным регулятором времени варки, светодиодным индикатором работы и прозрачной крышкой с отверстием для выпуска пара. Корпус выполнен из нержавеющей стали, крышка - из пластика, варочная емкость - с антипригарным покрытием.</p>

<p>В комплект поставки входят мерный стакан с приспособлением для накалывания яиц, съемная подставка для яиц и 2 емкости для приготовления яиц пашот.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 степени готовности</li>
<li>Электронное регулирование времени приготовления</li>
<li>Звуковой сигнал по окончании времени приготовления</li>
<li>Защита от выкипания</li>
</ul>",173065,220 В,0.4 кВт,175 мм,190 мм,170 мм,0,https://entero.ru/manuals/200218/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20E9.pdf,8619,1 кг,Германия,Китай,металл,8
https://cdn.entero.ru/mp@2x/97/c4/97c44a610c3d1dc60d4abd950ee2536f.jpg;https://cdn.entero.ru/mp@2x/00/2f/002fe67fa16543390063e3eeb5920d0e.jpg;https://cdn.entero.ru/mp@2x/22/c4/22c441c43642a70a64e8abd0970e3c2d.jpg;https://cdn.entero.ru/mp@2x/99/5f/995f22fc207414ed7c9f0a023103a9ca.jpg;https://cdn.entero.ru/mp@2x/42/3a/423a8aec3bfd158ec56089679fc39ff7.jpg;https://cdn.entero.ru/mp@2x/1c/77/1c77872144b10148d79e7bf0bb3ae132.jpg;https://cdn.entero.ru/mp@2x/c1/3c/c13ceb91c201a2bc6bacd25f766a2cc6.jpg;https://cdn.entero.ru/mp@2x/23/37/23377900e04a0ab90fa523ab2821508a.jpg;https://cdn.entero.ru/mp@2x/36/fb/36fbf10c50c302cb331a9629b26fa78e.jpg;https://cdn.entero.ru/mp@2x/fd/47/fd47700ed00b38f1a8a458b7bf509307.jpg;https://cdn.entero.ru/mp@2x/62/f0/62f00fa7b8bb90e18ca9b1618bd6eaf6.jpg;https://cdn.entero.ru/mp@2x/19/36/193667a76097b763f5eb1d399cf0cfb8.jpg,Яйцеварка Rommelsbacher ER 400,Яйцеварка Rommelsbacher ER 400,7217,RUB,Да,Rommelsbacher,Бытовая техника,Техника для кухни,Яйцеварки,https://entero.ru/item/173145,"<p>Яйцеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173145"">Rommelsbacher ER 400</a></b> используется в частных домах, квартирах, отелях и офисах для приготовления куриных яиц до выбранной степени готовности. Модель оснащена поворотным регулятором времени варки, выключателем питания с контрольной лампой и съемной прозрачной крышкой. Корпус и нагревательная чаша выполнены из нержавеющей стали.</p>

<p>В комплект поставки входит мерный стакан с приспособлением для накалывания яиц и съемный держатель для яиц.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный контроль времени приготовления</li>
<li>Звуковой сигнал по окончании приготовления</li>
<li>Защита от выкипания</li>
<li>Отсек для хранения кабеля</li>
</ul>",173145,220 В,0.4 кВт,205 мм,175 мм,135 мм,0,https://entero.ru/manuals/200402/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Rommelsbacher%20ER%20400%20%28%D0%BD%D0%B5%D0%BC.%29.pdf;https://entero.ru/manuals/200401/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Rommelsbacher%20ER%20400%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,10165,0.82 кг,Германия,Китай,металл,7
https://cdn.entero.ru/mp@2x/55/05/5505cb0e666c12ba5080c214a19fe7e9.jpg;https://cdn.entero.ru/mp@2x/1a/a7/1aa7ec9c4f6987a9980b29703d190986.jpg,Яйцеварка Bomann EK 5022 CB,EK 5022 CB weis-silber,3497,RUB,Да,Bomann,Бытовая техника,Техника для кухни,Яйцеварки,https://entero.ru/item/173189,"<p>Яйцеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173189"">Bomann EK 5022 CB</a></b> используется в частных домах, квартирах, отелях и офисах для приготовления куриных яиц до выбранной степени готовности. Модель оснащена кнопкой включения/выключения со световым индикатором. Нагревательная чаша имеет антипригарное покрытие.</p>

<p>В комплект поставки входит мерный стакан с приспособлением для накалывания яиц и съемный держатель для яиц.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Степень готовности регулируется количеством воды</li>
<li>Звуковой сигнал по окончании приготовления</li>
<li>Прозрачная крышка с ручками</li>
</ul>",173189,220 В,0.4 кВт,220 мм,135 мм,130 мм,0,https://entero.ru/manuals/200503/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bomann%20EK%205022%20CB.pdf,4790,0.65 кг,Германия,Китай,,6
https://cdn.entero.ru/mp@2x/20/43/204356bf6922fd87139f237ab87f6cd0.jpg,Яйцеварка Clatronic EK 3497,Яйцеварка Clatronic EK 3497,3497,RUB,Да,,Бытовая техника,Техника для кухни,Яйцеварки,https://entero.ru/item/226379,"<p>Яйцеварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226379""><b class=""b"">Clatronic EK 3497</b></a> используется в частных домах, квартирах, отелях и офисах для приготовления куриных яиц до выбранной степени готовности. Модель оснащена переключателем питания с подсветкой и прозрачной крышкой.</p>

<p>В комплект поставки входит мерный стакан с приспособлением для накалывания яиц и съемный держатель для яиц.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Звуковой сигнал по окончании приготовления</li>
<li>Антипригарное покрытие</li>
<li>Цвет: белый</li>
</ul>",226379,220 В,0.4 кВт,220 мм,135 мм,130 мм,0,https://entero.ru/manuals/272887/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20EK%203497.pdf,,0.65 кг,Германия,Китай,,6
https://cdn.entero.ru/mp@2x/32/1b/321b8ea73ae51856627524e3b8ff80e6.jpg;https://cdn.entero.ru/mp@2x/bb/9b/bb9b566ba6c7629cc9295196bf56f9ad.jpg,Яйцеварка Clatronic EK 3321,Яйцеварка Clatronic EK 3321,3990,RUB,Да,,Бытовая техника,Техника для кухни,Яйцеварки,https://entero.ru/item/226377,"<p>Яйцеварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226377""><b class=""b"">Clatronic EK 3321</b></a> используется в частных домах, квартирах, отелях и офисах для приготовления куриных яиц до выбранной степени готовности. Модель оснащена регулятором степени варки, мерной чашей, переключателем питания с подсветкой и съемной крышкой. Корпус и нагревательный элемент выполнены из нержавеющей стали.</p>

<p>В комплект поставки входит мерный стакан с приспособлением для накалывания яиц и съемный держатель для яиц.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Звуковой сигнал по окончании приготовления</li>
<li>Стильный дизайн</li>
</ul>",226377,220 В,0.4 кВт,,,,0,https://entero.ru/manuals/272885/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20EK%203321.pdf,5250,0.8 кг,Германия,Китай,металл,7
https://cdn.entero.ru/mp@2x/77/b2/77b238f6c82b43022a43ba7edeefc1e5.jpg;https://cdn.entero.ru/mp@2x/54/37/54378c353f2520378c83896f6da2b314.jpg;https://cdn.entero.ru/mp@2x/46/a0/46a0e88e246683cde12f51c931b94b61.jpg,Яйцеварка Steba EK 4,Яйцеварка Steba EK 4,4022,RUB,Да,,Бытовая техника,Техника для кухни,Яйцеварки,https://entero.ru/item/173100,"<p>Яйцеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173100"">Steba EK 4</a></b> используется в частных домах, квартирах, отелях и офисах для приготовления куриных яиц до выбранной степени готовности. Модель оснащена кнопкой включения, световым индикатором работы и ручкой. Корпус и крышка выполнены из пластика, варочная емкость - с антипригарным покрытием.</p>

<p>В комплект поставки входит мерный стакан с приспособлением для накалывания яиц.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Степень готовности регулируется количеством воды</li>
<li>Звуковой сигнал по окончании приготовления</li>
<li>Прозрачная крышка</li>
<li>Отсек для хранения кабеля</li>
</ul>",173100,220 В,0.35 кВт,230 мм,70 мм,130 мм,0,https://entero.ru/manuals/200289/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20EK%204%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,4788,0.5 кг,Германия,Китай,пластик,3
https://cdn.entero.ru/mp@2x/60/b7/60b776b8add748103729865affcb7282.jpg;https://cdn.entero.ru/mp@2x/2e/5b/2e5bb5e2efcd1227edbc2c614c0ce281.jpg;https://cdn.entero.ru/mp@2x/74/25/7425b9cf3d112076c0e50f244cfe5858.jpg;https://cdn.entero.ru/mp@2x/7c/3f/7c3f0db1bc74599aee3108b93ab4996f.jpg;https://cdn.entero.ru/mp@2x/5e/b5/5eb5b55cc22a8b0d604b4ac78e81c382.jpg,Яйцеварка CASO E3,E3 / E 3 / 2774,4022,RUB,Да,CASO,Бытовая техника,Техника для кухни,Яйцеварки,https://entero.ru/item/303309,"<p>Яйцеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/303309"">CASO E3</a></b> используется в домашних условиях для приготовления куриных яиц до выбранной степени готовности. Модель оснащена кабелем питания с вилкой, электромеханической панелью управления, съемной крышкой с рукояткой и паровыми отверстиями. Корпус выполнен из черного пластика с вставкой из высококачественной нержавеющей стали с сатинированной серебристой поверхностью, крышка – из прозрачного пластика.</p>

<p>В комплект поставки входит мерный стакан с приспособлением для прокалывания яиц и съемным гигиеничным колпачком.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка длительности варки с помощью автоматического таймера с поворотным переключателем</li>
<li>Светодиодный сигнальный индикатор работы</li>
<li>Звуковая сигнализация для оповещении о недостатка воды в резервуаре, начале и окончании приготовления</li>
<li>Простое управление благодаря интуитивно понятному символьному меню</li>
<li>Съемный лоток для яиц с 2 рукоятками для удобства загрузки, выгрузки и охлаждения под струей воды</li>
<li>Устойчивые нескользящие опоры</li>
<li>Отсек для хранения кабеля</li>
<li>Легкость очистки нагревательной пластины</li>
<li>Компактный корпус для удобства хранения и транспортировки</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон длительности приготовления: от 6 до 15 мин.</li>
<li>Объем стакана: 100 мл</li>
</ul>",303309,220 В,0.21 кВт,75 мм,215 мм,135 мм,0,https://entero.ru/manuals/363636/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20E3.pdf,5746,0.5 кг,Германия,Китай,"металл, пластик",3
https://cdn.entero.ru/mp@2x/9d/26/9d265f66953cdeac161625b9847b1929.jpg;https://cdn.entero.ru/mp@2x/ae/0f/ae0fa2c3ef2176c5ac85ec307632309a.jpg;https://cdn.entero.ru/mp@2x/4b/81/4b81f08b7bbe2bf8b4b798242129f731.jpg,Яйцеварка CASO E7,E 7,5654,RUB,Да,CASO,Бытовая техника,Техника для кухни,Яйцеварки,https://entero.ru/item/226374,"<p>Яйцеварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226374""><b class=""b"">CASO E7</b></a> используется в частных домах, квартирах, отелях и офисах для приготовления куриных яиц до выбранной степени готовности. Модель оснащена регулятором степени варки, выключателем питания с контрольной лампой и съемной прозрачной крышкой. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит мерный стакан с приспособлением для накалывания яиц и съемный держатель для яиц.</p>

<p><b>Особенности:</b></p>

<ul>
<li>13 уровней варки с электронным управлением</li>
<li>Звуковой сигнал по окончании приготовления</li>
<li>Антипригарное покрытие</li>
<li>Защита от выкипания</li>
<li>Отсек для хранения кабеля</li>
</ul>",226374,220 В,0.35 кВт,,,,0,https://entero.ru/manuals/272881/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20E7.pdf,,0.5 кг,Германия,Китай,металл,7
