Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Остаток,Файлы,Старая цена,Видео
https://cdn.entero.ru/mp@2x/10/de/10de2902738946cc2f37c78c38d9e0db.jpg,Фильтр FUNAI FAF-TRE600/6.0_HEPA для климатического комплекса TORII CC-TRE600/6.0(GF),Фильтр FUNAI FAF-TRE600/6.0_HEPA для климатического комплекса TORII CC-TRE600/6.0(GF),1990,RUB,Да,FUNAI,Климатическая техника,Аксессуары,https://entero.ru/item/220563,"<p>Фильтр <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/220563""><b class=""b"">FUNAI FAF-TRE600/6.0_HEPA</b></a> используется совместно с климатическим комплексом TORII CC-TRE600/6.0(GF) для очистки воздуха от мелких частиц пыли, аллергенов, вирусов, бактерий и неприятных запахов в офисах, гостиничных номерах, помещениях различных учреждений, а также в домашних условиях. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Ресурс: 2000 ч</li>
<li>Масса: 0,12 кг</li>
<li>Габариты: 190х245х29 мм</li>
</ul>",220563,0,,2551,
https://cdn.entero.ru/mp@2x/8b/6c/8b6c98b18ea60ef24d81ea364731b18a.jpg;https://cdn.entero.ru/mp@2x/f7/22/f7228dfd3fcd2eb9bf9776a313d15388.jpg;https://cdn.entero.ru/mp@2x/9d/d3/9dd3bbb17348332c038649d3b1b87ba9.jpg;https://cdn.entero.ru/mp@2x/6e/05/6e05b3251c239d42817679ace433b067.jpg,Проводной пульт управления Daikin BRC1H52W,Проводной пульт управления Daikin BRC1H52W,37464,RUB,Да,Daikin,Климатическая техника,Аксессуары,https://entero.ru/item/248015,"<p>Проводной пульт управления <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/248015"">Daikin BRC1H52W</a> </b>предназначен для управление климат-системой. Устройство обладает интуитивно понятным интерфейсом и touch-кнопкой управления. С помощью удобного приложения для смартфона Madoka Assistant технические специалисты и продвинутые пользователи могут настраивать через Bluetooth расширенные функции энергосбережения, график работы, устанавливать ограничение температуры, задавать параметры работы на время отсутствия пользователей.</p>

<p>Проводной пульт управления поддерживает энергосберегающие функции, такие как ключ-карта/открытие окна и является экономичным решением для организации инфраструктурного охлаждения с поддержкой чередования блоков и резервной работы. Компактные размеры позволяют установить пульт в стандартные электрические монтажные коробки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Многофункциональный дисплей</li>
<li>Основные функции:
<ul>
<li>Включение/выключение</li>
<li>Установка температуры</li>
<li>Задание режима</li>
<li>Установка скорости вращения вентилятора</li>
<li>Установка положения заслонок, работы фильтров</li>
</ul>
</li>
<li>Подсветка пульта в темноте</li>
<li>Индикация:
<ul>
<li>Режим работы</li>
<li>Скорость вентилятора</li>
<li>Установленная температура</li>
<li>Направление потока воздуха (положение заслонки)</li>
<li>Проверка тестирование / работа</li>
</ul>
</li>
<li>Таймер 24 часа</li>
<li>Двойной контроль температуры</li>
<li>Функция «Никого нет дома»</li>
<li>Управление по протоколу Bluetooth Bluetooth® low energy 4.2 или выше</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество подключаемых внутренних блоков: 1 группа / до 16 внутренних блоков</li>
<li>Диапазон рабочих температур: от 10 до 50 °С</li>
<li>Габариты: 85×85х25 мм</li>
<li>Вес: 0,11 кг</li>
<li>Цвет: белый</li>
</ul>",248015,0,https://entero.ru/manuals/302761/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Daikin%20BRC1H52W.pdf,,
https://entero.ru/i/nofoto-m.jpg,Пульт управления Тепломаш HL-10L,Пульт управления Тепломаш HL-10L,9582,RUB,Да,Тепломаш,Климатическая техника,Аксессуары,https://entero.ru/item/377003,"<p>Пульт управления <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/377003"">Тепломаш HL-10L</a></b> предназначен для совместного использования с тепловыми завесами<a href=""https://entero.ru/search.php?text=Тепломаш+КЭВ-100П4060W"" target=""_blank""> КЭВ-100П4060W</a>.</p>",377003,0,,,
https://cdn.entero.ru/mp@2x/a6/5d/a65d42901e3db7a8b815186fdc094788.jpg,Горелка газовая Теплодар АГГ-13К,Горелка газовая Теплодар АГГ-13К,34970,RUB,Да,,Климатическая техника,Аксессуары,https://entero.ru/item/245327,"<p>Газовая горелка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245327"">Теплодар АГГ-13К</a> </b>используется совместно с отопительными котлами Куппер ОК-9 (2.0) в частных домах, гаражах, на дачах и в других помещениях для сжигания природного газа и автоматического поддержания заданной температуры в системе отопления. Модель оснащена 1 инжекционной горелкой и смотровым окном для визуального контроля горения.</p>

<p>В комплект поставки входит пульт управления.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Энергозависимая модель, требует подключение к электросети</li>
<li>Автоматическое отключение в случае аварийных ситуаций</li>
<li>Комплектующие от ведущих европейских производителей</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Тепловая мощность: 13 кВт</li>
<li>Расход газа при максимальной мощности: 1,6 м<sup>3</sup>/ч</li>
<li>Номинальное давление газа: 1,5 кПа</li>
<li>Длина рожка: 363 мм</li>
<li>Габариты: 280х585х236 мм</li>
<li>Вес без пульта управления: 4,3 кг</li>
</ul>",245327,0,https://entero.ru/manuals/296420/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D0%B4%D0%B0%D1%80%20%D0%90%D0%93%D0%93-13%D0%9A.pdf;https://entero.ru/manuals/296421/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B8%20%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D0%B4%D0%B0%D1%80%20%D0%90%D0%93%D0%93-13%D0%9A.jpg;https://entero.ru/manuals/296422/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/296418/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D0%B4%D0%B0%D1%80.pdf,36811,
https://cdn.entero.ru/mp@2x/4f/72/4f72c5036ccdfed755d09afeb32efc4f.jpg,Горелка газовая Теплодар АГГ-40К (2015),Горелка газовая Теплодар АГГ-40К (2015),42960,RUB,Да,,Климатическая техника,Аксессуары,https://entero.ru/item/245497,"<p>Газовая горелка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/245497"">Теплодар АГГ-40К (2015)</a> </b>используется совместно с отопительными котлами Куппер Про-36 (2.0), Куппер Про-42 (2.0), Куппер Эксперт-45 в частных домах, гаражах, на дачах и в других помещениях для сжигания природного газа и автоматического поддержания заданной температуры в системе отопления. Модель оснащена 2 инжекционными горелками и смотровым окном для визуального контроля горения.</p>

<p>В комплект поставки входит пульт управления.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Энергозависимая модель, требует подключение к электросети</li>
<li>Автоматическое отключение в случае аварийных ситуаций</li>
<li>Комплектующие от ведущих европейских производителей</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Тепловая мощность: 2х 20 кВт</li>
<li>Расход газа при максимальной мощности: 4,8 м<sup>3</sup>/ч</li>
<li>Номинальное давление газа: 1,5 кПа</li>
<li>Длина рожков: 478 мм</li>
<li>Габариты: 322,5х695х217 мм</li>
<li>Вес без пульта управления: 5,1 кг</li>
</ul>",245497,0,https://entero.ru/manuals/296690/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D0%B4%D0%B0%D1%80%20%D0%90%D0%93%D0%93-40%D0%9A%20%282015%29.pdf;https://entero.ru/manuals/296691/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B8%20%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D0%B4%D0%B0%D1%80%20%D0%90%D0%93%D0%93-40%D0%9A%20%282015%29.jpg;https://entero.ru/manuals/296692/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/296689/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D0%B4%D0%B0%D1%80.pdf,,
https://cdn.entero.ru/mp@2x/20/96/209680b8081c0f7a1693b4751d2fd98f.jpg,Блок управления Греерс БПУ-Е,Блок управления Греерс БПУ-Е,51305,RUB,Да,Греерс,Климатическая техника,Аксессуары,https://entero.ru/item/296104,"<p>Блок управления <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/296104"">Греерс БПУ-Е</a></b> используется для комплексного управления электрическими воздушными завесами <a href=""https://entero.ru/item/229132"">ЗВП-М-Е</a>. Модель обеспечивает запуск, остановку и защиту подключаемых завес.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настенная установка</li>
<li>Степень защиты: 
<ul>
<li>При закрытой крышке: IP65</li>
<li>При открытой крышке: IP40</li>
</ul>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение: 380 В </li>
</ul>",296104,0,,55766,
https://cdn.entero.ru/mp@2x/93/8b/938b2ec42a3a48752c08fe7846ed43d1.jpg,Фланец плоский Россия Ду 150 Ру16 тип 01 ряд 1 исп. B Китай,Фланец плоский Россия Ду 150 Ру16 тип 01 ряд 1 исп. B Китай,2023,RUB,Да,,Климатическая техника,Аксессуары,https://entero.ru/item/242391,"<p>Фланец плоский <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/242391""><b class=""b"">Россия</b></a> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/242391""><b class=""b"">Ду 150 Ру16 тип 01 ряд 1 исп. B Китай</b></a> используется в системах водоснабжения, отопления, тепловых пунктов, пожаротушения и предназначен для трубопроводной арматуры, соединительных частей и трубопроводов, присоединительных фланцев машин, оборудования, приборов, патрубков, аппаратов и резервуаров. Аксессуар изготовлен из стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Давление условное: 16</li>
<li>Диаметр условный: 150 мм</li>
<li>Внутренний диаметр: 161 мм</li>
<li>Наружный диаметр: 280 мм</li>
<li>Диаметр крепежных отверстий: 22 мм</li>
<li>Количество крепежных отверстий: 8 шт</li>
<li>Номинальный диаметр шпилек: М20</li>
<li>Длина шпилек: 100 мм</li>
<li>Номинальный диаметр болтов: М20</li>
<li>Длина болтов: 80 мм</li>
<li>Толщина фланца: 25 мм</li>
<li>Диаметр присоединительной поверхности: 212 мм</li>
<li>Высота присоединительной поверхности: 3 мм</li>
<li>Расстояние между центрами крепежных отверстий: 240 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",242391,0,,2561,
https://cdn.entero.ru/mp@2x/2f/64/2f6414f31d6004874707fdc560f565c9.jpg,Фланец плоский Россия Ду 800 Ру16 тип 01 ряд 1 исп. B Китай,Фланец плоский Россия Ду 800 Ру16 тип 01 ряд 1 исп. B Китай,22177,RUB,Да,,Климатическая техника,Аксессуары,https://entero.ru/item/238601,"<p>Фланец плоский <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/238601""><b class=""b"">Россия</b></a> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/238601""><b class=""b"">Ду 800 Ру16 тип 01 ряд 1 исп. B Китай</b></a> используется в системах водоснабжения, отопления, тепловых пунктов, пожаротушения и предназначен для трубопроводной арматуры, соединительных частей и трубопроводов, присоединительных фланцев машин, оборудования, приборов, патрубков, аппаратов и резервуаров. Аксессуар изготовлен из стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Давление условное: 16</li>
<li>Диаметр условный: 800 мм</li>
<li>Внутренний диаметр: 820 мм</li>
<li>Наружный диаметр: 1020 мм</li>
<li>Диаметр крепежных отверстий: 39 мм</li>
<li>Количество крепежных отверстий: 24 шт</li>
<li>Номинальный диаметр шпилек: М36</li>
<li>Длина шпилек: 180 мм</li>
<li>Номинальный диаметр болтов: М36</li>
<li>Длина болтов: 140 мм</li>
<li>Толщина фланца: 49 мм</li>
<li>Диаметр присоединительной поверхности: 905 мм</li>
<li>Высота присоединительной поверхности: 5 мм</li>
<li>Расстояние между центрами крепежных отверстий: 950 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>

<p> </p>",238601,0,,,
https://entero.ru/i/nofoto-m.jpg,"Гибкая подводка Тепломаш VR 1 м, 3/4, Г-Ш, SS вода","Гибкая подводка Тепломаш VR 1 м, 3/4, Г-Ш, SS вода",825,RUB,Да,Тепломаш,Климатическая техника,Аксессуары,https://entero.ru/item/377001,"<p>Гибкая подводка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/377001""><b class=""b"">Тепломаш VR 1 м, 3/4, Г-Ш, SS</b></a> предназначена для совместного использования с тепловыми завесами<a href=""https://entero.ru/search.php?text=Тепломаш+КЭВ-100П4060W"" target=""_blank""> КЭВ-100П4060W</a>.</p>",377001,0,,,
https://cdn.entero.ru/mp@2x/80/6b/806bf07a17d78afce4fd8fd3d99ced6a.jpg,Фланец воротниковый Россия Ду 100 Ру16 тип 11 ряд 1 исп. B ГОСТ 33259-2015,Фланец воротниковый Россия Ду 100 Ру16 тип 11 ряд 1 исп. B ГОСТ 33259-2015,1920,RUB,Да,,Климатическая техника,Аксессуары,https://entero.ru/item/242624,"<p>Фланец воротниковый <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/242624""><b class=""b"">Россия</b></a> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/242624""><b class=""b"">Ду 100 Ру16 тип 11 ряд 1 исп. B ГОСТ 33259-2015</b></a> используется в системах водоснабжения, отопления, тепловых пунктов, пожаротушения и предназначен для трубопроводной арматуры, соединительных частей и трубопроводов, присоединительных фланцев машин, оборудования, приборов, патрубков, аппаратов и резервуаров. Аксессуар изготовлен из стали 09Г2С по ГОСТ 33259-2015.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Давление условное: 16</li>
<li>Диаметр условный: 100 мм</li>
<li>Внутренний диаметр: 96 мм</li>
<li>Наружный диаметр: 215 мм</li>
<li>Диаметр крепежных отверстий: 18 мм</li>
<li>Количество крепежных отверстий: 8 шт</li>
<li>Номинальный диаметр шпилек: М16</li>
<li>Длина шпилек: 90 мм</li>
<li>Номинальный диаметр болтов: М16</li>
<li>Длина болтов: 70 мм</li>
<li>Толщина фланца: 17 мм</li>
<li>Диаметр присоединительной поверхности: 158 мм</li>
<li>Высота присоединительной поверхности: 3 мм</li>
<li>Расстояние между центрами крепежных отверстий: 180 мм</li>
</ul>

<p> </p>

<p> </p>",242624,0,,2560,
