Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Тип,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Цвет,Уровень шума,Исполнение,Пульт дистанционного управления
https://cdn.entero.ru/mp@2x/29/d1/29d1d067430ab9e228a9c3747a6a0b82.jpg;https://cdn.entero.ru/mp@2x/43/0e/430ebd8185d8bcce8887e8763b222817.jpg;https://cdn.entero.ru/mp@2x/4c/36/4c368c6482f676656cebf8064308ef5f.jpg;https://cdn.entero.ru/mp@2x/8c/76/8c76aafc3531b01240dab03d9cf2ee2e.jpg;https://cdn.entero.ru/mp@2x/ba/f0/baf0c92ad936769a38195edf62adef10.jpg,Вентилятор напольный ProfiCare PC-VL 3066 WM,PC-VL 3066 WM inox,8500,RUB,Да,,Климатическая техника,Вентиляторы,https://entero.ru/item/210365,"<p>Напольный вентилятор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/210365""><b class=""b"">ProfiCare PC-VL 3066 WM</b></a> обеспечивает направленную циркуляцию воздуха и позволяет контролировать качество воздуха в квартирах, коттеджах, частных домах, отелях и офисах. Модель оснащена переключателем скоростей и устойчивой подставкой. Корпус двигателя, подставка и защитная сетка выполнены из металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 режима скорости</li>
<li>Регулируемый угол наклона</li>
<li>Низкий уровень шума</li>
<li>Место для хранения кабеля</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр лопастей: 450 мм</li>
<li>Напряжение: 220 В</li>
<li>Габариты: 500х190х480 мм</li>
<li>Вес: 5,1 кг</li>
</ul>",210365,традиционный,100 Вт,,,,,Китай,,,0,https://entero.ru/manuals/246315/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-VL%203066%20WM.pdf,,нерж. сталь,,напольный,
https://cdn.entero.ru/mp@2x/95/da/95da819e19ec7bba4cf7eabb44c90926.jpg,Вентилятор BETTOSERB 120150,Вентилятор BETTOSERB 120150,6700,RUB,Да,,Климатическая техника,Вентиляторы,https://entero.ru/item/272953,"<p>Вентилятор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/272953"">BETTOSERB 120150</a></b> обеспечивает направленную циркуляцию воздуха и позволяет контролировать качество воздуха в квартирах, коттеджах, частных домах, отелях и офисах. Модель устанавливается на стену или потолок.</p>

<p><b>Особенности:</b></p>

<ul>
<li>С обратным клапаном</li>
<li>С автоматическим включением</li>
<li>С таймером</li>
<li>Степень защиты IPX4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная скорость вращения: 2501 об/мин.</li>
<li>Производительность: 100 м³/час</li>
<li>Вес с упаковкой: 0,45 кг</li>
</ul>",272953,,,,,,,Сербия,,,0,,,белый,31 дБ,"потолочный, настенный",
https://cdn.entero.ru/mp@2x/5c/e9/5ce95b079fb29ab34d7b4c30ee409697.jpg;https://cdn.entero.ru/mp@2x/14/d4/14d47df53070870e209874308a49476a.jpg;https://cdn.entero.ru/mp@2x/9b/22/9b22c0bb69aa9e2c5c3b64b0f035368c.jpg;https://cdn.entero.ru/mp@2x/b3/8d/b38de1afd7adc05e570a3ea5e12eebd6.jpg;https://cdn.entero.ru/mp@2x/67/ac/67ac7f7bdeea826f410130d1be51dc88.jpg,Вентилятор напольный ProfiCare PC-VL 3065 WM schwarz,Вентилятор напольный ProfiCare PC-VL 3065 WM schwarz,6748,RUB,Да,,Климатическая техника,Вентиляторы,https://entero.ru/item/374739,"<p>Напольный вентилятор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/374739""><b class=""b"">ProfiCare PC-VL 3065 WM </b></a>обеспечивает направленную циркуляцию воздуха и позволяет контролировать качество воздуха в квартирах, коттеджах, частных домах, отелях и офисах. Модель оснащена переключателем скоростей и устойчивой подставкой. Корпус двигателя, подставка и защитная сетка выполнены из металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 скорости</li>
<li>Регулируемый угол наклона</li>
<li>Низкий уровень шума</li>
<li>Место для хранения кабеля</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр лопастей: 400 мм</li>
<li>Напряжение: 220 В</li>
<li>Частота: от 50 до 60 Гц</li>
</ul>",374739,традиционный,100 Вт,510 мм,230 мм,490 мм,,Китай,,,0,,,черный,79 дБ,напольный,
https://cdn.entero.ru/mp@2x/cd/df/cddfc7293d5b4844462c92b0cc97bc53.jpg;https://cdn.entero.ru/mp@2x/64/0f/640fb903a627e472efa7eef3aeb3bfd8.jpg,Вентилятор Profi Cook PC-VL 3065 WM,Вентилятор Profi Cook PC-VL 3065 WM,6870,RUB,Да,,Климатическая техника,Вентиляторы,https://entero.ru/item/226740,"<p>Напольный вентилятор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226740""><b class=""b"">ProfiCare PC-VL 3065 WM </b></a>обеспечивает направленную циркуляцию воздуха в частных домах, квартирах, коттеджах, отелях и офисах. Модель оснащена защитной решеткой и ножкой. Корпус, защитная решетка и ножка выполнены из металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 скорости </li>
<li>Регулируемый угол наклона</li>
<li>Низкий уровень шума</li>
<li>Стильный ретро дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение: от 220 до 240 В</li>
<li>Частота: 50 Гц</li>
<li>Диаметр: 400 мм</li>
<li>Габариты: 510х230x490 мм</li>
<li>Вес: 4,9 кг</li>
</ul>",226740,традиционный,0.01 Вт,,,,,Китай,,,0,,,серебристый,,напольный,
https://cdn.entero.ru/mp@2x/3e/37/3e37b812bd812bfd311d739b987e7ee4.jpg,Вентилятор BETTOSERB 110154 с датчиком влажности,Вентилятор BETTOSERB 110154 с датчиком влажности,6900,RUB,Да,,Климатическая техника,Вентиляторы,https://entero.ru/item/272958,"<p>Вентилятор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/272958""><b class=""b"">BETTOSERB 110154</b></a> обеспечивает направленную циркуляцию воздуха и позволяет контролировать качество воздуха в квартирах, коттеджах, частных домах, отелях и офисах. Модель устанавливается на стену или потолок.</p>

<p><b>Особенности:</b></p>

<ul>
<li>С обратным клапаном</li>
<li>С датчиком влажности</li>
<li>Степень защиты IPX4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры: 160х160 мм</li>
<li>Максимальная скорость вращения: 2503 об/мин.</li>
<li>Производительность: 100 м³/час</li>
<li>Вес с упаковкой: 0,55 кг</li>
</ul>",272958,,,,,,,Сербия,,,0,,9452,белый,31 дБ,"потолочный, настенный",
https://cdn.entero.ru/mp@2x/59/85/59859fcde87d80e9323bb7e526f75e7e.jpg;https://cdn.entero.ru/mp@2x/0a/f7/0af7461390c46c9e07e4951424195cd4.jpg;https://cdn.entero.ru/mp@2x/b5/de/b5decf85dbe5a4f6b32b51f720e22e72.jpg;https://cdn.entero.ru/mp@2x/59/04/5904efd85d9f78af79e149138af2a116.jpg;https://cdn.entero.ru/mp@2x/17/97/17976e323e1cddff0839237f4cec1602.jpg,Вентилятор напольный ProfiCare PC-VL 3066 WM schwarz,Вентилятор напольный ProfiCare PC-VL 3066 WM schwarz,7549,RUB,Да,,Климатическая техника,Вентиляторы,https://entero.ru/item/374738,"<p>Напольный вентилятор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/374738""><b class=""b"">ProfiCare PC-VL 3066 WM </b></a>обеспечивает направленную циркуляцию воздуха и позволяет контролировать качество воздуха в квартирах, коттеджах, частных домах, отелях и офисах. Модель оснащена переключателем скоростей и устойчивой подставкой. Корпус двигателя, подставка и защитная сетка выполнены из металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 скорости</li>
<li>Регулируемый угол наклона</li>
<li>Низкий уровень шума</li>
<li>Место для хранения кабеля</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр лопастей: 450 мм</li>
<li>Напряжение: 220 В</li>
<li>Частота: от 50 до 60 Гц</li>
</ul>",374738,традиционный,100 Вт,,,,,Китай,,,0,https://entero.ru/manuals/506265/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-VL%203066%20WM.pdf,,черный,79 дБ,напольный,
https://cdn.entero.ru/mp@2x/a8/ce/a8ceb75ae8f8940e88ed0b1552038e5f.jpg;https://cdn.entero.ru/mp@2x/3d/c5/3dc5cd5850868e1f7bf0921ac71e81e8.jpg;https://cdn.entero.ru/mp@2x/ef/e4/efe4b2ec54aae32db48445a9909a2b2e.jpg,Вентилятор напольный ProfiCare PC-VL 3064 MS schwarz,Вентилятор напольный ProfiCare PC-VL 3064 MS schwarz,7549,RUB,Да,,Климатическая техника,Вентиляторы,https://entero.ru/item/374740,"<p>Напольный вентилятор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/374740""><b class=""b"">ProfiCare PC-VL 3064 MS</b></a> обеспечивает направленную циркуляцию воздуха в частных домах, квартирах, коттеджах, отелях и офисах. Модель оснащена защитной решеткой и ножкой. Корпус, защитная решетка и ножка выполнены из металла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 скорости</li>
<li>4-ступенчатый переключатель</li>
<li>Регулируемая высота и угол наклона</li>
<li>Низкий уровень шума</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение: от 220 до 240 В</li>
<li>Частота: 50 Гц</li>
<li>Диаметр: 400 мм</li>
</ul>",374740,традиционный,0.05 Вт,450 мм,300 мм,1240 мм,6.2 кг,Китай,,,0,https://entero.ru/manuals/506268/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-VL%203064%20MS.pdf,,черный,,напольный,
https://cdn.entero.ru/mp@2x/de/b2/deb252164b31fb666f8546244b19f680.jpg;https://cdn.entero.ru/mp@2x/66/20/6620a9dedc75335b86de521e5f16b72f.jpg;https://cdn.entero.ru/mp@2x/59/b4/59b46d809b67672f0c330078a1aa4262.jpg;https://cdn.entero.ru/mp@2x/55/a1/55a166acfe06e475ae640c0585c3c9d7.jpg;https://cdn.entero.ru/mp@2x/d0/54/d0544fe60db80614b3e489672c1333ca.jpg;https://cdn.entero.ru/mp@2x/25/c2/25c2c62853a2ae02854b821e1bc3cf00.jpg,Вентилятор Black+Decker BXEFF120E,ES9440100B,13167,RUB,Да,,Климатическая техника,Вентиляторы,https://entero.ru/item/283239,"<p>Вентилятор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283239"">Black+Decker BXEFF120E</a></b> предназначен для улучшения микроклимата путем создания направленной циркуляции воздушных потоков в офисах, гостиничных номерах, помещениях различных учреждений, а также домашних условиях. Модель оснащена 3-лопастным пропеллером, кабелем питания с вилкой и кнопочной панелью управления. Каркасная опора выполнена из трубчатого металлического профиля, лопасти – из металла.</p>

<p><b>Особенности: </b></p>

<ul>
<li>3 скорости интенсивности вентиляции </li>
<li>Массивные лопасти с аэродинамическими зазорами </li>
<li>Регулируемый угол наклона </li>
<li>Защитный решетчатый кожух</li>
<li>Устойчивая опора с нескользящими подпятниками</li>
<li>Низкий уровень вибрации и шума </li>
<li>Рукоятка для удобства транспортировки</li>
<li>Прочная надежная конструкция</li>
<li>Эргономичный элегантный дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение питания: 220 В</li>
<li>Максимальная производительность: 97,64 м³/мин.</li>
<li>Максимальная скорость воздушного потока: 4,13 м/с</li>
<li>Максимальный уровень звукового давления (А): 67,3 дБ</li>
<li>Максимальный угол наклона: 120°</li>
<li>Диаметр пропеллера: 450 мм</li>
</ul>",283239,традиционный,0.12 Вт,,,,,Китай,,,0,https://entero.ru/manuals/348742/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Black+Decker%20BXEFF120E.pdf,,серебристый,,напольный,
https://cdn.entero.ru/mp@2x/63/2f/632f1cde5c208c518f6cec613ce2690c.jpg;https://cdn.entero.ru/mp@2x/9b/73/9b736ee7263dd1c3a8eb6dfbe92a9daf.jpg;https://cdn.entero.ru/mp@2x/eb/e2/ebe26deb361f24e40b12434aa651eb92.jpg;https://cdn.entero.ru/mp@2x/c6/f1/c6f16e67f0fd83e920dabc660f02290a.jpg;https://cdn.entero.ru/mp@2x/8d/2f/8d2f2501312ebd22c032b708bd9ab056.jpg,Вентилятор ProfiCare PC-LK 3088,330880 / PC-LK 3088 weiss-titan,15990,RUB,Да,,Климатическая техника,Вентиляторы,https://entero.ru/item/283249,"<p>Вентилятор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283249"">ProfiCare PC-LK 3088</a></b> предназначен для улучшения микроклимата путем создания направленной циркуляции воздушных потоков в офисах, гостиничных номерах, помещениях различных учреждений, а также домашних условиях. Модель оснащена воздухозаборной решеткой с фильтром на задней стенке, круглым сквозным отверстием по центру с воздухопроводящей решеткой, расположенной сверху панелью управления с функциональными сенсорными клавишами, светодиодными цифровым дисплеем и индикаторами, пульт – мембранной клавиатурой. Вертикально ориентированный корпус прибора обтекаемой формы выполнен из ударопрочного белого пластика, верхняя панель – из серого полимера, корпус пульта прямоугольной формы – из белого пластика с фронтальной панелью из серого полимера.</p>

<p>В комплект поставки входят инфракрасный пульт дистанционного управления, съемный резервуар для воды и 2 охлаждающих элемента.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Безлопастная технология равномерного распределения воздушных потоков</li>
<li>Режимы вентиляции:
<ul>
<li>Speed: нормальный с постоянной работой на выбранной из 3 скоростей интенсивности</li>
<li>Wind:
<ul>
<li>Nature: чередование мощности для имитации естественного дуновения</li>
<li>Sleep: чередование мощности с последующим понижением в течение 30 мин. до минимальной для комфортного сна</li>
</ul>
</li>
</ul>
</li>
<li>Дополнительные функции:
<ul>
<li>Swing: автоматическое изменение направления воздушного потока </li>
<li>Cooler: увлажнение воздуха с охлаждающим эффектом</li>
<li>Timer: установка длительности работы с последующим автоматическим отключением</li>
</ul>
</li>
<li>Съемный моющийся воздушный фильтр для очистки от пыли и аллергенов</li>
<li>Цифровая индикация заданной длительности</li>
<li>Символьная светодиодная индикация интенсивности вентиляции, активных режимов и функций</li>
<li>Светодиодный индикатор со звуковым сигналом для оповещения о низком уровне воды в резервуаре</li>
<li>Защита от перегрева</li>
<li>Простое управление с помощью удобного меню</li>
<li>Встроенный Wi Fi модуль для возможности удаленного управления и мониторинга через смартфон с помощью приложения Smart Life - Smart Living</li>
<li>Низкое энергопотребление</li>
<li>Низкий уровень шума</li>
<li>Дренажный кран для удобства опорожнения резервуара</li>
<li>4 съемных колеса с фиксацией на винтах для удобства транспортировки</li>
<li>Питание пульта от литиевой батареи типа CR2025</li>
<li>Класс электрозащиты: II</li>
<li>Стандарты передачи данных сети Wi Fi: 802.11 b/g/n</li>
<li>Поддерживаемые ключи Wi Fi: WPA/WPA2</li>
<li>Эргономичный технический и стильный эстетический дизайн </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение питания: 220 В</li>
<li>Максимальная производительность увлажнения: 250 мл/ч</li>
<li>Диапазон заданной длительности работы по таймеру: от 30 мин. до 7,5 ч</li>
<li>Длительность непрерывной работы с функцией увлажнения при полном резервуаре: 20 ч</li>
<li>Параметры сети Wi Fi:
<ul>
<li>Частота передачи: 2,4 ГГц</li>
<li>Максимальная выходная мощность: 100 мВт</li>
<li>Количество каналов: 13</li>
</ul>
</li>
<li>Масса нетто: 6,65 кг</li>
<li>Объем резеввуара: 4,5 л</li>
<li>Рекомендуемая площадь помещения: 20 м²</li>
<li>Угол распределения воздушного потока: 360°</li>
<li>Габариты: 325х245х775 мм</li>
</ul>",283249,безлопастной,0.08 Вт,,,,,Китай,,,0,https://entero.ru/manuals/348749/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ProfiCare%20PC-LK%203088.pdf,,белый,,напольный,Да
https://cdn.entero.ru/mp@2x/4d/c4/4dc4d07f067a1948ed714e1d4c3f4f11.jpg;https://cdn.entero.ru/mp@2x/aa/80/aa808968e1b6c744a1834724ecdeff16.jpg,Вентилятор BETTOSERB 110150,Вентилятор BETTOSERB 110150,0,RUB,Нет,,Климатическая техника,Вентиляторы,https://entero.ru/item/272950,"<p>Вентилятор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/272950"">BETTOSERB 110150</a></b> обеспечивает направленную циркуляцию воздуха и позволяет контролировать качество воздуха в квартирах, коттеджах, частных домах, отелях и офисах. Модель устанавливается на стену или потолок.</p>

<p><b>Особенности:</b></p>

<ul>
<li>С обратным клапаном</li>
<li>Степень защиты IPX4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры: 140х98х140 мм</li>
<li>Максимальная скорость вращения: 2500 об/мин.</li>
<li>Производительность: 100 м³/час</li>
<li>Вес с упаковкой: 0,45 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Накладка для вентилятора <a href=""https://entero.ru/item/272971"">110150</a></li>
</ul>",272950,,,,,,,Сербия,,,0,,,белый,31 дБ,"потолочный, настенный",
