Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Производительность,Вес (с упаковкой),Давление,Объем бака,Монтаж,Степень защиты,Подвод воды
https://cdn.entero.ru/mp@2x/e3/1f/e31ff96bd8939ed249367cfb7fb811aa.jpg,Водонагреватель ГродТоргМаш ЭВАД-50/1.6М,"ЭВАД 50/1,6М",25894,RUB,Да,ГродТоргМаш,Климатическая техника,Водонагреватели,Накопительные,https://entero.ru/item/32334,"<p>Аккумуляционный электроводонагреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32334""><b class=""b"">ГродТогрМаш ЭВАД-50/1.6М</b></a> с термоизоляцией используется на предприятиях общественного питания, в частных домах, коттеджах, квартирах, общественных зданиях и других помещениях при наличии холодного водоснабжения для нагрева воды.</p>

<p>Электроводонагреватель обеспечивает для семьи из 3-4 человек все бытовые нужды горячей воды: ванна, душ, кухонные надобности и другие санитарно-гигиенические потребности.</p>

<p>Срок службы 7 лет.</p>

<p>В комплект поставки входит фильтр для очистки воды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрузок и перегрева</li>
<li>Обратный, предохранительный и перепускной клапан</li>
<li>Время нагрева воды до 65 °С не более 2,1 часа</li>
<li>Резервуар из нержавеющей стали</li>
<li>Трубчатый нагревательный элемент из латуни</li>
<li>Сертификаты:
<ul>
<li>Соответствие требованиям безопасности</li>
<li>Гигиенический</li>
</ul>
</li>
<li>Простая конструкция</li>
<li>Эксплуатация без надзора</li>
<li>Эффективная теплоизоляция </li>
<li>Исключен нагрев без воды</li>
<li>Электробезопасен в работе</li>
</ul>",32334,закрытый,от 35 до 77 °С,220 В,1.6 кВт,360 мм,370 мм,840 мм,,Россия,,,0,,,18 кг,,,,6 бар,50 л,настенный,,
https://cdn.entero.ru/mp@2x/d7/1d/d71d0b3dce987539128837b8627a47e2.jpg,Водонагреватель ГродТоргМаш ЭВАД-80/1.6М,"ЭВАД 80/1,6М",39903,RUB,Да,ГродТоргМаш,Климатическая техника,Водонагреватели,Накопительные,https://entero.ru/item/32335,"<p>Аккумуляционный электроводонагреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32335""><b class=""b"">ГродТогрМаш ЭВАД-80/1.6М</b></a> с термоизоляцией используется на предприятиях общественного питания, в частных домах, коттеджах, квартирах, общественных зданиях и других помещениях при наличии холодного водоснабжения для нагрева воды.</p>

<p>Электроводонагреватель обеспечивает для семьи из 3-4 человек все бытовые нужды горячей воды: ванна, душ, кухонные надобности и другие санитарно-гигиенические потребности.</p>

<p>Срок службы 7 лет.</p>

<p>В комплект поставки входит фильтр для очистки воды.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрузок и перегрева</li>
<li>Обратный, предохранительный и перепускной клапан</li>
<li>Время нагрева воды до 65 °С не более 2,5 часов</li>
<li>Резервуар из нержавеющей стали</li>
<li>Трубчатый нагревательный элемент из латуни</li>
<li>Сертификаты:
<ul>
<li>Соответствие требованиям безопасности</li>
<li>Гигиенический</li>
</ul>
</li>
<li>Простая конструкция</li>
<li>Эксплуатация без надзора</li>
<li>Эффективная теплоизоляция </li>
<li>Исключен нагрев без воды</li>
<li>Электробезопасен в работе</li>
</ul>",32335,закрытый,от 35 до 77 °С,220 В,1.6 кВт,360 мм,370 мм,1240 мм,,Россия,,,0,https://entero.ru/manuals/11838/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%93%D1%80%D0%BE%D0%B4%D0%A2%D0%BE%D1%80%D0%B3%D0%9C%D0%B0%D1%88%20%D0%AD%D0%92%D0%90%D0%94-80_1.6%D0%9C.jpg,,24 кг,,,,6 бар,80 л,настенный,,
https://cdn.entero.ru/mp@2x/86/cc/86cc749577324f6dbbaf775004dd8b2f.jpg;https://cdn.entero.ru/mp@2x/d2/96/d296a8aa814e019cbcb588647d9dd81b.jpg;https://cdn.entero.ru/mp@2x/0f/ef/0fef28917ef262787a74de7b4eaaf179.jpg;https://cdn.entero.ru/mp@2x/17/c0/17c06178e9adeed9b7519c74cb732e50.jpg;https://cdn.entero.ru/mp@2x/45/ed/45ed7c981f141af154161c965a6e3e00.jpg;https://cdn.entero.ru/mp@2x/36/f7/36f7c701a5eb097fdbc0e411130ea2b2.jpg,Накопительный водонагреватель THERMEX ER 200 V,SpT071017,40452,RUB,Да,,Климатическая техника,Водонагреватели,Накопительные,https://entero.ru/item/238499,"<p>Накопительный водонагреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/238499""><b class=""b"">THERMEX ER 200 V </b></a>предназначен для снабжения одной или нескольких точек водоразбора в квартирах, коттеджах, частных домах и т.д. Модель оснащена механической панелью управления, индикаторами включения и нагрева. Нагревательный элемент изготовлен из нержавеющей стали, внутренний бак - из биостеклофарфора.</p>

<p>В комплект поставки входит предохранительный клапан.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Трубчатый тип электрического нагревательного элемента</li>
<li>Ускоренный нагрев </li>
<li>Форм-фактор: круглый</li>
<li>Класс защиты: IPX4​</li>
<li>Вертикальная установка</li>
<li>Боковая подводка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество анодов: 1</li>
<li>Количество внутренних баков: 1</li>
<li>Режимы мощности: 2 / 4 / 6 кВт </li>
<li>Время нагрева всего объема до 45°: 115 мин.</li>
<li>Давление воды: от 0,05 до 0,6 МПа </li>
<li>Диаметр присоединения: 3/4""</li>
<li>​Расстояние:
<ul>
<li>Между патрубками подключения: 973 мм </li>
<li>От стены до патрубков подключения: 132 мм</li>
</ul>
</li>
</ul>",238499,закрытый,от 30 до 70 °С,380 В,6 кВт,560 мм,672 мм,1216 мм,61 кг,Россия,1,674x674x1325 мм,0,,43970,56.7 кг,,,61.2 кг,,200 л,напольный,,G 3/4
https://cdn.entero.ru/mp@2x/6e/67/6e678e48e1fbab1a701f7a4a85934c3a.jpg;https://cdn.entero.ru/mp@2x/bc/8e/bc8ea82606d2c32ed01174f9bf9ed488.jpg;https://cdn.entero.ru/mp@2x/66/15/66156c0fb478399bc4dd74668002fb99.jpg;https://cdn.entero.ru/mp@2x/b0/7d/b07d692bad0eea3be6a5b3f3d7fdca7a.jpg;https://cdn.entero.ru/mp@2x/61/a3/61a338d87e07197ebff99829535ca994.jpg,Накопительный водонагреватель THERMEX Praktik 100 V,ЭдЭ001641,19621,RUB,Да,,Климатическая техника,Водонагреватели,Накопительные,https://entero.ru/item/238758,"<p>Накопительный водонагреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/238758""><b class=""b"">THERMEX Praktik 100 V </b></a>предназначен для снабжения одной или нескольких точек водоразбора в квартирах, коттеджах, частных домах и т.д. Модель оснащена механической панелью управления, термометром, индикаторами включения и нагрева. Нагревательный элемент и вннутренний бак изготовлены из нержавеющей стали.</p>

<p>В комплект поставки входит предохранительный клапан.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Трубчатый тип электрического нагревательного элемента</li>
<li>Ускоренный нагрев </li>
<li>УЗО (устройство защитного отключения) </li>
<li>Форм-фактор: круглый</li>
<li>Класс защиты: IPX4​</li>
<li>Вертикальная установка</li>
<li>Нижняя подводка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество анодов: 1</li>
<li>Количество внутренних баков: 1</li>
<li>Режимы мощности: 1 / 1,5 / 2,5 кВт </li>
<li>Время нагрева всего объема до 45°: 120 мин.</li>
<li>Давление воды: от 0,05 до 0,6 МПа </li>
<li>Диаметр присоединения: 1/2""</li>
<li>​Расстояние:
<ul>
<li>Между патрубками подключения: 100 мм </li>
<li>От стены до патрубков подключения: 125 мм</li>
<li>От крепежных отверстий до патрубков: 729 мм</li>
<li>Между крепежными отверстиями: 236 мм</li>
<li>Между крепежными планками: 557 мм </li>
</ul>
</li>
</ul>",238758,закрытый,75 °С,220 В,2.5 кВт,445 мм,459 мм,903 мм,21 кг,Россия,1,475x495x965 мм,0,,,19.6 кг,,,21.9 кг,,100 л,настенный,,G 1/2
https://cdn.entero.ru/mp@2x/fb/8f/fb8f75ce51a796b455821730501869e8.jpg;https://cdn.entero.ru/mp@2x/1a/16/1a16f9d9b50c17d63e57ef631a793f6b.jpg;https://cdn.entero.ru/mp@2x/3c/b5/3cb5829f2ae0c3a5b6008d74dfde4c26.jpg;https://cdn.entero.ru/mp@2x/a0/0c/a00cf5fb2055db8ffef9884e4b56993a.jpg;https://cdn.entero.ru/mp@2x/47/0e/470ed1271a1d002de620d7a5c5b8d3d8.jpg,Накопительный водонагреватель THERMEX Praktik 150 V,ЭдЭ001812,25139,RUB,Да,,Климатическая техника,Водонагреватели,Накопительные,https://entero.ru/item/238711,"<p>Накопительный водонагреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/238711""><b class=""b"">THERMEX Praktik 150 V </b></a>предназначен для снабжения одной или нескольких точек водоразбора в квартирах, коттеджах, частных домах и т.д. Модель оснащена механической панелью управления, термометром, индикаторами включения и нагрева. Нагревательный элемент и вннутренний бак изготовлены из нержавеющей стали.</p>

<p>В комплект поставки входит предохранительный клапан.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Трубчатый тип электрического нагревательного элемента</li>
<li>Ускоренный нагрев </li>
<li>УЗО (устройство защитного отключения) </li>
<li>Форм-фактор: круглый</li>
<li>Класс защиты: IPX4​</li>
<li>Вертикальная установка</li>
<li>Нижняя подводка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество анодов: 1</li>
<li>Количество внутренних баков: 1</li>
<li>Режимы мощности: 1 / 1,5 / 2,5 кВт </li>
<li>Время нагрева всего объема до 45°: 180 мин.</li>
<li>Давление воды: от 0,05 до 0,6 МПа </li>
<li>Диаметр присоединения: 1/2""</li>
<li>​Расстояние:
<ul>
<li>Между патрубками подключения: 100 мм </li>
<li>От стены до патрубков подключения: 125 мм</li>
<li>От крепежных отверстий до патрубков: 1109 мм</li>
<li>Между крепежными отверстиями: 236 мм</li>
<li>Между крепежными планками: 937 мм </li>
</ul>
</li>
</ul>",238711,закрытый,75 °С,,2.5 кВт,445 мм,459 мм,1283 мм,27 кг,Россия,1,475x495x1345 мм,0,,,24.6 кг,,,27.6 кг,,150 л,настенный,,G 1/2
https://cdn.entero.ru/mp@2x/3a/e6/3ae697f3a4d81ba60ad30440f85afd67.jpg;https://cdn.entero.ru/mp@2x/9a/2c/9a2c9debed2c0fbe2bd3b5d94b2f0f53.jpg;https://cdn.entero.ru/mp@2x/25/de/25de239ecfbd03e4ee24b6013a3c9668.jpg;https://cdn.entero.ru/mp@2x/93/cb/93cbc7238d9d00cb401903f420e3e45d.jpg,Накопительный водонагреватель THERMEX MK 100 V,ЭдЭ001695,22000,RUB,Да,,Климатическая техника,Водонагреватели,Накопительные,https://entero.ru/item/239331,"<p>Накопительный водонагреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/239331""><b class=""b"">THERMEX MK 100 V </b></a>предназначен для снабжения одной или нескольких точек водоразбора в квартирах, коттеджах, частных домах и т.д. Модель оснащена механической панелью управления, индикаторами включения и нагрева. Нагревательный элемент изготовлен из меди, вннутренний бак - из нержавеющей стали.</p>

<p>В комплект поставки входит предохранительный клапан.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Трубчатый тип электрического нагревательного элемента</li>
<li>Ускоренный нагрев </li>
<li>УЗО (устройство защитного отключения) </li>
<li>Форм-фактор: плоский</li>
<li>Класс защиты: IPX4​</li>
<li>Вертикальная установка</li>
<li>Нижняя подводка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество анодов: 1</li>
<li>Количество нагревательных элементов: 1</li>
<li>Количество внутренних баков: 2</li>
<li>Режимы мощности: 0,8 / 1,2 / 2 кВт </li>
<li>Фактическое годовое потребление эл. энергии: 642,4 кВт/ч</li>
<li>Время нагрева всего объема до 45°: 160 мин.</li>
<li>Давление воды: от 0,05 до 0,7 МПа </li>
<li>Диаметр присоединения: 1/2""</li>
<li>​Расстояние:
<ul>
<li>Между патрубками подключения: 100 мм </li>
<li>От стены до патрубков подключения: 105 мм</li>
<li>От крепежных отверстий до патрубков: 890 мм</li>
<li>Между крепежными отверстиями: от 190 до 240 мм</li>
<li>Между крепежными планками: 550 мм </li>
</ul>
</li>
</ul>",239331,закрытый,75 °С,220 В,2 кВт,514 мм,290 мм,1184 мм,23 кг,Китай,1,562x330x1220 мм,0,,,20.6 кг,,,23.3 кг,,100 л,настенный,,G 1/2
https://cdn.entero.ru/mp@2x/d2/98/d2983f31f411f023af096ba98e8bca84.jpg;https://cdn.entero.ru/mp@2x/cb/d1/cbd1c38031a4fede429b83cec1868423.jpg;https://cdn.entero.ru/mp@2x/7c/9a/7c9a40df647aab9789712d2be325657b.jpg;https://cdn.entero.ru/mp@2x/a2/19/a2192e10a96c87d0d5b92643d27e0076.jpg;https://cdn.entero.ru/mp@2x/f7/53/f753028003f86a864e00032200902c94.jpg;https://cdn.entero.ru/mp@2x/25/ac/25acf6c98c3cc50c8608c6a44434e9df.jpg,Накопительный водонагреватель THERMEX ER 300 V,SpT071018,48962,RUB,Да,,Климатическая техника,Водонагреватели,Накопительные,https://entero.ru/item/238845,"<p>Накопительный водонагреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/238845""><b class=""b"">THERMEX ER 300 V </b></a>предназначен для снабжения одной или нескольких точек водоразбора в квартирах, коттеджах, частных домах и т.д. Модель оснащена механической панелью управления, индикаторами включения и нагрева. Нагревательный элемент изготовлен из нержавеющей стали, внутренний бак - из биостеклофарфора.</p>

<p>В комплект поставки входит предохранительный клапан.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Трубчатый тип электрического нагревательного элемента</li>
<li>Ускоренный нагрев </li>
<li>Форм-фактор: круглый</li>
<li>Класс защиты: IPX4​</li>
<li>Вертикальная установка</li>
<li>Боковая подводка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество анодов: 1</li>
<li>Количество внутренних баков: 1</li>
<li>Режимы мощности: 2 / 4 / 6 кВт </li>
<li>Время нагрева всего объема до 45°: 170 мин.</li>
<li>Давление воды: от 0,05 до 0,6 МПа </li>
<li>Диаметр присоединения: 3/4""</li>
<li>​Расстояние:
<ul>
<li>Между патрубками подключения: 1453 мм </li>
<li>От стены до патрубков подключения: 132 мм</li>
</ul>
</li>
</ul>",238845,закрытый,,380 В,6 кВт,560 мм,672 мм,1593 мм,80 кг,Россия,1,659x659x1805 мм,0,,53220,73.8 кг,,,80.1 кг,,300 л,напольный,,G 3/4
https://cdn.entero.ru/mp@2x/44/2a/442ac5f977b69768aa1ee06744670742.jpg,Накопительный водонагреватель Edisson ES 30 V,ЭдЭ001796,6973,RUB,Да,,Климатическая техника,Водонагреватели,Накопительные,https://entero.ru/item/239339,"<p>Электрический накопительный водонагреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/239339"">Edisson ES 30 V</a></b> серии Glassined используется в местных системах водоснабжения для постоянного автономного обеспечения горячей водой одной или нескольких точек водоразбора таких как санитарные узлы, кухни в жилых и загородных частных домах, а также других бытовых и хозяйственных объектах. Модель оснащена внутренним баком, погружным трубчатым электронагревателем (ТЭНом) с фланцевым креплением, резьбовыми штуцерами для подвода холодной и выхода горячей воды, термостатом и кабелем питания с вилкой. Вертикально ориентированный корпус цилиндрической формы выполнен из металла с антикоррозийным покрытием белого цвета, внутненний бак – из стали с покрытием эмалью, ТЭН – из меди, термоизоляция – из полиуретана высокой плотности.</p>

<p>В комплект поставки входят набор монтажных креплений, заводская упаковка, инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры с помощью поворотной ручки в центре нижней панели</li>
<li>Автоматическое поддержание заданной температуры</li>
<li>Светодиодная индикация питания и нагрева</li>
<li>Магниевый анод для дополнительной защиты от коррозии и накипи</li>
<li>Защита от перегрева</li>
<li>Предохранительный клапан для предотвращения возврата воды и защиты от избыточного давления</li>
<li>Вертикальная установка</li>
<li>Нижнее подключение воды </li>
<li>Простое механическое управление</li>
<li>Легкий и быстрый монтаж</li>
<li>Скрытые крепления</li>
<li>Эргономичный современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная температура нагрева: 70 °С</li>
<li>Температура защитного отключения при перегреве: 85 °С</li>
<li>Длительность нагрева всего объема при разности температур 45 °C: 1 ч 5 мин.</li>
<li>Гарантия на внутренний бак: 3 г.</li>
<li>Диаметр резьбы выходного штуцера: 1/2""</li>
</ul>",239339,закрытый,,220 В,1.5 кВт,365 мм,378 мм,501 мм,14.7 кг,Россия,1,400x400x560 мм,0,https://entero.ru/manuals/295545/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Edisson%20ES%2030%20V.pdf;https://entero.ru/manuals/295546/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,13.5 кг,,,14.7 кг,от 0.5 до 6 бар,30 л,настенный,IPX4,G 1/2
https://cdn.entero.ru/mp@2x/54/12/5412cf909adf745195168dd62fc0ce62.jpg,Накопительный водонагреватель Edisson ER 100 V,ЭдЭ001798,10755,RUB,Да,,Климатическая техника,Водонагреватели,Накопительные,https://entero.ru/item/239341,"<p>Электрический накопительный водонагреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/239341"">Edisson ER 100 V</a></b> серии Glassined используется в местных системах водоснабжения для постоянного автономного обеспечения горячей водой одной или нескольких точек водоразбора таких как санитарные узлы, кухни в жилых и загородных частных домах, а также других бытовых и хозяйственных объектах. Модель оснащена внутренним баком, погружным трубчатым электронагревателем (ТЭНом) с фланцевым креплением, резьбовыми штуцерами для подвода холодной и выхода горячей воды, термостатом и кабелем питания с вилкой. Вертикально ориентированный корпус цилиндрической формы выполнен из металла с антикоррозийным покрытием белого цвета и нижней крышкой светло-серого цвета, внутненний бак – из стали с покрытием эмалью, ТЭН – из меди, термоизоляция – из полиуретана высокой плотности.</p>

<p>В комплект поставки входят набор монтажных креплений, заводская упаковка, инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка температуры с помощью поворотной ручки в центре нижней панели</li>
<li>Автоматическое поддержание заданной температуры</li>
<li>Светодиодная индикация питания и нагрева</li>
<li>Магниевый анод для дополнительной защиты от коррозии и накипи</li>
<li>Защита от перегрева</li>
<li>Предохранительный клапан для предотвращения возврата воды и защиты от избыточного давления</li>
<li>Вертикальная установка</li>
<li>Нижнее подключение воды </li>
<li>Простое механическое управление</li>
<li>Легкий и быстрый монтаж</li>
<li>Скрытые крепления</li>
<li>Эргономичный современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная температура нагрева: 70 °С</li>
<li>Температура защитного отключения при перегреве: 85 °С</li>
<li>Длительность нагрева всего объема при разности температур 45 °C: 3 ч 30 мин.</li>
<li>Гарантия на внутренний бак: 3 г.</li>
<li>Диаметр резьбы выходного штуцера: 1/2""</li>
</ul>",239341,закрытый,,220 В,1.5 кВт,445 мм,459 мм,903 мм,26.7 кг,Россия,1,475x495x965 мм,0,https://entero.ru/manuals/295537/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Edisson%20ER%20100%20V.pdf;https://entero.ru/manuals/295538/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,24.4 кг,,,26.7 кг,от 0.5 до 6 бар,100 л,настенный,IPX4,G 1/2
https://cdn.entero.ru/mp@2x/ff/d8/ffd820b012935cb0ed3bd03155ef704c.jpg;https://cdn.entero.ru/mp@2x/00/03/0003a83b924b560416cffc0b92b252d3.jpg;https://cdn.entero.ru/mp@2x/c2/0f/c20fa3dfe0ad336d0d37be47fd98de71.jpg;https://cdn.entero.ru/mp@2x/79/0f/790fae6801ae47addb9fd5c3413a2212.jpg;https://cdn.entero.ru/mp@2x/a5/c4/a5c4cfb181106ea5dd34ee71e17f4a75.jpg,Накопительный водонагреватель THERMEX MK 50 V,ЭдЭ001693,15652,RUB,Да,,Климатическая техника,Водонагреватели,Накопительные,https://entero.ru/item/239329,"<p>Накопительный водонагреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/239329""><b class=""b"">THERMEX MK 50 V </b></a>предназначен для снабжения одной или нескольких точек водоразбора в квартирах, коттеджах, частных домах и т.д. Модель оснащена механической панелью управления, индикаторами включения и нагрева. Нагревательный элемент изготовлен из меди, вннутренний бак - из нержавеющей стали.</p>

<p>В комплект поставки входит предохранительный клапан типа GP и комплект анкеров для крепежа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Погружной ТЭН </li>
<li>Ускоренный нагрев </li>
<li>УЗО (устройство защитного отключения) </li>
<li>Форм-фактор: плоский</li>
<li>Класс защиты: IPX4​</li>
<li>Вертикальная установка</li>
<li>Нижняя подводка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество анодов: 1</li>
<li>Количество нагревательных элементов: 1</li>
<li>Количество внутренних баков: 2</li>
<li>Режимы мощности: 0,8 / 1,2 / 2 кВт </li>
<li>Фактическое годовое потребление эл. энергии: 496,4 кВт/ч</li>
<li>Время нагрева всего объема до 45°: 80 мин.</li>
<li>Давление воды: от 0,05 до 0,7 МПа </li>
<li>Диаметр присоединения: 1/2""</li>
<li>​Расстояние:
<ul>
<li>Между патрубками подключения: 100 мм </li>
<li>От стены до патрубков подключения: 91 мм</li>
<li>От крепежных отверстий до патрубков: 715 мм</li>
<li>Между крепежными отверстиями: от 190 до 240 мм</li>
<li>Между крепежными планками: 490 мм </li>
</ul>
</li>
</ul>",239329,закрытый,75 °С,220 В,2 кВт,434 мм,250 мм,870 мм,14 кг,Китай,1,485x295x905 мм,0,,,12.2 кг,,,14.8 кг,,50 л,настенный,,G 1/2
