Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Подключение,Объем,Давление,Степень защиты,Подвод воды,Все (с упаковкой)
https://cdn.entero.ru/mp@2x/87/3e/873ec992178debc888c45827a2cbb469.jpg,Водонагреватель проточный ГродТоргМаш ЭВПЗ-15,Водонагреватель проточный ГродТоргМаш ЭВПЗ-15,49447,RUB,Да,ГродТоргМаш,Климатическая техника,Водонагреватели,Проточные,https://entero.ru/item/32336,"<p>Проточный водонагреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32336""><b class=""b"">ГродТогрМаш ЭВПЗ-15</b></a> используется в нескольких водоразборных точках на предприятиях общественного питания и промышленного производства, в частных домах, коттеджах, квартирах, общественных зданиях и других помещениях для нагрева воды.</p>

<p>Для подключения водонагревателя необходимо иметь подвод электроэнергии и воды.</p>

<p>Срок службы 7 лет.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от перегрузок и перегрева</li>
<li>Резервуар, трубы подвода и отбора из нержавеющей стали</li>
<li>Клапан безопасности:
<ul>
<li>Обратный, предохранительный и перепускной клапан</li>
<li>Осадочный фильтр</li>
<li>Крепежные детали</li>
</ul>
</li>
<li>Расход электроэнергии происходит только в момент разбора горячей воды</li>
<li>Эксплуатация без надзора</li>
</ul>",32336,замкнутый,от 0 до 80 °С,15 кВт,330 мм,230 мм,530 мм,20 кг,Россия,1,540x250x330 мм,12,https://entero.ru/manuals/484477/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%93%D1%80%D0%BE%D0%B4%D0%A2%D0%BE%D1%80%D0%B3%D0%9C%D0%B0%D1%88%20%D0%AD%D0%92%D0%9F%D0%97-15.pdf;https://entero.ru/manuals/484478/%D0%91%D1%83%D0%BA%D0%BB%D0%B5%D1%82%20%D0%BD%D0%B0%20%D0%93%D1%80%D0%BE%D0%B4%D0%A2%D0%BE%D1%80%D0%B3%D0%9C%D0%B0%D1%88%20%D0%AD%D0%92%D0%9F%D0%97-15.pdf;https://entero.ru/manuals/484479/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20%D0%93%D1%80%D0%BE%D0%B4%D0%A2%D0%BE%D1%80%D0%B3%D0%9C%D0%B0%D1%88%20%D0%AD%D0%92%D0%9F%D0%97-15.pdf;https://entero.ru/manuals/484480/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,53169,,14.5 кг,,380 В,,6 бар,,G 1/2,
https://cdn.entero.ru/mp@2x/6d/f8/6df89cc1af8e25b3e65d4729045c9867.jpg,Водонагреватель проточный ЭВАН В1-6,13145,29500,RUB,Да,ЭВАН,Климатическая техника,Водонагреватели,Проточные,https://entero.ru/item/73242,"<p>Проточный водонагреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73242"">ЭВАН В1-6</a></b> класса «Стандарт» предназначен для горячего водоснабжения жилых, бытовых, производственных, сельскохозяйственных помещений в качестве основного или резервного источника горячей воды. Оборудование оснащено аварийным датчиком, который защищает от перегрева и срабатывает при температуре 85±2 °С.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка температуры теплоносителя от 30 до 75 °С</li>
<li>Защита от избыточного давления - предохранительный клапан</li>
<li>Обратный клапан защищает от включения при отсутствии воды</li>
<li>Блочные ТЭНы из нержавеющей стали</li>
</ul>",73242,замкнутый,от 30 до 75 °С,6 кВт,255 мм,180 мм,650 мм,,Россия,,,0,https://entero.ru/manuals/42681/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%AD%D0%92%D0%90%D0%9D.pdf;https://entero.ru/manuals/42680/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%921-6.pdf;https://entero.ru/manuals/42682/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%921-6.jpg;https://entero.ru/manuals/42683/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,30729,,20 кг,2 л/мин.,220 В,,0.6 бар,,,
https://cdn.entero.ru/mp@2x/35/5e/355ee0dfa4ec142251e032d686b2fbe3.jpg,Водонагреватель проточный ЭВАН ЭПВН-15,13026,42400,RUB,Да,ЭВАН,Климатическая техника,Водонагреватели,Проточные,https://entero.ru/item/33651,"<p>Проточный водонагреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33651"">ЭВАН ЭПВН-15</a></b> класса «Стандарт-эконом» предназначен для горячего водоснабжения жилых, бытовых, производственных, сельскохозяйственных помещений в качестве основного или резервного источника горячей воды. Оборудование оснащено самовозвратным термовыключателем и аварийным датчиком, который защищает от перегрева и срабатывает при температуре 85±3 °С.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от токов короткого замыкания и перегрузки - автоматический выключатель</li>
<li>Защита от избыточного давления - предохранительный клапан</li>
<li>Обратный клапан защищает от включения при отсутствии воды</li>
<li>ТЭНы из нержавеющей стали</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр жилы питающего кабеля: 4</li>
</ul>",33651,,66 °С,15 кВт,660 мм,350 мм,330 мм,,Россия,,,0,https://entero.ru/manuals/42353/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%AD%D0%92%D0%90%D0%9D.pdf;https://entero.ru/manuals/42351/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%AD%D0%9F%D0%92%D0%9D-15.pdf;https://entero.ru/manuals/42354/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%AD%D0%9F%D0%92%D0%9D-15.jpg;https://entero.ru/manuals/42352/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,44167,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456240951&hash=b0fd9863f261746d,20 кг,6.33 л/мин.,380 В,,,,,
https://cdn.entero.ru/mp@2x/92/9c/929c5dc434e7c5d9e67e7de8f9335eb8.jpg,"Водонагреватель проточный ЭВАН В1-7,5",13150,32500,RUB,Да,ЭВАН,Климатическая техника,Водонагреватели,Проточные,https://entero.ru/item/73243,"<p>Проточный водонагреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73243"">ЭВАН В1-7,5</a></b> класса «Стандарт» предназначен для горячего водоснабжения жилых, бытовых, производственных, сельскохозяйственных помещений в качестве основного или резервного источника горячей воды. Оборудование оснащено аварийным датчиком, который защищает от перегрева и срабатывает при температуре 85±2 °С.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка температуры теплоносителя от 30 до 75 °С</li>
<li>Защита от избыточного давления - предохранительный клапан</li>
<li>Обратный клапан защищает от включения при отсутствии воды</li>
<li>Блочные ТЭНы из нержавеющей стали</li>
</ul>",73243,замкнутый,от 30 до 75 °С,7.5 кВт,255 мм,180 мм,650 мм,,Россия,,,0,https://entero.ru/manuals/42685/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%AD%D0%92%D0%90%D0%9D.pdf;https://entero.ru/manuals/42684/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%921-7_5.pdf;https://entero.ru/manuals/42686/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%921-7_5.jpg;https://entero.ru/manuals/42687/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,20 кг,3 л/мин.,220 В,,0.6 бар,,,
https://cdn.entero.ru/mp@2x/f8/fd/f8fd940dcb472da958e6f212a756a578.jpg,Водонагреватель проточный ЭВАН В1-12,13160,43500,RUB,Да,ЭВАН,Климатическая техника,Водонагреватели,Проточные,https://entero.ru/item/73245,"<p>Проточный водонагреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73245"">ЭВАН В1-12</a></b> класса «Стандарт» предназначен для горячего водоснабжения жилых, бытовых, производственных, сельскохозяйственных помещений в качестве основного или резервного источника горячей воды. Оборудование оснащено аварийным датчиком, который защищает от перегрева и срабатывает при температуре 85±2 °С.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка температуры теплоносителя от 30 до 75 °С</li>
<li>Защита от избыточного давления - предохранительный клапан</li>
<li>Обратный клапан защищает от включения при отсутствии воды</li>
<li>Блочные ТЭНы из нержавеющей стали</li>
</ul>",73245,замкнутый,от 30 до 75 °С,12 кВт,255 мм,180 мм,650 мм,,Россия,,,0,https://entero.ru/manuals/42693/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%AD%D0%92%D0%90%D0%9D.pdf;https://entero.ru/manuals/42692/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%921-12.pdf;https://entero.ru/manuals/42694/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%921-12.jpg;https://entero.ru/manuals/42695/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,20 кг,5 л/мин.,380 В,,0.6 бар,,,
https://cdn.entero.ru/mp@2x/f9/1a/f91a4720082b45557e5dfb88b7093bd8.jpg,Водонагреватель проточный ЭВАН В1-24,13175,75700,RUB,Да,ЭВАН,Климатическая техника,Водонагреватели,Проточные,https://entero.ru/item/33899,"<p>Проточный водонагреватель<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33899"">ЭВАН В1-24</a></b> класса «Стандарт» предназначен для горячего водоснабжения жилых, бытовых, производственных, сельскохозяйственных помещений в качестве основного или резервного источника горячей воды. Оборудование оснащено аварийным датчиком, который защищает от перегрева и срабатывает при температуре 85±2 °С.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка температуры теплоносителя от 30 до 75 °С</li>
<li>Защита от избыточного давления - предохранительный клапан</li>
<li>Обратный клапан защищает от включения при отсутствии воды</li>
<li>Блочные ТЭНы из нержавеющей стали</li>
</ul>",33899,замкнутый,от 30 до 75 °С,24 кВт,255 мм,180 мм,650 мм,,Россия,,,0,https://entero.ru/manuals/42509/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%AD%D0%92%D0%90%D0%9D.pdf;https://entero.ru/manuals/42172/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%921-24.pdf;https://entero.ru/manuals/43122/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%921.jpg;https://entero.ru/manuals/42511/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,79684,,25 кг,10 л/мин.,380 В,,0.6 бар,,,
https://cdn.entero.ru/mp@2x/06/75/0675d331b7f364c82724bdc8a86268ef.jpg,Водонагреватель проточный ЭВАН Стандарт В1-9,13155,39200,RUB,Да,ЭВАН,Климатическая техника,Водонагреватели,Проточные,https://entero.ru/item/73244,"<p>Проточный водонагреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73244""><b class=""b"">ЭВАН В1-9,45</b></a> класса «Стандарт» предназначен для горячего водоснабжения жилых, бытовых, производственных, сельскохозяйственных помещений в качестве основного или резервного источника горячей воды. Оборудование оснащено аварийным датчиком, который защищает от перегрева и срабатывает при температуре 85±2 °С.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка температуры теплоносителя от 30 до 75 °С</li>
<li>Защита от избыточного давления - предохранительный клапан</li>
<li>Обратный клапан защищает от включения при отсутствии воды</li>
<li>Блочные ТЭНы из нержавеющей стали</li>
</ul>",73244,замкнутый,от 30 до 75 °С,9 кВт,255 мм,180 мм,650 мм,,Россия,,,0,https://entero.ru/manuals/42689/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%AD%D0%92%D0%90%D0%9D.pdf;https://entero.ru/manuals/42688/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%921-9_45.pdf;https://entero.ru/manuals/42690/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%921-9_45.jpg;https://entero.ru/manuals/42691/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,20 кг,3.8 л/мин.,380 В,,0.6 бар,,,
https://cdn.entero.ru/mp@2x/86/b8/86b882175f130c869ecbac5d262458dc.jpg,Водонагреватель проточный ЭВАН ЭПВН-24,13036,67300,RUB,Да,ЭВАН,Климатическая техника,Водонагреватели,Проточные,https://entero.ru/item/33653,"<p>Проточный водонагреватель<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33653"">ЭВАН ЭПВН-24</a> </b>класса «Стандарт-эконом» предназначен для горячего водоснабжения жилых, бытовых, производственных, сельскохозяйственных помещений в качестве основного или резервного источника горячей воды. Оборудование оснащено самовозвратным термовыключателем и аварийным датчиком, который защищает от перегрева и срабатывает при температуре 85±3 °С.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от токов короткого замыкания и перегрузки - автоматический выключатель</li>
<li>Защита от избыточного давления - предохранительный клапан</li>
<li>Обратный клапан защищает от включения при отсутствии воды</li>
<li>ТЭНы из нержавеющей стали</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр жилы питающего кабеля: 10</li>
</ul>",33653,,60 °С,24 кВт,660 мм,350 мм,330 мм,,Россия,,,0,https://entero.ru/manuals/42361/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%AD%D0%92%D0%90%D0%9D.pdf;https://entero.ru/manuals/42359/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%AD%D0%9F%D0%92%D0%9D-24.pdf;https://entero.ru/manuals/42362/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%AD%D0%9F%D0%92%D0%9D-24.jpg;https://entero.ru/manuals/42360/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,70842,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456240951&hash=b0fd9863f261746d,20 кг,10 л/мин.,380 В,,,,,
https://cdn.entero.ru/mp@2x/6d/7d/6d7d10c82cfec4f247d4ebbab57aff78.jpg,"Водонагреватель проточный ЭВАН ЭПВН-7,5 220В",13011,23600,RUB,Да,ЭВАН,Климатическая техника,Водонагреватели,Проточные,https://entero.ru/item/74846,"<p>Проточный водонагреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/74846""><b class=""b"">ЭВАН ЭПВН-7,5</b></a> класса «Стандарт-эконом» предназначен для горячего водоснабжения жилых, бытовых, производственных, сельскохозяйственных помещений в качестве основного или резервного источника горячей воды. Оборудование оснащено самовозвратным термовыключателем и аварийным датчиком, который защищает от перегрева и срабатывает при температуре 85±3 °С.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от токов короткого замыкания и перегрузки - автоматический выключатель</li>
<li>Защита от избыточного давления - предохранительный клапан</li>
<li>Обратный клапан защищает от включения при отсутствии воды</li>
<li>ТЭНы из нержавеющей стали</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр жилы питающего кабеля: 6</li>
<li>Расход электроэнергии за 1 час работы прибора, не более: 8,25 кВт</li>
</ul>",74846,открытый,65 °С,7.5 кВт,560 мм,250 мм,240 мм,,Россия,,,0,https://entero.ru/manuals/45381/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%AD%D0%92%D0%90%D0%9D.pdf;https://entero.ru/manuals/45379/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%AD%D0%9F%D0%92%D0%9D-7_5.pdf;https://entero.ru/manuals/45382/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%AD%D0%9F%D0%92%D0%9D-7_5.jpg;https://entero.ru/manuals/45380/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,25106,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456240951&hash=b0fd9863f261746d,10 кг,3 л/мин.,220 В,,,,G 1/2,
https://cdn.entero.ru/mp@2x/ab/36/ab36192fc9b2ed806e8c6a8df209f693.jpg,"Водонагреватель проточный ЭВАН ЭПВН-9,45",13016,32500,RUB,Да,ЭВАН,Климатическая техника,Водонагреватели,Проточные,https://entero.ru/item/74849,"<p>Проточный водонагреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/74849"">ЭВАН ЭПВН-9,45</a></b> класса «Стандарт-эконом» предназначен для горячего водоснабжения жилых, бытовых, производственных, сельскохозяйственных помещений в качестве основного или резервного источника горячей воды. Оборудование оснащено самовозвратным термовыключателем и аварийным датчиком, который защищает от перегрева и срабатывает при температуре 85±3 °С.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от токов короткого замыкания и перегрузки - автоматический выключатель</li>
<li>Защита от избыточного давления - предохранительный клапан</li>
<li>Обратный клапан защищает от включения при отсутствии воды</li>
<li>ТЭНы из нержавеющей стали</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр жилы питающего кабеля: 2,5</li>
<li>Расход электроэнергии за 1 час работы прибора, не более: 9,9 кВт</li>
</ul>",74849,открытый,70 °С,9.45 кВт,660 мм,330 мм,350 мм,,Россия,,,0,https://entero.ru/manuals/45390/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%AD%D0%92%D0%90%D0%9D.pdf;https://entero.ru/manuals/45388/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%AD%D0%9F%D0%92%D0%9D-9_45.pdf;https://entero.ru/manuals/45391/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%AD%D0%92%D0%90%D0%9D%20%D0%AD%D0%9F%D0%92%D0%9D-9_45.jpg;https://entero.ru/manuals/45389/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456240951&hash=b0fd9863f261746d,20 кг,3.8 л/мин.,380 В,,,,G 1/2,
