Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Вес (с упаковкой),Количество скоростей,Уровень шума,Площадь помещения,Функция увлажнения
https://cdn.entero.ru/mp@2x/f0/b3/f0b3ad5753c96ca37cf9ccacf1c297e1.jpg;https://cdn.entero.ru/mp@2x/32/4f/324fa18a60da953734c26f1753f44e3b.jpg;https://cdn.entero.ru/mp@2x/fa/b1/fab105ffab158affb58d77336e9aeb9c.jpg;https://cdn.entero.ru/mp@2x/b4/ea/b4ea10ddf75c54ea44ceb4abda263699.jpg,Очиститель воздуха Taurus Landscapes,Очиститель воздуха Taurus Landscapes,17216,RUB,Да,Taurus,Климатическая техника,Воздухоочистители,https://entero.ru/item/267031,"<p>Очиститель воздуха <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267031"">Taurus Landscapes</a></b> предназначен для очистки воздуха от пыли, бактерий и вирусов в частных домах, квартирах, отелях и офисах. Модель оснащена панелью управления и индикатором необходимости замены фильтра. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический режим</li>
<li>Система фильтров Pure Air Boost с фильтром НЕРА 13 и угольным фильтром</li>
<li>Сверхтихий ночной режим</li>
<li>Таймер до 8 часов</li>
</ul>",267031,220 В,0.058 кВт,345 мм,193 мм,510 мм,,,,0,https://entero.ru/manuals/330437/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20Landscapes.pdf,,,,Испания,Китай,300 м3/час,,3,25 дБ,70 м2,
https://cdn.entero.ru/mp@2x/85/1d/851ddb932b15d694cb2302c79520a057.jpg;https://cdn.entero.ru/mp@2x/98/b7/98b7206f06de2637f81dd975b344aee0.jpg;https://cdn.entero.ru/mp@2x/5e/fe/5efedfc6048bb000c80940bbbbba1959.jpg;https://cdn.entero.ru/mp@2x/cb/fa/cbfab3c813338bf64f5b01ab493b0123.jpg,Очиститель воздуха Sharp FPJ31RB,Очиститель воздуха Sharp FPJ31RB,17583,RUB,Да,,Климатическая техника,Воздухоочистители,https://entero.ru/item/262340,"<p>Очиститель воздуха <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/262340""><b class=""b"">Sharp FPJ31RB</b></a> используется на предприятиях общественного питания и торговли, в офисах, образовательных и медицинских учреждениях, а также в других местах общественного пользования и домашних условиях для очистки воздуха в помещениях. Модель оснащена электронной панелью управления. Корпус выполнен из пластика белого цвета.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функции очистки, фильтрации и ионизации воздуха</li>
<li>Эффективно устраняет пыль, микробы и аллергены</li>
<li>Технология Plasmacluster насыщает воздух ионами</li>
<li>Дезодорирующий фильтр поглощает неприятные бытовые запахи</li>
<li>HEPA-фильтр задерживает 99,97 % частиц размером до 0,3 мкм</li>
<li>Компактность</li>
<li>Стильный и лаконичный дизайн</li>
</ul>",262340,,,411 мм,197 мм,211 мм,,,,0,,18906,,8.4 кг,,Вьетнам,180 м3/час,,,,22 м2,
https://cdn.entero.ru/mp@2x/53/64/5364bf556e365af6736e45e42d62a2b1.jpg;https://cdn.entero.ru/mp@2x/41/f8/41f84db9db2dd483c7bdd6b7bf27b7c9.jpg;https://cdn.entero.ru/mp@2x/93/a3/93a337d7a79809e2f2d79dbb03c985a7.jpg;https://cdn.entero.ru/mp@2x/4d/ac/4dac6e6ea4f678d65456608ce22bd2b1.jpg;https://cdn.entero.ru/mp@2x/de/9e/de9e5e56d48f8cf1e793b5ba51095fa8.jpg;https://cdn.entero.ru/mp@2x/6f/2d/6f2dc5ec8c66c36a525a846f8c9f10ff.jpg;https://cdn.entero.ru/mp@2x/0d/a9/0da98831805ec3bf3214a4992c1b96c9.jpg,Климатический комплекс FUNAI TORII CC-TRE600/6.0(GF),CC-TRE600/6.0(GF),25990,RUB,Да,FUNAI,Климатическая техника,Воздухоочистители,https://entero.ru/item/220656,"<p>Климатический комплекс <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/220656"">FUNAI TORII CC-TRE600/6.0(GF)</a></b> предназначен для мягкого увлажнения, очистки и дезинфекции воздуха с помощью технологии естественного испарения в офисах, гостиничных номерах, помещениях различных учреждений, а также домашних условиях. Модель оснащена вентилятором, системой фильтров, гигростатом, крышкой с влаговыводящей решеткой, панелью управления с функциональными клавишами и светодиодным дисплеем. Корпус выполнен из ударопрочного пластика оттенка графит с матовой поверхностью.</p>

<p>В комплект поставки входит пульт дистанционного управления.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Точная регулировка уровня влажности</li>
<li>3-ступенчатая регулировка частоты вращения вентилятора</li>
<li>Энергосберегающий ночной режим с отключением индикационной подсветки</li>
<li>Воздушный фильтр первичной очистки</li>
<li>Эффективный воздушный HEPA-фильтр класса H10 </li>
<li>Ультрафиолетовая стерилизация воздуха</li>
<li>Цифровая индикация текущих влажности и температуры в помещении</li>
<li>3-секционная цветовая шкала интенсивности увлажнения</li>
<li>Индикация замены фильтра</li>
<li>Автоматическое отключение при отсутствии воды в резервуаре</li>
<li>Экономичная мягкая светодиодная подсветка корпуса </li>
<li>Регулировка яркости дисплея и подсветки</li>
<li>Простое управление с помощью удобного меню</li>
<li>Ниша в корпусе для компактного хранения пульта</li>
<li>Верхний залив воды без брызг и шума</li>
<li>Легкосъемный внутренний резервуар для воды с транспортировочной рукояткой </li>
<li>Низкое энергопотребление</li>
<li>Степень защиты оболочки: IPX0</li>
<li>Класс электрозащиты: II</li>
<li>Компактный устойчивый корпус с интегрированными ручками для удобства эксплуатации, хранения и транспортировки</li>
<li>Эргономичный технический и стильный эстетический дизайн серии TORII</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальная сила тока: 0,08 А</li>
<li>Максимальная температура используемой воды: 40 °C</li>
<li>Шаг регулировки влажности: 1%</li>
<li>Производительность увлажнения: 600 мл/ч</li>
<li>Максимальная длительность работы до осушения резервуара: 10 ч</li>
<li>Диапазон заданной длительности работы до автоматического отключения: от 1 до 24 ч</li>
<li>Объем резервуара для воды: 6 л</li>
<li>Габариты в упаковке: 340x625x330 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/220563"">Фильтр FAF-TRE600/6.0_HEPA</a></li>
<li><a href=""https://entero.ru/item/220560"">Фильтрующий блок FAF-TRE600/6.0</a></li>
</ul>",220656,220 В,0.02 кВт,280 мм,280 мм,513 мм,,,,0,https://entero.ru/manuals/262600/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20FUNAI%20TORII%20CC-TRE600_6.0%28GF%29.pdf,,,5.9 кг,Япония,Китай,,,3,55 дБ,55 м2,Да
https://cdn.entero.ru/mp@2x/d1/0b/d10b42ebe86792ae935d7103e77ab484.jpg;https://cdn.entero.ru/mp@2x/e5/ee/e5ee7a44440b4de2ac89a89b585ae921.jpg;https://cdn.entero.ru/mp@2x/78/97/7897a29044650b4190f6fb406042d892.jpg;https://cdn.entero.ru/mp@2x/42/aa/42aa1eb6b1275e011ad2184fbd1b532f.jpg;https://cdn.entero.ru/mp@2x/da/43/da430e5266ee03a9459113160c5d57c4.jpg;https://cdn.entero.ru/mp@2x/9a/af/9aafcf875a3576b4c3a8be22498eebeb.jpg;https://cdn.entero.ru/mp@2x/ae/64/ae644db021703dee72eeb7954933228a.jpg;https://cdn.entero.ru/mp@2x/a2/80/a280437f91ea0d4e2c8fd6f5f1298269.jpg,Очиститель воздуха ГЕЙЗЕР Гейзер-2,36740,15990,RUB,Да,,Климатическая техника,Воздухоочистители,https://entero.ru/item/309084,"<p>Очиститель воздуха <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/309084""><b class=""b"">ГЕЙЗЕР-2</b></a> предназначен для очистки воздуха от пыли, бактерий и вирусов в частных домах, квартирах, отелях и офисах. Модель оснащена встроенными УФ-лампами, пультом ДУ и HEPA-фильтром.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможна эксплуатация в присутствии людей, животных и растений</li>
<li>Возможность неприрывной работы</li>
<li>Таймер до 8 часов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Стерилизация на выходе: 99%</li>
<li>Мощность УФ-ламп: 0,022 кВт</li>
</ul>",309084,220 В,0.05 кВт,,,,,,,0,,,,,Россия,,380 м3/час,,,,,
https://cdn.entero.ru/mp@2x/08/2f/082fdb1147a332e84fffd02b1620a110.jpg;https://cdn.entero.ru/mp@2x/f8/0e/f80e0352df83d3268b0118824bdd8039.jpg;https://cdn.entero.ru/mp@2x/0d/2d/0d2d69da6bb0e1d801635cb61804169c.jpg;https://cdn.entero.ru/mp@2x/e7/95/e795631faccd9be1c4a3227b41867631.jpg;https://cdn.entero.ru/mp@2x/47/fa/47fa339638c70bc736e6a655fe81d7cc.jpg;https://cdn.entero.ru/mp@2x/ef/f9/eff9f8d6c23ab27e03b9c159c8b0be4e.jpg;https://cdn.entero.ru/mp@2x/1b/98/1b982f296b3e2fcbb98bdf8de1a7811d.jpg;https://cdn.entero.ru/mp@2x/3f/7a/3f7afd9d0ab447d2294d7b647a0bb5e2.jpg,Очиститель воздуха ГЕЙЗЕР Гейзер-1,36741,17300,RUB,Да,,Климатическая техника,Воздухоочистители,https://entero.ru/item/309083,"<p>Очиститель воздуха <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/309083""><b class=""b"">ГЕЙЗЕР-1</b></a> предназначен для очистки воздуха от бактерий и вирусов в частных домах, квартирах, отелях и офисах. Модель оснащена встроенными УФ-лампами и пультом ДУ.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможна эксплуатация в присутствии людей, животных и растений</li>
<li>Возможность неприрывной работы</li>
<li>Таймер до 8 часов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Стерилизация на выходе: 99%</li>
<li>Мощность УФ-ламп: 0,048 кВт</li>
</ul>",309083,220 В,0.08 кВт,,,,,,,0,,18021,,,Россия,,380 м3/час,,,,,
https://cdn.entero.ru/mp@2x/bf/f0/bff0f65a2ca7c0c19a8d7c042cc258ff.jpg,Мойка воздуха Dantex D-H46AWCF,Мойка воздуха Dantex D-H46AWCF,22590,RUB,Да,Dantex,Климатическая техника,Воздухоочистители,https://entero.ru/item/262339,"<p>Мойка воздуха <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/262339"">Dantex D-H46AWCF</a> </b>используется в квартирах, коттеджах и частных домах для повышения уровня влажности воздуха, его очистки и поддержания комфортного микроклимата в бытовых помещениях. Прибор оснащен электронной панелью управления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 в 1: увлажнитель / очиститель </li>
<li>Регулируемый гигростат</li>
<li>HEPA фильтр улавливает и задерживает мелкие частицы пыльцы и пыли размером до 0,3 мкм</li>
<li>Угольный фильтр</li>
<li>Таймер на 12 часов</li>
<li>Подходит для людей с аллергией, пожилых людей и детей</li>
<li>Датчик уровня воды сигнализирует o низком уровне воды в емкости увлажнителя</li>
<li>Датчик уровня влажности воздуха </li>
<li>Регулировка интенсивности увлажнения</li>
<li>Защитное отключение при недостаточном уровне воды в резервуаре</li>
<li>Класс пылевлагозащиты: IP30</li>
<li>Экономичное энергопотребление</li>
<li>Простота ухода</li>
<li>Бесшумная работа</li>
<li>Современный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем бака: 4,6 л</li>
</ul>",262339,220 В,0.025 кВт,369 мм,270 мм,403 мм,,,,0,https://entero.ru/manuals/324318/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BE%D1%87%D0%B8%D1%81%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D0%B8%20%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%B0%20Dantex.pdf,23779,,7.1 кг,Китай,Китай,,,,,56 м2,Да
https://cdn.entero.ru/mp@2x/c7/a7/c7a7a65170616924111a2af1c24e0a3b.jpg,Воздухоочиститель Dantex D-AP300CF,Воздухоочиститель Dantex D-AP300CF,25976,RUB,Да,Dantex,Климатическая техника,Воздухоочистители,https://entero.ru/item/65814,"<p>Воздухоочиститель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/65814"">Dantex D-AP300CF</a></b> предназначен для очищения и восстановления воздушной среды в жилых домах и офисных помещениях. Прибор уничтожает бактерии, снижает токсическое действие вирусов и грибков в воздухе, избавляет от табачного дыма, вредных примесей, пыли и аллергенов.</p>

<p><b>Принцип работы:</b></p>

<ul>
<li>Мощный вентилятор воздухоочистителя создает поток воздуха, который проходит 5 ступеней очистки</li>
<li>Стерилизация воздуха с помощью Silver Ion. Этот фильтр оказывает противобактериальное и противогрибковое действие</li>
<li>Фильтр Carbon Pro на основе активированного угля легко удаляет опасные газы</li>
<li>Фильтр HIMOP с технологией Cold Catalyst очищает воздух от формальдегидов, аммиака, сероводорода и других примесей, а так же устраняет устойчивые неприятные запахи</li>
<li>Высокоэффективный фильтр HEPA задерживает частицы размером более 0,3 мкм. Большинство аллергенов, например пыльца, споры грибов, шерсть, перхоть животных, домашняя пыль имеют размеры более 1 мкм. Эффективность фильтра составляет 99,9%</li>
<li>Ионизатор насыщает воздух анионами, которые способствуют улучшению самочувствия, а так же очищают воздух от дыма и пыли</li>
</ul>

<p><b>Применяемые технологии:</b></p>

<ul>
<li>Турбо-кнопка - при максимальных оборотах вентилятора очиститель увеличивает производительность обработки воздуха в помещении</li>
<li>Автоконтроль качества воздуха позволяет осуществлять общий автоматический контроль параметров поступающего воздуха</li>
<li>В ночном режиме работает при минимальных оборотах вентилятора, тем самым значительно снижая уровень шума</li>
<li>Индикатор смены фильтра сигнализирует o загрязненности фильтра и необходимости его замены</li>
<li>Индикатор загрязнения фильтра сигнализирует o степени загрязненности фильтра</li>
<li>Ионизация осуществляется независимо от степени загрязненности воздуха</li>
<li>Сенсор пыли измеряет степень загрязненности воздуха пылью</li>
<li>Сенсор запаха измеряет наличие посторонних запахов в воздухе</li>
<li>Функция памяти - в случае перебоя подачи электроэнергии автоматически запоминает ранее заданные настройки</li>
<li>Таймер для включения и выключения</li>
<li>Авторестарт</li>
<li>На LED-дисплее высвечиваются параметры режимов работы очистителя</li>
<li>Несколько воздушных фильтров с различным классом очистки обеспечивают идеальное состояние воздуха в помещении</li>
<li>Блокировка всех кнопок на пульте управления</li>
<li>Класс пылевлагозащиты: IP24</li>
</ul>

<p><b>Периодичность обслуживания фильтров:</b></p>

<ul>
<li>Silver ion - рекомендуется мыть / стирать после 480 часов работы. Количество промывок не ограничено</li>
<li>Active carbon filter - рекомендуется выкладывать на солнце на 3-5 часов, раз в два месяца. Фильтр можно использовать в течение 2-х лет</li>
<li>Хлопковый фильтр голубого цвета (элемент фильтра HIMOP) следует менять каждые 3 месяца (3 сменных фильтра входят в комплект поставки)</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальная площадь помещения: 35 м<sup>2</sup></li>
<li>Расход воздуха: 300 м<sup>3</sup>/час</li>
<li>Напряжение: 220-240 В</li>
<li>Мощность: 0,095 кВт</li>
<li>Габариты: 396х245х576 мм</li>
<li>Вес: 10 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Угольный фильтр </li>
<li>HEPA-фильтр </li>
</ul>",65814,,,,,,,,,0,https://entero.ru/manuals/34861/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Dantex%20D-AP300CF.pdf,28235,,,,,,,,,,
https://cdn.entero.ru/mp@2x/5d/0c/5d0ce955574fff93e51b7f5bb7410b5e.jpg;https://cdn.entero.ru/mp@2x/71/87/7187e6a77b4b5d2059153d0219cf266a.jpg;https://cdn.entero.ru/mp@2x/9d/e5/9de582d68af40c13c09f2dc0791d6499.jpg;https://cdn.entero.ru/mp@2x/85/96/8596107cf9345baf6dd9c2b823a57b28.jpg;https://cdn.entero.ru/mp@2x/0d/1a/0d1afe66c695d9a7aae55696a0555e74.jpg,Очиститель воздуха Taurus High Landscapes,Очиститель воздуха Taurus High Landscapes,28050,RUB,Да,Taurus,Климатическая техника,Воздухоочистители,https://entero.ru/item/267049,"<p>Очиститель воздуха <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267049"">Taurus High Landscapes</a></b> предназначен для очистки воздуха от пыли, бактерий и вирусов в частных домах, квартирах, отелях и офисах. Модель оснащена панелью управления, 2 УФ-лампами и индикатором необходимости замены фильтра. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Система фильтров Pure Air Boost с предварительным фильтром, НЕРА 13 и угольным фильтром</li>
<li>Датчик качества воздуха PM 2.5 с 4х-цветным индикатором</li>
<li>Автоматический режим</li>
<li>Сверхтихий ночной режим</li>
<li>Таймер до 8 часов</li>
<li>Блокировка панели управления</li>
</ul>",267049,220 В,0.038 кВт,,,,,,,0,https://entero.ru/manuals/330471/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20High%20Landscapes.pdf,30161,,,Испания,Китай,350 м3/час,,3,22 дБ,80 м2,
https://cdn.entero.ru/mp@2x/ed/cf/edcfae289ccad077cb7d7ba4e27fd308.jpg;https://cdn.entero.ru/mp@2x/de/55/de554005f2a2520583b93478f59b0850.jpg;https://cdn.entero.ru/mp@2x/1d/a9/1da9b0e825cce8b32178eb0ac189fe11.jpg;https://cdn.entero.ru/mp@2x/ce/89/ce894b2d2abbb19a83bdd63e1e879a25.jpg;https://cdn.entero.ru/mp@2x/0b/1f/0b1fcd973cd3b922288917c755a44441.jpg;https://cdn.entero.ru/mp@2x/6f/e6/6fe6a25b03760cc51878c7b633202cb5.jpg,Очиститель воздуха Taurus High Landscapes Connect,Очиститель воздуха Taurus High Landscapes Connect,30318,RUB,Да,Taurus,Климатическая техника,Воздухоочистители,https://entero.ru/item/267045,"<p>Очиститель воздуха <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267045"">Taurus High Landscapes Connect</a></b> предназначен для очистки воздуха от пыли, бактерий и вирусов в частных домах, квартирах, отелях и офисах. Модель оснащена панелью управления, 2 УФ-лампами и индикатором необходимости замены фильтра. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление со смартфона через Wi-Fi с помощью приложения Taurus Connect</li>
<li>Совместимость с голосовыми помощниками Alexa или Google Home</li>
<li>Система фильтров Pure Air Boost с предварительным фильтром, НЕРА 13 и угольным фильтром</li>
<li>Датчик качества воздуха с 4х-цветным индикатором</li>
<li>Сверхтихий ночной режим</li>
<li>Таймер до 8 часов</li>
<li>Блокировка панели управления</li>
</ul>",267045,220 В,0.038 кВт,,,,,,,0,https://entero.ru/manuals/330460/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Taurus%20High%20Landscapes%20Connect.pdf,32253,,,Испания,Китай,350 м3/час,,,22 дБ,80 м2,
https://cdn.entero.ru/mp@2x/be/12/be128f01492cdb4debb2e54f6738bb52.jpg;https://cdn.entero.ru/mp@2x/bb/06/bb06481919046e1a311bdfe115591381.jpg;https://cdn.entero.ru/mp@2x/83/2d/832dc2ae94395c7e19126f513eac6ce4.jpg,Очиститель воздуха Steba LR 10 Plasma,LR 10,0,RUB,Нет,,Климатическая техника,Воздухоочистители,https://entero.ru/item/266276,"<p>Очиститель воздуха <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266276""><b class=""b"">Steba LR 10 Plasma</b></a> используется в квартирах, коттеджах, частных домах, отелях и офисах для очистки воздуха от пыли, запахов и пыльцы. Модель оснащена световым индикатором питания, фильтром HEPA (H13) и фильтром с активированным углем.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плазменная очистка</li>
<li>3 уровня мощности</li>
<li>Экономичный режим</li>
<li>Низкий уровень шума</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: белый / голубой</li>
</ul>",266276,220 В,0.025 кВт,250 мм,115 мм,330 мм,,,,0,https://entero.ru/manuals/330060/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20LR%2010%20Plasma.pdf,,,1.5 кг,Германия,Италия,42 м3/час,,,45 дБ,20 м2,
