Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Тип установки,Нагревательный элемент,Площадь обогрева,Подлкючение
https://cdn.entero.ru/mp@2x/7e/ae/7eae37cc53b8ac7155125da949f7e0d7.jpg;https://cdn.entero.ru/mp@2x/2e/23/2e23bac15683644afe5eeb89d424edfa.jpg;https://cdn.entero.ru/mp@2x/b6/6d/b66d7cb9a311595e041b6224f7fd45b8.jpg;https://cdn.entero.ru/mp@2x/5a/33/5a33673a24f773ddb1fc1132419b3f87.jpg;https://cdn.entero.ru/mp@2x/78/61/78616f8069ff4c836591f38c9ce70f49.jpg;https://cdn.entero.ru/mp@2x/f8/6f/f86f5a03f56cef6cbb3d34bbfc193f1b.jpg;https://cdn.entero.ru/mp@2x/67/4b/674b7fae3009cd2793d1d8501026a42e.jpg;https://cdn.entero.ru/mp@2x/0a/cd/0acd55d4ae874a27d12d50346e6d02d1.jpg;https://cdn.entero.ru/mp@2x/1b/82/1b824309774d7199ba66be96891a4d6d.jpg;https://cdn.entero.ru/mp@2x/3c/21/3c2126988225f7f99c9296002f186c50.jpg,Обогреватель инфракрасный напольный Hugett Floor 1821 FB,Обогреватель инфракрасный напольный Hugett Floor 1821 FB,37277,RUB,Да,,Климатическая техника,Обогреватели,Инфракрасные обогреватели,https://entero.ru/item/274716,"<p>Напольный инфракрасный обогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274716""><b class=""b"">Hügett Floor 1821 FB</b></a> предназначен для обогрева и поддержания комфортного микроклимата в шатрах, беседках, на верандах и террасах. Модель оснащена абажуром-рефлектором и защитой от возгорания при опрокидывании.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 уровня регулировки мощности</li>
<li>Защитная металлическая решетка, предотвращающая случайный контакт галогенной лампы с руками или посторонними предметами</li>
<li>Защита от перепадов напряжения и перегрева</li>
<li>Тепловое излучение, максимально похожее на солнечное, без вредного УФ излучения</li>
<li>Не сжигает кислород и пыль</li>
<li>Нагревает предметы, а не воздух</li>
<li>Отсутствие неприятного запаха</li>
<li>Бесшумный и экономичный</li>
<li>Степень защиты: IP44</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Радиус обогрева: 4 м</li>
<li>Угол обогрева: 100°</li>
<li>Мощность обогрева: 0,9 / 1,2 / 2,1 кВт</li>
<li>Диаметр основания: 460 мм</li>
<li>Длина сетевого кабеля: 3 м</li>
<li>Габариты в упаковке: 695х695х380 мм</li>
<li>Цвет: черный</li>
</ul>",274716,от 0.9 до 2.1 кВт,640 мм,640 мм,2150 мм,17.9 кг,1,695x695x380 мм,0,,40083,15.2 кг,Бельгия,Китай,,напольный,галогенный,10 м2,220 В
https://cdn.entero.ru/mp@2x/c7/51/c7518929b31de1fe705d8e8007df195d.jpg;https://cdn.entero.ru/mp@2x/d4/b5/d4b5b334118fc382ab39034b8dea91d5.jpg;https://cdn.entero.ru/mp@2x/75/d6/75d6c73285e4ab052b20d6adca4138d6.jpg;https://cdn.entero.ru/mp@2x/bb/92/bb9236f5bb62c5c9b3ab3e2dd3c675aa.jpg;https://cdn.entero.ru/mp@2x/88/ba/88ba84ac9a6d2244ce5f535c1113be20.jpg;https://cdn.entero.ru/mp@2x/81/7a/817aaf094ef0a1189d7dd41d54599844.jpg;https://cdn.entero.ru/mp@2x/96/bd/96bd65515e9d5c9cf32f09f02b8a074b.jpg;https://cdn.entero.ru/mp@2x/c4/d1/c4d183768b6aee6a543a2d777dd40046.jpg,Обогреватель инфракрасный напольный Hugett Gaea Black,Обогреватель инфракрасный напольный Hugett Gaea Black,28327,RUB,Да,,Климатическая техника,Обогреватели,Инфракрасные обогреватели,https://entero.ru/item/274703,"<p>Напольный инфракрасный обогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.uz/item/274703""><b class=""b"">Hügett Gaea Black</b></a> предназначен для обогрева и поддержания комфортного микроклимата в шатрах, беседках, на верандах и террасах. Модель оснащена датчиком движения, датчиком температуры и пультом дистанционного управления. Корпус выполнен из металла.</p>

<p>В комплект поставки входит чехол.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 уровня регулировки мощности</li>
<li>Защитная металлическая решетка, предотвращающая случайный контакт нагревательного элемента с руками или посторонними предметами</li>
<li>Тепловое излучение, максимально похожее на солнечное, без вредного УФ излучения</li>
<li>Не сжигает кислород и пыль</li>
<li>Нагревает предметы, а не воздух</li>
<li>Отсутствие неприятного запаха</li>
<li>Бесшумный и экономичный</li>
<li>Степень защиты: IP55</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Радиус обогрева: 3 м</li>
<li>Угол обогрева: 130°</li>
<li>Мощность обогрева: 0,8 / 1,7 / 2,5 кВт</li>
<li>Длина сетевого кабеля: 1,8 м</li>
<li>Габариты в упаковке: 1400х450х360 мм</li>
<li>Цвет: черный</li>
</ul>",274703,от 0.8 до 2.5 кВт,415 мм,315 мм,1350 мм,16.8 кг,1,1400x450x360 мм,0,,29507,12.4 кг,Бельгия,Китай,,напольный,карбоновый,8 м2,220 В
https://cdn.entero.ru/mp@2x/b1/39/b1390c5336e64bf5ae1af2a56df4236b.jpg;https://cdn.entero.ru/mp@2x/8a/98/8a9810059960d1cb64130ee19ed43633.jpg;https://cdn.entero.ru/mp@2x/63/93/639385e53b9dd56e8dba3dbbf4048873.jpg;https://cdn.entero.ru/mp@2x/b2/a5/b2a549b910f3e5f0513615c2832f0353.jpg;https://cdn.entero.ru/mp@2x/9d/80/9d80e6f063322737b647be4a6103b1aa.jpg;https://cdn.entero.ru/mp@2x/91/1c/911c1abc8e40ef520d30e13d53270cad.jpg,Обогреватель инфракрасный напольный Hugett Floor Black,1821/B,47846,RUB,Да,,Климатическая техника,Обогреватели,Инфракрасные обогреватели,https://entero.ru/item/274713,"<p>Напольный инфракрасный обогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274713""><b class=""b"">Hügett Floor Black</b></a> предназначен для обогрева и поддержания комфортного микроклимата в шатрах, беседках, на верандах и террасах. Модель оснащена абажуром-рефлектором черного цвета с легким матовым оттенком.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 уровня регулировки мощности</li>
<li>Тепловое излучение, максимально похожее на солнечное, без вредного УФ излучения</li>
<li>Не сжигает кислород и пыль</li>
<li>Нагревает предметы, а не воздух</li>
<li>Отсутствие неприятного запаха</li>
<li>Бесшумный и экономичный</li>
<li>Степень защиты: IP44</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Радиус обогрева: 4 м</li>
<li>Угол обогрева: 100°</li>
<li>Мощность обогрева: 1 / 1,5 / 2,5 кВт</li>
<li>Диаметр основания: 460 мм</li>
<li>Длина сетевого кабеля: 3 м</li>
<li>Габариты в упаковке: 755х755х520 мм</li>
<li>Цвет: черный</li>
</ul>",274713,от 1 до 2.5 кВт,740 мм,740 мм,2240 мм,16.5 кг,1,755x755x520 мм,0,,50900,14 кг,Бельгия,Китай,,напольный,галогенный,10 м2,220 В
https://cdn.entero.ru/mp@2x/da/84/da846f2d74ea12d055b6c4683c3d90d4.jpg,Обогреватель инфракрасный Loriot LI-1.0,Обогреватель инфракрасный Loriot LI-1.0,4480,RUB,Да,Loriot,Климатическая техника,Обогреватели,Инфракрасные обогреватели,https://entero.ru/item/207905,"<p>Инфракрасный обогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/207905""><b class=""b"">Loriot LI-1.0</b></a> предназначен для обогрева и поддержания комфортного микроклимата в жилых, офисных, складских или промышленных помещений, а также спортивных, развлекательных и оздоровительных комплексов. Модель оснащена теплоотражающим экраном с дополнительной изоляцией стенок корпуса. Корпус выполнен из листовой стали с термостойким полимерным покрытием, излучатель - из анодированного алюминия с продольным рифлением.</p>

<p>В комплект поставки входит настенное крепление.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Степень защиты: IP 20</li>
<li>Класс электрозащиты: 1</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем помещения: 1600 м<sup>3</sup></li>
<li>Максимальный ток: 4,4 А</li>
<li>Высота монтажа: от 2,5 до 3,5 м</li>
</ul>

<p><b>Опции (приобретаются отдельно):</b></p>

<ul>
<li>Каскадное подключение и управление групповым термостатом</li>
</ul>",207905,1 кВт,1364 мм,135 мм,40 мм,,,,0,https://entero.ru/manuals/243306/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Loriot%20LI-1.0.pdf;https://entero.ru/manuals/243307/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,6310,3.9 кг,,Россия,,"настенный, потолочный",ТЭН,,220 В
https://cdn.entero.ru/mp@2x/8d/e8/8de8abcc60944b38bc2767b0ee767f26.jpg;https://cdn.entero.ru/mp@2x/6b/5b/6b5b035b6e94a57b01cca5341e6c7ea8.jpg;https://cdn.entero.ru/mp@2x/a8/d4/a8d43ca67fe872f321ef3b842a3c9fe6.jpg;https://cdn.entero.ru/mp@2x/3a/be/3abe1db196d7650301d5cbb2f526febc.jpg;https://cdn.entero.ru/mp@2x/5c/6b/5c6b84ee3f5acda070b5e88a90fbbe87.jpg;https://cdn.entero.ru/mp@2x/3b/9c/3b9ca3ead966ad82b583eb5d9a961e65.jpg;https://cdn.entero.ru/mp@2x/83/9b/839b23453baed443d402ebe713f30273.jpg;https://cdn.entero.ru/mp@2x/75/4a/754a33adb832c422510c019e8aa0cf1f.jpg;https://cdn.entero.ru/mp@2x/a0/96/a0962333a4d2b12a88566a2e36b466e1.jpg,Обогреватель инфракрасный подвесной Hugett Taket EcoSteel,2169,14888,RUB,Да,,Климатическая техника,Обогреватели,Инфракрасные обогреватели,https://entero.ru/item/274603,"<p>Подвесной инфракрасный обогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274603""><b class=""b"">Hügett Taket EcoSteel</b></a> предназначен для обогрева и поддержания комфортного микроклимата в помещениях, шатрах, беседках, на верандах и террасах. Модель оснащена цепочкой для подвешивания и пультом дистанционного управления. Корпус выполнен из прочной инструментальной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 уровня регулировки мощности</li>
<li>Световой индикатор включения в центральной нижней части корпуса</li>
<li>Защитная металлическая решетка, предотвращающая случайный контакт галогенной лампы с руками или посторонними предметами</li>
<li>Металлический отражатель над нагревательным элементом для равномерного рассеивания инфракрасного излучения</li>
<li>Тепловое излучение, максимально похожее на солнечное, без вредного УФ излучения</li>
<li>Не сжигает кислород и пыль</li>
<li>Нагревает предметы, а не воздух</li>
<li>Отсутствие неприятного запаха</li>
<li>Бесшумный и экономичный</li>
<li>Степень защиты от влаги и пыли: IP24</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Радиус обогрева: 3 м</li>
<li>Угол обогрева: 100°</li>
<li>Длина сетевого кабеля: 3 м</li>
<li>Габариты в упаковке: 630х530х480 мм</li>
<li>Цвет: нержавеющая сталь</li>
</ul>",274603,от 1 до 2.5 кВт,600 мм,600 мм,430 мм,4.6 кг,1,630x530x480 мм,0,,16183,3.5 кг,Бельгия,Китай,,потолочный,галогенный,8 м2,220 В
https://cdn.entero.ru/mp@2x/4a/1d/4a1de16613140ad3b525012b39686694.jpg;https://cdn.entero.ru/mp@2x/aa/02/aa0220361d96cc330d50f693bfbb8cf1.jpg;https://cdn.entero.ru/mp@2x/3e/15/3e15249c23d932d46ae0d7a867c3515f.jpg;https://cdn.entero.ru/mp@2x/dc/18/dc18cd62285ab93e22aa6af81b063872.jpg;https://cdn.entero.ru/mp@2x/12/5b/125b633f60999b8219a0080287bf4f94.jpg;https://cdn.entero.ru/mp@2x/ab/72/ab7209e26b376011fbab0f700ba2a7bb.jpg;https://cdn.entero.ru/mp@2x/19/6e/196e406bbc51ea123d9ec1ce24273a70.jpg;https://cdn.entero.ru/mp@2x/d8/93/d893f214ef9af94930e770387d3148f9.jpg;https://cdn.entero.ru/mp@2x/9c/2b/9c2b1b0f3d614f7de5a3d1546a4b8300.jpg;https://cdn.entero.ru/mp@2x/61/2d/612dd0efbaa5c6f99c072c5b2e73366d.jpg;https://cdn.entero.ru/mp@2x/e4/5d/e45d1f0b9347321a8178c9cb5ec9b12a.jpg,Обогреватель инфракрасный подвесной Hugett Taket 2068,Обогреватель инфракрасный подвесной Hugett Taket 2068,22089,RUB,Да,,Климатическая техника,Обогреватели,Инфракрасные обогреватели,https://entero.ru/item/274638,"<p>Подвесной инфракрасный обогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274638""><b class=""b"">Hügett Taket 2068</b></a> предназначен для обогрева и поддержания комфортного микроклимата в помещениях, шатрах, беседках, на верандах и террасах. Модель оснащена LED-лампой, металлическим карабином для подвешивания и пультом дистанционного управления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защитная металлическая решетка, предотвращающая случайный контакт галогенной лампы с руками или посторонними предметами</li>
<li>Тепловое излучение, максимально похожее на солнечное, без вредного УФ излучения</li>
<li>Не сжигает кислород и пыль</li>
<li>Нагревает предметы, а не воздух</li>
<li>Отсутствие неприятного запаха</li>
<li>Бесшумный и экономичный</li>
<li>Степень защиты от влаги и пыли: IP24</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Радиус обогрева: 3 м</li>
<li>Угол обогрева: 100°</li>
<li>Мощность LED-лампы: 3 Вт</li>
<li>Срок службы галогенной лампы: 5000 ч</li>
<li>Длина сетевого кабеля: 3 м</li>
<li>Габариты в упаковке: 502х145х510 мм</li>
<li>Цвет: черный</li>
</ul>",274638,2 кВт,453 мм,453 мм,100 мм,,,,0,,23752,3.5 кг,Бельгия,Китай,,потолочный,галогенный,8 м2,220 В
https://cdn.entero.ru/mp@2x/02/b6/02b6339adacbc6023559ed7494299e84.jpg;https://cdn.entero.ru/mp@2x/c7/a3/c7a3ecaaa0b22d5a0466f28e8fc6a11e.jpg;https://cdn.entero.ru/mp@2x/b7/5e/b75e8cf83ac376b8f6fb9daf21b97611.jpg;https://cdn.entero.ru/mp@2x/b9/4c/b94cccc5176f1c9a93a6d8b02680ccdb.jpg;https://cdn.entero.ru/mp@2x/c3/1e/c31ec62554d3b94a81211e381c2bd284.jpg;https://cdn.entero.ru/mp@2x/bc/8f/bc8f923b3322ea50beb4a84dd5a306ce.jpg;https://cdn.entero.ru/mp@2x/3f/a4/3fa4e5aa1febbcebc23d09c885d2418d.jpg,Обогреватель инфракрасный напольный Hugett Floor Steel,1821-ADC,25527,RUB,Да,,Климатическая техника,Обогреватели,Инфракрасные обогреватели,https://entero.ru/item/274715,"<p>Напольный инфракрасный обогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/274715""><b class=""b"">Hügett Floor Steel</b></a> предназначен для обогрева и поддержания комфортного микроклимата в шатрах, беседках, на верандах и террасах. Модель оснащена регулируемой по высоте стойкой. Корпус выполнен из высококачественной стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 уровня регулировки мощности</li>
<li>Защитная металлическая решетка, предотвращающая случайный контакт галогенной лампы с руками или посторонними предметами</li>
<li>Отражатель из цельного куска алюминия над нагревательным элементом для равномерного рассеивания инфракрасного излучения</li>
<li>Тепловое излучение, максимально похожее на солнечное, без вредного УФ излучения</li>
<li>Не сжигает кислород и пыль</li>
<li>Нагревает предметы, а не воздух</li>
<li>Отсутствие неприятного запаха</li>
<li>Бесшумный и экономичный</li>
<li>Степень защиты: IP44</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Радиус обогрева: 4 м</li>
<li>Угол обогрева: 100°</li>
<li>Мощность обогрева: 1,2 / 1,8 / 3 кВт</li>
<li>Диаметр основания: 460 мм</li>
<li>Длина сетевого кабеля: 3 м</li>
<li>Габариты в упаковке: 600х600х410 мм</li>
<li>Цвет: нержавеющая сталь</li>
</ul>",274715,от 1.2 до 3 кВт,585 мм,585 мм,2250 мм,15.5 кг,1,600x600x410 мм,0,,,13.7 кг,Бельгия,Китай,,напольный,галогенный,10 м2,220 В
https://cdn.entero.ru/mp@2x/40/ea/40ea4d578aa2bd92807b153a52d562fc.jpg;https://cdn.entero.ru/mp@2x/5a/b0/5ab0fc3e5bf78754be98d83450582f4e.jpg;https://cdn.entero.ru/mp@2x/1d/79/1d79d69e50c218dec44b95d97782b970.jpg;https://cdn.entero.ru/mp@2x/d5/17/d51718482beb78e9e0c171a59e06aa44.jpg;https://cdn.entero.ru/mp@2x/01/d9/01d949faf58ec665d7a76037a6195348.jpg;https://cdn.entero.ru/mp@2x/bf/0d/bf0d8ada7262908e2311dbc38fde8db6.jpg;https://cdn.entero.ru/mp@2x/92/15/921528e69a18f2d7e275c87279281011.jpg;https://cdn.entero.ru/mp@2x/73/2b/732b460b36dd4c251340638feb329515.jpg;https://cdn.entero.ru/mp@2x/37/87/3787025901ca0573dbe9df80e3d5cf7e.jpg;https://cdn.entero.ru/mp@2x/c4/93/c493cecea70d7aa34caf3cc4e15aacaa.jpg;https://cdn.entero.ru/mp@2x/74/b2/74b22f3c36887fb38931417f18cd2e7d.jpg;https://cdn.entero.ru/mp@2x/81/1c/811c219476c9c5a6f13ed16e440dfdb3.jpg;https://cdn.entero.ru/mp@2x/b2/1c/b21cadfd5df73d3233b1787060a82127.jpg,Обогреватель инфракрасный уличный Stalleh Pyramid x4 Black,Обогреватель инфракрасный уличный Stalleh Pyramid x4 Black,36220,RUB,Да,,Климатическая техника,Обогреватели,Инфракрасные обогреватели,https://entero.ru/item/275518,"<p>Уличный инфракрасный обогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.uz/item/275518""><b class=""b"">Ställeh Pyramid x4 Black</b></a> предназначен для обогрева и поддержания комфортного микроклимата на открытых площадках кафе и ресторанов, в зонах отдыха пансионатов и санаториев. Модель оснащена рефлектором, редуктором давления газа типа 694 итальянского производства, электро-пьезоподжигом и датчиком контроля наличия пламени. Корпус выполнен из высококачественной стали, покрытой эмалью, горелка - из высококачественной стали, колба - из закаленного термостойкого стекла, рефлектор - из цельного куска алюминия.</p>

<p>В комплект поставки входит чехол.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавная регулировка мощности</li>
<li>Работает на смеси сжиженных углеводородных газов - пропана и бутана (рассчитано на стальной баллон 27 л или пластиковый 24,5 л)</li>
<li>Корпус в форме четырехгранной пирамиды, у которой нижняя часть закрытая, а верхняя - с продольной перфорацией</li>
<li>Колесики в основании для облегчения перемещения</li>
<li>Система безопасности, прекращающая подачу газа при:
<ul>
<li>Переворачивании или отклонении прибора более чем на 30°</li>
<li>При затухании пламени от порыва ветра</li>
</ul>
</li>
<li>Тепловое излучение, максимально похожее на солнечное, без вредного УФ излучения</li>
<li>Нагревает предметы, а не воздух</li>
<li>Бесшумный и экономичный</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Радиус обогрева: 3 м</li>
<li>Время работы на максимальной мощности: 15 ч</li>
<li>Размер рефлектора: 460х460 мм</li>
<li>Габариты в упаковке: 1400х700х250 мм</li>
<li>Цвет: черный</li>
</ul>",275518,от 5 до 13 кВт,,,2250 мм,30 кг,1,1400x700x250 мм,0,,,,Швеция,Китай,30 кг,напольный,,от 25 до 30 м2,газ
https://cdn.entero.ru/mp@2x/fb/cc/fbcc8b348aa3f62888942620b6dd9868.jpg;https://cdn.entero.ru/mp@2x/d8/a5/d8a5a1936a67ba2a6f84f2cfd7e49cb6.jpg,Обогреватель инфракрасный Neoclima IR-0.8,Обогреватель инфракрасный Neoclima IR-0.8,3842,RUB,Да,Neoclima,Климатическая техника,Обогреватели,Инфракрасные обогреватели,https://entero.ru/item/367400,"<p>Электрический инфракрасный обогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/367400""><b class=""b"">Neoclimа IR-0.8</b></a> используется в открытых помещениях, складах, автомастерских, цехах и прочих производственных зданиях. Прибор обогревает окружающие объекты, а не воздух. Корпус выполнен из листовой стали.</p>

<p>В набор входят настенные кронштейны.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Закрытый тип</li>
<li>Экономия рабочего пространства</li>
<li>Класс защиты IP20</li>
<li>Класс электрозащиты I</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота монтажа: от 1,8 до 2,2 м</li>
<li>Рабочий ток: 3,2 А</li>
<li>Частота: 50 Гц</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Каскадное подключение</li>
</ul>",367400,0.7 кВт,1180 мм,147 мм,43 мм,3 кг,,,0,,,,Греция,Китай,,потолочный,ТЭН,,220 В
https://cdn.entero.ru/mp@2x/d5/7a/d57a7210e365a626beef3b60ae265a26.jpg,Обогреватель инфракрасный ZILON Гелиос IR-0.8SN3,серия Гелиос,3958,RUB,Да,,Климатическая техника,Обогреватели,Инфракрасные обогреватели,https://entero.ru/item/192775,"<p>Инфракрасный обогреватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/192775"">ZILON Гелиос IR-0.8SN3</a> </b>предназначен для обогрева и поддержания комфортного микроклимата в жилых, офисных, складских или промышленных помещений, а также спортивных, развлекательных и оздоровительных комплексов. Модель оснащена трубчатыми электронагревателями, излучающими панелями и выводом кабеля с опресованными наконечниками для подключения к сети питания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрый и эффективный нагрев поверхностей с помощью инфракрасного излучения</li>
<li>Минимальное воздействие на воздушную среду помещения</li>
<li>Универсальный монтаж и компактные габариты для рационального использования полезного пространства помещения</li>
<li>Низкое энергопотребление</li>
<li>Бесшумная работа</li>
<li>Простота, комфорт и длительный срок эксплуатации</li>
<li>Эргономичный современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Распределение энергии:
<ul>
<li>Нагрев поверхностей излучением: 92%</li>
<li>Нагрев воздуха: 8%</li>
</ul>
</li>
<li>Класс электрозащиты: I </li>
<li>Степень защиты оболочки: IP20</li>
<li>Рабочая температура поверхности излучающих панелей: 250 °С</li>
<li>Номинальная частота сети: 50 Гц</li>
<li>Максимальная сила тока: 3,5 А</li>
<li>Средний срок эксплуатации: 8 лет</li>
<li>Площадь обогрева при эксплуатации в качестве дополнительного источника тепла: 16 м²</li>
<li>Минимальный воздушный зазор при эксплуатации:
<ul>
<li>За прибором: 100 мм</li>
<li>Боковой: 150 мм</li>
<li>В зоне излучения (люди и животные): 700 мм</li>
<li>В зоне излучения (мягкие поверхности): 500 мм</li>
<li>В зоне излучения (гладкие поверхности, а также люди и животные при длительном пребывании в помещении с температурой воздуха ниже 11°С): 1800 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 150x53x1150 мм </li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/192786"">Комнатный термостат</a> </li>
<li>Поворотный кронштейн</li>
</ul>",192775,0.8 кВт,135 мм,40 мм,1125 мм,,,,0,https://entero.ru/manuals/225108/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ZILON%20%D0%93%D0%B5%D0%BB%D0%B8%D0%BE%D1%81%20IR-0.8SN3.pdf;https://entero.ru/manuals/225109/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%B8%D0%BD%D1%84%D1%80%D0%B0%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B5%20%D0%BE%D0%B1%D0%BE%D0%B3%D1%80%D0%B5%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D0%B8%20ZILON%20%D0%93%D0%B5%D0%BB%D0%B8%D0%BE%D1%81.pdf,,2.8 кг,,Россия,,"настенный, потолочный",трубчатый,8 м2,220 В
