Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Вес (с упаковкой),Нагрев,Площадь обогрева,Термостат
https://cdn.entero.ru/mp@2x/9f/7c/9f7c74bbd1b6e9f4e27c9b1076c54554.jpg,Пушка тепловая Мастер-инструмент YN20,МИ YN20,15919,RUB,Да,,Климатическая техника,Обогреватели,Тепловые пушки,https://entero.ru/item/233493,"<p>Дизельная тепловая пушка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233493""><b class=""b"">Мастер-инструмент YN20 </b></a>предназначена для вентиляции и обогрева производственных, общественных и вспомогательных помещений. Модель оснащена термостатом. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Равномерный обогрев большой площади в короткие сроки </li>
<li>Высокая производительность </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем топливного бака: 19 л </li>
<li>Расход топлива: 2 л/ч </li>
<li>Мощность двигателя: 0,16 кВт</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233493,дизельная,220 В,20 кВт,790 мм,320 мм,410 мм,18 кг,1,948x384x492 мм,0,,17117,15 кг,,Россия,530 м3/час,,прямой,,Да
https://cdn.entero.ru/mp@2x/0d/30/0d300493b9dfc2abf4300e7e1d96b7d9.jpg,Пушка тепловая ZILON Суховей ZTV-3С,серия Суховей,6870,RUB,Да,,Климатическая техника,Обогреватели,Тепловые пушки,https://entero.ru/item/193043,"<p>Электрическая тепловая пушка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/193043"">ZILON Суховей ZTV-3С</a> </b>предназначена для вентиляции и обогрева производственных, общественных и вспомогательных помещений. Модель оснащена трубчатым электронагревателем, вентилятором с широким винтом, защитными решетками, кабелем питания и панелью управления с поворотными регуляторами температуры и мощности воздушного потока. Трубка нагревательного элемента выполнена из нержавеющей стали, корпус – из листовой стали с высококачественным, устойчивым к механическим повреждениям, термостойким и антикоррозийным полимерным покрытием, регуляторы – из прочного пластика, ручка-подставка – из металла с резиновыми накладками в месте захвата и соприкосновения с поверхностью. </p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b> </p>

<ul>
<li>Режимы:
<ul>
<li>Ветиляция без нагрева</li>
<li>Экономничный с использованием половины мощности для энергосбережения</li>
<li>Максимальный для быстрого и эффективного обогрева </li>
</ul>
</li>
<li>Встроенный термостат для защиты от перегрева </li>
<li>Автоматический контроль заданной температуры</li>
<li>Автоматический запуск после аварийного отключения</li>
<li>Направленный низкотурбулентный воздушный поток с возможностью регулировки угла наклона</li>
<li>Долговременный непрерывный режим работы</li>
<li>Компактный цилиндрический корпус с ручкой-подставкой для удобства хранения и транспортировки</li>
<li>Воздушный зазор между внутренним кожухом и внешним цилиндром корпуса</li>
<li>Простота управления, надежность и длительный срок эксплуатации </li>
<li>Эргономичный современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Класс электрозащиты: I </li>
<li>Степень защиты оболочки: IP 20</li>
<li>Условия эксплуатации:
<ul>
<li>Диапазон температуры окружающего воздуха: от -10 до 40 °С</li>
<li>Относительная влажность при 25 °С: 80%</li>
</ul>
</li>
<li>Температура нагрева воздуха при максимальной мощности: 30 °С</li>
<li>Угол наклона относительно горизонта: от - 20 до 30°</li>
<li>Номинальная частота сети: 50 Гц</li>
<li>Номинальная сила тока: 14 А</li>
<li>Номинальная мощность в режиме вентиляции: 0,03 кВт</li>
<li>Продолжительность работы: не более 24 ч</li>
<li>Продолжительность паузы: не менее 2 ч</li>
<li>Средний срок эксплуатации: 7 лет</li>
<li>Длина кабеля: не менее 1200 мм</li>
<li>Габариты в упаковке: 340х400х340 мм </li>
</ul>",193043,электрическая,220 В,от 1.5 до 3 кВт,320 мм,300 мм,380 мм,,,,0,https://entero.ru/manuals/225463/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ZILON%20%D0%A1%D1%83%D1%85%D0%BE%D0%B2%D0%B5%D0%B9%20ZTV-3%D0%A1.pdf;https://entero.ru/manuals/225461/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D1%82%D0%B5%D0%BF%D0%BB%D0%BE%D0%B2%D1%8B%D0%B5%20%D0%BF%D1%83%D1%88%D0%BA%D0%B8%20ZILON.pdf,,4.44 кг,,Россия,415 м3/час,,,,Да
https://cdn.entero.ru/mp@2x/e9/78/e9780e8e047e703607c2fb01b2123b96.jpg,Пушка тепловая Loriot LT-05PE,Пушка тепловая Loriot LT-05PE,7790,RUB,Да,Loriot,Климатическая техника,Обогреватели,Тепловые пушки,https://entero.ru/item/248290,"<p>Тепловая пушка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/248290""><b class=""b"">Loriot LT-05PE</b></a> предназначена для отопления небольших производственных и складских помещений, просушки помещений при проведении отделочных работ (например, при монтаже натяжных потолков). Модель оснащена регулируемым термостатом и электродвигателем. Корпус выполнен из стали, ТЭН - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Режим вентиляции без нагрева</li>
<li>Защита от перегрева </li>
<li>Степень защиты: IP20</li>
<li>Класс электрозащиты: I</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество режимов мощности: 2</li>
<li>Температура нагрева воздуха: 34 °С</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",248290,электрическая,220 В,от 3 до 4.5 кВт,245 мм,225 мм,350 мм,3.6 кг,1,294x270x420 мм,0,https://entero.ru/manuals/302935/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Loriot%20LT-05PE.pdf;https://entero.ru/manuals/302936/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,3 кг,,Россия,400 м3/час,,,от 5 до 300 м2/час,
https://cdn.entero.ru/mp@2x/32/21/3221abe1454c8688781046420cae067f.jpg,Обогреватель электрический Мастер-инструмент DN15,МИ DN15,20629,RUB,Да,,Климатическая техника,Обогреватели,Тепловые пушки,https://entero.ru/item/233521,"<p>Электрический обогреватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233521""><b class=""b"">Мастер-инструмент DN15 </b></a>предназначен для обогрева производственных, общественных и вспомогательных помещений. Модель оснащена термостатом. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Равномерный обогрев большой площади в короткие сроки </li>
<li>Высокая производительность </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 0 до 45 °С</li>
</ul>

<p>​<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233521,электрическая,380 В,от 7.5 до 15 кВт,520 мм,440 мм,470 мм,33.6 кг,1,624x528x564 мм,0,,22182,28 кг,,Россия,1700 м3/час,,,,Да
https://cdn.entero.ru/mp@2x/64/90/6490db98b06f343e2790bea01ceb5c88.jpg,Пушка тепловая Мастер-инструмент YN50,МИ YN50,22768,RUB,Да,,Климатическая техника,Обогреватели,Тепловые пушки,https://entero.ru/item/233514,"<p>Дизельная тепловая пушка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233514""><b class=""b"">Мастер-инструмент YN50 </b></a>предназначена для вентиляции и обогрева производственных, общественных и вспомогательных помещений. Модель оснащена термостатом. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Равномерный обогрев большой площади в короткие сроки </li>
<li>Высокая производительность </li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем топливного бака: 49 л </li>
<li>Расход топлива: 5 л/ч </li>
<li>Мощность двигателя: 0,36 кВт</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",233514,дизельная,220 В,50 кВт,1080 мм,445 мм,490 мм,33.6 кг,1,1296x534x588 мм,0,,,28 кг,,Россия,760 м3/час,,прямой,,Да
https://cdn.entero.ru/mp@2x/24/a1/24a1e8c40510c58bf5bae86e0119c165.jpg;https://cdn.entero.ru/mp@2x/00/e9/00e909fdc261e26412178a465ac07301.jpg;https://cdn.entero.ru/mp@2x/45/62/45620650f32026ad6781fcf87a597c31.jpg,Пушка тепловая ZILON Богатырь ZTV-24,серия Богатырь,28740,RUB,Да,,Климатическая техника,Обогреватели,Тепловые пушки,https://entero.ru/item/193167,"<p>Электрическая тепловая пушка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/193167"">ZILON Богатырь ZTV-24</a> </b>предназначена для вентиляции и обогрева производственных, общественных и вспомогательных помещений. Модель оснащена трубчатым электронагревателем, вентилятором с широким винтом, защитной решеткой и панелью управления с поворотными регуляторами температуры и мощности воздушного потока. Трубка нагревательного элемента выполнена из нержавеющей стали, корпус – из листовой стали с высококачественным, устойчивым к механическим повреждениям, термостойким и антикоррозийным полимерным покрытием, регуляторы – из прочного пластика, ручка-подставка – из металла с резиновыми накладками в месте захвата и соприкосновения с поверхностью. </p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b> </p>

<ul>
<li>Режимы:
<ul>
<li>Ветиляция без нагрева</li>
<li>Экономничный с использованием половины мощности для энергосбережения</li>
<li>Максимальный для быстрого и эффективного обогрева </li>
</ul>
</li>
<li>Встроенный термостат для защиты от перегрева </li>
<li>Автоматический контроль заданной температуры</li>
<li>Автоматический запуск после аварийного отключения</li>
<li>Автоматическая задержка выключения вентилятора при отключении для охлаждения нагревателя до безопасной температуры</li>
<li>Направленный низкотурбулентный воздушный поток с возможностью регулировки угла наклона</li>
<li>Долговременный непрерывный режим работы</li>
<li>Компактный прямоугольный корпус с ручкой-подставкой для удобства хранения и транспортировки</li>
<li>Воздушный зазор между внутренним кожухом и внешним корпусом</li>
<li>Простота управления, надежность и длительный срок эксплуатации </li>
<li>Эргономичный современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Класс электрозащиты: I </li>
<li>Степень защиты оболочки: IP 20</li>
<li>Диапазон заданной температуры: от 0 до 40 °С</li>
<li>Условия эксплуатации:
<ul>
<li>Диапазон температуры окружающего воздуха: от -10 до 40 °С</li>
<li>Относительная влажность при 25 °С: 80%</li>
</ul>
</li>
<li>Температура нагрева воздуха при максимальной мощности: 42 °С</li>
<li>Номинальная частота сети: 50 Гц</li>
<li>Номинальная сила тока: 37,5 А</li>
<li>Номинальная мощность в режиме вентиляции: 0,1 кВт</li>
<li>Продолжительность работы: не более 24 ч</li>
<li>Продолжительность паузы: не менее 2 ч</li>
<li>Ресурс электродвигателя: 40000 ч</li>
<li>Средний срок эксплуатации: 7 лет</li>
<li>Габариты в упаковке: 437х492х594 мм </li>
</ul>",193167,электрическая,380 В,от 12 до 24 кВт,410 мм,435 мм,560 мм,,,,0,https://entero.ru/manuals/225628/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ZILON%20%D0%91%D0%BE%D0%B3%D0%B0%D1%82%D1%8B%D1%80%D1%8C%20ZTV-24.pdf;https://entero.ru/manuals/225627/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D1%82%D0%B5%D0%BF%D0%BB%D0%BE%D0%B2%D1%8B%D0%B5%20%D0%BF%D1%83%D1%88%D0%BA%D0%B8%20ZILON.pdf,31239,18.5 кг,,Россия,1700 м3/час,,,,Да
https://cdn.entero.ru/mp@2x/31/10/31102df3349a06bdec05fcf1e59f294d.jpg;https://cdn.entero.ru/mp@2x/7c/5b/7c5bc3b5a7040d67526ee37f7dfb6978.jpg;https://cdn.entero.ru/mp@2x/cc/8e/cc8ef348cff3d45790aa161ca904b07e.jpg;https://cdn.entero.ru/mp@2x/80/3b/803bfbe8385c3edcadfe7feb1edfde01.jpg,Пушка тепловая электрическая Breeon BHEG-2000,PRO Compact BHEG-2000,2337,RUB,Да,,Климатическая техника,Обогреватели,Тепловые пушки,https://entero.ru/item/327103,"<p>Электрическая тепловая пушка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/327103"">Breeon BHEG-2000</a> </b>серии PRO Compact предназначена для вентиляции и обогрева производственных, общественных и вспомогательных помещений. Модель оснащена осевым вентилятором, защитными решетками, кабелем питания с вилкой и электромеханической панелью управления. Кожух выполнен из листовой стали с высококачественным, устойчивым к механическим повреждениям, термостойким и антикоррозийным полимерным покрытием оттенка серый металлик, верхняя панель и регуляторы – из черного пластика, подставка – из металлического трубчатого профиля с черным антикоррозийным покрытием. </p>

<p>В комплект поставки входят инструкция по эксплуатации и гарантийный талон.</p>

<p><b>Особенности:</b> </p>

<ul>
<li>Режимы:
<ul>
<li>Ветиляция без нагрева</li>
<li>Минимальный: энергосберегающая работа на сниженной наполовину мощности</li>
<li>Максимальный: эффективный обогрев при полной мощности </li>
</ul>
</li>
<li>Высокоэффективный керамический нагревательный элемент: быстрое достижение заданной температуры </li>
<li>Бесступенчатая регулировка температуры с помощью поворотного переключателя</li>
<li>Ступенчатое переключение режимов с помощью поворотного переключателя</li>
<li>Предохранительный термостат для защиты от перегрева</li>
<li>Направленный интенсивный воздушный поток с возможностью регулировки угла наклона с фиксацией положения с помощью регулировочных винтов</li>
<li>Интегрированная в верхнюю панель рукоятка для удобства транспортировки</li>
<li>Компактный цилиндрический корпус с подставкой для оптимизации пространства при эксплуатации и хранении </li>
<li>Простота управления, надежность и длительный срок эксплуатации</li>
<li>Степень защиты оболочки: IP 20 </li>
<li>Класс электрозащиты: I </li>
<li>Эргономичный современный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия хранения:
<ul>
<li>Диапазон температуры окружающего воздуха: от 5 до 40 °С</li>
<li>Диапазон относительной влажности: от 15 до 75%</li>
</ul>
</li>
<li>Условия эксплуатации:
<ul>
<li>Диапазон температуры окружающего воздуха: от 0 до 40 °С</li>
<li>Максимальная относительная влажность при 25 °С: 93%</li>
</ul>
</li>
<li>Рекомендуемая площадь помещения: 25 м²</li>
<li>Длина кабеля питания:1500 мм</li>
<li>Минимальный зазор до препятствий при эксплуатации: 500 мм</li>
</ul>",327103,электрическая,220 В,от 1 до 2 кВт,230 мм,170 мм,192 мм,1.7 кг,1,255x180x215 мм,0,https://entero.ru/manuals/388962/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Breeon%20BHEG-2000.pdf;https://entero.ru/manuals/388963/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Breeon%20BHEG-2000.pdf;https://entero.ru/manuals/388965/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Breeon.pdf;https://entero.ru/manuals/388967/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/388969/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,2885,1.4 кг,,Китай,190 м3/час,,,,Да
https://cdn.entero.ru/mp@2x/8c/fa/8cfab001c311c34aee71ea1862181a7f.jpg;https://cdn.entero.ru/mp@2x/30/74/3074a785a64157eaec64cdbd65eb7110.jpg;https://cdn.entero.ru/mp@2x/2a/8c/2a8ca8b26415e140f417b6dad714bf9a.jpg;https://cdn.entero.ru/mp@2x/ee/92/ee923a136ef407765cc365ed2cf9a3b8.jpg;https://cdn.entero.ru/mp@2x/05/10/0510623e2749555d48f9d734abd46c86.jpg;https://cdn.entero.ru/mp@2x/71/32/713264c2bb02b766a032273b94a2c73e.jpg;https://cdn.entero.ru/mp@2x/c9/b6/c9b610401a89edba80622c20e4d8a5cc.jpg;https://cdn.entero.ru/mp@2x/c9/0f/c90f9a3d4ec4a32f83c9971fcc7dcd32.jpg;https://cdn.entero.ru/mp@2x/f6/8b/f68b27c5e1e9db4f3a56cc45b5e7264e.jpg;https://cdn.entero.ru/mp@2x/23/74/23745f75697b672ce89490e6921fadc5.jpg;https://cdn.entero.ru/mp@2x/44/54/445418c4a7c9c0e352e63f0b0ed2bfca.jpg;https://cdn.entero.ru/mp@2x/6b/58/6b58ee616a70a3e096395a4f13f507a0.jpg;https://cdn.entero.ru/mp@2x/e6/d0/e6d0b3f7d1cfa01c3a98bd4c8aee3351.jpg;https://cdn.entero.ru/mp@2x/6c/de/6cde1b8f1a0d98957d956ebf72dcddc9.jpg,Пушка тепловая MAXPILER MEH-2001,Пушка тепловая MAXPILER MEH-2001,2372,RUB,Да,,Климатическая техника,Обогреватели,Тепловые пушки,https://entero.ru/item/375738,"<p>Электрическая тепловая пушка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375738"">MAXPILER MEH-2001</a></b> предназначена для вентиляции и обогрева жилых и служебных помещений. Модель оснащена рукояткой для переноски, регулировкой угла наклона и устойчивыми опорными ножками. Керамический нагревательный элемент не сжигает кислород и обеспечивает долгий срок службы аппарата. Функция защиты и автоматическое отключение при перегреве гарантируют безопасность использования. Корпус выполнен из листовой стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима обогрева на 100% и 50% мощности</li>
<li>Работа в режиме вентилятора без нагрева</li>
<li>Термостат для поддержания постоянной температуры</li>
<li>Мощный направленный воздушный поток</li>
<li>Легкая и мобильная конструкция</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура эксплуатации: от -10 до +40 °С</li>
<li>Потребляемая мощность: 1 и 2 кВт</li>
</ul>",375738,электрическая,220 В,2 кВт,135 мм,215 мм,235 мм,1.4 кг,,,0,https://entero.ru/manuals/513018/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MAXPILER%20MEH-2001.pdf,,,Китай,Китай,180 м3/час,,,20 м2/час,Да
https://cdn.entero.ru/mp@2x/5c/5d/5c5d13d44d99d1f17873b727b2bec8fd.jpg;https://cdn.entero.ru/mp@2x/ee/7d/ee7d39857d823e59b11e3a02a12d7732.jpg;https://cdn.entero.ru/mp@2x/d3/73/d373fb19fe0258f686409bf7cc252fc9.jpg;https://cdn.entero.ru/mp@2x/55/6b/556b5c8205f5b711ee0eaf704d70f1d2.jpg;https://cdn.entero.ru/mp@2x/9a/ba/9abaf4e9cf7956dbd3cfe478cd18f08e.jpg;https://cdn.entero.ru/mp@2x/67/4d/674d53b7269af7d9089563a9ed5e5104.jpg;https://cdn.entero.ru/mp@2x/6c/5a/6c5a2b49c4a1ca2afaff9f7bf0303abd.jpg;https://cdn.entero.ru/mp@2x/26/d0/26d0cace2f8b1495c5de2520373ed5c2.jpg;https://cdn.entero.ru/mp@2x/25/e8/25e8b92750ead42392959a70e8beb81a.jpg;https://cdn.entero.ru/mp@2x/2c/bd/2cbde49e7abcf933065793e4ea378a4c.jpg;https://cdn.entero.ru/mp@2x/f9/c2/f9c2e4adbb640699232b05262e48d5d0.jpg;https://cdn.entero.ru/mp@2x/8b/b4/8bb4228bff95f256fe43abc93cd230b0.jpg;https://cdn.entero.ru/mp@2x/92/6b/926b9d535e96b28ed8f8840291a0bfca.jpg;https://cdn.entero.ru/mp@2x/c3/9e/c39e152e191f2ec0dd61dcd499394997.jpg,Пушка тепловая MAXPILER MEH-2002,Пушка тепловая MAXPILER MEH-2002,2372,RUB,Да,,Климатическая техника,Обогреватели,Тепловые пушки,https://entero.ru/item/375740,"<p>Электрическая тепловая пушка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375740"">MAXPILER MEH-2002</a></b> предназначена для вентиляции и обогрева жилых и служебных помещений. Модель оснащена рукояткой для переноски, регулировкой угла наклона корпуса и устойчивыми опорными ножками. Керамический нагревательный элемент не сжигает кислород и обеспечивает долгий срок службы аппарата. Функция защиты и автоматическое отключение при перегреве гарантируют безопасность использования. Корпус выполнен из листовой стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима обогрева на 100% и 50% мощности</li>
<li>Работа в режиме вентилятора без нагрева</li>
<li>Термостат для поддержания постоянной температуры</li>
<li>Мощный направленный воздушный поток</li>
<li>Легкая и мобильная конструкция</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура эксплуатации: от -10 до +40 °С</li>
<li>Потребляемая мощность: 1 и 2 кВт</li>
</ul>",375740,электрическая,220 В,2 кВт,165 мм,220 мм,230 мм,1.65 кг,,,0,https://entero.ru/manuals/513025/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MAXPILER%20MEH-2002.pdf,,,Китай,Китай,197 м3/час,,,20 м2/час,Да
https://cdn.entero.ru/mp@2x/98/63/9863b27760dc66c7fe98cb5f695209e2.jpg;https://cdn.entero.ru/mp@2x/71/ba/71ba686b9fcf99d24c9dcbaf959361d4.jpg;https://cdn.entero.ru/mp@2x/40/09/400984aa0a3539e50bfde3899344e505.jpg;https://cdn.entero.ru/mp@2x/5a/96/5a96186d692f52be87715233b69d4e99.jpg;https://cdn.entero.ru/mp@2x/60/39/60393bd82f60c688924e03bb0a7e8a48.jpg;https://cdn.entero.ru/mp@2x/dc/93/dc937b960fe4bb9d0aa8c8b4b90d6f30.jpg;https://cdn.entero.ru/mp@2x/41/48/414805e2166f5273a21fe888d33ab877.jpg;https://cdn.entero.ru/mp@2x/ab/0f/ab0f28ff2c6307561952b0c0cbf7ebc9.jpg;https://cdn.entero.ru/mp@2x/bc/99/bc99dd8dec818e369f92ff82ffae1793.jpg;https://cdn.entero.ru/mp@2x/a0/57/a057aa3fabab2223aae937724820ce9a.jpg,Пушка тепловая MAXPILER MEH-2000,Пушка тепловая MAXPILER MEH-2000,2570,RUB,Да,,Климатическая техника,Обогреватели,Тепловые пушки,https://entero.ru/item/375736,"<p>Электрическая тепловая пушка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375736"">MAXPILER MEH-2000</a></b> предназначена для вентиляции и обогрева жилых и служебных помещений. Модель оснащена рукояткой для переноски и устойчивыми опорными ножками. Керамический нагревательный элемент не сжигает кислород и обеспечивает долгий срок службы аппарата. Функция защиты и автоматическое отключение при перегреве гарантируют безопасность использования.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима обогрева на 100% и 50% мощности</li>
<li>Работа в режиме вентилятора без нагрева</li>
<li>Термостат для поддержания постоянной температуры</li>
<li>Мощный направленный воздушный поток</li>
<li>Легкая и мобильная конструкция</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура эксплуатации: от -10 до +40 °С</li>
<li>Потребляемая мощность: 1 и 2 кВт</li>
</ul>",375736,электрическая,220 В,2 кВт,175 мм,255 мм,305 мм,1.4 кг,,,0,https://entero.ru/manuals/512995/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MAXPILER%20MEH-2000.pdf,,,Китай,Китай,139 м3/час,,,20 м2/час,Да
