Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Вес (с упаковкой)
https://cdn.entero.ru/mp@2x/4f/88/4f88ab50a9cba0847b5e003a653e9746.jpg;https://cdn.entero.ru/mp@2x/98/f1/98f1bf0259ed6e6ba6974317b046d9cb.jpg;https://cdn.entero.ru/mp@2x/92/5b/925ba1dcc1b461ef7bf8ecaf30a8cdb6.jpg;https://cdn.entero.ru/mp@2x/eb/d2/ebd2f236dae895c853288d6808e36fc4.jpg;https://cdn.entero.ru/mp@2x/ff/95/ff95c0c32d39b19de47cf8cdcbe0ce99.jpg;https://cdn.entero.ru/mp@2x/19/b2/19b221ccd8227a42fa4c2fc895f50b24.jpg;https://cdn.entero.ru/mp@2x/08/c0/08c034da4c10ed5fab5e9c8428919bcd.jpg;https://cdn.entero.ru/mp@2x/f9/f0/f9f019991da5ab86190bcc5d9e62b90f.jpg,Помпа для подачи воды Bottled Water System BWD5000,Помпа для подачи воды Bottled Water System BWD5000,13850,RUB,Да,,Кофеварки и кофемашины,Аксессуары,https://entero.ru/item/279517,"<p>Помпа <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/279517""><b class=""b"">Bottled Water System BW5000</b></a> предназначена для подачи воды в бутылках в домашних условиях. Модель оснащена мембраной Santoprene, автоматическим выключателем, который срабатывает, если бутылка опустела, встроенным обратным клапаном EPDM и универсальной крышкой, которая подходит к большинству емкостей.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Невзаимозаменяемые трубки, которые маркируются желтым кольцом у рукоятки</li>
<li>Отличается тихой работой </li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: 2 л/мин.</li>
<li>Максимальное давление: 2,8 Bar</li>
</ul>",279517,помпа,130 мм,137 мм,75 мм,2 кг,,1,140x190x76 мм,0,https://entero.ru/manuals/475849/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bottled%20Water%20System%20BWD5000%20%28%D0%B0%D0%BD%D0%B3%D0%BB%29.pdf;https://entero.ru/manuals/475856/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%28%D0%B0%D0%BD%D0%B3%D0%BB%29%20%D0%BD%D0%B0%20Bottled%20Water%20System%20BWD5000.pdf;https://entero.ru/manuals/475857/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Bottled%20Water%20System%20BWD5000.pdf,15054,2.04 кг,
https://cdn.entero.ru/mp@2x/8b/de/8bde47a4102fb09db9f1d464d6692533.jpg;https://cdn.entero.ru/mp@2x/f1/f0/f1f053a5a9852b24e9f131108d4ff7a1.jpg,Фильтры бумажные Bravilor Bonamat 85/245 ММ (1000 шт.),7.150.101.101,4247,RUB,Да,Bravilor Bonamat,Кофеварки и кофемашины,Аксессуары,https://entero.ru/item/73735,"<p>Бумажные фильтры <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73735""><b class=""b"">Bravilor Bonamat 7.150.101.101</b></a> предназначены для кофеварок <a href=""https://entero.ru/search.php?text=bravilor+Mondo"">Mondo,</a> <a href=""https://entero.ru/search.php?text=bravilor+Маtic"">Маtic</a>, <a href=""https://entero.ru/item/33203"">Novo</a>, <a href=""https://entero.ru/item/33204"">TH</a>, <a href=""https://entero.ru/item/33206"">THa</a> и <a href=""https://entero.ru/search.php?text=bravilor+RLX"">RLX</a>.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество: 1000 шт.</li>
<li>Диаметр:
<ul>
<li>Нижний: 85 мм</li>
<li>Верхний: 245 мм</li>
</ul>
</li>
<li>Размер коробки 33*30*17 см</li>
<li>Вес 1,8 кг</li>
</ul>",73735,фильтр бумажный,,,,,Нидерланды,,,3736,,5588,,
https://cdn.entero.ru/mp@2x/a6/0d/a60d9b1646cb33b6895e7e67eb8d6308.jpg,Коврик для темпинга MOTTA 265,"265 угловой, черный, 24х16 см",3332,RUB,Да,MOTTA,Кофеварки и кофемашины,Аксессуары,https://entero.ru/item/111825,"<p>Угловой коврик для темпинга <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/111825"">MOTTA 265</a></b> используется совместно с темперами и холдерами кофемашин в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен при приготовлении кофейных напитков. Модель оснащена углублением для темпера. Изделие выполнено из силикона.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: черный</li>
</ul>",111825,коврик для темпинга,240 мм,160 мм,,,Италия,,,0,,3967,,
https://cdn.entero.ru/mp@2x/b6/f5/b6f56704d2ac8e944a3c27cd514d09fc.jpg,"Темпер MOTTA 08100/M0 плоский 58 мм, коричневая ручка",8100/M,4507,RUB,Да,MOTTA,Кофеварки и кофемашины,Аксессуары,https://entero.ru/item/216443,"<p>Темпер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/216443""><b class=""b"">MOTTA 08100/M0</b></a> используется совместно с кофемашинами рожкового типа в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен в холдере при приготовлении кофейных напитков. Модель оснащена плоской стальной рабочей частью и эргономичной ручкой. Рабочая поверхность выполнена из нержавеющей стали, ручка - из дерева.</p>",216443,темпер,58 мм,58 мм,90 мм,,Италия,,,0,https://entero.ru/manuals/501007/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,6174,0.35 кг,
https://cdn.entero.ru/mp@2x/f5/79/f5799609493e8fbae07cc476baeedcef.jpg;https://cdn.entero.ru/mp@2x/47/24/4724f8aa77ced6f905dde912ce954aa3.jpg,Ринзер Doppio ZH102,Ринзер Doppio ZH102,11530,RUB,Да,,Кофеварки и кофемашины,Аксессуары,https://entero.ru/item/315484,"<p>Ринзер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/315484""><b class=""b"">Doppio ZH102</b></a> предназначен для быстрого мытья питчеров в барах, ресторанах и кафе. Встраиваемая модель оснащена каплесборником. Изделие выполнено их нержавеющей стали.</p>",315484,ринзер,430 мм,230 мм,300 мм,,Китай,,,0,,12266,1.94 кг,
https://cdn.entero.ru/mp@2x/e7/97/e79797c2d1e0f5775b2e44773ba3f3ff.jpg;https://cdn.entero.ru/mp@2x/01/0e/010e5b1a0d3bb67eaf83ea2c848d93e6.jpg,"Нок-бокс Rinser 150х150х70 мм врезной, с открытым донышком, черный","Нок-бокс Rinser 150х150х70 мм врезной, с открытым донышком, черный",8278,RUB,Да,,Кофеварки и кофемашины,Аксессуары,https://entero.ru/item/193349,"<p>Нок-бокс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/193349""><b class=""b""> Rinser 150х150х70</b></a> используется совместно с кофемашинами на предприятиях общественного питания, в офисах и частных домах для сбора отработанного кофе из портафильтра после приготовления напитка. Модель подходит для мытья в посудомоечных машинах. Аксессуар оснащен съемной перекладиной, смещенной от центра. Изделие выполнено из нержавеющей стали AISI 201 с покрытием черной порошковой краской, перекладина – из прочной нержавеющей трубки и съемного резинового демпфера.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали: 1,5 мм</li>
<li>Глубина рамки: 15 мм</li>
<li>Габариты выреза в столешнице: 155x155 мм</li>
</ul>",193349,нок-бокс,150 мм,150 мм,70 мм,,Россия,,,0,,,,
https://cdn.entero.ru/mp@2x/93/9f/939feee51629d039579abfe614c8a78e.jpg;https://cdn.entero.ru/mp@2x/57/93/57933f35e5f0617a9b483d2e8d49a260.jpg;https://cdn.entero.ru/mp@2x/10/69/10699e664d0d1741fe760fc6420b6472.jpg,"Нок-бокс MOTTA 16,5 см",8250,7729,RUB,Да,MOTTA,Кофеварки и кофемашины,Аксессуары,https://entero.ru/item/118193,"<p>Нок-бокс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/118193""><b class=""b""> MOTTA</b></a> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/118193""><b class=""b"">8250</b></a> используется совместно с кофемашинами на предприятиях общественного питания, в офисах и частных домах для сбора отработанного кофе из портафильтра после приготовления напитка. Аксессуар оснащен обрезиненной перекладиной и выполнен из нержавеющей стали.</p>",118193,нок-бокс,165 мм,165 мм,110 мм,,Италия,,,0,,,,
https://cdn.entero.ru/mp@2x/6c/5b/6c5bda002ca5f1de6f7adc1acd56f2c9.jpg,"Темпер MOTTA 8100/B 58 мм плоский, черная ручка",ТЕМПЕР 58 ММ ПЛОСКИЙ С ЧЕРНОЙ РУЧКОЙ MOTTA,5000,RUB,Да,MOTTA,Кофеварки и кофемашины,Аксессуары,https://entero.ru/item/105679,"<p>Темпер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105679""><b class=""b"">MOTTA 8100/B</b></a> используется совместно с кофемашинами рожкового типа в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен в холдере при приготовлении кофейных напитков. Модель оснащена плоской стальной рабочей частью и эргономичной деревянной ручкой черного цвета. Рабочая поверхность выполнена из нержавеющей стали 18/10 Aisi 304.</p>",105679,темпер,58 мм,58 мм,94 мм,,Италия,,,0,https://entero.ru/manuals/501013/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,6579,0.37 кг,
https://cdn.entero.ru/mp@2x/10/e3/10e3b7bb0ff792260160ee7ec4b65ce0.jpg;https://cdn.entero.ru/mp@2x/cf/e5/cfe52d8fc66194d12c2944f37aae076f.jpg;https://cdn.entero.ru/mp@2x/2c/13/2c135342fe3cc69758986bed41f998f6.jpg;https://cdn.entero.ru/mp@2x/df/4f/df4f1789ca6a85e60e064a69160e4241.jpg;https://cdn.entero.ru/mp@2x/47/4b/474b940bf35c10d9f086db9ce79e56c0.jpg;https://cdn.entero.ru/mp@2x/7d/b9/7db9079985ce0607b6a258eacf0a6cd5.jpg,Очиститель холдера автоматический DAZHENG LEHEHE autocleaner undercounter C-1 DAL-KF-0070,DAL-KF-0070,38480,RUB,Да,,Кофеварки и кофемашины,Аксессуары,https://entero.ru/item/308166,"<p>Очиститель холдера автоматический <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/308166""><b class=""b"">DAZHENG DAL-KF-0070 </b></a>используется для очистки портафильтра для кофе на предприятиях общественного питания и торговли, в кофейнях, кафе, ресторанах или в домашних условиях. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Цвет: черный </li>
<li>Мощность: 120 Вт</li>
<li>Подключение: 220в/50-60 Гц </li>
<li>Скорость вращения: 300 об/мин</li>
</ul>

<p> </p>",308166,очиститель холдера,205 мм,130 мм,8850 мм,,Китай,,,0,https://entero.ru/manuals/507289/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,4 кг,
https://cdn.entero.ru/mp@2x/9b/71/9b716d5e5239ee6464227042d72f92b9.jpg;https://cdn.entero.ru/mp@2x/75/eb/75ebab0e580f00d9a9ae29aa1f255fad.jpg;https://cdn.entero.ru/mp@2x/21/39/2139e6445d565e034983f3932ad22060.jpg,Станция для темпинга MOTTA 680,Подставка для темперовки (МОТТА),6582,RUB,Да,MOTTA,Кофеварки и кофемашины,Аксессуары,https://entero.ru/item/111123,"<p>Станция для темпинга <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/111123"">MOTTA 680</a></b> используется совместно с темперами и холдерами кофемашин в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен при приготовлении кофейных напитков. Изделие выполнено из нержавеющей стали и пластика.</p>",111123,станция для темпинга,,,,,Италия,,,0,https://entero.ru/manuals/501017/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,8126,,
