Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Цвет,Материал корпуса,Давление,Тип кофе,Емкость контейнера для кофе,Емкость контейнера для отработанного кофе,Встроенная кофемолка,Объем резервуара для воды,Тип нагревательного элемента,Возможность подключения к водопроводу,Капуччинатор
https://cdn.entero.ru/mp@2x/37/48/37480766aca936645aa15429636396ff.jpg;https://cdn.entero.ru/mp@2x/d1/07/d1072a8b41918c3672707f514fbf878b.jpg;https://cdn.entero.ru/mp@2x/14/d8/14d8f09c201c1ce724b03a8ce2d30935.jpg;https://cdn.entero.ru/mp@2x/2d/13/2d1373e22cbf5d8543c30d87d9e02b2d.jpg;https://cdn.entero.ru/mp@2x/b3/89/b389df02f76e401f2fb655db8af8678c.jpg;https://cdn.entero.ru/mp@2x/60/27/6027843e1adf35dd557a2c1a6cfdee07.jpg,Кофеварка Bravilor Bonamat TH NEW,8.010.040.31002,43215,RUB,Да,Bravilor Bonamat,Кофеварки и кофемашины,Кофеварки,https://entero.ru/item/33204,"<p>Заливная кофеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33204"">Bravilor Bonamat TH NEW</a></b> используется на предприятиях общественного питания и торговли для приготовления фильтрованного кофе непосредственно в термос Furento или Advanta. Модель оснащена системой кофеварения и индикаторами готовности кофе и удаления накипи. Корпус выполнен из высококачественной нержавеющей стали, черные детали - из синтетических материалов.</p>

<p>В комплект поставки входит фильтродержатель из нержавеющей стали. Термос Furento или Advanta заказывается отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 
<ul>
<li>152 чашки/час</li>
<li>19 л/час</li>
</ul>
</li>
<li>Объем: 2,2 л</li>
<li>Время приготовления 2,2 л: 7 мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Фильтр-чашка <a href=""https://entero.ru/item/73735"">7.150.101.101</a></li>
<li>Фильтр-кастрюлька</li>
<li>Фильтр-контейнер для чая</li>
<li>Станция Airpot </li>
<li>Подогреватель чашек <a href=""https://entero.ru/item/74519"">WHK</a></li>
<li>Мерная ложка</li>
<li>Средство для удаления накипи <a href=""https://entero.ru/item/90145"">Renegite</a></li>
<li>Чистящее средство для глубокой очистки <a href=""https://entero.ru/item/90144"">Cleaner</a></li>
</ul>",33204,капельная,220 В,2.31 кВт,235 мм,406 мм,545 мм,6.96 кг,Нидерланды,1,375x590x275 мм,71,https://entero.ru/manuals/45623/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20TH%20NEW.pdf;https://entero.ru/manuals/44546/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20TH%20NEW.pdf;https://entero.ru/manuals/44549/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20Bravilor%20Bonamat%20TH%20NEW.pdf;https://entero.ru/manuals/44548/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Bravilor%20Bonamat%20TH%20NEW%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/482963/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,,5.96 кг,"черный, нерж. сталь",,,фильтрованный,,,,,,,
https://cdn.entero.ru/mp@2x/c4/34/c434098683728d87b6fb6b4017337841.jpg,Кофеварка Marco Bru F60M,D4676 / BRU 60 M ЗАЛИВНАЯ / 1000902EU,55100,RUB,Да,Marco,Кофеварки и кофемашины,Кофеварки,https://entero.ru/item/83440,"<p>Кофеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83440"">Marco Bru F60M</a></b> используется на предприятиях общественного питания и торговли, в офисах и гостиницах для профессионального заваривания кофе. Модель оснащена 1 нагревательной поверхностью. Залив воды осуществляется вручную. Корпус выполнен из нержавеющей стали.</p>

<p>Термос не входит в комплект поставки и заказывается отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Стабильность температуры</li>
<li>Датчик уровня накипи</li>
<li>Простота и удобство чистки</li>
<li>Стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 18 порций/час</li>
<li>Время заваривания: от 7 до 8 мин.</li>
<li>Габариты в упаковке: 420x250x657 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/83499"">Термос с пневмопомпой 2,5 л</a></li>
<li><a href=""https://entero.ru/item/83495"">Бумажные фильтр-пакеты 1000 шт.</a></li>
</ul>",83440,капельная,220 В,2.2 кВт,211 мм,360 мм,508 мм,,Ирландия,,,0,https://entero.ru/manuals/58372/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Marco%20Bru%20F60M%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/58371/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/58373/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Marco%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,59891,,8 кг,"черный, серебристый",металл,,"зерновой, молотый",,,,2.2 л,,,
https://cdn.entero.ru/mp@2x/09/30/0930402ff8ad77bbcdfb344b17e10ef4.jpg;https://cdn.entero.ru/mp@2x/bb/0c/bb0c34ea88c1a8308a94a2548d60eb2d.jpg;https://cdn.entero.ru/mp@2x/94/1a/941a8f7f5ff5de210f796ce2805638bc.jpg;https://cdn.entero.ru/mp@2x/5a/b7/5ab7bfeaa72669c3c4874999ed86da98.jpg;https://cdn.entero.ru/mp@2x/68/05/6805be42f458f65725582270c8133c23.jpg;https://cdn.entero.ru/mp@2x/60/4c/604c6a6414dbe1edbad742608f70fa04.jpg,Кофеварка Bravilor Bonamat THa NEW,8.010.070.31002,72624,RUB,Да,Bravilor Bonamat,Кофеварки и кофемашины,Кофеварки,https://entero.ru/item/33206,"<p>Кофеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33206"">Bravilor Bonamat THa NEW</a></b> используется на предприятиях общественного питания и торговли для приготовления фильтрованного кофе непосредственно в кофейник Furento или термос Advanta. Модель оснащена цифровым дисплеем, регулируемым программированием, системой кофеварения и индикаторами готовности кофе и удаления накипи. Корпус выполнен из высококачественной нержавеющей стали, черные детали - из синтетических материалов.</p>

<p>В комплект поставки входит фильтродержатель из нержавеющей стали. Кофейник Furento или термос Advanta заказывается отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 
<ul>
<li>144 чашки/час</li>
<li>18 л/час</li>
</ul>
</li>
<li>Объем: 2,2 л</li>
<li>Время приготовления 2,2 л: 8 мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Фильтр-чашка</li>
<li>Фильтр-кастрюлька</li>
<li>Фильтр-контейнер для чая</li>
<li>Станция Airpot </li>
<li>Мерная ложка</li>
<li>Подогреватель чашек <a href=""https://entero.ru/item/74519"">WHK</a></li>
<li>Мерная ложка</li>
<li>Средство Renegite для удаления накипи</li>
<li>Чистящее средство для глубокой очистки</li>
</ul>",33206,капельная,220 В,2.31 кВт,235 мм,406 мм,545 мм,7.1 кг,Нидерланды,1,255x405x590 мм,97,https://entero.ru/manuals/45624/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20THa%20NEW.pdf;https://entero.ru/manuals/44557/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20THa%20NEW.pdf;https://entero.ru/manuals/44560/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20Bravilor%20Bonamat%20THa%20NEW.pdf;https://entero.ru/manuals/44559/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Bravilor%20Bonamat%20THa%20NEW%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/482960/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,76446,,6.1 кг,"нерж. сталь, черный",,,фильтрованный,,,,,,есть,
https://cdn.entero.ru/mp@2x/1d/3e/1d3e000553b575b59e30c12be09568c0.jpg;https://cdn.entero.ru/mp@2x/65/56/65569a85cfb51431ea3289a41e1ce111.jpg;https://cdn.entero.ru/mp@2x/fd/6c/fd6cfcf2a3931c2ab93c7aac1cab13bb.jpg;https://cdn.entero.ru/mp@2x/3d/d5/3dd52e1c78558821c29e647663a01ab1.jpg,Кофеварка Bravilor Bonamat Novo,8.010.080.31002,34807,RUB,Да,Bravilor Bonamat,Кофеварки и кофемашины,Кофеварки,https://entero.ru/item/33203,"<p>Заливная кофеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33203"">Bravilor Bonamat Novo</a> NEW</b> используется на предприятиях общественного питания и торговли для приготовления фильтрованного кофе. Модель оснащена системой кофеварения и 2 саморегулируемыми плитами нагрева дна, которые поддерживают оптимальную температуру кофе. Корпус выполнен из высококачественной нержавеющей стали, черные детали - из синтетических материалов.</p>

<p>В комплект поставки входит стеклянный графин и пластиковый фильтродержатель.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 
<ul>
<li>144 чашки/час</li>
<li>18 л/час</li>
</ul>
</li>
<li>Объем графина: 1,7 л</li>
<li>Время приготовления графина: 5 мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Фильтр-чашка <a href=""https://entero.ru/item/73735"">7.150.101.101</a></li>
<li>Мерная ложка</li>
<li>Подогреватель чашек <a href=""https://entero.ru/item/74519"">WHK</a></li>
<li>Средство для удаления накипи <a href=""https://entero.ru/item/90145"">Renegite</a></li>
<li>Чистящее средство для глубокой очистки <a href=""https://entero.ru/item/90144"">Cleaner</a></li>
</ul>",33203,капельная,220 В,2.13 кВт,214 мм,391 мм,424 мм,,Нидерланды,,,97,https://entero.ru/manuals/45621/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20Novo%20NEW.pdf;https://entero.ru/manuals/44541/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20Novo%20NEW.pdf;https://entero.ru/manuals/44544/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20Bravilor%20Bonamat%20Novo%20NEW.pdf;https://entero.ru/manuals/44543/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Bravilor%20Bonamat%20Novo%20NEW%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/482975/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,37427,,4.83 кг,"черный, нерж. сталь, серый",,,фильтрованный,,,,,,,
https://cdn.entero.ru/mp@2x/7c/ca/7ccabf7b5ad23e39f6abea81f1e99e99.jpg,Кофеварка Airhot CM-2,Кофеварка Airhot CM-2,18053,RUB,Да,Airhot,Кофеварки и кофемашины,Кофеварки,https://entero.ru/item/77731,"<p>Кофеварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/77731""><b class=""b"">Airhot CM-2</b></a> используется на предприятиях общественного питания и торговли для приготовления кофе из молотых зерен. Модель оснащена подставкой для кофейника и нагревательной плитой, поддерживающей температуру уже приготовленного напитка. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 25 фильтров/мембран для кофе.</p>

<p>Кофейники GK-12 из стекла и пластика объемом 1,8 литра заказываются отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 140 чашек в час (16,8 л)</li>
<li>Время приготовления кофе: 7 мин./кофейник</li>
</ul>",77731,капельная,220 В,2.06 кВт,360 мм,196 мм,430 мм,7.03 кг,Китай,1,478x276x487 мм,0,https://entero.ru/manuals/96171/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CM-2.pdf;https://entero.ru/manuals/481963/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,5.86 кг,"черный, металл",металл,,молотый,,,,2.2 л,,,
https://cdn.entero.ru/mp@2x/47/82/4782f63b3f48fdc0c2e550c9e44de456.jpg;https://cdn.entero.ru/mp@2x/34/c6/34c68e318d81352975bfcf91352470bb.jpg,Кофеварка Marco Bru F45M,D4680 / BRU 45 M ЗАЛИВНАЯ / 1000900EU,53675,RUB,Да,Marco,Кофеварки и кофемашины,Кофеварки,https://entero.ru/item/83438,"<p>Кофеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83438"">Marco Bru F45M</a></b> используется на предприятиях общественного питания и торговли, в офисах и гостиницах для профессионального заваривания кофе. Модель оснащена 2 нагревательными поверхностями. Залив воды осуществляется вручную. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 2 стеклянных кувшина.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Стабильность температуры</li>
<li>Датчик уровня накипи</li>
<li>Простота и удобство чистки</li>
<li>Стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 15 порций/час</li>
<li>Время заваривания: от 7 до 8 мин.</li>
<li>Габариты в упаковке: 600x250x507 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/83498"">Стеклянный кувшин 1,8 л</a></li>
<li><a href=""https://entero.ru/item/83495"">Бумажные фильтр-пакеты 1000 шт.</a></li>
</ul>",83438,капельная,220 В,2.4 кВт,211 мм,360 мм,444 мм,,Ирландия,,,0,https://entero.ru/manuals/58366/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Marco%20Bru%20F45M%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/58365/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/58367/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Marco%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,57715,,9 кг,"черный, серебристый",металл,,"зерновой, молотый",,,,1.8 л,,,
https://cdn.entero.ru/mp@2x/15/81/1581fe5713be079409dc9bb833631b80.jpg;https://cdn.entero.ru/mp@2x/ff/46/ff4620e5e8a8bcf9239acbd16abc5848.jpg;https://cdn.entero.ru/mp@2x/bb/d7/bbd7fe42432c4dc0726b4dfe2e511eed.jpg;https://cdn.entero.ru/mp@2x/e9/fc/e9fc45bb73a43778e4efbe58aaf35051.jpg,Кофеварка Bravilor Bonamat Iso,8.010.090.31002,39814,RUB,Да,Bravilor Bonamat,Кофеварки и кофемашины,Кофеварки,https://entero.ru/item/74450,"<p>Заливная кофеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/74450"">Bravilor Bonamat Iso</a></b> используется на предприятиях общественного питания и торговли для приготовления фильтрованного кофе. Модель оснащена системой кофеварения и термосом, который поддерживает оптимальную температуру кофе. Корпус и термос с двойными стенками выполнены из высококачественной нержавеющей стали, черные детали - из синтетических материалов.</p>

<p>В комплект поставки входит пластиковый фильтродержатель.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 
<ul>
<li>144 чашки/час</li>
<li>18 л/час</li>
</ul>
</li>
<li>Объем термоса: 2 л</li>
<li>Время приготовления 2 л: 6 мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Фильтр-чашка <a href=""https://entero.ru/item/73735"">7.150.101.101</a></li>
<li>Мерная ложка</li>
<li>Подогреватель чашек <a href=""https://entero.ru/item/74519"">WHK</a></li>
<li>Средство Renegite для удаления накипи</li>
<li>Чистящее средство для глубокой очистки</li>
</ul>",74450,капельная,220 В,2 кВт,214 мм,391 мм,465 мм,6.7 кг,Нидерланды,1,580x240x400 мм,23,https://entero.ru/manuals/45622/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20Iso.pdf;https://entero.ru/manuals/44264/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20Iso.pdf;https://entero.ru/manuals/44265/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20Bravilor%20Bonamat%20Iso.pdf;https://entero.ru/manuals/44262/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Bravilor%20Bonamat%20Iso%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/482964/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,,5.7 кг,"нерж. сталь, черный",металл,,фильтрованный,,,,,,нет,
https://cdn.entero.ru/mp@2x/a0/42/a04222f7cf8392713cf7254f745da8fb.jpg;https://cdn.entero.ru/mp@2x/12/d9/12d9e495d1db82254c76a3d45cff0162.jpg;https://cdn.entero.ru/mp@2x/bf/71/bf7152be1b296a4e6183c6c6469dffcb.jpg;https://cdn.entero.ru/mp@2x/ca/26/ca2671a3f8ad191901d33c7c0ee4d8f1.jpg,Кофеварка Bravilor Bonamat Mondo,8.010.020.31002,47655,RUB,Да,Bravilor Bonamat,Кофеварки и кофемашины,Кофеварки,https://entero.ru/item/74442,"<p>Заливная кофеварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/74442"">Bravilor Bonamat Mondo</a></b> используется на предприятиях общественного питания и торговли для приготовления фильтрованного кофе. Модель оснащена системой кофеварения, 2 саморегулируемыми конфорками, которые поддерживают оптимальную температуру кофе, индикаторами готовности кофе и удаления накипи и LED-подсветкой. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 2 стеклянных графина и фильтродержатель из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 
<ul>
<li>144 чашки/час</li>
<li>18 л/час</li>
</ul>
</li>
<li>Объем одного графина: 1,7 л</li>
<li>Время приготовления графина: 5 мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Фильтр-чашка</li>
<li>Фильтр для весны</li>
<li>Фильтр-лоток</li>
<li>Фильтр-лоток для чая</li>
<li>Термос</li>
<li>Мерная ложка</li>
</ul>",74442,капельная,220 В,2.14 кВт,195 мм,406 мм,446 мм,6.84 кг,Нидерланды,1,290x410x590 мм,31,https://entero.ru/manuals/44240/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20Mondo%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/44238/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20Mondo.pdf;https://entero.ru/manuals/44241/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20Bravilor%20Bonamat%20Mondo.pdf;https://entero.ru/manuals/342366/%D0%9F%D1%80%D0%B8%D0%BD%D1%86%D0%B8%D0%BF%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B%20Bravilor%20Bonamat%20Mondo%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/482962/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,51799,,,"черный, нерж. сталь",металл,,фильтрованный,,,,,,нет,
https://cdn.entero.ru/mp@2x/86/15/8615eca7d5e25aa1918b21f0bd1e0e6f.jpg;https://cdn.entero.ru/mp@2x/04/97/0497d875233a4d7cc8e977e8d93a7247.jpg,Кофеварка капельная KEF FLT120 black,FLT120 черная,28460,RUB,Да,,Кофеварки и кофемашины,Кофеварки,https://entero.ru/item/252584,"<p>Капельная кофеварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/252584""><b class=""b"">KEF FLT120 </b></a>предназначена для приготовления фильтрованного кофе на предприятиях общественного питания и торговли, кофейнях, кондитерских, ресторанах и кафе. Модель оснащена 2 нагревательными поверхностями, которые могут использоваться по отдельности. Фильтродержатель выполнен из пластика, чайник - из стекла. </p>

<p>В комплект поставки входят 25 бумажных фильтров.</p>

<p><b>Особености:</b></p>

<ul>
<li>Защита от сухого закипания</li>
<li>Быстрое время заваривания </li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Объем кувшина для кофе: 1,8 л</li>
<li>Время приготовления 1 кувшина: 6 мин.</li>
<li>Производительность: 144 чашки/час / 18 л/час</li>
</ul>",252584,капельная,220 В,2.4 кВт,190 мм,370 мм,440 мм,6 кг,Турция,1,210x410x490 мм,13,,30602,,5.2 кг,черный,,,молотый,,,,2.3 л,,нет,
https://cdn.entero.ru/mp@2x/72/f4/72f493c332261e5f0bbf390e4f12bde9.jpg,Кофеварка капельная KEF FLC 120 AP black,FLC 120 AP черная,63461,RUB,Да,,Кофеварки и кофемашины,Кофеварки,https://entero.ru/item/249887,"<p>Капельная кофеварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/249887""><b class=""b"">KEF FLC 120 AP </b></a>предназначена для приготовления фильтрованного кофе на предприятиях общественного питания и торговли, кофейнях, кондитерских, ресторанах и кафе. Термос и фильтродержатель выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Защита от сухого кипения</li>
<li>Быстрое время закипания</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Время приготовления 1 кувшина: 7 мин.</li>
<li>Производительность: 144 чашки/час</li>
</ul>",249887,капельная,220 В,2.2 кВт,205 мм,400 мм,620 мм,7.2 кг,Турция,1,246x480x744 мм,6,,,,6 кг,,,,молотый,,,,2.2 л,,есть,
