Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Количество полок,Вместимость чашек
https://cdn.entero.ru/mp@2x/7f/9c/7f9cb9dfcb4b03601c796765bda44763.jpg,Подогреватель чашек VIATTO VA-DC-A,4630169227398,32337,RUB,Да,VIATTO,Кофеварки и кофемашины,Подогреватели чашек для кофе,https://entero.ru/item/215706,"<p>Настольный подогреватель чашек <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215706"">VIATTO VA-DC-A</a></b> используется совместно с кофемашинами в кофейнях, барах, ресторанах и на других предприятиях общественного питания и торговли для кратковременного хранения и подогрева посуды для приготовления различных кофейных напитков. Модель оснащена 6 вертикальными отделениями для чашек, 3 отделениями для ложек и платформой для блюдец. </p>

<p><span style=""color:#FF0000;"">Посуда в комплект поставки не входит и приобретается отдельно.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Вращающийся цилиндрический корпус</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр чашек: от 60 до 90 мм</li>
<li>Габариты в упаковке: 620х620х710 мм</li>
</ul>",215706,,220 В,0.33 кВт,400 мм,400 мм,620 мм,,Китай,,,52,https://entero.ru/manuals/492968/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,12.5 кг,2,78 шт.
https://cdn.entero.ru/mp@2x/1f/c8/1fc8f4c62fcd8bd5fb073050e4e056e3.jpg;https://cdn.entero.ru/mp@2x/33/82/3382af7c89190e33ccf99760cef57071.jpg;https://cdn.entero.ru/mp@2x/e0/e7/e0e7f6e6d96cba762c723a2747cac1ae.jpg;https://cdn.entero.ru/mp@2x/4f/d8/4fd821b9a896b5e685ffdf0cec021018.jpg;https://cdn.entero.ru/mp@2x/23/71/2371eace122a86426c5f3179ecc3b463.jpg;https://cdn.entero.ru/mp@2x/97/c1/97c1073c61214a8572afe8e512bfd43e.jpg;https://cdn.entero.ru/mp@2x/eb/99/eb99390fa3a36f43dc10a32453caf968.jpg;https://cdn.entero.ru/mp@2x/23/3e/233e4c79e8c78c4eccc8025459c39116.jpg;https://cdn.entero.ru/mp@2x/3f/04/3f042d757f5f119fbc0532c6f42a383a.jpg;https://cdn.entero.ru/mp@2x/00/c2/00c24ab2eb934335b804bc14f7c77032.jpg;https://cdn.entero.ru/mp@2x/7a/81/7a81995d96f268f38e2b6c55c3717ccf.jpg;https://cdn.entero.ru/mp@2x/70/e0/70e053aa249caaf778e38b7d89f9f857.jpg,Подогреватель чашек Bravilor Bonamat WHK (черная сталь),8.040.040.32002,103316,RUB,Да,Bravilor Bonamat,Кофеварки и кофемашины,Подогреватели чашек для кофе,https://entero.ru/item/247628,"<p>Подогреватель чашек <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/247628""><b class=""b"">Bravilor Bonamat WHK</b></a> используется совместно с кофемашинами и кофеварками на предприятиях общественного питания и торговли. Модель оснащена 3 полками с раздельным подогревом. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: черная сталь</li>
</ul>",247628,,220 В,,349 мм,400 мм,542 мм,,Нидерланды,,,0,https://entero.ru/manuals/302081/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20WHK.pdf;https://entero.ru/manuals/302082/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20WHK.pdf;https://entero.ru/manuals/302083/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20Bravilor%20Bonamat%20WHK.pdf;https://entero.ru/manuals/302084/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Bravilor%20Bonamat%20WHK.pdf,112300,,3,120 шт.
https://cdn.entero.ru/mp@2x/1a/ba/1abaea4fa3672ea6cac7bf2446acf624.jpg,Подогреватель чашек VIATTO VA-CB2CK,Подогреватель чашек VIATTO VA-CB2CK,11678,RUB,Да,VIATTO,Кофеварки и кофемашины,Подогреватели чашек для кофе,https://entero.ru/item/279837,"<p>Настольный подогреватель чашек <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/279837""><b class=""b"">VIATTO VA-CW-1</b></a> используется совместно с кофемашинами в кофейнях, барах, ресторанах и на других предприятиях общественного питания и торговли для кратковременного хранения и подогрева посуды для приготовления различных кофейных напитков. Модель оснащена 2 перфорированными полками. Корпус выполнен из высококачественной нержавеющей стали 201 толщиной 0,58 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Дополнительное место для хранения сверху без подогрева</li>
<li>Отдельный регулятор для каждой полки</li>
</ul>",279837,60 °C,,0.15 кВт,320 мм,320 мм,560 мм,12 кг,Китай,1,350x350x580 мм,0,https://entero.ru/manuals/407703/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-CB2CK.pdf;https://entero.ru/manuals/407704/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,12423,10.5 кг,2,
https://cdn.entero.ru/mp@2x/17/d4/17d48e298cd3738d3b614475934fc061.jpg,Подогреватель для чашек Brasilia SECS4,Подогреватель для чашек Brasilia SECS4,48297,RUB,Да,Brasilia,Кофеварки и кофемашины,Подогреватели чашек для кофе,https://entero.ru/item/41945,"<p style=""text-align: justify;"">Подогреватель для чашек <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/41945"">Brasilia SECS4</a></b> изготовлен из нержавеющей стали.</p>

<p style=""text-align: justify;""><b>Особенности:</b></p>

<ul>
<li style=""text-align: justify;"">2 отсека для чашек;</li>
<li style=""text-align: justify;"">На каждой полке установлены бортики для надежной фиксации чашек;</li>
<li style=""text-align: justify;"">Раздельный нагрев верхней и нижней полки, который регулируется независимыми включателями.</li>
</ul>

<p style=""text-align: justify;""><b>Дополнительные характеристики:</b></p>

<ul>
<li style=""text-align: justify;"">Размер отсека для чашек: 180х215х360 мм</li>
</ul>",41945,,,,,,,,,,,0,,,,,
https://cdn.entero.ru/mp@2x/fb/20/fb20eac4c7605fb8b4240701b491f397.jpg,Подогреватель чашек VIATTO VA-CW-1,4630169227404,0,RUB,Нет,VIATTO,Кофеварки и кофемашины,Подогреватели чашек для кофе,https://entero.ru/item/215711,"<p>Настольный подогреватель чашек <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215711"">VIATTO VA-CW-1</a></b> используется совместно с кофемашинами в кофейнях, барах, ресторанах и на других предприятиях общественного питания и торговли для кратковременного хранения и подогрева посуды для приготовления различных кофейных напитков. Модель оснащена 2 перфорированными полками, устойчивыми опорами и ручками для удобства транспортировки. Корпус выполнен из высококачественной нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Независимая регулировка нагревательных элементов каждой полки</li>
<li>Светодиодные индикаторы питания на выключателях</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты полки: 295х280 мм</li>
<li>Габариты в упаковке: 380х400х620 мм</li>
</ul>",215711,,220 В,0.14 кВт,320 мм,320 мм,545 мм,,Китай,,,0,,,10.3 кг,2,
https://cdn.entero.ru/mp@2x/a9/58/a958758853f4f6270f631c86755e845f.jpg;https://cdn.entero.ru/mp@2x/10/e7/10e7267562ef3ba7dda0ffd7f2b126b8.jpg,Подогреватель чашек Carimali CW-S,Подогреватель чашек Carimali CW-S,0,RUB,Нет,Carimali,Кофеварки и кофемашины,Подогреватели чашек для кофе,https://entero.ru/item/233253,"<p>Подогреватель чашек <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233253""><b class=""b"">Carimali CW-S</b></a> используется совместно с кофемашинами серий <a href=""https://entero.ru/search.php?text=%D0%9A%D0%BE%D1%84%D0%B5%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0%20Carimali%20BlueDot"">BlueDot, BlueDot Plus, BlueDot Power и BlueDot 26</a> на предприятиях общественного питания и торговли. Модель оснащена 3 полками, 2 из которых с подогревом. Корпус черного цвета с элементами из нержавеющей стали.</p>",233253,,220 В,,204 мм,378 мм,448 мм,10.2 кг,Китай,1,244x453x537 мм,0,https://entero.ru/manuals/515053/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Carimali%202025.pdf,,8.5 кг,3,
https://cdn.entero.ru/mp@2x/75/9e/759e5d3f6f8b1fa036df82a051705d2d.jpg,Подогреватель чашек Carimali Cup Warmer Plus для Armonia,Подогреватель чашек Carimali Cup Warmer Plus для Armonia,0,RUB,Нет,Carimali,Кофеварки и кофемашины,Подогреватели чашек для кофе,https://entero.ru/item/233251,"<p>Подогреватель чашек <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233251""><b class=""b"">Carimali Cup Warmer Plus</b></a> используется совместно с кофемашинами серий <a href=""https://entero.ru/search.php?text=%D0%9A%D0%BE%D1%84%D0%B5%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0%20Carimali%20Armonia"">Armonia Soft, Armonia Soft Plus и Armonia Ultra</a> на предприятиях общественного питания и торговли. Модель оснащена RGB-подсветкой и 3 полками, 2 из которых с подогревом. Корпус выполнен из нержавеющей стали.</p>",233251,,220 В,,324 мм,429 мм,584 мм,18 кг,Китай,1,388x514x700 мм,0,https://entero.ru/manuals/515055/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Carimali%202025.pdf,,15 кг,3,
https://cdn.entero.ru/mp@2x/98/20/982021c534eba012857d326429254e51.jpg;https://cdn.entero.ru/mp@2x/72/b6/72b60d1b8df6b99e7ce0898b2892ad40.jpg;https://cdn.entero.ru/mp@2x/59/4d/594dba78d81a5f7a2621d5a249ff9eb6.jpg;https://cdn.entero.ru/mp@2x/85/eb/85eb05763ff2765562a6e4da35a26f66.jpg;https://cdn.entero.ru/mp@2x/3e/05/3e05cb6d487fa78dae5107cbef8ab3fe.jpg;https://cdn.entero.ru/mp@2x/7d/5c/7d5cd61a708fd466648a3770e3f75f30.jpg;https://cdn.entero.ru/mp@2x/24/bf/24bfa190966f37e1fa01ce246e07ab79.jpg;https://cdn.entero.ru/mp@2x/24/c3/24c3c9861b3156ec4159b232b4d72c2e.jpg;https://cdn.entero.ru/mp@2x/81/ce/81cee9792d7455a24c2b6e3d5423d880.jpg,Подогреватель чашек Bravilor Bonamat WHK (темно-серый),8.040.040.32001,79137,RUB,Нет,Bravilor Bonamat,Кофеварки и кофемашины,Подогреватели чашек для кофе,https://entero.ru/item/74519,"<p>Подогреватель чашек <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/74519""><b class=""b"">Bravilor Bonamat WHK</b></a> используется совместно с кофемашинами и кофеварками на предприятиях общественного питания и торговли. Модель оснащена 3 полками с раздельным подогревом. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: темно-серый</li>
</ul>",74519,,220 В,от 0.105 до 1.4 кВт,349 мм,400 мм,542 мм,,Нидерланды,,,0,https://entero.ru/manuals/359510/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20WHK.pdf;https://entero.ru/manuals/359511/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20Bravilor%20Bonamat%20WHK.pdf;https://entero.ru/manuals/359512/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20WHK.pdf;https://entero.ru/manuals/359514/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Bravilor%20Bonamat%20WHK.pdf,,,3,120 шт.
https://cdn.entero.ru/mp@2x/3e/c0/3ec039008173d55ddd0a82d4a9832599.jpg,Подогреватель чашек Carimali Cup Warmer Plus для Optima,Подогреватель чашек Carimali Cup Warmer Plus для Optima,131794,RUB,Нет,Carimali,Кофеварки и кофемашины,Подогреватели чашек для кофе,https://entero.ru/item/233252,"<p>Подогреватель чашек <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/233252""><b class=""b"">Carimali Cup Warmer Plus</b></a> используется совместно с кофемашинами серий <a href=""https://entero.ru/search.php?text=%D0%9A%D0%BE%D1%84%D0%B5%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0%20Carimali%20Optima"">Optima Soft, Optima Soft Plus и Optima Ultra</a> на предприятиях общественного питания и торговли. Модель оснащена RGB-подсветкой и 3 полками, 2 из которых с подогревом. Корпус выполнен из нержавеющей стали.</p>",233252,,220 В,,324 мм,429 мм,624 мм,19.2 кг,Китай,1,388x514x748 мм,0,https://entero.ru/manuals/515054/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Carimali%202025.pdf,,16 кг,3,
https://cdn.entero.ru/mp@2x/ba/f1/baf185b2a75e0ddbfc04029221eca7d3.jpg;https://cdn.entero.ru/mp@2x/4d/c0/4dc073e2e41fc4038a24398c63d2c2c1.jpg,Подогреватель чашек La Cimbali для S20 / 30,CUPWARMER,138204,RUB,Нет,La Cimbali,Кофеварки и кофемашины,Подогреватели чашек для кофе,https://entero.ru/item/123323,"<p>Подогреватель чашек <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123323""><b class=""b"">La Cimbali</b></a> используется совместно с кофемашинами <a href=""https://entero.ru/search.php?text=%D0%BA%D0%BE%D1%84%D0%B5%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0+La+Cimbali+s20"">S20</a> и <a href=""https://entero.ru/search.php?text=%D0%BA%D0%BE%D1%84%D0%B5%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0+La+Cimbali+s30"">S30</a> в кофейнях, барах и ресторанах для кратковременного хранения и подогрева посуды для приготовления различных кофейных напитков. Модель оснащена диммером для контроля температуры и 2 полками с корзинами.</p>",123323,,220 В,0.23 кВт,290 мм,435 мм,738 мм,,Италия,,,0,https://entero.ru/manuals/130239/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20La%20Cimbali%20%D1%81%D0%B5%D1%80%D0%B8%D0%B8%20S30%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,145478,,2,
