Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Тип,Страна производства,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Объем,Вес (с упаковкой),Вид,Кратность заказа
https://cdn.entero.ru/mp@2x/83/86/83860542da8e6139f431b96ae0fb4987.jpg,Таблетки для очистки кофейной системы Franke BK 328400,567.0000.010,4900,RUB,Да,Franke,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/128220,"<p>Таблетки для очистки кофейной системы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/128220"">Franke BK 328400</a></b> предназначены для поддержания чистоты кофейного тракта кофемашин. Таблетки удовлетворяют всем критериям пищевой безопасности и обеспечивают максимальную гигиену, тем самым увеличивая срок службы оборудования.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подходят для очистки кофейных систем всех кофемашин</li>
<li>Гарантируют высокое качество производимого кофе</li>
<li>Безопасны и легки в использовании</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Ежедневный расход: 1 таблетка</li>
<li>Количество таблеток: 100 шт.</li>
<li>Вес таблетки: 2,3 гр</li>
</ul>",128220,"средства для декальцинации, средства для удаления кофейных масел",Швейцария,0,https://entero.ru/manuals/140855/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Franke%20BK%20328400.pdf,7000,https://vk.com/video_ext.php?oid=-177656185&id=456239337&hd=2&autoplay=0,,,,таблетки,
https://entero.ru/i/nofoto-m.jpg,Жидкость для декальцинации Franke 560.0589.837 для А300,Жидкость для декальцинации Franke 560.0589.837 для А300,7842,RUB,Да,Franke,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/253839,"<p>Жидкость для декальцинации <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/253839""><b class=""b"">Franke 560.0589.837</b></a> предназначена для удаления известкового налета кофемашин серии <a href=""https://entero.ru/search.php?text=franke+a300"" target=""_blank"">A300</a>. Жидкость удовлетворяет всем критериям пищевой безопасности и обеспечивает максимальную гигиену, тем самым увеличивая срок службы оборудования.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Гарантирует высокое качество производимого кофе</li>
<li>Безопасно и легко в использовании</li>
<li>Используется по необходимости</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расход на промывку: 23 мл</li>
</ul>",253839,средства для декальцинации,Швейцария,0,,10892,,,0.44 л,,жидкость,
https://cdn.entero.ru/mp@2x/2e/50/2e502680df57e0cb2a0f853e47f08d5a.jpg,Жидкость для очистки молочных систем Barista Line М7 1000 мл,Жидкость для очистки молочных систем Barista Line М7 1000 мл,533,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/358785,"<p>Жидкое средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/358785""><b class=""b"">Barista Line М7</b></a> используется не предприятиях общественного питания и торговли, а также в бытовых условиях для удаления молочных жиров и белковых отложений в капучинаторах, паровых трубках и автоматических системах подачи молока кофемашин всех типов. Экономичный концентрат применяется в растворе с водой. Жидкость поставляется в бутыли с завинчивающейся крышкой.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>",358785,средства для очистки молочных систем,Россия,0,,,,,1 л,,жидкость,
https://cdn.entero.ru/mp@2x/65/3e/653ef540387ba6a6d60bf331354530b3.jpg;https://cdn.entero.ru/mp@2x/3a/0b/3a0bd0bfdcbac8f15000409cde9322e5.jpg;https://cdn.entero.ru/mp@2x/b5/bb/b5bbe81ddab8be483268b58e67c859d7.jpg,Средство для защиты от накипи CUP 3 (1000 мл.),Средство для защиты от накипи CUP 3 (1000 мл.),1011,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/311642,"<p>Жидкое средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/311642""><b class=""b"">CUP 3</b></a> используется не предприятиях общественного питания и торговли для защиты от накипи внутренних компонентов кофемашин и кофеварок всех типов, а также чайников и утюгов. Концентрат применяется в растворе с водой и отличается экономичным расходом. Состав: смесь органических кислот и ингибиторов коррозии. Жидкость поставляется в бутыли с завинчивающейся крышкой.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды при хранении: от -5 до 35 °С </li>
<li>Температура раствора: 70 °С</li>
<li>Дозировка на 1 л воды: 50 мл</li>
<li>Срок годности: 18 мес.</li>
</ul>",311642,средство для защиты от накипи,Россия,0,,,,,1 л,,жидкость,
https://cdn.entero.ru/mp@2x/a9/b3/a9b397136b0f95d6d8d11620199d07ba.jpg,Жидкость для очистки молочной системы и сиропной станции Franke 567.0000.005,Жидкость для очистки молочной системы и сиропной станции Franke 567.0000.005,3744,RUB,Да,Franke,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/253835,"<p>Жидкость для очистки молочной системы и сиропной станции <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/253835"">Franke 567.0000.005</a></b> предназначена для поддержания чистоты молочной системы и сиропной станции кофемашин, удаления молочного камня и бактериального налета. Жидкость удовлетворяет всем критериям пищевой безопасности и обеспечивает максимальную гигиену, тем самым увеличивая срок службы оборудования. Ежедневная очистка необходима каждые 250 чашек или перед выключением машины, что наступит ранее.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подходит для очистки молочных систем всех кофемашин</li>
<li>Гарантирует высокое качество молочной пены и сохранность свежего молока</li>
<li>Безопасна и легка в использовании</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ежедневный расход: от 50 мл</li>
</ul>",253835,средства для очистки молочных систем,Швейцария,0,,4862,,,1 л,,жидкость,
https://cdn.entero.ru/mp@2x/12/3b/123bd743b537c3abfe318c6cb8576c62.jpg;https://cdn.entero.ru/mp@2x/60/10/60106c6844fab0e9635c949058c93c2c.jpg;https://cdn.entero.ru/mp@2x/bf/1c/bf1ca2f1f80fac154450f8a92439bb3f.jpg,Средство для очистки кофемолок CUP 2 (1000 гр.),Средство для очистки кофемолок CUP 2 (1000 гр.),654,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/311640,"<p>Порошковое средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/311640""><b class=""b"">CUP 2</b></a> используется не предприятиях общественного питания и торговли для эффективной очистки жерновов кофемолок всех типов кроме встроенных в автоматические кофемашины от остатков кофе и кофейных масел. Полифракционированный органический абразив растительного происхождения не содержит глютен, безопасен для оборудования и здоровья человека. Формула разработана в Италии. Порошок поставляется в цилиндрической банке со съемной крышкой.</p>

<p>В комплект поставки входит мерная ложка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расход за 1 цикл очистки: от 15 до 30 г</li>
<li>Срок годности: 24 мес.</li>
<li>Масса порошка: 1000 г</li>
</ul>",311640,средства для удаления кофейных масел,Россия,0,,1634,,,,,порошок,
https://cdn.entero.ru/mp@2x/a3/e0/a3e08dfb4b88c694a4e099f560e1de86.jpg,Порошок для очистки эспрессо-кофемашин Axor COFFEE MAKER CLEANER 900 г,KP123,1014,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/255868,"<p>Порошок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/255868""><b class=""b"">Axor COFFEE MAKER CLEANER</b></a> предназначен для очистки от кофейных масел, бактерий и запахов традиционных и автоматических кофемашин на предприятиях общественного питания и торговли. Средство изготовлено на основе активного кислорода и ПАВ растительного происхождения.</p>",255868,средства для удаления кофейных масел,Италия,0,https://entero.ru/manuals/518820/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,0.9 кг,,,порошок,
https://cdn.entero.ru/mp@2x/6d/f9/6df96ffc69cbd0985e3087de314014e9.jpg,"Средство очищающее DrPurity MilkСlean, 0,25 л","Средство очищающее DrPurity MilkСlean, 0,25 л",482,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/122335,"<p>Очищающее средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122335""><b class=""b"">DrPurity MilkСlean </b></a>используется совместно с автоматическими и традиционными рожковыми кофемашинами для промывки систем подачи молока. Концентрированное щелочное жидкое средство не имеет запаха и благодаря активному эмульгирующему действию очищает от молочного налета, устраняет неприятные запахи и позволяет предотвратить появление молочного камня.</p>

<p><b>Характеристики: </b></p>

<ul>
<li>Состав: вода деионизированная, комплексоны и композиция ПАВов</li>
<li>Рекомендуемое количество для очистки: 25 мл на 0,5 л холодной воды</li>
<li>Температура хранения: от 0 до 25 °С</li>
<li>Объем: 0,25 л</li>
<li>Срок годности: 24 месяца</li>
</ul>",122335,средства для очистки молочных систем,Россия,0,,,,,0.25 л,,жидкость,24 шт.
https://cdn.entero.ru/mp@2x/54/f8/54f8a0b8d1b6d9491d267cd640277ad5.jpg;https://cdn.entero.ru/mp@2x/ca/3a/ca3ae022e059efcb8923c9494a7fb968.jpg;https://cdn.entero.ru/mp@2x/7e/70/7e706aebb16053c9e6d15d5beb9290a9.jpg,Средство для удаления кофейных масел CUP 5 (100 таблеток),Средство для удаления кофейных масел CUP 5 (100 таблеток),856,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/311646,"<p>Таблетированное средство <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/311646""><b class=""b"">CUP 5</b></a> используется не предприятиях общественного питания и торговли для эффективной очистки автоматических и профессиональных кофемашин от налета, остатков кофе, кофейных масел, а также устранения запахов. Состав: смесь карбонатов, неионогенных поверхностно активных компонентов (ПАВ), комплексообразователя и отбеливающего агента на основе кислорода. Средство поставляется в цилиндрической банке со съемной крышкой.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диапазон температуры окружающей среды при хранении: от -5 до 35 °С </li>
<li>Температура раствора: 60 °С </li>
<li>Дозировка таблеток на 500 мл воды: 2 </li>
<li>Срок годности: 18 мес.</li>
<li>Количество таблеток в упаковке: 100</li>
</ul>",311646,средства для удаления кофейных масел,Россия,0,,1712,,,,,таблетки,
https://cdn.entero.ru/mp@2x/91/29/9129619620e7f6ccfbbba7838df85feb.jpg,"Порошок очищающий для ухода за кофеварочными машинами Cafedem G21, 1 кг","Порошок очищающий для ухода за кофеварочными машинами Cafedem G21, 1 кг",1452,RUB,Да,,Кофеварки и кофемашины,Средства для очистки кофемашин,https://entero.ru/item/213446,"<p>Очищающий порошок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/213446""><b class=""b"">Cafedem G21</b></a> предназначен для очистки от кофейных масел автоматических кофе-машин и различных дозирующих автоматов. Обладает хорошими моющими и обезжиривающими свойствами. Эффективно удаляет труднорастворимые загрязнения, в том числе остатки кофе, масел, воска, танинов.</p>",213446,средства для декальцинации,Россия,0,https://entero.ru/manuals/251255/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cafedem%20G21.pdf,,,,,1.08 кг,порошок,
