Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Сила давления
https://cdn.entero.ru/mp@2x/a4/1a/a41a2672aec51403768ba1327a569e57.jpg;https://cdn.entero.ru/mp@2x/e7/b6/e7b6df9f4c64f835710978d0cba68948.jpg;https://cdn.entero.ru/mp@2x/87/ae/87ae5f52b484d2c54663ed37dbcaa76b.jpg,Темпер автоматический EUREKA DISCO Black,Темпер автоматический EUREKA DISCO Black,54896,RUB,Да,EUREKA,Кофеварки и кофемашины,Темперы автоматические,https://entero.ru/item/321196,"<p>Автоматический темпер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/321196"">EUREKA DISCO Black</a></b> предназначен для осуществления точной и последовательной темперовки кофе, используемого для последующего приготовления эспрессо в кофейнях, кафе, ресторанах и на других предприятиях общественного питания и торговли. Устройство обеспечивает эффективность, консистенцию и формирование правильного вкуса при приготовлении эспрессо. Модель оснащена сенсорным управлением и магнитным датчиком для автоматического определения портафильтра.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Высокоскоростная трамбовка</li>
<li>Простое управление</li>
<li>Последовательная настройка трамбовки: одинарная или двойная</li>
<li>Регулировка давления </li>
<li>Широкий диапазон дисков для трамбовки: от 53 до 58,3 мм</li>
<li>Совместимость с любым типом портафильтра</li>
<li>Легко снимаемый тампонажный диск​</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время трамбовки: 1,5 сек</li>
<li>Диаметр жерновов: 65 мм</li>
<li>Габариты в упаковке: 200х300х320 мм</li>
</ul>",321196,220 В,,110 мм,223 мм,253 мм,10 кг,1,200x300x320 мм,16,,59028,6.6 кг,Италия,от 10 до 30 кг
https://cdn.entero.ru/mp@2x/89/fd/89fd4ca4f3994d2bf52c6e4f0e29cdd6.jpg,Темпер автоматический EUREKA ATOM Black,P-EE860023M000000001,72876,RUB,Да,EUREKA,Кофеварки и кофемашины,Темперы автоматические,https://entero.ru/item/327043,"<p>Электрический темпер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/327043""><b class=""b"">EUREKA</b></a> используется совместно с кофемолками <a href=""https://entero.ru/search.php?text=eureka+atom+Excellence"">Atom Excellence</a> и <a href=""https://entero.ru/item/324730"">Atom W </a>в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен при приготовлении кофейных напитков. Темпер работает со всеми типами портафильтров.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Одиночное или двойное тромбование для каждого рожка</li>
<li>Автоматическое распознавание портафильтра, обеспечивающее высокую скорость трамбовки и безопасность работы </li>
<li>Автоматическая активация режима очистки с дисплея</li>
<li>Регулируемая по высоте универсальная вилка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Продолжительность цикла: 1,5 сек.</li>
<li>Диаметр темпера: 58 мм</li>
<li>Цвет: черный</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/344034"">Темпер 53 мм</a></li>
<li><a href=""https://entero.ru/item/344033"">Темпер 54,3 мм</a></li>
<li><a href=""https://entero.ru/item/344032"">Темпер 57,3 мм</a></li>
<li><a href=""https://entero.ru/item/343951"">Темпер 58,3 мм</a></li>
</ul>",327043,220 В,,178 мм,187 мм,245 мм,10 кг,1,230x280x290 мм,0,https://entero.ru/manuals/388958/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EUREKA%20ATOM%20Black.pdf,76712,5.5 кг,,от 10 до 30 кг
https://cdn.entero.ru/mp@2x/96/fc/96fc5fd920b3d2d4ad57bf3ef318d31d.jpg;https://cdn.entero.ru/mp@2x/f7/c2/f7c2531bc520e015d8b0c2653adfdf05.jpg,Темпер автоматический DAZHENG LEHEHE LHH-PT2,Темпер автоматический DAZHENG LEHEHE LHH-PT2,0,RUB,Нет,,Кофеварки и кофемашины,Темперы автоматические,https://entero.ru/item/226487,"<p>Автоматический темпер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226487""><b class=""b"">DAZHENG LHH-PT2</b></a> предназначен для осуществления точной и последовательной темперовки кофе, используемого для последующего приготовления эспрессо в кофейнях, кафе, ресторанах и на других предприятиях общественного питания и торговли. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество режимов: 3</li>
<li>Время темперовки: 2 сек.</li>
<li>
<p>Диаметр: 58 мм </p>
</li>
</ul>",226487,220 В,0.06 кВт,133 мм,133 мм,327 мм,,,,0,,,,,
https://cdn.entero.ru/mp@2x/28/9c/289c6fe3e4cb110862f051d3dbba97c6.jpg;https://cdn.entero.ru/mp@2x/3b/1d/3b1d28486a898cbab7f6e7f449f565e6.jpg;https://cdn.entero.ru/mp@2x/ec/57/ec57244ffbb0e8f682609de9752b9ec0.jpg;https://cdn.entero.ru/mp@2x/94/18/9418028f3e5ccdce018778260b4b148a.jpg;https://cdn.entero.ru/mp@2x/04/f7/04f7f95029f5ef9b750d1034fb7f96df.jpg;https://cdn.entero.ru/mp@2x/86/2d/862dc5299c295bfa8182bb84397646a4.jpg,Темпер автоматический Puqpress M3 (портафильтр 580 мм),Темпер автоматический Puqpress M3 (портафильтр 580 мм),115532,RUB,Да,,Кофеварки и кофемашины,Темперы автоматические,https://entero.ru/item/206180,"<p>Электрический темпер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206180""><b class=""b"">Puqpress M3</b></a> используется совместно с кофемолками <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206180""><b class=""b"">Mahlkoenig E65S</b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206180""><b class=""b""> </b></a>и<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206180""><b class=""b""> <a href=""https://entero.ru/search.php?text=Mahlkoenig+E65S+GBW"">E65S GBW</a></b></a> в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен при приготовлении кофейных напитков. Модель оснащена антипригарным покрытием и плавной настройкой уровня холдера. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Продолжительность цикла: 1,3 сек.</li>
<li>Цвет: черный/белый</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Исполнение под другие размеры портафильтра</li>
</ul>",206180,220 В,0.076 кВт,283 мм,194 мм,147 мм,,,,0,https://entero.ru/manuals/240930/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Puqpress%20M3%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.jpg;https://entero.ru/manuals/328888/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Puqpress%20M3.pdf,,4.6 кг,Нидерланды,от 5 до 30 кг
https://cdn.entero.ru/mp@2x/ec/c8/ecc856a38ed765264a30f1e6ec793f94.jpg,"Темпер автоматический Puqpress Q (GEN 6) (белая, портафильтр 580 мм)","Q (GEN 6) (Matt white, 58 mm. Upper clamp 71 mm)",95867,RUB,Да,,Кофеварки и кофемашины,Темперы автоматические,https://entero.ru/item/206154,"<p>Электрический темпер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206154""><b class=""b"">Puqpress Q2</b></a> используется в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен при приготовлении кофейных напитков. Модель оснащена антипригарным покрытием и плавной настройкой уровня холдера. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры портафильтра: 580 мм</li>
<li>Продолжительность цикла: 1,3 сек.</li>
<li>Цвет: белый</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Исполнение под другие размеры портафильтра</li>
</ul>",206154,220 В,0.076 кВт,195 мм,141 мм,286 мм,,,,0,https://entero.ru/manuals/240887/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Puqpress%20Q2.pdf;https://entero.ru/manuals/328886/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Puqpress%20Q2.pdf,103083,3.8 кг,Нидерланды,от 5 до 30 кг
https://cdn.entero.ru/mp@2x/96/78/9678251ef1ea4a5cefa275a4a538191b.jpg;https://cdn.entero.ru/mp@2x/69/64/69642630a42630f7861c08fac4ea93e8.jpg;https://cdn.entero.ru/mp@2x/51/5d/515df79af1e47002fa274f6dfd8e859f.jpg;https://cdn.entero.ru/mp@2x/a8/54/a8540ea832d3f736200c4c31b557ad26.jpg;https://cdn.entero.ru/mp@2x/bc/4b/bc4b122341c6de9ad02ff1f997af6ff6.jpg,Темпер автоматический Puqpress М6 (портафильтр 580 мм) черный,Темпер автоматический Puqpress М6 (портафильтр 580 мм) черный,113565,RUB,Да,,Кофеварки и кофемашины,Темперы автоматические,https://entero.ru/item/267831,"<p>Электрический темпер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267831""><b class=""b"">Puqpress M6</b></a> используется совместно с кофемолками Victoria Arduino <a href=""https://entero.ru/search.php?text=%D0%BA%D0%BE%D1%84%D0%B5%D0%BC%D0%BE%D0%BB%D0%BA%D0%B0+MY+75"" target=""_blank"">MY 75</a> и <a href=""https://entero.ru/search.php?text=%D0%BA%D0%BE%D1%84%D0%B5%D0%BC%D0%BE%D0%BB%D0%BA%D0%B0+MY+85"" target=""_blank"">MY 85</a> в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен при приготовлении кофейных напитков. Модель оснащена антипригарным покрытием, предотвращающим налипание кофе. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Продолжительность цикла:1,3 сек.</li>
<li>Цвет: черный</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Исполнение под другие размеры портафильтра</li>
</ul>",267831,220 В,0.076 кВт,375 мм,195 мм,138 мм,6.24 кг,1,450x234x165 мм,0,https://entero.ru/manuals/330737/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Puqpress%20%D0%9C6.pdf,,5.2 кг,Нидерланды,от 10 до 30 кг
https://cdn.entero.ru/mp@2x/16/d5/16d55c891cf3a6cd1f5e72ca693ad505.jpg,Темпер автоматический Puqpress M4 58 мм,Темпер автоматический Puqpress M4 58 мм,82340,RUB,Да,,Кофеварки и кофемашины,Темперы автоматические,https://entero.ru/item/206183,"<p>Электрический темпер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206183""><b class=""b"">Puqpress M4 </b></a>используется совместно с кофемолками <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206183""><b class=""b"">Fiorenzato <a href=""https://entero.ru/search.php?text=Fiorenzato+F64+"">F64</a></b></a> и <a href=""https://entero.ru/search.php?text=Fiorenzato%20F83""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206183""><b class=""b"">F83</b></a></a> в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен при приготовлении кофейных напитков. Встроенные профили темперовки оптимизируют скорость рабочего процесса без изменения помола. Модель оснащена антипригарным покрытием и плавной настройкой уровня холдера.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Темпер работает со всеми типами портафильтров</li>
<li>Трамбование происходит всегда с высокой точностью</li>
<li>Устанавливается под кофемолку для экономии пространства</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Продолжительность цикла: 1,3 сек.</li>
<li>Диаметр темпера: 58,3 мм</li>
<li>Цвет: матовый черный/белый/серебристый металлик</li>
</ul>",206183,220 В,0.076 кВт,300 мм,244 мм,140 мм,,,,11,https://entero.ru/manuals/240934/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Puqpress%20M4%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/328889/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Puqpress%20M4.pdf,88538,4.7 кг,Нидерланды,от 10 до 30 кг
https://cdn.entero.ru/mp@2x/da/5e/da5e84164bb29cf79c3cee3f945cf762.jpg,Темпер автоматический Puqpress Q1,Темпер автоматический Puqpress Q1,78168,RUB,Да,,Кофеварки и кофемашины,Темперы автоматические,https://entero.ru/item/206032,"<p>Электрический темпер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206032"">Puqpress Q1</a></b> используется в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен при приготовлении кофейных напитков. Модель оснащена антипригарным покрытием. Темпер работает со всеми типами портафильтров.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Продолжительность цикла: 1,3 сек.</li>
<li>Диаметр темпера: от 530 до 583 мм</li>
<li>Цвет: черный/белый</li>
</ul>",206032,220 В,0.076 кВт,195 мм,141 мм,286 мм,,,,0,https://entero.ru/manuals/240703/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Puqpress%20Q1.pdf;https://entero.ru/manuals/328887/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Puqpress%20Q1.pdf,,3.5 кг,Нидерланды,от 10 до 30 кг
https://cdn.entero.ru/mp@2x/9a/da/9ada6caf4d6ba196067a42077c45ff7b.jpg;https://cdn.entero.ru/mp@2x/2f/78/2f7864c6391e3462ac147e36ee303ebb.jpg;https://cdn.entero.ru/mp@2x/5b/46/5b46fa5a695489d9ecf66d886a1ece97.jpg;https://cdn.entero.ru/mp@2x/4e/60/4e60204822d7ff327240f8d0353a34ba.jpg;https://cdn.entero.ru/mp@2x/eb/fc/ebfc009ba085204994e7c1772a074bee.jpg;https://cdn.entero.ru/mp@2x/3f/8f/3f8f4550e111681360b4b0a8a584a2b5.jpg;https://cdn.entero.ru/mp@2x/4c/da/4cda4a50b7b0fb8819e1ac09df1f8b47.jpg,Темпер автоматический Puqpress M2 (портафильтр 580 мм),Темпер автоматический Puqpress M2 (портафильтр 580 мм),110616,RUB,Да,,Кофеварки и кофемашины,Темперы автоматические,https://entero.ru/item/206178,"<p>Электрический темпер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206178""><b class=""b"">Puqpress M2</b></a> используется совместно с кофемолками <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206178""><b class=""b"">Nuovo Simonelli</b></a> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206178""><b class=""b"">Mythos I </b></a>и<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206178""><b class=""b""> Mythos II</b></a> в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен при приготовлении кофейных напитков. Модель оснащена антипригарным покрытием. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Продолжительность цикла: 1,3 сек.</li>
<li>Цвет: матовый черный/жемчужно-белый</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Исполнение под другие размеры портафильтра</li>
</ul>",206178,220 В,0.076 кВт,300 мм,230 мм,170 мм,,,,0,https://entero.ru/manuals/240928/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Puqpress%20M2.pdf;https://entero.ru/manuals/328884/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Puqpress%20M2.pdf,,6.3 кг,Нидерланды,от 5 до 30 кг
https://cdn.entero.ru/mp@2x/b0/a4/b0a4900d6c34c99d6c18b59c5d987066.jpg,"Темпер автоматический Puqpress M3 (Matt white, портафильтр 580 мм)","Темпер автоматический Puqpress M3 (Matt white, портафильтр 580 мм)",119788,RUB,Да,,Кофеварки и кофемашины,Темперы автоматические,https://entero.ru/item/361262,"<p>Электрический темпер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/361262""><b class=""b"">Puqpress M3</b></a> используется совместно с кофемолками <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/361262""><b class=""b"">Mahlkoenig E65S</b></a><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/361262""><b class=""b""> </b></a>и<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/361262""><b class=""b""> <a href=""https://entero.ru/search.php?text=Mahlkoenig+E65S+GBW"">E65S GBW</a></b></a> в частных домах, офисах, кафе и ресторанах для прессовки молотых зерен при приготовлении кофейных напитков. Модель оснащена антипригарным покрытием и плавной настройкой уровня холдера. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Продолжительность цикла: 1,3 сек.</li>
<li>Цвет: белый</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Исполнение под другие размеры портафильтра</li>
</ul>",361262,220 В,0.076 кВт,283 мм,194 мм,147 мм,,,,0,https://entero.ru/manuals/464041/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Puqpress%20M3%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.jpg;https://entero.ru/manuals/464042/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Puqpress%20M3.pdf,130204,4.6 кг,Нидерланды,от 5 до 30 кг
