Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Тип,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Объем,Количество полок,Подогрев чашек
https://cdn.entero.ru/mp@2x/45/25/4525e0e60380a9ae9c81934faf61cd68.jpg;https://cdn.entero.ru/mp@2x/42/aa/42aab9384ed4eed3d056197a3b4f30d1.jpg;https://cdn.entero.ru/mp@2x/ed/14/ed14a2afbdb1775534f881417c022df8.jpg;https://cdn.entero.ru/mp@2x/19/8f/198f28f54f35eebd2b798cea7591613e.jpg,Холодильник для молока VIATTO VA-SC08D,Холодильник для молока VIATTO VA-SC08D,23835,RUB,Да,VIATTO,Кофеварки и кофемашины,Холодильники для молока,https://entero.ru/item/241262,"<p>Холодильный шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/241262"">VIATTO VA-SC08D</a></b> предназначен для демонстрации, охлаждения и кратковременного хранения молока и сливок, используемых для приготовления кофе при помощи кофемашин на предприятиях общественного питания и торговли. Модель оснащена встроенным холодильным агрегатом. Корпус выполнен из окрашенного металла, двери - из стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>LED подсветка</li>
<li>Хладагент: R600а</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Расход электроэнергии: 0,7 кВт/сутки</li>
</ul>",241262,компрессорный,от 0 до 10 °C,220 В,0.076 кВт,220 мм,495 мм,390 мм,11 кг,Китай,1,576x306x454 мм,123,https://entero.ru/manuals/295219/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-SC08D.pdf;https://entero.ru/manuals/461188/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20VIATTO%20VA-SC08D.xlsx;https://entero.ru/manuals/461189/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/462828/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-SC08D.pdf,25089,,8.36 кг,8 л,1,
https://cdn.entero.ru/mp@2x/88/95/8895f2e24c75cd076e8b9e884c77346e.jpg,Холодильник для молока Hurakan HKN-CMC9,Холодильник для молока Hurakan HKN-CMC9,20561,RUB,Да,Hurakan,Кофеварки и кофемашины,Холодильники для молока,https://entero.ru/item/258915,"<p>Холодильник для молока <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/258915"">Hurakan HKN-CMC9</a> </b>предназначен для демонстрации, охлаждения и кратковременного хранения молока и сливок, используемых для приготовления кофе при помощи кофемашин на предприятиях общественного питания и торговли. Модель оснащена распашной дверцей, подсветкой, боковыми стенками со специальными отверстиями, через которые пропускается шланг от капучинатора кофемашины и погружается в пакет с молоком.</p>

<p>В комплекте 8 заглушек для отверстий на корпусе. 4шт с диаметром отверстия 6мм, 4шт. с диаметром отверстия 9мм</p>

<p><b>Особенности: </b></p>

<ul>
<li>Установка рядом с кофейным оборудованием на барной стойке</li>
<li>Компактность корпуса обеспечивает оптимальное размещение</li>
<li>Цифровой регулятор температуры с сенсорным экраном и ЖК-дисплеем</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>
<p>Хладагент R600A</p>
</li>
<li>Внутренние размеры: 160x190x280 мм</li>
</ul>",258915,компрессорный,от 2 до 4 °C,220 В,0.05 кВт,220 мм,450 мм,454 мм,16 кг,Китай,1,270x500x520 мм,0,https://entero.ru/manuals/319018/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-CMC9.pdf;https://entero.ru/manuals/319019/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454829/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-CMC9.pdf,21873,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241451&hash=491bd2101a4bbb7b,14 кг,9 л,,
https://cdn.entero.ru/mp@2x/56/2e/562e824335b6e7b9003c18789ec96baf.jpg,Охладитель молока ICEBOX BC9CN,BC9C,54990,RUB,Да,,Кофеварки и кофемашины,Холодильники для молока,https://entero.ru/item/214614,"<p>Охладитель молока​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/214614"">ICEBOX BC9CN</a> </b>используется совместно с кофемашинами в кофейнях, барах и ресторанах для кратковременного хранения и охлаждения молока для приготовления различных кофейных напитков. Модель оснащена внутренней светодиодной подсветкой, 2 отверстиями для молочных шлангов и встроенным замком с ключом. Корпус имеет порошковое покрытие, устойчивое к внешнему воздействию.</p>

<p>В комплект поставки входит съемный контейнер для молока 4,5 л.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическое размораживание</li>
<li>Хладагент: R600a</li>
<li>Цифровой регулятор температуры с сенсорным экраном и дисплеем</li>
<li>Небольшие размеры: оптимальное размещение рядом с кофейным оборудованием на барной стойке</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем контейнера для молока: 4,5 литра</li>
<li>Совместимые для подключеня к кофемашинам диаметры: 7/10/13 мм</li>
<li>Габариты в упаковке: 290x530x525 мм</li>
<li>Цвет: черный</li>
</ul>",214614,компрессорный,от 0 до 4 °C,220 В,,220 мм,452 мм,456 мм,16 кг,Китай,1,290x530x525 мм,0,https://entero.ru/manuals/486733/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20ICEBOX.pdf,59772,,14.4 кг,9 л,,
https://cdn.entero.ru/mp@2x/0d/db/0ddb227746bc3d71a1c3e809e4229d69.jpg;https://cdn.entero.ru/mp@2x/f0/44/f044bfaa267334be9da730cacc7160a7.jpg;https://cdn.entero.ru/mp@2x/73/d7/73d744d1e8387ee77c8efc6d3eeea60a.jpg;https://cdn.entero.ru/mp@2x/c0/e3/c0e3ab2f6f847467e9dde9adac7a96a8.jpg,Холодильник Jetinno Fresh Wave MC6R,Холодильник Jetinno Fresh Wave MC6R,29810,RUB,Да,Jetinno,Кофеварки и кофемашины,Холодильники для молока,https://entero.ru/item/365491,"<p>Холодильник <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/365491""><b class=""b"">Jetinno Fresh Wave </b></a>используется совместно с кофемашинами <a href=""https://entero.ru/search.php?text=Jetinno%20JL30&cid=78"" target=""_blank"">JL30</a>, <a href=""https://entero.ru/search.php?text=Jetinno+JL31"" target=""_blank"">JL31</a> и <a href=""https://entero.ru/search.php?text=Jetinno+JL32"" target=""_blank"">JL32</a> на предприятиях общественного питания и торговли, в офисах и отелях для хранения молока, используемого при приготовлении кофейных напитков на его основе. Модель оснащена сенсорным управлением с дисплеем, датчиком наличия молока и датчиком температуры.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Хладагент: R600a</li>
<li>Время охлаждения: 30 мин.</li>
<li>Объем:
<ul>
<li>Общий: 8 л</li>
<li>Контейнера молока: 4 л</li>
</ul>
</li>
</ul>",365491,компрессорный,от 0 до 6 °C,,,220 мм,385 мм,395 мм,,Китай,,,0,https://entero.ru/manuals/476198/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Jetinno%202025%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,31052,,,8 л,,
https://cdn.entero.ru/mp@2x/8a/71/8a71342ebd3095168cb2530dda214bae.jpg,Холодильник для молока KAFFIT COM XHC-6 black,Холодильник для молока KAFFIT COM XHC-6 black,10354,RUB,Да,,Кофеварки и кофемашины,Холодильники для молока,https://entero.ru/item/348283,"<p>Холодильник для молока <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/348283""><b class=""b""> KAFFIT.COM XHC-6 </b></a>используется на предприятиях общественного питания и торговли, в офисах, а также в домашних условиях совместно с кофемашинами. Холодильник поддерживает температуру на 20 °С меньше температуры окружающей среды.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Вместимость: 2 стандартных пакета молока объемом 1 л</li>
<li>Длина сетевого шнура: 1500 мм</li>
</ul>",348283,,от 1 до 65 °C,220 В,0.012 кВт,212 мм,275 мм,343 мм,,Китай,,,0,https://entero.ru/manuals/429184/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20KAFFIT.COM%20XHC-6%20black.pdf;https://entero.ru/manuals/516345/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/516346/%D0%A0%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BE%20%D1%81%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%B8.pdf,11133,,3.2 кг,5 л,,
https://cdn.entero.ru/mp@2x/0b/03/0b03a579ed227bd8b02f85aa6964c635.jpg;https://cdn.entero.ru/mp@2x/05/83/058378ee843e98a4bf7f0c13651c20e4.jpg;https://cdn.entero.ru/mp@2x/68/48/68480d7e5127a7292191b44e66334109.jpg;https://cdn.entero.ru/mp@2x/1a/f6/1af67de89ea3cab6992cd282b370aa80.jpg,Холодильник для молока Bravilor Bonamat Sego L milk fridge,7.270.633.101,59938,RUB,Да,Bravilor Bonamat,Кофеварки и кофемашины,Холодильники для молока,https://entero.ru/item/198065,"<p>Холодильник для молока <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198065""><b class=""b"">Bravilor Bonamat</b></a> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198065""><b class=""b"">Sego L milk fridge </b></a> используется в офисах,на предприятиях общественного питания и торговли совместно с кофемашинами Sego 11L/12L для охлаждения и поддержания нужной температуры упаковок молока. </p>

<p><span style=""color:#FF0000;"">Холодильник продается только в комплекте с кофемашиной Bravilor.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Вместительный внутренний отсек</li>
<li>Стильный современный дизайн</li>
</ul>",198065,,от -1 до 5 °C,220 В,0.12 кВт,220 мм,455 мм,455 мм,,Китай,,,16,https://entero.ru/manuals/230785/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20Sego%20L%20milk%20fridge%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,63093,,,4 л,,
https://cdn.entero.ru/mp@2x/7b/06/7b06e6f34374c0fa2fc59c85ff80aab4.jpg;https://cdn.entero.ru/mp@2x/88/51/8851c51f67be4e31dd05d0ce13726bae.jpg;https://cdn.entero.ru/mp@2x/31/db/31db46bf70832c6bc9c95eefcb730fb4.jpg,Холодильник для молока Rosso BTB-BX03,Холодильник для молока Rosso BTB-BX03,31958,RUB,Да,Rosso,Кофеварки и кофемашины,Холодильники для молока,https://entero.ru/item/342140,"<p>Холодильник для молока <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/342140""><b class=""b"">Rosso BTB-BX03</b></a> предназначен для охлаждения и кратковременного хранения молока в офисах и на предприятиях общественного питания и торговли. Модель оснащена сенсорной панелью управления, верхней нагреваемой панелью с ограничителями для чашек и распашной дверцей из стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Воздушное охлаждение для поддержания сухости воздуха и отсутствия инея</li>
<li>Отображение реальной внутренней температуры на дисплее</li>
<li>Хладагент R134a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура подогреваемой панели: 56±7 °C</li>
<li>Потребляемая мощность: 0,12 кВт</li>
<li>Габариты в упаковке: 360х581х613 мм</li>
</ul>",342140,компрессорный,от 0 до 8 °C,220 В,0.12 кВт,276 мм,497 мм,506 мм,21.2 кг,Китай,1,360x581x613 мм,0,,34363,,19.2 кг,14.8 л,,Да
https://cdn.entero.ru/mp@2x/d4/ef/d4efc3dbe91453f8f7f70880d6e4d3b9.jpg,Холодильник для молока Hurakan HKN-CMC9M,Холодильник для молока Hurakan HKN-CMC9M,24557,RUB,Да,Hurakan,Кофеварки и кофемашины,Холодильники для молока,https://entero.ru/item/299896,"<p>Холодильник для молока <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/299896"">Hurakan HKN-CMC9M</a> </b>предназначен для демонстрации, охлаждения и кратковременного хранения молока и сливок, используемых для приготовления кофе при помощи кофемашин на предприятиях общественного питания и торговли. Модель оснащена распашной зеркальной дверцей с LED экраном и сенсорным управлением.</p>

<p>В комплекте 8 заглушек для отверстий на корпусе. 4шт с диаметром отверстия 6мм, 4шт. с диаметром отверстия 9 мм</p>

<p><b>Особенности:</b></p>

<ul>
<li>Установка рядом с кофейным оборудованием на барной стойке</li>
<li>Компактность корпуса обеспечивает оптимальное размещение</li>
<li>Запираемая дверца со встроенным замком</li>
<li>Цифровой регулятор температуры с сенсорным экраном и ЖК-дисплеем</li>
<li>Хладагент R600A</li>
<li>Отверстия (диаметр 12мм) с двух сторон корпуса для молочной трубки, подсоединяемой к кофемашине</li>
</ul>

<p> </p>",299896,компрессорный,от 0 до 4 °C,220 В,0.06 кВт,220 мм,450 мм,454 мм,15 кг,Китай,1,285x510x515 мм,39,https://entero.ru/manuals/417197/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/485707/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-CMC9M.pdf,25849,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241451&hash=491bd2101a4bbb7b,12 кг,9 л,,
https://cdn.entero.ru/mp@2x/ad/fa/adfa466757fcd2b262ff933aad502c49.jpg;https://cdn.entero.ru/mp@2x/d4/b2/d4b296831b4d352d16d34abb6f168f88.jpg;https://cdn.entero.ru/mp@2x/f0/86/f0860ee3b5dae746a193ecd91ac6b657.jpg;https://cdn.entero.ru/mp@2x/4e/a9/4ea9413998979c01a7f261df5801992f.jpg,Охладитель молока Bravilor Bonamat Sprso Milk cooler,Охладитель молока Bravilor Bonamat Sprso Milk cooler,21266,RUB,Да,Bravilor Bonamat,Кофеварки и кофемашины,Холодильники для молока,https://entero.ru/item/247657,"<p>Охладитель молока <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/247657"">Bravilor Bonamat Sprso Milk cooler</a> </b>используется совместно с кофемашинами <a href=""https://entero.ru/item/247639"" target=""_blank"">Sprso</a> в кофейнях, барах и офисах для кратковременного хранения и охлаждения молока при приготовлении различных кофейных напитков. Молоко охлаждается в стакане и подается в кофемашину через подающую трубку, интегрированную в крышке.</p>

<p>В комплект поставки входят: стакан для молока 1 л, трубка для молока 20 см и адаптер для настенного крепления.</p>",247657,,от 1 до 7 °C,220 В,0.018 кВт,150 мм,190 мм,240 мм,2.04 кг,Нидерланды,1,180x228x288 мм,0,https://entero.ru/manuals/302115/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bravilor%20Bonamat%20Sprso%20Milk%20cooler.pdf;https://entero.ru/manuals/302116/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Bravilor%20Bonamat%20Sprso%20Milk%20cooler.pdf,,,1.7 кг,1.11 л,,
https://cdn.entero.ru/mp@2x/c8/d6/c8d646de162302733906eb2bc5f53c07.jpg,Холодильник для молока Cooleq MC-08G,Холодильник для молока Cooleq MC-08G,20119,RUB,Да,Cooleq,Кофеварки и кофемашины,Холодильники для молока,https://entero.ru/item/346610,"<p>Настольный холодильник <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/346610"">Cooleq MC-08G</a></b> предназначен для охлаждения и кратковременного хранения молока, используемого при приготовлении кофе с помощью кофемашин на предприятиях общественного питания и торговли. Модель оснащена распашной прозрачной дверью, внутренней подсветкой и электронным регулятором в задней стороне шкафа. Корпус выполнен из окрашенного металла, внутренние стенки камеры - из пластика, дверь - из стекла.</p>

<p><b>Особенности:</b></p>

<ul>
<li><a href=""https://entero.ru/info/299"">Вентилируемое охлаждение</a></li>
<li>Автоматическая оттайка</li>
<li>Климатический класс N</li>
<li>Хладагент R600a</li>
<li>2 отверстия: по 1 с каждой стороны</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Энергопотребление: 0,7 кВт/сутки</li>
<li>Объем:
<ul>
<li>Общий: 8,8 л</li>
<li>Полезный: 8 л</li>
</ul>
</li>
<li>Внутренние размеры: 160x190x290 мм</li>
<li>Вместимость коробок молока: 4 </li>
<li>Уровень шума: 42 дБ</li>
<li>Толщина стенок: 30 мм</li>
<li>Температура окружаюещей среды: от 10 до 32 °С</li>
<li>Длина шнура питания: 1730 мм</li>
</ul>",346610,,от 0 до +10 °C,220 В,0.076 кВт,240 мм,505 мм,395 мм,16 кг,Китай,1,306x576x454 мм,0,https://entero.ru/manuals/425110/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20MC-08G.pdf;https://entero.ru/manuals/483141/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,21403,,14 кг,8.8 л,,
