Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель
https://cdn.entero.ru/mp@2x/7a/33/7a33160f55da5007de8f3c287c362a30.jpg,Весовой преобразователь CAS WTM-500,Весовой преобразователь CAS WTM-500,19187,RUB,Да,CAS,Профоборудование,Весовое,Весовые терминалы,https://entero.ru/item/285283,"<p>Преобразователь весовой <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/285283""><b class=""b"">CAS WTM-500</b></a> предназначен для аналого-цифрового преобразования выходного сигнала весоизмерительных датчиков, дальнейшей обработки данных и передачи результата взвешивания в цифровой форме через цифровой интерфейс. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление работой прибора при помощи специального ПО для компьютера WTM-Works</li>
<li>Интерфейс: RS-485</li>
<li>6-ти разрядный светодиодный-дисплей</li>
<li>Простая настройка с помощью 4-х клавиш</li>
<li>Возможность установки на DIN-рейку и встроенного монтажа</li>
<li>Подходит для весовой системы PLC</li>
<li>Блок портов обмена данными</li>
<li>Юстировка при помощи ПК</li>
<li>Юстировка при помощи самого устройства</li>
<li>Подключение до 8 датчиков</li>
<li>Номер по госреестру в РФ: 63268-16</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Скорость передачи данных: от 9600 до 115200 бит/сек</li>
<li>Число разрядов индикации результата взвешивания: 6</li>
<li>Максимальное число поверочных интервалов индикатора: 10000</li>
<li>Напряжение питания прибора: от 10 до 24В</li>
<li>Мощность: 0,07 В·А</li>
<li>Максимальное входное напряжение: 39 мВ</li>
<li>Сопротивление весоизмерительного датчика: от 80 до 1000 Ом</li>
<li>Диапазон температуры: от -10 до 40°С</li>
<li>Напряжение питания весоизмерительного датчика: 5В</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>TCP/IP Modbus</li>
<li>Alibi Memory (50 000 сохранений, часы реального времени)</li>
<li>Ethernet </li>
</ul>",285283,40 мм,126 мм,103 мм,0.4 кг,1,70x150x150 мм,48,https://entero.ru/manuals/349546/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20CAS%20WTM-500.pdf;https://entero.ru/manuals/349547/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20WTM-500.pdf;https://entero.ru/manuals/349549/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%BE%D0%B1%20%D1%83%D1%82%D0%B2%D0%B5%D1%80%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8%20%D1%81%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B2%20%D1%82%D0%B8%D0%BF%D0%B0%20%D0%B8%D0%B7%D0%BC%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D0%B9.pdf,,0.2 кг,,Ю. Корея
https://cdn.entero.ru/mp@2x/8c/20/8c20c8fbaeb081b1431dcf0a8eb17ce7.jpg,Весовой преобразователь CAS WTM-200,Весовой преобразователь CAS WTM-200,13566,RUB,Да,CAS,Профоборудование,Весовое,Весовые терминалы,https://entero.ru/item/285281,"<p>Преобразователь весовой <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/285281""><b class=""b"">CAS WTM-200</b></a> предназначен для аналого-цифрового преобразования выходного сигнала весоизмерительных датчиков, дальнейшей обработки данных и передачи результата взвешивания в цифровой форме через цифровой интерфейс. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление работой прибора при помощи специального ПО для компьютера WTM-Works</li>
<li>Интерфейс: RS-485</li>
<li>Возможность установки на DIN-рейку и встроенного монтажа</li>
<li>Подходит для весовой системы PLC</li>
<li>Блок портов обмена данными</li>
<li>Юстировка при помощи ПК</li>
<li>Подключение до 8 датчиков</li>
<li>Номер по госреестру в РФ: 63268-16</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Скорость передачи данных: от 9600 до 115200 бит/сек</li>
<li>Максимальное число поверочных интервалов индикатора: 10000</li>
<li>Напряжение питания прибора: от 10 до 24В</li>
<li>Мощность: 0,07 В·А</li>
<li>Максимальное входное напряжение: 39 мВ</li>
<li>Сопротивление весоизмерительного датчика: от 80 до 1000 Ом</li>
<li>Диапазон температуры: от -10 до 40°С</li>
<li>Напряжение питания весоизмерительного датчика: 5В</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>TCP/IP Modbus</li>
<li>Alibi Memory (50 000 сохранений, часы реального времени)</li>
<li>Ethernet </li>
</ul>",285281,40 мм,126 мм,103 мм,0.4 кг,1,70x150x150 мм,0,https://entero.ru/manuals/349543/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20CAS%20WTM-200.pdf;https://entero.ru/manuals/349544/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20WTM-200.pdf;https://entero.ru/manuals/349545/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20CAS%20WTM-200.pdf,14432,0.2 кг,,Ю. Корея
https://cdn.entero.ru/mp@2x/c4/ae/c4ae73298ae747964a88a74c80ba803f.jpg;https://cdn.entero.ru/mp@2x/b5/80/b580a0cfd89cc2fb9018bda868646d21.jpg;https://cdn.entero.ru/mp@2x/d2/cb/d2cb968b387a7f1bc43be64b2087b0f7.jpg;https://cdn.entero.ru/mp@2x/9e/58/9e58548ee0d14c981a0702e388509a93.jpg,Терминал весовой МАССА-К A,Терминал весовой МАССА-К A,6859,RUB,Да,МАССА-К,Профоборудование,Весовое,Весовые терминалы,https://entero.ru/item/121098,"<p>Весовой терминал <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121098"">МАССА-К A</a></b> используется совместно с весами на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем с подсветкой.</p>

<p>В комплект поставки входят сетевой адаптер, переходной кабель 4D и кронштейны для крепления терминала на стене и к стойке</p>

<p><b>Особенности:</b></p>

<ul>
<li>Совместимость с учетными системами:
<ul>
<li>Передача веса в учетные системы: 1С:Предприятие, Айтида, и др.</li>
<li>Передача веса на рабочее место кассира (ПК или POS-терминал) с помощью «АТОЛ: Драйвер электронных весов»</li>
<li>Передача веса в ККТ: ЭВОТОР, ПОРТ, VIKI и др.</li>
</ul>
</li>
<li>Счетный режим</li>
<li>Процентное взвешивание</li>
<li>Компараторный режим взвешивания (достижение заданного веса сопровождается звуковым и визуальным сигналами)</li>
<li>Взвешивание ""подвижного"" груза, в том числе и животных</li>
<li>Дозаторный режим</li>
<li>Масса тары устанавливается:
<ul>
<li>Нажатием кнопки «T»</li>
<li>Вводом массы тары с клавиатуры терминал</li>
</ul>
</li>
<li>Возможность подключения дозатора и выносного индикатора</li>
<li>Степень защиты терминала: IP54</li>
<li>Интерфейс связи: RS-232</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Диапазон рабочих температур: от -20 до 40 °С</li>
<li>Время работы от аккумулятора: 80 ч</li>
<li>Габариты: 265x105x60 мм</li>
<li>Вес: 1,4 кг</li>
</ul>",121098,,,,,,,0,https://entero.ru/manuals/125773/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20A.pdf,,,,
https://cdn.entero.ru/mp@2x/57/57/5757785e596dde2ee995060b040eab6c.jpg,Индикатор весовой CAS CI-5010A,Индикатор весовой CAS CI-5010A,27517,RUB,Да,CAS,Профоборудование,Весовое,Весовые терминалы,https://entero.ru/item/244838,"<p>Весовой индикатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/244838"">CAS CI-5010A</a></b> используется совместно с напольными, платформенными, автомобильными, упаковочными и контрольными весами на перерабатывающих предприятиях, складских комплексах и в транспортных компаниях. Модель оснащена вакуумно-люминесцентным дисплеем.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Интерфейс RS-232</li>
<li>Подключение до 8 тензодатчиков (при условии сопротивления тензодатчика 350Ω)</li>
<li>Усреднение показаний нестабильных грузов: можно взвешивать емкости с жидкостью, животных, или проводить взвешивания в условиях вибрационных нагрузок на производстве</li>
<li>Использование ID товаров</li>
<li>Ввод тары с клавиатуры</li>
<li>​Запоминание показаний при непредвиденном отключении питания</li>
<li>Функция диагностики</li>
<li>Экранирование от радиочастотных и электромагнитных помех</li>
<li>Встраивание в шкаф</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
<li>Класс точности: III</li>
<li>Число разрядов индикации результата взвешивания: 7</li>
<li>Высота цифр: 13 мм</li>
<li>Скорость АЦП: 20 Гц</li>
<li>Чувствительность: 2 μV/d</li>
<li>Напряжение: 220 В</li>
<li>Максимальное число поверочных делений весов (nind): 5000</li>
<li>Предел установки нуля: 0,05-5 мВ</li>
<li>Внешняя разрешающая способность: 1/10000 АЦП</li>
<li>Габариты: 192x96x199 мм</li>
<li>Вес: 2,4 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Подключение интерфейсов Ethernet / WiFi</li>
<li>Аналоговый выход 4..20мА / 0..10V</li>
</ul>",244838,,,,,,,24,https://entero.ru/manuals/295569/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20CI-5010A.pdf;https://entero.ru/manuals/295570/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,28965,,,
https://cdn.entero.ru/mp@2x/fa/52/fa52428d353a51791dd3d959d14d1954.jpg,Весовой индикатор CAS CI-2001A,Весовой индикатор CAS CI-2001A,15677,RUB,Да,CAS,Профоборудование,Весовое,Весовые терминалы,https://entero.ru/item/41110,"<p>Настенный весовой индикатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/41110"">CAS CI-2001A</a></b> используется совместно с платформенными и балочными весами UFS, BFS, HFS, R, A, D и др. на перерабатывающих предприятиях, складских комплексах и в транспортных компаниях. Модель оснащена светодиодным дисплеем, усреднением показаний при нестабильной загрузке и автоматической регулировкой коэффициента усиления.</p>

<p><em><span style=""color:#FF0000;"">Изделие по отдельности не продается, возможно к заказу только при обязательной покупке весов серий UFS, BFS, HFS, R, A и D.</span></em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Интерфейс RS232C</li>
<li>Режим суммирования</li>
<li>Выборка массы тары из диапазона взвешивания</li>
<li>Класс защиты: IP 54</li>
<li>Экранирование от радиочастотных и электромагнитных помех </li>
<li>Питание от сети или батареи</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
<li>Напряжение: 220 В</li>
<li>Внутренняя разрешающая способность: 1/130000 АЦП</li>
<li>Максимальная внешняя разрешающая способность: 1/10000 АЦП</li>
<li>Частота обновления показаний дисплея: 10 Гц</li>
<li>Габариты: 186x58x85 мм</li>
<li>Вес: 0,5 кг</li>
</ul>",41110,,,,,,,46,https://entero.ru/manuals/41176/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20CI-2001A.pdf,16678,,,
https://cdn.entero.ru/mp@2x/cc/06/cc06a313dddda45db405d2a751757658.jpg,Индикатор весовой Scale СКИ-12,Индикатор весовой Scale СКИ-12,6786,RUB,Да,,Профоборудование,Весовое,Весовые терминалы,https://entero.ru/item/184714,"<p>Весовой индикатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184714""><b class=""b"">Scale СКИ-12 </b></a>используется совместно с напольными и платформенными весами в производственных цехах, распределительных центрах, транспортных компаниях, на складах, а также на предприятиях общественного питания и торговли для определения веса разнообразных пищевых и непищевых объектов взвешивания при приемке грузов и в процессе фасовки. Корпус выполнен из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы работы:
<ul>
<li>Счётный</li>
<li>Взвешивание</li>
</ul>
</li>
<li>Интерфейс RS-232</li>
<li>Подключение до 4 тензодатчиков (350 Ω)</li>
<li>Светодиодный дисплей</li>
<li>6 индикаторов состояния</li>
<li>Взвешивание животных</li>
<li>Встроенный фильтр для компенсации вибрации</li>
<li>Крепление на стойке или на стене</li>
<li>Работа от сети или аккумулятора DC6В/4Ah</li>
<li>Автоматическое отключение</li>
<li>Степень защиты: IP 54</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Скорость АЦП: 20 Гц</li>
<li>Питание подклчаемых тензодатчиков: 5 В</li>
<li>Внешняя разрешающая способность: 1/15000</li>
<li>Предел установки нуля: от 0,05 до 5мВ</li>
<li>Рабочий диапазон температур: от -10 до 40 °C</li>
<li>Размеры дисплея: 108x38 мм</li>
<li>Габариты: 260×160×170 мм</li>
<li>Вес: 2 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Плата Ethernet </li>
<li>Токовая петля для дублирующего табло</li>
<li>Стойка для индикатора <a href=""https://entero.ru/item/244773"">Scale для СКИ</a></li>
<li>Крепеж настенный <a href=""https://entero.ru/item/244771"">Scale для СКИ</a></li>
</ul>",184714,,,,,,,2243,https://entero.ru/manuals/214636/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Scale%20%D0%A1%D0%9A%D0%98-12.pdf;https://entero.ru/manuals/214637/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%BE%D0%B1%20%D1%83%D1%82%D0%B2%D0%B5%D1%80%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8%20%D1%82%D0%B8%D0%BF%D0%B0%20%D1%81%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B2%20%D0%B8%D0%B7%D0%BC%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D0%B9.pdf,9048,,,
https://cdn.entero.ru/mp@2x/5d/9b/5d9ba9c48768304ef745b35c1db177e3.jpg;https://cdn.entero.ru/mp@2x/25/6c/256ce3cc0bcb8e5f780fc8c343ae6dd9.jpg;https://cdn.entero.ru/mp@2x/1a/33/1a3303067448655069810336d310211f.jpg;https://cdn.entero.ru/mp@2x/16/66/1666a2475d7f7043dae5ddb5340da04c.jpg;https://cdn.entero.ru/mp@2x/33/ee/33eeeb67b6b332aede47ec9a493fcaf8.jpg,Терминал весовой МАССА-К RP,Терминал весовой МАССА-К RP,23198,RUB,Да,МАССА-К,Профоборудование,Весовое,Весовые терминалы,https://entero.ru/item/121258,"<p>Весовой терминал <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121258"">МАССА-К RP</a></b> используется совместно с весами на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем с подсветкой.</p>

<p>В комплект поставки входят сетевой адаптер, кронштейны для крепления на стене и стойке ST4D.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регистрация операций приема, отпуска, списания, инвентаризации и продажи товаров с передачей данных в учетные программы предприятий</li>
<li>Работа с учетными системами 1С:Предприятие, Айтида, Excel, Microinvest и др.:
<ul>
<li>Загрузка товаров</li>
<li>Выгрузка готовых документов и отчетов</li>
</ul>
</li>
<li>8 форматов штрихкодов</li>
<li>Печать этикеток при работе в счетном режиме</li>
<li>Печать этикеток на продукцию с примесями</li>
<li>Изготовление этикеток на весовые и штучные товары</li>
<li>Печать на этикетке до 35 динамических параметров, в том числе: состав товара (до 1000 знаков), оператора, получателя товара (контрагент)</li>
<li>Изготовление этикеток любой длины и сложности от 10 мм до 1 метра</li>
<li>Работа со штрихкодами типов: EAN 13, EAN 13+5, EAN 128, GS1 Databar, CODE128, CODE 39, ITF 14, Interleaved 2 of 5</li>
<li>Поддержка языков: русский, английский, французский, казахский, туркменский, болгарский, латышский, азербайджанский</li>
<li>Работа с весовыми, штучными и счетными товарами</li>
<li>Настройка шаблонов этикеток:
<ul>
<li>Режим LITE - быстрая настройка шаблонов простых этикеток</li>
<li>Режим PRO - Свободно программируемые шаблоны этикеток</li>
</ul>
</li>
<li>Масса тары устанавливается:</li>
<li>Нажатием кнопки «T»
<ul>
<li>Вводом массы тары с клавиатуры терминала</li>
<li>Вызовом тары из памяти</li>
<li>Чтением штрихкода массы тары</li>
<li>Автоустановкой из справочника товаров</li>
</ul>
</li>
<li>Возможность подключения сканера штрихкодов, выносного индикатора DI4D и дозатора</li>
<li>Внутренняя память на 20 000 товаров, 300 операторов, 60 складов, 100 контрагентов, 40 шаблонов этикеток</li>
<li>Встроенный графический редактор</li>
<li>Степень защиты терминала: IP51</li>
<li>Интерфейс связи: RS-232, USB, Ethernet</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Диапазон рабочих температур: от 0 до 40 °С</li>
<li>Ширина рулона с чековой лентой: 58 мм</li>
<li>Ширина рулона / этикеток: 60 / 58 мм</li>
<li>Ресурс термоголовки: 50 км</li>
<li>Скорость печати: 60 мм/сек.</li>
<li>Габариты: 295х230х200 мм</li>
<li>Вес: 1,7 кг</li>
<li>Вес с упаковкой: 3,1 кг</li>
</ul>",121258,,,,,,,0,https://entero.ru/manuals/126220/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20RP.pdf,,,,
https://cdn.entero.ru/mp@2x/4b/3b/4b3b7becbdfa4a3430510d6689ef3c30.jpg,Индикатор весовой CAS CI-200A,Индикатор весовой CAS CI-200A,18370,RUB,Да,CAS,Профоборудование,Весовое,Весовые терминалы,https://entero.ru/item/194274,"<p>Весовой индикатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/194274"">CAS CI-200A</a></b> используется совместно напольными и платформенными весами на перерабатывающих предприятиях, складских комплексах и в транспортных компаниях. Модель оснащена светодиодным дисплеем и усреднением показаний при нестабильной загрузке. Корпус выполнен высококачественного пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Интерфейс RS232</li>
<li>Счетный режим - возможность подсчета количества одинаковых деталей</li>
<li>Подключение до 8 датчиков</li>
<li>Выборка массы тары</li>
<li>Использование ID товаров</li>
<li>Высокое разрешение</li>
<li>2 режима калибровки - простой и расширенный</li>
<li>Запоминание показаний при непредвиденном отключении питания</li>
<li>Функция диагностики</li>
<li>Настенное крепление и крепление на стойку</li>
<li>Автоматическое отключение</li>
<li>Питание от сети или батареи</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
<li>Скорость АЦП: 80 Гц</li>
<li>Чувствительность: 2 μV/d </li>
<li>Напряжение: 220 В</li>
<li>Внутренняя разрешающая способность: 1/520000 АЦП</li>
<li>Максимальная внешняя разрешающая способность: 1/10000 АЦП</li>
<li>Габариты: 139×206×92 мм</li>
<li>Вес: 1,3 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Подключение интерфейсов Ethernet / WiFi</li>
</ul>",194274,,,,,,,185,https://entero.ru/manuals/226732/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Scale%20CI-200A.pdf;https://entero.ru/manuals/226733/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Scale%20CI-200A.pdf;https://entero.ru/manuals/226734/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%BE%D0%B1%20%D1%83%D1%82%D0%B2%D0%B5%D1%80%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8%20%D1%82%D0%B8%D0%BF%D0%B0%20%D1%81%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B2%20%D0%B8%D0%B7%D0%BC%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D0%B9.pdf,19753,,,
https://cdn.entero.ru/mp@2x/9b/d1/9bd13f120f4dc0c98da64a2cd80c07db.jpg;https://cdn.entero.ru/mp@2x/40/b6/40b65e526be8aca9662b3ea80402ebb3.jpg;https://cdn.entero.ru/mp@2x/3e/40/3e40bda4bbb2ba1da2977378bf405fc5.jpg,Терминал весовой МАССА-К AB(RUEW),Терминал весовой МАССА-К AB(RUEW),17748,RUB,Да,МАССА-К,Профоборудование,Весовое,Весовые терминалы,https://entero.ru/item/121120,"<p>Весовой терминал <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121120"">МАССА-К AB(RUEW)</a></b> используется совместно с весами на предприятиях общественного питания и торговли. Модель оснащена светодиодным дисплеем с подсветкой. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят сетевой адаптер, переходной кабель 4D, патч-корд 2 м и кронштейны для крепления терминала на стене и к стойке.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Совместимость с учетными системами:
<ul>
<li>Передача веса в учетные системы: 1С:Предприятие, Айтида, и др.</li>
<li>Передача веса на рабочее место кассира (ПК или POS-терминал) с помощью «АТОЛ: Драйвер электронных весов»</li>
<li>Передача веса в ККТ: ЭВОТОР, ПОРТ, VIKI и др.</li>
</ul>
</li>
<li>Счетный режим</li>
<li>Процентное взвешивание</li>
<li>Компараторный режим взвешивания (достижение заданного веса сопровождается звуковым и визуальным сигналами)</li>
<li>Взвешивание ""подвижного"" груза, в том числе и животных</li>
<li>Дозаторный режим</li>
<li>Масса тары устанавливается:
<ul style=""margin-left: 40px;"">
<li>Нажатием кнопки «T»</li>
<li>Вводом массы тары с клавиатуры терминал</li>
<li>Возможность подключения выносного индикатора и дозатора</li>
</ul>
</li>
<li>Высокий уровень влагозащиты</li>
<li>Степень защиты терминала: IP66</li>
<li>Интерфейс связи: RS-232, USB, Ethernet, Wi-Fi</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Диапазон рабочих температур: от -30 до 40 °С</li>
<li>Время работы от аккумулятора: 15 ч</li>
<li>Габариты: 260х161х52 мм</li>
<li>Вес: 2 кг</li>
</ul>",121120,,,,,,,0,https://entero.ru/manuals/125784/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20AB%28RUEW%29.pdf,18682,,,
https://cdn.entero.ru/mp@2x/0e/57/0e57a41dd3866ef6bbd34343e6200ebc.jpg,Стойка для терминала МАССА-К ST4D,Стойка для терминала МАССА-К ST4D,5229,RUB,Да,МАССА-К,Профоборудование,Весовое,Весовые терминалы,https://entero.ru/item/121637,"<p>Стойка для терминала <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121637"">МАССА-К ST4D</a> </b>используется совместно с терминалами <a href=""https://entero.ru/item/121258"">RP</a>, <a href=""https://entero.ru/item/121259"">R2P</a>, <a href=""https://entero.ru/item/121260"">RL</a>,<a href=""https://entero.ru/item/121261"">R2L</a>, <a href=""https://entero.ru/item/121098"">A</a>, <a href=""https://entero.ru/item/121114"">AВ</a>. </p>",121637,,,,,,,0,,7163,,,
