Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Дискретность,Размеры платформы (ШxГ),Предел взвешивания,ЖК-дисплей,Класс точности,Выносной дисплей
https://cdn.entero.ru/mp@2x/1e/dc/1edc86a7df486b0ea48f0e75890119c4.jpg,Весы лабораторные CAS MWP-600,MWP 600,19296,RUB,Да,CAS,Профоборудование,Весовое,Весы лабораторные,https://entero.ru/item/40985,"<p>Лабораторные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40985"">CAS MWP-600</a> </b>используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем с подсветкой, 8 единицами измерения массы: грамм, унция, карат, тройная унция, пеннивейт, тейл, гран, фунт, выражением массы в количестве изделий (счетный режим) и индикацией разрядки батареи.</p>

<p>Круглая платформа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входит адаптер питания и защитный кожух. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: высокий</li>
<li>Вычитание массы тары</li>
<li>Учет массы тары</li>
<li>Взвешивание в процентах</li>
<li>Калибровка в пользовательском режиме</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Интерфейс RS-232C </li>
<li>Питание от сети через адаптер или от аккумулятора</li>
<li>Удобная клавиша навигации</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",40985,,220 В,,210 мм,250 мм,145 мм,2.4 кг,Южная Корея,1,305x315x115 мм,36,https://entero.ru/manuals/40751/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20MWP-600.pdf;https://entero.ru/manuals/115866/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,1.45 кг,0.02 г,Ø 113 мм,0.6 кг,Да,II,
https://cdn.entero.ru/mp@2x/72/0d/720d62c5b36c3f77a298bfac75677079.jpg;https://cdn.entero.ru/mp@2x/f0/27/f02728e965a0a533d94c5f03c8caa52c.jpg;https://cdn.entero.ru/mp@2x/53/23/53236fccf222200a3445b570d9cbf8db.jpg,Весы медицинские МАССА-К ВЭМ-150.3-A3,"ВЭМ-150.3-""Масса-К"" (А3)",18212,RUB,Да,МАССА-К,Профоборудование,Весовое,Весы лабораторные,https://entero.ru/item/121092,"<p>Медицинские весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121092"">МАССА-К ВЭМ-150.3-A3</a></b> предназначены для взвешивания пациентов, детей и подростков в детских медицинских, спортивных и оздоровительных учереждениях. Модель оснащена жидкокристаллическим дисплеем с подсветкой и аккумулятором.</p>

<p>В комплект поставки входят сетевой адаптер и резиновый коврик.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Отображение разности результатов двух взвешиваний</li>
<li>Отображение результата взвешивания на индикаторе весов в течение 35-40 секунд после снятия ребенка с весов</li>
<li>Масса тары устанавливается нажатием кнопки «T»</li>
<li>Весы зарегистрированы как медицинское изделие и имеют регистрационное удостоверение Федеральной службы по надзору в сфере здравоохранения</li>
<li>Допускается санобработка весов (дезинфекция и облучение кварцем)</li>
<li>Степень защиты терминала: IP54</li>
<li>Степень защиты платформы: IP67</li>
<li>Интерфейс связи: RS-232, USB, Ethernet</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от 10 до 40 °С</li>
<li>Дискретность отсчета: 10 / 20 / 50 г</li>
<li>Диапазон тарирования: 50 кг</li>
<li>Время работы от встроенного аккумулятора: 56 ч</li>
<li>Габариты:
<ul>
<li>Весовая платформа: 510х400х800 мм</li>
<li>Терминал: 260х105х55 мм</li>
</ul>
</li>
<li>Габарит в упаковке: 780х410х130 мм</li>
</ul>",121092,электронные,,,510 мм,400 мм,800 мм,,Россия,,,0,https://entero.ru/manuals/125760/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20%D0%92%D0%AD%D0%9C-150.3-A3.pdf;https://entero.ru/manuals/125758/%D0%9B%D0%B8%D1%86%D0%B5%D0%BD%D0%B7%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%BE%D1%81%D1%83%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%B4%D0%B5%D1%8F%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20%D0%BF%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B8%D0%B7%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D1%83%20%D0%BC%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B9%20%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8.pdf;https://entero.ru/manuals/125761/%D0%A0%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5%20%D1%83%D0%B4%D0%BE%D1%81%D1%82%D0%BE%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BD%D0%B0%20%D0%BC%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B5%20%D0%B8%D0%B7%D0%B4%D0%B5%D0%BB%D0%B8%D0%B5.pdf;https://entero.ru/manuals/505891/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,19374,,12.3 кг,от 10 до 50 г,510х400 мм,от 0.2 до 200 кг,Да,,
https://cdn.entero.ru/mp@2x/3e/6b/3e6bd68f48ae39a5224eb44b7c4a035b.jpg,Весы лабораторные CAS MWP-1500,MWP 1500,19296,RUB,Да,CAS,Профоборудование,Весовое,Весы лабораторные,https://entero.ru/item/26271,"<p>Лабораторные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/26271"">CAS MWP-1500</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем с подсветкой, 8 единицами измерения массы: грамм, унция, карат, тройная унция, пеннивейт, тейл, гран, фунт, выражением массы в количестве изделий (счетный режим) и индикацией разрядки батареи.</p>

<p>Прямоугольная платформа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входит адаптер питания и защитный кожух. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: высокий</li>
<li>Вычитание массы тары</li>
<li>Учет массы тары</li>
<li>Взвешивание в процентах</li>
<li>Калибровка в пользовательском режиме</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Интерфейс RS-232C </li>
<li>Питание от сети через адаптер или от аккумулятора</li>
<li>Удобная клавиша навигации</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",26271,электронные,220 В,,210 мм,250 мм,145 мм,2.4 кг,Южная Корея,1,310x315x115 мм,55,https://entero.ru/manuals/40753/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20MWP-1500.pdf;https://entero.ru/manuals/115861/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,20528,,1.45 кг,0.05 г,124х144 мм,1.5 кг,Да,II,
https://cdn.entero.ru/mp@2x/1f/6d/1f6d3523cca57aaab5d82d5d9c63f7e5.jpg,Весы лабораторные CAS MWP-3000,MWP 3000,24505,RUB,Да,CAS,Профоборудование,Весовое,Весы лабораторные,https://entero.ru/item/40986,"<p>Лабораторные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40986"">CAS MWP-3000</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем с подсветкой, 8 единицами измерения массы: грамм, унция, карат, тройная унция, пеннивейт, тейл, гран, фунт, выражением массы в количестве изделий (счетный режим) и индикацией разрядки батареи.</p>

<p>Прямоугольная платформа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входит адаптер питания и защитный кожух. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: высокий</li>
<li>Вычитание массы тары</li>
<li>Учет массы тары</li>
<li>Взвешивание в процентах</li>
<li>Калибровка в пользовательском режиме</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Интерфейс RS-232C </li>
<li>Питание от сети через адаптер или от аккумулятора</li>
<li>Удобная клавиша навигации</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",40986,электронные,220 В,,200 мм,250 мм,80 мм,2.4 кг,Южная Корея,1,305x315x115 мм,0,https://entero.ru/manuals/40755/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20MWP-3000.pdf;https://entero.ru/manuals/115863/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,1.1 кг,0.1 г,124х144 мм,3 кг,Да,II,
https://cdn.entero.ru/mp@2x/67/73/6773f3bb33a4db8b2e76204af3949fa4.jpg,Весы лабораторные CAS XE-600,Весы лабораторные CAS XE-600,23943,RUB,Да,CAS,Профоборудование,Весовое,Весы лабораторные,https://entero.ru/item/89616,"<p>Лабораторные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/89616"">CAS XE-600</a></b> используются на предприятиях промышленности, сельского хозяйства и торговли. Модель оснащена 6,5-символьным жидкокристаллическим дисплеем с подсветкой, тензометрическим типом измерения, единицами измерения массы: грамм, карат, выражением массы в количестве изделий (счетный режим) и усреднением показаний массы при нестабильной нагрузке.</p>

<p>Платформа выполнена из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Ветрозащитный короб</li>
<li>Адаптер питания</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: высокий (II)</li>
<li>Компенсация массы тары из диапазона взвешивания</li>
<li>Взвешивание в процентах</li>
<li>Измерение плотности</li>
<li>Обнуление показаний в случае отклонения при пустой платформе</li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Интерфейс USB</li>
<li>Интерфейс RS-232C</li>
<li>ИК-сенсор: обнуление, тарирование и печать</li>
<li>Питание от сети через адаптер</li>
<li>Встроенное программное обеспечение</li>
<li>Защитный замок для безопасной транспортировки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 5 до 40 °С</li>
<li>Цена поверочного деления: 0,1 г</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Выносной дисплей <a href=""https://entero.ru/item/89615"">CD-300</a></li>
<li>Аккумуляторная батарея</li>
</ul>",89616,электронные,220 В,,272 мм,180 мм,74 мм,1.7 кг,Южная Корея,1,300x210x80 мм,0,https://entero.ru/manuals/73173/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20CAS%20XE-600%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,25203,https://vk.com/video_ext.php?oid=-177656185&id=456240435&hd=2&autoplay=0,1.39 кг,0.01 г,Ø 128 мм,от 0.0005 до 0.6 кг,Да,II,
https://cdn.entero.ru/mp@2x/f8/3b/f83bc95d7f64cea6702d6bfc0d829721.jpg;https://cdn.entero.ru/mp@2x/18/58/1858262fe5b75a9409a8859034391f4b.jpg;https://cdn.entero.ru/mp@2x/81/b9/81b948673088e7fa7b6a39c9c6b9fa39.jpg;https://cdn.entero.ru/mp@2x/0a/18/0a18ef3f474971c32e9aabc3c052e768.jpg;https://cdn.entero.ru/mp@2x/f1/08/f1080bcf213f1d9400b619a69e1f8f75.jpg;https://cdn.entero.ru/mp@2x/c5/4d/c54d6ed3360c40ad6dcdadf91e18adce.jpg;https://cdn.entero.ru/mp@2x/b9/76/b97696ce818f5d0d7f2cf7fb34275fb2.jpg;https://cdn.entero.ru/mp@2x/dc/cb/dccb55af5f24595c409d6f8af9755be0.jpg;https://cdn.entero.ru/mp@2x/f8/2c/f82c4271a7e584ecbe6aef79935f1fc5.jpg;https://cdn.entero.ru/mp@2x/21/8f/218f57450a82bc8461e2452e4092f4e8.jpg;https://cdn.entero.ru/mp@2x/10/60/10603bf2bced7d57aad01bf7f2880d50.jpg,Весы настольные Mertech M-ER 326 AFU-6.01 Post II LCD,"M-ER 326 AFU-6.01 ""Post II"" LCD",6080,RUB,Да,,Профоборудование,Весовое,Весы лабораторные,https://entero.ru/item/167906,"<p>Настольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/167906"">Mertech M-ER 326 AFU-6.01 Post II LCD</a> </b>используются на предприятиях общественного питания и торговли, в лабораториях предприятий, ломбардах и ювелирных мастерских. Модель оснащена мембранной клавиатурой, уровнем и регулируемыми опорами. Корпус выполнен из ABS пластика с повышенной прочностью.</p>

<p><b>Режимы работы:</b></p>

<ul>
<li>Простое взвешивание</li>
<li>Компараторный режим</li>
<li>Режим суммирования</li>
<li>Результат взвешивания</li>
<li>Учет веса тары</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Поддержка 3 единиц измерения: граммы, килограммы, фунты</li>
<li>Увеличенный размер цифр на LCD-дисплее</li>
<li>4 месяца автономной работы</li>
<li>Допустима пятикратная перегрузка весов</li>
<li>Простой и понятный интерфейс</li>
<li>Эргономичная панель управления</li>
<li>Запатентованная технология энергосбережения</li>
<li>Поверка</li>
<li>Режим самодиагностики</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от 10 до 40 °С</li>
<li>Допустимая влажность: 80%</li>
<li>Количество разрядов индикации: 6</li>
<li>Размер символов: 9х21,11х21 мм</li>
</ul>",167906,электронные,220 В,,290 мм,265 мм,110 мм,,Китай,,,0,https://entero.ru/manuals/492920/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Mertech%20M-ER%20326%20AFU-6.01%20Post%20II%20LCD.pdf;https://entero.ru/manuals/492921/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/492922/%D0%9E%D0%BF%D0%B8%D1%81%D0%B0%D0%BD%D0%B8%D0%B5%20%D1%81%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B2%D0%B0%20%D0%B8%D0%B7%D0%BC%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D1%8F.pdf,7153,,2.5 кг,0.1 г,256х206 мм,от 0.005 до 6 кг,Да,II,
https://cdn.entero.ru/mp@2x/c4/95/c495723adbdee4278aa89529925030fc.jpg;https://cdn.entero.ru/mp@2x/f1/49/f149331475c08bcc40f4ab8eaff5f444.jpg;https://cdn.entero.ru/mp@2x/5b/cc/5bccdefe8831edc6ed8dc7051f5841d6.jpg,Весы лабораторные CAS MWP-150,MWP 150,19296,RUB,Да,CAS,Профоборудование,Весовое,Весы лабораторные,https://entero.ru/item/40982,"<p>Лабораторные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40982"">CAS MWP-150</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем с подсветкой, 8 единицами измерения массы: грамм, унция, карат, тройная унция, пеннивейт, тейл, гран, фунт, выражением массы в количестве изделий (счетный режим) и индикацией разрядки батареи.</p>

<p>Круглая платформа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входит адаптер питания и защитный кожух. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: высокий</li>
<li>Вычитание массы тары</li>
<li>Учет массы тары</li>
<li>Взвешивание в процентах</li>
<li>Калибровка в пользовательском режиме</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Интерфейс RS-232C </li>
<li>Питание от сети через адаптер или от аккумулятора</li>
<li>Удобная клавиша навигации</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",40982,электронные,220 В,,210 мм,250 мм,80 мм,2.4 кг,Южная Корея,1,305x315x115 мм,74,https://entero.ru/manuals/40752/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20MWP-150.pdf;https://entero.ru/manuals/115860/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,20528,,1.1 кг,0.005 г,Ø 113 мм,0.15 кг,Да,II,
https://cdn.entero.ru/mp@2x/0e/f2/0ef24bb8a8c303373d56515b6c3d79bb.jpg,Весы лабораторные CAS CAUW-220D,CAUW 220D,246241,RUB,Да,CAS,Профоборудование,Весовое,Весы лабораторные,https://entero.ru/item/24521,"<p>Лабораторные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/24521"">CAS CAUW-220D</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем с подсветкой, типом измерения: электромагнитная компенсация, 3 единицами измерения массы: грамм, миллиграмм, карат, выражением массы в количестве изделий (счетный режим), усреднением показаний при нестабильной нагрузке и автоматической установкой нуля.</p>

<p>Платформа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входит адаптер питания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: специальный</li>
<li>Двойной диапазон взвешивания</li>
<li>Выборка массы тары</li>
<li>Взвешивание в процентах</li>
<li>Режим суммирования</li>
<li>Режим дозирования</li>
<li>Обнуление показаний в случае отклонения при пустой платформе</li>
<li>Интерфейс RS232C </li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Автоматическая адаптивная калибровка при изменении температуры окружающей среды</li>
<li>Калибровка в моменты времени, заданные пользователем</li>
<li>Встроенная калибровочная гиря</li>
<li>Вывод текущей даты и текущего времени</li>
<li>Питание от сети через адаптер </li>
<li>Встроенная программа WindowsTM</li>
<li>Графический указатель нагрузки</li>
<li>Мембранная клавиатура</li>
<li>Встроенный поддонный крюк</li>
<li>Соответствие стандартам GLP, GMP, ISO 9000</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 5 до 40 °С</li>
<li>Дискретность отсчета: 0,0001 / 0,00001 г</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Аккумулятор</li>
<li>Набор для измерения плотности <a href=""https://entero.ru/item/40974"">SMK-401</a></li>
</ul>",24521,электронные,220 В,,220 мм,330 мм,310 мм,,Южная Корея,,,8,https://entero.ru/manuals/41119/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20CAUW-220D.pdf;https://entero.ru/manuals/123395/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%BD%D0%B0%20CAS%20CAUW-220D.pdf,,,7 кг,от 0.00001 до 0.0001 г,Ø 80 мм,от 0.082 до 0.22 кг,Да,I,
https://cdn.entero.ru/mp@2x/87/38/8738bed07ab952fd03f0e0b7cca67061.jpg;https://cdn.entero.ru/mp@2x/c4/7a/c47a0f1e38ce479bd996dc5fbcd8c916.jpg,Весы лабораторные МАССА-К ВК-600,ВК- 600,24716,RUB,Да,МАССА-К,Профоборудование,Весовое,Весы лабораторные,https://entero.ru/item/118803,"<p>Лабораторные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/118803"">МАССА-К ВК-600</a></b> предназначены для измерений массы легких и сверхлегких предметов в лабораториях предприятий, ломбардах и ювелирных мастерских. Модель оснащена жидкокристаллическим дисплеем с подсветкой и аккумулятором.</p>

<p>В комплект поставки входят сетевой адаптер, ветрозащитный экран для весов и кабель интерфейсный DB9-M (вилка) и DB9-F (розетка).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Счетный режим</li>
</ul>

<ul>
<li>Процентное взвешивание</li>
<li>Подсчет суммарной массы товара</li>
<li>Возможность подключения к PC</li>
<li>Интерфейс связи: RS-232</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от 15 до 30 °С</li>
<li>Диапазон тарирования: 0,6 кг</li>
<li>Время работы от встроенного аккумулятора: 24 ч</li>
</ul>",118803,электронные,,,180 мм,220 мм,85 мм,,Россия,,,0,https://entero.ru/manuals/121246/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20%D0%92%D0%9A-600.pdf;https://entero.ru/manuals/505888/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,1.5 кг,0.01 г,Ø 120 мм,от 0.0005 до 0.6 кг,Да,,
https://cdn.entero.ru/mp@2x/4f/e3/4fe3ffb5827b9dc9ef983ee06bc5bdf8.jpg,Весы лабораторные CAS MWP-300,MWP 300,24505,RUB,Да,CAS,Профоборудование,Весовое,Весы лабораторные,https://entero.ru/item/40983,"<p>Лабораторные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40983"">CAS MWP-300</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем с подсветкой, 8 единицами измерения массы: грамм, унция, карат, тройная унция, пеннивейт, тейл, гран, фунт, выражением массы в количестве изделий (счетный режим) и индикацией разрядки батареи.</p>

<p>Круглая платформа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входит адаптер питания и защитный кожух. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: высокий</li>
<li>Вычитание массы тары</li>
<li>Учет массы тары</li>
<li>Взвешивание в процентах</li>
<li>Калибровка в пользовательском режиме</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Интерфейс RS-232C </li>
<li>Питание от сети через адаптер или от аккумулятора</li>
<li>Удобная клавиша навигации</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",40983,электронные,220 В,,210 мм,250 мм,75 мм,2 кг,Южная Корея,1,305x315x115 мм,0,https://entero.ru/manuals/40754/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20MWP-300.pdf;https://entero.ru/manuals/115862/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,1.45 кг,0.01 г,Ø 113 мм,0.3 кг,Да,II,
