Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Назначение,Вес (с упаковкой),Конструкция,Дискретность,Размеры платформы (ШxГ),Класс точности,Стойка,Максимальный предел взвешивания,Минимальный предел взвешивания,Светодиодный индикатор,Трехдиапазонные
https://cdn.entero.ru/mp@2x/4f/bb/4fbb6b9a7c3fbeaec991d786be128cd5.jpg,Весы напольные CAS DL-150,DL-150N,23526,RUB,Да,CAS,Профоборудование,Весовое,Весы напольные,https://entero.ru/item/33223,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33223"">CAS DL-150</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем на стойке, тензометрическим типом измерения, выражением массы в количестве изделий (счетный режим), усреднением показаний массы при нестабильной нагрузке, автоматической установкой нуля, автоматической регулировкой коэффициента усиления и индикацией разрядки батареи.</p>

<p>Рифленая платформа выполнена из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Крышка стойки</li>
<li>Провод заземления</li>
<li>Платформа</li>
<li>4 болта М10</li>
<li>4 пластмассовых колпачка</li>
<li>2 винта М4</li>
<li>Предохранитель 250 мА</li>
<li>Кабельный обжим</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Вычитание массы тары из диапазона взвешивания</li>
<li>Режим дозирования</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Интерфейс RS-232C </li>
<li>Питание от сети через адаптер или от 6 батареек</li>
<li>Мембранная клавиатура</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",33223,220 В,0.4 кВт,420 мм,655 мм,710 мм,15 кг,Южная Корея,1,520x750x340 мм,19,https://entero.ru/manuals/40602/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20DL-150.pdf;https://entero.ru/manuals/402261/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20DL-150.pdf,,,14 кг,товарные,,платформенные,50 гр,370х500 мм,,Да,150 кг,,,
https://cdn.entero.ru/mp@2x/4a/41/4a41a15f6326d7e66bdb1cef9456f1b5.jpg;https://cdn.entero.ru/mp@2x/f0/39/f0395eff71900447ad9363694a4f49a9.jpg;https://cdn.entero.ru/mp@2x/a4/27/a42793300a5c6d018834fe28b871b4a4.jpg,Весы напольные CAS HD-150,Весы напольные CAS HD-150,15723,RUB,Да,CAS,Профоборудование,Весовое,Весы напольные,https://entero.ru/item/86723,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86723"">CAS HD-150</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем на стойке с возможностью поворота в двух плоскостях и автоматическим отключением.</p>

<p>Платформа выполнена из нержавеющей стали.</p>

<p>В комплект поставки входит аккумулятор.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Уравновешивание тары</li>
<li>Режим дозирования</li>
<li>Счетный режим (определение количества одинаковых предметов)</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Диапазон рабочих температур: от -10 до 40 °С</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Интерфейс RS-232</li>
</ul>",86723,220 В,,400 мм,630 мм,750 мм,22 кг,Южная Корея,1,890x530x190 мм,19,https://entero.ru/manuals/66441/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20HD-150.pdf;https://entero.ru/manuals/117753/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS.pdf;https://entero.ru/manuals/402241/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20CAS%20HD-150.pdf,16378,,15 кг,товарные,,платформенные,от 20 до 50 гр,400х500 мм,,Да,150 кг,0.4 кг,,
https://cdn.entero.ru/mp@2x/c0/66/c066b9ccb61571c50f9170adf6129f80.jpg,Весы напольные CAS DL-200,DL-200N,22501,RUB,Да,CAS,Профоборудование,Весовое,Весы напольные,https://entero.ru/item/33222,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33222"">CAS DL-200</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем на стойке, тензометрическим типом измерения, выражением массы в количестве изделий (счетный режим), усреднением показаний массы при нестабильной нагрузке, автоматической установкой нуля, автоматической регулировкой коэффициента усиления и индикацией разрядки батареи.</p>

<p>Рифленая платформа выполнена из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Крышка стойки</li>
<li>Провод заземления</li>
<li>Платформа</li>
<li>4 болта М10</li>
<li>4 пластмассовых колпачка</li>
<li>2 винта М4</li>
<li>Предохранитель 250 мА</li>
<li>Кабельный обжим</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Вычитание массы тары из диапазона взвешивания</li>
<li>Режим дозирования</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Интерфейс RS-232C </li>
<li>Питание от сети через адаптер или от 6 батареек</li>
<li>Мембранная клавиатура</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",33222,220 В,0.4 кВт,420 мм,655 мм,710 мм,15 кг,Южная Корея,1,520x750x340 мм,51,https://entero.ru/manuals/40603/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20DL-200.pdf;https://entero.ru/manuals/402260/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20DL-200.pdf,24195,,14 кг,товарные,,платформенные,100 гр,370х500 мм,,Да,200 кг,,,
https://cdn.entero.ru/mp@2x/ae/ad/aead094360d7c550cddb4aeea81779d4.jpg;https://cdn.entero.ru/mp@2x/f5/85/f58571885a999d56e23efd24d6440258.jpg,Весы напольные CAS DB-150H,DB-1H 150 / DB-1H (150 AS),21973,RUB,Да,CAS,Профоборудование,Весовое,Весы напольные,https://entero.ru/item/31828,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/31828"">CAS DB-150H</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена флуоресцентным дисплеем на стойке, тензометрическим типом измерения, усреднением показаний массы при нестабильной нагрузке и автоматической установкой нуля. Платформа выполнена из из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Заглушка стойки</li>
<li>Кабель RS-232</li>
<li>Провод заземления</li>
<li>2 болта с шестигранной головкой М6х1х100</li>
<li>2 шайбы плоских М6</li>
<li>2 гайки колпачковых под винт М6х1</li>
<li>3 винта самонарезающих М3х7</li>
<li>Винт М4х8</li>
<li>Предохранитель 250 мА</li>
<li>Кабельный обжим</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Выборка массы тары из диапазона взвешивания</li>
<li>Обнуление показаний в случае отклонения при пустой платформе</li>
<li>Двухдиапазонный режим взвешивания</li>
<li>Диагностика неисправностей</li>
<li>Интерфейс RS232C </li>
<li>Питание от сети</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Плоская платформа с защитной дугой Hobart</li>
<li>Принтер DEP-50 или DLP-50</li>
</ul>",31828,220 В,0.007 кВт,410 мм,680 мм,750 мм,16.8 кг,Южная Корея,1,520x750x340 мм,13,https://entero.ru/manuals/40804/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20DB-150H.pdf;https://entero.ru/manuals/402257/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20DB-150H.pdf,,,14 кг,товарные,,платформенные,от 20 до 50 гр,370х500 мм,,Да,150 кг,,,
https://cdn.entero.ru/mp@2x/e0/4c/e04c073a2b0b685678adbb07d353f8f2.jpg;https://cdn.entero.ru/mp@2x/ad/76/ad76ba6db9dfa25922d1695b21dc5caf.jpg;https://cdn.entero.ru/mp@2x/99/c0/99c077cc4db4161f069a5b5560eb02c4.jpg;https://cdn.entero.ru/mp@2x/a7/04/a704b87ec363bb92d1072dbf9298fa59.jpg;https://cdn.entero.ru/mp@2x/31/83/3183227a9b16c8d8621f5e1825ef68e9.jpg,Весы напольные CAS DL-100,DL-100N,22047,RUB,Да,CAS,Профоборудование,Весовое,Весы напольные,https://entero.ru/item/33224,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33224"">CAS DL-100</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем на стойке, тензометрическим типом измерения, выражением массы в количестве изделий (счетный режим), усреднением показаний массы при нестабильной нагрузке, автоматической установкой нуля, автоматической регулировкой коэффициента усиления и индикацией разрядки батареи.</p>

<p>Рифленая платформа выполнена из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Крышка стойки</li>
<li>Провод заземления</li>
<li>Платформа</li>
<li>4 болта М10</li>
<li>4 пластмассовых колпачка</li>
<li>2 винта М4</li>
<li>Предохранитель 250 мА</li>
<li>Кабельный обжим</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Вычитание массы тары из диапазона взвешивания</li>
<li>Режим дозирования</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Интерфейс RS-232C </li>
<li>Питание от сети через адаптер или от 6 батареек</li>
<li>Мембранная клавиатура</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",33224,220 В,0.4 кВт,410 мм,640 мм,750 мм,14.5 кг,Южная Корея,1,520x750x340 мм,7,https://entero.ru/manuals/40600/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20DL-100.pdf;https://entero.ru/manuals/402256/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20DL-100.pdf,23964,,12 кг,товарные,,платформенные,50 гр,300х410 мм,,,100 кг,,,
https://cdn.entero.ru/mp@2x/e0/71/e071e43b164ba87694fcf9f32718c53c.jpg;https://cdn.entero.ru/mp@2x/3f/c6/3fc6a4ae4c79b123c31c49ee208f030d.jpg;https://cdn.entero.ru/mp@2x/6f/3f/6f3facce090654e5d5c4588cf0b38b70.jpg;https://cdn.entero.ru/mp@2x/e7/f1/e7f13b4c0df674eca0eadf8a9248e87d.jpg,Весы напольные CAS PB-150,Весы напольные CAS PB-150,25434,RUB,Да,CAS,Профоборудование,Весовое,Весы напольные,https://entero.ru/item/41044,"<p>Напольные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/41044"">CAS PB-150</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем с подсветкой на витом шнуре, тензометрическим типом измерения, усреднением показаний массы при нестабильной нагрузке и индикацией разрядки батареи.</p>

<p>В комплект поставки входит адаптер питания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Выборка массы тары</li>
<li>Обнуление показаний в случае отклонения при пустой платформе</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Интерфейс RS232</li>
<li>Питание от сети через адаптер, от аккумулятора или батарей</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
<li>Длина шнура: 0,8-2 м</li>
<li>Рекомендуемая длина использования шнура: 1,7 м</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Аккумулятор повышенной емкости</li>
<li>Принтер DEP-50 </li>
</ul>",41044,220 В,,355 мм,611 мм,65 мм,8.5 кг,Южная Корея,1,770x490x150 мм,11,https://entero.ru/manuals/40810/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20PB-150.pdf;https://entero.ru/manuals/402248/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20PB-150.pdf;https://entero.ru/manuals/517465/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20CAS%20PB-150.png;https://entero.ru/manuals/517470/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D0%BF%D0%B0%D1%80%D0%B0%D0%BC%D0%B5%D1%82%D1%80%D1%8B%20%D0%BD%D0%B0%20CAS%20PB-150.jpg,,https://vk.com/video_ext.php?oid=-177656185&id=456239801&hd=2&autoplay=0,6.2 кг,товарные,,платформенные,от 20 до 50 гр,355х443 мм,,,150 кг,,,
https://cdn.entero.ru/mp@2x/b6/10/b610792ddaafdb7f4492442157c7e6b1.jpg;https://cdn.entero.ru/mp@2x/ae/86/ae865418fb92c2aaa1177adeb8d6ebdc.jpg;https://cdn.entero.ru/mp@2x/ea/b1/eab16fb392a357f8998575afb6450793.jpg,Весы электронные МАССА-К TB-M-150.2-A3,TB-M-150-A3 / ТВ-M- 150.2-А3,29684,RUB,Да,МАССА-К,Профоборудование,Весовое,Весы напольные,https://entero.ru/item/95643,"<p>Торговые весы<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/95643""><b class=""b""> МАССА-К ТВ-M-150.2-А3</b></a> используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модель оснащена ЖК-дисплеем, аккумулятором и ножками, регулирующимися по высоте. Платформа выполнена из нержавеющей стали, рама - из конструкционной стали.</p>

<p>В комплект поставки входит сетевой адаптер.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Совместимость с учетными системами:
<ul>
<li>Передача веса в учетные системы: 1С:Предприятие, Айтида, и др.</li>
<li>Передача веса на рабочее место кассира (ПК или POS-терминал) с помощью «АТОЛ: Драйвер электронных весов»</li>
<li>Передача веса в смарт-терминал ЭВОТОР с помощью ""Приложения ЭВОТОР""</li>
</ul>
</li>
<li>Счетный режим</li>
<li>Процентное взвешивание</li>
<li>Компараторный режим взвешивания (достижение заданного веса сопровождается звуковым и визуальным сигналами)</li>
<li>Подсчет суммарной массы товара</li>
<li>Дозаторный режим</li>
<li>Масса тары устанавливается нажатием кнопки «T»</li>
<li>Возможность подключения дозатора</li>
<li>Степень защиты терминала: IP54</li>
<li>Степень защиты взвешивающего модуля: IP67</li>
<li>Интерфейс связи: RS-232</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от -20 до 40 °С</li>
<li>Диапазон тарирования: 60 кг</li>
<li>Время работы от встроенного аккумулятора: 80 ч</li>
</ul>",95643,,,600 мм,927 мм,782 мм,,Россия,,,0,https://entero.ru/manuals/121960/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%BC%D0%BE%D0%B4%D1%83%D0%BB%D1%8C%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20TB-M-150.2-A3.pdf;https://entero.ru/manuals/121961/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20TB-M-150.2-A3.pdf;https://entero.ru/manuals/121962/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A.pdf;https://entero.ru/manuals/495505/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,30921,,34.5 кг,товарные,,платформенные,от 20 до 50 гр,600х800 мм,,Да,150 кг,0.4 кг,Да,
https://cdn.entero.ru/mp@2x/81/f4/81f4153ffe761190b59f355762121b60.jpg;https://cdn.entero.ru/mp@2x/c4/8e/c48e652b862faa3b2b8cb778a9cf73c0.jpg;https://cdn.entero.ru/mp@2x/ae/6d/ae6de48f2ddf92fc38da979b49c86cf1.jpg,Весы электронные МАССА-К TB-M-300.2-A3,TB-M-300-A3 / ТВ-M-300.2-А3 / ТВ-M- 300.2-А3,29684,RUB,Да,МАССА-К,Профоборудование,Весовое,Весы напольные,https://entero.ru/item/79025,"<p>Торговые весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79025""><b class=""b"">МАССА-К ТВ-M-300.2-А3</b></a> используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модель оснащена ЖК-дисплеем, аккумулятором и ножками, регулирующимися по высоте. Платформа выполнена из нержавеющей стали, рама - из конструкционной стали.</p>

<p>В комплект поставки входbт сетевой адаптер.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Совместимость с учетными системами:
<ul>
<li>Передача веса в учетные системы: 1С:Предприятие, Айтида, и др.</li>
<li>Передача веса на рабочее место кассира (ПК или POS-терминал) с помощью «АТОЛ: Драйвер электронных весов»</li>
<li>Передача веса в смарт-терминал ЭВОТОР с помощью ""Приложения ЭВОТОР""</li>
</ul>
</li>
<li>Счетный режим</li>
<li>Процентное взвешивание</li>
<li>Компараторный режим взвешивания (достижение заданного веса сопровождается звуковым и визуальным сигналами)</li>
<li>Подсчет суммарной массы товара</li>
<li>Дозаторный режим</li>
<li>Масса тары устанавливается нажатием кнопки «T»</li>
<li>Возможность подключения дозатора</li>
<li>Степень защиты терминала: IP54</li>
<li>Степень защиты взвешивающего модуля: IP67</li>
<li>Интерфейс связи: RS-232</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от -20 до 40 °С</li>
<li>Диапазон тарирования: 150 кг</li>
<li>Время работы от встроенного аккумулятора: 80 ч</li>
</ul>",79025,,,600 мм,927 мм,782 мм,,Россия,,,0,https://entero.ru/manuals/121963/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%BC%D0%BE%D0%B4%D1%83%D0%BB%D1%8C%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20TB-M-300.2-A3.pdf;https://entero.ru/manuals/121964/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20TB-M-300.2-A3.pdf;https://entero.ru/manuals/121965/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A.pdf;https://entero.ru/manuals/495506/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,31579,,34.5 кг,товарные,,платформенные,от 50 до 100 гр,600х800 мм,,Да,300 кг,1 кг,Да,
https://cdn.entero.ru/mp@2x/66/1f/661f39828832eae5f0ffa3ff59f4f7cb.jpg;https://cdn.entero.ru/mp@2x/e6/bf/e6bf8e3e137a56054691c477eca8a6e7.jpg,Весы напольные MAS ProMAS PM1E-150-4050,PM1E-150-4050,13735,RUB,Да,MAS,Профоборудование,Весовое,Весы напольные,https://entero.ru/item/104970,"<p>Напольные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/104970""><b class=""b"">MAS PM1E-150-4050 </b></a>используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модель оснащена мембранной влагостойкой клавиатурой и ярким светодиодным дисплеем. Платформа выполнена из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция компаратор (Hl-Ok-Lo)</li>
<li>Функция чистый / полный вес (Net / Gross)</li>
<li>Высокая скорость взвешивания</li>
<li>Счетный режим</li>
<li>Вычитание массы тары до 100% от максимальной нагрузки</li>
<li>Автоматическая установка нуля при включении</li>
<li>​Светодиодная подсветка дисплея с автоматическим уменьшением яркости</li>
<li>Комбинированное питание</li>
<li>Класс точности: III</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Цена поверочного деления, действительная цена деления: 20 г (от 0,4 до 60 кг) / 50 г (от 60 до 150 кг)</li>
<li>Диапазон рабочих температур: от -10 до 40 °С</li>
<li>Продолжительность работы от аккумулятора: до 120 часов</li>
<li>Размер символов дисплея: 25,4 мм</li>
</ul>

<p><b>Опции (заказываются отдельно)</b></p>

<ul>
<li>Интерфейс RS-232</li>
</ul>",104970,220 В,0.006 кВт,400 мм,600 мм,890 мм,13.5 кг,Россия,1,860x460x190 мм,6,https://entero.ru/manuals/495402/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MAS%20PM1E-150-4050.pdf;https://entero.ru/manuals/495459/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20ProMAS%20%D0%B4%D0%BE%2027.03.2027.pdf,14929,,,товарные,,платформенные,,400х500 мм,III,Да,150 кг,0.4 кг,,
https://cdn.entero.ru/mp@2x/f9/65/f96511139aab832276ca43bbfd47b44f.jpg;https://cdn.entero.ru/mp@2x/3f/2f/3f2fb754ac8c676972500aa8d1ad9cd2.jpg;https://cdn.entero.ru/mp@2x/ac/d7/acd781c5f4fa7632607cdbb73d077530.jpg,Весы торговые МАССА-К TB-S-200.2-A3,TB-S-200-A3,18847,RUB,Да,МАССА-К,Профоборудование,Весовое,Весы напольные,https://entero.ru/item/79026,"<p>Торговые весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/79026""><b class=""b"">МАССА-К TB-S-200.2-A3</b></a> используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модель оснащена ЖК-дисплеем, аккумулятором и ножками, регулирующимися по высоте. Платформа выполнена из нержавеющей стали, рама - из алюминиевоего сплава.</p>

<p>В комплект поставки входит сетевой адаптер.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Совместимость с учетными системами:
<ul>
<li>Передача веса в учетные системы: 1С:Предприятие, Айтида, и др.</li>
<li>Передача веса на рабочее место кассира (ПК или POS-терминал) с помощью «АТОЛ: Драйвер электронных весов»</li>
<li>Передача веса в смарт-терминал ЭВОТОР с помощью ""Приложения ЭВОТОР""</li>
</ul>
</li>
<li>Счетный режим</li>
<li>Процентное взвешивание</li>
<li>Компараторный режим взвешивания (достижение заданного веса сопровождается звуковым и визуальным сигналами)</li>
<li>Подсчет суммарной массы товара</li>
<li>Дозаторный режим</li>
<li>Масса тары устанавливается нажатием кнопки «T»</li>
<li>Возможность подключения дозатора</li>
<li>Степень защиты терминала: IP54</li>
<li>Степень защиты взвешивающего модуля: IP67</li>
<li>Интерфейс связи: RS-232</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от -20 до 40 °С</li>
<li>Диапазон тарирования: 60 кг</li>
<li>Время работы от встроенного аккумулятора: 80 ч</li>
<li>Размеры терминала: 260х105х55 мм</li>
</ul>",79026,220 В,0.006 кВт,400 мм,605 мм,800 мм,,Россия,,,0,https://entero.ru/manuals/121589/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20TB-S-200.2-A3.pdf,19632,,12.1 кг,товарные,,платформенные,от 20 до 50 гр,400х510 мм,,Да,200 кг,0.4 кг,,
