Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Дискретность,Наибольший предел взвешивания,Размеры платформы (ШxГ),Стойка,Дисплей,Влагозащищенность,Наименьший предел взвешивания,Печать этикеток
https://cdn.entero.ru/mp@2x/15/e9/15e9868f0c67ad2f6577ac2603886bbb.jpg,Весы порционные CAS SW-5,SW-1-5 / SW-I-5 / SW-1/5 (один дисплей) (SW-05),8266,RUB,Да,CAS,Профоборудование,Весовое,Весы настольные,https://entero.ru/item/47503,"<p>Порционные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47503""><b class=""b"">CAS SW-I-5</b></a> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем, тензометрическим типом измерения и усреднением показаний массы при нестабильной нагрузке и индикацией разрядки батареи.</p>

<p>Платформа выполнена из пластика.</p>

<p>В комплект поставки входит адаптер питания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Вычитание массы тары</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания через 9 минут</li>
<li>Питание от сети через адаптер или от батарей марганцевых / щелочных</li>
<li>Зарядка держится 500 / 1000 часов</li>
<li>Мембранная клавиатура</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
<li>Потребляемая мощность: 0,25 кВт</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Платформа из нержавеющей стали</li>
<li>Счетный режим и режим взвешивания (присутствует С)</li>
<li>Водонепроницаемый кожух из прозрачного пластика</li>
<li>Интерфейс RS-232 (присутствует RS232C) </li>
<li>Двухинтервальные весы (присутствует Dual)</li>
</ul>",47503,порционные,,,260 мм,287 мм,137 мм,3.7 кг,1,300x360x205 мм,655,https://entero.ru/manuals/41173/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20SW-5.pdf;https://entero.ru/manuals/402335/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20SW-5.pdf,,,2.7 кг,Южная Корея,Южная Корея,2 гр,5 кг,241х192 мм,,ЖК,,,
https://cdn.entero.ru/mp@2x/a8/bd/a8bd83a39f0b5afbce6e0832e31652a0.jpg;https://cdn.entero.ru/mp@2x/ea/e4/eae46502437889a24b715c190ab6d3c7.jpg,Весы порционные CAS AD-5,AD-05 1044,13779,RUB,Да,CAS,Профоборудование,Весовое,Весы настольные,https://entero.ru/item/30119,"<p>Порционные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/30119"">CAS AD-5</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена флуоресцентным дисплеем и тензометрическим типом измерения.</p>

<p>Платформа выполнена из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Вычитание массы тары из диапазона взвешивания</li>
<li>Обнуление показаний в случае дрейфа при пустой платформе</li>
<li>Диагностика неисправностей</li>
<li>Интерфейс RS-232С</li>
<li>Питание от сети через адаптер</li>
<li>Мембранная клавиатура</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",30119,порционные,220 В,0.007 кВт,352 мм,325 мм,95 мм,5.2 кг,1,510x400x220 мм,111,https://entero.ru/manuals/402420/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/481720/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20AD-5.pdf,14816,,4.7 кг,Южная Корея,Южная Корея,1 гр,5 кг,335х210 мм,,флуоресцентный,,,
https://cdn.entero.ru/mp@2x/13/d6/13d60638c37ad2c82fed71768446cadc.jpg,Весы порционные CAS SW-10,SW-I-10 / SW-1/10 (один дисплей) (SW-10),8266,RUB,Да,CAS,Профоборудование,Весовое,Весы настольные,https://entero.ru/item/31722,"<p>Порционные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/31722"">CAS SW-10</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем, тензометрическим типом измерения и усреднением показаний массы при нестабильной нагрузке и индикацией разрядки батареи.</p>

<p>Платформа выполнена из пластика.</p>

<p>В комплект поставки входит адаптер питания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Вычитание массы тары</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания через 9 минут</li>
<li>Питание от сети через адаптер или от батарей марганцевых / щелочных </li>
<li>Зарядка держится 500 / 1000 часов</li>
<li>Мембранная клавиатура</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Платформа из нержавеющей стали</li>
<li>Счетный режим и режим взвешивания (присутствует С)</li>
<li>Водонепроницаемый кожух из прозрачного пластика</li>
<li>Интерфейс RS-232 (присутствует RS232C) </li>
<li>Двухинтервальные весы (присутствует Dual)</li>
</ul>",31722,порционные,220 В,0.25 кВт,287 мм,260 мм,137 мм,3.7 кг,1,360x300x210 мм,441,https://entero.ru/manuals/40403/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20SW-10.pdf;https://entero.ru/manuals/402333/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20SW-10.pdf,,,2.7 кг,,Южная Корея,5 гр,10 кг,241х192 мм,,ЖК,Да,,
https://cdn.entero.ru/mp@2x/1e/cf/1ecf763dcf502cfa7517f9d56a012964.jpg,Весы порционные CAS AD-10,Весы порционные CAS AD-10,13779,RUB,Да,CAS,Профоборудование,Весовое,Весы настольные,https://entero.ru/item/31821,"<p>Порционные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/31821"">CAS AD-10</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена флуоресцентным дисплеем и тензометрическим типом измерения.</p>

<p>Платформа выполнена из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Вычитание массы тары из диапазона взвешивания</li>
<li>Обнуление показаний в случае дрейфа при пустой платформе</li>
<li>Диагностика неисправностей</li>
<li>Интерфейс RS-232С</li>
<li>Питание от сети через адаптер</li>
<li>Мембранная клавиатура</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",31821,порционные,220 В,0.007 кВт,352 мм,325 мм,95 мм,4.7 кг,1,390x510x215 мм,499,https://entero.ru/manuals/402421/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/481718/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20AD-10.pdf,,,4.1 кг,Южная Корея,Южная Корея,2 гр,10 кг,335х210 мм,,флуоресцентный,,,
https://cdn.entero.ru/mp@2x/a2/df/a2dfeba9c2b539da33d03b02f1e57703.jpg;https://cdn.entero.ru/mp@2x/2d/fc/2dfca6d66778a275ac923b45382b7581.jpg,Весы порционные CAS AD-25,Весы порционные CAS AD-25,13779,RUB,Да,CAS,Профоборудование,Весовое,Весы настольные,https://entero.ru/item/31823,"<p>Порционные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/31823"">CAS AD-25</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена флуоресцентным дисплеем и тензометрическим типом измерения.</p>

<p>Платформа выполнена из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Вычитание массы тары из диапазона взвешивания</li>
<li>Обнуление показаний в случае дрейфа при пустой платформе</li>
<li>Диагностика неисправностей</li>
<li>Интерфейс RS-232С</li>
<li>Питание от сети через адаптер</li>
<li>Мембранная клавиатура</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",31823,порционные,220 В,0.007 кВт,352 мм,325 мм,95 мм,4.7 кг,1,395x510x215 мм,133,https://entero.ru/manuals/402424/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/481716/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20AD-25.pdf,14659,,,Южная Корея,Южная Корея,5 гр,25 кг,335х210 мм,,флуоресцентный,,,
https://cdn.entero.ru/mp@2x/6d/fe/6dfeae8a689587d5c0196fa8e36178d9.jpg;https://cdn.entero.ru/mp@2x/e2/4a/e24a520398b8bdd198504d49bf35462b.jpg,Весы порционные MAS MASter MSC-05,MSC-5/ MSC-05,7851,RUB,Да,MAS,Профоборудование,Весовое,Весы настольные,https://entero.ru/item/94276,"<p>Порционные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94276""><b class=""b"">MAS MSC-05</b></a> используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модель оснащена мембранной влагостойкой клавиатурой и ярким ЖК-дисплеем с размером символов 23 мм. Платформа выполнена из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция компаратор (Hl-Ok-Lo)</li>
<li>Функция чистый / полный вес (Net / Gross)</li>
<li>Высокая скорость взвешивания</li>
<li>Счетный режим</li>
<li>Вычитание массы тары до 100% от максимальной нагрузки</li>
<li>Автоматическая установка нуля при включении</li>
<li>​Светодиодная подсветка дисплея с автоматическим уменьшением яркости</li>
<li>Пылевлагозащитный кожух</li>
<li>Класс точности: III</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Цена поверочного деления, действительная цена деления: 0,5 г (от 0,02 до 2,5 кг) / 1 г (от 2,5 до 5 кг)</li>
<li>Температурный режим: от -10 до 40 °С</li>
<li>Продолжительность работы от аккумулятора: до 120 часов</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Дополнительный индикатор на задней части корпуса</li>
</ul>",94276,порционные,220 В,0.006 кВт,305 мм,245 мм,100 мм,3 кг,1,360x290x140 мм,43,https://entero.ru/manuals/92202/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MAS%20MSC-05.pdf;https://entero.ru/manuals/495413/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20MASter%20%D0%B4%D0%BE%2027.03.2027.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241308&hash=7a29d3c0ee9aa2fd,,Россия,Россия,1 гр,5 кг,250х215 мм,,ЖК,Да,0.02 кг,
https://cdn.entero.ru/mp@2x/9e/6c/9e6c10a254d9421dbf16496a6084f7fb.jpg,Весы порционные CAS PW-5H,Весы порционные CAS PW-5H,14172,RUB,Да,CAS,Профоборудование,Весовое,Весы настольные,https://entero.ru/item/33227,"<p>Порционные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33227""><b class=""b"">CAS PW-5Н</b></a> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем, тензометрическим типом измерения, усреднением показаний массы при нестабильной нагрузке и индикацией разрядки батареи.</p>

<p>Корпус и платформа выполнены из нержавеющей стали.</p>

<p>В комплект поставки входит адаптер питания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Вычитание массы тары из диапазона взвешивания</li>
<li>Обнуление показаний в случае отклонения при пустой платформе</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания</li>
<li>Питание от сети через адаптер или от 6-ти батарей «AA»</li>
<li>Мембранная клавиатура</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>",33227,порционные,220 В,0.25 кВт,245 мм,225 мм,65 мм,2.7 кг,1,305x285x220 мм,135,https://entero.ru/manuals/40587/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20PW-5%D0%9D.pdf;https://entero.ru/manuals/402425/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,15239,,1.5 кг,Южная Корея,Южная Корея,1 гр,5 кг,220х150 мм,,ЖК,,,
https://cdn.entero.ru/mp@2x/70/bc/70bc726358eed5ea4794c96ac7d51c05.jpg,Весы порционные CAS SW-2,SW-I-2 / SW-1/2 (один дисплей) (SW-02),7440,RUB,Да,CAS,Профоборудование,Весовое,Весы настольные,https://entero.ru/item/29850,"<p>Порционные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/29850"">CAS SW-2</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем, тензометрическим типом измерения и усреднением показаний массы при нестабильной нагрузке и индикацией разрядки батареи.</p>

<p>Платформа выполнена из пластика.</p>

<p>В комплект поставки входит адаптер питания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Вычитание массы тары</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания через 9 минут</li>
<li>Питание от сети через адаптер или от батарей марганцевых / щелочных</li>
<li>Зарядка держится 500 / 1000 часов</li>
<li>Мембранная клавиатура</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Платформа из нержавеющей стали</li>
<li>Счетный режим и режим взвешивания (присутствует С)</li>
<li>Водонепроницаемый кожух из прозрачного пластика</li>
<li>Интерфейс RS-232 (присутствует RS232C) </li>
<li>Двухинтервальные весы (присутствует Dual)</li>
</ul>",29850,порционные,220 В,0.25 кВт,260 мм,287 мм,137 мм,3.7 кг,1,300x360x205 мм,554,https://entero.ru/manuals/40388/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20SW-2.pdf;https://entero.ru/manuals/402331/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20SW-2.pdf,8266,,2.7 кг,Южная Корея,Южная Корея,1 гр,2 кг,241х192 мм,,ЖК,,,
https://cdn.entero.ru/mp@2x/97/f1/97f1373712d6c85a592dd5554e5b09c8.jpg,Весы порционные CAS SW-20,SW-I-20 / SW-1/20 (один дисплей) (SW-20),8266,RUB,Да,CAS,Профоборудование,Весовое,Весы настольные,https://entero.ru/item/38119,"<p>Порционные весы <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/38119"">CAS SW-20</a></b> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем, тензометрическим типом измерения и усреднением показаний массы при нестабильной нагрузке и индикацией разрядки батареи.</p>

<p>Платформа выполнена из пластика.</p>

<p>В комплект поставки входит адаптер питания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Класс точности: средний</li>
<li>Вычитание массы тары</li>
<li>Диагностика неисправностей</li>
<li>Автоматическое выключение в случае отсутствия взвешивания через 9 минут</li>
<li>Питание от сети через адаптер или от батарей марганцевых / щелочных</li>
<li>Зарядка держится 500 / 1000 часов</li>
<li>Мембранная клавиатура</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температурный режим: от -10 до 40 °С</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Платформа из нержавеющей стали</li>
<li>Счетный режим и режим взвешивания (присутствует С)</li>
<li>Водонепроницаемый кожух из прозрачного пластика</li>
<li>Интерфейс RS-232 (присутствует RS232C) </li>
<li>Двухинтервальные весы (присутствует Dual)</li>
</ul>",38119,порционные,220 В,0.25 кВт,287 мм,260 мм,137 мм,3.7 кг,1,300x360x205 мм,233,https://entero.ru/manuals/40404/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20SW-20.pdf;https://entero.ru/manuals/402334/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20SW-20.pdf,,,2.7 кг,Южная Корея,Южная Корея,10 гр,20 кг,241х192 мм,,ЖК,,,
https://cdn.entero.ru/mp@2x/60/75/6075c9037ef788e6e26071b527b99fae.jpg,Весы порционные CAS SWN-6 с АКБ,A8602,9240,RUB,Да,CAS,Профоборудование,Весовое,Весы настольные,https://entero.ru/item/124984,"<p>Порционные весы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124984""><b class=""b"">CAS SWN-6</b></a> используются на предприятиях общественного питания и торговли. Модель оснащена жидкокристаллическим дисплеем на корпусе и грязезащитным кожухом. Платформа выполнена из высокопрочного пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Уравновешивание тары</li>
<li>Взвешивание нестабильных грузов</li>
<li>Высокая точность измерений</li>
<li>Питание от сети через адаптер / встроенного аккумулятора / алкалиновых батарей</li>
<li>Зарядка держится 300 часов</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Диапазон рабочих температур: от -10 до 40 °С</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Интерфейс RS-232</li>
<li>USB-порт</li>
<li>Дублирующий дисплей на задней стенке</li>
<li>Платформа из нержавеющей стали</li>
</ul>",124984,порционные,220 В,,245 мм,280 мм,110 мм,3.4 кг,1,300x360x205 мм,0,https://entero.ru/manuals/134358/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20SWN-6.pdf;https://entero.ru/manuals/134359/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20CAS.pdf;https://entero.ru/manuals/402352/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BD%D0%B0%20CAS%20SWN-6%20%D1%81%20%D0%90%D0%9A%D0%91.pdf,,,2.4 кг,Южная Корея,Южная Корея,2 гр,6 кг,226х187 мм,,ЖК,,0.02 кг,
