Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Мощность,Ширина,Глубина,Высота,Вес,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Дискретность,Размеры платформы (ШxГ),Максимальный предел взвешивания,Минимальный диапазон взвешивания
https://cdn.entero.ru/mp@2x/0e/43/0e4301b17bccc5e4ba840ae2bc5abb06.jpg,Модуль взвешивающий МАССА-К 4D-PM-15/12-2000,4D-PМ-15/12-2000 4D-PМ-3-2000,63461,RUB,Да,МАССА-К,Профоборудование,Весовое,Модули взвешивающие,https://entero.ru/item/121300,"<p>Взвешивающий модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121300"">МАССА-К 4D-PM-15/12-2000</a> </b>используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модель оснащена ножками, регулирующимися по высоте. Модуль выполнен из конструкционной стали.</p>

<p>В комплект поставки входит кабель длиной 5 м.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Метрологические характеристики соответствуют среднему классу точности</li>
<li>Степень защиты взвешивающего модуля: IP68</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от -30 до 40 °С</li>
<li>Диапазон тарирования: 2000 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",121300,промышленные напольные,,1500 мм,1200 мм,95 мм,,0,https://entero.ru/manuals/126344/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%204D-PM-3-2000.pdf;https://entero.ru/manuals/505868/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,67512,110.4 кг,Россия,Россия,500 гр,1500х1200 мм,2000 кг,10 кг
https://cdn.entero.ru/mp@2x/94/f1/94f14f35e0422f57b24cc2322e1418c8.jpg;https://cdn.entero.ru/mp@2x/c7/76/c77640fb3d8be33a1f7ce089a6f0f9e4.jpg;https://cdn.entero.ru/mp@2x/fa/7d/fa7d7c897452fa259537001aede322bc.jpg;https://cdn.entero.ru/mp@2x/3f/ff/3fff4d87f54d5a050cc4f71062dbb49c.jpg,Модуль взвешивающий МАССА-К МК-6.2-UA,50375,8576,RUB,Да,МАССА-К,Профоборудование,Весовое,Модули взвешивающие,https://entero.ru/item/184517,"<p>Взвешивающий модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184517"">МАССА-К МК-6.2-UA</a> </b>используются на предприятиях общественного питания и торговли для измерения массы товаров и передачи веса внешним устройствам (весовым терминалам, компьютерам, кассовым аппаратам, POS-терминалам, различным устройствам автоматизации производственных процессов). Модель оснащена ножками, регулирующимися по высоте. Платформа выполнена из нержавеющей стали, рама - из алюминиевого сплава.</p>

<p>В комплект поставки входит весовой адаптер USB/MK, TB.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Средний класс точности</li>
<li>Питание и управление модулем с помощью внешнего устройства</li>
<li>Программа ""МАССА-К: Весовой терминал 100"" для подключения к ПК или ноутбуку</li>
<li>Передача веса в учетные системы: 1С:Предприятие, Айтида и другие</li>
<li>Передача веса на рабочее место кассира (ПК или POS-терминал): ""АТОЛ: драйвер электронных весов""</li>
<li>Передача веса в чек Касс: ЭВАТОР, Кассатка, Дримкас и другие</li>
<li>Степень защиты взвешивающего модуля: IP67</li>
<li>Разъемы для подключения к ПК, POS и SMART-терминалам: USB</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от 0 до 40 °С</li>
<li>Диапазон тарирования: 3 кг</li>
<li>Количество цифровых датчиков взвешивания: 1 шт.</li>
</ul>",184517,настольные,0.0002 кВт,340 мм,250 мм,60 мм,,0,https://entero.ru/manuals/214321/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20MK-6.2-UA.pdf;https://entero.ru/manuals/214322/%D0%9C%D0%B5%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D1%81%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82.pdf;https://entero.ru/manuals/505739/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,5 кг,Россия,Россия,от 1 до 2 гр,336х240 мм,6 кг,0.02 кг
https://cdn.entero.ru/mp@2x/9f/5d/9f5da650fd5edd022568f16deaadc55e.jpg;https://cdn.entero.ru/mp@2x/ea/2f/ea2f14ce40949f80ab5561048928c085.jpg,Модуль взвешивающий МАССА-К TB-S-60.2-1,ТВ-S- 60.2_1,13239,RUB,Да,МАССА-К,Профоборудование,Весовое,Модули взвешивающие,https://entero.ru/item/121265,"<p>Взвешивающий модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121265"">МАССА-К TB-S-60.2-1</a> </b>используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модель оснащена ножками, регулирующимися по высоте. Платформа выполнена из нержавеющей стали, рама - из алюминиевоего сплава.</p>

<p>В комплект поставки входит кабель длиной 5 м.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Метрологические характеристики соответствуют среднему классу точности</li>
<li>Степень защиты взвешивающего модуля: IP67</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от -20 до 40 °С</li>
<li>Диапазон тарирования: 30 кг</li>
</ul>",121265,товарные,,520 мм,395 мм,95 мм,,0,https://entero.ru/manuals/126231/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20TB-S-60.2-1.pdf;https://entero.ru/manuals/505850/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,8.2 кг,Россия,Россия,от 10 до 20 гр,520х395 мм,60 кг,0.2 кг
https://cdn.entero.ru/mp@2x/3b/78/3b78c792ab011c7cc5cfad8798638f21.jpg;https://cdn.entero.ru/mp@2x/de/44/de4418c79e307969a6c988d936b332e8.jpg,Модуль взвешивающий МАССА-К TB-M-60.2-1,ТВ-М- 60.2_1 / ТВ-M-60.2-1,24959,RUB,Да,МАССА-К,Профоборудование,Весовое,Модули взвешивающие,https://entero.ru/item/121275,"<p>Взвешивающий модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121275"">МАССА-К TB-M-60.2-1</a> </b>используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модель оснащена ножками, регулирующимися по высоте. Платформа выполнена из нержавеющей стали, рама - из конструкционной стали.</p>

<p>В комплект поставки входит кабель длиной 5 м.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Метрологические характеристики соответствуют среднему классу точности</li>
<li>Степень защиты взвешивающего модуля: IP67</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от -20 до 40 °С</li>
<li>Диапазон тарирования: 30 кг</li>
</ul>",121275,товарные,,600 мм,800 мм,162 мм,,0,https://entero.ru/manuals/126241/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20TB-M-60.2-1.pdf;https://entero.ru/manuals/505829/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,27129,32.1 кг,Россия,Россия,от 10 до 20 гр,600х800 мм,60 кг,0.2 кг
https://cdn.entero.ru/mp@2x/d3/c7/d3c727c3de4d24c3b489ef280f610b1b.jpg;https://cdn.entero.ru/mp@2x/ca/21/ca212b858b55d687d2c123bd3e72b18f.jpg;https://cdn.entero.ru/mp@2x/9e/e5/9ee50b2a0683866d9bc81e4d8f069aa3.jpg,Модуль взвешивающий МАССА-К TB-S-60.2-3,ТВ-S-60.2_3,16226,RUB,Да,МАССА-К,Профоборудование,Весовое,Модули взвешивающие,https://entero.ru/item/121271,"<p>Взвешивающий модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121271"">МАССА-К TB-S-60.2-3</a> </b>используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модель оснащена ножками, регулирующимися по высоте. Платформа выполнена из нержавеющей стали, рама - из алюминиевоего сплава.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Метрологические характеристики соответствуют среднему классу точности</li>
<li>Степень защиты взвешивающего модуля: IP67</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от -20 до 40 °С</li>
<li>Диапазон тарирования: 30 кг</li>
</ul>",121271,товарные,,520 мм,395 мм,765 мм,,0,https://entero.ru/manuals/126237/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20TB-S-60.2-3.pdf;https://entero.ru/manuals/505862/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,17262,11 кг,Россия,Россия,от 10 до 20 гр,520х395 мм,60 кг,0.2 кг
https://cdn.entero.ru/mp@2x/bf/4b/bf4b3de47e63a4a21e9383a3e808b076.jpg;https://cdn.entero.ru/mp@2x/6c/a4/6ca4e506c34a8b91cdbe3ce16ec362a1.jpg,Модуль взвешивающий МАССА-К TB-M-150.2-1,ТВ-М- 150.2_1 / ТВ-M-150.2-1,24959,RUB,Да,МАССА-К,Профоборудование,Весовое,Модули взвешивающие,https://entero.ru/item/121276,"<p>Взвешивающий модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121276"">МАССА-К TB-M-150.2-1</a> </b>используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модель оснащена ножками, регулирующимися по высоте. Платформа выполнена из нержавеющей стали, рама - из конструкционной стали.</p>

<p>В комплект поставки входит кабель длиной 5 м.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Метрологические характеристики соответствуют среднему классу точности</li>
<li>Степень защиты взвешивающего модуля: IP67</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от -20 до 40 °С</li>
<li>Диапазон тарирования: 60 кг</li>
</ul>",121276,товарные,,600 мм,800 мм,162 мм,,0,https://entero.ru/manuals/126246/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20TB-M-150.2-1.pdf;https://entero.ru/manuals/505832/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,25999,32.1 кг,Россия,Россия,от 20 до 50 гр,600х800 мм,150 кг,0.4 кг
https://cdn.entero.ru/mp@2x/1d/cb/1dcbb16d060771b8fb408d40921c6aff.jpg;https://cdn.entero.ru/mp@2x/79/66/79660b6b582b2af8402740ea1d965e6d.jpg,Модуль взвешивающий МАССА-К ТВ-5040N-200.2-1,59080,34725,RUB,Да,МАССА-К,Профоборудование,Весовое,Модули взвешивающие,https://entero.ru/item/184853,"<p>Взвешивающий модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184853"">МАССА-К ТВ-5040N-200.2-1</a> </b>используются на предприятиях общественного питания и торговли для измерения массы товаров и передачи веса внешним устройствам (весовым терминалам, компьютерам, кассовым аппаратам, POS-терминалам, различным устройствам автоматизации производственных процессов). Модель оснащена ножками, регулирующимися по высоте. Платформа, рама и цифровой датчик взвешивания выполнены из нержавеющей стали.</p>

<p>В комплект поставки входит кабель удлинительный (5м).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Средний класс точности</li>
<li>Питание и управление модулем с помощью внешнего устройства</li>
<li>Подключение к различным типам весовых терминалов ""МАССА-К"": простые, с печатью этикеток и терминалы сбора данных</li>
<li>Программа ""МАССА-К: Весовой терминал 100"" для подключения к ПК</li>
<li>Подключение к ПК через ""Весовой адаптер USB, МК, ТВ""</li>
<li>Степень защиты взвешивающего модуля: IP67</li>
<li>Возможность использования в условиях повышенной влажности</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от -20 до 40 °С</li>
<li>Диапазон тарирования: 60 кг</li>
<li>Количество цифровых датчиков взвешивания: 1 шт.</li>
</ul>",184853,товарные,,500 мм,400 мм,126 мм,,0,https://entero.ru/manuals/214810/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20%D0%A2%D0%92-5040N-200.2-1.pdf;https://entero.ru/manuals/214811/%D0%9C%D0%B5%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D1%81%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82.pdf;https://entero.ru/manuals/214813/%D0%9F%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%20%D0%BC%D0%BE%D0%B4%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%B9.pdf;https://entero.ru/manuals/505844/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,37339,14.1 кг,Россия,Россия,от 20 до 50 гр,500х400 мм,200 кг,0.4 кг
https://cdn.entero.ru/mp@2x/f7/37/f7374be08aefefa390f5ed6925e64d9a.jpg,Модуль взвешивающий МАССА-К 4D-LM-10/10-1000,4D-LM-2-1000,52921,RUB,Да,МАССА-К,Профоборудование,Весовое,Модули взвешивающие,https://entero.ru/item/121358,"<p>Взвешивающий модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121358"">МАССА-К 4D-LM-10/10-1000</a> </b>используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модуль выполнен из конструкционной стали.</p>

<p>В комплект поставки входит кабель длиной 5 м.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Метрологические характеристики соответствуют среднему классу точности</li>
<li>Степень защиты взвешивающего модуля: IP68</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от -30 до 40 °С</li>
<li>Диапазон тарирования: 1000 кг</li>
<li>Высота наката: 45 мм</li>
</ul>",121358,промышленные напольные,,1400 мм,1160 мм,90 мм,,0,https://entero.ru/manuals/126441/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%204D-LM-2-1000.pdf;https://entero.ru/manuals/505327/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,86 кг,Россия,Россия,200 гр,1000х1000 мм,1000 кг,4 кг
https://cdn.entero.ru/mp@2x/67/19/6719e3c82b48e922713176cbe106b49f.jpg,Модуль взвешивающий МАССА-К 4D-LA-10/10-1000,40867,78106,RUB,Да,МАССА-К,Профоборудование,Весовое,Модули взвешивающие,https://entero.ru/item/121323,"<p>Взвешивающий модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/121323"">МАССА-К 4D-LA-10/10-1000</a> </b>используются на предприятиях общественного питания и торговли для точного взвешивания различных товаров и продуктов питания. Модуль выполнен из конструкционной стали.</p>

<p>В комплект поставки входит кабель длиной 5 м.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Метрологические характеристики соответствуют среднему классу точности</li>
<li>Степень защиты взвешивающего модуля: IP68</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от -30 до 40 °С</li>
<li>Диапазон тарирования: 1000 кг</li>
<li>Высота наката: 45 мм</li>
</ul>",121323,промышленные напольные,,1615 мм,1230 мм,95 мм,,0,https://entero.ru/manuals/126368/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%204D-LA-2-1000.pdf;https://entero.ru/manuals/505459/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,82217,103 кг,Россия,Россия,200 гр,1000х1000 мм,1000 кг,4 кг
https://cdn.entero.ru/mp@2x/d6/66/d6662d087ec3847e5f0702ddb2bd12ce.jpg;https://cdn.entero.ru/mp@2x/8f/eb/8feb358df58224337382ee3d76d28a08.jpg;https://cdn.entero.ru/mp@2x/f5/f4/f5f41e68ec8f089417f15936f2beb335.jpg;https://cdn.entero.ru/mp@2x/1c/1b/1c1b53f26b07489c6bc4d6c98a710741.jpg,Модуль взвешивающий МАССА-К МК-32.2-UA,50377,8576,RUB,Да,МАССА-К,Профоборудование,Весовое,Модули взвешивающие,https://entero.ru/item/184573,"<p>Взвешивающий модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184573"">МАССА-К МК-32.2-UA</a> </b>используются на предприятиях общественного питания и торговли для измерения массы товаров и передачи веса внешним устройствам (весовым терминалам, компьютерам, кассовым аппаратам, POS-терминалам, различным устройствам автоматизации производственных процессов). Модель оснащена ножками, регулирующимися по высоте. Платформа выполнена из нержавеющей стали, рама - из алюминиевого сплава.</p>

<p>В комплект поставки входит весовой адаптер USB/MK, TB.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Средний класс точности</li>
<li>Питание и управление модулем с помощью внешнего устройства</li>
<li>Программа ""МАССА-К: Весовой терминал 100"" для подключения к ПК или ноутбуку</li>
<li>Передача веса в учетные системы: 1С:Предприятие, Айтида и другие</li>
<li>Передача веса на рабочее место кассира (ПК или POS-терминал): ""АТОЛ: драйвер электронных весов""</li>
<li>Передача веса в чек Касс: ЭВАТОР, Кассатка, Дримкас и другие</li>
<li>Степень защиты взвешивающего модуля: IP67</li>
<li>Разъемы для подключения к ПК, POS и SMART-терминалам: USB</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: от 0 до 40 °С</li>
<li>Диапазон тарирования: 15 кг</li>
<li>Количество цифровых датчиков взвешивания: 1 шт.</li>
</ul>",184573,настольные,0.0002 кВт,340 мм,250 мм,60 мм,,0,https://entero.ru/manuals/214402/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9C%D0%90%D0%A1%D0%A1%D0%90-%D0%9A%20MK-32.2-UA.pdf;https://entero.ru/manuals/214403/%D0%9C%D0%B5%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D1%81%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82.pdf;https://entero.ru/manuals/505740/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,5 кг,Россия,Россия,от 5 до 10 гр,336х240 мм,32 кг,0.1 кг
