Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Родина бренда
https://cdn.entero.ru/mp@2x/18/f0/18f0043c83869c17b8a20ed8bd8e4ca6.jpg,Ложки сферические в наборе 100% Chef Spherification Spoons Kit,Ложки сферические в наборе 100% Chef Spherification Spoons Kit,1869,RUB,Нет,Профоборудование,Для баров,Bubble Tea,https://entero.ru/item/373260,"<p>Сферические ложки <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373260"">100% Chef Spherification Spoons Kit</a> </b>применяется на предприятиях общественного питания и торговли для создания сфер, используемых в приготовлении напитка Bubble Tea. Изделия выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят 4 круглых мерных ложки.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем ложек: 1,25 мл, 2,5 мл, 5 мл, 15 мл</li>
</ul>",373260,,,,0,,,
https://cdn.entero.ru/mp@2x/04/ce/04ce49cf51746df4303642778ab30e85.jpg;https://cdn.entero.ru/mp@2x/d9/66/d9667b7e682d9dabaa6766d71721a1cf.jpg;https://cdn.entero.ru/mp@2x/70/00/7000b89ba38c32fc8d7755c725dd298f.jpg;https://cdn.entero.ru/mp@2x/7b/ab/7bab85939c92e82f0d56cdd508dec838.jpg;https://cdn.entero.ru/mp@2x/e2/93/e293f44269075d6d928d9fa89922899b.jpg,Дозатор 100% Chef Reverse Sphere,20/0006,8253,RUB,Нет,Профоборудование,Для баров,Bubble Tea,https://entero.ru/item/373239,"<p>Дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373239"">100% Chef Reverse Sphere</a></b> применяется на предприятиях общественного питания и торговли для создания сфер, используемых в приготовлении напитка Bubble Tea. Изделие выполнено из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Прямая и обратная сферификация</li>
<li>3 размера сфер: 6 мм, 8 мм, 10 мм</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 100 шт/мин</li>
<li>Объем бутыли: 0,5 л</li>
</ul>",373239,,,,0,,,Испания
https://cdn.entero.ru/mp@2x/9a/7f/9a7fae7341ee1a9c381f4c1ee821666f.jpg;https://cdn.entero.ru/mp@2x/ac/e7/ace7b34b1c4aa1b7f8f6ea8a62445069.jpg;https://cdn.entero.ru/mp@2x/dc/c2/dcc28c33a671e5d24caea6ec3e414046.jpg;https://cdn.entero.ru/mp@2x/72/dc/72dcddb7cd7e3545f3d9eadaf3b809f2.jpg;https://cdn.entero.ru/mp@2x/db/08/db08ed4bb10451bd002ecefff8c8574e.jpg,Инструмент для создания сфер 100% Chef Caviar Box,20/0002,16478,RUB,Нет,Профоборудование,Для баров,Bubble Tea,https://entero.ru/item/373243,"<p>Инструмент <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373243"">100% Chef Caviar Box</a></b> применяется на предприятиях общественного питания и торговли для создания сфер, используемых в приготовлении напитка Bubble Tea. Изделие выполнено из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Простота применения </li>
<li>Возможность мыть в посудомоечной машине</li>
<li>Малый вес</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 96 шт/сек</li>
</ul>",373243,160 мм,120 мм,60 мм,0,https://entero.ru/manuals/500843/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20100%25%20Chef%20Caviar%20Box%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,17165,Испания
https://cdn.entero.ru/mp@2x/38/73/3873a791a3edb89b44247b063c6a51f2.jpg;https://cdn.entero.ru/mp@2x/09/c1/09c1cfc6947b8d8000bf054f9f064b0b.jpg;https://cdn.entero.ru/mp@2x/24/9f/249fb12afd5d47a144ac8286a97c5c65.jpg;https://cdn.entero.ru/mp@2x/c5/f5/c5f57ef8edf545e02787978c96104b97.jpg;https://cdn.entero.ru/mp@2x/9d/47/9d4751e8e8309c0a367a74f14c1b9d27.jpg,Станция сферификации 100% Chef Wonder Bubbles,30/3023,119283,RUB,Нет,Профоборудование,Для баров,Bubble Tea,https://entero.ru/item/373223,"<p>Станция <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373223"">100% Chef Wonder Bubbles</a></b> применяется на предприятиях общественного питания и торговли для создания сфер, используемых в приготовлении напитка Bubble Tea. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрое производство: до 200 сфер в мин.</li>
<li>3 размера сфер</li>
<li>Универсальность: подходит для напитков, десертов и изысканных блюд</li>
</ul>",373223,300 мм,220 мм,60 мм,0,https://entero.ru/manuals/500812/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20100%25%20Chef%20Wonder%20Bubbles%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,Испания
https://cdn.entero.ru/mp@2x/39/f3/39f3eb0274798664d4cdc1cce244bfb9.jpg;https://cdn.entero.ru/mp@2x/fa/5f/fa5f34314b657a3a483f828153e7ea93.jpg;https://cdn.entero.ru/mp@2x/45/98/45985f4e189c1098a16d9830edfe63e2.jpg;https://cdn.entero.ru/mp@2x/cb/b7/cbb7d79685b2de9150aeea20208bbc49.jpg,Сферификатор 100% Chef Spherificator,20/0005,458401,RUB,Нет,Профоборудование,Для баров,Bubble Tea,https://entero.ru/item/373238,"<p>Полуавтоматический сферификатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373238"">100% Chef Spherificator</a></b> применяется на предприятиях общественного питания и торговли для создания сфер, используемых в приготовлении напитка Bubble Tea. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Обратная сферификация</li>
<li>4 размера сфер: 4 мм, 6 мм, 8 мм, 10 мм</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 2 кг/час</li>
</ul>",373238,360 мм,360 мм,660 мм,0,https://entero.ru/manuals/500834/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20100%25%20Chef%20Spherificator%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,492904,Испания
https://cdn.entero.ru/mp@2x/39/dd/39dd61de671eddd98b2b8b7a714a7144.jpg,Жидкость для создания сфер 100% Chef Wonder Water,Жидкость для создания сфер 100% Chef Wonder Water,1572,RUB,Нет,Профоборудование,Для баров,Bubble Tea,https://entero.ru/item/373232,"<p>Жидкость <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373232"">100% Chef Wonder Water</a></b> используется совместно со станцией <a href=""https://entero.ru/item/373223?attempt=1"" target=""_blank"">Wonder Bubbles</a> для создания сфер Bubble Tea на предприятиях общественного питания и торговли.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 1 л</li>
</ul>",373232,,,,0,,,
https://cdn.entero.ru/mp@2x/09/3b/093bdc8f865d9e4c2377ce1f09f58aa9.jpg;https://cdn.entero.ru/mp@2x/25/bd/25bd6d5c681f0febdd8ec61b157f9912.jpg,Жидкость для создания сфер 100% Chef Wonderpotion Chocolate,Жидкость для создания сфер 100% Chef Wonderpotion Chocolate,2009,RUB,Нет,Профоборудование,Для баров,Bubble Tea,https://entero.ru/item/373234,"<p>Жидкость <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373234"">100% Chef Wonderpotion Chocolate</a></b> используется совместно со станцией <a href=""https://entero.ru/item/373223?attempt=1"" target=""_blank"">Wonder Bubbles</a> для создания сфер Bubble Tea со вкусом шоколада на предприятиях общественного питания и торговли.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 0,5 л</li>
</ul>",373234,,,,0,,,
https://cdn.entero.ru/mp@2x/38/c1/38c181f0680f42abe2983466730249b8.jpg;https://cdn.entero.ru/mp@2x/df/9d/df9d73515cc63ee31b14d0b6cd65c59c.jpg,Жидкость для создания сфер 100% Chef Wonderpotion Strawberry,Жидкость для создания сфер 100% Chef Wonderpotion Strawberry,2009,RUB,Нет,Профоборудование,Для баров,Bubble Tea,https://entero.ru/item/373236,"<p>Жидкость <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373236"">100% Chef Wonderpotion Strawberry</a></b> используется совместно со станцией <a href=""https://entero.ru/item/373223?attempt=1"" target=""_blank"">Wonder Bubbles</a> для создания сфер Bubble Tea со вкусом клубники на предприятиях общественного питания и торговли.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 0,5 л</li>
</ul>",373236,,,,0,,,
https://cdn.entero.ru/mp@2x/f6/ed/f6ed7fe8bec760730c12c44f2fbd1574.jpg;https://cdn.entero.ru/mp@2x/d8/2e/d82e136961a6669eb71e74dd80fde23b.jpg,Жидкость для создания сфер 100% Chef Wonderpotion Spearmint,Жидкость для создания сфер 100% Chef Wonderpotion Spearmint,2009,RUB,Нет,Профоборудование,Для баров,Bubble Tea,https://entero.ru/item/373241,"<p>Жидкость <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373241"">100% Chef Wonderpotion Spearmint</a></b> используется совместно со станцией <a href=""https://entero.ru/item/373223?attempt=1"" target=""_blank"">Wonder Bubbles</a> для создания сфер Bubble Tea со вкусом мяты на предприятиях общественного питания и торговли.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 0,5 л</li>
</ul>",373241,,,,0,,,
https://cdn.entero.ru/mp@2x/6d/9b/6d9bdb718f24e56d51da7f3a57f20264.jpg,Жидкость для создания сфер 100% Chef Wonderpotion Caramel,Жидкость для создания сфер 100% Chef Wonderpotion Caramel,2009,RUB,Нет,Профоборудование,Для баров,Bubble Tea,https://entero.ru/item/373242,"<p>Жидкость <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373242""><b class=""b"">100% Chef Wonderpotion Caramel</b></a> используется совместно со станцией <a href=""https://entero.ru/item/373223?attempt=1"" target=""_blank"">Wonder Bubbles</a> для создания сфер Bubble Tea со вкусом карамели на предприятиях общественного питания и торговли.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 0,5 л</li>
</ul>",373242,,,,0,,,
