Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Оснащение,Тип дверей,Столешница,Угловой
https://cdn.entero.ru/mp@2x/f8/8a/f88ad249ecaefac8119e420d09185985.jpg,Стол под мусорный бак HICOLD НБММБ-4/7БВ,288883,33869,RUB,Да,HICOLD,Профоборудование,Для баров,Барные модули,https://entero.ru/item/173046,"<p>Стол под мусорный бак​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173046"">HICOLD НБММБ-4/7БВ</a></b> используется на предприятиях общественного питания и торговли для комплектации барных стоек. Модель оснащена выдвижной секцией для мусорного бака с верхним фартуком-вертушкой. Корпус выполнен из нержавеющей стали AISI 430, столешница - из нержавеющей стали AISI 430 толщиной 1 мм и усилена ДСП.</p>

<p>Изделие поставляется в сборе.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота борта: 50 мм</li>
<li>Габариты в упаковке: 400х700х900 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Замена стандартной столешницы на увеличенную столешницу (глубина на 100 мм больше)</li>
<li>Замена стандартной столешницы на столешницу без борта</li>
<li>Увеличенный корпус - полезный объем корпуса увеличивается при неизменных внешних габаритах</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",173046,стол под мусорный бак,400 мм,700 мм,850 мм,35 кг,Россия,1,400x700x900 мм,0,https://entero.ru/manuals/215245/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/215246/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD%202021.pdf,,,,,без дверей,с бортом,
https://cdn.entero.ru/mp@2x/53/c3/53c37aa30e02dc51002d0310aa618552.jpg,Стол под мусорный бак HICOLD НБММБ-4/7Б,288880,32379,RUB,Да,HICOLD,Профоборудование,Для баров,Барные модули,https://entero.ru/item/35606,"<p>Стол под мусорный бак​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/35606"">HICOLD НБММБ-4/7Б</a></b> используется на предприятиях общественного питания и торговли для комплектации барных стоек. Модель оснащена выдвижной секцией для мусорного бака. Корпус выполнен из нержавеющей стали AISI 430, столешница - из нержавеющей стали AISI 430 толщиной 1 мм и усилена ДСП.</p>

<p>Изделие поставляется в сборе.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота борта: 50 мм</li>
<li>Габариты в упаковке: 400х700х900 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Замена стандартной столешницы на увеличенную столешницу (глубина на 100 мм больше)</li>
<li>Замена стандартной столешницы на столешницу без борта</li>
<li>Увеличенный корпус - полезный объем корпуса увеличивается при неизменных внешних габаритах</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",35606,стол под мусорный бак,400 мм,700 мм,850 мм,,Россия,,,0,https://entero.ru/manuals/215251/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/215252/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD%202021.pdf,35195,,,,без дверей,с бортом,
https://cdn.entero.ru/mp@2x/32/1b/321beeac5c6694c1c45f30ebfc5ffeae.jpg,Стол под мусорный бак HICOLD НБММБ-4/6БВ,288881,30865,RUB,Да,HICOLD,Профоборудование,Для баров,Барные модули,https://entero.ru/item/123873,"<p>Стол под мусорный бак​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123873"">HICOLD НБММБ-4/6БВ</a></b> используется на предприятиях общественного питания и торговли для комплектации барных стоек. Модель оснащена выдвижной секцией для мусорного бака с верхним фартуком-вертушкой. Корпус выполнен из нержавеющей стали AISI 430, столешница - из нержавеющей стали AISI 430 толщиной 1 мм и усилена ДСП.</p>

<p>Изделие поставляется в сборе.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота борта: 50 мм</li>
<li>Габариты в упаковке: 400х600х900 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Замена стандартной столешницы на увеличенную столешницу (глубина на 100 мм больше)</li>
<li>Замена стандартной столешницы на столешницу без борта</li>
<li>Увеличенный корпус - полезный объем корпуса увеличивается при неизменных внешних габаритах</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",123873,стол под мусорный бак,400 мм,600 мм,850 мм,,Россия,,,0,https://entero.ru/manuals/215243/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/215244/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD%202021.pdf,32835,,,,без дверей,с бортом,
https://cdn.entero.ru/mp@2x/52/99/5299a10d12b530c3da45f81f52ddf368.jpg,Стол закрытый с мойкой HICOLD НБМСЗМ-6/6Б,289389,39772,RUB,Да,HICOLD,Профоборудование,Для баров,Барные модули,https://entero.ru/item/204449,"<p>Стол закрытый <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/204449"">HICOLD НБМСЗМ-6/6Б</a></b> предназначен для комплектации барных стоек на предприятиях общественного питания и торговли. Корпус выполнен из нержавеющей стали AISI430, столешница - из нержавеющей стали AISI430 толщиной 1 мм, усиленной ребрами жесткости.</p>

<p>Модель поставляется в собранном виде.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Размеры ванны: 500x400x250 мм</li>
<li>Высота борта: 50 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Увеличенная на 100 мм глубина столешницы</li>
<li>Столешница без борта</li>
<li>Увеличенный объем корпуса</li>
</ul>

<p><br><em><span style=""color:#FF0000;"">Внимание! Изображение на фото приведено в ознакомительных целях и может отличаться от оригинала.</span></em></p>",204449,стол закрытый,600 мм,600 мм,850 мм,,Россия,,,0,,,,,,распашные,с бортом,
https://cdn.entero.ru/mp@2x/0b/0e/0b0e95f742cbd3ab5b516f94c4d7df65.jpg,Барная станция Restoinox БСНМО-15/7-ПК,Барная станция Restoinox БСНМО-15/7-ПК,70542,RUB,Да,Restoinox,Профоборудование,Для баров,Барные модули,https://entero.ru/item/159050,"<p>Барная станция <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/159050"">Restoinox БСНМО-15/7-ПК</a></b> предназначена для организации барного места на предприятиях общественного питания и торговли.Модель оснащена 2 сварными мойками, сплошной полкой, фартуком с 3-х сторон и регулируемыми по высоте пластиковыми опорами. Ножки выполнены из квадратной трубы 40х40 мм нержавеющей стали AISI 430, столешница, мойки и фартук - из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Съемный карман для бутылок</li>
<li>Встроенный омыватель стаканов</li>
<li>Одна из моек теплоизолированная и разделенная на 6 частей съемными перегородками</li>
<li>Отверстие под смеситель</li>
<li>Перфорированные вставки</li>
<li>Сварная конструкция</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры моек:
<ul>
<li>Мойка 1: 300х300х200 мм</li>
<li>Мойка 2 (теплоизолированная): 1030х488х270 мм</li>
</ul>
</li>
<li>Толщина стали: 
<ul>
<li>Ножки: 1,2 мм</li>
<li>Мойки: 0,8 мм</li>
</ul>
</li>
</ul>",159050,барная станция,1500 мм,700 мм,850 мм,,Россия,,,0,https://entero.ru/manuals/509332/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,75045,,,,,без борта,
https://cdn.entero.ru/mp@2x/75/96/7596e70d89696dce2759fd67642b7611.jpg;https://cdn.entero.ru/mp@2x/7d/7f/7d7fd31a2830cce5a25255c4822e0f4e.jpg;https://cdn.entero.ru/mp@2x/f5/6e/f56e35338c1482260745b54c75eddf95.jpg;https://cdn.entero.ru/mp@2x/88/c7/88c7a884117e6af0f73172785590bf83.jpg,Пристенная тумба Клен 1000 мм,Пристенная тумба Клен 1000 мм,25133,RUB,Да,,Профоборудование,Для баров,Барные модули,https://entero.ru/item/268217,"<p>Пристенная тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/268217""><b class=""b"">Клен 1000 мм</b></a> используется на предприятиях общественного питания для оснащения барной зоны. Модель оснащена фурнитурой ведущих мировых производителей. Корпус выполнен из ЛДСП толщиной 16 мм и 25 мм.</p>

<p>Модульные барные стойки собираются как конструктор - из отдельных элементов. Детали легко компонуются между собой и подходят под любую планировку помещения. </p>

<p><b>Стандартные цвета корпуса:</b></p>

<ul>
<li>Венге Цаво Kronospan 3354 PR</li>
<li>Орех Гварнери Kronospan 9455 PR</li>
<li>Акация Лэйклэнд светлая EGGER H1277 ST9</li>
</ul>

<p><b>Стандартные цвета столешниц:</b></p>

<ul>
<li>Венге</li>
<li>Риголетто светлый</li>
<li>Дуглас темный</li>
</ul>

<p> </p>

<p><em>Возможно изготовление в других цветах и из других материалов, для расчета стоимости необходимо обратиться к менеджеру.</em></p>",268217,"нейтральный модуль, стол закрытый",1000 мм,520 мм,850 мм,,Россия,,,0,https://entero.ru/manuals/331093/%D0%A1%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%D0%BD%D1%8B%D0%B5%20%D1%86%D0%B2%D0%B5%D1%82%D0%B0%20%D0%BA%D0%BE%D1%80%D0%BF%D1%83%D1%81%D0%B0.jpg;https://entero.ru/manuals/331094/%D0%A1%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%D0%BD%D1%8B%D0%B5%20%D1%86%D0%B2%D0%B5%D1%82%D0%B0%20%D1%81%D1%82%D0%BE%D0%BB%D0%B5%D1%88%D0%BD%D0%B8%D1%86.jpg,27025,,,,распашные,без борта,
https://cdn.entero.ru/mp@2x/07/63/07637634ebb6ed1d9b96dacb23e479dd.jpg,Стол под мусорный бак HICOLD НБМДСО-4/6Б,284100,32172,RUB,Да,HICOLD,Профоборудование,Для баров,Барные модули,https://entero.ru/item/185441,"<p>Стол под мусорный бак​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/185441"">HICOLD НБМДСО-4/6Б</a></b> используется на предприятиях общественного питания и торговли для комплектации барных стоек. Модель оснащена отверстием для сбора отходов. Корпус выполнен из нержавеющей стали AISI 430, столешница - из нержавеющей стали AISI 430 толщиной 1 мм и усилена ребрами жесткости.</p>

<p>Изделие поставляется в сборе.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр отверстия: 225 мм</li>
<li>Высота борта: 50 мм</li>
<li>Габариты в упаковке: 400х600х900 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Замена стандартной столешницы на увеличенную столешницу (глубина на 100 мм больше)</li>
<li>Замена стандартной столешницы на столешницу без борта</li>
<li>Увеличенный корпус - полезный объем корпуса увеличивается при неизменных внешних габаритах</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",185441,стол под мусорный бак,400 мм,600 мм,850 мм,,Россия,,,0,https://entero.ru/manuals/215256/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/215257/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD%202021.pdf,34970,,,,распашные,с бортом,
https://cdn.entero.ru/mp@2x/16/56/16560a0591a5076379fc5f380443888f.jpg,Ликерная лестница Restoinox БСЛБ-5/6-Б,Ликерная лестница Restoinox БСЛБ-5/6-Б,23707,RUB,Да,Restoinox,Профоборудование,Для баров,Барные модули,https://entero.ru/item/219673,"<p>Барный модуль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/219673"">Restoinox БСЛБ-5/6-Б</a></b> предназначен для хранения бутылок на предприятиях общественного питания и торговли. Модель оснащена нишей, бортом и 4 регулируемыми по высоте ножками. Ножки выполнены из квадратной трубы 40х40 мм нержавеющей стали AISI 430, корпус - из нержавеющей стали AISI 430, задняя стенка - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Ниша со стороны оператора</li>
<li>Полка в виде лестницы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота борта: 50 мм</li>
<li>Рекомендуемый интервал регулировки: 50 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",219673,ликерная лестница,500 мм,600 мм,850 мм,,Россия,,,0,,,,,,без дверей,с бортом,
https://cdn.entero.ru/mp@2x/49/4e/494e092fa6f8ec6f33222575ceb816a7.jpg;https://cdn.entero.ru/mp@2x/4c/9e/4c9ec2fa01939db4f1d83c070fb470cd.jpg;https://cdn.entero.ru/mp@2x/0e/04/0e040614af1307731678293c5c3bc6f9.jpg,Пристенная тумба Клен 1000 мм с мойкой,Пристенная тумба Клен 1000 мм с мойкой,46248,RUB,Да,,Профоборудование,Для баров,Барные модули,https://entero.ru/item/268213,"<p>Пристенная тумба <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/268213""><b class=""b"">Клен 1000 мм</b></a> используется на предприятиях общественного питания для оснащения барной зоны. Модель оснащена фурнитурой ведущих мировых производителей. Корпус выполнен из ЛДСП толщиной 16 мм и 25 мм, мойка - из нержавеющей стали.</p>

<p>Модульные барные стойки собираются как конструктор - из отдельных элементов. Детали легко компонуются между собой и подходят под любую планировку помещения. </p>

<p><b>Стандартные цвета корпуса:</b></p>

<ul>
<li>Венге Цаво Kronospan 3354 PR</li>
<li>Орех Гварнери Kronospan 9455 PR</li>
<li>Акация Лэйклэнд светлая EGGER H1277 ST9</li>
</ul>

<p><b>Стандартные цвета столешниц:</b></p>

<ul>
<li>Венге</li>
<li>Риголетто светлый</li>
<li>Дуглас темный</li>
</ul>

<p> </p>

<p><em>Возможно изготовление в других цветах и из других материалов, для расчета стоимости необходимо обратиться к менеджеру.</em></p>",268213,"нейтральный модуль, стол закрытый",1000 мм,520 мм,850 мм,,Россия,,,0,https://entero.ru/manuals/331090/%D0%A1%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%D0%BD%D1%8B%D0%B5%20%D1%86%D0%B2%D0%B5%D1%82%D0%B0%20%D0%BA%D0%BE%D1%80%D0%BF%D1%83%D1%81%D0%B0.jpg;https://entero.ru/manuals/331091/%D0%A1%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%D0%BD%D1%8B%D0%B5%20%D1%86%D0%B2%D0%B5%D1%82%D0%B0%20%D1%81%D1%82%D0%BE%D0%BB%D0%B5%D1%88%D0%BD%D0%B8%D1%86.jpg,49200,,,,распашные,без борта,
https://cdn.entero.ru/mp@2x/b5/12/b51266b1df71408aa4adf7c51b9c16d4.jpg;https://cdn.entero.ru/mp@2x/21/ce/21ce155fe3e339c88e2a079104908831.jpg;https://cdn.entero.ru/mp@2x/cc/21/cc21d857910e65c035c99a5b28c1e8c7.jpg;https://cdn.entero.ru/mp@2x/bc/e3/bce3a9bde378026ee6acba431887f392.jpg;https://cdn.entero.ru/mp@2x/e0/6a/e06ac3cc355fba77301461322214a002.jpg;https://cdn.entero.ru/mp@2x/31/7f/317f68bc829dff2fd7dc6bba8f3aad99.jpg;https://cdn.entero.ru/mp@2x/03/9d/039daa8fda13f7eadff6d51b6800aa30.jpg;https://cdn.entero.ru/mp@2x/41/86/4186ac082d70eaf9757367727b6a2555.jpg;https://cdn.entero.ru/mp@2x/43/c3/43c3064a02daa31f876af6bf623ada96.jpg;https://cdn.entero.ru/mp@2x/27/1e/271e1137feee5ddafffd35ad8936ed18.jpg,Пристенный модуль барной стойки Luxstahl 1000 мм с подсветкой,Пристенный модуль барной стойки Luxstahl 1000 мм с подсветкой,46561,RUB,Да,Luxstahl,Профоборудование,Для баров,Барные модули,https://entero.ru/item/268210,"<p>Пристенный модуль барной стойки <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/268210""><b class=""b"">Luxstahl 1000 мм </b></a>используется на предприятиях общественного питания для размещения алкоголя, различных напитков, временного хранения посуды и барного инвентаря. Модель оснащена врезными светильниками и фурнитурой ведущих мировых производителей. Корпус выполнен из ЛДСП толщиной 16 мм и 25 мм, задняя стенка - из металлизированного пластика.</p>

<p>Модульные барные стойки собираются как конструктор - из отдельных элементов. Детали легко компонуются между собой и подходят под любую планировку помещения. </p>

<p><b>Стандартные цвета корпуса:</b></p>

<ul>
<li>Венге Цаво Kronospan 3354 PR</li>
<li>Орех Гварнери Kronospan 9455 PR</li>
<li>Акация Лэйклэнд светлая EGGER H1277 ST9</li>
</ul>

<p><b>Стандартные цвета столешниц:</b></p>

<ul>
<li>Венге</li>
<li>Риголетто светлый</li>
<li>Дуглас темный</li>
</ul>

<p> </p>

<p><em>Возможно изготовление в других цветах и из других материалов, для расчета стоимости необходимо обратиться к менеджеру.</em></p>",268210,нейтральный модуль,1000 мм,520 мм,2140 мм,,Россия,,,0,https://entero.ru/manuals/331086/%D0%A1%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%D0%BD%D1%8B%D0%B5%20%D1%86%D0%B2%D0%B5%D1%82%D0%B0%20%D0%BA%D0%BE%D1%80%D0%BF%D1%83%D1%81%D0%B0.jpg;https://entero.ru/manuals/331087/%D0%A1%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82%D0%BD%D1%8B%D0%B5%20%D1%86%D0%B2%D0%B5%D1%82%D0%B0%20%D1%81%D1%82%D0%BE%D0%BB%D0%B5%D1%88%D0%BD%D0%B8%D1%86.jpg;https://entero.ru/manuals/331089/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%9A%D0%BB%D0%B5%D0%BD%201000%20%D0%BC%D0%BC.jpg,50066,,,,распашные,,
