Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Количество емкостей,Объем емкости
https://cdn.entero.ru/mp@2x/2d/41/2d41321d1d8098b67cd1a373815edde5.jpg,Диспенсер для сухих продуктов Sunnex U13-1200,Диспенсер для сухих продуктов Sunnex U13-1200,18957,RUB,Да,,Профоборудование,Для баров,Диспенсеры для мюсли,https://entero.ru/item/310299,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/310299"">Sunnex U13-1200</a> </b>используется на предприятиях общественного питания и в домашних условиях для порционной раздачи сыпучих продуктов, таких как мюсли или кукурузные хлопья. Модель состоит из 2 емкостей с рукоятками и подставки. Изделия выполнены из прозрачного материала. </p>",310299,,,,,,,0,,19747,5.1 кг,,Китай,,2,4 л
https://cdn.entero.ru/mp@2x/a2/0d/a20d340ceee987bbd3da14b93f71a72f.jpg,Диспенсер для сухих продуктов Sunnex U13-1100,Диспенсер для сухих продуктов Sunnex U13-1100,9320,RUB,Да,,Профоборудование,Для баров,Диспенсеры для мюсли,https://entero.ru/item/310300,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/310300"">Sunnex U13-1100</a> </b>используется на предприятиях общественного питания и в домашних условиях для порционной раздачи сыпучих продуктов, таких как мюсли или кукурузные хлопья. Модель состоит из емкости с рукояткой и подставки. Изделие выполнено из прозрачного материала.</p>",310300,,,,,,,0,,,2.55 кг,,Китай,,1,4 л
https://cdn.entero.ru/mp@2x/fb/a5/fba5860d5b11483ad2c651b3ba4cc870.jpg,Диспенсер для сухих продуктов Sunnex U20-1000 3 л,U20-1000,14637,RUB,Да,,Профоборудование,Для баров,Диспенсеры для мюсли,https://entero.ru/item/297767,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/297767""><b class=""b"">Sunnex U20-1000 </b></a>используется на предприятиях общественного питания и в домашних условиях для порционной раздачи сыпучих продуктов, таких как мюсли или кукурузные хлопья. Модель оснащена краном, крышкой и опорой с подставкой для тары. Опора, кран и крышка выполнены из металла с серебристой поверхностью, емкость – из прозрачного материала. </p>",297767,,,,,,,0,https://entero.ru/manuals/359303/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Sunnex.pdf,15910,,Китай,Китай,,1,3 л
https://cdn.entero.ru/mp@2x/20/a9/20a9358294a19ed5e339fc6441d6a193.jpg,Диспенсер для сыпучих продуктов Hurakan HKN-GPD353,216230,18591,RUB,Да,Hurakan,Профоборудование,Для баров,Диспенсеры для мюсли,https://entero.ru/item/130210,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130210"">Hurakan HKN-GPD353</a> </b>используется на предприятиях общественного питания и торговли для порционной раздачи сыпучих продуктов, таких как мюсли или кукурузные хлопья. Модель оснащена 3 емкостями. Корпус выполнен из нержавеющей стали, емкости - из поликарбоната. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем одной емкости: 3,5 л</li>
<li>Габариты: 500x240x650 мм</li>
<li>Габариты в упаковке: 330х515х245 мм</li>
<li>Вес: 5,3 кг</li>
<li>Вес в упаковке: 6 кг </li>
</ul>",130210,500 мм,240 мм,650 мм,5 кг,1,530x280x350 мм,0,https://entero.ru/manuals/416921/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GPD353.pdf;https://entero.ru/manuals/416922/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/495043/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,19569,,Китай,Китай,,3,
https://cdn.entero.ru/mp@2x/f0/ad/f0adc7ba165355a61f95d22e358c254b.jpg,Диспенсер для сухих продуктов Sunnex U13-1300,Диспенсер для сухих продуктов Sunnex U13-1300,23939,RUB,Да,,Профоборудование,Для баров,Диспенсеры для мюсли,https://entero.ru/item/310298,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/310298"">Sunnex U13-1300</a> </b>используется на предприятиях общественного питания и в домашних условиях для порционной раздачи сыпучих продуктов, таких как мюсли или кукурузные хлопья. Модель состоит из 3 емкостей с рукоятками и подставки. Изделия выполнены из прозрачного материала. </p>",310298,,,,,,,0,,25199,7.6 кг,,Китай,,3,4 л
https://cdn.entero.ru/mp@2x/5c/6c/5c6cd0c7d1a3257fa3f874e53b73536e.jpg,Диспенсер для сыпучих продуктов Hurakan HKN-GPD351,216228,7422,RUB,Да,Hurakan,Профоборудование,Для баров,Диспенсеры для мюсли,https://entero.ru/item/130205,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130205"">Hurakan HKN-GPD351</a> </b>используется на предприятиях общественного питания и торговли для порционной раздачи сыпучих продуктов, таких как мюсли или кукурузные хлопья. Модель оснащена 1 емкостью. Корпус выполнен из нержавеющей стали, емкость - из поликарбоната. </p>",130205,200 мм,240 мм,650 мм,2 кг,1,210x380x350 мм,8,https://entero.ru/manuals/416917/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GPD351.pdf;https://entero.ru/manuals/416918/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/495041/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,2.6 кг,,Китай,,1,3.5 л
https://cdn.entero.ru/mp@2x/59/31/59318a81e78db50a9a165024790595d4.jpg,Диспенсер для мюсли EKSI 90133,Диспенсер для мюсли EKSI 90133,8274,RUB,Да,EKSI,Профоборудование,Для баров,Диспенсеры для мюсли,https://entero.ru/item/88125,"<p>Диспенсер для мюсли <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88125""><b class=""b"">EKSI 90133</b></a> используется на предприятиях общественного питания и торговли. Корпус выполнен из полированной нержавеющей стали и пластика.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 7 л</li>
<li>Габариты: 360х230х630 мм</li>
</ul>",88125,360 мм,230 мм,630 мм,,,,0,,,,,,,,
https://cdn.entero.ru/mp@2x/20/89/20896c95c8af7497b15dd2f7ff56ee0d.jpg,Диспенсер для мюсли APS 11805,Диспенсер для мюсли APS 11805,14969,RUB,Да,APS,Профоборудование,Для баров,Диспенсеры для мюсли,https://entero.ru/item/308314,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/308314""><b class=""b"">APS 11805 </b></a>используется на предприятиях общественного питания и торговли для порционной раздачи сыпучих продуктов, таких как мюсли или кукурузные хлопья. Модель оснащена съемным контейнером. Корпус выполнен из нержавеющей стали, емкость - из поликарбоната.</p>",308314,220 мм,175 мм,520 мм,,,,0,,16096,1.56 кг,,Германия,,1,4.5 л
https://cdn.entero.ru/mp@2x/bb/52/bb52a1e0594fd614b28ee109bad41d9d.jpg,Диспенсер для сухих продуктов Sunnex x23677 7 л,x23677,16437,RUB,Да,,Профоборудование,Для баров,Диспенсеры для мюсли,https://entero.ru/item/297766,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/297766""><b class=""b"">Sunnex x23677 </b></a>используется на предприятиях общественного питания и в домашних условиях для порционной раздачи сыпучих продуктов, таких как мюсли или кукурузные хлопья. Модель оснащена краном, крышкой и опорой с подставкой для тары. Опора, кран и крышка выполнены из металла с серебристой поверхностью, емкость – из прозрачного материала. </p>",297766,,,,,,,0,https://entero.ru/manuals/359302/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Sunnex.pdf,,3.17 кг,Китай,Китай,,1,7 л
https://cdn.entero.ru/mp@2x/a6/54/a6540f944d0d253a1b3c30b343c81ff9.jpg,Диспенсер для мюсли Paderno 41401-60,Диспенсер для мюсли Paderno 41401-60,94219,RUB,Да,Paderno,Профоборудование,Для баров,Диспенсеры для мюсли,https://entero.ru/item/288461,"<p>Диспенсер для мюсли и других мелких сухих продуктов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/288461""><b class=""b"">Paderno 41401-60</b></a> используется на предприятиях общественного питания и торговли для хранения, демонстрации и последующей раздачи содержимого. Модель оснащена 6 вместительными емкостями круглой формы. Корпус и емкости выполнены из пластика, элементы корпуса-из нержавеющей стали.</p>",288461,,,,,,,0,,99178,13.8 кг,Италия,Италия,,6,
