Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Вес (с упаковкой),Количество емкостей,Объем емкости
https://cdn.entero.ru/mp@2x/43/3e/433e0bb37ac30131726e2ae09e1b356d.jpg,Диспенсер Hurakan HKN-DB83,163144,15884,RUB,Да,Hurakan,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/88171,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88171"">Hurakan HKN-DB83</a></b> используется на предприятиях общественного питания и торговли для самостоятельного розлива напитков посетителями. Модель оснащена 3 емкостями и отсеками для льда.</p>",88171,350 мм,820 мм,580 мм,9 кг,1,450x880x310 мм,44,https://entero.ru/manuals/416934/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-DB83.pdf;https://entero.ru/manuals/416935/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-DB83.pdf;https://entero.ru/manuals/416936/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/495052/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,17080,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241048&hash=442421a2956e14c9,7.7 кг,Китай,Китай,для холодных напитков,,3,8 л
https://cdn.entero.ru/mp@2x/41/f3/41f3f629e200570a3ba0767a7c38cced.jpg,Диспенсер Hurakan HKN-DB82,Диспенсер Hurakan HKN-DB82,11234,RUB,Да,Hurakan,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/88168,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88168"">Hurakan HKN-DB82</a></b> используется на предприятиях общественного питания и торговли для самостоятельного розлива напитков посетителями. Модель оснащена 2 емкостями и отсеками для льда.</p>",88168,350 мм,540 мм,580 мм,9 кг,1,750x880x320 мм,72,https://entero.ru/manuals/416932/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-DB82.pdf;https://entero.ru/manuals/416933/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453876/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-DB82.pdf;https://entero.ru/manuals/495051/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241048&hash=442421a2956e14c9,5.2 кг,,Китай,для холодных напитков,,2,8 л
https://cdn.entero.ru/mp@2x/72/6d/726d91fcc3d037d43e43e3c486ab4fdf.jpg;https://cdn.entero.ru/mp@2x/a0/96/a0963ba57e9f3d05bc773cd151a13467.jpg;https://cdn.entero.ru/mp@2x/fb/c2/fbc2cc009d24c79735d9aa2617fdce46.jpg;https://cdn.entero.ru/mp@2x/3a/3f/3a3f3f5135842d6a0f5472eb59f255a4.jpg,Диспенсер для сока VIATTO SJD08BA,Диспенсер для сока VIATTO SJD08BA,10622,RUB,Да,VIATTO,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/156960,"<p>Диспенсер для сока <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/156960"">VIATTO SJD08BA</a></b> используется на предприятиях общественного питания и торговли, а также при выездном обслуживании для порционного розлива сока и других холодных напитков. Корпус выполнен из нержавеющей стали, емкость - из прозрачного поликарбоната.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 585х380х530 мм</li>
</ul>",156960,560 мм,350 мм,580 мм,9 кг,1,380x585x540 мм,30,https://entero.ru/manuals/408944/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B5.pdf;https://entero.ru/manuals/525590/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,11300,,6.4 кг,,Китай,для холодных напитков,,2,8 л
https://cdn.entero.ru/mp@2x/ea/85/ea8597fd4151df5b3cacf0263deb773d.jpg,Диспенсер Hurakan HKN-DB81,163141,6916,RUB,Да,Hurakan,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/94231,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/94231"">Hurakan HKN-DB81</a></b> используется на предприятиях общественного питания и торговли для самостоятельного розлива напитков посетителями. Модель оснащена 1 емкостью и отсеком для льда.</p>",94231,350 мм,260 мм,580 мм,3 кг,1,450x280x320 мм,0,https://entero.ru/manuals/416927/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-DB81.pdf;https://entero.ru/manuals/416929/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453878/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-DB81.pdf;https://entero.ru/manuals/495050/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,2.6 кг,,Россия,для холодных напитков,,1,8 л
https://cdn.entero.ru/mp@2x/29/75/2975ed4e298ffc99754f524a9ebd2198.jpg,Диспенсер для холодных напитков P.L. Proff Cuisine HENAN XINGZHIHE 8 л,HENAN XINGZHIHE,3316,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/298169,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/298169""><b class=""b"">Sunnex HENAN XINGZHIHE</b></a> используется на предприятиях общественного питания и в домашних условиях для порционного розлива соков и других охлажденных напитков. Модель состоит из решетчатой подставки и прозрачной емкости с краном для розлива и съемной крышкой. Подставка выполнена из металла, емкость – из стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты:
<ul>
<li>Емкость: 140х140х315 мм</li>
<li>Подставка: 200х200х185 мм​<b>​</b></li>
</ul>
</li>
</ul>",298169,200 мм,200 мм,440 мм,,,,0,,,,2.93 кг,Китай,Китай,для холодных напитков,,1,8 л
https://cdn.entero.ru/mp@2x/e7/ae/e7aeae4ad632a11e0d23c4fabfd4678f.jpg,Диспенсер для сока MVQ AT90512,A3421,6110,RUB,Да,MVQ,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/101372,"<p>Диспенсер для сока <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/101372"">MVQ AT90512</a></b> используется на предприятиях общественного питания и торговли для порционного розлива соков и других охлажденных напитков. Корпус и крышка выполнены из нержавеющей стали, емкость - из пластика.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 8 л</li>
<li>Габариты: 350х260х580 мм</li>
<li>Вес с упаковкой: 4 кг</li>
</ul>",101372,350 мм,260 мм,580 мм,4 кг,1,365x275x477 мм,0,https://entero.ru/manuals/480948/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,Германия,для холодных напитков,,1,8 л
https://cdn.entero.ru/mp@2x/17/32/17326de38b691c44da4fb1b544ea9e0d.jpg,"Диспенсер для молока APS 10830, 3 литра",10830,63687,RUB,Да,APS,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/267879,"<p>Диспенсер для молока <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267879""><b class=""b"">APS 10830</b></a> используется совместно с кофемашинами и кофеварками на предприятиях общественного питания и торговли, в частных домах и квартирах для кратковременного хранения и охлаждения молока при приготовлении кофейных напитков. Модель оснащена встроенным каплесборником, удобной ручкой и краном для розлива. Изделие выполнено из пищевой нержавеющей стали с высоким качеством полировки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Нажимной кран для розлива</li>
<li>Встроенная подставка с каплесборником для чашки</li>
<li>Охладитель для поддержания температуры молока</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Способ установки: настольный</li>
<li>Объем резервуара: 3 л</li>
</ul>",267879,390 мм,320 мм,210 мм,,,,0,,,,2.99 кг,Германия,Германия,для холодных напитков,,1,3 л
https://cdn.entero.ru/mp@2x/16/8d/168d04adcbc7e17a83be960ec830fec1.jpg,Диспенсер для холодных напитков P.L. Proff Cuisine HENAN XINGZHIHE 5 л,HENAN XINGZHIHE,2550,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/298168,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/298168""><b class=""b"">Sunnex HENAN XINGZHIHE</b></a> используется на предприятиях общественного питания и в домашних условиях для порционного розлива соков и других охлажденных напитков. Модель состоит из решетчатой подставки и прозрачной емкости с краном для розлива и съемной крышкой. Подставка выполнена из металла, емкость – из стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты:
<ul>
<li>Емкость: 105х105х275 мм</li>
<li>Подставка: 180х180х180 мм​<b>​</b></li>
</ul>
</li>
</ul>",298168,180 мм,180 мм,395 мм,,,,0,,3643,,1.83 кг,Китай,Китай,для холодных напитков,,1,5 л
https://cdn.entero.ru/mp@2x/8f/da/8fdad92a58439e09777ff49a972a5706.jpg,Диспенсер для холодных напитков Sunnex X23588 5 л,Диспенсер для холодных напитков Sunnex X23588 5 л,13365,RUB,Да,,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/312121,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/312121""><b class=""b"">Sunnex X23588</b></a> используется на предприятиях общественного питания и в домашних условиях для порционного розлива соков и других охлажденных напитков. Модель оснащена прозрачной емкостью, краном для розлива, крышкой и опорой с подставкой для тары с каплесборником. Корпус и крышка выполнены из нержавеющей стали, емкость из - поликарбоната. </p>",312121,330 мм,220 мм,513 мм,,,,0,https://entero.ru/manuals/374316/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Sunnex.pdf,13922,,4.3 кг,Китай,Китай,для холодных напитков,,1,5 л
https://cdn.entero.ru/mp@2x/c8/82/c882ac3c139af1929199ea16dde2f824.jpg,Диспенсер для сока MVQ AT90512-2,A3422,18354,RUB,Да,MVQ,Профоборудование,Для баров,Диспенсеры для напитков,https://entero.ru/item/97467,"<p>Диспенсер для сока <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/97467"">MVQ AT90512-2</a></b> используется на предприятиях общественного питания и торговли для порционного розлива соков и других охлажденных напитков. Корпус и крышка выполнены из нержавеющей стали, емкость - из пластика.</p>",97467,540 мм,350 мм,580 мм,7.9 кг,1,555x365x477 мм,0,https://entero.ru/manuals/480969/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,Китай,для холодных напитков,,2,8 л
