Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Потребляемая мощность
https://cdn.entero.ru/mp@2x/e6/fb/e6fb97dd0962b8a5cbe573512be2d385.jpg;https://cdn.entero.ru/mp@2x/d3/42/d342f9bae32e000b765d490a6d26979f.jpg;https://cdn.entero.ru/mp@2x/76/3f/763f22f1b84dd45918382e925f5fa7e5.jpg,Измельчитель льда Hurakan HKN-TRGM,140647,8804,RUB,Да,Hurakan,Профоборудование,Для баров,Измельчители льда,https://entero.ru/item/45425,"<p>Измельчитель льда <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/45425"">Hurakan HKN-TRGM</a></b> используется на предприятиях общественного питания и торговли для дробления льда и получения ледяной крошки для коктейлей, алкогольных напитков, для декорирования блюд и т.д. Корпус выполнен из нержавеющей стали, загрузочный контейнер и чаша для льда - из пластика.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения: 1000 об/мин.</li>
<li>
Объем контейнера: 3 л
</li>
</ul>",45425,электрический,220 В,240 мм,170 мм,370 мм,4 кг,Китай,1,290x210x420 мм,187,https://entero.ru/manuals/65924/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-TRGM.pdf;https://entero.ru/manuals/65925/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-TRGM.pdf;https://entero.ru/manuals/415870/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/446256/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/453889/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-TRGM.pdf;https://entero.ru/manuals/468961/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-TRGM.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241011&hash=b53d396373cc7a35;https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241012&hash=8c976823abc471b5,3.16 кг,12 кг/час,0.08 кВт
https://cdn.entero.ru/mp@2x/27/84/27844905a1e49f74eda06623b3f71fd6.jpg;https://cdn.entero.ru/mp@2x/01/b4/01b4ecf13333bca58da030ff64d7128e.jpg,Измельчитель льда Airhot IC-2,Измельчитель льда Airhot IC-2,8004,RUB,Да,Airhot,Профоборудование,Для баров,Измельчители льда,https://entero.ru/item/355077,"<p>Настольный электрический измельчитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/355077"">Airhot IC-2</a></b> используется на предприятиях общественного питания и торговли для дробления льда с целью получения ледяной крошки для прохладительных напитков и коктейлей . Модель оснащена воронкообразным загрузочным бункером, лотком для готовой крошки и устойчивой базой с нескользящими опорами. Корпус выполнен из высококачественной нержавеющей стали, загрузочный бункер – из прозрачного поликарбоната, лоток для крошки – из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Выключатель на фронтальной панели</li>
<li>Компактные габариты для оптимизации пространства</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость лотка: около 12 чашек</li>
</ul>",355077,электрический,220 В,170 мм,220 мм,460 мм,9.5 кг,Китай,1,470x345x417 мм,0,https://entero.ru/manuals/457727/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IC-2.pdf;https://entero.ru/manuals/481725/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,3.6 кг,12 кг/час,0.08 кВт
https://cdn.entero.ru/mp@2x/1e/a7/1ea748be86b08888ce9244d35addfe6a.jpg;https://cdn.entero.ru/mp@2x/66/cc/66ccbed52a5aab44358591a7a048de8c.jpg;https://cdn.entero.ru/mp@2x/0b/06/0b066929f1c16699408d8a91242274aa.jpg;https://cdn.entero.ru/mp@2x/3d/69/3d699585bf9068111f3b13fa74bedc5c.jpg,Измельчитель льда Hurakan HKN-TR65,149965,5404,RUB,Да,Hurakan,Профоборудование,Для баров,Измельчители льда,https://entero.ru/item/73492,"<p>Измельчитель льда <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73492"">HURAKAN HKN-TR65</a> </b>используется на предприятиях общественного питания и торговли для дробления льда и получения ледяной крошки для коктейлей, алкогольных напитков, для декорирования блюд и т.д. Корпус выполнен из пластика, загрузочный контейнер и чаша для льда - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения: 2000 об/мин.</li>
<li>Объем контейнера: 0,7 л</li>
<li>Габариты в упаковке: 425х200х300 мм</li>
</ul>",73492,электрический,220 В,425 мм,200 мм,305 мм,5.5 кг,Китай,1,425x200x300 мм,44,https://entero.ru/manuals/65923/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-TR65.docx;https://entero.ru/manuals/415365/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-TR65.pdf;https://entero.ru/manuals/415366/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/415367/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241071&hash=dfe138fdf6170693,5 кг,65 кг/час,0.3 кВт
https://cdn.entero.ru/mp@2x/24/e0/24e0e72a99e245f08f3378e612a21840.jpg;https://cdn.entero.ru/mp@2x/c2/f2/c2f2e83bb52b4e1936d0678696415edd.jpg;https://cdn.entero.ru/mp@2x/45/29/4529894b81174284b9f8520d84c0bd4a.jpg;https://cdn.entero.ru/mp@2x/25/ad/25ad8b0d737a8ab6d8246c6fda0fd0f9.jpg;https://cdn.entero.ru/mp@2x/5b/fe/5bfe857f3ae3f91fb5f9b5670feddb87.jpg;https://cdn.entero.ru/mp@2x/c7/d2/c7d2dcca1bffdee04547e666ae4ff607.jpg;https://cdn.entero.ru/mp@2x/29/d6/29d629f32f4f6cf1db5a8c2a5ee602c7.jpg,Измельчитель льда INDOKOR IC-3L,Измельчитель льда INDOKOR IC-3L,28800,RUB,Да,INDOKOR,Профоборудование,Для баров,Измельчители льда,https://entero.ru/item/230721,"<p>Измельчитель льда <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/230721""><b class=""b"">INDOKOR IC-3L</b></a> используется на предприятиях общественного питания и торговли для дробления льда и получения ледяной крошки для коктейлей, алкогольных напитков, для декорирования блюд и т.д. Корпус выполнен из сверхпрочного алюминиевого сплава, чаша для льда и лезвие - из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность добавления продуктов в процессе работы</li>
<li>Компактная настольная модель</li>
<li>Прочное стальное лезвие</li>
<li>Высокая производительность</li>
<li>Вентилируемый двигатель с редуктором</li>
<li>Модель спроектирована и произведена в соответствии с международными стандартами безопасности и гигиены</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения: 1000 об/мин.</li>
<li>Объем контейнера: 3 л</li>
<li>Длина сетевого шнура: 173 см</li>
<li>Скорость измельчения одной порции: 60 сек</li>
</ul>",230721,электрический,220 В,197 мм,328 мм,533 мм,7 кг,Ю. Корея,1,255x385x580 мм,0,https://entero.ru/manuals/287279/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20INDOKOR%20IC-3L.pdf,30968,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456240984&hash=ec2d6fb34d43873b,5 кг,,0.2 кВт
https://cdn.entero.ru/mp@2x/07/70/0770185ea824018b225cc8d90a470ece.jpg;https://cdn.entero.ru/mp@2x/36/4f/364fcfcec47ba0531c9060919f4e9709.jpg,Измельчитель льда ROAL HK-109,Измельчитель льда ROAL HK-109,5039,RUB,Да,ROAL,Профоборудование,Для баров,Измельчители льда,https://entero.ru/item/284330,"<p>Измельчитель льда <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/284330"">ROAL HK-109</a> </b>используется на предприятиях общественного питания и торговли для дробления льда и получения ледяной крошки для коктейлей, алкогольных напитков и для декорирования блюд. Модель оснащена поддоном для дробленого льда.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения: 2200 об/мин.</li>
<li>Номинальная мощность: 0,3 кВт</li>
</ul>",284330,электрический,220 В,365 мм,150 мм,260 мм,,Китай,,,0,https://entero.ru/manuals/362708/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ROAL%20HK-109.pdf,5928,,,65 кг/час,
https://cdn.entero.ru/mp@2x/01/c5/01c5719c1fc6f0899e529d864edad362.jpg;https://cdn.entero.ru/mp@2x/58/03/58035b12ec9bce224621958e409d744e.jpg;https://cdn.entero.ru/mp@2x/14/0b/140b0e6655b0444511dfaa638d11a083.jpg,Измельчитель льда Sirman Nordkapp,60150002,47620,RUB,Да,Sirman,Профоборудование,Для баров,Измельчители льда,https://entero.ru/item/73854,"<p>Измельчитель льда <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/73854"">Sirman Nordkapp</a></b> используется на предприятиях общественного питания и торговли для дробления льда, используемого для приготовления напитков и мороженых соков, а также для экспозиции рыбы или свежих блюд. Модель оснащена двигателем с вентилятором с зубчатой передачей и микровыключателем на крышке для максимальной безопасности оператора.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Превращает в осколки любой кубик льда из льдогенератора при -3 °C</li>
<li>На выходе предусмотрена регулировка средней величиной осколков</li>
<li>Корпус из экструдированного алюминия</li>
<li>Стакан из нержавеющей стали</li>
<li>Рабочая горловина из ABS для пищевых продуктов</li>
<li>Ножи для дробления из стали</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения ножей: 800 об/мин.</li>
<li>Объем бункера для льда: 3 л</li>
<li>Максимальный размер загружаемого кубика льда: 40x40 мм</li>
<li>Габариты в упаковке: 410x280x560 мм</li>
</ul>",73854,электрический,220 В,205 мм,285 мм,491 мм,8 кг,Италия,1,280x410x560 мм,6,https://entero.ru/manuals/46766/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Sirman%20Nordkapp.pdf;https://entero.ru/manuals/46767/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Sirman%20Nordkapp.jpg;https://entero.ru/manuals/420022/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/72902/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Sirman%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,5.2 кг,,0.15 кВт
https://cdn.entero.ru/mp@2x/1d/4e/1d4e2a080b01a27f8cbea84a1689d179.jpg;https://cdn.entero.ru/mp@2x/af/99/af998a835a1c5e432eb49a1129ed9863.jpg;https://cdn.entero.ru/mp@2x/a6/c6/a6c64daf21455cb897cc22d23ef1dfec.jpg;https://cdn.entero.ru/mp@2x/ba/e9/bae9a10801531f96bd663016b797b8ab.jpg,Измельчитель льда FIMAR ROGM235M,ROGM 235 M 66966,58023,RUB,Да,FIMAR,Профоборудование,Для баров,Измельчители льда,https://entero.ru/item/43421,"<p>Измельчитель льда <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/43421"">FIMAR ROGM235M</a></b> используется на предприятиях общественного питания и торговли для дробления льда при приготовлении коктейлей кайпиринья, мохито и др. Модель оснащена микровыключателем на крышке и регулировкой размера кубиков льда. Корпус выполнен из окрашенного легкого алюминиевого сплава, стакан и ножевой блок - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем стакана: 3л</li>
<li>Скорость: 800 об/мин.</li>
<li>Габариты в упаковке: 300х300х530 мм</li>
<li>Объем упаковки: 0,047 м<sup>​3</sup></li>
</ul>",43421,электрический,220 В,210 мм,380 мм,490 мм,6 кг,Италия,1,300x300x530 мм,15,https://entero.ru/manuals/66708/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20FIMAR%20ROGM235M.pdf;https://entero.ru/manuals/24937/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20FIMAR%20ROGM235M.pdf;https://entero.ru/manuals/87420/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20FIMAR.pdf;https://entero.ru/manuals/376457/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/376458/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%81%D1%85%D0%B5%D0%BC%D0%B0.pdf;https://entero.ru/manuals/376459/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%B4%D0%BE%2009.02.2025%29.pdf,61077,,5 кг,120 кг/час,0.15 кВт
https://cdn.entero.ru/mp@2x/98/5b/985b832364919892b6d7f9b5314080f8.jpg;https://cdn.entero.ru/mp@2x/46/5a/465a7f10ddfd1d563bf553af102b6edd.jpg;https://cdn.entero.ru/mp@2x/cf/27/cf276fa82511efdb225782fb38c769bc.jpg;https://cdn.entero.ru/mp@2x/1a/a4/1aa421106130d9fade75d3d6a73f65f9.jpg;https://cdn.entero.ru/mp@2x/18/ab/18abd911e4e5ef8b1214282640bfcbaa.jpg;https://cdn.entero.ru/mp@2x/16/db/16dbc57c2974c2914d8cd0358b8d26f8.jpg,Измельчитель льда Kocateq SG158,SG 158,59077,RUB,Да,Kocateq,Профоборудование,Для баров,Измельчители льда,https://entero.ru/item/33904,"<p>Настольный измельчитель льда <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33904"">Kocateq SG158</a></b> используется на предприятиях общественного питания и торговли для дробления льда до состояния шуги (сухого крупно-структурированного снега), предназначенного для приготовления безалкогольных и алкогольных напитков. Крышка бункер и емкость выполнена из поликарбоната, корпус - из пластика ABS.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Поддон для сбора просыпавшегося измельченного льда</li>
<li>Прозрачная емкость для сбора колотого льда</li>
<li>Защита от перегрузки и включения при незакрытой крышке бункера</li>
<li>Низкий уровень шума</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 370x300x550 мм</li>
</ul>",33904,электрический,220 В,323 мм,245 мм,495 мм,,Ю. Корея,,,0,https://entero.ru/manuals/111093/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/280270/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20SG158.docx,62848,,,480 кг/час,0.126 кВт
https://cdn.entero.ru/mp@2x/af/37/af37e330decee25729327ab250f58096.jpg,Измельчитель льда Airhot IC-1,Измельчитель льда Airhot IC-1,5314,RUB,Да,Airhot,Профоборудование,Для баров,Измельчители льда,https://entero.ru/item/52201,"<p>Измельчитель льда <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52201"">Airhot IC-1</a></b> используется на предприятиях общественного питания и торговли для дробления льда и получения ледяной крошки для коктейлей, алкогольных напитков, для декорирования блюд и т.д. Модель оснащена загрузочным бункером с прижимным рычагом. Корпус выолнен из пластика, контейнер - из прочного алюминиевого сплава, чаша для льда - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 65 кг/ч</li>
</ul>",52201,электрический,220 В,210 мм,360 мм,440 мм,5.5 кг,Китай,1,450x200x300 мм,0,https://entero.ru/manuals/96160/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20IC-1.pdf;https://entero.ru/manuals/96159/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20IC-1.pdf;https://entero.ru/manuals/481726/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,5 кг,65 кг/час,0.25 кВт
https://cdn.entero.ru/mp@2x/b6/6c/b66c034f5cdef06bd278092120d1dae3.jpg;https://cdn.entero.ru/mp@2x/03/3c/033c19cd1b54e390958deec7bd30f14e.jpg,Измельчитель льда Master Lee BY-300 CD,Измельчитель льда Master Lee BY-300 CD,5825,RUB,Да,Master Lee,Профоборудование,Для баров,Измельчители льда,https://entero.ru/item/74015,"<p>Измельчитель льда <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/74015"">Master Lee BY-300 CD</a> </b>используется на предприятиях общественного питания и торговли для дробления льда и получения ледяной крошки для коктейлей, алкогольных напитков, для декорирования блюд и т.д. Модель оснащена прижимным рычагом. Корпус выполнен из шлифованного алюминия.</p>",74015,электрический,220 В,420 мм,260 мм,520 мм,,Китай,,,0,,,,7 кг,65 кг/час,0.3 кВт
