Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Скорость,Количество скоростей,Количество стаканов,Объем одного стакана
https://cdn.entero.ru/mp@2x/f3/29/f3296350db029465f7b61fb5a5ee0c21.jpg,Миксер для молочных коктейлей Hurakan HKN-FR2GM,Миксер для молочных коктейлей Hurakan HKN-FR2GM,15943,RUB,Да,Hurakan,Профоборудование,Для баров,Миксеры для молочных коктейлей,https://entero.ru/item/87074,"<p>​Миксер для молочных коктейлей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/87074"">Hurakan HKN-FR2GM</a></b> используется на предприятиях общественного питания и торговли для приготовления шейков, муссов, коктейлей на основе молока, йогуртов или мороженого. Корпус выполнен из алюминия, стаканы - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная длительность непрерывной работы: 60 сек.</li>
<li>Габариты в упаковке: 380х210х530 мм</li>
</ul>",87074,220 В,0.3 кВт,360 мм,190 мм,520 мм,7.5 кг,Китай,1,380x210x530 мм,301,https://entero.ru/manuals/414897/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-FR2GM.pdf;https://entero.ru/manuals/415547/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414898/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454237/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-FR2GM.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241062&hash=146090e344669d6f,6.5 кг,11000 об/мин.,2,2,1 л
https://cdn.entero.ru/mp@2x/dd/d2/ddd22aeafc9e850837e06d7907550d22.jpg,Миксер для молочных коктейлей FIMAR EasyLine DMB20,Миксер для молочных коктейлей FIMAR EasyLine DMB20,31028,RUB,Да,FIMAR,Профоборудование,Для баров,Миксеры для молочных коктейлей,https://entero.ru/item/51887,"<p>Миксер для молочных коктейлей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/51887""><b class=""b"">FIMAR EasyLine DMB20</b></a> используется на предприятиях общественного питания и торговли для приготовления шейков, муссов, коктейлей с ледяной крошкой, сорбе и т.д. Модель оснащена двигателем и автоматической системой включения только при наличии вставленного стакана. Основание и корпус выполнены из алюминия, стойка и стакан - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость: 8000 / 16000 об/мин.</li>
<li>Габариты в упаковке: 600x260x530 мм</li>
<li>Объем упаковки: 0,083 м<sup>3</sup></li>
</ul>",51887,220 В,0.8 кВт,330 мм,160 мм,500 мм,9 кг,Китай,1,600x260x530 мм,23,https://entero.ru/manuals/82395/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20FIMAR%20EasyLine%20DMB20.pdf;https://entero.ru/manuals/87231/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20FIMAR.pdf;https://entero.ru/manuals/376674/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%28%D1%80%D1%83%D1%81.%20+%20%D0%B0%D0%BD%D0%B3%D0%BB.%29%20%D0%BD%D0%B0%20FIMAR%20EasyLine%20DMB20.pdf;https://entero.ru/manuals/376675/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%B4%D0%BE%2009.02.2025%29.pdf,32321,,7.5 кг,от 8000 до 16000 об/мин.,2,2,0.8 л
https://cdn.entero.ru/mp@2x/6d/b9/6db9399ace2dce4ef4686c68dec18d3b.jpg;https://cdn.entero.ru/mp@2x/7e/0c/7e0cb2c308bdd770e3be96a3281a9ef5.jpg,Миксер для молочных коктейлей VIATTO NX302H,NX-302H,10089,RUB,Да,VIATTO,Профоборудование,Для баров,Миксеры для молочных коктейлей,https://entero.ru/item/92758,"<p>Миксер для молочных коктейлей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/92758"">VIATTO NX302H</a></b> используется на предприятиях общественного питания и торговли для приготовления шейков, муссов, коктейлей на основе молока, йогуртов или мороженого. Корпус и стаканы выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Потребляемая мощность: 0,36 кВт</li>
</ul>",92758,220 В,,370 мм,185 мм,520 мм,5.3 кг,Китай,1,470x285x620 мм,0,https://entero.ru/manuals/409447/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20NX302H.pdf;https://entero.ru/manuals/409448/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/86288/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/464196/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20NX302H.png,,,4.3 кг,18000 об/мин.,,2,0.65 л
https://cdn.entero.ru/mp@2x/a2/c0/a2c0cec572ef887fb0b6873b4c3fb0da.jpg;https://cdn.entero.ru/mp@2x/b0/14/b0148349dcaa1be6316389ed337f397b.jpg;https://cdn.entero.ru/mp@2x/fd/34/fd3409155f19feb5b8cee466669a1277.jpg;https://cdn.entero.ru/mp@2x/cb/18/cb18904c76ba6f9226a05dd1a691f054.jpg,Миксер Apach AMX2 ECO,144530,44873,RUB,Да,Apach,Профоборудование,Для баров,Миксеры для молочных коктейлей,https://entero.ru/item/59400,"<p>Миксер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/59400"">Apach AMX2 ECO</a></b> предназначен для приготовления шейков, муссов, коктейлей на основе молока, йогуртов или мороженого на предприятиях общественного питания и торговли. Модель имеет закругленные края, что облегчает процесс очистки, и оснащена мощным вентилируемым мотором. Стаканы выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 360х250х560 мм</li>
</ul>",59400,220 В,0.24 кВт,300 мм,195 мм,530 мм,6.32 кг,Италия,1,560x370x260 мм,17,https://entero.ru/manuals/81237/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach%202017.pdf;https://entero.ru/manuals/286431/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20Apach%20AMX2%20ECO.pdf;https://entero.ru/manuals/286432/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20Apach%20AMX2%20ECO.pdf;https://entero.ru/manuals/286433/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach.pdf;https://entero.ru/manuals/396506/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Apach%20AMX1_AMX2%20ECO.pdf,48775,https://vk.com/video_ext.php?oid=-177656185&id=456239970&hd=2&autoplay=0,6 кг,14000 об/мин.,,2,0.9 л
https://cdn.entero.ru/mp@2x/ef/76/ef76b557c19837e2e378ccce04988d28.jpg;https://cdn.entero.ru/mp@2x/49/c5/49c57a15c062599a829c6b4bc07274e6.jpg;https://cdn.entero.ru/mp@2x/a1/9e/a19e426b324b5ae2f77dce606c8c3c22.jpg;https://cdn.entero.ru/mp@2x/a1/f7/a1f79f9015fa33df69d91e0da4e0d5d5.jpg,Миксер для молочных коктейлей VIATTO VA-DM-B-20,4630169227497,19750,RUB,Да,VIATTO,Профоборудование,Для баров,Миксеры для молочных коктейлей,https://entero.ru/item/215812,"<p>Миксер для молочных коктейлей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/215812"">VIATTO VA-DM-B-20</a></b> используется на предприятиях общественного питания и торговли для приготовления шейков, муссов, коктейлей на основе молока, йогуртов или мороженого. Модель оснащена устойчивыми опорами, 2 стойками с независимыми взбивателями и кнопками регулировки частоты вращения. Корпус и стаканы выполнены из нержавеющей стали, моторный блок – из алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Полезный объем стакана: 0,6 л</li>
<li>Минимальный объем взбиваемого продукта: 0,2 л</li>
<li>Габариты в упаковке: 395х240х530 мм</li>
</ul>",215812,220 В,0.8 кВт,332 мм,187 мм,483 мм,8.4 кг,Китай,1,395x240x530 мм,83,,21011,,7.4 кг,от 10000 до 15000 об/мин.,2,2,0.975 л
https://cdn.entero.ru/mp@2x/73/e4/73e4551729daa86bcee014814ad4cde5.jpg,Миксер для молочных коктейлей GASTRORAG W-MS-20,Миксер для молочных коктейлей GASTRORAG W-MS-20,23265,RUB,Да,GASTRORAG,Профоборудование,Для баров,Миксеры для молочных коктейлей,https://entero.ru/item/51559,"<p>Миксер для молочных коктейлей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/51559"">GASTRORAG W-MS-20</a></b> используется на предприятиях общественного питания и торговли для приготовления шейков, муссов, коктейлей с ледяной крошкой, сорбе и т.д. Корпус выполнен из алюминия, стаканы - из нержавеющей стали.</p>",51559,220 В,0.8 кВт,332 мм,187 мм,483 мм,,Китай,,,0,https://entero.ru/manuals/65106/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20GASTRORAG%20W-MS-20.pdf;https://entero.ru/manuals/116253/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20GASTRORAG.pdf,24234,,7.93 кг,от 14000 до 18000 об/мин.,2,2,1 л
https://cdn.entero.ru/mp@2x/db/54/db5467bb6c6fdfc8b701f05769923fb6.jpg;https://cdn.entero.ru/mp@2x/4d/aa/4daa09fe7c23f70e4d02162ab7ab05ab.jpg;https://cdn.entero.ru/mp@2x/d1/fd/d1fdc011e830a9cbaf161093c8269ac3.jpg;https://cdn.entero.ru/mp@2x/8e/02/8e0282053a9af92d796191a1597ba3a6.jpg;https://cdn.entero.ru/mp@2x/97/c5/97c55e533c5812f893f69a7a36ca2ca2.jpg;https://cdn.entero.ru/mp@2x/c2/3d/c23d2c3cc024ef6b4125dc318b59b947.jpg,Миксер Воронеж-электро СжН-3,Воронеж-4,23520,RUB,Да,Воронеж-электро,Профоборудование,Для баров,Миксеры для молочных коктейлей,https://entero.ru/item/21255,"<p>Миксер <b class=""b""><b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/21255"">Воронеж-электро СжН-3</a> (Пчёлка)</b> </b>предназначен для приготовления молочных коктейлей, муссов, фруктовых смесей на предприятиях общественного питания и торговли. Модель оснащена 3 стаканами из ударопрочного поликарбоната.</p>

<p><strong>Особенности:</strong></p>

<ul>
<li>Три скорости для смешивания различных ингредиентов</li>
<li>Функции миксера и блендера. При этом добавлять фрукты и различные твердые ингредиенты</li>
<li>Система защиты. Микровыключатель, автоматически срабатывающий при снятии стакана</li>
<li>Универсальная модель легко разбирается для гигиенической очистки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Допустимая загрузка: 450 г (на 3 порции по 150 г)</li>
<li>​Скорость: 800 / 1000 / 1200 об/мин</li>
<li>Производительность: 400 порций/в час</li>
<li>Габариты упаковки: 190x445x515 мм</li>
</ul>",21255,220 В,0.24 кВт,405 мм,165 мм,500 мм,12.5 кг,Россия,1,450x200x550 мм,0,,25290,,11.5 кг,12000 об/мин.,3,3,1 л
https://cdn.entero.ru/mp@2x/20/97/2097ffedf280eb8c3085cf823337cd9d.jpg;https://cdn.entero.ru/mp@2x/18/47/1847eb84dfc81a96f3cefdc224827544.jpg,Миксер для молочных коктейлей VIATTO VA-MS11,Миксер для молочных коктейлей VIATTO VA-MS11,9089,RUB,Да,VIATTO,Профоборудование,Для баров,Миксеры для молочных коктейлей,https://entero.ru/item/156939,"<p>Миксер для молочных коктейлей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/156939"">VIATTO VA-MS11</a></b> используется на предприятиях общественного питания и торговли для приготовления шейков, муссов, коктейлей на основе молока, йогуртов или мороженого. Корпус и стаканы выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 380х380х560 мм</li>
</ul>",156939,220 В,0.08 кВт,190 мм,160 мм,530 мм,4 кг,Китай,1,380x380x560 мм,150,https://entero.ru/manuals/361112/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20VIATTO%20VA-MS11.pdf;https://entero.ru/manuals/361113/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20VA-MS11.docx;https://entero.ru/manuals/361114/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,3 кг,от 8000 до 15000 об/мин.,2,1,1 л
https://cdn.entero.ru/mp@2x/95/7f/957fc836a53b4e44a63df21bd88bc4a8.jpg;https://cdn.entero.ru/mp@2x/3c/fe/3cfea8bb4178806fe73eb276c0fd04f4.jpg;https://cdn.entero.ru/mp@2x/41/ea/41ea0a5854998aaa818c823d8df1e0bf.jpg;https://cdn.entero.ru/mp@2x/11/c9/11c9ef9d9d4d215e555df908f009785a.jpg,Миксер для молочных коктейлей FIMAR EasyLine DMB,Миксер для молочных коктейлей FIMAR EasyLine DMB,15990,RUB,Да,FIMAR,Профоборудование,Для баров,Миксеры для молочных коктейлей,https://entero.ru/item/51886,"<p>Миксер для молочных коктейлей <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/51886"">FIMAR EasyLine DMB</a> </b>используется на предприятиях общественного питания и торговли для приготовления шейков, муссов, коктейлей с ледяной крошкой, сорбе и т.д. Модель оснащена двигателем и автоматической системой включения только при наличии вставленного стакана. Основание и корпус выполнены из алюминия, стойка и стакан - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость: 8000 / 16000 об/мин.</li>
<li>Габариты в упаковке: 300x260x530 мм</li>
<li>Объем упаковки: 0,042 м<sup>3</sup></li>
</ul>",51886,220 В,0.4 кВт,200 мм,230 мм,500 мм,4 кг,Китай,1,300x260x530 мм,77,https://entero.ru/manuals/82394/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20FIMAR%20EasyLine%20DMB.pdf;https://entero.ru/manuals/87230/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20FIMAR.pdf;https://entero.ru/manuals/376672/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B0%20%28%D1%80%D1%83%D1%81.%20+%20%D0%B0%D0%BD%D0%B3%D0%BB.%29%20%D0%BD%D0%B0%20FIMAR%20EasyLine%20DMB.pdf;https://entero.ru/manuals/376673/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%28%D0%B4%D0%BE%2009.02.2025%29.pdf,,,3.6 кг,от 8000 до 16000 об/мин.,2,1,0.8 л
https://cdn.entero.ru/mp@2x/92/49/924928abe252bcb2c4621c53b30577ee.jpg,Миксер для молочных коктейлей JAU SR2,Миксер для молочных коктейлей JAU SR2,15613,RUB,Да,JAU,Профоборудование,Для баров,Миксеры для молочных коктейлей,https://entero.ru/item/33045,"<p>Миксер для молочных коктейлей <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33045""><b class=""b"">JAU SR1</b></a> используется на предприятиях общественного питания и торговли для приготовления шейков, муссов, коктейлей с ледяной крошкой, сорбе и т.д. Модель оснащена системой безопасности, при которой пуск происходит только при установленном стакане, и цинковой подставкой для максимальной устойчивости. Корпус выполнен из алюминия, стакан - из нержавеющей стали.</p>",33045,220 В,0.14 кВт,360 мм,170 мм,510 мм,8 кг,Китай,1,390x200x540 мм,0,https://entero.ru/manuals/176000/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20JAU%20SR2.pdf,,,7 кг,от 7500 до 15000 об/мин.,"2, вариатор скорости (плавная регулировка)",2,1 л
