Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Объем,Количество дверей,Количество кранов
https://cdn.entero.ru/mp@2x/90/87/90870fae67b61cc7d77e47be7c73c7fd.jpg;https://cdn.entero.ru/mp@2x/d3/ce/d3cedbc6e352be39eface72c874188bf.jpg,Диспенсер для пива HENDI Bar up 598962,Диспенсер для пива HENDI Bar up 598962,12661,RUB,Да,HENDI,Профоборудование,Для баров,Оборудование для розлива пива,https://entero.ru/item/277382,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/277382"">HENDI Bar up 598962</a></b> предназначен для розлива холодного пива в барах, кафе и прочих заведениях. Прибор очень прост в эксплуатации и обладает компактными размерами, занимая минимум пространства на барной стойке. Модель оснащена качественным краном. Изделие выполнено из оргстекла.</p>",277382,,,,100 мм,100 мм,1150 мм,0,https://entero.ru/manuals/344374/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20HENDI%20Bar%20up%20598962.pdf;https://entero.ru/manuals/344375/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20HENDI%20Bar%20up%20598962%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,13189,4.05 кг,Нидерланды,Китай,5 л,,1
https://cdn.entero.ru/mp@2x/ac/82/ac8246939bdde99e9422a4d49fa84b10.jpg,Диспенсер для пива Turbo air TBD-1SD,00-00000418,243025,RUB,Да,Turbo air,Профоборудование,Для баров,Оборудование для розлива пива,https://entero.ru/item/57416,"<p>Диспенсер для пива <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/57416"">Turbo air TBD-1SD</a> </b>используется на предприятиях общественного питания и торговли. Корпус, пол и дверь выполнены из нержавеющей стали с применением полиуретановой теплоизоляции высокой плотности, стены внутри - из окрашенной в белый цвет оцинкованной стали.</p>

<p><em>Под заказ возможна модицификация данного оборудования для использования на морских судах.</em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровая система контроля температуры обеспечивает точную и постоянную температуру </li>
<li>Поверхность системы отвода конденсата специально обрабатывается для защиты от коррозии, что не только увеличивает эффективность защиты от коррозии без риска утечки хладагента, но также предохраняет систему в целом от переполнения конденсатом</li>
<li>Негабаритные и сбалансированные (CFC Free R-134A, 404A) системы охлаждения (испарители и конденсаторы) обладают большой эффективностью</li>
<li>Тип охлаждения: динамический</li>
<li>Боковое крепление компрессора позволяет обслуживать прибор без перемещения, а инновационная функция фронтальной вентиляции обеспечивает высокую эффективность работы компрессора, располагаясь даже в узких местах</li>
<li>Магнитные уплотнители имеют цельную конструкцию, снимаются без инструментов, что обеспечивает простоту очистки и замены</li>
<li>Дверь собственной конструкции (патент) с доводчиком</li>
<li>Эргономичная ручка является одной из самых лучших на мировом рынке</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: 38 °C</li>
<li>Количество полок: 1</li>
</ul>",57416,от 0 до 8 °C,220 В,0.075 кВт,600 мм,756 мм,1032 мм,0,https://entero.ru/manuals/86047/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Turbo%20air%20TBD-1SD%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,79 кг,,Ю. Корея,212 л,1,1
https://cdn.entero.ru/mp@2x/2a/8e/2a8edc58f300cca56520c2ec5b4a7d18.jpg;https://cdn.entero.ru/mp@2x/59/23/5923b326eedc8bfe41a860d870fab8a3.jpg;https://cdn.entero.ru/mp@2x/a1/2e/a12e215efc38e66a0c08c01144deca2b.jpg,Диспенсер для пива CASO BeerMaster,Диспенсер для пива CASO BeerMaster,26738,RUB,Да,CASO,Профоборудование,Для баров,Оборудование для розлива пива,https://entero.ru/item/345603,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/345603"">CASO BeerMaster</a></b> предназначен для домашнего использования в закрытых помещениях для охлаждения и подачи пива из 5-литровых кег, также возможно использование на кухнях, для сотрудников магазинов, офисов и других коммерческих помещений, в фермерских хозяйствах, для клиентов в гостиницах и мотелях. Система охлаждения сохраняет пиво до 10 дней. Модель оснащена плавной регулировкой давления. Корпус выполнен из нержавеющей стали и пластика.</p>

<p>Диспенсер подходит для всех 5-литровых пивных кег Krombacher, Warsteiner, Veltins, Bitburger и Heineken.</p>

<p>В комплект поставки входят шланг, адаптер Heineken и 3 баллончика CO2 под давлением.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество настроек температуры: 9</li>
<li>Напряжение: от 220 до 240 В</li>
</ul>",345603,от +4 до +12 °C,220 В,0.065 кВт,280 мм,480 мм,475 мм,0,https://entero.ru/manuals/422286/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20BeerMaster.pdf,,5.4 кг,Германия,Китай,от 5 до +12 л,,1
https://cdn.entero.ru/mp@2x/7c/78/7c78e5afaf9e78c01047c85bd9815338.jpg,Премикс для пива Celli Tornado2020,Премикс для пива Celli Tornado2020,170563,RUB,Да,,Профоборудование,Для баров,Оборудование для розлива пива,https://entero.ru/item/189019,"<p>Премикс для пива <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/189019""><b class=""b"">Celli Tornado2020</b></a> используется на предприятиях общественного питания и торговли для охлаждения 2 сортов пива. Корпус выполнен из стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 60 л/ч</li>
<li>Запас льда: 7 кг</li>
<li>Мощность компрессора: 1,5 л.с.</li>
<li>Тип хладагента: R 134A</li>
<li>Макс. количество змеевиков: 3</li>
<li>Диаметр трубки змеевика: 8 мм</li>
</ul>",189019,,220 В,0.36 кВт,355 мм,355 мм,545 мм,0,,179540,,,Италия,60 л,,
https://cdn.entero.ru/mp@2x/03/be/03be3212253bb4e83ef141ea312b2c01.jpg,Диспенсер для пива Turbo air TBD-2SB,00-00001645,348361,RUB,Нет,Turbo air,Профоборудование,Для баров,Оборудование для розлива пива,https://entero.ru/item/57420,"<p>Диспенсер для пива<b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/57420"">Turbo air TBD-2SB</a> </b>используется на предприятиях общественного питания и торговли. Корпус, пол и дверь выполнены из оцинкованной стали, покрытой износостойким черным винилом, с применением полиуретановой теплоизоляции высокой плотности, стены внутри - из окрашенной в белый цвет оцинкованной стали.</p>

<p><em>Под заказ возможна модицификация данного оборудования для использования на морских судах.</em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровая система контроля температуры обеспечивает точную и постоянную температуру </li>
<li>Поверхность системы отвода конденсата специально обрабатывается для защиты от коррозии, что не только увеличивает эффективность защиты от коррозии без риска утечки хладагента, но также предохраняет систему в целом от переполнения конденсатом</li>
<li>Негабаритные и сбалансированные (CFC Free R-134A, 404A) системы охлаждения (испарители и конденсаторы) обладают большой эффективностью</li>
<li>Тип охлаждения: динамический</li>
<li>Боковое крепление компрессора позволяет обслуживать прибор без перемещения, а инновационная функция фронтальной вентиляции обеспечивает высокую эффективность работы компрессора, располагаясь даже в узких местах</li>
<li>Магнитные уплотнители имеют цельную конструкцию, снимаются без инструментов, что обеспечивает простоту очистки и замены</li>
<li>Дверь собственной конструкции (патент) с доводчиками</li>
<li>Эргономичные ручки являются одними из самых лучших на мировом рынке</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: 38 °C</li>
<li>Количество полок: 2</li>
</ul>",57420,от 0 до 8 °C,220 В,0.245 кВт,1494 мм,688 мм,942 мм,0,https://entero.ru/manuals/86051/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Turbo%20air%20TBD-2SB%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,374582,125 кг,,Ю. Корея,590 л,2,2
https://cdn.entero.ru/mp@2x/bf/75/bf7593360fa49e0d9c424077d4e0be78.jpg,Диспенсер для пива Turbo air TBD-2SD,00-00000419,360219,RUB,Нет,Turbo air,Профоборудование,Для баров,Оборудование для розлива пива,https://entero.ru/item/57419,"<p>Диспенсер для пива<b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/57419"">Turbo air TBD-2SD</a> </b>используется на предприятиях общественного питания и торговли. Корпус, пол и дверь выполнены из нержавеющей стали с применением полиуретановой теплоизоляции высокой плотности, стены внутри - из окрашенной в белый цвет оцинкованной стали.</p>

<p><em>Под заказ возможна модицификация данного оборудования для использования на морских судах.</em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровая система контроля температуры обеспечивает точную и постоянную температуру </li>
<li>Поверхность системы отвода конденсата специально обрабатывается для защиты от коррозии, что не только увеличивает эффективность защиты от коррозии без риска утечки хладагента, но также предохраняет систему в целом от переполнения конденсатом</li>
<li>Негабаритные и сбалансированные (CFC Free R-134A, 404A) системы охлаждения (испарители и конденсаторы) обладают большой эффективностью</li>
<li>Тип охлаждения: динамический</li>
<li>Боковое крепление компрессора позволяет обслуживать прибор без перемещения, а инновационная функция фронтальной вентиляции обеспечивает высокую эффективность работы компрессора, располагаясь даже в узких местах</li>
<li>Магнитные уплотнители имеют цельную конструкцию, снимаются без инструментов, что обеспечивает простоту очистки и замены</li>
<li><b>​​</b>Дверь собственной конструкции (патент) с доводчиками</li>
<li>Эргономичные ручки являются одними из самых лучших на мировом рынке</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: 38 °C</li>
<li>Количество полок: 2</li>
</ul>",57419,от 0 до 8 °C,220 В,0.245 кВт,1494 мм,688 мм,942 мм,0,https://entero.ru/manuals/86048/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Turbo%20air%20TBD-2SD%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,391542,125 кг,,Ю. Корея,590 л,2,2
https://cdn.entero.ru/mp@2x/7d/a4/7da489fb92d76ffd85ad01e43d84f650.jpg;https://cdn.entero.ru/mp@2x/9d/0a/9d0a94ec0c5632c3e2a3e204a3f6df7c.jpg;https://cdn.entero.ru/mp@2x/38/f0/38f031a649bd0f09d42dc5a1b025503d.jpg;https://cdn.entero.ru/mp@2x/93/46/9346d685fc0e95b97d4dd9434ba9df58.jpg;https://cdn.entero.ru/mp@2x/c5/e5/c5e5c3242b8003db085042a36479100a.jpg,Диспенсер для пива Metrodispenser ORIGINAL L,Диспенсер для пива Metrodispenser ORIGINAL L,14560,RUB,Нет,Metrodispenser,Профоборудование,Для баров,Оборудование для розлива пива,https://entero.ru/item/53031,"<p>Диспенсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/53031""><b class=""b"">MetroDispenser ORIGINAL L</b></a> предназначен для розлива холодного пива в барах, кафе и прочих заведениях. Прибор очень прост в эксплуатации и обладает компактными размерами, занимая минимум пространства на барной стойке.</p>

<p><b>Особенности:</b></p>

<ul>
<li>1 емкость</li>
<li>Корпус и емкость из пластика</li>
<li>В комплекте трубка для льда</li>
</ul>",53031,,,,200 мм,200 мм,900 мм,0,,15326,,,,3 л,,1
https://cdn.entero.ru/mp@2x/be/47/be471482d740aa61b4384d17500760dc.jpg,Диспенсер для пива Turbo air TBD-1SB,Диспенсер для пива Turbo air TBD-1SB,257110,RUB,Нет,Turbo air,Профоборудование,Для баров,Оборудование для розлива пива,https://entero.ru/item/57418,"<p>Диспенсер для пива <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/57418"">Turbo air TBD-1SB</a> </b>используется на предприятиях общественного питания и торговли. Корпус, пол и дверь выполнены из оцинкованной стали, покрытой износостойким черным винилом, с применением полиуретановой теплоизоляции высокой плотности, стены внутри - из окрашенной в белый цвет оцинкованной стали.</p>

<p><em>Под заказ возможна модицификация данного оборудования для использования на морских судах.</em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровая система контроля температуры обеспечивает точную и постоянную температуру во всех отсеках диспенсера</li>
<li>Поверхность системы отвода конденсата специально обрабатывается для защиты от коррозии, что не только увеличивает эффективность защиты от коррозии без риска утечки хладагента, но также предохраняет систему в целом от переполнения конденсатом</li>
<li>Негабаритные и сбалансированные (CFC Free R-134A, 404A) системы охлаждения (испарители и конденсаторы) обладают большой эффективностью</li>
<li>Тип охлаждения: динамический</li>
<li>Боковое крепление компрессора позволяет обслуживать прибор без перемещения, а инновационная функция фронтальной вентиляции обеспечивает высокую эффективность работы компрессора, располагаясь даже в узких местах</li>
<li>Магнитные уплотнители имеют цельную конструкцию, снимаются без инструментов, что обеспечивает простоту очистки и замены</li>
<li>Дверь собственной конструкции (патент) с доводчиком</li>
<li>Эргономичная ручка является одной из самых лучших на мировом рынке</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: 38 °C</li>
<li>Количество полок: 1</li>
</ul>",57418,от 0 до 8 °C,220 В,0.075 кВт,600 мм,756 мм,1032 мм,0,https://entero.ru/manuals/86050/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Turbo%20air%20TBD-1SB%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,273521,79 кг,,Ю. Корея,212 л,1,1
https://cdn.entero.ru/mp@2x/db/0f/db0f5b78b1c1c834f1a6a981d699b8a6.jpg,Диспенсер для пива Turbo air TBD-3SB,Диспенсер для пива Turbo air TBD-3SB,395703,RUB,Нет,Turbo air,Профоборудование,Для баров,Оборудование для розлива пива,https://entero.ru/item/57452,"<p>Диспенсер для пива <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/57452"">Turbo air TBD-3SB</a> </b>используется на предприятиях общественного питания и торговли. Корпус, пол и дверь выполнены из оцинкованной стали, покрытой износостойким черным винилом, с применением полиуретановой теплоизоляции высокой плотности, стены внутри - из окрашенной в белый цвет оцинкованной стали.</p>

<p><em>Под заказ возможна модицификация данного оборудования для использования на морских судах.</em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровая система контроля температуры обеспечивает точную и постоянную температуру</li>
<li>Поверхность системы отвода конденсата специально обрабатывается для защиты от коррозии, что не только увеличивает эффективность защиты от коррозии без риска утечки хладагента, но также предохраняет систему в целом от переполнения конденсатом</li>
<li>Негабаритные и сбалансированные (CFC Free R-134A, 404A) системы охлаждения (испарители и конденсаторы) обладают большой эффективностью</li>
<li>Тип охлаждения: динамический</li>
<li>Боковое крепление компрессора позволяет обслуживать прибор без перемещения, а инновационная функция фронтальной вентиляции обеспечивает высокую эффективность работы компрессора, располагаясь даже в узких местах</li>
<li>Магнитные уплотнители имеют цельную конструкцию, снимаются без инструментов, что обеспечивает простоту очистки и замены</li>
<li>Дверь собственной конструкции (патент) с доводчиками</li>
<li>Эргономичные ручки являются одними из самых лучших на мировом рынке</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: 38 °C</li>
<li>Количество полок: 2</li>
</ul>",57452,от 0 до 8 °C,220 В,0.245 кВт,1754 мм,688 мм,942 мм,0,https://entero.ru/manuals/86052/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Turbo%20air%20TBD-3SB%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,135 кг,,Ю. Корея,720 л,2,2
https://cdn.entero.ru/mp@2x/7b/05/7b05d57ed15bbf5ab323b6e80b93b077.jpg;https://cdn.entero.ru/mp@2x/0f/a2/0fa28153716bbc012866041f56af996d.jpg;https://cdn.entero.ru/mp@2x/1f/72/1f7200cbc331a84fc5ec2704c6076a2e.jpg;https://cdn.entero.ru/mp@2x/2b/b6/2bb6edbccbcf7a4173dd4bbafc6deb50.jpg;https://cdn.entero.ru/mp@2x/16/c7/16c79c305ed895e7ce88e384ed98b52b.jpg,Диспенсер для пива Turbo air TBD-3SD,Диспенсер для пива Turbo air TBD-3SD,395703,RUB,Нет,Turbo air,Профоборудование,Для баров,Оборудование для розлива пива,https://entero.ru/item/76648,"<p>Диспенсер для пива <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/76648"">Turbo air TBD-3SD</a> </b>используется на предприятиях общественного питания и торговли. Корпус выполнен из нержавеющей стали с применением полиуретановой теплоизоляции высокой плотности и уплотнения из теплоэффективного АБС-пластика (акрилонитрилбутадиенстирола), не пропускающего конденсата, пол и дверные направляющие - из нержавеющей стали, а стены внутри - из окрашенной в белый цвет оцинкованной стали.</p>

<p><em>Под заказ возможна модицификация данного оборудования для использования на морских судах.</em></p>

<p><b>Особенности:</b></p>

<ul>
<li>Аналоговое управление</li>
<li>Цифровая система контроля температуры обеспечивает точную и постоянную температуру </li>
<li>Поверхность системы отвода конденсата специально обрабатывается для защиты от коррозии, что не только увеличивает эффективность защиты от коррозии без риска утечки хладагента, но также предохраняет систему в целом от переполнения конденсатом</li>
<li>Негабаритные и сбалансированные (CFC Free R-134A, 404A) системы охлаждения (испарители и конденсаторы) обладают большой эффективностью</li>
<li>Тип охлаждения: динамический</li>
<li>Боковое расположение компрессора позволяет обслуживать стол без перемещения, а инновационная функция фронтальной вентиляции обеспечивает высокую эффективность работы компрессора, располагаясь даже в узких местах</li>
<li>Магнитные уплотнители имеют цельную конструкцию, снимаются без инструментов, что обеспечивает простоту очистки и замены</li>
<li><b>​​</b>Дверь собственной конструкции (патент) с доводчиками</li>
<li>Эргономичные ручки являются одними из самых лучших на мировом рынке</li>
<li>Замок</li>
<li>4 колеса (фронтальные со стопорами)</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Температура окружающей среды: 43 °C</li>
<li>Количество полок: 2</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>1 или 2 крана на башне</li>
<li>4 регулируемые ножки из нержавеющей стали</li>
</ul>",76648,от 0 до 8 °C,220 В,0.245 кВт,1753 мм,692 мм,1065 мм,0,https://entero.ru/manuals/86049/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Turbo%20air%20TBD-3SD%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/49392/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Turbo%20air.pdf,,135 кг,,Ю. Корея,720 л,2,
