Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель
https://cdn.entero.ru/mp@2x/c5/a2/c5a2725276c74df01efd254da562c573.jpg;https://cdn.entero.ru/mp@2x/a6/27/a627cb31874ab10c411ee63906c5f754.jpg;https://cdn.entero.ru/mp@2x/6d/6c/6d6c9e6e77bbdeec14992074072c66c3.jpg;https://cdn.entero.ru/mp@2x/11/db/11dbf66a3c50cac52c3af84f90350e8f.jpg;https://cdn.entero.ru/mp@2x/ed/10/ed10479cf6487ec97530fb7b443fb7d7.jpg;https://cdn.entero.ru/mp@2x/d1/ae/d1ae48604aed0fc10dada75a9605988b.jpg,Охладитель бутылок CASO WineCase One Black,Охладитель бутылок CASO WineCase One Black,19760,RUB,Да,CASO,Профоборудование,Для баров,Системы хранения вина,https://entero.ru/item/188389,"<p>Охладитель бутылок <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188389"">CASO WineCase One Black</a> </b>предназначен для охлаждения, хранения и демонстрации бутилированного вина в частных домах, квартирах, отелях и офисах. Модель оснащена сенсорной панелью управления c дисплеем, на котором отображается заданная температура. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронная регулировка температуры</li>
<li>Отображение температуры в °C / °F</li>
<li>Быстрое и равномерное охлаждение</li>
<li>Устойчивая конструкция</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг регулировки температуры: 1 °C / °F</li>
<li>Диаметр бутылки: до 90 мм</li>
<li>Мощность: 0,072 кВт</li>
</ul>",188389,220 В,0.072 кВт,135 мм,285 мм,245 мм,,,,0,https://entero.ru/manuals/219110/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20WineCase%20One%20Black.pdf,20800,,2.3 кг,,
https://cdn.entero.ru/mp@2x/66/de/66de4d8d6c79272a53af2c07f50f555d.jpg;https://cdn.entero.ru/mp@2x/04/3d/043d339eef5ef32e3b33d8200b96e312.jpg;https://cdn.entero.ru/mp@2x/9a/eb/9aeb76f4ced7d1bcb9bab54e7825462d.jpg;https://cdn.entero.ru/mp@2x/8a/00/8a004a46ea40305386f887a89e3f4333.jpg;https://cdn.entero.ru/mp@2x/2d/b2/2db27fc6d009293514299061db9a5c54.jpg;https://cdn.entero.ru/mp@2x/d1/93/d1933130ccf57ee294866705983c92fc.jpg,Охладитель бутылок CASO VinoCase Black,Охладитель бутылок CASO VinoCase Black,19026,RUB,Да,CASO,Профоборудование,Для баров,Системы хранения вина,https://entero.ru/item/324825,"<p>Охладитель бутылок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/324825""><b class=""b"">CASO VinoCase</b></a> предназначен для охлаждения, хранения и демонстрации бутилированного вина в частных домах, квартирах, отелях и офисах. Модель оснащена сенсорной панелью управления c LED-дисплеем, на котором отображается заданная температура. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронная регулировка температуры</li>
<li>Отображение температуры в °C / °F</li>
<li>Быстрое и равномерное охлаждение</li>
<li>Устойчивая конструкция</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 5 до 18 °C</li>
<li>Шаг регулировки температуры: 1 °C / °F</li>
<li>Диаметр бутылки: до 90 мм</li>
</ul>",324825,220 В,0.072 кВт,140 мм,260 мм,270 мм,,,,0,https://entero.ru/manuals/387196/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20VinoCase%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,1.2 кг,Германия,Китай
https://cdn.entero.ru/mp@2x/49/5c/495c83a224ec2691835cf5990b0427d5.jpg;https://cdn.entero.ru/mp@2x/0b/75/0b75e90e3b86338a0ed582e904305700.jpg;https://cdn.entero.ru/mp@2x/70/e4/70e4ca5e1f072003163859f4106cedc7.jpg;https://cdn.entero.ru/mp@2x/59/cf/59cf923de16d6e04a1de30c9fc578f75.jpg;https://cdn.entero.ru/mp@2x/90/cd/90cd6728a0c84dea8a87ca9436fd193a.jpg,Охладитель бутылок CASO WineCase One Inox,Охладитель бутылок CASO WineCase One Inox,19760,RUB,Да,CASO,Профоборудование,Для баров,Системы хранения вина,https://entero.ru/item/209776,"<p>Охладитель бутылок <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/209776"">CASO WineCase One Inox</a></b> предназначен для охлаждения, хранения и демонстрации бутилированного вина в частных домах, квартирах, отелях и офисах. Модель оснащена сенсорной панелью управления c дисплеем, на котором отображается заданная температура. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронная регулировка температуры</li>
<li>Отображение температуры в °C / °F</li>
<li>Быстрое и равномерное охлаждение</li>
<li>Устойчивая конструкция</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Шаг регулировки температуры: 1 °C / °F</li>
<li>Диаметр бутылки: до 90 мм</li>
<li>Мощность: 0,072 кВт</li>
<li>Напряжение: от 100 до 240 В</li>
</ul>",209776,220 В,0.072 кВт,135 мм,285 мм,245 мм,,,,0,https://entero.ru/manuals/245417/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20WineCase%20One%20Inox.pdf,21247,,2.3 кг,,Китай
https://cdn.entero.ru/mp@2x/b8/55/b85552acd8b856adae4b3c61778cf6c1.jpg;https://cdn.entero.ru/mp@2x/b6/33/b633b22d74708530e91953fd9530345e.jpg,Охладитель бутылок Climadiff Echanson2,Охладитель бутылок Climadiff Echanson2,29150,RUB,Да,Climadiff,Профоборудование,Для баров,Системы хранения вина,https://entero.ru/item/264844,"<p>Охладитель бутылок <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/264844"">Climadiff Echanson2</a></b> предназначен для быстрого охлаждения и поддержания заданной температуры бутылки вина или шампанского в ресторанах, специализированных магазинах, отелях, в частных домах или квартирах. Модель оснащена панелью управления с цифровым дисплеем и светодиодной подсветкой синего цвета.</p>

<p><b>Особенности:</b></p>

<ul>
<li>33 предустановленных программы охлаждения</li>
<li>Высокая скорость охлаждения</li>
<li>Автоматическое поддержание заданной температуры</li>
<li>Низкий уровень шума</li>
<li>Отсутствие вибрации</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр бутылки: до 90 мм</li>
<li>Время охлаждения до 8 °C: 2 ч</li>
</ul>",264844,220 В,0.06 кВт,135 мм,245 мм,265 мм,,,,0,,31685,,1.4 кг,,
https://cdn.entero.ru/mp@2x/6d/40/6d40488d65e9b2ed46ca4c6ce6c3f9c5.jpg;https://cdn.entero.ru/mp@2x/5d/49/5d499d945e9d18d4d77a462eb6d4ab11.jpg;https://cdn.entero.ru/mp@2x/6b/49/6b495dd7b6ed1fa3af0fde1ba9dea314.jpg,Винный шкаф Cavanova OW8CD,OW8 CD,0,RUB,Нет,Cavanova,Профоборудование,Для баров,Системы хранения вина,https://entero.ru/item/116657,"<p>Винный шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116657"">Cavanova OW8CD</a> </b>создает оптимальные условия для сохранения всех вкусовых свойств разливного вина в барах, ресторанах, специализированных магазинах, частных домах или квартирах. Модель оснащена светодиодной подсветкой 3 разных цветов. Корпус выполнен из металла, окошко в корпусе - из двойного стеклопакета.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровой дисплей контроля температуры</li>
<li>Лаконичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 32,5 л</li>
<li>Вместимость: 8 бут.</li>
<li>Температурный режим: от 3 до 18 °C</li>
<li>Количество отсеков: 2</li>
<li>Энергопотребление: 1,1 кВт/сутки</li>
<li>Влажность: >70 % RH</li>
<li>Уровень шума: 46 дБ</li>
</ul>",116657,220 В,,780 мм,325 мм,290 мм,,,,0,https://entero.ru/manuals/144999/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Cavanova%202018.pdf;https://entero.ru/manuals/289300/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cavanova%20OW8CD.pdf;https://entero.ru/manuals/289301/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Cavanova%20OW8CD.pdf;https://entero.ru/manuals/289302/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,16.76 кг,,Испания
https://cdn.entero.ru/mp@2x/90/ca/90ca7b95ffba8661bda4200277f22e5e.jpg,Винный шкаф Cavanova OW6CS,Винный шкаф Cavanova OW6CS,0,RUB,Нет,Cavanova,Профоборудование,Для баров,Системы хранения вина,https://entero.ru/item/107936,"<p>Винный шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/107936"">Cavanova OW6CS</a> </b>создает оптимальные условия для сохранения всех вкусовых свойств разливного вина в барах, ресторанах, специализированных магазинах, частных домах или квартирах. Модель оснащена светодиодной подсветкой мягкого синего цвета. Корпус выполнен из окрашенного металла, окошко - из двойного тонированного стеклопакета с УФ-фильтром.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Циркуляция воздуха</li>
<li>Дисплей с кнопочным управлением</li>
<li>Вибрация полностью отсутствует</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 27 л</li>
<li>Температурный режим: от 3 до 18 °C</li>
<li>Климатический класс: N +16...32 °С</li>
<li>Климатический класс: SN +10...32 °С</li>
<li>Вместимость 6 бут.</li>
<li>Количество отсеков: 2</li>
<li>Энергопотребление: 1,1 кВт/сутки</li>
<li>Влажность: >70 % RH</li>
<li>Уровень шума: 46 дБ</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Другой цвет корпуса (гладкая глянцевая или молотковая краска)</li>
</ul>",107936,220 В,,655 мм,352 мм,289 мм,,,,0,https://entero.ru/manuals/100043/%D0%92%D0%B0%D1%80%D0%B8%D0%B0%D0%BD%D1%82%D1%8B%20%D1%80%D0%B0%D1%81%D1%86%D0%B2%D0%B5%D1%82%D0%BA%D0%B8.jpeg;https://entero.ru/manuals/289282/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cavanova%20OW6CS.pdf;https://entero.ru/manuals/289284/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Cavanova%20OW6CS.pdf;https://entero.ru/manuals/289285/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,15.2 кг,,Испания
https://cdn.entero.ru/mp@2x/ae/f7/aef7a46723215f7983020374b6f6d8e4.jpg;https://cdn.entero.ru/mp@2x/55/d6/55d6a1218f8b44014e25999a2487a7e9.jpg;https://cdn.entero.ru/mp@2x/a0/bd/a0bd9d46beb6f9594931d6b193c81cd2.jpg,Винный шкаф Cavanova OW8CS,OW8 CS,0,RUB,Нет,Cavanova,Профоборудование,Для баров,Системы хранения вина,https://entero.ru/item/116658,"<p>Винный шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116658"">Cavanova OW8CS</a> </b>создает оптимальные условия для сохранения всех вкусовых свойств разливного вина в барах, ресторанах, специализированных магазинах, частных домах или квартирах. Модель оснащена светодиодной подсветкой 3 разных цветов. Корпус выполнен из металла, окошко в корпусе - из двойного стеклопакета.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровой дисплей контроля температуры</li>
<li>Лаконичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температурный режим: от 3 до 18 °C</li>
<li>Вместимость: 8 бут.</li>
<li>Объем: 34,5 л</li>
<li>Количество отсеков: 1</li>
<li>Энергопотребление: 1,1 кВт/сутки</li>
<li>Влажность: >70 % RH</li>
<li>Уровень шума: 46 дБ</li>
</ul>",116658,220 В,,780 мм,325 мм,290 мм,,,,0,https://entero.ru/manuals/117180/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Cavanova%202018.pdf;https://entero.ru/manuals/289297/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cavanova%20OW8CS.pdf;https://entero.ru/manuals/289298/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Cavanova%20OW8CS.pdf;https://entero.ru/manuals/289299/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,16.2 кг,,Испания
https://cdn.entero.ru/mp@2x/63/bb/63bb0e00b1ce63fe6062366d8bc16792.jpg,Винный шкаф Cavanova TW01-06,Винный шкаф Cavanova TW01-06,0,RUB,Нет,Cavanova,Профоборудование,Для баров,Системы хранения вина,https://entero.ru/item/130335,"<p>Винный шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130335"">Cavanova TW01-06</a> </b>создает оптимальные условия для сохранения всех вкусовых свойств разливного вина в барах, ресторанах, специализированных магазинах, частных домах или квартирах. Модель оснащена светодиодной подсветкой. Корпус выполнен из нержавеющей стали, окошко в корпусе - из тонированного стекла с защитой от УФ-лучей.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Внутренний вентилятор способствует равномерному распределению температуры по всему объему</li>
<li>Цифровой дисплей контроля температуры</li>
<li>Минимальное энергопотребление</li>
<li>Пониженный уровень шума</li>
<li>Чувствителен к внешней температуре - не рекомендуется устанавливать рядом с нагревательными приборами</li>
<li>Хладагент: R600a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость 6 бут.</li>
<li>Температурный режим от 1 до 18 °C</li>
<li>Макс. диаметр бутылки: 115 мм</li>
<li>Масса хладагента: 23 гр</li>
<li>Входная мощность: 0,09 кВт</li>
</ul>",130335,220 В,,910 мм,390 мм,320 мм,,,,0,https://entero.ru/manuals/145148/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20Cavanova%20TW01-06%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/289304/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Cavanova%20TW01-06.pdf;https://entero.ru/manuals/289305/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,33 кг,,Испания
https://cdn.entero.ru/mp@2x/19/56/195618a1f248eeff5ef79ea5811fe4ce.jpg,Винный шкаф Cavanova TW02-12,Винный шкаф Cavanova TW02-12,0,RUB,Нет,Cavanova,Профоборудование,Для баров,Системы хранения вина,https://entero.ru/item/130270,"<p>Винный шкаф <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130270"">Cavanova TW02-12</a> </b>создает оптимальные условия для сохранения всех вкусовых свойств разливного вина в барах, ресторанах, специализированных магазинах, частных домах или квартирах. Модель оснащена светодиодной подсветкой. Корпус выполнен из нержавеющей стали, окошко в корпусе - из тонированного стекла с защитой от УФ-лучей.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Внутренний вентилятор способствует равномерному распределению температуры по всему объему</li>
<li>Цифровой дисплей контроля температуры</li>
<li>Минимальное энергопотребление</li>
<li>Пониженный уровень шума</li>
<li>Чувствителен к внешней температуре - не рекомендуется устанавливать рядом с нагревательными приборами</li>
<li>Хладагент: R600a</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 12 бут.</li>
<li>Температурный режим: от 5 до 20 °C</li>
<li>Макс. диаметр бутылки: 95 мм</li>
<li>Масса хладагента: 23 гр</li>
<li>Входная мощность: 0,09 кВт</li>
</ul>",130270,220 В,0.09 кВт,910 мм,390 мм,320 мм,,,,0,https://entero.ru/manuals/144998/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20Cavanova%20TW02-12%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/289306/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,33 кг,,Испания
https://cdn.entero.ru/mp@2x/8f/7d/8f7de52b78652e4360c4e7df2ffc27fd.jpg;https://cdn.entero.ru/mp@2x/2f/79/2f79fad205e4d24f9f2dcd43b44c1ebc.jpg;https://cdn.entero.ru/mp@2x/75/a3/75a33c1d43bb30f69ee4815cb3a216f8.jpg;https://cdn.entero.ru/mp@2x/04/91/0491593a5c8c988e63784ec6e7029fd6.jpg,Диспенсер для вина Bermar BC05PS,Portable Tower,0,RUB,Нет,Bermar,Профоборудование,Для баров,Системы хранения вина,https://entero.ru/item/86656,"<p>Вакуумный диспенсер для вина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86656"">Bermar BC05PS</a></b> серии Portable Tower используется в барах и ресторанах для хранения и организации продажи розлива тихого вина по бокалам без потери их качества в течение 21 дня. Модель оснащена уникальной запатентованной технологией Le Verre de Vin, обеспечивающей идеально точный уровень вакуума, который остается стабильным, независимо от количества вина, оставшегося в бутылке. Корпус выполнен из нержавеющей стали с черной отделкой, подставка - из цельного куска древесины с резиновой прокладкой черного цвета.</p>

<p>При открытии бутылки тихого вина возникает проблема: вино окисляется под действием воздуха. Лучше всего качество вина сохраняется при нахождении закрытой бутылки вертикально в винном шкафу при температуре сервировки, соответствующей типу вина.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Адаптер питания 220 В на 24 В</li>
<li>Крепежная планка для монтажа на столешницу</li>
<li>Руководство по эксплуатации и гарантийный талон</li>
</ul>

<p><b>Инструкция по использованию:</b></p>

<ul>
<li>Открыть бутылку и налить бокал клиенту</li>
<li>Закрыть бутылку специальной пробкой</li>
<li>Поднести закрытую бутылку к соплу устройства, внутри которого находится высокоточный вакуумный насос, для создания внутри вакуума. Во время работы горит оранжевый индикатор</li>
<li>Через несколько секунд устройство отключится и загорится зеленый индикатор. Вакуум внутри бутылки создан</li>
<li>Теперь необходимо поставить бутылку в винный шкаф в вертикальном положении</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Светодиодная подсветка сопла, которая может самостоятельно меняться, ее можно выключить или зафиксировать в цвете, наиболее подходящем к интерьеру</li>
<li>Исключается возможность превышения уровня вакуума, даже в случае, когда бутылка подносится к соплу повторно</li>
<li>Возможность использования для неограниченного количества бутылок</li>
<li>Нет необходимости расходовать вино на промывку системы, в отличии от газовых диспенсеров</li>
<li>Низкие эксплуатационные расходы</li>
<li>Скорость и простота в применении</li>
<li>Легкое обучение персонала</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты:
<ul>
<li>Подставка: 280х500х30 мм</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Комплект дополнительных пробок 20 шт. <a href=""https://entero.ru/item/86241"">BC00/3</a></li>
<li>Комплект дополнительных пробок для бутылок с широким горлышком <a href=""https://entero.ru/item/86242"">BC00/3S</a></li>
</ul>",86656,220 В,0.06 кВт,120 мм,250 мм,485 мм,,,,0,https://entero.ru/manuals/66118/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Bermar%20BC05PS%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/66120/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Bermar%20BC05PS.jpg;https://entero.ru/manuals/302548/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bermar%20BC05PS.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239835&hd=2&autoplay=0,,,Великобритания
