Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Вес (с упаковкой),Количество емкостей,Обьем одной емкости
https://cdn.entero.ru/mp@2x/6d/8f/6d8f10de994008b0cea1e488b4b4735d.jpg,Сокоохладитель Cooleq JD-12+12,JD 12+12,34384,RUB,Да,Cooleq,Профоборудование,Для баров,Сокоохладители и граниторы,https://entero.ru/item/76042,"<p>Сокоохладитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/76042"">Cooleq JD-12+12</a></b> предназначен для хранения в охлажденном состоянии и последующей раздачи чая, соков, кофе и прохладительных напитков на предприятиях общественного питания и торговли. Модель оснащена лопастной системой перемешивания, которая гарантирует однородность консистенции и температуры продукта, а кран - бесперебойную подачу содержимого сокоохладителя. Корпус выполнен из нержавеющей стали, бункер - из прочного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Общий объём: 24 л</li>
</ul>",76042,сокоохладитель,от 7 до 12 °C,220 В,0.32 кВт,410 мм,410 мм,660 мм,28 кг,Китай,1,470x460x710 мм,0,https://entero.ru/manuals/66107/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Cooleq%20JD-12+12.pdf;https://entero.ru/manuals/97543/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20JD-12+12.pdf;https://entero.ru/manuals/483079/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,36972,,25 кг,,2,12 л
https://cdn.entero.ru/mp@2x/19/3c/193cad7a9cbb72fe1d612e3d8ffeefcb.jpg,Сокоохладитель Cooleq JD-12+12+12,JD 12+12+12,45699,RUB,Да,Cooleq,Профоборудование,Для баров,Сокоохладители и граниторы,https://entero.ru/item/83123,"<p>Сокоохладитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/83123"">Cooleq JD-12+12+12</a></b> предназначен для хранения в охлажденном состоянии и последующей раздачи чая, соков, кофе и прохладительных напитков на предприятиях общественного питания и торговли. Модель оснащена лопастной системой перемешивания, которая гарантирует однородность консистенции и температуры продукта, а кран - бесперебойную подачу содержимого сокоохладителя. Корпус выполнен из нержавеющей стали, бункер - из прочного поликарбоната.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Общий объём: 36 л</li>
</ul>",83123,сокоохладитель,от 7 до 12 °C,220 В,0.38 кВт,600 мм,410 мм,660 мм,40 кг,Китай,1,650x465x730 мм,0,https://entero.ru/manuals/97544/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20JD-12+12+12.pdf;https://entero.ru/manuals/483080/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,37 кг,,3,12 л
https://cdn.entero.ru/mp@2x/3d/6f/3d6f3b719d73bc126f458a63d63b025b.jpg,Сокоохладитель Hurakan HKN-LSJ18Lx2,Сокоохладитель Hurakan HKN-LSJ18Lx2,33959,RUB,Да,Hurakan,Профоборудование,Для баров,Сокоохладители и граниторы,https://entero.ru/item/86474,"<p>Сокоохладитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86474""><b class=""b"">Hurakan HKN-LSJ18x2</b></a> используется на предприятиях общественного питания и торговли для хранения в охлажденном состоянии и последующей раздачи чая, соков, кофе и прохладительных напитков. Модель оснащена лотком для сбора жидкости. Корпус выполнен из нержавеющей стали и крашеного металла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 520х470х740 мм</li>
</ul>",86474,сокоохладитель,от 7 до 12 °C,220 В,0.3 кВт,460 мм,445 мм,700 мм,32 кг,Китай,1,520x470x470 мм,24,https://entero.ru/manuals/65739/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-LSJ18x2.doc;https://entero.ru/manuals/414507/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/475832/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-LSJ18x2.pdf,36127,,28 кг,,2,18 л
https://cdn.entero.ru/mp@2x/7b/16/7b1691a6cd7373c8794f6a8c89163084.jpg,Сокоохладитель Hurakan HKN-LSJ18LX3,HKN-LSJ18X3,48073,RUB,Да,Hurakan,Профоборудование,Для баров,Сокоохладители и граниторы,https://entero.ru/item/86475,"<p>Сокоохладитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86475""><b class=""b"">Hurakan HKN-LSJ18LX3</b></a> используется на предприятиях общественного питания и торговли для хранения в охлажденном состоянии и последующей раздачи чая, соков, кофе и прохладительных напитков. Модель оснащена лотком для сбора жидкости. Корпус выполнен из нержавеющей стали и крашеного металла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 770х470х740 мм</li>
</ul>",86475,сокоохладитель,от 7 до 12 °C,220 В,0.35 кВт,710 мм,445 мм,700 мм,42 кг,Китай,1,770x470x740 мм,0,https://entero.ru/manuals/65740/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-LSJ18LX3.doc;https://entero.ru/manuals/414509/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/475833/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-LSJ18LX3.pdf,51691,,39 кг,,3,18 л
https://cdn.entero.ru/mp@2x/ff/74/ff74cefb11c4a0f7c3246c7fb693d053.jpg,Сокоохладитель EKSI JDB-3x10L,Сокоохладитель EKSI JDB-3x10L,43595,RUB,Да,EKSI,Профоборудование,Для баров,Сокоохладители и граниторы,https://entero.ru/item/115335,"<p>Сокоохладитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115335"">Eksi JDB-3x10L</a></b> используется на предприятиях общественного питания и торговли для хранения в охлажденном состоянии, демонстрации и последующей раздачи соков и прохладительных напитков. Корпус выполнен из нержавеющей стали, емкости - из пищевого полиуретана.</p>",115335,сокоохладитель,от 7 до 12 °C,220 В,0.3 кВт,433 мм,445 мм,678 мм,25.8 кг,Китай,1,480x480x725 мм,72,https://entero.ru/manuals/498436/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EKSI%20JDB-3x10L.pdf,62278,,23 кг,,3,10 л
https://cdn.entero.ru/mp@2x/17/bb/17bb4a5a28a471203e6dc79accb6559d.jpg;https://cdn.entero.ru/mp@2x/53/da/53da04d9153305bc04adcd4a761d7388.jpg,Сокоохладитель CAB ZIPPY 3,Сокоохладитель CAB ZIPPY 3,114455,RUB,Да,CAB,Профоборудование,Для баров,Сокоохладители и граниторы,https://entero.ru/item/251346,"<p>Сокоохладитель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251346""><b class=""b"">CAB ZIPPY 3</b></a> предназначен для охлаждения соков, холодного чая, других различных напитков и дальнейшего их розлива для подачи клиенту. Инновационная система охлаждения позволяет прибору не терять высокую производительность даже в самых экстремальных условиях. Корпус выполнен из нержавеющей стали, контейнеры - из поликарбоната.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Запатентованный механизм вращающихся лопастей позволяет избежать образования пены</li>
<li>Возможность регулировки температуры каждой емкости</li>
<li>Контейнеры легко снимается для облегчения чистки</li>
<li>Низкое энергопотребление</li>
</ul>",251346,сокоохладитель,от 2 до 8 °C,220 В,0.35 кВт,600 мм,400 мм,650 мм,34 кг,Италия,1,630x400x680 мм,0,https://entero.ru/manuals/308601/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20CAB%20ZIPPY%203.pdf,121761,,32 кг,,3,12 л
https://cdn.entero.ru/mp@2x/5b/99/5b99544495291ca09a04904fdf65d02f.jpg,Сокоохладитель Cooleq JD-12,JD 12,25799,RUB,Да,Cooleq,Профоборудование,Для баров,Сокоохладители и граниторы,https://entero.ru/item/76041,"<p>Сокоохладитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/76041"">Cooleq JD-12</a></b> предназначен для хранения в охлажденном состоянии и последующей раздачи чая, соков, кофе и прохладительных напитков на предприятиях общественного питания и торговли. Модель оснащена лопастной системой перемешивания, которая гарантирует однородность консистенции и температуры продукта, а кран - бесперебойную подачу содержимого сокоохладителя. Корпус выполнен из нержавеющей стали, бункер - из прочного поликарбоната.</p>",76041,сокоохладитель,от 7 до 12 °C,220 В,0.18 кВт,410 мм,290 мм,660 мм,23 кг,Китай,1,480x360x700 мм,0,https://entero.ru/manuals/66106/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Cooleq%20JD-12.pdf;https://entero.ru/manuals/97542/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20JD-12.pdf;https://entero.ru/manuals/483078/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,27741,,21 кг,,1,12 л
https://cdn.entero.ru/mp@2x/14/60/146085f76394968a50269c67cfd9a674.jpg,Сокоохладитель UGOLINI ARCTIC COMPACT 5/3,Сокоохладитель UGOLINI ARCTIC COMPACT 5/3,107061,RUB,Да,UGOLINI,Профоборудование,Для баров,Сокоохладители и граниторы,https://entero.ru/item/17519,"<p>Универсальный сокоохладитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/17519"">UGOLINI ARCTIC COMPACT 5/3</a></b> предназначен для охлаждения и розлива фруктовых соков и других негазированных холодных напитков на предприятиях общественного питания и торговли. Модель оснащена погружной магнитной помпой для смешивания напитков, съемными емкостями и кранами и регулируемым термостатом. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Герметичный механический компрессор</li>
<li>Конденсатор с принудительной вентиляцией</li>
<li>Предохранитель двигателя</li>
<li>Быстро разбирается</li>
<li>Легкая очистка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальный уровень шума: 70 дБ</li>
</ul>",17519,сокоохладитель,от 10 до 15 °C,220 В,0.34 кВт,370 мм,400 мм,550 мм,24 кг,Италия,1,410x410x690 мм,11,https://entero.ru/manuals/87464/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20UGOLINI.pdf;https://entero.ru/manuals/498037/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20UGOLINI%20ARCTIC%20COMPACT%205_3.doc;https://entero.ru/manuals/498038/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D1%8E.doc;https://entero.ru/manuals/498039/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/498040/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20UGOLINI%20ARCTIC%20COMPACT%205_3.pdf,,,22 кг,,3,5 л
https://cdn.entero.ru/mp@2x/12/85/1285bd9f42045273f643048169fe8e29.jpg,Сокоохладитель Hurakan HKN-LSJ50,Сокоохладитель Hurakan HKN-LSJ50,46380,RUB,Да,Hurakan,Профоборудование,Для баров,Сокоохладители и граниторы,https://entero.ru/item/86476,"<p>Сокоохладитель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86476"">Hurakan HKN-LSJ50</a></b> используется на предприятиях общественного питания и торговли для хранения в охлажденном состоянии и последующей раздачи чая, соков, кофе и прохладительных напитков. Модель оснащена лотком для сбора жидкости. Корпус выполнен из нержавеющей стали, крашеного металла и пластика.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 550х545х745 мм</li>
</ul>",86476,сокоохладитель,от 7 до 12 °C,220 В,0.3 кВт,398 мм,353 мм,680 мм,25 кг,Китай,1,550x545x745 мм,0,https://entero.ru/manuals/65737/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-LSJ50.doc;https://entero.ru/manuals/414510/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-LSJ50.pdf;https://entero.ru/manuals/414511/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,25 кг,,1,50 л
https://cdn.entero.ru/mp@2x/ee/ef/eeefe811cbfd5a749f18aa50b5dd4a81.jpg;https://cdn.entero.ru/mp@2x/08/12/0812bf1d4c969cfd800e28363f79b03d.jpg,Гранитор Cooleq SM-10+10 с подсветкой,Гранитор Cooleq SM-10+10 с подсветкой,107339,RUB,Да,Cooleq,Профоборудование,Для баров,Сокоохладители и граниторы,https://entero.ru/item/332812,"<p>Гранитор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/332812""><b class=""b"">Cooleq SM-10+10</b></a> используется для приготовления охлажденных десертов на фруктовой основе, с сиропом или слабоалкогольным напитком на предприятиях общественного питания и торговли. Ночной режим хранит продукт в нерабочие часы при сниженном энергопотреблении и продлевает срок службы компрессора. Подсветка в верхней крышке бункера обеспечивает приятный внешний вид аппарата и десертов при низком освещении.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 режима:</li>
<li>Замораживание для приготовления фруктового льда</li>
<li>Охлаждение/ночной режим для прохладительных напитков и хранения продукта в нерабочие часы</li>
<li>Климатический класс: N/ST/T</li>
<li>Хладагент R290</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура:
<ul>
<li>Замораживание: от -2 до -3 °С</li>
<li>Охлаждение/ночной режим: от 7 до 12 °С</li>
</ul>
</li>
</ul>",332812,гранитор,от -3 до -2 °C,220 В,0.6 кВт,430 мм,510 мм,760 мм,56 кг,Китай,1,550x480x870 мм,0,https://entero.ru/manuals/393881/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Cooleq%20SM-10%2010.pdf;https://entero.ru/manuals/483039/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,44 кг,,2,10 л
