Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Длина шланга
https://cdn.entero.ru/mp@2x/90/2e/902e46b5bd3617b2f7680b29629b144d.jpg;https://cdn.entero.ru/mp@2x/8e/38/8e38045b5ff1b5a4249020927f064e99.jpg;https://cdn.entero.ru/mp@2x/13/5e/135e1c2ee97b720b41b1d53ee30b6432.jpg;https://cdn.entero.ru/mp@2x/d7/c8/d7c809fe4c686d0701524e296afe2c3f.jpg,Коптильный пистолет PolyScience Smoking Gun Pro,SG2-PSCPRO / SmokinGan / GSM700PSS0NUK1 / The Smoking Gun® Pro,25740,RUB,Да,PolyScience,Профоборудование,Для баров,Устройства для окуривания,https://entero.ru/item/88578,"<p>Коптильный пистолет<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88578"">PolyScience Smoking Gun Pro</a></b> предназначен для окуривания холодным и ароматным дымом мяса, морепродуктов, салатов, овощей, закусок, десертов, маринадов, соусов, супов, коктейлей и других продуктов и напитков любой плотности и консистенции на предприятиях общественного питания и торговли, а также в домашних условиях. Разнообразные ароматические дымы придают особый шарм любому блюду, который по достоинству оценит каждый гурман. Главное преимущество использования устройства - это возможность употребления в пищу ""подкопченых"" с его помощью ароматных продуктов даже теми людьми, которые не могут употреблять натуральные копчености и придерживаются диетического питания.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>4 сетчатых фильтра</li>
<li>Шестигранный ключ</li>
<li>Установочный винт</li>
<li>Гибкая трубка для направления дыма в жидкость</li>
<li>4 батарейки типа АА</li>
<li>2 образца древесной стружки: яблочное дерево и гикори</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрое придание любым напиткам и блюдам вкусоароматических свойств, создание так называемых блюд ""с дымком"" всего за 1-3 минуты</li>
<li>Возможность обработки продуктов, которые нельзя коптить обычным способом</li>
<li>Возможность усилить и освежить вкус и аромат уже копченых продуктов</li>
<li>Невероятная простота использования:
<ul>
<li>Погрузити в дымовой отсек древесную стружку (чипсы) и подожгите</li>
<li>Направьте шланг устройства в контейнер с блюдом, герметично закрытый крышкой или пленкой стретч</li>
<li>В течении нескольких секунд блюдо пропитается дымом и приобретет уникальный вкус и аромат</li>
</ul>
</li>
<li>Возможность использования разных древесных стружек и других ингредиентов для создания дыма, по размеру подходящих под размер дымового отсека, в том числе и специфических: сухих трав и цветов, специй, чайного или табачного листа</li>
<li>Ингредиенты для создания дыма не должны содержать смолы в целях избежания повреждения и забивания дымохода</li>
<li>Большой выбор ароматов и их сочетаний</li>
<li>Ручная регулировка количества дыма - возможность сокращения и увеличения времени обработки согласно своим предпочтениям, а также проведения повторного окуривания блюд</li>
<li>Возможность демонстрации процесса копчения клиентам и креативной подачи заказа</li>
<li>Возможность обработки ароматическим дымом посуды и предметов сервировки</li>
<li>Отлично подходит для обработки продуктов, которые готовятся по технологии Sous Vide или другими методами, где пища обычно не подвергается прямому воздействию огня или дыма</li>
<li>Сверхпрочный металлический вентилятор не плавится при нагревании</li>
<li>Полностью разборная коптильная камера из анодированного алюминия</li>
<li>Эффективный двигатель с низким уровнем шума</li>
<li>Компактность и небольшой вес</li>
<li>Простой уход - периодическая промывка стальной головки и сетки дымовой камеры теплой мыльной водой с последующей сушкой, а также продув дымоподающей трубки</li>
<li>Интегрированная в корпус подставка</li>
<li>Корпус из высококпрочного термостойкого пластика</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Поток воздуха: от 5,3 до 15,1 м/с</li>
<li>Стандартное время обработки продукта: от 30 до 90 сек.</li>
<li>Уровень шума: 60 Дб</li>
<li>Размер коптильной камеры: 122х46х46 мм</li>
<li>Диаметр коптильной трубки: 10 мм</li>
<li>Габариты в упаковке: 254х292х89 мм</li>
<li>Вес: 1,7 кг</li>
</ul>",88578,122 мм,46 мм,46 мм,,,,11,,,https://vk.com/video_ext.php?oid=-177656185&id=456240269&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239280&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239717&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239612&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240138&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240300&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240622&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240388&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239425&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239645&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239286&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240256&hd=2&autoplay=0,1.7 кг,,,110 мм
https://cdn.entero.ru/mp@2x/77/2d/772d9c50407e0ad6104339ad515a2984.jpg;https://cdn.entero.ru/mp@2x/17/77/1777680d210e41a71a0a5921ec4869b3.jpg;https://cdn.entero.ru/mp@2x/56/9b/569ba40f735cd5a516ba9666b41b09bc.jpg;https://cdn.entero.ru/mp@2x/12/b1/12b182084f47b12a09c396c375d019bb.jpg,Коптильный пистолет JAU SG,Коптильный пистолет JAU SG,6446,RUB,Да,JAU,Профоборудование,Для баров,Устройства для окуривания,https://entero.ru/item/122897,"<p>Коптильный пистолет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122897"">JAU SG</a></b> предназначен для окуривания ароматным дымом продуктов: мяса, морепродуктов, маринадов, соусов, супов, салатов, овощей, закусок, десертов и коктейлей. В коптильном пистолете можно использовать мелкие древесные стружки и любые дымящиеся ингредиенты, а также специи, сигары, приправы, травы и сухие чайные листья. Корпус модели изготовлен из пластики и нержавеющей стали, трубка - из резины.</p>

<p>В комплект поставки входит резиновая трубка длиной 40 см.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Мощность: 1.50 кВатт</li>
<li>Питание: 4 батарейки типа АА</li>
<li>Размеры: 106х60х124 мм</li>
<li>Вес с упаковкой: 0,4 кг</li>
</ul>",122897,60 мм,106 мм,124 мм,,,,0,https://entero.ru/manuals/129793/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20JAU%20SG.pdf;https://entero.ru/manuals/458411/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20JAU%20SG.pdf;https://entero.ru/manuals/482038/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,0.33 кг,,Китай,400 мм
https://cdn.entero.ru/mp@2x/de/c2/dec21e38c895888e92b4880a0a9eec65.jpg,Окуриватель InnoCook Smoker,Окуриватель InnoCook Smoker,8618,RUB,Да,,Профоборудование,Для баров,Устройства для окуривания,https://entero.ru/item/345198,"<p>Окуриватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345198"">InnoCook Smoker</a></b> предназначен для ароматизации дымом в контейнерах или пакетах ветчины, сыра, мяса, коктейлей, хлеба и других продуктов. Модель подходит для окуривания травами или чаем. Прибор имеет форму пистолета, отличается разборной конструкцией и питанием от батарей.</p>

<p>В комплект поставки входят 2 вида опилок.</p>",345198,,,,,,,0,https://entero.ru/manuals/421524/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20InnoCook.pdf,,,0.8 кг,,Китай,500 мм
https://cdn.entero.ru/mp@2x/04/f7/04f789e2e8ee6c8ea6e9140b77731659.jpg;https://cdn.entero.ru/mp@2x/df/ae/dfae8455da4b93817659d7741d203997.jpg;https://cdn.entero.ru/mp@2x/53/e0/53e01c178a4f19c3451eb27ec5b927d7.jpg,Прибор для ароматизации продуктов дымом Steba Smoking Box,Прибор для ароматизации продуктов дымом Steba Smoking Box,5274,RUB,Да,,Профоборудование,Для баров,Устройства для окуривания,https://entero.ru/item/285341,"<p>Прибор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/285341"">Steba Smoking Box</a></b> предназначен для окуривания ароматным дымом мяса, морепродуктов, маринадов, соусов, супов, салатов, овощей, закусок, десертов и коктейлей. Модель оснащена отсеком для батарей, нагревательным элементом и выводящей дымовой трубкой. В качестве заправки можно использовать мелкие древесные стружки, а также специи, сигары, приправы, травы и сухие чайные листья.</p>

<p>В комплект поставки входят пакет и 2 упаковки древесных опилок различных сортов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Съемный гибкий шланг для ароматизации в емкостях или пакетах</li>
<li>Съемная коптильная камера для удобства очистки</li>
<li>Питание от 4 батарей типоразмера LR6 (AA)</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Номинальное напряжение батарей: 4х1,5 В</li>
</ul>",285341,40 мм,40 мм,230 мм,,,,0,,,,,Германия,Китай,250 мм
https://cdn.entero.ru/mp@2x/97/bf/97bf37f0329926ea7e01dd46e38c54d6.jpg,Клише электрическое для имитации гриля Angelo Po MARK1D,Клише электрическое для имитации гриля Angelo Po MARK1D,107838,RUB,Да,Angelo Po,Профоборудование,Для баров,Устройства для окуривания,https://entero.ru/item/269111,"<p>Клише электрическое для имитации гриля <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/269111""><b class=""b"">Angelo Po MARK1D</b></a> используется на предприятиях общественного питания и торговли для маркировки сырых или готовых продуктов, придающее им вид и вкус продуктов, приготовленных на гриле. Модель оснащена встроенным защитным трансформером. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит съемный скребок для очистки нагревательных элементов и для фиксации прибора, когда он не используется.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Емкость формата GN 1/6 </li>
<li>Класс защиты от проникнованения внутрь корпуса влаги и воды: IPX5</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Напряжение: 220В</li>
<li>Мощность: 0,56 кВт</li>
</ul>",269111,350 мм,320 мм,360 мм,25 кг,1,440x860x660 мм,0,,115955,,,,Италия,
https://cdn.entero.ru/mp@2x/b4/57/b45709af6fd41d26202ee9e5d2d7a05c.jpg;https://cdn.entero.ru/mp@2x/14/b4/14b4f55b6a026a10e2d8812b7e8373a7.jpg;https://cdn.entero.ru/mp@2x/37/ac/37ace8eebf4e3caf4e9c928a4a18bc0b.jpg;https://cdn.entero.ru/mp@2x/6e/81/6e813995ccf30f112e2f5db431e59ac0.jpg;https://cdn.entero.ru/mp@2x/51/e4/51e412642463fa11b38a18faaa207a00.jpg;https://cdn.entero.ru/mp@2x/c3/ea/c3ea4b4816523a6aa7eeb95c768ea2aa.jpg,Пистолет коктейльный InnoCook Blaster Kit,blaster-kit,22990,RUB,Нет,,Профоборудование,Для баров,Устройства для окуривания,https://entero.ru/item/345199,"<p>Коктейльный пистолет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345199"">InnoCook Blaster Kit</a></b> используется в барах и предназначен для создания пузырей, наполненных ароматным цветным дымом.</p>

<p>В комплект поставки входят пистолет, сумка, USB-кабель для зарядки, картридж, 5 сердцевин картриджа, 5 флаконов с жидкостями, бутыль с базовой жидкостью 300 мл и коробка.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер пистолета: 205х120х170 мм</li>
</ul>",345199,,,,,,,0,https://entero.ru/manuals/421525/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20InnoCook.pdf,23948,,3 кг,,Китай,
https://cdn.entero.ru/mp@2x/bb/64/bb64240c3ae3e9d90ff10290351c79ef.jpg;https://cdn.entero.ru/mp@2x/f1/e7/f1e7897febcb410f2c07ad6a466f07d8.jpg;https://cdn.entero.ru/mp@2x/82/66/8266ad9c5c3fef840ad195a8dceaca40.jpg;https://cdn.entero.ru/mp@2x/28/b8/28b855199c9226e44be0b3adeed973f7.jpg;https://cdn.entero.ru/mp@2x/82/0b/820b5ad61f68afc7e291ab83e84ea84c.jpg;https://cdn.entero.ru/mp@2x/d8/ff/d8ffc767921e2c7c06198c9414d3ceb6.jpg;https://cdn.entero.ru/mp@2x/5e/f9/5ef95d633c6bf212e9f808f29a9cbf70.jpg;https://cdn.entero.ru/mp@2x/be/17/be17e2a9a0c5a8f0c994b47b97cd1ee1.jpg;https://cdn.entero.ru/mp@2x/e8/0c/e80c51c2ad91086f3f2b6607aedd4119.jpg;https://cdn.entero.ru/mp@2x/61/43/61436f5e235ff91b44e167b7bc75691a.jpg;https://cdn.entero.ru/mp@2x/79/15/79153b0d9f060e914bab19e26e95c0b4.jpg;https://cdn.entero.ru/mp@2x/4f/9f/4f9f90713b69acc3e4a02f0d822b1db4.jpg;https://cdn.entero.ru/mp@2x/57/f2/57f2684fa6307ef79c94bd1e0da3eec6.jpg;https://cdn.entero.ru/mp@2x/a3/bc/a3bc738c602293426c4b0ed90312bf5b.jpg;https://cdn.entero.ru/mp@2x/e5/84/e5842edd0276623a05d4a01966868fc7.jpg;https://cdn.entero.ru/mp@2x/ff/74/ff74ea0daa5017c3ad792662bd2ea585.jpg;https://cdn.entero.ru/mp@2x/d1/b0/d1b067b1a05bea4e2b65d9cf89be1d33.jpg;https://cdn.entero.ru/mp@2x/66/ff/66ff0a76731eddd3a9a4c0297a8228bf.jpg;https://cdn.entero.ru/mp@2x/6f/62/6f6269d363e1898d315b74a11da27184.jpg;https://cdn.entero.ru/mp@2x/75/0e/750ee5184f8dbb3643746d097d488355.jpg;https://cdn.entero.ru/mp@2x/6d/80/6d80607854f0c1c3e77572d1285cb597.jpg;https://cdn.entero.ru/mp@2x/f1/30/f1309c4196a5a6f45f1442e2cbf454c6.jpg;https://cdn.entero.ru/mp@2x/e2/4a/e24adb530731ad050e816bbd35891af6.jpg;https://cdn.entero.ru/mp@2x/26/c3/26c37286f42ec6ced2e5dce933ffe46f.jpg;https://cdn.entero.ru/mp@2x/0f/04/0f0462ca2159f881a732b63c620f3486.jpg,Коптильный пистолет PolyScience Smoking Gun,Коптильный пистолет PolyScience Smoking Gun,0,RUB,Нет,PolyScience,Профоборудование,Для баров,Устройства для окуривания,https://entero.ru/item/50922,"<p>Коптильный пистолет<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/50922"">PolyScience Smoking Gun</a></b> служит для окуривания холодным и ароматным дымом продуктов и жидкостей: мяса, морепродуктов, маринадов, соусов, супов, салатов, овощей, закусок, десертов и коктейлей. С помощью применения Smoking Gun™ можно получить запах копчености, не портя свою диету. В коптильном пистолете можно использовать мелкие древесные стружки и любые дымящиеся ингредиенты, а также специи, сигары, приправы, травы, сигары и сухие чайные листья.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Акриловая стойка</li>
<li>Баночки со стружками яблони и гикори</li>
<li>Гибкая трубка для направления дыма в жидкость</li>
<li>4 батарейки размера АА</li>
</ul>",50922,,,,,,,0,https://entero.ru/manuals/50574/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20PolyScience%20Smoking%20Gun.pdf;https://entero.ru/manuals/33560/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20PolyScience.docx,,,,,,
https://cdn.entero.ru/mp@2x/80/43/804355d959d716c8e93c37cd636161b2.jpg;https://cdn.entero.ru/mp@2x/fc/21/fc2155bc58338bae690f1abd72717975.jpg;https://cdn.entero.ru/mp@2x/86/27/8627021e6dc563f6988418bdad26e1df.jpg;https://cdn.entero.ru/mp@2x/dc/ac/dcac9ea6fe232d8bd12040236f63340e.jpg;https://cdn.entero.ru/mp@2x/62/b6/62b6a6b1196eb1c99d47e585562bef94.jpg;https://cdn.entero.ru/mp@2x/a7/53/a7533f91a2996086465ebc3895f4dc63.jpg;https://cdn.entero.ru/mp@2x/e3/b1/e3b17e38b2ee2c22fc485300913510ec.jpg;https://cdn.entero.ru/mp@2x/88/eb/88ebcd4966710e4dfa12b9f7a93cd7e4.jpg,Пистолет коптильный HENDI 199640,Пистолет коптильный HENDI 199640,0,RUB,Нет,HENDI,Профоборудование,Для баров,Устройства для окуривания,https://entero.ru/item/277351,"<p>Коптильный пистолет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/277351"">HENDI 199640</a></b> предназначен для окуривания холодным и ароматным дымом мяса, морепродуктов, салатов, овощей, закусок, десертов, маринадов, соусов, супов, коктейлей и других продуктов и напитков любой плотности и консистенции на предприятиях общественного питания и торговли, а также в домашних условиях. Модель оснащена съемным сетчатым фильтром и удобной ручкой для простого использования одной рукой. Корпус выполнен из ABS-пластика, камера вентилятора - из алюминия.</p>

<p>В комплект входят запасные сетчатые фильтры, пинцет и USB-кабель для зарядки.</p>

<p>Ароматические щепки и травы для копчения в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность употребления в пищу ""подкопченых"" продуктов даже теми людьми, которые не могут употреблять натуральные копчености и придерживаются диетического питания</li>
<li>3 скорости генерации и подачи дыма</li>
<li>Мелкие фрукты и овощи не изменяют свою текстуру и температуру благодаря холодному окуриванию</li>
<li>Камера вентилятора действует как тепловая ловушка для охлаждения дыма</li>
<li>Управление одной кнопкой</li>
<li>Поворотный вентилятор подходит для всасывания воздуха</li>
<li>Не нужно замачивать ароматные сухари перед копчением</li>
<li>Для курения можно использовать чай или специи</li>
<li>Гибкий силиконовый шланг для легкого удаления дыма в герметичных пакетах и контейнеров</li>
<li>Питание от литиевой батареи</li>
<li>Легкая очистка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Емкость батареи: 1000 мАч</li>
</ul>",277351,215 мм,70 мм,160 мм,,,,0,https://entero.ru/manuals/344338/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20HENDI%20199640.pdf,,,0.5 кг,Нидерланды,,500 мм
https://cdn.entero.ru/mp@2x/26/d4/26d4e39addc7532d4bcb6fc4f31d28d1.jpg;https://cdn.entero.ru/mp@2x/43/ac/43ac45fbe4882cc66b2b0f79b83116c1.jpg;https://cdn.entero.ru/mp@2x/61/1d/611d2e27acfa1a42359e808213e88226.jpg;https://cdn.entero.ru/mp@2x/63/a7/63a717afb89dffeb901acc9a70ea15f3.jpg;https://cdn.entero.ru/mp@2x/22/11/2211ffb8f9bca3bd955f9f60d65ebce1.jpg;https://cdn.entero.ru/mp@2x/88/fb/88fb2cab1a07e1bc5c2093c00ebeb667.jpg,Прибор для ароматизации продуктов дымом SmokeGurman C&D,Прибор для ароматизации продуктов дымом SmokeGurman C&D,0,RUB,Нет,SmokeGurman,Профоборудование,Для баров,Устройства для окуривания,https://entero.ru/item/116840,"<p>Прибор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116840""><b class=""b"">Progurman SmokeGurman C&D</b></a> используется на предприятиях общественного питания и торговли, а также в домашних условиях для придания аромата копчения продуктам и готовым блюдам с сохранением их полезных свойств. Устройство не подвергает обрабатываемые продукты воздействию канцерогенов - так называемый «холодный дым», в отличие от горячего копчения, не обезвоживает продукт и не напитывает его канцерогенными углеводородами.</p>

<p>В комплект поставки входят 4 батарейки типа АА и инструкция.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Понадобится всего несколько секунд, чтобы напитать ароматом дыма любимые блюда</li>
<li>Удобный и легкий в использовании:
<ul>
<li>Засыпьте немного древесных щепок или стружек в камеру сгорания прибора</li>
<li>Включите прибор и подожгите древесину спичкой или зажигалкой</li>
<li>Поток воздуха от вентилятора окутает ваше блюдо плотным облаком дыма, образовавшегося при сгорании стружек (древесных чипсов)</li>
</ul>
</li>
<li>Практичный - отсоедините камеру сгорания от устройства и легко удалите нагар</li>
<li>В качестве емкости для окуривания подходит любой пищевой контейнер для продуктов или пакет, но идеальным вариантом будет так называемый клош или баранчик</li>
<li>Вместе со специальными древесными чипсами можно поместить в коптильную камеру сухие специи, чайный лист, сухое разнотравие или даже мелко нарубленные зубочистки</li>
<li>Не рекомендуется помещать в камеру сгорания древесные продукты, содержащие смолы, для избегания засора и поломки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Питание: 4 батарейки типа АА</li>
<li>Длина шланга для окуривания: 250 мм</li>
<li>Длина пластикового штуцера: 80 мм</li>
<li>Диаметр шланга для окуривания: 8 мм</li>
<li>Диаметр пластикового штуцера: 8 мм</li>
<li>Размеры: 150х35х35 мм</li>
</ul>",116840,,,,,,,0,https://entero.ru/manuals/117490/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg,,https://vk.com/video_ext.php?oid=-177656185&id=456240030&hd=2&autoplay=0,,,,
https://cdn.entero.ru/mp@2x/85/68/8568f57fff90fb49788d88974aa24db8.jpg;https://cdn.entero.ru/mp@2x/21/d6/21d6af12bf12f4c871dce713203ea531.jpg;https://cdn.entero.ru/mp@2x/7b/4e/7b4e23f5eb965d993c7884260e34c849.jpg;https://cdn.entero.ru/mp@2x/ca/77/ca77f0836067f434ee4432c38d752f23.jpg;https://cdn.entero.ru/mp@2x/75/95/75957da721e27be65cbadf29c4c9f192.jpg;https://cdn.entero.ru/mp@2x/56/1f/561fd59b74e68cf319b32e183533521d.jpg,Пистолет коптильный HENDI 199992,Пистолет коптильный HENDI 199992,0,RUB,Нет,HENDI,Профоборудование,Для баров,Устройства для окуривания,https://entero.ru/item/277352,"<p>Коптильный пистолет <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/277352"">HENDI 199992</a></b> предназначен для окуривания холодным и ароматным дымом мяса, морепродуктов, салатов, овощей, закусок, десертов, маринадов, соусов, супов, коктейлей и других продуктов и напитков любой плотности и консистенции на предприятиях общественного питания и торговли, а также в домашних условиях. Модель оснащена съемной камерой сгорания со встроенным фильтром. Корпус выполнен из алюминия и способствуют охлаждению дыма перед подачей.</p>

<p>Батарейки, древесная стружка и травы для окуривания в комплект поставки не входят и приобретааются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Гибкий силиконовый шланг для легкого удаления дыма в герметичных пакетах и контейнеров</li>
<li>Не требуется предварительное замачивание древесных стружек перед окуриванием</li>
<li>Для окуривания также можно использовать чай или специи</li>
<li>Возможность управления одной рукой</li>
<li>Мелкие фрукты и овощи не изменяют свою текстуру и температуру благодаря холодному окуриванию</li>
<li>Питание от 2 батареек типа АA</li>
<li>Легкость и компактность</li>
</ul>",277352,90 мм,54 мм,122 мм,,,,0,https://entero.ru/manuals/344339/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20HENDI%20199992.pdf;https://entero.ru/manuals/344340/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20HENDI%20199992.pdf;https://entero.ru/manuals/344341/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20HENDI%20199992%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,0.27 кг,Нидерланды,,300 мм
