Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Нагрев
https://cdn.entero.ru/mp@2x/6a/19/6a1923c28867bbbfdd2824a1bc5b245e.jpg;https://cdn.entero.ru/mp@2x/87/57/8757eefc8d107424f2870a34f1dfb762.jpg,Барабан дражировочный Danler VL-30 с обдувом,"025352/VL-30 (новая модель, с обдувом)",99371,RUB,Да,Danler,Профоборудование,Кондитерское,Глазировочные машины,https://entero.ru/item/180639,"<p>Лабораторный дражировочный барабан <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/180639""><b class=""b"">Danler VL-30</b></a> используется на предприятиях пищевой промышленности и общественного питания, в пекарнях и кондитерских для производства драже покрытых сахарной, шоколадной и витаминно-фруктовой оболочкой. Изменяемый угол наклона позволяет быстро проводить загрузку и выгрузку продукта, а также контролировать процесс нанесения ингредиентов. Модель оснащена вращающимся барабаном с обдувом. Барабан выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка барабана: 2 кг</li>
<li>Диаметр барабана: 300 мм</li>
<li>Скорость вращения: от 3 до 50 об/мин.</li>
<li>Угол наклона барабана: от 15 до 45°</li>
<li>Мощность двигателя: 40 Вт</li>
<li>Производительность: от 3 до 15 кг</li>
</ul>

<p> </p>

<p><br>
</p>",180639,дражировочный барабан,220 В,0.2 кВт,400 мм,250 мм,450 мм,,,,0,https://entero.ru/manuals/477164/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%B8%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D1%83%20%D0%BD%D0%B0%20Danler%20VL-30%20%D1%81%20%D0%BE%D0%B1%D0%B4%D1%83%D0%B2%D0%BE%D0%BC.pdf;https://entero.ru/manuals/477165/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Danler%20VL-30%20%D1%81%20%D0%BE%D0%B1%D0%B4%D1%83%D0%B2%D0%BE%D0%BC.pdf,105714,https://vk.com/video_ext.php?oid=-177656185&id=456240580&hd=2&autoplay=0,30 кг,,Китай,
https://cdn.entero.ru/mp@2x/40/54/4054d0859fede60fbf6642123c67c903.jpg,Дражировочный барабан Станкостроитель ДР-51,Дражировочный барабан Станкостроитель ДР-51,0,RUB,Нет,Станкостроитель,Профоборудование,Кондитерское,Глазировочные машины,https://entero.ru/item/22789,"<p>Машина глазировочная <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/22789""><b class=""b"">ДР-51</b></a> предназначена для дражирования витаминно-кондитерских изделий всех сортов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Производительность не более 100 кг/час</li>
<li>Размеры чаши 700х700 мм</li>
<li>3 скорости вращения</li>
</ul>",22789,дражировочный барабан,380 В,3 кВт,800 мм,1000 мм,1500 мм,,,,0,https://entero.ru/manuals/302909/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A1%D1%82%D0%B0%D0%BD%D0%BA%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D0%94%D0%A0-51.pdf,,,250 кг,,Россия,
https://cdn.entero.ru/mp@2x/c9/e5/c9e5ff945eacb95c596068f69e923863.jpg;https://cdn.entero.ru/mp@2x/57/7f/577f0d9ea27b85533bc5ec90297a5691.jpg;https://cdn.entero.ru/mp@2x/83/26/832667569bb699b5f689e39cd5295b53.jpg,Барабан дражировочный Kadzama 27 кг,Барабан дражировочный Kadzama 27 кг,457772,RUB,Нет,,Профоборудование,Кондитерское,Глазировочные машины,https://entero.ru/item/231955,"<p>Дражировочный барабан <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231955"">Kadzama 27 кг</a></b> предназначен для производства драже методом накатки различных субстанций на арахис и другие орехи на предприятиях общественного питания и торговли. Модель оснащена вращающимся барабаном и колесами со стопорами. Корпус и барабан выполнены из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемая скорость вращения</li>
<li>Кнопка аварийной остановки</li>
<li>Кнопки Старт и Стоп</li>
<li>Ручной поворотный механизм позволяет выгрузить содержимое барабана даже в случае отключения электроэнергии</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка: 27 кг</li>
<li>Размер барабана: 489х489х425 мм</li>
<li>Скорость вращения: до 90 об./мин.</li>
<li>Потребляемая мощность: 0,55 кВт*ч</li>
<li>Габариты в упаковке: 1200х800х1300 мм</li>
</ul>",231955,дражировочный барабан,220 В,,920 мм,750 мм,1200 мм,145 кг,1,1200x800x1300 мм,0,https://entero.ru/manuals/279036/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kadzama%2027%20%D0%BA%D0%B3.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239245&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240243&hd=2&autoplay=0,125 кг,,Россия,
https://cdn.entero.ru/mp@2x/a4/84/a48438e86930422651f23a932e8d93f2.jpg,Машина для нанесения глазури Pavoni GLASSICE,GLASS-ICE,496531,RUB,Нет,Pavoni,Профоборудование,Кондитерское,Глазировочные машины,https://entero.ru/item/32099,"<p>Машина для нанесения глазури​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32099"">Pavoni GLASSICE</a></b> используется в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания. Модель позволяет нанести шоколад, сахар, помадную массу и глазурь тонким слоем на кондитерские и хлебобулочные изделия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 100 пирожных за 15 сек.</li>
</ul>",32099,глазировочная машина,220 В,0.7 кВт,1100 мм,600 мм,1010 мм,,,,0,https://entero.ru/manuals/91626/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Pavoni%20GLASSICE%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/91627/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Pavoni%20GLASSICE.doc;https://entero.ru/manuals/91628/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Pavoni%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,539708,,50 кг,,Италия,
https://cdn.entero.ru/mp@2x/ca/ff/caffdd0aa9a1659b427678acff3ecb7f.jpg;https://cdn.entero.ru/mp@2x/8a/28/8a2865fd5e184d9001053107826dc4a9.jpg;https://cdn.entero.ru/mp@2x/c5/60/c560a08e183c29d38ab1a37624d78bf0.jpg;https://cdn.entero.ru/mp@2x/9f/4d/9f4d81990c52130be31cc2923079ae87.jpg;https://cdn.entero.ru/mp@2x/45/de/45deecafe97c402111f926a0a88cff04.jpg;https://cdn.entero.ru/mp@2x/dd/de/ddde2f53eb91f074e7393962577ecc2c.jpg;https://cdn.entero.ru/mp@2x/85/c7/85c7ed3e4b82710828dd6a6d1e68fbed.jpg;https://cdn.entero.ru/mp@2x/33/1b/331b83dc885077d6ed0462b52a1e27d3.jpg;https://cdn.entero.ru/mp@2x/51/36/5136d6a8d00b2769b6e49ac560584593.jpg;https://cdn.entero.ru/mp@2x/fa/de/fade873e1301f3411cf789efbb0ee68d.jpg;https://cdn.entero.ru/mp@2x/2e/47/2e47bc64a271d260596266eb23a1b6c1.jpg;https://cdn.entero.ru/mp@2x/8d/b8/8db86317aaa75addcf249e17c880fb30.jpg;https://cdn.entero.ru/mp@2x/20/c2/20c24f27eb1a169cebccc2cb577ff37f.jpg,Линия для глазирования и декорирования DITO Group ZETA 400 LN,ZETA 400 + ASE 400Т,2314466,RUB,Нет,DITO Group,Профоборудование,Кондитерское,Глазировочные машины,https://entero.ru/item/80337,"<p>Линия для глазирования и декорирования <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/80337"">DITO Group ZETA 400 LN</a></b> используется в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для автоматизации процесса глазирования, декорирования и охлаждения кондитерских изделий. Все детали машины для глазирования и декорирования выполнены из нержавеющей стали AISI 304 и пищевого пластика, кожух - из монолитного поликарбоната толщиной 6 мм. Охлаждающий конвейер и его камера выполнены из нержавеющей стали AISI 304.</p>

<p><b>Особенности машины для глазирования и декорирования ZETA 400:</b></p>

<ul>
<li>Регулировка толщины слоя глазури</li>
<li>Лопастной насос высокого давления и обдув обеспечивают равномерный слой глазури</li>
<li>Частотно-регулируемый привод для плавного изменения подаваемого объема глазури и регулирования скорости движения конвейера</li>
<li>Покрытие глазурью полностью (верх и низ) или частично (только верх / только низ)</li>
<li>При декорировании на верх изделия наносится рисунок, а низ глазируется полностью, либо только наносится рисунок на верх изделия</li>
<li>Хвостовой валик снимает лишнюю глазурь и одновременно заглаживает нижнюю часть продукции</li>
<li>Ночной режим поддерживает заданную температуру плавления шоколада с заданным интервалом перемешивания и с заданным интервалом прокачки шоколада по трубопроводу машины</li>
<li>​Дежа с мешалкой для перемешивания глазури</li>
<li>Обогрев дежи водяная рубашка с помощью электрических ТЭНов</li>
<li>Съемный конвейер TR 400 для глазирования и декорирования (хвостовик + встряска)</li>
</ul>

<p><b>Особенности охлаждающего конвейера ASE 400Т:</b></p>

<ul>
<li>Охлаждение путем рециркуляции охлажденного воздуха</li>
<li>Объем подачи охлажденного воздуха регулируется с помощью дистанционного управления с использованием микропроцессора</li>
<li>Частотно-регулируемый привод Omron для плавного регулирования скорости движения конвейера</li>
<li>Конвейерная лента синего / белого цвета UNI (Италия)</li>
<li>Мотор-редуктор Motive (Италия)</li>
<li>Холодильный агрегат EMBRACO ASPERA (Италия)</li>
<li>Воздухоохладители ЕСО (Италия)</li>
<li>2 цифровых контроллера EVK 203 (Италия)</li>
<li>Хладагент R 404A (DUPONT)</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Машина для глазирования и декорирования ZETA 400:
<ul>
<li>Производительность: до 250 кг/ч</li>
<li>Вместимость дежи: 60 кг</li>
<li>Ширина конвейера: 420 мм</li>
<li>Напряжение: 380 В</li>
<li>Мощность: 6 кВт</li>
<li>Габариты: 1500х900х1500 мм</li>
<li>Вес: 320 кг</li>
</ul>
</li>
<li>Охлаждающий конвейер ASE 400Т:
<ul>
<li>Производительность: 250 кг/ч</li>
<li>Температурный режим: от 0 до -15 °С</li>
<li>Длина охлаждающих зоны: 2500 мм</li>
<li>Длина приемного / выходного стола конвейера: 150 мм</li>
<li>Скорость конвейера: от 0 до 5,5 м/мин.</li>
<li>Ширина конвейера: 400 мм</li>
<li>Напряжение: 380 В</li>
<li>Мощность: 3,8 кВт</li>
<li>Высота от пола до верха конвейера: 920 мм</li>
<li>Габариты: 3730х750х1200-1550 мм</li>
<li>Вес: 250 кг</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Бак для плавки глазури <a href=""https://entero.ru/item/80470"">Z60ET</a></li>
<li>Декоратор <a href=""https://entero.ru/item/80468"">DEC 400</a></li>
<li>Сито для ванны <a href=""https://entero.ru/item/80469"">ST 400</a></li>
<li>Хвостовик с электроприводом <a href=""https://entero.ru/item/80471"">400 мм</a></li>
</ul>",80337,глазировочная машина,380 В,,,,,,,,0,https://entero.ru/manuals/131925/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20DITO%20Group%20ZETA%20400.pdf;https://entero.ru/manuals/131926/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20DITO%20Group%20ASE%20400%D0%A2.pdf;https://entero.ru/manuals/131927/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20DITO%20Group.pdf,2488673,https://vk.com/video_ext.php?oid=-177656185&id=456240572&hd=2&autoplay=0,,,Россия,
https://cdn.entero.ru/mp@2x/3c/c2/3cc2ca8993336939431052dc1f730611.jpg,Глазуратор мороженого ICB tecnlologie s.r.l. 09.CP1,Глазуратор мороженого ICB tecnlologie s.r.l. 09.CP1,102488,RUB,Нет,ICB tecnlologie s.r.l.,Профоборудование,Кондитерское,Глазировочные машины,https://entero.ru/item/190800,"<p>Глазуратор мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/190800"">ICB tecnlologie s.r.l. 09.CP1</a></b> предназначен для плавления и поддержания в горячем состоянии шоколада и глазури на предприятиях общественного питания и торговли. Модель оборудована 1 ванной, аналоговым термостатом, сухой системой нагрева дна и сторон контейнера для поддержания единой температуры. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем ванной: 7 л</li>
<li>Диаметр ванны: 
<ul>
<li>Внешний: 210 мм</li>
<li>Внутренний: 190 мм</li>
</ul>
</li>
<li>Максимальная температура: 50 °С</li>
</ul>",190800,,220 В,0.5 кВт,310 мм,310 мм,300 мм,,,,0,https://entero.ru/manuals/222046/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20ICB%20tecnlologie%20s.r.l.pdf;https://entero.ru/manuals/222047/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,Италия,
https://cdn.entero.ru/mp@2x/f5/b4/f5b44b4c3a990dda7c8701f8087827b3.jpg;https://cdn.entero.ru/mp@2x/27/a7/27a76a5d7774f533827f459617c212b3.jpg;https://cdn.entero.ru/mp@2x/c2/18/c218dd5f0fc97fa985252613c18c854e.jpg;https://cdn.entero.ru/mp@2x/f6/03/f603e4bde71ab053020de55cbb044511.jpg;https://cdn.entero.ru/mp@2x/65/39/65391a92f8f1eccb335fc386b263be2e.jpg;https://cdn.entero.ru/mp@2x/03/fa/03faabdb8f00dab13802f2e705e1166a.jpg,Глазуратор мороженого ICB tecnlologie s.r.l. 09.CP2,Глазуратор мороженого ICB tecnlologie s.r.l. 09.CP2,161643,RUB,Нет,ICB tecnlologie s.r.l.,Профоборудование,Кондитерское,Глазировочные машины,https://entero.ru/item/343641,"<p>Глазуратор мороженого <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343641"">ICB tecnlologie s.r.l. 09.CP2</a></b> предназначен для плавления и поддержания в горячем состоянии шоколада и глазури на предприятиях общественного питания и торговли. Модель оборудована 2 съемными ваннами, аналоговым термостатом, сухой системой нагрева дна и сторон контейнера для поддержания единой температуры. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем одной ванной: 7 л</li>
<li>Диаметр ванны:
<ul>
<li>Внешний: 210 мм</li>
<li>Внутренний: 190 мм</li>
</ul>
</li>
<li>Высота полного погружения: 250 мм</li>
<li>Максимальная температура: 50 °С</li>
</ul>",343641,глазировочная машина,220 В,1 кВт,310 мм,570 мм,300 мм,,,,0,https://entero.ru/manuals/416297/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416298/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20ICB%20tecnlologie%20s.r.l.%20%28%D0%B8%D1%82%D0%B0%D0%BB.%29.pdf,,,18 кг,Италия,Италия,электро
https://cdn.entero.ru/mp@2x/d6/0a/d60a65ab3bc5e98328328178533c078f.jpg,Барабан дражировочный ICB tecnlologie s.r.l. 17.ICBASSINA3,Барабан дражировочный ICB tecnlologie s.r.l. 17.ICBASSINA3,626749,RUB,Нет,ICB tecnlologie s.r.l.,Профоборудование,Кондитерское,Глазировочные машины,https://entero.ru/item/190827,"<p>Глазировочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/190827"">ICB tecnlologie s.r.l. 17.ICBASSINA3</a></b> предназначен для плавления и поддержания в горячем состоянии шоколада и глазури на предприятиях общественного питания и торговли. Модель оснащена барабаном из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 3 кг</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",190827,дражировочный барабан,220 В,0.17 кВт,600 мм,530 мм,740 мм,,,,0,https://entero.ru/manuals/222076/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20ICB%20tecnlologie%20s.r.l.pdf;https://entero.ru/manuals/222077/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,666754,,,,Италия,электро
https://cdn.entero.ru/mp@2x/95/0b/950b32854c449447eedcfd4cd476af90.jpg,Барабан дражировочный ICB tecnlologie s.r.l. 17.ICBASSINA3G,Барабан дражировочный ICB tecnlologie s.r.l. 17.ICBASSINA3G,654999,RUB,Нет,ICB tecnlologie s.r.l.,Профоборудование,Кондитерское,Глазировочные машины,https://entero.ru/item/190851,"<p>Глазировочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/190851"">ICB tecnlologie s.r.l. 17.ICBASSINA3G</a></b> предназначен для плавления и поддержания в горячем состоянии шоколада и глазури на предприятиях общественного питания и торговли. Модель оснащена медным барабаном.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 3 кг</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",190851,дражировочный барабан,220 В,,600 мм,530 мм,740 мм,,,,0,https://entero.ru/manuals/222116/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20ICB%20tecnlologie%20s.r.l.pdf;https://entero.ru/manuals/222117/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,696807,,,,Италия,газ
https://cdn.entero.ru/mp@2x/46/d4/46d48e42bed87869bbf09c699b8cd8d9.jpg,Барабан дражировочный ICB tecnlologie s.r.l. 17.ICBASSINA8,Барабан дражировочный ICB tecnlologie s.r.l. 17.ICBASSINA8,702958,RUB,Нет,ICB tecnlologie s.r.l.,Профоборудование,Кондитерское,Глазировочные машины,https://entero.ru/item/190853,"<p>Глазировочная электрическая машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/190853"">ICB tecnlologie s.r.l. 17.ICBASSINA8</a></b> предназначен для плавления и поддержания в горячем состоянии шоколада и глазури на предприятиях общественного питания и торговли. Модель оснащена барабаном. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 8 кг</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",190853,дражировочный барабан,220 В,0.17 кВт,670 мм,550 мм,740 мм,,,,0,https://entero.ru/manuals/222119/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20ICB%20tecnlologie%20s.r.l.pdf;https://entero.ru/manuals/222120/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,732248,,,,Италия,электро
