Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Установка,Управление,Объем бункера,Количество бункеров
https://cdn.entero.ru/mp@2x/fb/e4/fbe43a13e427fbb53e0609198b5a5e9f.jpg,Шприц-дозатор Confimec RP-15ST (с таймером),Шприц-дозатор Confimec RP-15ST (с таймером),277438,RUB,Да,Confimec,Профоборудование,Кондитерское,Дозаторы начинок,https://entero.ru/item/76796,"<p>Поршневой шприц-дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/76796""><b class=""b"">Confimec RP-15ST</b></a> предназначен для наполнения начинкой пончиков, эклеров, трубочек ""канноли"", бриошей (круассанов) и пр. в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания. Модель оснащена таймером, регулируемой дозировкой начинки вручную и защитными приспособлениями согласно требованиям техники безопасности.</p>

<p>Корпус окрашен.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Ключ для регулировки дозировки</li>
<li>Ключ для смены игл (насадок)</li>
<li>Игла диаметром 10 мм</li>
<li>Игла диаметром 8 мм</li>
<li>Игла диаметром 6 мм</li>
<li>Двухигольчатая насадка 2х 6 мм</li>
<li>Невозвратный клапан</li>
<li>Муфта крепления игл-насадок</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Дозировка: 5-65 см<sup>3</sup></li>
</ul>",76796,380 В,0.4 кВт,320 мм,530 мм,700 мм,,,,0,https://entero.ru/manuals/115814/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Confimec%20RP-15ST.pdf,295147,https://vk.com/video_ext.php?oid=-177656185&id=456239751&hd=2&autoplay=0,37 кг,Италия,Италия,настольная,электронное,15 л,
https://cdn.entero.ru/mp@2x/ef/56/ef5619b6874aa0086afc1060b27e4f3a.jpg;https://cdn.entero.ru/mp@2x/4a/c7/4ac7d3923ac1a3503930ed940f1b97a9.jpg;https://cdn.entero.ru/mp@2x/4d/5a/4d5a773ed68ada17530fcd6e705c5f6e.jpg;https://cdn.entero.ru/mp@2x/ce/e5/cee585ba6c31178f7e56739e82ea673e.jpg,Дозатор-шприц для соуса Kocateq SV 2/3 NMCC,Дозатор-шприц для соуса Kocateq SV 2/3 NMCC,6269,RUB,Да,Kocateq,Профоборудование,Кондитерское,Дозаторы начинок,https://entero.ru/item/295260,"<p>Дозатор-шприц <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/295260""><b class=""b"">Kocateq SV2/3NMCC</b></a> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для наполнения изделий соусом, таким как майонез, сметана и гуакамоле. Корпус выполнен из нержавеющей стали Aisi 201, ручка - из пластика.</p>

<p>Дозатор используется совместно с тубами для соуса (SV bottle), которые в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем дозировки: 10 г</li>
<li>Объем дозировки: 20 мл (2/3 унции)</li>
<li>Цвет ручки: синий </li>
</ul>",295260,,,87 мм,87 мм,300 мм,,,,0,,7553,,,,Южная Корея,,механическое,,
https://cdn.entero.ru/mp@2x/48/1e/481eb62a1778196a72192e4abe79e590.jpg;https://cdn.entero.ru/mp@2x/0c/8e/0c8ef3c4d13eddd0db7ebab93b4c9a5f.jpg,Шприц-дозатор Danler NGE-20,NG-20 с таймером,204077,RUB,Да,Danler,Профоборудование,Кондитерское,Дозаторы начинок,https://entero.ru/item/88454,"<p>Шприц-дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88454"">Danler NGE-20</a> </b>используется на предприятиях пищевой промышленности, общественного питания, в пекарнях и кондитерских для заполнения начинкой пончиков, эклеров, профитролей, кексов, булочек, круассанов и других кондитерских и кулинарных изделий. В качестве начинки можно использовать сливочные, кремовые и полужидкие массы, а также густые начинки.</p>

<p>В комплект поставки входят бункер, педаль управления, насадка для одновременного использования двух игл, 2 иглы внешним диаметром 6 мм, 2 иглы внешним диаметром 8 мм и комплект ЗИП.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Неограниченная масса максимального дозирования</li>
<li>Полуавтоматический режим дает возможность управлять машиной с помощью педали или сенсорной панели - оператор дает команду на каждый впрыск начинки в заполняемое изделие</li>
<li>Повышенная мощность шагового двигателя обеспечивает отличную работу с густыми массами</li>
<li>Точность позиционирования ротора шагового двигателя гарантирует точность дозирования - отсутствует необходимость дополнительного контроля нагнетаемого/отсаживаемого объема начинки в/на изделие, гарантирует отсутствие отбракованных изделий</li>
<li>Электромеханическая панель управления:
<ul>
<li>Полуавтоматический режим</li>
<li>Задание объема подачи и реверса</li>
<li>Задание скорости объема подачи и реверса</li>
</ul>
</li>
<li>Цифровой таймер</li>
<li>Педаль управления освобождает руки оператора, повышает скорость и удобство выполнения операций нагнетания массы</li>
<li>Легкоразборная конструкция крепления игл, насоса и различных насадок для простоты обслуживания и проведения санитарно-гигиенических мероприятий</li>
<li>Корпус шприца, загрузочный бункер и насадка для подсоединения двух игл полностью из нержавеющей стали AISI 304</li>
<li>Резиновые ножки регулируются по высоте для компенсации неровностей опорной поверхности и придания машине устойчивого положения</li>
<li>Предназначен для настольной установки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем бункера: 20 л</li>
<li>Масса минимального дозирования: 1 г</li>
<li>Максимальная вязкость дозируемой массы: 180 Па*с</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Увеличенный бункер 30 л</li>
<li>Увеличенный бункер 40 л</li>
<li>Аппарат для подогрева загрузочного бункера</li>
<li>Различные удлиняющие и формообразующие насадки</li>
<li>Шланг с концевым пистолетом для наполнения/отсаживания масс</li>
<li>Шланг длиной 1 м</li>
<li>Шланг длиной 1,5 м</li>
<li>Шланг длиной 2 м</li>
</ul>",88454,,0.4 кВт,675 мм,670 мм,670 мм,,,,0,https://entero.ru/manuals/136610/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Danler%20NGE-20.pdf;https://entero.ru/manuals/136608/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BD%D0%B0%D1%81%D0%B0%D0%B4%D0%BE%D0%BA%20Danler.pdf;https://entero.ru/manuals/477037/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%B8%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D1%83%20%D0%BD%D0%B0%20Danler%20NGE-20.pdf,217103,https://vk.com/video_ext.php?oid=-177656185&id=456240196&hd=2&autoplay=0,23 кг,,Китай,настольная,электронное,20 л,1
https://cdn.entero.ru/mp@2x/da/96/da96ce9d3a0c1cc2533416c0401bed09.jpg;https://cdn.entero.ru/mp@2x/e3/bd/e3bd0931d8e324a42273d1efb753e26e.jpg;https://cdn.entero.ru/mp@2x/92/62/92624373bbbfc1b6e2a4054580b410e1.jpg;https://cdn.entero.ru/mp@2x/5d/1b/5d1bc9aa7be38f381c080e308ccfcfd7.jpg,Дозатор-шприц для соуса Kocateq SV1/3NMCC,Дозатор-шприц для соуса Kocateq SV1/3NMCC,6269,RUB,Да,Kocateq,Профоборудование,Кондитерское,Дозаторы начинок,https://entero.ru/item/295267,"<p>Дозатор-шприц <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/295267"">Kocateq SV1/3NMCC</a></b> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для наполнения изделий соусом, таким как майонез, сметана и гуакамоле. Корпус выполнен из нержавеющей стали Aisi 201, ручка - из пластика.</p>

<p>Дозатор используется совместно с тубами для соуса (SV bottle), которые в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем дозировки: 20 г</li>
<li>Объем дозировки: 10 мл (1/3 унции)</li>
<li>Цвет ручки: синий </li>
</ul>",295267,,,87 мм,87 мм,300 мм,,,,0,https://entero.ru/manuals/505219/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,8142,,,,Южная Корея,,механическое,,
https://cdn.entero.ru/mp@2x/0d/f2/0df2c71d916cd7cc99004d649e5eb476.jpg,Дозатор для соуса Prince Castle 10 мл красная ручка,Дозатор для соуса Prince Castle 10 мл красная ручка,11321,RUB,Да,Prince Castle,Профоборудование,Кондитерское,Дозаторы начинок,https://entero.ru/item/335969,"<p>Дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/335969""><b class=""b"">Prince Castle</b></a> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для наполнения изделий соусом, таким как майонез, сметана и гуакамоле. </p>

<p><b class=""o"">Тубы для соуса не входят в комплект и приобретаются отдельно.</b></p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем дозировки: 10 мл</li>
</ul>",335969,,,,,,,,,0,,,,,,Китай,,механическое,,
https://cdn.entero.ru/mp@2x/53/b4/53b4c5574cc027e78189aecd03663bbf.jpg;https://cdn.entero.ru/mp@2x/d0/b1/d0b19fc981e44c48897b708a504e6b24.jpg;https://cdn.entero.ru/mp@2x/90/f1/90f1d1c7ac4736ee01c9a605fa9e1620.jpg;https://cdn.entero.ru/mp@2x/73/cd/73cdeb1b2c81aa75550a1b1bbb1703d5.jpg,Шприц-дозатор Danler NF-22,Шприц-дозатор Danler NF-22,196074,RUB,Да,Danler,Профоборудование,Кондитерское,Дозаторы начинок,https://entero.ru/item/88451,"<p>Шприц-дозатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/88451"">Danler NF-22</a></b><b class=""b""> </b>используется на предприятиях пищевой промышленности, общественного питания, в пекарнях и кондитерских для заполнения начинкой пончиков, эклеров, профитролей, кексов, булочек, круассанов и других кондитерских и кулинарных изделий. В качестве начинки можно использовать сливочные, кремовые массы, а также полужидкие и жидкие начинки.</p>

<p>В комплект поставки входят бункер, педаль управления, насадка для одновременного использования двух игл, 2 иглы внешним диаметром 6 мм, 2 иглы внешним диаметром 8 мм и комплект ЗИП.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический режим позволяет задавать все необходимые параметры работы для поточного впрыска и заниматься только подносом заполняемых изделий</li>
<li>Полуавтоматический режим дает возможность управлять машиной с помощью педали - оператор дает команду на каждый впрыск начинки в заполняемое изделие</li>
<li>Нагнетание происходит с помощью цилиндра, присоединенного пневмолинией к компрессору</li>
<li>Точность дозирования освобождает от необходимости дополнительного контроля нагнетаемого/отсаживаемого объема начинки в/на изделие, гарантирует отсутствие отбракованных изделий</li>
<li>Высокая производительность - скорость и объем дозирования/отсаживания настраиваются исходя из<br>
индивидуальных параметров различных масс</li>
<li>Удобная в использовании электромеханический панель управления</li>
<li>Педаль ножного управления повышает скорость и удобство выполнения операции нагнетания массы и освобождает руки оператора</li>
<li>Легкоразборная конструкции механизма нагнетания делает простым процесс обслуживания и проведения санитарно-гигиенических мероприятий</li>
<li>Корпус шприца, загрузочный бункер и насадка для подсоединения двух игл полностью из нержавеющей стали AISI 304</li>
<li>Ножки с резиновыми колпаками</li>
<li>Предназначен для настольной установки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 60 цикл/мин.</li>
<li>Объем дозирования: от 15 до 370 мл</li>
<li>Давление воздуха на входе в машину: от 5 до 7 Атм</li>
<li>Потребление воздуха: до 150 л/мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Увеличенный бункер 30 л</li>
<li>Увеличенный бункер 40 л</li>
<li>Аппарат для подогрева загрузочного бункера</li>
<li>Мешалка для бункера</li>
<li>""Мультиголова"" для одновременной отсадки 5 изделий</li>
<li>Различные удлиняющие и формообразующие насадки</li>
<li>Комплект деталей для дозирования масс объемом от 5 до 130 / от 25 до 700 / от 45 до 1000 мл</li>
<li>Шланг с пистолетом для наполнения/отсаживания масс без отсекателя</li>
<li>Шланг с пистолетом для наполнения/отсаживания масс с отсекателем</li>
<li>Шланг длиной 1 м</li>
<li>Шланг длиной 1,5 м</li>
<li>Шланг длиной 2 м</li>
<li>Большой выбор насадок</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Для работы необходим компрессор.</span></em></p>",88451,220 В,0.03 кВт,400 мм,700 мм,1040 мм,,,,0,https://entero.ru/manuals/136605/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Danler%20NF-22.pdf;https://entero.ru/manuals/349320/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Danler%20NF-22.pdf;https://entero.ru/manuals/349321/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BD%D0%B0%D1%81%D0%B0%D0%B4%D0%BE%D0%BA%20Danler%20NF-22.pdf;https://entero.ru/manuals/477040/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%B8%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D1%83%20%D0%BD%D0%B0%20Danler%20NF-22.pdf,204244,,29 кг,,Китай,настольная,электронное,22 л,1
https://cdn.entero.ru/mp@2x/cd/a3/cda34cbe6584e579498cac303bf2f658.jpg;https://cdn.entero.ru/mp@2x/89/d0/89d0101e8a362f303218a36308e3e33b.jpg,Дозатор-шприц для соуса Kocateq SV1/2NMCC,34441,6269,RUB,Да,Kocateq,Профоборудование,Кондитерское,Дозаторы начинок,https://entero.ru/item/293983,"<p>Дозатор-шприц <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/293983"">Kocateq SV1/2NMCC</a></b> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для наполнения изделий соусом, таким как майонез, сметана и гуакамоле. Корпус выполнен из нержавеющей стали Aisi 304, синяя ручка - из пластика.</p>

<p>Тубы для соуса не входят в комплект и приобретаются отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем дозировки: 15 мл</li>
</ul>",293983,,,87 мм,87 мм,300 мм,,,,0,,,,,,,настольная,механическое,0.8 л,1
https://cdn.entero.ru/mp@2x/76/b1/76b16238ed78cd7f3a9c37f03f4c54e1.jpg,Дозатор начинки Kalando KD019,32926,24182,RUB,Да,,Профоборудование,Кондитерское,Дозаторы начинок,https://entero.ru/item/123939,"<p>Дозатор начинки <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123939"">Kalando KD019</a></b> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для наполнения кондитерских изделий начинками из шоколада, меда, джема или заварного крема. Изделие оснащено защелками для крепления крышки. Рычаг, игла и емкость для соуса выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем дозировки: до 40 мл</li>
<li>Внутренний диаметр иглы: 10 мм</li>
</ul>",123939,,,180 мм,180 мм,420 мм,,,,0,,,,,Турция,,настольная,механическое,4.5 л,1
https://cdn.entero.ru/mp@2x/35/d1/35d14aa794b498cbcc5369a410501e67.jpg;https://cdn.entero.ru/mp@2x/7a/61/7a61a1b5517eeba2f47aa28d8a9b947f.jpg;https://cdn.entero.ru/mp@2x/6f/2c/6f2cc6572a6fb3d3c474cf522b9c59d2.jpg;https://cdn.entero.ru/mp@2x/09/0a/090a408975051507156dc0d463f05e9d.jpg;https://cdn.entero.ru/mp@2x/a9/6d/a96d836087c0b218b5d7a475e97da16f.jpg;https://cdn.entero.ru/mp@2x/7f/1e/7f1e43fbf3bc09587a13b0f289ba73d1.jpg,"Дозатор для соусов Kocateq SVDD2.5, подвесной 2,5 л",SVDD2.5,3268,RUB,Да,Kocateq,Профоборудование,Кондитерское,Дозаторы начинок,https://entero.ru/item/360247,"<p>Дозатор для соусов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/360247""><b class=""b"">Kocateq SVDD2.5 </b></a> используется на предприятиях общественного питания и торговли, в частных домах и квартирах для наполнения изделий соусом, таким как майонез, сметана и гуакамоле. Модель оснащена силиконовой головкой для удобного дозирования соуса.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подвесное исполнение помогает сохранить свободное место на рабочем столе</li>
<li>Благодаря полупрозрачному пластику, легко следить за количество продукта в бутыли</li>
<li>Прост в очистке</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем: 2,5 л</li>
<li>Размеры: 139 х 139 х480 мм</li>
</ul>",360247,,,139 мм,139 мм,480 мм,,,,0,,4035,,,,Южная Корея,настольная,механическое,2.5 л,1
https://cdn.entero.ru/mp@2x/ac/93/ac937981b76d73d6abd7e079be35445d.jpg,Шприц-дозатор Confimec RP-15S (без таймера),Шприц-дозатор Confimec RP-15S (без таймера),268488,RUB,Да,Confimec,Профоборудование,Кондитерское,Дозаторы начинок,https://entero.ru/item/76795,"<p>Поршневой шприц-дозатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/76795""><b class=""b"">Confimec RP-15S</b></a> предназначен для наполнения начинкой пончиков, эклеров, трубочек ""канноли"", бриошей (круассанов) и пр. в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания. Модель оснащена регулируемой дозировкой начинки вручную и защитными приспособлениями согласно требованиям техники безопасности.</p>

<p>Корпус окрашен.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Ключ для регулировки дозировки</li>
<li>Ключ для смены игл (насадок)</li>
<li>Игла диаметром 10 мм</li>
<li>Игла диаметром 8 мм</li>
<li>Игла диаметром 6 мм</li>
<li>Двухигольчатая насадка 2х 6 мм</li>
<li>Невозвратный клапан</li>
<li>Муфта крепления игл-насадок</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Дозировка: 5-65 см<sup>3</sup></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото модель RP-15ST с таймером.</span></em></p>",76795,380 В,0.4 кВт,700 мм,320 мм,530 мм,,,,0,,282619,https://vk.com/video_ext.php?oid=-177656185&id=456239680&hd=2&autoplay=0,37 кг,Италия,Италия,настольная,электронное,15 л,1
