Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Назначение,Максимальная загрузка,Объем порции
https://cdn.entero.ru/mp@2x/dc/5c/dc5caf9a5bdde08c1fe6b1e2b5e2d8b2.jpg;https://cdn.entero.ru/mp@2x/2a/38/2a38b3be6041d5d8f54076c315572e17.jpg;https://cdn.entero.ru/mp@2x/b7/b0/b7b0f942a8f45d1dc33c609b6581f1fd.jpg;https://cdn.entero.ru/mp@2x/61/38/6138185136d97bae313cfba6b1f76d1b.jpg;https://cdn.entero.ru/mp@2x/3e/e2/3ee2e9e8fefc4f2ee1fbcabbf1b409ab.jpg;https://cdn.entero.ru/mp@2x/ce/c1/cec1e490991275453fb3614991759ea2.jpg;https://cdn.entero.ru/mp@2x/bc/53/bc53d7dd2cbc03ac89588ef11d4dd5be.jpg;https://cdn.entero.ru/mp@2x/24/e5/24e50adca25e22a238d8814f3d0e84f1.jpg,Карамелизатор ТТМ SugarLips 10,96544,673004,RUB,Да,ТТМ,Профоборудование,Кондитерское,Карамелизаторы,https://entero.ru/item/62611,"<p>Карамелизатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/62611"">ТТМ SugarLips 10</a></b> используется на предприятиях общественного питания и торговли, а также в кинотеатрах и развлекательных центрах для покрытия готового попкорна жидкой карамелью или перемешивания его с какими-либо вкусовыми добавками. Оборудование полностью выполнено из нержавеющей стали, контейнер для готового попкорна - из пластика.</p>

<p>В комплект поставки входят контейнер для готового попкорна и крышка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Блок управления и рукоятка переустанавливаются, что позволяет выбрать сторону опрокидывания котла (по умолчанию - влево)</li>
<li>Ручка для выгрузки обработанного попкорна</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",62611,380 В,5 кВт,760 мм,500 мм,900 мм,,,,0,https://entero.ru/manuals/502780/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239975&hd=2&autoplay=0,50 кг,,Россия,14 кг/час,для попкорна,3.5 кг,37.5 л
https://cdn.entero.ru/mp@2x/94/dd/94dde74d8ac6a3bee117cc1c96ad6ecd.jpg;https://cdn.entero.ru/mp@2x/a0/fc/a0fcc6f447cb5859f5612b004e29fa06.jpg;https://cdn.entero.ru/mp@2x/cd/0b/cd0bbbc42c51beca6649cac07c00d36b.jpg,Карамелизатор RoboLabs SugarLips 20,204451,869865,RUB,Да,RoboLabs,Профоборудование,Кондитерское,Карамелизаторы,https://entero.ru/item/285548,"<p>Карамелизатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/285548""><b class=""b"">ТТМ SugarLips 20</b></a> используется на предприятиях общественного питания и торговли, а также в кинотеатрах и развлекательных центрах для покрытия готового попкорна жидкой карамелью или перемешивания его с какими-либо вкусовыми добавками. Котел выполнен из алюминия, крышка - из нержавеющей стали, контейнер для готового попкорна - из пластика.</p>

<p>В комплект поставки входят контейнер для готового попкорна и крышка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Блок управления и рукоятка переустанавливаются, что позволяет выбрать сторону опрокидывания котла (по умолчанию - влево)</li>
<li>Ручка для выгрузки обработанного попкорна</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",285548,380 В,12.2 кВт,720 мм,900 мм,1150 мм,,,,0,https://entero.ru/manuals/349660/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%A2%D0%9C%20SugarLips%2020.pdf;https://entero.ru/manuals/502779/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240270&hd=2&autoplay=0,100 кг,,Россия,40 кг/час,для попкорна,7.8 кг,75 л
https://cdn.entero.ru/mp@2x/5e/ad/5ead2e4147c5fd97347f5015d1b3a1b3.jpg,Карамелизатор ТТМ RoboSugar Auto 10,56541,1120281,RUB,Да,ТТМ,Профоборудование,Кондитерское,Карамелизаторы,https://entero.ru/item/62601,"<p>Карамелизатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/62601"">ТТМ RoboSugar Auto 10</a></b> используется на предприятиях общественного питания и торговли, а также в кинотеатрах и развлекательных центрах для покрытия готового попкорна жидкой карамелью или перемешивания его с какими-либо вкусовыми добавками. Котел и панели со всех сторон выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью автоматический процесс обработки попкорна:
<ul>
<li>Загрузка попкорна в бак</li>
<li>Нанесение карамели</li>
<li>Опрокидывание бака</li>
<li>Охлаждение покрытого карамелью попкорна</li>
<li>Сепарация попкорна на конвейерной сетке</li>
</ul>
</li>
</ul>",62601,380 В,5 кВт,1650 мм,810 мм,1500 мм,,,,0,https://entero.ru/manuals/502781/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,1166959,https://vk.com/video_ext.php?oid=-177656185&id=456239719&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239716&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240045&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239574&hd=2&autoplay=0,170 кг,,Россия,14 кг/час,для попкорна,3.5 кг,37.5 л
https://cdn.entero.ru/mp@2x/da/9b/da9b4342bcd1d7e24714f711ab27405d.jpg,Миксер с коутером RoboLabs RoboMix Mini,87215,168075,RUB,Да,RoboLabs,Профоборудование,Кондитерское,Карамелизаторы,https://entero.ru/item/75134,"<p>Моторизованный миксер с коутером <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/75134"">RoboLabs RoboMix Mini</a></b> предназначен для нанесения на готовый попкорн жидких и сухих добавок: масла, соли, сахарной пудры, сыра и пр. Закрепленный на миксере коутер вращается в вертикальной плоскости, обеспечивая равномерное распределение вкусовых добавок по всему объему. Загрузка попкорна и вкусовых добавок осуществляется порционно. Модель оснащена мобильной подставкой и столешницей с нишами под установку 2 гастроемкостей GN 1/9 и дозатора масла.</p>

<p><a href=""https://entero.ru/item/37730"">Диспенсер для масла / топпингов</a> и гастроемкости заказываются отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная вместимость: 25 литров попкорна</li>
<li>Время перемешивания: 60 сек.</li>
</ul>",75134,,,850 мм,520 мм,850 мм,35 кг,,,0,,182690,https://vk.com/video_ext.php?oid=-177656185&id=456239697&hd=2&autoplay=0,,,Россия,20 кг/час,для попкорна,,25 л
https://cdn.entero.ru/mp@2x/e6/ff/e6ffc97f26a7e473f8ce488aa1e82b2c.jpg;https://cdn.entero.ru/mp@2x/cc/79/cc790cd3c5acb8df806608702097ced3.jpg,Карамелизатор RoboLabs SugarLips 20 (160846),160846,922054,RUB,Да,RoboLabs,Профоборудование,Кондитерское,Карамелизаторы,https://entero.ru/item/375903,"<p>Карамелизатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/375903""><b class=""b"">RoboLabs SugarLips 20</b></a> используется на предприятиях общественного питания и торговли, а также в кинотеатрах и развлекательных центрах для покрытия готового попкорна жидкой карамелью или перемешивания его с какими-либо вкусовыми добавками. Котел и крышка выполнены из нержавеющей стали, бак - из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Опрокидывание котла влево</li>
<li>Ручка для выгрузки обработанного попкорна</li>
</ul>",375903,380 В,8 кВт,900 мм,790 мм,1150 мм,100 кг,1,1020x810x1395 мм,0,https://entero.ru/manuals/514021/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20RoboLabs%20SugarLips%2020%20%28160846%29.pdf;https://entero.ru/manuals/514023/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20RoboLabs%20SugarLips%2020%20%28160846%29.pdf;https://entero.ru/manuals/514025/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,Россия,,40 кг/час,для попкорна,,75 л
https://cdn.entero.ru/mp@2x/84/d3/84d3c020fa8feab218d1401915c49894.jpg;https://cdn.entero.ru/mp@2x/57/94/579463605a73768694a790a05d22212c.jpg,Карамелизатор ТТМ RoboSugar 10,96232,1031412,RUB,Да,ТТМ,Профоборудование,Кондитерское,Карамелизаторы,https://entero.ru/item/62583,"<p>Карамелизатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/62583"">ТТМ RoboSugar 10</a></b> используется на предприятиях общественного питания и торговли, а также в кинотеатрах и развлекательных центрах для покрытия готового попкорна жидкой карамелью или перемешивания его с какими-либо вкусовыми добавками. Котел и панели со всех сторон выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полуавтоматический процесс обработки попкорна:
<ul>
<li>Автоматическое охлаждение покрытого карамелью попкорна</li>
<li>Автоматическая сепарация попкорна на конвейерной сетке</li>
</ul>
</li>
<li>Ручка для выгрузки обработанного попкорна</li>
</ul>",62583,380 В,5.5 кВт,1650 мм,810 мм,1500 мм,,,,0,https://entero.ru/manuals/502782/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240187&hd=2&autoplay=0,160 кг,,Россия,14 кг/час,для попкорна,3.5 кг,37.5 л
https://cdn.entero.ru/mp@2x/40/e0/40e06c10c9ebac086104645e0dc6192b.jpg,Карамелизатор ТТМ RoboSugar Twin Auto 20,186951,1494938,RUB,Да,ТТМ,Профоборудование,Кондитерское,Карамелизаторы,https://entero.ru/item/169553,"<p>Карамелизатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169553"">ТТМ RoboSugar Twin Auto 20</a></b> используется на предприятиях общественного питания и торговли, а также в кинотеатрах и развлекательных центрах для покрытия готового попкорна жидкой карамелью или перемешивания его с какими-либо вкусовыми добавками. Модель оснащена колесами. Котел выполнен из алюминия, контейнер для готового попкорна - из пластика.</p>

<p>В комплект поставки входят контейнер для готового попкорна и крышка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полностью автоматический процесс обработки попкорна:
<ul>
<li>Загрузка попкорна в бак</li>
<li>Нанесение карамели</li>
<li>Опрокидывание бака</li>
<li>Охлаждение покрытого карамелью попкорна</li>
<li>Сепарация попкорна на конвейерной сетке</li>
</ul>
</li>
<li>Специальный барабан для сепарирования и охлаждения попкорна даже с большим количеством карамели</li>
<li>Приготовление сырного попкорна в автоматическом режиме</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты упаковки: 2220x1165x1775 мм</li>
</ul>",169553,380 В,13 кВт,2100 мм,900 мм,1500 мм,,,,0,https://entero.ru/manuals/502778/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,1624933,https://vk.com/video_ext.php?oid=-177656185&id=456239510&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240293&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239784&hd=2&autoplay=0,250 кг,,Россия,30 кг/час,для попкорна,,70 л
https://cdn.entero.ru/mp@2x/aa/14/aa140e0a6e9a641527ff663cdcb9ee4c.jpg,Тележка «Карамельные яблоки» ТТМ ТАСВ-086АР,Тележка «Карамельные яблоки» ТТМ ТАСВ-086АР,0,RUB,Нет,ТТМ,Профоборудование,Кондитерское,Карамелизаторы,https://entero.ru/item/198876,"<p>Тележка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198876"">ТТМ ТАСВ-086АР</a> </b>используется для установки оборудования для приготовления карамелизированных яблок. Модель оснащена посадочными отверстиями для аппарата «Карамелита-М» и нишами для гастроемкостей GN1/2 и GN1/9.</p>

<p>Гастроемкости в комплект поставки не входят и приобретаются отдельно.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр колес: 370 мм</li>
<li>Габариты: 1250x730x760 мм </li>
<li>Габариты в упаковке: 560x895x435 мм</li>
</ul>",198876,,,,,,,,,0,,,,,,,,,,
https://cdn.entero.ru/mp@2x/16/ff/16ffc7d524fb778883d942633e4de1e7.jpg,Коутер Gold Medal 2705EX,Коутер Gold Medal 2705EX,0,RUB,Нет,Gold Medal,Профоборудование,Кондитерское,Карамелизаторы,https://entero.ru/item/38164,"<p>Коутер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/38164"">Gold Medal 2705EX</a> </b>предназначен для равномерного покрытия готового попкорна различными смесями в уличных кафе, кинотеатрах и развлекательных центрах. Съемный контейнер можно использовать для хранения готового продукта. Корпус выполнен из нержавеющей стали, контейнер - из линейного полиэтилена низкой плотности толщиной 3 мм.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Вместимость:
<ul>
<li>Без крышки: 9,5 л</li>
<li>С крышкой: 17 л</li>
</ul>
</li>
<li>Диаметр контейнера: 533 мм</li>
<li>Мощность: 0,039 кВт</li>
<li>Габариты: 304,8х584,2х482,6 мм</li>
</ul>",38164,,,,,,,,,0,https://entero.ru/manuals/61084/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Gold%20Medal%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,,,,,,
https://cdn.entero.ru/mp@2x/fd/d7/fdd70a8213bd0d8ef603b1db3b46c34b.jpg,Диспенсер топпинга Gold Medal 2195EX,Диспенсер топпинга Gold Medal 2195EX,0,RUB,Нет,Gold Medal,Профоборудование,Кондитерское,Карамелизаторы,https://entero.ru/item/37728,"<p>Диспенсер топпинга <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/37728"">Gold Medal 2195EX</a></b> используется в уличных кафе, кинотеатрах и развлекательных центрах для дозирования сливочного топинга и обработки готового попкорна. Оборудование оснащено классическим регулируемым насосом push-top. Изделие полностью выполнено из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подсветка передней и задней панелей</li>
<li>Рычаг подачи масла сверху</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,32 кВт</li>
<li>Габариты: 279,4х279,4х355,6 мм</li>
<li>Вес: 7,26 кг</li>
</ul>",37728,,,,,,,,,0,https://entero.ru/manuals/61072/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Gold%20Medal%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,,,,,,
