Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Количество скоростей,Объем дежи,Опрокидываемая,На колесах
https://cdn.entero.ru/mp@2x/0a/08/0a08654d918f77566636a4b056c204b0.jpg;https://cdn.entero.ru/mp@2x/dc/46/dc46a5de1815a8488c847e80cbaf4a0d.jpg,"Кремоварка (варочный котел) с нижним приводом Danler GTS-50E автопереворот котла, автоподъем крышки, регулировка скорости","Кремоварка (варочный котел) с нижним приводом Danler GTS-50E автопереворот котла, автоподъем крышки, регулировка скорости",832211,RUB,Да,Danler,Профоборудование,Кондитерское,Кремоварки,https://entero.ru/item/343635,"<p>Кремоварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343635""><b class=""b"">Danler GTS-50E</b></a> используется на предприятиях общественного питания и торговли для приготовления заварного крема, кондитерской массы, джема, фруктового пашота, смесей для мороженого, шоколадных десертов. Модель оснащена электронной панелью управления, специальной мешалкой со скребками, предотвращающими прилипание продукта, и емкостью с воронкой, позволяющей контролировать процесс выгрузки продукта. Все элементы, контактирующие с пищевыми продуктами, выполнены из кислотоустойчивой стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подогрев с помощью масла в двойных стенках котла</li>
<li>Возможность наклона котла: облегчение выгрузки массы и чистки машины</li>
<li>Возможность фиксирования в любом положении: открытом, наклонном и закрытом</li>
<li>Дополнительная наружная ""рубашка"": ограничение выделения температуры наружу</li>
<li>Усиленный месильный орган</li>
<li>Автоматизированный привод подъема головки</li>
<li>Автоматический переворот котла: опрокидывание осуществляется нажатием кнопки вверх или вниз</li>
<li>Автоматическая герметическая крышка: ограничение попадания пара в помещение</li>
<li>Силиконовый уплотнитель крышки: создание положительного давления при приготовлении</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рекомендуемая величина наполнения котла: от 5 до 38 л</li>
<li>Установленная мощность: 
<ul>
<li>ТЭНы: 9 кВт</li>
<li>Мешалка: 0,75 кВт</li>
</ul>
</li>
<li>Скорость мешалки: 30 об/мин.</li>
<li>Максимальная температура: 240 °С</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",343635,,9.75 кВт,916 мм,612 мм,739 мм,,,,0,,894851,,220 кг,,,1,50 л,Да,Да
https://cdn.entero.ru/mp@2x/1d/b0/1db02e4adc9bb8d1527d27a80c7d2f7c.jpg,Кремоварка электрическая Foodatlas XDC-50,Кремоварка электрическая Foodatlas XDC-50,408679,RUB,Да,Foodatlas,Профоборудование,Кондитерское,Кремоварки,https://entero.ru/item/378535,"<p>Электрическая кремоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/378535"">Foodatlas XDC-50</a></b> предназначена для приготовления кремов, помадки и десертов жидкой консистенции на предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена емкостью с круглой крышкой, трубчатыми электронагревателями (ТЭНами) и панелью управления. Корпус, емкость и месильный орган выполнены из нержавеющей стали, упаковка – фанерный ящик.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Непрямой нагрев продукта благодаря рубашке вокруг емкости, заполненной масляным составом</li>
<li>Месильный орган с 3 лопастями-скребками трапецевидной формы для равномерного перемешивания и предотвращения прилипания продукта </li>
<li>2 режима нагрева</li>
<li>Регулировка частоты вращения месильного органа</li>
<li>Кнопка аварийной остановки</li>
<li>Механизм опрокидывания емкости с электроприводом</li>
<li>Механизм открывания крышки с ручным приводом</li>
<li>Простое управление</li>
<li>Легкость очистки и дезинфекции</li>
<li>Тип привода: редуктор</li>
<li>Класс вязкозти масляного состава: ISO VG 320</li>
<li>Климатическое исполнение по ГОСТ 15150-69: УХЛ 4.2.</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная расчетная производительность: 50 кг/ч</li>
<li>Номинальная мощность:
<ul>
<li>ТЭНы: 12 кВт</li>
<li>Двигатель месильного органа: 0,75 кВт</li>
</ul>
</li>
<li>Диапазон регулировки температуры: от 0 до 180 °С</li>
<li>Диапазон частоты вращения месильного органа: от 0 до 29 об/мин.</li>
<li>Диапазон объема загрузки: от 3 до 40 л</li>
<li>Внутренние габариты емкости: 500х500х200 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",378535,380 В,13.5 кВт,1050 мм,760 мм,850 мм,200 кг,1,860x1150x1150 мм,0,https://entero.ru/manuals/523463/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20XDC-50.pdf,434765,,,Россия,Китай,,50 л,Да,
https://cdn.entero.ru/mp@2x/ff/69/ff69c6eeb927ced19f598f304d406944.jpg,Кремоварка электрическая Foodatlas XDC-60,Кремоварка электрическая Foodatlas XDC-60,583042,RUB,Да,Foodatlas,Профоборудование,Кондитерское,Кремоварки,https://entero.ru/item/378536,"<p>Электрическая кремоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/378536"">Foodatlas XDC-60</a></b> предназначена для приготовления кремов, помадки и десертов жидкой консистенции на предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена емкостью с круглой крышкой, трубчатыми электронагревателями (ТЭНами) и панелью управления. Корпус, емкость и месильный орган выполнены из нержавеющей стали, упаковка – фанерный ящик.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Непрямой нагрев продукта благодаря рубашке вокруг емкости, заполненной масляным составом</li>
<li>Месильный орган с 4 лопастями-скребками трапецевидной формы для равномерного перемешивания и предотвращения прилипания продукта </li>
<li>2 режима нагрева</li>
<li>Регулировка частоты вращения месильного органа</li>
<li>Кнопка аварийной остановки</li>
<li>Механизмы опрокидывания емкости и открывания крышки с электроприводом</li>
<li>Простое управление</li>
<li>Легкость очистки и дезинфекции</li>
<li>Тип привода: редуктор</li>
<li>Класс вязкозти масляного состава: ISO VG 320</li>
<li>Климатическое исполнение по ГОСТ 15150-69: УХЛ 4.2.</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная расчетная производительность: 100 кг/ч</li>
<li>Номинальная мощность:
<ul>
<li>ТЭНы: 12 кВт</li>
<li>Двигатель месильного органа: 1,5 кВт</li>
</ul>
</li>
<li>Диапазон регулировки температуры: от 0 до 180 °С</li>
<li>Диапазон частоты вращения месильного органа: от 0 до 29 об/мин.</li>
<li>Диапазон объема загрузки: от 3 до 90 л</li>
<li>Внутренние габариты емкости: 600х600х300 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",378536,380 В,14.25 кВт,1050 мм,1350 мм,1200 мм,260 кг,1,1150x1450x1300 мм,0,https://entero.ru/manuals/523464/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20XDC-60.pdf,,,,Россия,Китай,,100 л,Да,
https://cdn.entero.ru/mp@2x/47/d1/47d16a0da89d7615d6c2d9ba5ef14742.jpg;https://cdn.entero.ru/mp@2x/bc/dc/bcdc8d682312aaaebcc0a22070987ceb.jpg,Кремоварка (варочный котел) с нижним приводом Danler GTS-50E,Кремоварка (варочный котел) с нижним приводом Danler GTS-50E,0,RUB,Нет,Danler,Профоборудование,Кондитерское,Кремоварки,https://entero.ru/item/343483,"<p>Кремоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343483"">Danler GTS-50E</a></b> используется на предприятиях общественного питания и торговли для приготовления заварного крема, кондитерской массы, джема, фруктового пашота, смесей для мороженого, шоколадных десертов, требующих равномерного подогрева и аккуратного перемешивания. Модель оснащена электронной панелью управления, специальной мешалкой со скребками, предотвращающими прилипание продукта, и емкостью с воронкой, позволяющей контролировать процесс выгрузки продукта. Изделие изготовлено из нержавеющей стали марки AISI 304, элементы, контактирующие с пищевыми продуктами - из кислотоустойчивой стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подогрев с помощью масла в двойных стенках котла</li>
<li>Возможность наклона котла: облегчение выгрузки массы и чистки машины</li>
<li>Возможность фиксирования в любом положении: открытом, наклонном и закрытом</li>
<li>Дополнительная наружная ""рубашка"": ограничение выделения температуры наружу</li>
<li>Усиленный месильный орган</li>
<li>Автоматизированный привод подъема головки</li>
<li>Колеса придают аппарату мобильность</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рекомендуемая величина наполнения котла: от 5 до 38 л</li>
<li>Установленная мощность: 
<ul>
<li>ТЭНы: 9 кВт</li>
<li>Мешалка: 0,75 кВт</li>
</ul>
</li>
<li>Скорость мешалки: 30 об/мин.</li>
<li>Максимальная температура: 240 °С</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера и с крышкой.</span></em></p>",343483,,9.75 кВт,913 мм,612 мм,739 мм,,,,0,https://entero.ru/manuals/433810/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Danler%20GTS-50E.pdf,,,220 кг,,,1,50 л,,Да
https://cdn.entero.ru/mp@2x/8f/28/8f28c544357d2e5c463d45fb10443e6c.jpg;https://cdn.entero.ru/mp@2x/84/59/8459cebab10ca4d9e6546ed38e4eef52.jpg,Кремоварка (варочный котел) с нижним приводом Danler GTS-50E съемная крышка,Кремоварка (варочный котел) с нижним приводом Danler GTS-50E съемная крышка,0,RUB,Нет,Danler,Профоборудование,Кондитерское,Кремоварки,https://entero.ru/item/343638,"<p>Кремоварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343638""><b class=""b"">Danler GTS-50E</b></a> используется на предприятиях общественного питания и торговли для приготовления заварного крема, кондитерской массы, джема, фруктового пашота, смесей для мороженого, шоколадных десертов. Модель оснащена электронной панелью управления, специальной мешалкой со скребками, предотвращающими прилипание продукта, и емкостью с воронкой, позволяющей контролировать процесс выгрузки продукта. Все элементы, контактирующие с пищевыми продуктами, выполнены из кислотоустойчивой стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подогрев с помощью масла в двойных стенках котла</li>
<li>Возможность наклона котла: облегчение выгрузки массы и чистки машины</li>
<li>Возможность фиксирования в любом положении: открытом, наклонном и закрытом</li>
<li>Дополнительная наружная ""рубашка"": ограничение выделения температуры наружу</li>
<li>Усиленный месильный орган</li>
<li>Автоматизированный привод подъема головки</li>
<li>Съёмная крышка: защита от попадания посторонних предметов во время приготовления массы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рекомендуемая величина наполнения котла: от 5 до 38 л</li>
<li>Установленная мощность: 
<ul>
<li>ТЭНы: 9 кВт</li>
<li>Мешалка: 0,75 кВт</li>
</ul>
</li>
<li>Скорость мешалки: 30 об/мин.</li>
<li>Максимальная температура: 240 °С</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",343638,,9.75 кВт,916 мм,612 мм,739 мм,,,,0,https://entero.ru/manuals/416287/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BA%D1%80%D0%B5%D0%BC%D0%BE%D0%B2%D0%B0%D1%80%D0%BA%D0%B8%20COSMOS%20GTS.doc,,,220 кг,,,1,50 л,,Да
https://cdn.entero.ru/mp@2x/c2/88/c288c322f4db272f99d8d99a189f7991.jpg;https://cdn.entero.ru/mp@2x/37/3c/373cd50a028a619d6afdaa8fe90870bd.jpg,Кремоварка (варочный котел) с нижним приводом Danler GTS-100E,Кремоварка (варочный котел) с нижним приводом Danler GTS-100E,0,RUB,Нет,Danler,Профоборудование,Кондитерское,Кремоварки,https://entero.ru/item/334451,"<p>Кремоварка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/334451"">Danler GTS-100E</a></b> используется на предприятиях общественного питания и торговли для приготовления заварного крема, кондитерской массы, джема, фруктового пашота, смесей для мороженого, шоколадных десертов. Модель оснащена электронной панелью управления, специальной мешалкой со скребками, предотвращающими прилипание продукта, и емкостью с воронкой, позволяющей контролировать процесс выгрузки продукта. Все элементы, контактирующие с пищевыми продуктами, выполнены из кислотоустойчивой стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подогрев с помощью масла в двойных стенках котла</li>
<li>Возможность наклона котла: облегчение выгрузки массы и чистки машины</li>
<li>Возможность фиксирования в любом положении: открытом, наклонном и закрытом</li>
<li>Дополнительная наружная ""рубашка"": ограничение выделения температуры наружу</li>
<li>Усиленный месильный орган</li>
<li>Автоматизированный привод подъема головки</li>
<li>Колеса</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рекомендуемая величина наполнения котла: от 10 до 76 л</li>
<li>Установленная мощность: 
<ul>
<li>ТЭНы: 9 кВт</li>
<li>Мешалка: 0,75 кВт</li>
</ul>
</li>
<li>Скорость замеса: 30 об/мин.</li>
<li>Максимальная температура: 240 °С</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера и с крышкой.</span></em></p>",334451,380 В,9.75 кВт,950 мм,800 мм,1160 мм,,,,0,https://entero.ru/manuals/433808/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Danler%20GTS-100E.pdf,,,260 кг,,,1,100 л,,Да
https://cdn.entero.ru/mp@2x/02/95/0295cfad81070288aa4317617157d679.jpg;https://cdn.entero.ru/mp@2x/93/ff/93ff24d365af757ac7a00a4fba7a2b5c.jpg,Кремоварка (варочный котел) с нижним приводом Danler GTS-200E съемная крышка,Кремоварка (варочный котел) с нижним приводом Danler GTS-200E съемная крышка,0,RUB,Нет,Danler,Профоборудование,Кондитерское,Кремоварки,https://entero.ru/item/343647,"<p>Кремоварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343647""><b class=""b"">Danler GTS-200E</b></a> используется на предприятиях общественного питания и торговли для приготовления заварного крема, кондитерской массы, джема, фруктового пашота, смесей для мороженого, шоколадных десертов. Модель оснащена электронной панелью управления, специальной мешалкой со скребками, предотвращающими прилипание продукта, и емкостью с воронкой, позволяющей контролировать процесс выгрузки продукта. Все элементы, контактирующие с пищевыми продуктами, выполнены из кислотоустойчивой стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подогрев с помощью масла в двойных стенках котла</li>
<li>Возможность наклона котла: облегчение выгрузки массы и чистки машины</li>
<li>Возможность фиксирования в любом положении: открытом, наклонном и закрытом</li>
<li>Дополнительная наружная ""рубашка"": ограничение выделения температуры наружу</li>
<li>Усиленный месильный орган</li>
<li>Автоматизированный привод подъема головки</li>
<li>Съёмная крышка: защита от попадания посторонних предметов во время приготовления массы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рекомендуемая величина наполнения котла: от 20 до 160 л</li>
<li>Установленная мощность: 
<ul>
<li>ТЭНы: 18 кВт</li>
<li>Мешалка: 1,5 кВт</li>
</ul>
</li>
<li>Скорость мешалки: 23 об/мин.</li>
<li>Максимальная температура: 240 °С</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",343647,,19.5 кВт,1300 мм,1030 мм,950 мм,,,,0,https://entero.ru/manuals/416319/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BA%D1%80%D0%B5%D0%BC%D0%BE%D0%B2%D0%B0%D1%80%D0%BA%D0%B8%20COSMOS%20GTS.doc,,,360 кг,,,1,200 л,,Да
https://cdn.entero.ru/mp@2x/55/2e/552e1c6d0f1c71fcd5765b6baaf13c1e.jpg;https://cdn.entero.ru/mp@2x/73/1f/731f48c2ca97a582433e2caeb1d16097.jpg,Кремоварка (варочный котел) с нижним приводом Danler GTS-200E автопереворот котла,Кремоварка (варочный котел) с нижним приводом Danler GTS-200E автопереворот котла,0,RUB,Нет,Danler,Профоборудование,Кондитерское,Кремоварки,https://entero.ru/item/343663,"<p>Кремоварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343663""><b class=""b"">Danler GTS-200E</b></a> используется на предприятиях общественного питания и торговли для приготовления заварного крема, кондитерской массы, джема, фруктового пашота, смесей для мороженого, шоколадных десертов. Модель оснащена электронной панелью управления, специальной мешалкой со скребками, предотвращающими прилипание продукта, и емкостью с воронкой, позволяющей контролировать процесс выгрузки продукта. Все элементы, контактирующие с пищевыми продуктами, выполнены из кислотоустойчивой стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подогрев с помощью масла в двойных стенках котла</li>
<li>Возможность наклона котла: облегчение выгрузки массы и чистки машины</li>
<li>Возможность фиксирования в любом положении: открытом, наклонном и закрытом</li>
<li>Дополнительная наружная ""рубашка"": ограничение выделения температуры наружу</li>
<li>Усиленный месильный орган</li>
<li>Автоматизированный привод подъема головки</li>
<li>Автоматический переворот котла: опрокидывание осуществляется нажатием кнопки вверх или вниз</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рекомендуемая величина наполнения котла: от 20 до 160 л</li>
<li>Установленная мощность: 
<ul>
<li>ТЭНы: 18 кВт</li>
<li>Мешалка: 1,5 кВт</li>
</ul>
</li>
<li>Скорость мешалки: 23 об/мин.</li>
<li>Максимальная температура: 240 °С</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера и с крышкой.</span></em></p>",343663,,19.5 кВт,1300 мм,1030 мм,950 мм,,,,0,https://entero.ru/manuals/416420/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BA%D1%80%D0%B5%D0%BC%D0%BE%D0%B2%D0%B0%D1%80%D0%BA%D0%B8%20COSMOS%20GTS.doc,,,360 кг,,,1,200 л,Да,Да
https://cdn.entero.ru/mp@2x/85/9e/859ea80d1359fab19e02de24e15b671b.jpg;https://cdn.entero.ru/mp@2x/22/1c/221cc25c97785411a7ed0bac817ca522.jpg,Кремоварка (варочный котел) с нижним приводом Danler GTS-50E автопереворот котла,Кремоварка (варочный котел) с нижним приводом Danler GTS-50E автопереворот котла,0,RUB,Нет,Danler,Профоборудование,Кондитерское,Кремоварки,https://entero.ru/item/343661,"<p>Кремоварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343661""><b class=""b"">Danler GTS-50E</b></a> используется на предприятиях общественного питания и торговли для приготовления заварного крема, кондитерской массы, джема, фруктового пашота, смесей для мороженого, шоколадных десертов. Модель оснащена электронной панелью управления, специальной мешалкой со скребками, предотвращающими прилипание продукта, и емкостью с воронкой, позволяющей контролировать процесс выгрузки продукта. Все элементы, контактирующие с пищевыми продуктами, выполнены из кислотоустойчивой стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подогрев с помощью масла в двойных стенках котла</li>
<li>Возможность наклона котла: облегчение выгрузки массы и чистки машины</li>
<li>Возможность фиксирования в любом положении: открытом, наклонном и закрытом</li>
<li>Дополнительная наружная ""рубашка"": ограничение выделения температуры наружу</li>
<li>Усиленный месильный орган</li>
<li>Автоматизированный привод подъема головки</li>
<li>Автоматический переворот котла: опрокидывание осуществляется нажатием кнопки вверх или вниз</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рекомендуемая величина наполнения котла: от 5 до 38 л</li>
<li>Установленная мощность: 
<ul>
<li>ТЭНы: 9 кВт</li>
<li>Мешалка: 0,75 кВт</li>
</ul>
</li>
<li>Скорость мешалки: 30 об/мин.</li>
<li>Максимальная температура: 240 °С</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера и с крышкой.</span></em></p>",343661,,9.75 кВт,916 мм,612 мм,739 мм,,,,0,https://entero.ru/manuals/416418/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BA%D1%80%D0%B5%D0%BC%D0%BE%D0%B2%D0%B0%D1%80%D0%BA%D0%B8%20COSMOS%20GTS.doc,,,220 кг,,,1,50 л,Да,Да
https://cdn.entero.ru/mp@2x/f3/a9/f3a96f00cdd0b20556479a8172219829.jpg;https://cdn.entero.ru/mp@2x/3a/be/3abe22f503d91eb62c4c1d1301013ff9.jpg,Кремоварка (варочный котел) с нижним приводом Danler GTS-50E регулировка скорости,Кремоварка (варочный котел) с нижним приводом Danler GTS-50E регулировка скорости,0,RUB,Нет,Danler,Профоборудование,Кондитерское,Кремоварки,https://entero.ru/item/343657,"<p>Кремоварка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343657""><b class=""b"">Danler GTS-50E</b></a> используется на предприятиях общественного питания и торговли для приготовления заварного крема, кондитерской массы, джема, фруктового пашота, смесей для мороженого, шоколадных десертов. Модель оснащена электронной панелью управления, специальной мешалкой со скребками, предотвращающими прилипание продукта, и емкостью с воронкой, позволяющей контролировать процесс выгрузки продукта. Все элементы, контактирующие с пищевыми продуктами, выполнены из кислотоустойчивой стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подогрев с помощью масла в двойных стенках котла</li>
<li>Возможность наклона котла: облегчение выгрузки массы и чистки машины</li>
<li>Возможность фиксирования в любом положении: открытом, наклонном и закрытом</li>
<li>Дополнительная наружная ""рубашка"": ограничение выделения температуры наружу</li>
<li>Усиленный месильный орган</li>
<li>Автоматизированный привод подъема головки</li>
<li>Плавная регулировка скорости</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Рекомендуемая величина наполнения котла: от 5 до 38 л</li>
<li>Установленная мощность: 
<ul>
<li>ТЭНы: 9 кВт</li>
<li>Мешалка: 0,75 кВт</li>
</ul>
</li>
<li>Максимальная температура: 240 °С</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера и с крышкой.</span></em></p>",343657,,9.75 кВт,916 мм,612 мм,739 мм,,,,0,https://entero.ru/manuals/416414/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D0%BA%D1%80%D0%B5%D0%BC%D0%BE%D0%B2%D0%B0%D1%80%D0%BA%D0%B8%20COSMOS%20GTS.doc,,,220 кг,,,,50 л,,Да
