Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Установка,Ширина ленты,Скорость ленты,Нарезка,Длина ленты
https://cdn.entero.ru/mp@2x/4a/2d/4a2d5bc6410a193a46de8fc092811ba0.jpg;https://cdn.entero.ru/mp@2x/7d/b8/7db8c7d568b66a79c0619bad0f438057.jpg;https://cdn.entero.ru/mp@2x/eb/1a/eb1af7b366454df9dc194694ec35bb9b.jpg;https://cdn.entero.ru/mp@2x/a1/0a/a10a901cf524150ab09d9ca0d8d8948c.jpg,Машина горизонтальной нарезки тортов и бисквита Danler GD-450,164112,764287,RUB,Да,Danler,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/126801,"<p>Машина горизонтальной нарезки <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/126801"">Danler GD-450</a></b> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для нарезки тортов, бисквитов, рулетов и других кондитерских изделий на ровные пласты. Модель оснащена приводом конвейера, обеспечивающим автоматическую подачу бисквита на блок ножей, независимым приводом блока режущих ножей и регулировкой скорости конвейера. Корпус и ножи выполены из нержавеющей стали AISI 304, конвейерные ленты - из полиуретана для пищевых продуктов.</p>

<p>В комплект поставки входят 5 комплектов ножей по 2 ножа в каждом.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Верхний и прижимной нижний конвейеры для подачи заготовки и снижения ее проскальзывания</li>
<li>Отдельное регулирование скорости каждого конвейера</li>
<li>Мощный двигатель</li>
<li>Лезвия сдвоенного ножа двигаются возвратно-поступательно для обеспечения ровного среза без замятия поверхности, по сравнению с ручным разрезанием</li>
<li>Возможность установки нескольких ножей для одновременного разрезания заготовки на несколько частей</li>
<li>Быстроразъемная система замены ножа</li>
<li>Плавная регулировка машины маховым колесом под различную высоту продукта</li>
<li>Широкая рабочая зона резания для нарезки изделий больших габаритов или одновременной нарезки нескольких небольших изделий</li>
<li>Машина легко встраивается в автоматическую линию</li>
<li>Опорные элементы - колеса с фиксаторами</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Условия эксплуатации:
<ul>
<li>Температура воздуха: от 10 до 35 °С</li>
<li>Относительная влажность: не более 85%</li>
</ul>
</li>
<li>Толщина нарезки: от 10 до 100 мм</li>
<li>Шаг установки ножа: 5 мм</li>
<li>Ширина ленты: 450 мм</li>
<li>Максимальная ширина прохода продукта: 505 мм</li>
<li>Длина ленты:
<ul>
<li>Нижнего конвейера 2675 мм</li>
<li>Верхнего конвейера: 1375 мм</li>
</ul>
</li>
<li>Максимальная высота прохода продукта:
<ul>
<li>При высоте установки ножа 0 мм: 108 мм</li>
<li>При высоте установки ноже 42 мм: 128 мм </li>
</ul>
</li>
</ul>",126801,220 В,1.5 кВт,1500 мм,800 мм,1150 мм,0,https://entero.ru/manuals/477145/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%B8%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D1%83%20%D0%BD%D0%B0%20Danler%20GD-450.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239969&hd=2&autoplay=0,280 кг,Россия,Китай,от 2000 до 3500 шт/час,напольная,450 мм,,горизонтальная,1300 мм
https://cdn.entero.ru/mp@2x/fd/8d/fd8da90d6d39be6b49ce845c3960ed25.jpg;https://cdn.entero.ru/mp@2x/a0/0d/a00dc1b002d91a4f66091547b92d9e5e.jpg;https://cdn.entero.ru/mp@2x/8d/76/8d76bf6cc66b0e3acbc8f15321d1b2e1.jpg;https://cdn.entero.ru/mp@2x/56/08/5608ca15c890e65acbbb8587db34ceea.jpg;https://cdn.entero.ru/mp@2x/65/f8/65f822d84e38606a1530da638f187eeb.jpg;https://cdn.entero.ru/mp@2x/ae/b5/aeb5c19c4e446321bb588f636c89edca.jpg;https://cdn.entero.ru/mp@2x/74/35/74351a2e8833f3065a4324b124bb4b58.jpg,Машина горизонтальной нарезки тортов и бисквита Danler GM-480,164110,483221,RUB,Да,Danler,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/88449,"<p>Машина горизонтальной нарезки <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/88449"">Danler GM-480</a></b> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для нарезки бисквитных коржей, багетов, булочек для гамбургеров и другой штучной продукции на ровные пласты заданной толщины. Элементы машины, соприкасающиеся с продуктом, (верхний блок, направляющие, ножи) выполнены из нержавеющей стали AISI 304, конвейерная лента - из полиуретана для пищевых продуктов, корпус - из углеродистой стали и покрашен молотковой эмалью, что защищает оборудование от воздействия различных агрессивных сред.</p>

<p>В комплект поставки входят 2 ножа.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подающий конвейер перемещает заготовку на горизонтальные разнонаправленно движущиеся возвратно-послупательные ножи</li>
<li>Заготовка проходит через ножи и нарезается на пласты заданной толщины</li>
<li>Лезвия сдвоенного ножа движутся разнонаправленно и возвратно-поступательно, что обеспечивает ровный и аккуратный срез без замятия поверхности по сранению с ручным нарезанием</li>
<li>Надежный и простой механизм крепления блока ножей, позволяющий без лишних усилий менять высоту установки ножа</li>
<li>Возможность установки нескольких ножей для одновременного нарезания заготовки на несколько частей</li>
<li>Удобная и быстрая переустановка ножа</li>
<li>Бесступенчатое регулирование скорости конвейера, позволяющее задать оптимальную скорость подачи продукта на ножи</li>
<li>Зубчатая передача в приводе движения ножа, что значительно снижает эксплуатационные расходы, вибрацию и уровень шума</li>
<li>Приводной вал с насечками для предотвращения проскальзывания, износа ленты конвейера и ее центрирования</li>
<li>Усиленный механизм привода ленты конвейера (двойная промышленная цепь) для его безотказной работы</li>
<li>Клиновидные V-образные ремни в передаточном механизме значительно уменьшают вибрацию и шум</li>
<li>Система безопасности исключает случайное включение машины во время замены ножа</li>
<li>Широкая рабочая зона обеспечивает высокую производительность и оптимально подходит для нарезания изделий больших габаритов или одновременной нарезки нескольких небольших изделий</li>
<li>Износостойкая конвейерная лента прекрасно подходит для работы с сухими и влажными заготовками</li>
<li>Система быстрого ослабления ленты предоставляет доступ к конвейерному столу для его уборки всего за пару секунд</li>
<li>Два выдвижных поддона из нержавеющей стали для большей легкости уборки рабочей зоны</li>
<li>Система автоматической очистки конвейерной ленты со скребком и быстросъемным лотком</li>
<li>Прозрачная панель для защиты оператора от движущихся ножей и крошек</li>
<li>Прочное рамное сварное основание, которое можно использовать для складирования продукта</li>
<li>Мобильна и универсальна - легко перемещается в рабочую зону</li>
<li>Может быть использована отдельно или встроена в автоматическую линию</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Макс. высота продукта: 93 / 155 мм</li>
<li>Макс. ширина продукта: 495 мм</li>
<li>Высота установки ножа: от 5 до 140 мм</li>
<li>Шаг установки ножа: 5 мм</li>
<li>Количество одновременно устанавливаемых ножей: 1 / 2 / 3 / 4 и более</li>
<li>Мощность:
<ul>
<li>Общая: 0,43 кВт</li>
<li>Двигатель для разрезания: 0,37 кВт</li>
<li>Двигатель движения конвейера: 0,06 кВт</li>
</ul>
</li>
</ul>",88449,220 В,0.43 кВт,1640 мм,795 мм,1140 мм,0,https://entero.ru/manuals/186675/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Danler%20GM-480.pdf;https://entero.ru/manuals/477158/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%B8%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D1%83%20%D0%BD%D0%B0%20Danler%20GM-480.pdf,503355,https://vk.com/video_ext.php?oid=-177656185&id=456239329&hd=2&autoplay=0,189 кг,Россия,Китай,3500 шт/час,напольная,480 мм,"0,11 м м/сек.",горизонтальная,2990 мм
https://cdn.entero.ru/mp@2x/19/4c/194c789040cc6c07f4f1004f02094ee4.jpg,Машина горизонтальной нарезки Confimec CONFISLICE,Машина горизонтальной нарезки Confimec CONFISLICE,1282268,RUB,Да,Confimec,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/366377,"<p>Машина горизонтальной нарезки <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/366377"">Confimec CONFISLICE</a></b> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для нарезки бисквитных коржей, багетов, булочек, тортов, рулетов, пирожных и другой штучной продукции на ровные куски заданного размера. Модель оснащена 3 сдвоенными ножами и колесами с тормозами. Корпус выполнен из окрашенной нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 конвейера: нижний для продвижения заготовок, верхний для прижима заготовок при нарезании</li>
<li>Возможность регулировать скорость продвижения конвейеров с помощью частотного преобразователя</li>
<li>Устройство ослабления транспортерной ленты для удобства мойки</li>
<li>Защитные решетки в соответствии с нормативами безопасности EC</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная высота изделий: 80 мм</li>
<li>Шаг установки ножей: 5 мм</li>
</ul>",366377,220 В,0.6 кВт,,,,0,,1393770,,250 кг,,Италия,,напольная,400 мм,от 1 до 6 м/сек.,горизонтальная,
https://cdn.entero.ru/mp@2x/a4/82/a4827ded8568c1ae1a3d337962ca6293.jpg;https://cdn.entero.ru/mp@2x/e0/89/e089d853ee2de0f5c720f413955452c9.jpg;https://cdn.entero.ru/mp@2x/e7/53/e753a04f999438e9476dc8c520bf6a8b.jpg;https://cdn.entero.ru/mp@2x/4d/a5/4da514bafff65c413876164d62a74ff2.jpg,Машина вертикальной нарезки тортов и бисквита Skilled Baker GRE-400,164171,2161575,RUB,Нет,,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/343606,"<p>Машина вертикальной нарезки <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/343606"">Skilled Baker GRE-400</a></b> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для нарезки бисквитных коржей, багетов, булочек, тортов, рулетов, пирожных и другой штучной продукции на ровные куски заданного размера. Модель оснащена PLS дисплеем SIEMENS и встроенным микропроцессором. Корпус выполнен из нержавеющей стали. нож из пищевой нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Удобная установка параметров нарезки кусочков на дисплее машины</li>
<li>Возможность запоминания 60 различных программ освобождает от необходимости повторной настройки машины</li>
<li>Значительно ускоряет производственный процесс нарезки</li>
<li>Позволяет осуществлять нарезание 2 продуктов одновременно</li>
<li>Требует минимального участия оператора в процессе работы</li>
<li>Русифицированная сенсорная панель управления с простым, понятным и удобным интерфейсом</li>
<li>Высокая производительность нарезания заготовок</li>
<li>Высокая степень точности настроенных и фактических параметров резания достигается с помощью 2 серводвигателей, обеспечивающих точную работу ножей и поворот установочного стола - части получаются одинаковой массы, формы и объема, что исключает необходимость дополнительного контроля</li>
<li>Индуктивная система подогрева ножей до температуры 100 °C обеспечивает ровное прорезание твердой глазури, шоколада и других аналогичных составов</li>
<li>Двигающиеся возвратно-поступательно ножи обеспечивают ровный срез</li>
<li>Скорость опускания и поднимания ножа настраивается, исходя из свойств конкретного продукта - это позволяет достигать максимальной производительности</li>
<li>Широкий диапазон настройки параметров режимов работы позволяет нарезать различную продукцию на куски требуемого размера и формы</li>
<li>Параметры геометрии реза подстраиваются автоматически при внесении изменений в программу оператором</li>
<li>Электронный контроль давления воздуха обеспечивает плавность и точность работы машины</li>
<li>Качественная автоматическая система очистки ножей сохраняет безупречный вид нарезаемого изделия и исключает необходимость их протирания вручную перед осуществлением каждого реза</li>
<li>Трехступенчатая система очистки ножей включает в себя опрыскивание ножей машины спиртом, механическое удаление остатков продукта возвратно-поступательно движущимся бегунком (планкой) и удаление струей воздуха остатков продукта в специальный накопительный резервуар</li>
<li>Накопительные контейнеры для сбора остатков исключают необходимость частой протирки машины и прилегающей рабочей зоны</li>
<li>Колеса с фиксаторами позволяют легко транспортировать машину в требуемое место, где она будет надежно зафиксирована</li>
<li>Презентабельный внешний вид</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Макс. размер прямоугольной заготовки: 600х400 мм</li>
<li>Макс. диаметр круглой заготовки: 300 мм</li>
<li>Макс. высота заготовки: 150 мм</li>
<li>Давление сжатого воздуха: 0,6 МПа</li>
</ul>",343606,220 В,0.8 кВт,1010 мм,1050 мм,1400 мм,0,https://entero.ru/manuals/416023/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Skilled%20Baker%20GRE-400.pdf,2324274,https://vk.com/video_ext.php?oid=-177656185&id=456240434&hd=2&autoplay=0,350 кг,Россия,Китай,,напольная,,,вертикальная,
https://cdn.entero.ru/mp@2x/1c/02/1c024c4b049ae3df8397b3beb5749193.jpg;https://cdn.entero.ru/mp@2x/b0/7e/b07e3681574a2ec56aea96381b8be2df.jpg,Машина вертикальной нарезки тортов и бисквита Danler Ultrasonic GL-400,164150,0,RUB,Нет,Danler,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/187485,"<p>Ультразвуковая машина вертикальной нарезки <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/187485"">Danler Ultrasonic GL-400</a></b> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для нарезки бисквитных коржей, багетов, булочек, тортов, рулетов, пирожных и другой штучной продукции на ровные куски заданного размера. Корпус выполнен из нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Значительно ускоряет производственный процесс нарезки</li>
<li>Русифицированная сенсорная панель управления с простым, понятным и удобным интерфейсом</li>
<li>Высокая производительность нарезания заготовок</li>
<li>Нарезка как круглых, так и прямоугольных изделий</li>
<li>Высокая степень точности настроенных и фактических параметров резания - части получаются одинаковой массы, формы и объема, что исключает необходимость дополнительного контроля</li>
<li>Благодаря ультразвуковому колебанию ножа подходит для продукции различной консистенции: твердой, кремообразной и желеобразной - место среза остается гладким</li>
<li>Возможность работы с замороженными продуктами</li>
<li>Возможность создания отдельной программы для каждого изделия</li>
<li>Параметры геометрии реза подстраиваются автоматически при внесении изменений в программу оператором</li>
<li>Система безопасности машины для предотвращения травмирования оператора - фотобарьерные рамки гарантируют мгновенное выключение ножа, если в зоне их действия<br>
появляется посторонний предмет</li>
<li>Автоматическая чистка ножа после каждого цикла для предотвращения необходимости остановки машины с целью ее очистки</li>
<li>Высота ножек регулируется для компенсации неровностей пола и придания машине устойчивого положения</li>
<li>Презентабельный внешний вид</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Макс. скорость нарезки: 60 резов/мин.</li>
<li>Макс. размер прямоугольной заготовки: 600х400 мм</li>
<li>Макс. диаметр круглой заготовки: 300 мм</li>
<li>Макс. высота заготовки: 80 мм*</li>
<li>Длина ножа: 305 мм</li>
</ul>

<p> </p>

<p><em>* Ровный срез гарантируется при высоте изделия до 80 мм - при разрезании более высокого изделия ровный срез зависит от свойств конкретного продукта.</em></p>",187485,220 В,6 кВт,1300 мм,1300 мм,1800 мм,0,https://entero.ru/manuals/218352/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D1%83%D0%BB%D1%8C%D1%82%D1%80%D0%B0%D0%B7%D0%B2%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE%20%D0%BD%D0%BE%D0%B6%D0%B0%20Danler%20Ultrasonic%20GL-400.jpg,,,480 кг,Россия,Китай,,напольная,,,вертикальная,
https://cdn.entero.ru/mp@2x/0a/2a/0a2adb8fce68c3b821af56b27da83725.jpg;https://cdn.entero.ru/mp@2x/b0/df/b0df650f4338d0af680343ae6671ae97.jpg,Машина для нарезки конфет Pavoni Chitarra Doppio Taglio BCD/I,Машина для нарезки конфет Pavoni Chitarra Doppio Taglio BCD/I,178423,RUB,Нет,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/200066,"<p>Машина для резки кондитерских изделий <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/200066"">Pavoni Chitarra Doppio Taglio BCD/I</a></b> используется на предприятиях пищевой промышленности, общественного питания и торговли для вертикальной нарезки мягких кондитерских масс на заготовки одинакового размера. Корпус выполнен из нержавеющей стали AISI 304, режущая база - из анодированного алюминия.</p>

<p>В комплект поставки входят лоток и шпатель.</p>

<p><span style=""color:#FF0000;"">Рамки для нарезки в комплект поставки не входят и приобретаются отдельно.</span></p>

<p><b>Особенности:</b></p>

<ul>
<li>Двусторонняя струнная резка</li>
<li>Быстрая нарезка за 1 шаг</li>
<li>Возможность получения квадратных и прямоугольных заготовок в зависимости от струнной рамки</li>
<li>Легкая замена струн</li>
<li>Полностью разбирается для легкой очистки и обслуживания</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры поверхности нарезки: 360x360 мм</li>
<li>Габариты в упаковке: 670x600x350 мм</li>
</ul>

<p><b>Оцпии (заказываются отдельно):</b></p>

<ul>
<li>Струнные рамы TCH</li>
</ul>",200066,220 В,0.42 кВт,620 мм,550 мм,180 мм,0,https://entero.ru/manuals/233538/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,29 кг,Италия,Италия,3500 шт/час,напольная,,,вертикальная,
https://cdn.entero.ru/mp@2x/98/35/98352bc8c42f8baa6ee93cb0fe8e7694.jpg;https://cdn.entero.ru/mp@2x/24/10/2410d708d32b08cfe58324e8e051e21a.jpg,Машина для нарезки конфет Pavoni Chitarra,Машина для нарезки конфет Pavoni Chitarra,216090,RUB,Нет,Pavoni,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/200165,"<p>Машина для резки кондитерских изделий <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/200165"">Pavoni Chitarra</a> </b>используется на предприятиях пищевой промышленности, общественного питания и торговли для нарезки ганашей и мягких кондитерских масс на заготовки одинакового размера. Корпус выполнен из нержавеющей стали AISI 304, режущая база - из анодированного алюминия, рама - из высококачественного металла.</p>

<p>В комплект поставки входят 3 рамы для нарезки с расстоянием между струнами 22,5, 30 и 37,5 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Односторонняя струнная резка</li>
<li>Возможность получения квадратных и прямоугольных заготовок в зависимости от дополнительной струнной рамки</li>
<li>Легкая замена струн</li>
<li>Полностью разбирается для легкой очистки и обслуживания</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры поверхности нарезки: 360x360 мм</li>
<li>Габариты в упаковке: 650x550x250 мм</li>
</ul>

<p><b>Оцпии (заказываются отдельно):</b></p>

<ul>
<li>Струнные рамы TCH</li>
</ul>",200165,,,600 мм,500 мм,150 мм,0,,,,28 кг,Италия,Италия,,,,,,
https://cdn.entero.ru/mp@2x/13/c5/13c50c682d93b24bb62099ebb9f6c511.jpg,Бисквиторезка ультразвуковая Ultrasonic GL-600,Бисквиторезка ультразвуковая Ultrasonic GL-600,6971753,RUB,Нет,,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/286876,"<p>Ультразвуковая бисквиторезка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/286876"">Ultrasonic GL-600</a></b> используется на средних и малых предприятиях пищевой промышленности, общественного питания и торговли для вертикальной нарезки бисквита на заготовки одинаковой массы, формы и объема. Ультразвуковое колебание ножа позволяет работать как с твердыми, так и с желеобразными, гелеобразными и замороженными продуктами. Модель оснащена русифицированной сенсорной панелью управления и регулируемыми по высоте ножками. Корпус выполнен из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входят 2 ножа общей длиной 610 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность создания программы для каждого изделия</li>
<li>Автоматическая система очистки ножа после каждого цикла</li>
<li>Нарезка как круглых, так и прямоугольных изделий</li>
<li>Автоматическая подстройка параметров геометрии реза при внесении изменений в программу оператором</li>
<li>Высокая степень точности настроенных и фактических параметров резания</li>
<li>Высокая производительность разрезания заготовок</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальный размер разрезаемой прямоугольной заготовки: 600x400 мм</li>
<li>
<p>Максимальный размер разрезаемой круглой заготовки: 300x300 мм</p>
</li>
</ul>",286876,220 В,6 кВт,1300 мм,1300 мм,1800 мм,0,,7338687,,480 кг,,,,напольная,,,вертикальная,
https://cdn.entero.ru/mp@2x/63/25/63257b8ebe7d87d24b9156a396695110.jpg;https://cdn.entero.ru/mp@2x/e5/3d/e53d2607477448179daa451c3bfac09a.jpg;https://cdn.entero.ru/mp@2x/a6/46/a646423ce47445ce6ca0de9458c87b95.jpg;https://cdn.entero.ru/mp@2x/83/b2/83b24de4ad5d98fffb5430ed0503d92b.jpg,Комплекс вертикальной нарезки тортов и бисквита Danler GRD-600,164172,0,RUB,Нет,Danler,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/187591,"<p>Комплекс вертикальной нарезки <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.kz/item/187591"">Danler GRD-600</a></b> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для нарезки бисквитных коржей, багетов, булочек, тортов, рулетов, пирожных и другой штучной продукции на ровные куски прямоугольной формы заданного размера. Корпус выполнен из нержавеющей стали SUS304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Значительно ускоряет производственный процесс нарезки</li>
<li>Представляет собой комплекс из 2 машин GR-600, оборудованных конвейерным столом и установленных перпендикулярно друг к другу, и установки подачи продукта между ними</li>
<li>После выхода из первой машины продукция, уже разрезанная по горизонтали, посредством пневматического толкателя движется во вторую машину, куда входит развернутой на 90 градусов и нарезается по вертикали</li>
<li>Форма нарезания куска - прямоугольник</li>
<li>Русифицированная сенсорная панель управления с простым, понятным и удобным интерфейсом</li>
<li>Высокая производительность нарезания заготовок</li>
<li>Высокая степень точности настроенных и фактических параметров резания достигается с помощью 2 серводвигателей, обеспечивающих точную работу ножей и поворот установочного стола - части получаются одинаковой массы, формы и объема, что исключает необходимость дополнительного контроля</li>
<li>Индуктивная система подогрева ножей до температуры 100 °C обеспечивает ровное прорезание твердой глазури, шоколада и других аналогичных составов</li>
<li>Двигающиеся возвратно-поступательно ножи обеспечивают ровный срез</li>
<li>Скорость опускания и поднимания ножа настраивается, исходя из свойств конкретного продукта - это позволяет достигать максимальной производительности</li>
<li>Широкий диапазон настройки параметров режимов работы позволяет нарезать различную продукцию на куски требуемого размера</li>
<li>Возможность запоминания 60 различных программ освобождает от необходимости повторной настройки машины</li>
<li>Параметры геометрии реза подстраиваются автоматически при внесении изменений в программу оператором</li>
<li>Электронный контроль давления воздуха обеспечивает плавность и точность работы машины</li>
<li>Качественная автоматическая система очистки ножей сохраняет безупречный вид нарезаемого изделия и исключает необходимость их протирания вручную перед осуществлением каждого реза</li>
<li>Трехступенчатая система очистки ножей включает в себя опрыскивание ножей машины спиртом, механическое удаление остатков продукта возвратно-поступательно движущимся бегунком (планкой) и удаление струей воздуха остатков продукта в специальный накопительный резервуар</li>
<li>Накопительные контейнеры для сбора остатков исключают необходимость частой протирки машины и прилегающей рабочей зоны</li>
<li>Колеса с фиксаторами позволяют легко транспортировать машину в требуемое место, где она будет надежно зафиксирована</li>
<li>Презентабельный внешний вид</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Макс. размер прямоугольной заготовки: 600х600 мм</li>
</ul>",187591,220 В,2 кВт,2941 мм,2916 мм,1420 мм,0,,,https://vk.com/video_ext.php?oid=-177656185&id=456240826&hd=2&autoplay=0,800 кг,Россия,Китай,,напольная,,,вертикальная,
https://cdn.entero.ru/mp@2x/b5/2b/b52b53d23c9aa7d6d18f1ca7cb96e976.jpg,Машина для резки кондитерских изделий SINMAG HS-3,Машина для резки кондитерских изделий SINMAG HS-3,0,RUB,Нет,SINMAG,Профоборудование,Кондитерское,Машины для нарезки бисквита,https://entero.ru/item/32202,"<p>Машина для резки кондитерских изделий <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32202""><b class=""b"">Sinmag HS-3</b></a> используется на предприятиях пищевой промышленности, общественного питания и торговли для горизонтальной нарезки бисквита на заготовки. </p>

<p>В комплект поставки входят 3 лезвия.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулируемая по толщине нарезка</li>
<li>Аккуратный срез</li>
<li>Минимизация потери продукта в виде крошек</li>
</ul>",32202,220 В,0.42 кВт,790 мм,1150 мм,1165 мм,0,https://entero.ru/manuals/58422/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SINMAG%20HS-3.doc,,,120 кг,,Китай,3500 шт/час,напольная,,,горизонтальная,
