Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Рабочая ширина
https://cdn.entero.ru/mp@2x/da/be/dabe78c546b3624d39c177026114b191.jpg;https://cdn.entero.ru/mp@2x/84/45/84456fd150087cd057763d3b06e4b012.jpg;https://cdn.entero.ru/mp@2x/8a/a4/8aa44582d4af9304e030cc1eff9611d0.jpg,Машина для отсадки начинок Pavoni DOSIPLUS PRO,92342,354748,RUB,Да,Pavoni,Профоборудование,Кондитерское,Отсадочные машины,https://entero.ru/item/106403,"<p>Машина для отсадки начинок <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/106403"">Pavoni DOSIPLUS PRO</a></b> используется в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания для отсадки начинок из шоколада, меда, джема и различных кремов для наполнения кондитерских и хлебобулочных изделий. Оборудование оснащено программируемой панелью управления, электронной системой дозирования продукта, автоматическим и ручным режимами работы. Корпус и бункер выполнены из нержавеющей стали AISI 304.</p>

<p>В комплект поставки входят насадка-трубка <a href=""https://entero.ru/%C2%ABhttps://entero.ru/item/41526"">F-3097</a>.</p>

<p><b>Особенности:</b></p>

<ul>
<li>25 скоростей</li>
<li>Реверсивная функция с 5 параметрами настройки (функция защиты от капель)</li>
<li>Резиновые лопасти в бункере для дозировки деликатных продуктов и продуктов, содержащих твердые части (фрукты, измельченные фундуки, шоколадные капли и прочее)</li>
<li>Низкий уровень шума</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем бункера: 8 л</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li><a href=""http://entero.ru/item/203327"" target=""_blank"">Бункер 15 л</a></li>
<li>Накладка для подогрева бункера <a href=""http://entero.ru/item/203325"" target=""_blank"">FS-3271</a></li>
<li>Наконечник <a href=""https://entero.ru/item/39583"">FS-3305</a></li>
<li>Насадка <a href=""https://entero.ru/item/39584"">FS-3011</a></li>
<li>Насадка <a href=""https://entero.ru/item/76726"">F-3064</a></li>
<li>Насадка <a href=""https://entero.ru/item/41526"">F-3097</a></li>
<li>Насадка <a href=""http://entero.ru/item/203314"" target=""_blank"">F-3141</a></li>
<li>Насадка <a href=""http://entero.ru/item/203279"" target=""_blank"">F-3101</a></li>
<li>Насадка F-3339</li>
<li>Насадка <a href=""http://entero.ru/item/203282"" target=""_blank"">F-3095</a></li>
<li>Насадка <a href=""http://entero.ru/item/203283"" target=""_blank"">F-3090</a></li>
<li>Насадка F-3055</li>
<li>Насадка F-3067</li>
<li>Насадка <a href=""http://entero.ru/item/203286"" target=""_blank"">F-3091</a></li>
<li>Насадка F-3094</li>
<li>Насадка F-3212</li>
<li>Насадка <a href=""http://entero.ru/item/203294"" target=""_blank"">F-3013</a></li>
<li>Насадка <a href=""https://entero.ru/item/203303"" target=""_blank"">F-3076</a></li>
<li>Насадка F-3081</li>
<li>Насадка <a href=""https://entero.ru/item/203292"" target=""_blank"">F-3014</a></li>
<li>Насадка <a href=""http://entero.ru/item/203285"" target=""_blank"">F-3066</a></li>
<li>Насадка F-2418</li>
<li>Насадка F-2861</li>
<li>Насадка F-3187</li>
<li>Насадка F-3147</li>
<li>Насадка F-3042</li>
<li>Насадка FS-2739</li>
<li>Насадка FS-2740</li>
<li>Насадка FS-2760</li>
<li>Насадка <a href=""http://entero.ru/item/203312"" target=""_blank"">FS-3071</a></li>
<li>Насадка <a href=""https://entero.ru/item/203313"" target=""_blank"">FS-2887</a></li>
<li>Набор насадок PB12 / PB24 с переходником F-2741</li>
<li>Шланг <a href=""http://entero.ru/item/203315"" target=""_blank"">FS-3000</a></li>
<li>Педаль P-3026</li>
</ul>",106403,220 В,0.25 кВт,420 мм,320 мм,590 мм,,,,0,https://entero.ru/manuals/97630/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Pavoni%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,369529,,22 кг,Италия,,,
https://cdn.entero.ru/mp@2x/fa/7a/fa7a76b70a8ab5b6360c3f6b22081b52.jpg;https://cdn.entero.ru/mp@2x/0a/93/0a933b6f7b40306033607326eadcf551.jpg,Машина экструзионная EKSI HJ-860,Машина экструзионная EKSI HJ-860,1255851,RUB,Да,EKSI,Профоборудование,Кондитерское,Отсадочные машины,https://entero.ru/item/377855,"<p>Экструзионная отсадочно-формовочная машина​ <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/377855""><b class=""b"">Danler Orion 2-D</b></a> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для формования тестовых заготовок кондитерских изделий с различной пастообразной начинкой. Корпус выполнен из нержавеющей стали AISI 304, бункеры - из нержавеющей стали.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Форма Коксинья и диафрагма (110-130 гр. диаметр 55-65 мм)</li>
<li>Насадки-фрикадельки и диафрагма (40-70 гр. 35-50 мм)</li>
<li>Насадка для котлет и для наполнения с диафрагмой (130-150 гр. длина 120 мм, ширина 60 мм)</li>
<li>Насадка для формирования нагетсов с струнной резкой (25-35 гр.)</li>
<li>Насадки и диафрагма для баоцзы (тесто – 50-55 гр., масса начинки – 25-35 гр.)</li>
<li>Мучная метелка</li>
<li>Роликовый прижимной конвейер для котлет</li>
</ul>",377855,380 В,9.9 кВт,,,,350 кг,1,1025x1020x1450 мм,0,,,,,,Китай,,
https://cdn.entero.ru/mp@2x/24/8a/248ac3e18f5921d9ead24a9a93aa6f01.jpg;https://cdn.entero.ru/mp@2x/69/e8/69e86e179ff14ba7b010f58388ff139e.jpg;https://cdn.entero.ru/mp@2x/19/87/1987c2aed5ceea4c5e5cd98dacab8c25.jpg;https://cdn.entero.ru/mp@2x/70/14/701468b50ea41222fa97df75a40c58bc.jpg;https://cdn.entero.ru/mp@2x/94/22/9422d1013d55ea86f593b1271505a3b2.jpg;https://cdn.entero.ru/mp@2x/82/aa/82aaacc5976f33dd308747d8305475a8.jpg,Отсадочная машина DITO Group TRIOMIX 600,Отсадочная машина DITO Group TRIOMIX 600,0,RUB,Нет,DITO Group,Профоборудование,Кондитерское,Отсадочные машины,https://entero.ru/item/80361,"<p>Тестоотсадочная машина​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/80361"">DITO Group TRIOMIX 600</a></b> предназначена для формования на противни методом экструзии тестовых заготовок кондитерских изделий различной формы и размеров из кондитерского теста разнообразной консистенции в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания. Корпус и валы выполнены из нержавеющей стали AISI 304.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Двух депозитная голова валкого типа</li>
<li>Сдвоенные 2 бункера + третий бункер для начинки</li>
<li>9 медных фильер формы на выбор</li>
<li>9 пластиковых рефленных фильер Ø 12 мм</li>
<li>9 пластиковых круглых фильер Ø 12 мм</li>
<li>Поворотный формующий плаунсон с 9 гильзами</li>
<li>Плита для начинки изделия сверху с 9 соплами</li>
<li>Набор инструментов</li>
</ul>

<p><b>Конфигурация изделий:</b></p>

<ul>
<li>Одноцветные</li>
<li>Двухцветные</li>
<li>Одноцветные с начинкой и декорацией сверху</li>
<li>Одноцветные с декорацией сверху</li>
<li>Двухцветные с декорацией сверху</li>
<li>Двухцветные с начинкой внутри</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровая система с программным обеспечением</li>
<li>100 рабочих программ, сохраняемых в памяти машины</li>
<li>Сенсорный дисплей ""toch screen"" с программой на русском языке</li>
<li>9 рядный автомат</li>
<li>Регулировка разных скоростей подъезда противней</li>
<li>Установка скорости поднятия и опускания стола с серво приводом</li>
<li>Автоматическая регулировка высоты стола</li>
<li>Установка высоты опускания стола</li>
<li>Плавная регулировка вращения насадок дозирующих тесто</li>
<li>Электронный датчик противней</li>
<li>Электронное измерение перемещения противней</li>
<li>Промышленные серводвигатели</li>
<li>Установка на базовой версии различных дозирующих головок</li>
<li>Широкий выбор насадок производит одно-, двух- и трехцветные продукты с джемом как сверху так и внутри в виде начинки</li>
<li>Усиленные приводы валов первого и второго бункеров</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер противня: 600х400 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Опция диафрагменная резка:
<ul>
<li>Диафрагменная резка</li>
<li>Плаунсон на 6 выходов</li>
</ul>
</li>
<li>Опция плаунсон для двухцветного изделия диафрагма:
<ul>
<li>Плаунсон на 6 выходов для теста</li>
<li>Плита для начинки</li>
</ul>
</li>
<li>Опция струнная резка:
<ul>
<li>Струнная резка</li>
<li>Плаунсон для одноцветного изделия</li>
<li>Плаунсон для двухцветного изделия</li>
</ul>
</li>
<li>Опция штамповка:
<ul>
<li>Прижимной штамп с 6 прижимами</li>
</ul>
</li>
<li>Пневматическая станция гильотина</li>
<li>Плаунсон с щелевой насадкой для двух депозитной головы валкового типа</li>
<li>Плаунсон с щелевой насадкой для бункера насосного типа</li>
<li>Плаунсон для маффинов на 6 выходов</li>
<li>Плаунсон для соломки и шариков</li>
<li>Плита для соломки и шариков</li>
<li>Фильеры медные одноцветные</li>
<li>Фильеры медные двухцветные</li>
<li>Насадки пластиковые одноцветные</li>
<li>Тележка для обслуживание головки</li>
<li>Специальный электрический обогрев с водяной рубашкой одного бункера с регулятором и датчиком температуры</li>
</ul>",80361,380 В,5 кВт,2050 мм,1120 мм,1410 мм,,,,0,,,,1020 кг,Италия,,от 150 до 400 кг/час,600 мм
https://cdn.entero.ru/mp@2x/86/11/86110f4f3436ee1cba0051a8c9e04972.jpg;https://cdn.entero.ru/mp@2x/b2/2b/b22b69b4f36b447c76a4bb6c11d279d4.jpg;https://cdn.entero.ru/mp@2x/7c/f3/7cf34f77e0c843d8f27269036d79886e.jpg;https://cdn.entero.ru/mp@2x/32/c7/32c77de32553aeead860bb81bc186567.jpg;https://cdn.entero.ru/mp@2x/9d/29/9d29a09e6a44d69be7e9a355ab0128b4.jpg;https://cdn.entero.ru/mp@2x/c4/b4/c4b44f6228e703918691b259871f5b1c.jpg,Машина экструзионная отсадочно-формовочная Danler Orion 2-D,204525,0,RUB,Нет,Danler,Профоборудование,Кондитерское,Отсадочные машины,https://entero.ru/item/86567,"<p>Экструзионная отсадочно-формовочная машина​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86567"">Danler Orion 2-D</a></b> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для формования тестовых заготовок кондитерских изделий с различной пастообразной начинкой. Все детали, контактирующие с продуктами питания, выполнены из пищевого алюминия или нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подходит для выпуска как односоставных, так и двусоставных изделий (2 бункера)</li>
<li>Предназначена для использования с полужидкими и густыми массами</li>
<li>Специальная система подачи с помощью лопастных насосов позволяет использовать массы различной консистенции и дисперсности, в том числе с твердыми частицами</li>
<li>Мультифункциональная сенсорная панель управления с возможностью программирования</li>
<li>Бережная система нагнетания не нарушает реологические свойства теста и начинки</li>
<li>Конструкция позволяет устанавливать третий бункер (приобретается отдельно), что дает возможность производить изделия из 3 компонентов</li>
<li>Легкосменные насадки на формующую головку позволяют придавать заготовкам разнообразные формы</li>
<li>Современная технология диафрагменного деления обеспечивает большое количество начинки в продукции</li>
<li>Встроенная гильотинная резка для удобной нарезки изделий, которые производятся методом непрерывной экструзии</li>
<li>Автоматическая посыпка мукой препятствует прилипанию изделий к транспортерной ленте</li>
<li>Тефлоновое покрытие бункеров для лучшего скольжения теста и начинки</li>
<li>Технология точного литья гарантирует качество и долговечность оборудования</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вес изделия: от 15 до 180 г</li>
</ul>",86567,220 В,2.2 кВт,1750 мм,860 мм,1300 мм,,,,0,https://entero.ru/manuals/219941/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D1%8D%D0%BA%D1%81%D1%82%D1%80%D1%83%D0%B7%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE-%D0%BE%D1%82%D1%81%D0%B0%D0%B4%D0%BE%D1%87%D0%BD%D1%8B%D0%B5%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D1%8B%20Danler%20Orion.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240463&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239477&hd=2&autoplay=0,320 кг,Россия,Россия,от 80 до 250 кг/час,
https://cdn.entero.ru/mp@2x/51/86/518642dc60e8a115e1eaf248bdd2029b.jpg;https://cdn.entero.ru/mp@2x/da/53/da534c50077470eb854de5c5925c2b98.jpg;https://cdn.entero.ru/mp@2x/c6/52/c652754c3b52877f513b53e70119956c.jpg;https://cdn.entero.ru/mp@2x/fe/04/fe04da41874dfaf92b6ab2e67e3af7aa.jpg;https://cdn.entero.ru/mp@2x/8d/ab/8dabe440390b81c316059f225df3a4ad.jpg;https://cdn.entero.ru/mp@2x/3f/ca/3fca8d2c29906e88c71be8255c7fdf8b.jpg;https://cdn.entero.ru/mp@2x/03/2e/032e4209204a17283dccb8316dc1ddfc.jpg;https://cdn.entero.ru/mp@2x/f6/a4/f6a432872e21798df4792c08a8e69da8.jpg;https://cdn.entero.ru/mp@2x/b0/03/b003bc61f4d5bf3b3becd3b88d35fd73.jpg,Машина экструзионная отсадочно-формовочная Danler Orion 3-D,204526,0,RUB,Нет,Danler,Профоборудование,Кондитерское,Отсадочные машины,https://entero.ru/item/86570,"<p>Экструзионная отсадочно-формовочная машина​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86570"">Danler Orion 3-D</a></b> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для формования тестовых заготовок кондитерских изделий с различной пастообразной начинкой. Все детали, контактирующие с продуктами питания, выполнены из пищевого алюминия или нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Подходит для выпуска как односоставных, так и двусоставных и трехсоставных изделий (3 бункера)</li>
<li>Предназначена для использования с полужидкими и густыми массами</li>
<li>Специальная система подачи с помощью лопастных насосов позволяет использовать массы различной консистенции и дисперсности, в том числе с твердыми частицами</li>
<li>Мультифункциональная сенсорная панель управления с возможностью программирования</li>
<li>Бережная система нагнетания не нарушает реологические свойства теста и начинки</li>
<li>Легкосменные насадки на формующую головку позволяют придавать заготовкам разнообразные формы</li>
<li>Современная технология диафрагменного деления обеспечивает большое количество начинки в продукции</li>
<li>Встроенная гильотинная резка для удобной нарезки изделий, которые производятся методом непрерывной экструзии</li>
<li>Автоматическая посыпка мукой препятствует прилипанию изделий к транспортерной ленте</li>
<li>Тефлоновое покрытие бункеров для лучшего скольжения теста и начинки</li>
<li>Технология точного литья гарантирует качество и долговечность оборудования</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вес изделия: от 15 до 180 г</li>
</ul>",86570,220 В,2.2 кВт,1750 мм,860 мм,1300 мм,,,,0,https://entero.ru/manuals/219946/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20%D1%8D%D0%BA%D1%81%D1%82%D1%80%D1%83%D0%B7%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE-%D0%BE%D1%82%D1%81%D0%B0%D0%B4%D0%BE%D1%87%D0%BD%D1%8B%D0%B5%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D1%8B%20Danler%20Orion.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240463&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239477&hd=2&autoplay=0,320 кг,Россия,Россия,от 80 до 250 кг/час,
https://cdn.entero.ru/mp@2x/f2/17/f21705b0d00b2c54d95445aaf71301d2.jpg,Машина экструзионно-отсадочная Anko SD 97SS,Машина экструзионно-отсадочная Anko SD 97SS,1265286,RUB,Нет,Anko,Профоборудование,Кондитерское,Отсадочные машины,https://entero.ru/item/92764,"<p>Экструзионно-отсадочная машина​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/92764"">Anko SD 97SS</a> </b>предназначена для формования на противни тестовых заготовок кондитерских изделий из теста с различной пастообразной начинкой на предприятиях общественного питания и торговли. Модель оснащена аналоговой панелью управления, 2-х моторным конвейером, шнеком подачи сухой и мокрой начинки, подвижным стендом с блокируемыми колесами и круглым лотком для приема продуктов. Корпус выполнен из нержавеющей стали.</p>

<p>Для работы с твердыми начинками нужно заменить узел подачи.</p>

<p>Диафрагма в комплект поставки не входит и приобретается отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 1500 до 3600 шт./ч</li>
<li>Вес 1 готового изделия: от 15 до 50 гр</li>
</ul>",92764,220 В,0.63 кВт,1120 мм,550 мм,1300 мм,,,,0,,1375311,,100 кг,,Тайвань,,
https://cdn.entero.ru/mp@2x/15/b7/15b7e8c016883526487024d56f67c9e9.jpg,Машина экструзионно-отсадочная Anko SD 97W (под 6-ти лепестковую диафрагму),SD97W (6 petal shutter),2809561,RUB,Нет,Anko,Профоборудование,Кондитерское,Отсадочные машины,https://entero.ru/item/41779,"<p>Экструзионно-отсадочная машина​ <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/41779""><b class=""b"">Anko SD 97W</b></a> предназначена для формования на противни тестовых заготовок кондитерских изделий из теста с различной пастообразной начинкой на предприятиях общественного питания и торговли. Модель оснащена цифровой панелью управления, конвейером с направлением движения справа налево и подвижным стендом с блокируемыми колесами. Бункер подачи начинки выполнен из нержавеющей стали, бункер для оболочки с антиадгезионным покрытием.</p>

<p>Для работы необходима установка 6-ти лепестковой диафрагмы (в комплект поставки не входит и приобретается отдельно).</p>

<p><b>Особенности:</b></p>

<ul>
<li>Электронный контроллер для программирования 5 программ</li>
<li>Регулировки скорости подачи теста и начинки, скорости вертикального перемещения диафрагмы, периодичности защипывания и скорости движения конвейера</li>
<li>Размер изделий (диаметр) и толщина оболочки настраиваются с помощью подбора пары фильер через которые экструдируется оболочка и начинка</li>
<li>Усиленный поворотный кронштейн</li>
<li>Возможность работы без начинки (необходима заглушка подачи начинки, в комплект поставки не входит и приобретается отдельно)</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 2500 до 4200 шт./ч</li>
<li>Вес 1 готового изделия: от 15 до 70 гр</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>6-ти лепестковая диафрагма</li>
<li>Заглушка подачи начинки</li>
</ul>",41779,220 В,1.08 кВт,1300 мм,815 мм,1700 мм,,,,0,https://entero.ru/manuals/57516/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Anko%20SD%2097W%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,2957433,,265 кг,,Тайвань,,
https://cdn.entero.ru/mp@2x/87/ab/87abb75c6285fa660019f11a08d8a693.jpg;https://cdn.entero.ru/mp@2x/6d/a7/6da7f3e43e8eb807d7224c6aa55ebeb4.jpg;https://cdn.entero.ru/mp@2x/bc/b9/bcb91b670f6cd5ee8a1d54238f22de82.jpg,Отсадочная машина DITO Group DUOMIX 600,Отсадочная машина DITO Group DUOMIX 600,3611367,RUB,Нет,DITO Group,Профоборудование,Кондитерское,Отсадочные машины,https://entero.ru/item/80467,"<p>Тестоотсадочная машина​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/80467"">DITO Group DUOMIX 600</a></b> предназначена для формования на противни методом экструзии тестовых заготовок кондитерских изделий различной формы и размеров из кондитерского теста разнообразной консистенции в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания. Корпус и валы выполнены из нержавеющей стали AISI 304.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Двух депозитная голова валкого типа</li>
<li>Сдвоенные 2 бункера или раздельные 2 бункера для одноцветного теста или начинки</li>
<li>9 медных фильер формы на выбор</li>
<li>9 пластиковых рефленных фильер Ø 12 мм</li>
<li>9 пластиковых круглых фильер Ø 12 мм</li>
<li>Поворотный формующий плаунсон с 9 гильзами</li>
<li>Плита для начинки изделия сверху с 9 соплами</li>
<li>Набор инструментов</li>
</ul>

<p><b>Конфигурация изделий:</b></p>

<ul>
<li>Одноцветные</li>
<li>Двухцветные</li>
<li>Одноцветные с начинкой</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Цифровая система с программным обеспечением</li>
<li>100 рабочих программ, сохраняемых в памяти машины</li>
<li>Сенсорный дисплей ""toch screen"" с программой на русском языке</li>
<li>9 рядный автомат</li>
<li>Регулировка разных скоростей подъезда противней</li>
<li>Установка скорости поднятия и опускания стола с серво приводом</li>
<li>Автоматическая регулировка высоты стола</li>
<li>Установка высоты опускания стола</li>
<li>Плавная регулировка вращения насадок дозирующих тесто</li>
<li>Электронный датчик противней</li>
<li>Электронное измерение перемещения противней</li>
<li>Промышленные серводвигатели</li>
<li>Установка на базовой версии различных дозирующих головок</li>
<li>Широкий выбор насадок производит одно-, двух- и трехцветные продукты с джемом как сверху так и внутри в виде начинки</li>
<li>Усиленные приводы валов первого и второго бункеров</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер противня: 600х400 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Опция диафрагменная резка:
<ul>
<li>Диафрагменная резка</li>
<li>Плаунсон на 6 выходов</li>
</ul>
</li>
<li>Опция плаунсон для двухцветного изделия диафрагма:
<ul>
<li>Плаунсон на 6 выходов для теста</li>
</ul>
</li>
<li>Опция струнная резка:
<ul>
<li>Струнная резка</li>
<li>Плаунсон для одноцветного изделия</li>
<li>Плаунсон для двухцветного изделия</li>
</ul>
</li>
<li>Опция штамповка:
<ul>
<li>Прижимной штамп с 6 прижимами</li>
</ul>
</li>
<li>Пневматическая станция гильотина</li>
<li>Плаунсон с щелевой насадкой для двух депозитной головы валкового типа</li>
<li>Плаунсон для маффинов на 6 выходов</li>
<li>Плаунсон для соломки и шариков</li>
<li>Плита для соломки и шариков</li>
<li>Фильеры медные одноцветные</li>
<li>Фильеры медные двухцветные</li>
<li>Насадки пластиковые одноцветные</li>
<li>Тележка для обслуживание головки</li>
<li>Специальный электрический обогрев с водяной рубашкой одного бункера с регулятором и датчиком температуры</li>
</ul>",80467,380 В,5 кВт,2050 мм,1120 мм,1410 мм,,,,0,,3801439,,1020 кг,Италия,,от 150 до 400 кг/час,600 мм
https://cdn.entero.ru/mp@2x/2c/74/2c74ef6f7e49c6409e951391640a22d4.jpg,Отсадочная машина DITO Group DROP 600,Отсадочная машина DITO Group DROP 600,1638500,RUB,Нет,DITO Group,Профоборудование,Кондитерское,Отсадочные машины,https://entero.ru/item/207341,"<p>Отсадочная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/207341"">DITO Group DROP 600</a> </b>предназначена для производства печенья и пр. кондитерских изделий в пекарнях и кондитерских, на предприятиях пищевой промышленности и общественного питания. Модель оснащена сенсорным дисплеем Touch Screen с программой на русском языке. Корпус выполнен из нержавеющей стали AISI 304, дозирующая голова - из алюминия. </p>

<p><b>Комплектация:</b></p>

<ul>
<li>Пластиковые фильеры рифленые Ø12мм: 9 шт</li>
<li>Пластиковые фильеры круглые Ø12мм: 9 шт</li>
<li>Поворотный пуассон на 9 выходов</li>
</ul>

<p><b>Виды теста:</b></p>

<ul>
<li>Песочное</li>
<li>Бисквитное</li>
<li>Muffin</li>
<li>Зефир</li>
<li>Кокосовое</li>
<li>Заварное</li>
<li>Безе</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>100 рабочих программ, сохраняемых в памяти машины</li>
<li>Цифровая система позволяет управлять как движением противней, так и видами дозирования</li>
<li>Промышленные серводвигатели</li>
<li>Герметичное изготовление головки позволяющее работать с полутвердым и полужидким тестом</li>
<li>Плавная регулировка вращения насадок</li>
<li>Автоматическое регулирование высоты стола, возможность установки высоты опускания стола </li>
<li>Возможность установки скорости поднятия и опускания стола</li>
<li>Электронный датчик противней</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер противней: 600х400 / 600х800 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Бункер насосного типа для жидкого теста</li>
<li>Латунные и пластиковые насадки</li>
<li>Опция струнная резка</li>
<li>Опция для изготовления коржей</li>
<li>Специальный эл. обогрев для масс которые требуют подогрев</li>
<li>Плита для отсадки маффинов и кексов в формы</li>
<li>Плита для профитролей, соломки, шариков</li>
<li>Тележка для обслуживания дозирующей головки</li>
</ul>

<p> </p>

<p><span style=""color:#000000;""><em>Внимание! Перед началом работы машина должна быть подключена к сетевому фильтру на 15 квт для избежания поломки машины из-за скачков напряжения.</em></span></p>",207341,380 В,,1140 мм,1380 мм,,,,,0,,,,300 кг,,Россия,150 кг/час,600 мм
https://cdn.entero.ru/mp@2x/a5/b2/a5b233c8601f776165d1cb960a6dd84e.jpg;https://cdn.entero.ru/mp@2x/76/2f/762f611d7a82bb188d85c7c095832900.jpg,Насос для перекачки теста Danler Hopper Topper G-20,Насос для перекачки теста Danler Hopper Topper G-20,558209,RUB,Да,Danler,Профоборудование,Кондитерское,Отсадочные машины,https://entero.ru/item/335765,"<p>Насос для перекачки теста <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/335765"">Danler Hopper Topper G-20</a></b> используется на предприятиях пищевой промышленности, в пекарнях и кондитерских для используется для перекачки теста из дежы миксера в бункер отсадочной машины. Модель оснащена пневмо цилиндром. Оборудование изготовлено полностью из пищевой нержавеющей стали</p>

<p><b>Особенности:</b></p>

<ul>
<li>Для масс различной вязкости с вкраплениями до 3см</li>
<li>
<p>Автоматически поднимается и опускается </p>
</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 900-1500 л/час</li>
<li>Напряжение: 220 В</li>
<li>Потребление воздуха, л/мин 200л/мин; 7 Бар</li>
<li>Габариты: 850×900×1600 мм</li>
</ul>",335765,,,,,,,,,0,https://entero.ru/manuals/396727/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Danler%20Hopper%20Topper%20G-20.docx,,,,,,,
