Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Страна производства,Остаток,Файлы
https://cdn.entero.ru/mp@2x/a0/63/a06319b51e459ae6d8a9548b7e97f172.jpg,Остров тепловой RestoArt RA-IH20-02,Остров тепловой RestoArt RA-IH20-02,0,RUB,Нет,Профоборудование,Кухонные острова,Кухонные острова,https://entero.ru/item/125487,"<p>Тепловой остров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125487"">RestoArt RA-IH20-02</a> </b>предназначен приготовления и кратковременного хранения блюд с последующей их раздачей в составе тепловых линий на предприятиях общественного питания и торговли. Модель оснащена нишами для установки различного оборудования и столешницей со скругленными углами.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Сторона 1:
<ul>
<li>База холодильная на 4 ящика</li>
<li>Кабинет на 2 ящика</li>
<li>Кабинет на 3 ящика</li>
<li>Кабинет с распашной дверью</li>
</ul>
</li>
<li>Сторона 2:
<ul>
<li>3 кабинета на 2 ящика</li>
<li>3 кабинета с распашной дверью</li>
</ul>
</li>
<li>Полка на трех опорах</li>
<li>2 ерша с поручнем, закругленные с 2 сторон</li>
<li>Фартуки и цоколь</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Место для встраивания оборудования:
<ul>
<li>6 индукционных конфорок</li>
<li>Макароноварка</li>
<li>Жарочная поверхность</li>
<li>Саламандер</li>
<li>Смеситель</li>
<li>База холодильная на 4 ящика</li>
</ul>
</li>
</ul>",125487,2800 мм,1460 мм,900 мм,Россия,0,https://entero.ru/manuals/135215/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20RestoArt%20RA-IH20-02.docx
https://cdn.entero.ru/mp@2x/10/97/10979e052cc23981376e4595ee2124f0.jpg,Остров тепловой RestoArt RA-IC20-03,Остров тепловой RestoArt RA-IC20-03,0,RUB,Нет,Профоборудование,Кухонные острова,Кухонные острова,https://entero.ru/item/125462,"<p>Тепловой остров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125462"">RestoArt RA-IC20-03</a></b> предназначен приготовления и кратковременного хранения блюд с последующей их раздачей в составе тепловых линий на предприятиях общественного питания и торговли. Модель оснащена нишами для установки различного оборудования. Столешница выполнена из камня.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Сторона 1:
<ul>
<li>Место для холодильного стола на 3 отсека</li>
<li>Кабинет открытый с полками</li>
<li>Отсек под гарбидж</li>
</ul>
</li>
<li>Сторона 2:
<ul>
<li>3 кабинета с 1 ящиком</li>
</ul>
</li>
<li>Сторона 3:
<ul>
<li>Место для холодильного стола на 2 отсека</li>
</ul>
</li>
<li>Сторона 4:
<ul>
<li>Место для холодильного стола на 2 отсека</li>
</ul>
</li>
<li>Мойка с возможностью установки смесителя</li>
<li>Ванна для льда</li>
<li>4 закругленных ерша с поручнем</li>
<li>Фартуки и цоколь по периметру</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Место для встраивания оборудования:
<ul>
<li>Стол холодильный на 3 отсека</li>
<li>2 стола холодильных на 2 отсека</li>
<li>Смеситель</li>
</ul>
</li>
</ul>

<p> </p>

<p> </p>",125462,2800 мм,1200 мм,900 мм,Россия,0,https://entero.ru/manuals/135025/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20RestoArt%20RA-IC20-03.docx
https://cdn.entero.ru/mp@2x/64/e2/64e231ddad9bfd2e9f44d8ce41ad5d10.jpg,Остров тепловой RestoArt RA-IH20-01,RA-IH2001,0,RUB,Нет,Профоборудование,Кухонные острова,Кухонные острова,https://entero.ru/item/125466,"<p>Тепловой остров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125466""><b class=""b"">RestoArt RA-IH20-01</b></a> предназначен приготовления и кратковременного хранения блюд с последующей их раздачей в составе тепловых линий на предприятиях общественного питания и торговли. Модель оснащена нишами для установки различного оборудования и столешницей со скругленными углами.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 сквозных кабинета с 1 полкой</li>
<li>2 закругленных ерша с поручнем</li>
<li>2 распашные дверцы</li>
<li>Фартуки и цоколь по периметру</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Место для встраивания оборудования:
<ul>
<li>4 индукционные конфорки</li>
<li>Фритюрница</li>
<li>Гриль</li>
</ul>
</li>
</ul>

<p> </p>

<p> </p>

<p> </p>",125466,2200 мм,1200 мм,900 мм,Россия,0,https://entero.ru/manuals/135035/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20RestoArt%20RA-IH20-01.docx
https://cdn.entero.ru/mp@2x/85/2d/852dff591a19051609aafe08fa06dfa0.jpg,Остров тепловой RestoArt RA-IH20-10,Остров тепловой RestoArt RA-IH20-10,0,RUB,Нет,Профоборудование,Кухонные острова,Кухонные острова,https://entero.ru/item/125467,"<p>Тепловой остров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125467"">RestoArt RA-IH20-10</a></b> предназначен приготовления и кратковременного хранения блюд с последующей их раздачей в составе тепловых линий на предприятиях общественного питания и торговли. Модель оснащена нишами для установки различного оборудования и столешницей со скругленными углами.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Сторона 1:
<ul>
<li>2 отсека под гарбидж</li>
<li>2 бака под гарбидж передвижной</li>
</ul>
</li>
<li>Сторона 2:
<ul>
<li>2 открытых кабинета с полками</li>
</ul>
</li>
<li>Сквозной кабинет</li>
<li>Настольный стеллаж</li>
<li>Полка-горка под гриль-саламандер</li>
<li>2 закругленных ерша с поручнем</li>
<li>Фартуки и цоколь c 2 сторон</li>
</ul>

<p> </p>

<p> </p>",125467,2350 мм,950 мм,900 мм,Россия,0,https://entero.ru/manuals/135046/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20RestoArt%20RA-IH20-10.docx
https://cdn.entero.ru/mp@2x/07/56/0756da2367266b21b23f1453d2787873.jpg,Остров тепловой RestoArt RA-IO20-07,Остров тепловой RestoArt RA-IO20-07,0,RUB,Нет,Профоборудование,Кухонные острова,Кухонные острова,https://entero.ru/item/125468,"<p>Тепловой остров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125468""><b class=""b"">RestoArt RA-IO20-07 </b></a>предназначен приготовления и кратковременного хранения блюд с последующей их раздачей в составе тепловых линий на предприятиях общественного питания и торговли. Модель оснащена нишами для установки различного оборудования и столешницей со скругленными углами.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Полка-горка</li>
<li>2 стола с фартуками размером 950х580х880 мм</li>
<li>2 стола размером 1500х580х880 мм</li>
<li>Стол охлаждаемый</li>
<li>2 стола размером 1000х580х880 мм</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Место для встраивания оборудования:
<ul>
<li style=""text-align: justify;"">Пароконвектомат</li>
<li style=""text-align: justify;"">Стол охлаждаемый</li>
<li style=""text-align: justify;"">Гриль саламандер</li>
<li style=""text-align: justify;"">2 плита индукционная</li>
</ul>
</li>
</ul>

<p> </p>

<p> </p>",125468,4000 мм,1200 мм,900 мм,Россия,0,https://entero.ru/manuals/135048/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20RestoArt%20RA-IO20-07.docx
https://cdn.entero.ru/mp@2x/6f/a9/6fa967fa59c6f0da6b3c765b747cb386.jpg,Остров тепловой RestoArt RA-MC20-09,Остров тепловой RestoArt RA-MC20-09,0,RUB,Нет,Профоборудование,Кухонные острова,Кухонные острова,https://entero.ru/item/125469,"<p>Тепловой остров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125469""><b class=""b"">RestoArt RA-MC20-09 </b></a>предназначен приготовления и кратковременного хранения блюд с последующей их раздачей в составе тепловых линий на предприятиях общественного питания и торговли. Модель оснащена нишами для установки различного оборудования и столешницей со скругленными углами. Столешница выполнена из нержавеющей стали AISI 430 толщиной 1,5 мм, подложка - из ЛДСП, корпус - из нержавеющей стали AISI 430 толщиной 0,8 мм.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>2 закругленных ерша с поручнем</li>
<li>Цоколь с 2 сторон с фартуком</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Место для встраивания оборудования:
<ul>
<li>2 стола охлаждаемых на 4 отсека</li>
</ul>
</li>
</ul>",125469,2150 мм,740 мм,900 мм,Россия,0,https://entero.ru/manuals/135050/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20RestoArt%20RA-MC20-09.docx
https://cdn.entero.ru/mp@2x/db/87/db871dd58fa76e3ced2c4cdba9b9b590.jpg,Остров тепловой RestoArt RA-MC20-04,Остров тепловой RestoArt RA-MC20-04,0,RUB,Нет,Профоборудование,Кухонные острова,Кухонные острова,https://entero.ru/item/125479,"<p>Тепловой остров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125479""><b class=""b"">RestoArt RA-MC20-04 </b></a>предназначен приготовления и кратковременного хранения блюд с последующей их раздачей в составе тепловых линий на предприятиях общественного питания и торговли. Модель оснащена нишами для установки различного оборудования и литой столешницей со скругленными углами.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Цельнотянутая мойка</li>
<li>Кабинет под плиту с полками и дверцами-купе</li>
<li>Кабинет под посудомоечную машину</li>
<li>Кабинет под гарбидж</li>
<li>Ниша под гарбидж</li>
<li>2 закругленных ерша с поручнем</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Место для встраивания оборудования:
<ul>
<li>Индукционная плита на 4 конфорки</li>
<li>Посудомоечная машина</li>
<li>Гриль</li>
<li>Смеситель</li>
</ul>
</li>
</ul>",125479,2400 мм,1500 мм,900 мм,Россия,0,
https://cdn.entero.ru/mp@2x/6d/f5/6df5d59606368f786ad0f0cef4b9ff77.jpg,Остров бармена RestoArt RA-IB20-11,Остров бармена RestoArt RA-IB20-11,0,RUB,Нет,Профоборудование,Кухонные острова,Кухонные острова,https://entero.ru/item/125480,"<p>Остров бармена <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125480""><b class=""b"">RestoArt RA-IB20-11 </b></a>предназначен приготовления и кратковременного хранения блюд с последующей их раздачей в составе тепловых линий на предприятиях общественного питания и торговли. Модель оснащена нишами для установки различного оборудования. Столешница со стороны гостей выполнена из искусственного камня, рабочая столешница, фартук и цоколь - из нержавеющей стали, каркас - из нержавеющего профиля 20х40 мм, боковые части и фасад - из бука с акриловыми вставками.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>3 нейтральных ящика на телескопических направляющих</li>
<li>2 ниши для морозильных столов на 2 отсека</li>
<li>Ванна под лед со съемными перегородками</li>
<li>Каплесборник с омывателем под бокалы</li>
<li>Органайзер для бутылок</li>
</ul>",125480,2420 мм,1000 мм,900 мм,,0,https://entero.ru/manuals/135204/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20RestoArt%20RA-IB20-11.docx
https://cdn.entero.ru/mp@2x/e8/01/e8010144ed091c3c7190e2b722ffcaae.jpg,Остров тепловой RestoArt RA-IB20-12,Остров тепловой RestoArt RA-IB20-12,0,RUB,Нет,Профоборудование,Кухонные острова,Кухонные острова,https://entero.ru/item/125481,"<p>Тепловой остров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125481""><b class=""b"">RestoArt RA-IB20-12</b></a> предназначен приготовления и кратковременного хранения блюд с последующей их раздачей в составе тепловых линий на предприятиях общественного питания и торговли. Модель оснащена нишами для установки различного оборудования и столешницей со скругленными углами.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Сторона 1:
<ul>
<li>3 отсека под холодильное оборудование</li>
<li>Агрегатный отсек</li>
<li>Узкий ерш с поручнем</li>
</ul>
</li>
<li>Сторона 2:
<ul>
<li>Широкий ерш с поручнем</li>
</ul>
</li>
<li>Сторона 3:
<ul>
<li>3 отсека под холодильное оборудование</li>
<li>Агрегатный отсек</li>
<li>Узкий ерш с поручнем</li>
</ul>
</li>
<li>Сторона 4:
<ul>
<li>Кабинет с полками и дверцами-купе</li>
</ul>
</li>
<li>Фартуки и цоколь</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Место для встраивания оборудования:
<ul>
<li>2 стола холодильных на 3 отсека</li>
<li>Индукционная плита на 4 конфорки</li>
<li>Индукционная плита на 2 конфорки</li>
<li>Жарочная поверхность</li>
<li>Гриль Саламандер</li>
<li>Смеситель</li>
</ul>
</li>
</ul>",125481,2420 мм,1100 мм,900 мм,Россия,0,
https://cdn.entero.ru/mp@2x/72/5c/725cb082be6085267fde57e613909a1c.jpg,Остров тепловой RestoArt RA-IH20-05,Остров тепловой RestoArt RA-IH20-05,0,RUB,Нет,Профоборудование,Кухонные острова,Кухонные острова,https://entero.ru/item/125482,"<p>Тепловой остров <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125482""><b class=""b"">RestoArt RA-IH20-05</b></a> предназначен приготовления и кратковременного хранения блюд с последующей их раздачей в составе тепловых линий на предприятиях общественного питания и торговли. Модель оснащена нишами для установки различного оборудования и столешницей со скругленными углами.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Полка-горка с подставкой под гриль саламандер</li>
<li>Сторона 1:
<ul>
<li>Ерш с поручнем</li>
</ul>
</li>
<li>Сторона 2:
<ul>
<li>2 кабинета с полками и дверцами-купе</li>
</ul>
</li>
<li>Сторона 3:
<ul>
<li>Ерш с поручнем</li>
</ul>
</li>
<li>Сторона 4:
<ul>
<li>2 кабинета с полками и дверцами-купе</li>
</ul>
</li>
<li>Фартуки и цоколь</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Место для встраивания оборудования:
<ul>
<li>Фритюрница</li>
<li>Индукционная плита на 3 конфорки</li>
<li>Плита WOK</li>
<li>Жарочная поверхность</li>
<li>Гриль Саламандер</li>
<li>Смеситель</li>
</ul>
</li>
</ul>",125482,2420 мм,1200 мм,900 мм,Россия,0,
