Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Скорость,Загружаемый объем,Максимальное ускорение
https://cdn.entero.ru/mp@2x/13/35/133519d4cc7fea41e6d1523bead294e1.jpg;https://cdn.entero.ru/mp@2x/3f/1b/3f1b544758afa021c85ba6f30425657a.jpg;https://cdn.entero.ru/mp@2x/f8/87/f887ef39f423f8d08c16841e781ef19b.jpg,Центрифуга для молекулярной кухни Centurion PrO-Xtract 5R,Центрифуга для молекулярной кухни Centurion PrO-Xtract 5R,379398,RUB,Нет,Centurion,Профоборудование,Молекулярная кухня,Центрифуги,https://entero.ru/item/86739,"<p>Центрифуга для молекулярной кухни <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86739"">Centurion PrO-Xtract 5R</a></b> используется на предприятиях общественного питания для разделения и фракционирования образцов при комнатной и отрицательной температурах. Модель оснащена ЖК-дисплеем, ПИД-контроллером температур, встроенной системой охлаждения и датчиком перегрева двигателя.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Функция распознавания ротора</li>
<li>10 режимов ускорения</li>
<li>10 режимов торможения</li>
<li>10 программ памяти</li>
<li>Запуск с заданной скоростью вращения или заданным ускорением</li>
<li>Встроенная система защиты от дисбаланса</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Максимальный объем: 1 л</li>
<li>Мензурки: 4 х 250 мл</li>
<li>Диапазон скоростей: от 4000 об/мин.</li>
<li>Изменение скорости с шагом: 10 об/мин.</li>
<li>Таймер: от 0 до 9 часов</li>
<li>Рабочая температура: от -9 до 40 °C</li>
<li>Шаг изменения: 1 °C</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,375 кВт</li>
<li>Габариты: 434х650х326 мм</li>
<li>Вес (без ротора): 41,8 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! Реальный цвет модели белый.</span></em></p>",86739,,,,,,,0,https://entero.ru/manuals/141590/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Centurion%20PrO-Xtract%205R%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,399366,https://vk.com/video_ext.php?oid=-177656185&id=456239955&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456240223&hd=2&autoplay=0,,,,,,
https://cdn.entero.ru/mp@2x/ca/b4/cab432fed614ab3aa75f6fd24e66fb37.jpg;https://cdn.entero.ru/mp@2x/2d/83/2d835174a09e6f564409d44afad247ca.jpg;https://cdn.entero.ru/mp@2x/5e/a9/5ea99a8d1ffce5d64460e0cd74c94d0b.jpg,Центрифуга для молекулярной кухни InnoCook CF-1000,centrifuge-cf1000,301900,RUB,Нет,,Профоборудование,Молекулярная кухня,Центрифуги,https://entero.ru/item/345188,"<p>Центрифуга для молекулярной кухни <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345188"">InnoCook CF-1000</a></b> используется на предприятиях общественного питания для разделения напитков на фракции и приготовления уникальных соусов и напитков. Модель оснащена LED-дисплеем, датчиком перегрева мотора и запуском с заданной скоростью вращения или заданным ускорением.</p>

<p><b>Особенности:</b></p>

<ul>
<li>20 программ для занесения</li>
<li>10 режимов ускорения</li>
<li>10 режимов торможения</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Загружаемый объем: 4х250 мл</li>
<li>Шаг изменения скорости: 10 об/мин.</li>
<li>Таймер: от 1 сек. до 99 мин.</li>
<li>Шаг изменения таймера: 1 сек.</li>
<li>Уровень шума: до 58 Дб</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",345188,220 В,0.5 кВт,400 мм,570 мм,320 мм,,0,https://entero.ru/manuals/421501/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20InnoCook.pdf,317789,,45 кг,,Китай,5000 об/мин.,1 л,4730 RCF
https://cdn.entero.ru/mp@2x/1c/ff/1cff1d4740a45798d4b0e6ce54a29c7a.jpg;https://cdn.entero.ru/mp@2x/2c/7d/2c7d62a35e3966057b0140aeca2198b4.jpg;https://cdn.entero.ru/mp@2x/f6/80/f680de8fb10bf35f081ff9dbb6c6acb1.jpg;https://cdn.entero.ru/mp@2x/3d/09/3d092b30204b535a3650d830a8105968.jpg;https://cdn.entero.ru/mp@2x/6c/e1/6ce13869a8f045a3c5460d326f689c38.jpg,Центрифуга для молекулярной кухни 100% Chef CentriCook,30/3000,361962,RUB,Нет,,Профоборудование,Молекулярная кухня,Центрифуги,https://entero.ru/item/373312,"<p>Центрифуга для молекулярной кухни <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373312"">100% Chef CentriCook</a></b> используется на предприятиях общественного питания для разделения напитков на фракции и приготовления уникальных соусов и напитков. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность регулировать скорость и время работы</li>
<li>Система безопасности: предотвращение открытия машины во время работы</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 1 л за 10 мин.</li>
<li>Вместимость: 4х 250 мл</li>
<li>Уровень шума: 58 дБА</li>
<li>Время работы: до 99 мин.</li>
</ul>",373312,220 В,,530 мм,400 мм,330 мм,48 кг,0,https://entero.ru/manuals/500914/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20100%25%20Chef%20CentriCook%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,Испания,,4000 об/мин.,1 л,
https://cdn.entero.ru/mp@2x/25/9b/259bd5e4df95364b9bbeb5c36f17c1bc.jpg;https://cdn.entero.ru/mp@2x/99/d9/99d91d2c335d7d8aaac1b148a0cc463a.jpg;https://cdn.entero.ru/mp@2x/29/98/29986e0c909337c7fb5ce25c62461c82.jpg,Центрифуга для молекулярной кухни InnoCook CF-2400,centrifuge-cf2400,436931,RUB,Нет,,Профоборудование,Молекулярная кухня,Центрифуги,https://entero.ru/item/345189,"<p>Центрифуга для молекулярной кухни <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345189"">InnoCook CF-2400</a></b> используется на предприятиях общественного питания для разделения напитков на фракции и приготовления уникальных соусов и напитков. Модель оснащена LED-дисплеем.</p>

<p><b>Особенности:</b></p>

<ul>
<li>20 программ для внесения</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Загружаемый объем: 4х600 мл</li>
<li>Таймер: от 1 сек. до 99 мин.</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",345189,,1 кВт,500 мм,700 мм,400 мм,,0,https://entero.ru/manuals/421502/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20InnoCook.pdf,459927,,125 кг,,Китай,5000 об/мин.,2.4 л,4730 RCF
https://cdn.entero.ru/mp@2x/b1/ba/b1ba5f4e644060e5b3ef73c0f3900df0.jpg;https://cdn.entero.ru/mp@2x/8f/4b/8f4b3edf034e94216ac6871e595dd632.jpg,Центрифуга для молекулярной кухни InnoCook CF-3200,centrifuge-cf3200,461083,RUB,Нет,,Профоборудование,Молекулярная кухня,Центрифуги,https://entero.ru/item/345190,"<p>Центрифуга для молекулярной кухни <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/345190"">InnoCook CF-3200</a></b> используется на предприятиях общественного питания для разделения напитков на фракции и приготовления уникальных соусов и напитков. Модель оснащена LED-дисплеем.</p>

<p><b>Особенности:</b></p>

<ul>
<li>20 программ для внесения</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Загружаемый объем: 4х800 мл</li>
<li>Таймер: от 1 сек. до 99 мин.</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",345190,,1 кВт,700 мм,500 мм,400 мм,,0,https://entero.ru/manuals/421503/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20InnoCook.pdf,490514,,75 кг,,Китай,5000 об/мин.,3.2 л,4730 RCF
https://cdn.entero.ru/mp@2x/56/ea/56eacb052730a5d05b5caf3593a593b3.jpg;https://cdn.entero.ru/mp@2x/9f/d4/9fd430e49cb402fc6924f5185ddd2d12.jpg;https://cdn.entero.ru/mp@2x/4b/16/4b1616d1b09e708abf81f68a1564c722.jpg;https://cdn.entero.ru/mp@2x/8b/1a/8b1a86bd2e86b1405e19faf93efa6869.jpg;https://cdn.entero.ru/mp@2x/32/9b/329b45cf08b07daa17e728995e9f0957.jpg,Центрифуга для молекулярной кухни 100% Chef CentriCook XL,30/3012,587365,RUB,Нет,,Профоборудование,Молекулярная кухня,Центрифуги,https://entero.ru/item/373398,"<p>Центрифуга для молекулярной кухни <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/373398"">100% Chef CentriCook XL</a></b> используется на предприятиях общественного питания для разделения напитков на фракции и приготовления уникальных соусов и напитков. Модель оснащена фронтальным дисплеем. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Возможность регулировать скорость и время работы</li>
<li>Система безопасности: предотвращение открытия машины во время работы</li>
<li>4000 об/мин. менее чем за 15 сек.</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 4 л за 15 мин.</li>
<li>Вместимость: 4х 750 мл</li>
</ul>",373398,220 В,,700 мм,500 мм,400 мм,87 кг,0,https://entero.ru/manuals/500916/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20100%25%20Chef%20CentriCook%20XL%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,,Испания,,4000 об/мин.,3 л,
https://cdn.entero.ru/mp@2x/fa/6f/fa6ff83d8f04dc896cc1a12a8a17b7d7.jpg;https://cdn.entero.ru/mp@2x/76/72/767225a4501c321ecbbcd709f60752fe.jpg;https://cdn.entero.ru/mp@2x/39/fa/39fa60ea07b163304d5d05bf4a4fd339.jpg,Центрифуга для молекулярной кухни InnoCook CFR-1200 с охлаждением,centrifuge-cfr1200,611265,RUB,Нет,,Профоборудование,Молекулярная кухня,Центрифуги,https://entero.ru/item/345193,"<p>Центрифуга для молекулярной кухни <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345193""><b class=""b"">InnoCook CFR-1200</b></a> используется на предприятиях общественного питания для разделения напитков на фракции и приготовления уникальных соусов и напитков. Модель оснащена LED-дисплеем и охлаждением.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Загружаемый объем: 4х300 мл</li>
<li>Температура: от -20 °С до +40 °С</li>
<li>Таймер: от 1 мин. до 9 ч. 59 мин.</li>
<li>Шаг регулировки скорости: 20 об. /мин.</li>
<li>Уровень шума: до 65 Дб</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",345193,,,600 мм,620 мм,360 мм,,0,https://entero.ru/manuals/421508/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20InnoCook.pdf,,,102 кг,,Китай,5000 об/мин.,1.2 л,4730 RCF
https://cdn.entero.ru/mp@2x/08/39/08391bd046159848b16eba233dfbea9a.jpg;https://cdn.entero.ru/mp@2x/cf/c4/cfc40ef8fee50187570bb72f3f546b3e.jpg,Центрифуга для молекулярной кухни InnoCook CFR-2400 с охлаждением,centrifuge-cfr2400,811836,RUB,Нет,,Профоборудование,Молекулярная кухня,Центрифуги,https://entero.ru/item/345194,"<p>Центрифуга для молекулярной кухни <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345194""><b class=""b"">InnoCook CFR-2400</b></a> используется на предприятиях общественного питания для разделения напитков на фракции и приготовления уникальных соусов и напитков. Модель оснащена LED-дисплеем и охлаждением.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Загружаемый объем: 4х600 мл</li>
<li>Температура: от -20 °С до +40 °С</li>
<li>Таймер: от 1 мин. до 9 ч. 59 мин.</li>
<li>Шаг регулировки скорости: 20 об. /мин.</li>
<li>Уровень шума: до 65 Дб</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",345194,,,695 мм,700 мм,410 мм,,0,https://entero.ru/manuals/421509/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20InnoCook.pdf,,,125 кг,,Китай,5000 об/мин.,2.4 л,4730 RCF
https://cdn.entero.ru/mp@2x/ab/65/ab650438db59274726b227a256f9963a.jpg;https://cdn.entero.ru/mp@2x/09/12/0912aa0c5cd47b653bf0cfcbcb73bda8.jpg;https://cdn.entero.ru/mp@2x/7f/79/7f793c3bd620360400c0c4990e0f8dcc.jpg,Центрифуга для молекулярной кухни InnoCook CF-4000,centrifuge-cf4000,821168,RUB,Нет,,Профоборудование,Молекулярная кухня,Центрифуги,https://entero.ru/item/345191,"<p>Центрифуга для молекулярной кухни <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345191"">InnoCook CF-4000</a></b> используется на предприятиях общественного питания для разделения напитков на фракции и приготовления уникальных соусов и напитков. Модель оснащена LED-дисплеем.</p>

<p><b>Особенности:</b></p>

<ul>
<li>20 программ для внесения</li>
<li>Напольная установка</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Загружаемый объем: 4х1000 мл</li>
<li>Таймер: от 1 мин. до 9 ч. 59 мин.</li>
<li>Уровень шума: до 55 Дб</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",345191,,,660 мм,780 мм,800 мм,,0,https://entero.ru/manuals/421504/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20InnoCook.pdf,864387,,170 кг,,Китай,5000 об/мин.,4 л,6600 RCF
https://cdn.entero.ru/mp@2x/72/41/7241bb98c6622313a03bc3ff83a0b61c.jpg;https://cdn.entero.ru/mp@2x/94/8a/948ac400b6aec0aa8c6daf6f9b918b6a.jpg,Центрифуга для молекулярной кухни InnoCook CFR-3200 с охлаждением,centrifuge-cfr3200,849162,RUB,Нет,,Профоборудование,Молекулярная кухня,Центрифуги,https://entero.ru/item/345195,"<p>Центрифуга для молекулярной кухни <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/345195""><b class=""b"">InnoCook CFR-3200</b></a> используется на предприятиях общественного питания для разделения напитков на фракции и приготовления уникальных соусов и напитков. Модель оснащена LED-дисплеем и охлаждением.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Загружаемый объем: 4х800 мл</li>
<li>Температура: от -20 °С до +40 °С</li>
<li>Таймер: от 1 мин. до 9 ч. 59 мин.</li>
<li>Шаг регулировки скорости: 20 об. /мин.</li>
<li>Уровень шума: до 65 Дб</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",345195,,,695 мм,720 мм,410 мм,,0,https://entero.ru/manuals/421511/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20InnoCook.pdf,884544,,125 кг,,Китай,5000 об/мин.,3.2 л,4730 RCF
