Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Страна-производитель,Вместимость
https://cdn.entero.ru/mp@2x/ab/4f/ab4f0da5789090934e19ef5f55ae41dc.jpg,Клипсатор Kocateq HP 001 Table top clipper,Клипсатор Kocateq HP 001 Table top clipper,22078,RUB,Да,Kocateq,Профоборудование,Мясоперерабатывающее,Клипсаторы,https://entero.ru/item/139629,"<p>Механический клипсатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/139629"">Kocateq HP 001 Table top clipper</a></b> предназначен для герметичного пережимания набитых купат и колбас, получаемых с помощью шприцов, на предприятиях общественного питания и торговли. Корпус и все части, соприкасающиеся с продуктами, выполнены из нержавеющей стали.</p>

<p>Скобы для клипсатора № 503, 506 и 508 заказываются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Клипсы U формы</li>
<li>Регулировка плотности зажима</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 430x230x670 мм</li>
</ul>",139629,механический,,,180 мм,400 мм,610 мм,,,,0,https://entero.ru/manuals/162494/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/279822/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20HP%20001%20Table%20top%20clipper.pdf,23740,,,Южная Корея,200 шт.
https://cdn.entero.ru/mp@2x/03/19/031915ad4fc5e629104d98f91c3ecb5d.jpg;https://cdn.entero.ru/mp@2x/88/e0/88e0651a54e253e11b09885d6c4139f0.jpg;https://cdn.entero.ru/mp@2x/e6/25/e625bca0cc8d581e579e477d2f93f9c5.jpg;https://cdn.entero.ru/mp@2x/75/79/7579ad567f955aed1e11be16f5f98ffe.jpg;https://cdn.entero.ru/mp@2x/91/d4/91d49c7864ada53fe2c534faf9d0b55f.jpg;https://cdn.entero.ru/mp@2x/5b/45/5b45ec96dbe7da2f07e74f3a2fe074db.jpg;https://cdn.entero.ru/mp@2x/70/f1/70f10d88575303fdc7538fb0b2ea5d29.jpg;https://cdn.entero.ru/mp@2x/39/a9/39a993df830271d9ecd53e487dd7ba4b.jpg;https://cdn.entero.ru/mp@2x/1d/b3/1db309a3a78f63dc16eed8d1898085f1.jpg;https://cdn.entero.ru/mp@2x/78/f1/78f14d5c666e31ae47efcac0480031ab.jpg;https://cdn.entero.ru/mp@2x/39/5d/395d894e1f702a94758982716790ff89.jpg;https://cdn.entero.ru/mp@2x/17/ba/17ba9fe8eb9fe60f1c9465b74bcfd1d9.jpg,Клипсатор ручной PACKVAC C-1100,Клипсатор ручной PACKVAC C-1100,16560,RUB,Да,PACKVAC,Профоборудование,Мясоперерабатывающее,Клипсаторы,https://entero.ru/item/355759,"<p>Ручной клипсатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/355759"">PACKVAC C-1100</a> </b>предназначено для клипсования (закрепления) U-образными металлическими клипсами искусственных и натуральных оболочек для герметизации колбасных изделий, получаемых с помощью шприцев в мясоперерабатывающей промышленности и на фермерских хозяйствах. Кроме того клипсатор используется для упаковки колбас, сосисок, конфет, фруктов и овощей, хлеба, сохраняя форму и содержимое продукции. Модель выполнена из железа. </p>

<p>В комплект поставки входит 4400 клипс.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление рабочей рукояткой</li>
<li>Подача клипс в рабочую зону направляющей рейкой</li>
<li>Формирование клипсы вокруг оболочки подвижным пуансоном</li>
<li>Неподвижная матрица для придания клипсе нужной формы</li>
<li>Кривошипный механизм преобразует движение рукоятки в рабочее движение пуансона</li>
<li>Опорная рама с пазом обеспечивает правильное позиционирование оболочки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: 20 циклов/мин.</li>
<li>Размер клипсы U-типа: 11,5х11,5 мм</li>
<li>Габариты в упаковке: 420x220x655 мм</li>
</ul>

<p><b>Дополнительные опции (заказываются дополнительно):</b></p>

<ul>
<li><a href=""https://entero.ru/item/355764"">Клипса</a> (4200 шт)</li>
</ul>",355759,механический,,,380 мм,200 мм,560 мм,12 кг,1,420x220x655 мм,0,https://entero.ru/manuals/457728/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20PACKVAC%20C-1100.pdf,17806,,11 кг,Китай,
https://cdn.entero.ru/mp@2x/48/ba/48baa17984cddbf50763a9268c8fb7a6.jpg;https://cdn.entero.ru/mp@2x/cc/d1/ccd1f1b0bc50577127367e2e81b14a5a.jpg;https://cdn.entero.ru/mp@2x/8a/dc/8adc57f5431ee8c71f14ce4845d99729.jpg;https://cdn.entero.ru/mp@2x/23/0e/230e2bf3d5724e3cd6d0ae14cc07e19f.jpg;https://cdn.entero.ru/mp@2x/62/4c/624c900763f94a15e872b92d5acf363c.jpg,Клипсатор ручной Foodatlas HR-550,HR-550 FoodAtlas,15654,RUB,Да,Foodatlas,Профоборудование,Мясоперерабатывающее,Клипсаторы,https://entero.ru/item/147194,"<p>Ручной клипсатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/147194"">Foodatlas HR-550</a> </b>используется на предприятиях общественного питания и торговли для герметичного пережимания колбасных изделий, получаемых с помощью шприцев. Корпус выполнен из стали, ручка из хромированного железа. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: 20 циклов/мин.</li>
<li>Размер клипсы U-типа: 11,5х11,5 мм</li>
<li>Габариты в упаковке: 430x230x650 мм</li>
</ul>",147194,механический,,,375 мм,185 мм,590 мм,,,,0,https://entero.ru/manuals/173481/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HR-550.pdf;https://entero.ru/manuals/173482/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8%20%D0%BD%D0%B0%20Foodatlas%20HR-550.pdf,,,10 кг,Китай,
https://cdn.entero.ru/mp@2x/33/fe/33feff9f3a23e968e9c799999a0e6ca0.jpg,Клипсатор ручной Hualian U-типа,Клипсатор ручной Hualian U-типа,27784,RUB,Да,Hualian,Профоборудование,Мясоперерабатывающее,Клипсаторы,https://entero.ru/item/297732,"<p>Клипсатор ручной U-типа <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/297732""><b class=""b"">Hualian </b></a>используется на предприятиях пищевой и других направлений промышленности, общественного питания и торговли для герметичного клипсования упаковок таких как оболочки колбасных изделий, пакеты или сетки с продукцией. Передаточный механизм приводится в действие мускульной силой оператора. Модель оснащена удобной рукояткой. Корпус выполнен из оцинкованной стали. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Направляющая рейка с клипсами и прижимным грузом</li>
<li>Кривошипный передаточный механизм</li>
<li>​Опорная рама с пазом для пуансона</li>
<li>Управление осуществляется при помощи рычага</li>
<li>Клипсатор настраивается под диаметр используемой оболочки</li>
<li>Степень сжатия клипсы регулируется настройкой гайки </li>
</ul>",297732,механический,,,420 мм,200 мм,680 мм,16 кг,1,450x230x700 мм,0,,29557,,15 кг,Китай,
https://cdn.entero.ru/mp@2x/90/f1/90f1f9f6c06a4fd41d7348c9b553c4c9.jpg;https://cdn.entero.ru/mp@2x/83/57/835741c34fbbf8a2a312a7b131ba476c.jpg;https://cdn.entero.ru/mp@2x/ac/46/ac462696f2806ffd25c0da3433f5cfcb.jpg;https://cdn.entero.ru/mp@2x/53/df/53dfef60acef67703c5e39d9d5ce6ddb.jpg;https://cdn.entero.ru/mp@2x/be/1b/be1b702374550c65a3d45c26e2ec6447.jpg;https://cdn.entero.ru/mp@2x/07/c1/07c1b76f4586a2dcebd64ad01e457f1d.jpg;https://cdn.entero.ru/mp@2x/75/33/7533389048f688160b2c4c3dfb476fd2.jpg;https://cdn.entero.ru/mp@2x/66/99/669906a7b07cf915833d36cc850ab745.jpg,Клипсатор обвязчик Foodatlas HR-770,Клипсатор обвязчик Foodatlas HR-770,149670,RUB,Да,Foodatlas,Профоборудование,Мясоперерабатывающее,Клипсаторы,https://entero.ru/item/204222,"<p>Электрический клипсатор обвязчик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/204222""><b class=""b"">Foodatlas HR-550 </b></a>используется на предприятиях общественного питания и торговли для герметичного пережимания колбасных изделий, получаемых с помощью шприцев. Корпус выполнен из нержавеющей стали, клипса - из нитки. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер рабочего стола: 500х500 мм</li>
<li>Габариты в упаковке: 870x560x1140 мм</li>
</ul>",204222,автотматический,220 В,0.37 кВт,800 мм,500 мм,700 мм,,,,0,https://entero.ru/manuals/350968/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HR-770.pdf,,,72 кг,Китай,
https://cdn.entero.ru/mp@2x/23/9e/239e5c016ca931263c29412be308fa2a.jpg;https://cdn.entero.ru/mp@2x/09/4e/094ed1ab78ba902194126d7fcbca0da1.jpg,Клипсатор ручной Hurakan HKN-MS1,209826,16929,RUB,Нет,Hurakan,Профоборудование,Мясоперерабатывающее,Клипсаторы,https://entero.ru/item/123659,"<p>Ручной клипсатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123659"">Hurakan HKN-MS1</a></b> используется на предприятиях общественного питания и торговли для герметичного пережимания колбасных изделий, получаемых с помощью шприцев. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 470x250x675 мм</li>
</ul>",123659,механический,,,430 мм,230 мм,370 мм,11.5 кг,1,470x250x675 мм,0,https://entero.ru/manuals/413322/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-MS1.pdf;https://entero.ru/manuals/413323/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453901/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-MS1.pdf,18401,,10.5 кг,Китай,
https://cdn.entero.ru/mp@2x/0b/8d/0b8d0bacfbaa36e1440d7c4079286baa.jpg;https://cdn.entero.ru/mp@2x/c5/d9/c5d93c94aafbc2baf8a997244008ce2d.jpg;https://cdn.entero.ru/mp@2x/3b/b7/3bb7529fcf56622dfcdc95ac492f43e4.jpg;https://cdn.entero.ru/mp@2x/40/77/40771d3606d922df611c0469c04f8d9f.jpg;https://cdn.entero.ru/mp@2x/fd/22/fd222fda224cf198b23f619b508ccb74.jpg;https://cdn.entero.ru/mp@2x/8e/f3/8ef354dc55677546cd194910e0da758e.jpg;https://cdn.entero.ru/mp@2x/0a/bc/0abce65559d88581a148a23490a01b93.jpg;https://cdn.entero.ru/mp@2x/b7/74/b774f24af98e7dc8364e6b1f1eb6615d.jpg;https://cdn.entero.ru/mp@2x/91/4a/914af09371c8aecb3d78b7cb00261380.jpg,Клипсатор обвязчик Foodatlas HR-350,Клипсатор обвязчик Foodatlas HR-350,27955,RUB,Нет,Foodatlas,Профоборудование,Мясоперерабатывающее,Клипсаторы,https://entero.ru/item/204231,"<p>Ручной клипсатор обвязчик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/204231"">Foodatlas HR-350</a> </b>используется на предприятиях общественного питания и торговли для герметичного пережимания колбасных изделий, получаемых с помощью шприцев. Корпус выполнен из нержавеющей стали, клипса - из нитки. </p>

<p><b>Характеристики:</b></p>

<ul>
<li>Размер рабочего стола: 300х300 мм</li>
<li>Габариты в упаковке: 510x400x360 мм</li>
</ul>",204231,механический,220 В,,460 мм,290 мм,360 мм,,,,0,https://entero.ru/manuals/350967/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20HR-350.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240316&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239596&hd=2&autoplay=0,13 кг,Китай,
https://cdn.entero.ru/mp@2x/60/15/6015b671214afb71f792aeff142298bf.jpg,Клипсатор Kocateq HP 002 Table top double clippe,Клипсатор Kocateq HP 002 Table top double clippe,45212,RUB,Нет,Kocateq,Профоборудование,Мясоперерабатывающее,Клипсаторы,https://entero.ru/item/139636,"<p>Механический клипсатор <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/139636"">Kocateq HP 002 Table top double clippe</a></b> предназначен для герметичного пережимания набитых купат и колбас, получаемых с помощью шприцов, на предприятиях общественного питания и торговли. Корпус и все части, соприкасающиеся с продуктами, выполнены из нержавеющей стали.</p>

<p>Скобы для клипсатора № 503, 506 и 508 заказываются отдельно.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Клипсы U формы</li>
<li>Регулировка плотности зажима</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 465x360x700 мм</li>
</ul>",139636,механический,,,240 мм,400 мм,610 мм,,,,0,https://entero.ru/manuals/162498/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/279823/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20HP%20002%20Table%20top%20double%20clippe.pdf,,,,Южная Корея,400 шт.
https://cdn.entero.ru/mp@2x/8a/ae/8aae981e1fb39c8b7f78e331ab777f6e.jpg,Клипсатор ручной Roal Meat HR-550,Клипсатор ручной Roal Meat HR-550,17057,RUB,Нет,,Профоборудование,Мясоперерабатывающее,Клипсаторы,https://entero.ru/item/266264,"<p>Ручной клипсатор <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/266264""><b class=""b"">Roal Meat HR-550</b></a> используется на предприятиях общественного питания и торговли для герметичного пережимания колбасных изделий, получаемых с помощью шприцев. Модель оснащена клипсой 506 U и устойчивыми ножками. Изделие выполнено из металла, клипса - из алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: до 20 шт. / мин </li>
<li>Минимальный размер обвязки: 2 мм</li>
<li>Максимальный размер обвязки: 10 мм</li>
<li>Размер клипсы: 11,5х11,5 мм</li>
</ul>",266264,механический,,,375 мм,185 мм,590 мм,11.5 кг,1,430x230x670 мм,0,https://entero.ru/manuals/330049/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roal%20Meat%20HR-550.pdf,18341,,10 кг,Китай,
https://cdn.entero.ru/mp@2x/5b/3d/5b3d7bd94a1d6c01bf01ad56245f6a9f.jpg;https://cdn.entero.ru/mp@2x/e9/b6/e9b6bef3947c5e12ae6afa7a7d70e74d.jpg;https://cdn.entero.ru/mp@2x/e0/4c/e04c55823caff148d2a8760dcb15e8d8.jpg;https://cdn.entero.ru/mp@2x/08/22/08226ff12d77ef48422c77d6e1f2c549.jpg;https://cdn.entero.ru/mp@2x/8a/e7/8ae76e3d484cdedacaf416093c0be1d9.jpg,Обвязчик Gaser T70,D9734,0,RUB,Нет,,Профоборудование,Мясоперерабатывающее,Клипсаторы,https://entero.ru/item/184501,"<p>Полуавтоматический обвязчик <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184501""><b class=""b"">Gaser T70</b></a> предназначен для перевязки сосисок, сарделек и колбас шпагатом на предприятиях общественного питания и торговли. Настольная модель с пневматическим принципом действия оснащена регулятором скорости и силы сжатия. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Непрерывная подача шпагата</li>
<li>Использует шпагат в бобинах конусовидного типа</li>
<li>Работает без электропитания</li>
<li>Коленное управление с фиксатором для автоматической обвязки</li>
<li>Обвязка 3 оборота шпагата</li>
<li>Простое обслуживание</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: от 50 до 140 шт./мин.</li>
<li>Диаметр входного отверстия: 54 мм</li>
<li>Давление воздуха: 4 кг/см<sup>2</sup></li>
<li>Потребление воздуха: 80 л/мин.</li>
<li>Габариты в упаковке: 670х380х425 мм</li>
</ul>",184501,полуавтоматический,,,650 мм,380 мм,420 мм,,,,0,,,,42 кг,Испания,
