Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность
https://cdn.entero.ru/mp@2x/8f/e3/8fe3080f6ee180bac871474fddbc9618.jpg,Мясорыхлитель-тендерайзер Airhot ETS737,Мясорыхлитель-тендерайзер Airhot ETS737,45034,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Мясорыхлители и прессы,https://entero.ru/item/54847,"<p>Мясорыхлитель-тендерайзер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54847"">Airhot ETS737</a></b> используется на предприятиях общественного питания и торговли для приготовления отбивных. Благодаря множественным прокалываниям острыми ножами мясо становится мягче и легче маринуется, а время приготовления стейков и барбекю сокращается на 40%. Модель оснащена электрическим управлением. Корпус и ножи выполнены из нержавеющей стали.</p>

<p>С аппаратом рекомендуется использовать гастроемкости глубиной до 50 мм.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество пар ножей: 37</li>
<li>Размер загрузочной воронки: 177,8 мм</li>
<li>Расстояние между выходным отверстием и рабочей поверхностью: 112 мм</li>
<li>Максимальный размер нарезанного продукта: 20х175 мм</li>
</ul>",54847,электрический,220 В,0.35 кВт,490 мм,220 мм,405 мм,25 кг,1,485x315x380 мм,0,https://entero.ru/manuals/96203/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20ETS737.pdf;https://entero.ru/manuals/96204/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20ETS737.pdf;https://entero.ru/manuals/481762/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,23 кг,,Китай,80 шт/час
https://cdn.entero.ru/mp@2x/61/1b/611b5db96f3481ecf071cafa748dc532.jpg,Мясорыхлитель-тендерайзер Hurakan HKN-PK,140635,56911,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Мясорыхлители и прессы,https://entero.ru/item/51668,"<p>Мясорыхлитель-тендерайзер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/51668"">Hurakan HKN-PK</a></b> используется на предприятиях общественного питания и торговли для отбивания порционных кусков мяса для приготовления шницелей, антрекотов, стейков и других полуфабрикатов. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входит одна насадка TDA.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размеры загрузочного отсека: 25х200 мм</li>
<li>Частота вращения: 75 об/мин </li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Насадка <a href=""https://entero.ru/item/123668"" target=""_blank"">MSA</a></li>
<li>Насадка <a href=""https://entero.ru/item/136598"" target=""_blank"">TDB</a></li>
</ul>",51668,электрический,220 В,0.35 кВт,480 мм,250 мм,480 мм,27 кг,1,570x320x560 мм,18,https://entero.ru/manuals/66220/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-PK.doc;https://entero.ru/manuals/66221/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-PK.pdf;https://entero.ru/manuals/415445/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,25 кг,,Китай,
https://cdn.entero.ru/mp@2x/d4/57/d4575d79c2f06276768d5feebf538e68.jpg,Мясорыхлитель-тендерайзер Koneteollisuus Oy (KT) PK 380В,79860 / KT-PK (380В) / КТ - PK / 080802-013-001,200935,RUB,Да,Koneteollisuus Oy (KT),Профоборудование,Мясоперерабатывающее,Мясорыхлители и прессы,https://entero.ru/item/25475,"<p>Мясорыхлитель-тендерайзер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/25475""><b class=""b"">Koneteollisuus Oy (KT) PK </b></a>предназначен для рыхления мяса и рыбы, изготовления отбивных и стейков на предприятиях пищевой промышленности и торговли. Мотор останавливается автоматически, если кожух снимается при работающем двигателе. Ножи и предохранительная крышка съемные и моются в посудомоечной машине. Корпус изготовлен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Зубчатая передача механизма вращения</li>
<li>Шнек</li>
<li>Валы с шарикоподшипниками</li>
<li>Стальная загрузочная воронка</li>
<li>Кожух</li>
<li>74 ножа</li>
<li>2 валка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость вращения валков: 90 об/мин.</li>
<li>Отверстие: 30х170 мм</li>
</ul>",25475,,380 В,0.37 кВт,430 мм,470 мм,445 мм,,,,6,https://entero.ru/manuals/312624/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Koneteollisuus%20Oy%20%28KT%29%20PK.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239892&hd=2&autoplay=0,36 кг,,Финляндия,1200 шт/час
https://cdn.entero.ru/mp@2x/5e/76/5e76274a8f2cb8d4b5eb98366b02f82a.jpg,Мясорыхлитель-тендерайзер Hurakan HKN-PKT,206296,41090,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Мясорыхлители и прессы,https://entero.ru/item/122142,"<p>Мясорыхлитель-тендерайзер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122142"">Hurakan HKN-PKT</a></b> используется на предприятиях общественного питания и торговли для отбивания порционных кусков мяса для приготовления шницелей, антрекотов, стейков и других полуфабрикатов. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость: 120 об/мин.</li>
<li>Размеры загрузочного отсека: 23х129 мм</li>
<li>Габариты в упаковке: 460x200x470 мм</li>
</ul>",122142,электрический,220 В,0.45 кВт,430 мм,170 мм,420 мм,22 кг,1,250x450x450 мм,26,https://entero.ru/manuals/415448/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-PKT.pdf;https://entero.ru/manuals/415449/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-PKT.pdf;https://entero.ru/manuals/415450/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,44183,,19 кг,,Китай,
https://cdn.entero.ru/mp@2x/3c/5c/3c5cc22e43ae0e7816496af0abb84071.jpg,Мясорыхлитель-тендерайзер Airhot MTS737,Мясорыхлитель-тендерайзер Airhot MTS737,18938,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Мясорыхлители и прессы,https://entero.ru/item/54850,"<p>Мясорыхлитель-тендерайзер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54850"">Airhot MTS737</a></b> используется на предприятиях общественного питания и торговли для приготовления отбивных. Благодаря множественным прокалываниям острыми ножами мясо становится мягче и сохраняет свою структуру. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество пар ножей: 37</li>
<li>Максимальный размер нарезанного продукта: 20х175 мм</li>
<li>Максимальная толщина нарезки: 175 мм</li>
</ul>",54850,механический,,,330 мм,185 мм,290 мм,,,,0,https://entero.ru/manuals/96205/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20MTS737.pdf;https://entero.ru/manuals/96206/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20MTS737.pdf;https://entero.ru/manuals/481760/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,21042,,6.8 кг,,Китай,40 шт/час
https://cdn.entero.ru/mp@2x/28/74/28741c96ee08ae6f71f042f2c68af6b6.jpg,Мясорыхлитель-тендерайзер VIATTO ETS737,Мясорыхлитель-тендерайзер VIATTO ETS737,60862,RUB,Да,VIATTO,Профоборудование,Мясоперерабатывающее,Мясорыхлители и прессы,https://entero.ru/item/106254,"<p>Мясорыхлитель-тендерайзер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/106254"">VIATTO ETS737</a></b> предназначен для размягчения ломтиков сырого и отварного мяса без костей, филе птицы и филе морской рыбы на предприятиях общественного питания и торговли. Модель оснащена электроприводом, рабочей головкой с 2 валками, на которых расположено по 37 лезвий и защитной крышкой с загрузочным отверстием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная ширина загружаемого куска мяса: 175 мм</li>
<li>Габариты в упаковке: 490x320x380 мм</li>
</ul>",106254,электрический,220 В,0.3 кВт,495 мм,220 мм,410 мм,26 кг,1,490x320x380 мм,0,https://entero.ru/manuals/97471/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/354028/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20ETS737.pdf;https://entero.ru/manuals/354029/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20VIATTO%20ETS737.pdf,66154,,23 кг,Россия,Россия,
https://cdn.entero.ru/mp@2x/ed/fb/edfbe92649de70817c4fce5662787ef4.jpg;https://cdn.entero.ru/mp@2x/1d/fd/1dfdbda2aff5272a0db00d7114ab6905.jpg;https://cdn.entero.ru/mp@2x/3e/95/3e95b22d388b5d46e2c38abe2af8fa0c.jpg;https://cdn.entero.ru/mp@2x/d6/f0/d6f0c11de73cc72caa69d62182424841.jpg;https://cdn.entero.ru/mp@2x/bb/d2/bbd209c767a5e996b903bbec05034e3f.jpg;https://cdn.entero.ru/mp@2x/8e/9e/8e9e322acbc4269ab54b4980054ebf10.jpg,Мясорыхлитель-тендерайзер Foodatlas MT-1,Мясорыхлитель-тендерайзер Foodatlas MT-1,20437,RUB,Да,Foodatlas,Профоборудование,Мясоперерабатывающее,Мясорыхлители и прессы,https://entero.ru/item/203118,"<p>Мясорыхлитель-тендерайзер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/203118""><b class=""b"">Foodatlas</b></a> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/203118""><b class=""b"">MT-1</b></a> предназначен для размягчения мяса и разделения его на волокна на предприятиях общественного питания и торговли. Модель оснащена полностью разборным корпусом для удобства очистки внутренних поверхностей. Корпус, ножи и валы выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Общая длина валов: 135 мм</li>
<li>Толщина на выходе готового мяса: от 3 до 22 мм</li>
<li>Длина готового мяса: от 6 до 130 мм</li>
<li>Габариты в упаковке: 375х315х300 мм</li>
</ul>",203118,механический,,,320 мм,423 мм,433 мм,,,,0,https://entero.ru/manuals/237962/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20MT-1.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456240193&hd=2&autoplay=0,6 кг,,Китай,
https://cdn.entero.ru/mp@2x/ee/4f/ee4fbc30884969d946ff16bea33ba00b.jpg,Мясорыхлитель-тендерайзер ТОРГМАШ (Пермь) МР-25,Мясорыхлитель-тендерайзер ТОРГМАШ (Пермь) МР-25,57262,RUB,Да,ТОРГМАШ (Пермь),Профоборудование,Мясоперерабатывающее,Мясорыхлители и прессы,https://entero.ru/item/204041,"<p>Мясорыхлитель-тендерайзер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/204041""><b class=""b"">ТОРГМАШ МР-25 </b></a>используется на предприятиях общественного питания и торговли для приготовления отбивных. Благодаря множественным прокалываниям острыми ножами мясо становится мягче и сохраняет свою структуру. Модель состоит из приводного механизма М-50СМ-Д.01.000 и рыхлителя М-50СМ-Р. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 25 порций/мин.</li>
<li>Скорость приводного вала: 192 об/мин.</li>
<li>Габариты:
<ul>
<li>Рыхлитель: 310x160x215 мм</li>
<li>Машина: 610x235x360 мм</li>
</ul>
</li>
<li>Вес:
<ul>
<li>Рыхлитель: 5,3 кг</li>
<li>Машина: 30 кг</li>
</ul>
</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Насадка-мясорубка НМ-60</li>
<li>Рыбочистка М-50СМ-РЧ</li>
</ul>",204041,электрический,220 В,0.55 кВт,610 мм,235 мм,360 мм,,,,0,https://entero.ru/manuals/238474/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A2%D0%9E%D0%A0%D0%93%D0%9C%D0%90%D0%A8%20%D0%9C%D0%A0-25.pdf;https://entero.ru/manuals/238475/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpeg,,,30 кг,,Китай,1500 шт/час
https://cdn.entero.ru/mp@2x/de/90/de9019c2f42cf698f31e79d7b26e3636.jpg,Мясорыхлитель-тендерайзер Hurakan HKN-PKМ,206297,21416,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Мясорыхлители и прессы,https://entero.ru/item/122143,"<p>Мясорыхлитель-тендерайзер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122143"">Hurakan HKN-PKМ</a></b> используется на предприятиях общественного питания и торговли для отбивания порционных кусков мяса для приготовления шницелей, антрекотов, стейков и других полуфабрикатов. Модель оснащена ручкой. Корпус выполнен из нержавеющей стали.</p>",122143,механический,,,386 мм,320 мм,440 мм,6 кг,1,410x360x180 мм,7,https://entero.ru/manuals/415446/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-PK%D0%9C.pdf;https://entero.ru/manuals/415447/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/476899/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-PK%D0%9C.pdf,22543,,5.8 кг,,Китай,
https://cdn.entero.ru/mp@2x/44/9e/449e76918a0435232fc9bab88a94b422.jpg,Мясорыхлитель-тендерайзер Berkel INT90E,Мясорыхлитель-тендерайзер Berkel INT90E,223790,RUB,Да,,Профоборудование,Мясоперерабатывающее,Мясорыхлители и прессы,https://entero.ru/item/117199,"<p>Мясорыхлитель-тендерайзер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/117199"">Berkel INT90E</a> </b>предназначен для размягчения ломтиков сырого и отварного мяса без костей, филе птицы и филе морской рыбы на предприятиях общественного питания и торговли. Модель оснащена мощным двигателем с системой воздушного охлаждения. Корпус выполнен из алюминия с элементами из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 20 см/сек.</li>
</ul>",117199,электрический,220 В,0.4 кВт,450 мм,200 мм,440 мм,,,,0,,,,23 кг,Италия,,
