Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Вес (с упаковкой),Материал корпуса,Максимальная высота реза,Максимальная толщина реза,Длина полотна,Размер рабочей поверхности
https://cdn.entero.ru/mp@2x/47/13/471308dd8e6d372119c6fc3ee26130bb.jpg,Пила для мяса Airhot HSL-1650E,Пила для мяса Airhot HSL-1650E,43968,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/206379,"<p>Пила для мяса <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/206379""><b class=""b"">Airhot HSL-1650E </b></a>используется на предприятиях пищевой промышленности и торговли для нарезки на куски свежего и замороженного мяса, рыбы и птицы с костями. Модель оснащена толкателем для обеспечения безопасности работы. Корпус выполнен из анодированного алюминия, рабочая поверхность - из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальный размер обрабатываемого куска: 210x290 мм</li>
<li>Уровень шума: 70 дБ</li>
<li>Габриты в упаковке: 575x660x965 мм</li>
</ul>",206379,настольная,220 В,1.1 кВт,460 мм,455 мм,870 мм,46 кг,Китай,1,575x550x965 мм,0,https://entero.ru/manuals/241743/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HSL-1650E.pdf;https://entero.ru/manuals/481770/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,46774,,35 кг,,анодированный алюминий,240 мм,120 мм,1650 мм,400х436 мм
https://cdn.entero.ru/mp@2x/ee/e0/eee091dd56f0a864fac7e73abec61fbe.jpg,Пила для мяса Hurakan HKN-SE/1650M2,207296,42597,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/122245,"<p>Пила для мяса <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122245"">Hurakan HKN-SE/1650M2</a></b> используется на предприятиях общественного питания и торговли для резки свежего и замороженного мяса, в том числе на кости, а также рыбы и птицы. Корпус выполнен из окрашенного металла.</p>

<p>В комплект поставки входят 2 полотна.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость полотна: 15 м/сек.</li>
<li>Высота реза: от 4 до 180 мм</li>
<li>Габариты в упаковке: 500x500x935 мм</li>
</ul>",122245,настольная,220 В,0.85 кВт,480 мм,470 мм,930 мм,44.5 кг,Китай,1,500x500x935 мм,26,https://entero.ru/manuals/128494/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-SE_1650.doc;https://entero.ru/manuals/417072/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SE_1650M2.pdf;https://entero.ru/manuals/417073/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,39 кг,,,180 мм,,1650 мм,460x360 мм
https://cdn.entero.ru/mp@2x/ac/99/ac997e3cd5b3e9e02517ceace05290e2.jpg,Пила для мяса Airhot HSL-1650A,Пила для мяса Airhot HSL-1650A,59418,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/33040,"<p>Пила для мяса <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33040""><b class=""b"">Airhot HSL-1650A</b></a> используется на предприятиях пищевой промышленности и торговли для нарезки на куски свежего и замороженного мяса, рыбы и птицы. Модель оснащена электрическим приводом и точной регулировкой толщины нарезки и толкателем. Корпус выполнен из анодированного алюминия, рабочая поверхность - из нержавеющей стали.</p>

<p>В комплект поставки входит полотно для пилы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина нарезки: от 4 до 180 мм</li>
</ul>",33040,настольная,220 В,0.75 кВт,465 мм,598 мм,876 мм,,Китай,,,0,https://entero.ru/manuals/96212/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20HSL-1650A.pdf;https://entero.ru/manuals/96211/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HSL-1650A.pdf;https://entero.ru/manuals/481769/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,44 кг,,анодированный алюминий,220 мм,360 мм,,400х436 мм
https://cdn.entero.ru/mp@2x/5d/5d/5d5d937deebb3761d1150da4bd2d299c.jpg,Пила для мяса Hurakan HKN-SE/1650,143385,60705,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/105249,"<p>Пила для мяса <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://m.entero.ru/item/105249"">Hurakan HKN-SE/1650</a></b> используется на предприятиях общественного питания и торговли для резки свежего и замороженного мяса, в том числе на кости, а также рыбы и птицы. Модель оснащена толкателем, что обеспечивает безопасную работу персонала. Корпус выполнен из анодированного алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр пильного колеса: 210 мм</li>
<li>Габариты в упаковке: 580х570х1050 мм</li>
</ul>",105249,настольная,220 В,0.75 кВт,530 мм,515 мм,955 мм,55 кг,Китай,1,550x520x1010 мм,0,https://entero.ru/manuals/413690/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-SE_1650.pdf;https://entero.ru/manuals/413692/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SE_1650.pdf;https://entero.ru/manuals/413694/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454513/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-SE_1650.pdf,,,39 кг,,анодированный алюминий,220 мм,360 мм,1650 мм,400х436 мм
https://cdn.entero.ru/mp@2x/f6/31/f631e907cab9b0a36b3b0bc07f19c235.jpg,Пила для мяса Koneteollisuus Oy (KT) 400,KT-400 / 080902-013-006,664693,RUB,Да,Koneteollisuus Oy (KT),Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/33168,"<p>Пила для мяса <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33168"">Koneteollisuus Oy (KT) 400</a></b> используется на предприятиях пищевой промышленности и торговли для нарезки на куски свежего и замороженного мяса, рыбы и птицы. Модель с 1 скоростью оснащена подвижным столом и тормозным двигателем, благодаря которому режущее полотно останавливается мгновенно после отключения электропитания. Рабочее полотно, защитный кожух и кожух полотна выполнены из нержавеющей стали, корпус пилы и ножки - из алюминия.</p>

<p><strong>Дополнительные характеристики:</strong></p>

<ul>
<li>Размер полотна: 3135х20 мм</li>
<li>Скорость движения полотна: 20 м/сек.</li>
<li>Габариты в упаковке: 1040х950х2000 мм</li>
</ul>",33168,напольная,380 В,1.8 кВт,975 мм,1020 мм,1890 мм,,Финляндия,,,0,https://entero.ru/manuals/43895/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Koneteollisuus%20Oy%20%28KT%29%20400.jpg;https://entero.ru/manuals/312672/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Koneteollisuus%20Oy%20%28KT%29%20400%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,707120,,120 кг,,алюминий,375 мм,380 мм,3135 мм,830х500 мм
https://cdn.entero.ru/mp@2x/5e/65/5e652050422455c7f054172a79dfb5b6.jpg,Пила ленточная ROAL Meat J280C,RoalMeat J280C,48854,RUB,Да,ROAL,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/227610,"<p>Ленточная пила <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/227610"">ROAL Meat J280C</a></b> предназначена для нарезки на куски свежего и замороженного мяса, рыбы и птицы в небольших цехах, столовых, ресторанах, магазинах и других предприятиях общественного питания и торговли. Модель оснащена ограничительным бортом на обоих направляющих колесах ленточного полотна и запасным пильным полотном. Корпус выполнен из алюминиевого сплава, плита - из нержавеющей стали 430. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулятор высоты реза</li>
<li>Шкала ширины разреза и пластина с двойной фиксацией</li>
<li>Наружная регулировка верхнего колеса по горизонтали</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота: 50 Гц</li>
<li>Скорость полотна: 15 м/сек</li>
<li>Диаметр бобины: 210 мм</li>
</ul>",227610,напольная,220 В,1.1 кВт,520 мм,520 мм,920 мм,,Китай,,,0,https://entero.ru/manuals/274092/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ROAL%20Meat%20J280C.pdf,52531,,45 кг,,"нержавеющая сталь, алюминий",235 мм,,,700х450 мм
https://cdn.entero.ru/mp@2x/c0/e6/c0e6b77894254169c4640d1b2271206d.jpg;https://cdn.entero.ru/mp@2x/f8/66/f86641f103a24032ea80290d2006f6d0.jpg;https://cdn.entero.ru/mp@2x/71/b1/71b15087ca5a07ebb7b465ea35249056.jpg;https://cdn.entero.ru/mp@2x/dd/51/dd51cfdb2fc87d2e253af6c9c11ba7a1.jpg;https://cdn.entero.ru/mp@2x/19/5d/195d93cc7476be8dc72d32ba7807b945.jpg;https://cdn.entero.ru/mp@2x/20/6b/206b70af1c7c66e8e7681f42113fe894.jpg;https://cdn.entero.ru/mp@2x/b0/f8/b0f8f9898d1a3572405dcad6628f32e2.jpg,Пила для мяса Foodatlas JG-250,Пила для мяса Foodatlas JG-250,37294,RUB,Да,Foodatlas,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/112292,"<p>Ленточная пила <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/112292"">Foodatlas JG-250</a></b> предназначена для нарезки на куски свежих и замороженных мясных продуктов, рыбы и курицы на предприятиях общественного питания и торговли. Модель оснащена ременным приводом, встроенной мясорубкой и неподвижным столом. Корпус выполнен из окрашенного металла, нож мясорубки - из асбестовой ткани, бункер - из алюминия, ножки - из резины.</p>

<p>В комплект поставки входят 1 полотно, 2 решетки для мясорубки и регулировочный ключ.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность мясорубки: 75 кг/час</li>
<li>Полезная длина резки: 210х210 мм</li>
<li>Толщина реза: от 4 до 210 мм</li>
<li>Скорость лезвия: 15 м/сек.</li>
<li>Скорость движения полотна: 3.9 м/с</li>
<li>Скорость вращения шнека: 300 об/мин.</li>
<li>Диаметр отверстий решетки: 6 / 8 мм</li>
<li>Диаметр вращающегося колеса: 250 мм</li>
<li>Габариты в упаковке: 1000х515х445 мм</li>
</ul>",112292,напольная,220 В,0.55 кВт,640 мм,520 мм,1485 мм,54 кг,Китай,1,1000x515x445 мм,0,https://entero.ru/manuals/364261/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20JG-250.pdf;https://entero.ru/manuals/456887/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/456907/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3.pdf,38848,https://vk.com/video_ext.php?oid=-177656185&id=456240810&hd=2&autoplay=0;https://vk.com/video_ext.php?oid=-177656185&id=456239920&hd=2&autoplay=0,47 кг,,"нержавеющая сталь, алюминий",240 мм,210 мм,2090 мм,465х596 мм
https://cdn.entero.ru/mp@2x/40/30/4030aa23d368a348407b3eb1dfac8c68.jpg,Пила для мяса Koneteollisuus Oy (KT) 210,KT-210 / КТ-210 / 080902-013-002,241941,RUB,Да,Koneteollisuus Oy (KT),Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/33166,"<p>Пила для мяса <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/33166"">Koneteollisuus Oy (KT) 210</a></b> используется на предприятиях пищевой промышленности и торговли для нарезки на куски свежего и замороженного мяса, рыбы и птицы. Модель с 1 скоростью оснащена неподвижным столом, эргономичным рычагом-толкателем и тормозным двигателем, благодаря которому режущее полотно останавливается мгновенно после отключения электропитания. Конструкция выполнена из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер полотна: 1570х16 мм</li>
<li>Скорость движения полотна: 15 м/сек.</li>
<li>Габариты в упаковке: 630х570х980 мм</li>
</ul>",33166,настольная,380 В,1.1 кВт,495 мм,500 мм,880 мм,62.4 кг,Финляндия,1,594x600x1056 мм,0,https://entero.ru/manuals/30823/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Koneteollisuus%20Oy%20%28KT%29%20210.jpg,,https://vk.com/video_ext.php?oid=-177656185&id=456240426&hd=2&autoplay=0,52 кг,,нержавеющая сталь,180 мм,185 мм,1570 мм,400х300 мм
https://cdn.entero.ru/mp@2x/63/2e/632e366252811e1aeab052bea81ff0df.jpg;https://cdn.entero.ru/mp@2x/cd/c3/cdc35c26adf022230d80b0aa60b7665e.jpg;https://cdn.entero.ru/mp@2x/3a/aa/3aaaf945fc552a4bc1d32cd8e7bb1faa.jpg,Пила для мяса Hurakan HKN-SE1650M,169749,47120,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/93503,"<p>Пила для мяса <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93503"">Hurakan HKN-SE1650M</a></b> используется на предприятиях общественного питания и торговли для резки свежего и замороженного мяса, в том числе на кости, а также рыбы и птицы. Модель оснащена толкателем, что обеспечивает безопасную работу персонала. Корпус выполнен из анодированного алюминия.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Скорость режущего полотна: 15 м/сек.</li>
<li>Габариты в упаковке: 550х550х1000 мм</li>
</ul>",93503,настольная,220 В,0.75 кВт,470 мм,480 мм,850 мм,46 кг,Китай,1,530x530x980 мм,8,https://entero.ru/manuals/81059/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-SE1650M.doc;https://entero.ru/manuals/417074/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-SE1650M.pdf;https://entero.ru/manuals/417075/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,50667,,35 кг,,анодированный алюминий,230 мм,,1650 мм,445x465 мм
https://cdn.entero.ru/mp@2x/af/0c/af0c49337e4b41b70655d23f01a05a69.jpg,Пила ленточная VIATTO HLS-1650A,Пила ленточная VIATTO HLS-1650A,66330,RUB,Да,VIATTO,Профоборудование,Мясоперерабатывающее,Пилы для мяса,https://entero.ru/item/66758,"<p>Ленточная пила <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/66758"">VIATTO HLS-1650A</a></b> используется на предприятиях общественного питания, торговли, а также в производственных цехах для нарезки на куски свежего и замороженного мяса, рыбы и птицы. Корпус выполнен из алюминия, рабочая поверхность из нержавеющей стали. Предусмотрена регулировка ширины реза. Полотно выполняет ровный, гладкий срез без дробления кости.</p>",66758,настольная,220 В,0.75 кВт,511 мм,606 мм,803 мм,49.78 кг,Китай,1,530x550x955 мм,13,https://entero.ru/manuals/409909/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20HLS-1650A.pdf;https://entero.ru/manuals/409910/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/86159/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/464527/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20HLS-1650A.xls;https://entero.ru/manuals/464528/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20HLS-1650A.xls;https://entero.ru/manuals/464529/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,70564,,37.64 кг,,алюминий,210 мм,180 мм,1650 мм,454х439 мм
