Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Конструкция,Загрузка,Объем бункера
https://cdn.entero.ru/mp@2x/26/33/263308a8f0d584272950d6d2533db27c.jpg,Фаршемешалка Airhot MM-11,Фаршемешалка Airhot MM-11,13194,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Фаршемешалки,https://entero.ru/item/58966,"<p>Фаршемешалка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/58966"">Airhot MM-11</a> </b>используется на предприятиях общественного питания и торговли для перемешивания различных видов фарша до однородной консистенции, а также для смешивания творога и овощной смеси. Модель оснащена механическим управлением. Корпус и ёмкость выполнены из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 350x250x345 мм</li>
</ul>",58966,механическая,,,320 мм,230 мм,345 мм,,,,0,https://entero.ru/manuals/96242/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20MM-11.pdf;https://entero.ru/manuals/96243/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20MM-11.pdf,13888,,4.5 кг,,Китай,настольная,7.5 кг,11 л
https://cdn.entero.ru/mp@2x/7b/2a/7b2a5bf25c5f56e831b877b429072b6f.jpg,Фаршeмешалка Airhot MME-20,Фаршeмешалка Airhot MME-20,48708,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Фаршемешалки,https://entero.ru/item/58975,"<p>Фаршемешалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/58975""><b class=""b"">Airhot MMЕ-20</b></a> используется на предприятиях общественного питания и торговли для перемешивания различных видов фарша до однородной консистенции, а также для смешивания творога и овощной смеси. Модель оснащена блоком зубчатой передачи, который обеспечивает низкий уровень шума. Корпус и ёмкость выполнены из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: 22 кг/ч</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",58975,электрическая,220 В,0.3 кВт,875 мм,330 мм,490 мм,,,,0,https://entero.ru/manuals/96240/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20MME-20.pdf;https://entero.ru/manuals/96241/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20MME-20.pdf,52943,,,,Китай,настольная,от 10 до 13 кг,
https://cdn.entero.ru/mp@2x/ed/43/ed43ab8e22375c1bdfaba89c69ce4cc2.jpg;https://cdn.entero.ru/mp@2x/a3/54/a354e685b9a1b6b10270314bdeb4a328.jpg;https://cdn.entero.ru/mp@2x/95/43/95433acfb597539d4b51022073bd2d9c.jpg;https://cdn.entero.ru/mp@2x/cf/e2/cfe2fdc1c35c33399ac1df0692893b10.jpg;https://cdn.entero.ru/mp@2x/02/71/0271397257819f889ca27bd8b43e027e.jpg;https://cdn.entero.ru/mp@2x/52/5a/525a61f9b1f6d795c2f7a13961c4b935.jpg;https://cdn.entero.ru/mp@2x/44/fe/44fe8b709a76603cc6060b64246e4169.jpg;https://cdn.entero.ru/mp@2x/ad/f0/adf0f5838b5e454251f09d5ab53ca56a.jpg,Фаршемешалка Foodatlas MX-10L,MX-10L Foodatlas,12934,RUB,Да,Foodatlas,Профоборудование,Мясоперерабатывающее,Фаршемешалки,https://entero.ru/item/120181,"<p>Ручная фаршемешалка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/120181"">Foodatlas MX-10L</a> </b>используется на предприятиях общественного питания и торговли для перемешивания мясного и овощного фарша. Модель оснащена поворотной ручкой. Все детали, контактирующие с продуктами, выполнены из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 550x280x410 мм</li>
</ul>",120181,механическая,,,535 мм,250 мм,390 мм,,,,0,https://entero.ru/manuals/123840/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20MX-10L.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239596&hd=2&autoplay=0,4.8 кг,,,настольная,,10 л
https://cdn.entero.ru/mp@2x/1f/71/1f717a5ec89ffc05e0fb98df9c44abd5.jpg,Фаршемешалка Apach AMK10 220В,amk10 1ф.,104940,RUB,Да,Apach,Профоборудование,Мясоперерабатывающее,Фаршемешалки,https://entero.ru/item/118345,"<p>Фаршемешалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/118345""><b class=""b"">Apach AMK10</b></a> используется на предприятиях общественного питания и торговли для перемешивания измельченного мяса или рыбы в однородную смесь. Вымешивающее устройство лопастного типа позволяет получить фарш однородной консистенции. Модель оснащена крышкой с микровыключателем и функцией реверса. Корпус и съемная лопасть выполнены из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество лопастей: 1</li>
<li>Габариты в упаковке: 582х360х490 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",118345,электрическая,220 В,0.18 кВт,482 мм,260 мм,390 мм,,,,0,https://entero.ru/manuals/291715/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20AMK10%20220%D0%92.pdf;https://entero.ru/manuals/291716/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0.pdf;https://entero.ru/manuals/291718/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach.pdf;https://entero.ru/manuals/521853/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,18 кг,,Италия,настольная,10 кг,
https://cdn.entero.ru/mp@2x/d8/ea/d8eab2dd7b083ae462af68bd31b77664.jpg,Фаршeмешалка Airhot MME-50,Фаршeмешалка Airhot MME-50,168697,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Фаршемешалки,https://entero.ru/item/120698,"<p>Фаршемешалка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/120698"">Airhot MME-50</a></b> используется на предприятиях общественного питания и торговли для перемешивания различных видов фарша до однородной консистенции, а также для смешивания творога и овощной смеси. Модель оснащена электрическим управлением, реверсным вращением месильных лопастей, опрокидываемой дежой и защитной решеткой с датчиком открывания. Корпус и ёмкость выполнены из нержавеющей стали AISI 201.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: 250 кг/ч</li>
<li>Максимальная скорость вращения шнека: 70 об/мин.</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",120698,электрическая,220 В,1.5 кВт,860 мм,530 мм,1030 мм,,,,0,https://entero.ru/manuals/124714/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20MME-50.pdf,183366,,152 кг,,Китай,напольная,50 кг,65 л
https://cdn.entero.ru/mp@2x/02/df/02dff0d96de0d43e64877fda775b94b1.jpg,Фаршемешалка Apach AMK20 220В,AMK20 1Ф,141864,RUB,Да,Apach,Профоборудование,Мясоперерабатывающее,Фаршемешалки,https://entero.ru/item/87372,"<p>Фаршемешалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/87372""><b class=""b"">Apach AMK20</b></a> используется на предприятиях общественного питания и торговли для перемешивания измельченного мяса или рыбы в однородную смесь. Вымешивающее устройство лопастного типа позволяет получить фарш однородной консистенции. Модель оснащена крышкой с микровыключателем и функцией реверса. Корпус и съемная лопасть выполнены из нержавеющей стали.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Количество лопастей: 1</li>
<li>Габариты в упаковке: 644х435х567 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",87372,электрическая,220 В,0.37 кВт,544 мм,335 мм,467 мм,,,,6,https://entero.ru/manuals/291712/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Apach%20AMK20%20220%D0%92.pdf;https://entero.ru/manuals/291713/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20AMK20%20220%D0%92.pdf;https://entero.ru/manuals/521843/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,27 кг,Италия,Италия,настольная,15 кг,20 л
https://cdn.entero.ru/mp@2x/6d/e6/6de60c53a22c9d13adfadb6327c5cbde.jpg;https://cdn.entero.ru/mp@2x/a7/f2/a7f23466dab886fdd07696191dc3b742.jpg;https://cdn.entero.ru/mp@2x/fb/bd/fbbd0a1199fab32f4ad077965b330bb7.jpg;https://cdn.entero.ru/mp@2x/59/9b/599b080bd4b92ee793ad0fc67f8b1bd2.jpg;https://cdn.entero.ru/mp@2x/5f/b0/5fb04533b12248dcd9cfbdc596403a9f.jpg;https://cdn.entero.ru/mp@2x/7d/47/7d47912e221356e396d9829dc76c1c70.jpg;https://cdn.entero.ru/mp@2x/5f/8d/5f8dd4569d20ae0b98830bcabcf91d4e.jpg;https://cdn.entero.ru/mp@2x/90/dd/90dd5f72efc1c10c1c4d2f917686fd68.jpg,Фаршемешалка Foodatlas YBX-60,Фаршемешалка Foodatlas YBX-60,126420,RUB,Да,Foodatlas,Профоборудование,Мясоперерабатывающее,Фаршемешалки,https://entero.ru/item/184633,"<p>Фаршемешалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/184633""><b class=""b"">Foodatlas YBX-60</b></a> используется на предприятиях общественного питания и торговли для перемешивания мясного и овощного фарша. Модель оснащена электродвигателем, опрокидывающейся дежей с крышкой и месильным органом с 4 лопастями. Все детали, контактирующие с продуктами, выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическая выгрузка готового фарша</li>
<li>Тип передачи:
<ul>
<li>Ременная - от электродвигателя к редуктору</li>
<li>Цепная - от редуктора к шестерни оси месильного органа</li>
</ul>
</li>
<li>Функция реверса</li>
<li>Концевой выключатель для автоматической остановки при поднятии крышки дежи</li>
<li>Кнопка экстренной остановки</li>
<li>Быстро снимающийся рабочий орган</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время замеса: 20 мин.</li>
<li>Производительность: 150 кг/час</li>
<li>Загрузка: 20 л</li>
<li>Скорость вращения месильного органа: 110 об./мин.</li>
<li>Габариты дежи:550х430х470 мм</li>
<li>Габариты в упаковке: 800х560х800 мм</li>
</ul>",184633,электрическая,220 В,1.5 кВт,750 мм,520 мм,1000 мм,,,,0,https://entero.ru/manuals/214552/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Foodatlas%20YBX-60.pdf;https://entero.ru/manuals/214553/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,131688,,135 кг,,Китай,напольная,,60 л
https://cdn.entero.ru/mp@2x/58/bd/58bdd74d2c5dd034c9ea45b30f233fab.jpg,Фаршемешалка Hurakan HKN-MM20H,Фаршемешалка Hurakan HKN-MM20H,13534,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Фаршемешалки,https://entero.ru/item/234962,"<p>Фаршемешалка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/234962"">Hurakan HKN-MM20H</a></b> используется на предприятиях общественного питания и торговли для перемешивания различных видов фарша до однородной консистенции, а также для смешивания творога и овощной смеси. Корпус выполнен из нержавеющей стали.</p>",234962,механическая,,,370 мм,280 мм,360 мм,5 кг,1,380x290x390 мм,20,https://entero.ru/manuals/412520/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454777/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-MM20H.pdf;https://entero.ru/manuals/483870/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-MM20H.pdf,14553,,4.8 кг,,Китай,настольная,9 кг,19 л
https://cdn.entero.ru/mp@2x/23/d8/23d8d8f93694a6b2831e87df491939d5.jpg;https://cdn.entero.ru/mp@2x/87/41/8741a814deca8131e5e40fe1fb7e1d94.jpg;https://cdn.entero.ru/mp@2x/f4/49/f449bff79b3bec667d39117e85ff5b1f.jpg,Фаршемешалка ПищТех ФМ-25,Фаршемешалка ПищТех ФМ-25,119174,RUB,Да,ПищТех,Профоборудование,Мясоперерабатывающее,Фаршемешалки,https://entero.ru/item/237127,"<p>Фаршемешалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/237127""><b class=""b"">Пищевые Технологии ФМ-25 </b></a>используется на предприятиях общественного питания и торговли для равномерного перемешивания ингридиентов для приготовления мясного фарша, салатов и различных начинок. Модель оснащена электродвигателем, ременной и зубчатой передачами, подвижной горизонтальной осью с месильным органом и стационарной дежой с защитной откидной крышкой. Корпус выполнен из конструкционной стали с антикоррозийным полимерным покрытием, дежа и месильный орган изготовлены из высококачественной нержавеющей стали марки AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Управление с помощью поворотного переключателя</li>
<li>Режимы:
<ul>
<li>Вращение вперед</li>
<li>Вращение назад</li>
<li>Остановка</li>
</ul>
</li>
<li>Механизм наклона дежи для удобства выгрузки продукта и очистки</li>
<li>Надежный замок для фиксации дежи с 2 сторон</li>
<li>Автоматическая остановка при подъеме крышки </li>
<li>Устойчивые антивибрационные опоры</li>
<li>Простая и безопасная эксплуатация</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота вращения месильного органа: 33 об/мин.</li>
</ul>",237127,электрическая,220 В,1.5 кВт,740 мм,495 мм,720 мм,,,,0,https://entero.ru/manuals/390246/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85%20%D0%A4%D0%9C-25.pdf;https://entero.ru/manuals/422656/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%9F%D0%B8%D1%89%D0%A2%D0%B5%D1%85.pdf,125446,,92 кг,Россия,Россия,напольная,от 3 до 27 кг,39 л
https://cdn.entero.ru/mp@2x/4d/bd/4dbde0981e57b3a41986d15d46053a63.jpg,Фаршeмешалка Airhot MME-35,Фаршeмешалка Airhot MME-35,141841,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Фаршемешалки,https://entero.ru/item/112209,"<p>Фаршемешалка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/112209""><b class=""b"">Airhot MMЕ-35</b></a> используется на предприятиях общественного питания и торговли для перемешивания различных видов фарша до однородной консистенции, а также для смешивания творога и овощной смеси. Модель оснащена опрокидываемой дежой и защитной решеткой с датчиком открывания. Корпус и ёмкость выполнены из нержавеющей стали AISI 201.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: 175 кг/ч</li>
<li>Максимальная скорость вращения шнека: 70 об/мин.</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",112209,электрическая,220 В,1.1 кВт,760 мм,530 мм,1030 мм,163 кг,1,780x550x1040 мм,0,https://entero.ru/manuals/110886/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20MME-35.pdf,,,136 кг,,Китай,напольная,35 кг,50 л
