Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Установка,Назначение,Емкость бункера,Диаметр заготовки
https://cdn.entero.ru/mp@2x/b5/67/b56791026d4e5086714c6a02fc583ea7.jpg,Автомат котлетный Станкостроитель АК2М-40-У,Автомат котлетный Станкостроитель АК2М-40-У,270725,RUB,Да,Станкостроитель,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/40252,"<p>Автомат котлетный <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40252""><b class=""b"">Станкостроитель АК2М-40-У</b></a> предназначен для дозирования и формирования котлет из мясного фарша на крупных предприятиях общественного питания.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Привод рабочего механизма осуществляется через муфту, тем самым обеспечено более плавное включение автомата в работу;</li>
<li>Между поверхностью поворотного стола и основанием загрузочного цилиндра устанавливается пластина из пластика, это улучшает условия трения. По мере износа пластину легко заменить;</li>
<li>Пульт управления установлен на выносной стойке прямо на автомате;</li>
<li>Оснащен скребком диска конвейера для удаления оставшегося фарша.</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Вместимость загрузочного цилиндра для фарша: 20 дм(куб)</li>
<li>Форма котлет: круглая</li>
<li>Масса формируемых котлет: 50-100 г</li>
</ul>",40252,автоматический,380 В,0.55 кВт,880 мм,725 мм,585 мм,,,,6,https://entero.ru/manuals/423987/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20%D0%A1%D1%82%D0%B0%D0%BD%D0%BA%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D0%90%D0%9A2%D0%9C-40-%D0%A3.pdf,,,90 кг,,Россия,4000 шт/час,настольный,для котлет,,
https://cdn.entero.ru/mp@2x/9e/21/9e2177af96253964a3518decd56eb9a4.jpg,Котлетный автомат Hualian Patty-100,Котлетный автомат Hualian Patty-100,589904,RUB,Да,Hualian,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/109332,"<p>Котлетный автомат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/109332"">Hualian Patty-100</a></b> используется на производственных площадках, предприятиях пищевой промышленности, общественного питания и торговли. Фарш загружается в бункер с лопастями и подается порционно в барабан. В барабане фарш поступает в специальные отверстия и поршень, повторяющий форму отверстия, выдавливает сформированную котлету, которая дополнительно срезается струной. Модель оснащена конвейером, расположенным под барабаном, для вывода готовых полуфабрикатов.</p>

<p>В комплект поставки входит барабан, формирующий эллипсовидные изделия с отверстием 100x80 мм, круг 80 мм или 100 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Выбор формы котлет</li>
<li>Регулировка веса котлет</li>
<li>Регулировка положения поршня (толщины изделия)</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Вес котлет: от 80 до 100 гр</li>
<li>Толщина котлет: от 8 до 15 мм</li>
<li>Погрешность в весе: ≤ 1%</li>
<li>Габариты в упаковке: 1000x740x1650 мм</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Барабан с формой по индивидуальному дизайну клиента (до 100 мм)</li>
</ul>",109332,автоматический,380 В,0.55 кВт,715 мм,600 мм,1400 мм,158 кг,1,1000x740x1650 мм,0,https://entero.ru/manuals/145432/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hualian%20Patty-100.pdf,,,118 кг,,Китай,от 2100 до 4200 шт/час,напольный,для котлет,30 кг,100 мм
https://cdn.entero.ru/mp@2x/13/cf/13cfdbd14935f88615eb565b4700e1c3.jpg;https://cdn.entero.ru/mp@2x/d8/45/d845897bf21785a2533ffe63628281d4.jpg,Пресс для гамбургеров Airhot HPP-100,Пресс для гамбургеров Airhot HPP-100,9605,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/54857,"<p>Пресс для гамбургеров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54857"">Airhot HPP-100</a></b> используется на предприятиях общественного питания и торговли для формования гамбургеров, котлет, рубленых бифштексов из мясного фарша. Модель оснащена механическим управлением. Корпус выполнен из анодированного алюминия, ёмкость для фарша - из нержавеющей стали.</p>

<p>В комплект поставки входят 500 бумажных подложек.</p>",54857,механический,,,240 мм,210 мм,280 мм,,,,0,https://entero.ru/manuals/96227/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20HPP-100.pdf;https://entero.ru/manuals/96226/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HPP-100.pdf;https://entero.ru/manuals/481773/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,7 кг,,Китай,,настольный,для гамбургеров,,100 мм
https://cdn.entero.ru/mp@2x/e6/f1/e6f1143f4c7ae5e55664a22ad64d9681.jpg,Пресс для гамбургеров Hurakan HKN-F10,165280,9744,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/93188,"<p>Ручной пресс для гамбургеров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/93188"">Hurakan HKN-F10</a> </b>используется на предприятиях общественного питания и торговли для формирования мясных заготовок круглой формы разной толщины из мясного или рыбного фарша. Корпус выполнен из анодированного алюминия, детали, контактирующие с пищевыми продуктами, - из нержавеющей стали.</p>

<p>В комплект поставки входят бумажные подложки для фарша.</p>",93188,механический,,,235 мм,230 мм,275 мм,,,,30,https://entero.ru/manuals/417095/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-F10.pdf;https://entero.ru/manuals/417096/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-F10.pdf;https://entero.ru/manuals/417097/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/417098/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,,,5.2 кг,,Китай,,настольный,для гамбургеров,,100 мм
https://cdn.entero.ru/mp@2x/b7/80/b780fd233c9e7520d7b61e8b11bef2f4.jpg,"Пресс для котлет P.L. Proff Cuisine SWS-5RH (HONRI) d=14 см h=7,3 см (нерж. сталь) круглый",SWS-5RH (HONRI),2237,RUB,Да,,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/324264,"<p>Пресс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/324264""><b class=""b"">P.L. Proff Cuisine SWS-5RH (HONRI)</b></a> предназначен для изготовления котлет на предприятиях общественного питания и в домашних условиях. Модель оснащена головкой круглой формы и цилиндрической рукояткой. Изделие выполнено из нержавеющей стали.</p>",324264,механический,,,140 мм,140 мм,73 мм,,,,0,,,,0.44 кг,,Китай,,настольный,для котлет,,140 мм
https://cdn.entero.ru/mp@2x/49/01/4901147d32586bd526fb15a4cfc60ed6.jpg,"Пресс для котлет P.L. Proff Cuisine SWS-5SH (HONRI) 14х14 см h=7,5 см (нерж. сталь) квадратный",SWS-5SH (HONRI),2237,RUB,Да,,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/324263,"<p>Пресс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/324263""><b class=""b"">P.L. Proff Cuisine SWS-5SH (HONRI)</b></a> предназначен для изготовления котлет на предприятиях общественного питания и в домашних условиях. Модель оснащена головкой квадратной формы и цилиндрической рукояткой. Изделие выполнено из нержавеющей стали.</p>",324263,механический,,,140 мм,140 мм,75 мм,,,,0,,,,0.44 кг,,Китай,,настольный,для котлет,,
https://cdn.entero.ru/mp@2x/ef/7d/ef7db545729aa8c25a18e4de7ccaa793.jpg;https://cdn.entero.ru/mp@2x/0e/aa/0eaa606d6c2883d51dabe8c2025a86e8.jpg,Пресс для гамбургеров Airhot HPP-130,Пресс для гамбургеров Airhot HPP-130,10943,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/54859,"<p>Пресс для гамбургеров <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54859"">Airhot HPP-130</a></b> используется на предприятиях общественного питания и торговли для формования гамбургеров, котлет, рубленых бифштексов из мясного фарша. Модель оснащена механическим управлением. Корпус выполнен из анодированного алюминия, ёмкость для фарша - из нержавеющей стали.</p>

<p>В комплект поставки входят 500 бумажных подложек.</p>",54859,механический,,,255 мм,270 мм,250 мм,,,,0,https://entero.ru/manuals/96229/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20HPP-130.pdf;https://entero.ru/manuals/96228/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HPP-130.pdf;https://entero.ru/manuals/481772/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,11641,,8 кг,,Китай,,настольный,для гамбургеров,,130 мм
https://cdn.entero.ru/mp@2x/52/60/5260bfc2e0e958d3040e4dfadab6a8f6.jpg,"Пресс для изготовления котлет P.L. Proff Cuisine 81240254 ""Гамбургер"" двойной 120 мм",DBP-02,2304,RUB,Да,,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/321701,"<p>Пресс <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/321701""><b class=""b"">P.L. Proff Cuisine 81240254 ""Гамбургер""</b></a> предназначен для изготовления котлет для бургеров на предприятиях общественного питания и в домашних условиях. Модель имеет 2 отделения. Изделие выполнено из алюминия. </p>",321701,механический,,,,,,,,,0,,2711,,0.692 кг,,Китай,,настольный,для котлет,,120 мм
https://cdn.entero.ru/mp@2x/4e/ce/4ecea786f052c99f7c8ef72e88f46bff.jpg,Аппарат формовочный Crazy Pan CP-MBM280,Аппарат формовочный Crazy Pan CP-MBM280,113011,RUB,Да,,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/253803,"<p>Формовочный аппарат<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/253803"">Crazy Pan CP-MBM280</a></b> предназначен для производства шариков различного диаметра из мясного, рыбного и других видов фарша на предприятиях общественного питания и торговли.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Диаметр заготовок: 16 / 18 / 22 / 26 мм</li>
<li>Производительность: 230 шт./мин.</li>
</ul>",253803,,220 В,1.1 кВт,750 мм,450 мм,820 мм,,,,0,https://entero.ru/manuals/310895/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Crazy%20Pan.pdf,122838,,55 кг,,Китай,13800 шт/час,,для фрикаделек,,от 16 до 26 мм
https://cdn.entero.ru/mp@2x/ca/3d/ca3de2d710aea09d95084cebd07e94a8.jpg,"Машина для формования фрикаделек Hualian HL-280T (диаметр изделий 18, 22, 26 мм)","Машина для формования фрикаделек Hualian HL-280T (диаметр изделий 18, 22, 26 мм)",184644,RUB,Да,Hualian,Профоборудование,Мясоперерабатывающее,Формовочное оборудование,https://entero.ru/item/291829,"<p>Машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/291829""><b class=""b"">Hualian HL-280T</b></a> предназначена для формования фрикаделек и тефтелей из мясного, куриного, рыбного и смешанного фарша на предприятиях пищевой промышленности, общественного питания и торговли. Модель оснащена 2 независимыми частотными преобразователями для настройки параметров продукта.</p>

<p>В комплект поставки входят 3 сменные насадки различного диаметра.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Регулировка скорости подачи фарша </li>
<li>Регулировка скорости формования изделий </li>
<li>Стабильная работа на протяжении длительного времени </li>
<li>Простота управления, эксплуатации и обслуживания</li>
<li>Компактная вертикально ориентированная конструкция</li>
<li>Эргономичный дизайн</li>
</ul>",291829,,220 В,1.5 кВт,750 мм,580 мм,1700 мм,,,,0,,194362,,290 кг,Китай,Китай,от 5400 до 15000 шт/час,настольный,для фрикаделек,,от 20 до 50 мм
