Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Объем,Конструкция
https://cdn.entero.ru/mp@2x/77/bb/77bb5dec10d0554579f17aa57007de47.jpg;https://cdn.entero.ru/mp@2x/22/28/2228c94a0d1afad7c71bac5bf689a70b.jpg;https://cdn.entero.ru/mp@2x/7c/fd/7cfd8d49bd36b9a3ad325f679b7bdac1.jpg;https://cdn.entero.ru/mp@2x/fc/26/fc262bf5af70f748def08a1512c128a9.jpg,Шприц для колбас Airhot SV-5,Шприц для колбас Airhot SV-5,14072,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Шприцы колбасные,https://entero.ru/item/54874,"<p>Шприц для колбас <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54874"">Airhot SV-5</a></b> используется на предприятиях общественного питания и торговли для автоматической набивки готовой смеси в искусственную или натуральную оболочку при приготовления купат, колбас, сосисок, сарделек, шпикачек и прочих мясных изделий. Модель оснащена 2 скоростями хода поршня. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 4 насадки из нержавеющей стали: Ø 16, 22, 32 и 38 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вертикальная форма модели значительно экономит пространство на кухне</li>
<li>Обратный воздушный клапан обеспечивает подъем поршня без усилия</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер цилиндра: 140х320 мм</li>
<li>Количество скоростей хода поршня: 2</li>
</ul>

<p> </p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",54874,механический,,,300 мм,340 мм,690 мм,12 кг,1,675x320x285 мм,0,https://entero.ru/manuals/96260/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20SV-5.pdf;https://entero.ru/manuals/96261/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SV-5.pdf;https://entero.ru/manuals/149127/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,10 кг,,Китай,5 л,вертикальный
https://cdn.entero.ru/mp@2x/49/9a/499a77b35c5ca38fb72b9e6fd8f248e3.jpg;https://cdn.entero.ru/mp@2x/78/70/7870bf62bb2e87557da39cb558387b9b.jpg;https://cdn.entero.ru/mp@2x/93/15/931554cb1f5ae43537b0097176f717ee.jpg;https://cdn.entero.ru/mp@2x/64/84/6484dd8d20e83b9a4c6a2cdc06ee32ff.jpg;https://cdn.entero.ru/mp@2x/8c/5b/8c5ba3805b23306f88352a2c5dcda39a.jpg;https://cdn.entero.ru/mp@2x/3f/69/3f692e4edcf8061d00772e686f29ded7.jpg,Шприц колбасный Hurakan HKN-ISV3,149941,10547,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Шприцы колбасные,https://entero.ru/item/81611,"<p>Ручной колбасный шприц <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81611"">Hurakan HKN-ISV3</a></b> используется на предприятиях общественного питания и торговли для наполнения колбас, сосисок, сарделек и шпикачек. Модель оснащена 2 скоростями хода поршня для мощного выдавливания и быстрого возврата. Уникальная система выдавливания позволяет быстро возвращать поршень в исходное положение, что значительно ускоряет процесс заполнения шприца. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 4 насадки из нержавеющей стали диаметром 38, 25, 19 и 15 мм.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 580х360х330 мм</li>
</ul>",81611,механический,,,550 мм,330 мм,305 мм,12 кг,1,550x340x310 мм,13,https://entero.ru/manuals/414802/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-ISV3.pdf;https://entero.ru/manuals/414803/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-ISV3.pdf;https://entero.ru/manuals/414804/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414805/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454848/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-ISV3.pdf,11102,,11 кг,,Китай,3 л,вертикальный
https://cdn.entero.ru/mp@2x/20/28/202857774caf35df0b012cef43431ef7.jpg;https://cdn.entero.ru/mp@2x/d9/2f/d92f4b407f21f35c1e7fad006daa9ed9.jpg;https://cdn.entero.ru/mp@2x/04/b3/04b31cb11625b0bf63be3a71621bd3c5.jpg;https://cdn.entero.ru/mp@2x/aa/49/aa493b8a3380cba39a3e30e0aa764ec0.jpg;https://cdn.entero.ru/mp@2x/7f/47/7f47d7456b9da94e4272cb88a155e096.jpg;https://cdn.entero.ru/mp@2x/66/1e/661e25a18af40b2734edafa13c0f59e9.jpg,Шприц для колбас Airhot SV-3,Шприц для колбас Airhot SV-3,12135,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Шприцы колбасные,https://entero.ru/item/115943,"<p>Шприц для колбас <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/115943"">Airhot SV-3</a></b> используется нна предприятиях общественного питания и торговли для автоматической набивки готовой смеси в искусственную или натуральную оболочку при приготовления купат, колбас, сосисок, сарделек, шпикачек и прочих мясных изделий. Модель оснащена 2 скоростями хода поршня. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 4 насадки из нержавеющей стали: Ø 16, 22, 32 и 38 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вертикальная форма модели значительно экономит пространство на кухне</li>
<li>Обратный воздушный клапан обеспечивает подъем поршня без усилия</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер цилиндра: 140х200 мм</li>
<li>Количество скоростей хода поршня: 2</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",115943,механический,,,300 мм,340 мм,570 мм,10 кг,1,555x320x240 мм,0,https://entero.ru/manuals/115544/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SV-3.pdf;https://entero.ru/manuals/149126/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,9 кг,,Китай,3 л,вертикальный
https://cdn.entero.ru/mp@2x/cd/07/cd07bd0b6b9816b96a472c9e93b8f170.jpg,Шприц колбасный Hurakan HKN-ISE10,206300,42318,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Шприцы колбасные,https://entero.ru/item/122254,"<p>Автоматический колбасный шприц <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122254"">Hurakan HKN-ISE10</a></b> используется на предприятиях общественного питания и торговли для наполнения колбас, сосисок, сарделек, купат, шпикачек и прочих мясных изделий. Модель оснащена автоматической системой управления. Корпус и бункер для фарша выполнены из высококачественной пищевой нержавеющей стали.</p>

<p>В комплект поставки входят 4 насадки диаметром 38, 32, 22 и 16 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настольный тип установки</li>
<li>Уникальная система выдавливания</li>
<li>Поршень быстро возвращается в исходное положение</li>
<li>Быстрый процесс заполнения шприца</li>
<li>Опускание поршня нажатием на педаль</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>​Производительность на максимальной скорости: 10 кг за 2 минуты</li>
</ul>",122254,электрический,220 В,0.12 кВт,415 мм,315 мм,700 мм,37 кг,1,470x800x400 мм,0,https://entero.ru/manuals/417116/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-ISE10.pdf;https://entero.ru/manuals/417117/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454844/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-ISE10.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241074&hash=6be61b13c0ca3ac8,32.5 кг,,Китай,10 л,вертикальный
https://cdn.entero.ru/mp@2x/28/76/28766c3e3f13c02241e38b859884f6f1.jpg;https://cdn.entero.ru/mp@2x/e1/fc/e1fc9b8a7b73bb39e80e94fd4b9fff07.jpg;https://cdn.entero.ru/mp@2x/d0/e7/d0e7967da094a6e2ebbd818119f02ff2.jpg,Шприц колбасный Hurakan HKN-ISV5,149942,13220,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Шприцы колбасные,https://entero.ru/item/81612,"<p>Ручной колбасный шприц <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/81612"">Hurakan HKN-ISV5</a></b> используется на предприятиях общественного питания и торговли для наполнения колбас, сосисок, сарделек и шпикачек. Модель оснащена 2 скоростями хода поршня для мощного выдавливания и быстрого возврата. Уникальная система выдавливания позволяет быстро возвращать поршень в исходное положение, что значительно ускоряет процесс заполнения шприца. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 4 насадки из нержавеющей стали диаметром 38, 25, 19 и 15 мм.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 700х360х330 мм</li>
</ul>",81612,механический,,,670 мм,330 мм,305 мм,13 кг,1,700x360x360 мм,37,https://entero.ru/manuals/414806/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-ISV5.pdf;https://entero.ru/manuals/414807/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-ISV5.pdf;https://entero.ru/manuals/414808/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414809/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454849/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-ISV5.pdf,,,12 кг,,Китай,5 л,вертикальный
https://cdn.entero.ru/mp@2x/16/12/1612cb319a72c3394a9f5c10268be7b5.jpg;https://cdn.entero.ru/mp@2x/7b/eb/7beb028502636bdfce40bb56f027c3ce.jpg;https://cdn.entero.ru/mp@2x/5c/5b/5c5baa4240780bd11d307cf38721690d.jpg,Шприц для колбас Airhot SV-7,Шприц для колбас Airhot SV-7,14510,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Шприцы колбасные,https://entero.ru/item/54875,"<p>Шприц для колбас <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54875"">Airhot SV-7</a></b> используется на предприятиях общественного питания и торговли для автоматической набивки готовой смеси в искусственную или натуральную оболочку при приготовления купат, колбас, сосисок, сарделек, шпикачек и прочих мясных изделий. Модель оснащена 2 скоростями хода поршня. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 4 насадки из нержавеющей стали: Ø 16, 22, 32 и 38 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вертикальная форма модели значительно экономит пространство на кухне</li>
<li>Обратный воздушный клапан обеспечивает подъем поршня без усилия</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер цилиндра: 140х460 мм</li>
<li>Количество скоростей хода поршня: 2</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",54875,механический,,,300 мм,340 мм,830 мм,14 кг,1,815x320x320 мм,0,https://entero.ru/manuals/96262/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20SV-7.pdf;https://entero.ru/manuals/96263/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SV-7.pdf;https://entero.ru/manuals/149128/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,12 кг,,Китай,7 л,вертикальный
https://cdn.entero.ru/mp@2x/52/b3/52b3480ba2414118586543ff9160d0ad.jpg;https://cdn.entero.ru/mp@2x/cc/db/ccdb55c174e68a172fe76996b970c28f.jpg;https://cdn.entero.ru/mp@2x/ff/19/ff193969ccecca9b42168fbb35048614.jpg;https://cdn.entero.ru/mp@2x/03/88/0388f7500900517707642c317085ece7.jpg;https://cdn.entero.ru/mp@2x/47/24/47244ef1a1fd491d9d16da03258e0f2e.jpg,Шприц для колбас Airhot SV-10,Шприц для колбас Airhot SV-10,19745,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Шприцы колбасные,https://entero.ru/item/54860,"<p>Шприц для колбас <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54860"">Airhot SV-10</a></b> используется на предприятиях общественного питания и торговли для автоматической набивки готовой смеси в искусственную или натуральную оболочку при приготовления купат, колбас, сосисок, сарделек, шпикачек и прочих мясных изделий. Модель оснащена 2 скоростями хода поршня. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 4 насадки из нержавеющей стали: Ø 16, 22, 32 и 38 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вертикальная форма модели значительно экономит пространство на кухне</li>
<li>Обратный воздушный клапан обеспечивает подъем поршня без усилия</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер цилиндра: 219х270 мм</li>
<li>Количество скоростей хода поршня: 2</li>
</ul>

<p> </p>",54860,механический,,,300 мм,330 мм,580 мм,14 кг,1,635x390x350 мм,0,https://entero.ru/manuals/96256/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20SV-10.pdf;https://entero.ru/manuals/96257/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SV-10.pdf;https://entero.ru/manuals/149124/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,20568,,12 кг,,Китай,10 л,вертикальный
https://cdn.entero.ru/mp@2x/56/d5/56d5fc1029f90446f2e279ec2760fd2d.jpg;https://cdn.entero.ru/mp@2x/ff/b0/ffb021ed5fc90b634f96418456cd1f52.jpg;https://cdn.entero.ru/mp@2x/c6/1b/c61b480aa46dc48e86fed01144486dd5.jpg;https://cdn.entero.ru/mp@2x/81/c2/81c29d88913387fe0a4736ba5ddea7dd.jpg;https://cdn.entero.ru/mp@2x/59/35/5935c69bdcd300418e3f499be6a558f4.jpg,Шприц для колбас Airhot 10Л SVE-10,D7200,41375,RUB,Да,Airhot,Профоборудование,Мясоперерабатывающее,Шприцы колбасные,https://entero.ru/item/155630,"<p>Шприц для колбас <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/155630"">Airhot 10Л SVE-10</a></b> используется в мясных и колбасных цехах, на предприятиях общественного питания и торговли для автоматической набивки готовой смеси в искусственную или натуральную оболочку при приготовления купат, колбас, сосисок, сарделек, шпикачек и прочих мясных изделий. Корпус модели выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят три насадки из нержавеющей стали диаметром 12, 22 и 32 мм.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вертикальная форма устройства позволяет значительно экономить рабочее пространство </li>
<li>Модель оборудована обратным воздушным клапаном, обеспечивающим подъем поршня без усилия</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Производительность: 400 кг/час </li>
<li>Габариты в упаковке: 755x500x400 мм</li>
</ul>",155630,электрический,220 В,0.2 кВт,410 мм,310 мм,650 мм,,,,0,https://entero.ru/manuals/184965/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%2010%D0%9B%20SVE-10.pdf;https://entero.ru/manuals/481706/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,27.5 кг,,Китай,10 л,вертикальный
https://cdn.entero.ru/mp@2x/53/a4/53a49b1fef69a83c6dad47f8e53573bd.jpg,Шприц колбасный Hurakan HKN-ISV2,206305,10419,RUB,Да,Hurakan,Профоборудование,Мясоперерабатывающее,Шприцы колбасные,https://entero.ru/item/122255,"<p>Ручной колбасный шприц <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122255"">Hurakan HKN-ISV2</a></b> используется на предприятиях общественного питания и торговли для наполнения колбас, сосисок, сарделек и шпикачек. Модель оснащена 2 скоростями хода поршня для мощного выдавливания и быстрого возврата. Уникальная система выдавливания позволяет быстро возвращать поршень в исходное положение, что значительно ускоряет процесс заполнения шприца. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 4 насадки из нержавеющей стали диаметром 38, 32, 22 и 16 мм.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 530х380х282 мм</li>
</ul>",122255,механический,,,500 мм,280 мм,238 мм,7 кг,1,540x340x300 мм,8,https://entero.ru/manuals/414818/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-ISV2.pdf;https://entero.ru/manuals/414819/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/414820/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/454847/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-ISV2.pdf,11203,,6 кг,,Китай,2 л,вертикальный
https://cdn.entero.ru/mp@2x/c5/a3/c5a3f14e78c7ea2f51d575fe72caeafa.jpg;https://cdn.entero.ru/mp@2x/19/2e/192e9d714cda9138cf976a1f0917835b.jpg;https://cdn.entero.ru/mp@2x/28/32/2832619bc4cae93342f2b88737626928.jpg;https://cdn.entero.ru/mp@2x/df/14/df149bf8affc009c7addc9e25086ca65.jpg;https://cdn.entero.ru/mp@2x/d1/5f/d15f1525cd060b667dca65fad00e03d2.jpg,Шприц колбасный VIATTO TV-7L,Шприц колбасный VIATTO TV-7L,14583,RUB,Да,VIATTO,Профоборудование,Мясоперерабатывающее,Шприцы колбасные,https://entero.ru/item/257394,"<p>Колбасный шприц <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/257394"">VIATTO TV-7L</a></b> используется на предприятиях общественного питания и торговли для изготовления колбас, сосисок, сарделек и шпикачек. Корпус выполнен из нержавеющей стали. </p>

<p> </p>",257394,механический,,,360 мм,245 мм,760 мм,12.5 кг,1,640x330x270 мм,67,https://entero.ru/manuals/407713/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20TV-7L.pdf;https://entero.ru/manuals/462778/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,15191,,11.5 кг,,Китай,7 л,вертикальный
