Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Объем,Вес (с упаковкой),Материал,Цвет,С крышкой,Раздельный сбор мусора
https://cdn.entero.ru/mp@2x/cc/23/cc2312487b7ef85ca19c162150bf23a9.jpg,Контейнер для мусора TRUST SLIM L 50 60 л.,1211GY,4355,RUB,Да,,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/154388,"<p>Контейнер для мусора <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/154388""><b class=""b"">TRUST SLIM L 50</b></a> используется на предприятиях общественного питания и торговли для хранения мусора и пищевых отходов. Для удобства предусмотрены ручки. Корпус выполнен из пластика.</p>

<p><b class=""o""><a href=""https://entero.ru/cc/products.php?act=edit&pid=344089"" target=""_blank"">Крышка</a> не входит в комплект поставки и приобретается отдельно.</b></p>",154388,507 мм,272 мм,630 мм,,,,16,,,3 кг,,,60 л,,пластик,серый,,
https://cdn.entero.ru/mp@2x/6b/bd/6bbd40047e34a45c9da4b773c9755115.jpg,Контейнер для мусора TRUST SLIM L 50 87 л.,1213GY,5401,RUB,Да,,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/295512,"<p>Контейнер для мусора <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/295512""><b class=""b"">TRUST SLIM L 50</b></a> используется на предприятиях общественного питания и торговли для хранения мусора и пищевых отходов. Для удобста предусмотрены ручки. Корпус выполнен из пластика.</p>

<p><b class=""o""><a href=""https://entero.ru/item/344089"" target=""_blank"">Крышка</a> не входит в комплект поставки и приобретается отдельно.</b></p>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",295512,507 мм,272 мм,756 мм,,,,0,,,3.5 кг,,,87 л,,пластик,серый,,
https://cdn.entero.ru/mp@2x/4b/0e/4b0e432f892dbb7ea02c9aa7e09f8b16.jpg,Тележка с баком для отходов Техно-ТТ ТП-218П,ТП218П,9903,RUB,Да,Техно-ТТ,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/92372,"<p>Тележка с баком для отходов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/92372"">Техно-ТТ ТП-218П</a></b> используется на предприятиях общественного питания и торговли для сбора, хранения и транспортировки мусора. Модель оснащена баком с незафиксированной крышкой, установленным на восьмиугольную платформу c 4 колесами. Сварной каркас выполнен из нержавеющей стали AISI 430, бак - из пластмассы.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр бака: 450 мм</li>
<li>Объем упаковки: 0,10 м<sup>3</sup></li>
</ul>",92372,450 мм,450 мм,500 мм,,,,29,https://entero.ru/manuals/80112/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2%20%D0%A2%D0%9F-218%D0%9F.doc;https://entero.ru/manuals/100993/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2.pdf,12226,5.5 кг,,,50 л,,пластик,,Да,
https://cdn.entero.ru/mp@2x/ac/a4/aca42aada4fc5bf60b5f7ca50dc2faea.jpg,Бак для мусора Restola 431253713,460701681518,1836,RUB,Да,Restola,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/107729,"<p>Бак для мусора <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.uz/item/107729"">Restola 431253713</a></b> используется на предприятиях общественного питания и в производственных цехах для сбора, сортировки и накопления пищевых отходов. Изделие выполнено из высококачественного полипропилена, не содержащего Бисфенол А.</p>

<p>В комплект поставки входит крышка.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Крышка с клип-ручкой для удобства транспортировки, открывания и закрывания</li>
<li>Ножки, усиленные ребрами жесткости для уменьшения их стирания по неровным и негладким полам</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Цвет крышки: темно-серый</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",107729,470 мм,470 мм,660 мм,,,,64,https://entero.ru/manuals/132787/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Restola%202019-2020.pdf,2515,,,,65 л,,полипропилен,черный,Да,
https://cdn.entero.ru/mp@2x/14/42/1442f90f33f88bff7cee6d7ec4fed297.jpg,Тележка с баком для отходов Техно-ТТ ТП-218Н,ТП218Н / ТП-218,25877,RUB,Да,Техно-ТТ,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/80986,"<p>Тележка с баком для отходов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/80986"">Техно-ТТ ТП-218Н</a></b> используется на предприятиях общественного питания и торговли для сбора, хранения и транспортировки мусора. Модель оснащена баком с незафиксированной крышкой, установленным на восьмиугольную платформу c 4 колесами. Сварной каркас выполнен из нержавеющей стали AISI 430, бак - из нержавеющей стали AISI 304.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Объем упаковки: 0,1 м<sup>3</sup></li>
</ul>",80986,450 мм,450 мм,500 мм,,,,23,https://entero.ru/manuals/77993/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2%20%D0%A2%D0%9F-218.doc;https://entero.ru/manuals/100992/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE-%D0%A2%D0%A2.pdf,27239,7.5 кг,,,50 л,,нержавеющая сталь,,Да,
https://cdn.entero.ru/mp@2x/ec/fe/ecfeaae6f9d72fd7bfff2244273000dc.jpg,Тележка-бак для отходов KAYMAN ТБ-23,Тележка-бак для отходов KAYMAN ТБ-23,7916,RUB,Да,KAYMAN,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/118339,"<p>Тележка-бак для отходов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/118339"">KAYMAN ТБ-23</a></b> используется на предприятиях общественного питания и торговли, а также в промышленно-производственных заведениях. Каркас выполнен из нержавеющей стали, бак - из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тележка снабжена колесами</li>
<li>Сварной каркас</li>
</ul>",118339,450 мм,450 мм,500 мм,,,,42,https://entero.ru/manuals/403483/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,5.5 кг,,,,,пластик,,Да,
https://cdn.entero.ru/mp@2x/e2/10/e210cc4f88f72e636d1bbe40ccb27802.jpg,Тележка-бак для отходов KAYMAN ТБ-21,Тележка-бак для отходов KAYMAN ТБ-21,16251,RUB,Да,KAYMAN,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/86821,"<p>Тележка-бак для отходов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86821"">KAYMAN ТБ-21</a></b> используется на предприятиях общественного питания и торговли, а также в промышленно-производственных заведениях. Каркас и бак выполнены из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Тележка снабжена колесами</li>
<li>Сварной каркас</li>
</ul>",86821,450 мм,450 мм,500 мм,,,,30,https://entero.ru/manuals/403484/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,7.5 кг,,Россия,50 л,,нержавеющая сталь,,Да,
https://cdn.entero.ru/mp@2x/8f/7e/8f7e56cd7e1952aea40cb9b3ad82ab8a.jpg,Бак мусорный Restola SMART BIN PRO черный 50 л,435245813,1815,RUB,Да,Restola,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/334624,"<p>Мусорный бак <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/334624""><b class=""b"">Restola SMART BIN PRO</b></a> используется на предприятиях общественного питания и торговли для временного хранения пищевых продуктов, сыпучих товаров, угля, мусора и отходов. Модель выполнена из полипропилена.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Удобная система открывания крышки для бесконтактного использования контейнера</li>
<li>Крышка фиксируется в открытом положении для крупного мусора</li>
<li>
<p>Бак имеет специальное крепление для мусорных пакетов</p>
</li>
<li>
<p>Углубление под руку на дне бака для удобного высыпания мусора</p>
</li>
<li>
<p>Емкость легко моется, блокирует неприятные запахи, препятствуя их распространению</p>
</li>
<li>
<p>Цветовая дифференциация ободов незаменима для организации раздельного сбора мусора дома</p>
</li>
</ul>",334624,430 мм,320 мм,650 мм,,,,0,,,2.1 кг,,Россия,50 л,,полипропилен,черный,,
https://cdn.entero.ru/mp@2x/4c/52/4c52b9dbede8da7a9e3099ad7330c648.jpg,Контейнер для пищевых отходов ITERMA ТГ НБ/50,Контейнер для пищевых отходов ITERMA ТГ НБ/50,11560,RUB,Да,ITERMA,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/32794,"<p>Контейнер для пищевых отходов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/32794"">ITERMA ТГ НБ/50</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена баком и тележкой с 4 поворотными колесами, 2 из которых оборудованы тормозами. Тележка выполнена из нержавеющей стали, бак - из пластика.</p>",32794,500 мм,500 мм,800 мм,,,,0,https://entero.ru/manuals/114473/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ITERMA%20%D0%A2%D0%93%20%D0%9D%D0%91_50.pdf;https://entero.ru/manuals/114474/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ITERMA%20%D0%A2%D0%93%20%D0%9D%D0%91_50.jpg,,18 кг,,,52 л,,пластик,,,
https://cdn.entero.ru/mp@2x/c3/1a/c31afdad3842caeadbcc4ffb7235c8fb.jpg,Контейнер для пищевых отходов Plast Team РТ9957,7105 / Контейнер для пищевых отходов на колесах 110 л [РТ9957],3790,RUB,Да,,Профоборудование,Нейтральное,Контейнеры для мусора,https://entero.ru/item/188816,"<p>Контейнер для пищевых отходов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/188816"">Plast Team РТ9957</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена 2 колесами. Изделие выполнено из полипропилена.</p>",188816,500 мм,500 мм,800 мм,,,,0,,,,,,110 л,,пластик,серый,Да,
